Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Jennie Garth|When I was in my early to mid-teens, that was a very heavy diet of science fiction and fantasy, so those were the kinds of books I tended to imagine writing someday, or even began to try to write.
Julian Barnes, Talking It Over|If you remember your past too well you start blaming your present for it. Look what they did to me, that's what caused me to be like this, it's not my fault. Permit me to correct you: it probably is your fault. And kindly spare me the details.
Sunday Adelaja|God wants the church to become an authority to bring order, righteousness and purity to the country
Stefanie Weisman, The Secrets of Top Students: Tips, Tools, and Techniques for Acing High School and College|Susie: Hi Calvin! Aren't you excited about going to school? Look at all these great school supplies I got! I love having new notebooks and stuff!Calvin:All I've got to say is they're not making me learn any foreign languages. If English is good enough for me, then by golly, it's good enough for the rest of the world! Everyone should just speak English or shut up, that's what I say!Susie: You should maybe check the chemical content of your breakfast cereal.
Dan Krokos, The Planet Thieves|I don’t for a moment think I am any braver or better than anybody else. This is how I attempt to explain what gives me the strength to do what I do; when that thunderbolt of an idea first hit me and inspired me to row across oceans, it filled me with a sense of purpose so strong that it overcame my fears. Even when boredom, frustration, fatigue or despair threatened to overwhelm me, it was that powerful sense of purpose that kept me going.
Aristotle|We must consider also whether soul is divisible or is without parts, and whether it is everywhere homogeneous or not; and if not homogeneous, whether its various forms are different specifically or generically; up to the present time those who have discussed and investigated soul seem to have confined themselves to the human soul. We must be careful not to ignore the question whether soul can be defined in a single account, as is the case with animal, or whether we must not give a separate account of each sort of it, as we do for horse, dog, man, god (in the latter case the universal, animal—and so too every other common predicate—is either nothing or posterior). Further, if what exists is not a plurality of souls, but a plurality of parts of one soul, which ought we to investigate first, the whole soul or its parts? It is also a difficult problem to decide which of these parts are in nature distinct from one another. Again, which ought we to investigate first, these parts or their functions, mind or thinking, the faculty or the act of sensation, and so on? If the investigation of the functions precedes that of the parts, the further question suggests itself: ought we not before either to consider the correlative objects, e.g. of sense or thought? It seems not only useful for the discovery of the causes of the incidental proprieties of substances to be acquainted with the essential nature of those substances (as in mathematics it is useful for the understanding of the property of the equality of the interior angles of a triangle to two right angles to know the essential nature of the straight and the curved or of the line and (the plane) but also conversely, for the knowledge of the essential nature of a substance is largely promoted by an acquaintance with its properties: for, when we are able to give an account conformable to experience of all or most of the properties of a substance, we shall be in the most favourable position to say something worth saying about the essential nature of that subject: in all demonstration a definition of the essence is required as a starting point, so that definitions which do not enable us to discover the incidental properties, or which fail to facilitate even a conjecture about them, must obviously, one and all, be dialectical and futile." —from_On the Soul: Book I_
Max Lucado, 3:16: The Numbers of Hope|We will never be cleansed until we confess we are dirty. And we will never be able to wash the feet of those who have hurt us until we allow Jesus, the one we have hurt, to wash ours.
John M. Keller, Abracadabrantesque|We had traveled far and long to get here but were still the same still-born, unreconstructed people who had once met on this landscape that began somewhere not too far south of the south and ended all the way up in the northernmost extremes of the north, and every soul begotten upon this land was a bastard child of that interminable human equation: colonizer and colony, slave and master, rapist and victim, and any pledge to loyalty and patriotism was an oath to both parts of this equation—we were the seconds obliviously turned up on the old, unregenerate battlefield, here to fight in history’s redundant, never-ending duel, always carrying someone else’s sword and flag in the name of the myth.
George Carlin, Brain Droppings|If your kid needs a role model and you ain't it, you're both fucked.
Tom Chatfield|I love driving cars, looking at them, cleaning and washing and shining them. I clean 'em inside and outside. I'm very touchy about cars. I don't want anybody leaning on them or closing the door too hard, know what I mean?
György Lukács|We are children of chaos, and the deep structure of change is decay. At root, there is only corruption, and the unstemmable tide of chaos. Gone is purpose; all that is left is direction. This is the bleakness we have to accept as we peer deeply and dispassionately into the heart of the Universe.
Buzz Osborne|In America there are two classes of travel - first class, and with children.
Vikrmn, Corpkshetra|Erosion of corruption is ambition of a nation. Sow the revolution or go for contribution; if not, opt corroboration.
Terry Pratchett, Moving Pictures|There's nowhere that life feels more eternal, your dimwit youth more important, than Paris.
Rashid Johnson|If you look at the game and everything, it's not quite like looking at an animated film, because that's total character. This, this is really movement, but it's got funny little things if you look for the humor. They're actually getting to the character.
E. Lockhart, We Were Liars|When blood dripped on my bare feet or poured over the book I was reading, he was kind.
khushboo suneja|If you had the ability to make things right, you would have kept them from going wrong in the first place. That's the problem. You don't have the ability, as we all are. It is only the grace of God that can make amends for your mistakes.
Tom Landry|I am the wealthiest man, not just in Europe, but in the whole world. I collect emotions. I am wealthy in that the people of Russia have twice entrusted me with the leadership of a great nation such as Russia - I believe that is my greatest wealth.
Melina Marchetta, The Piper's Son|Play me something that makes me feel;This soul inside me is made of steel.Brain is breathing, but heart’s not beatingAnd, babe, I need you to make things real.Walk inside me without silence,Kill the past and change the tense.Empty gnawing and the ache is soaring;Take me places that make more sense.
Debasish Mridha|Don't talk, just listen, and feel with all your heart.
Mahatma Gandhi|Truth is beautiful, without doubt; but so are lies.
Anne Lamott, Grace (Eventually): Thoughts on Faith|I used to think that eighty was a very old age. Now I am ninety. I do not think this any more. As long as you are able to admire and to love, you are young.
Preeth Nambiar, The Solitary Shores|Love has a meaning beyond all that we see and experience. To reach a stage where we realise this and do not expect anything for our love, we will need to undergo a number of experiences that will purify ourselves into the highest level where we find love inside everything we see and in anything we do. We are the embodiment of love, the very essence of universal love.
Thomas à Kempis, The Imitation of Christ|Learned arguments do not make a man holy and righteous, whereas a good life makes him dear to God.
Jon Acuff|In the school of success, information is the greatest asset. The more you read, the more you discover, the more you discover, the more you recover and the better your life become.
Nick Vujicic, Give Me A Hug : 8 Life Lessons From Nick Your Kids Cannot Miss|Thanks for being the kind of person who likes to pick up a book. That's a genuinely great thing. I met a librarian recently who said she doesn't read because books are her job and when she goes home, she just wants to switch off. I think we can agree that that's creepy as hell.
B. Justin Shier, Zero Sight|I spilled my cup of coffee straight onto my crotch. Superior heat retention has its drawbacks. I grimaced as the scalding liquid reached ground zero, but as I did my best to angle my jeans away from the Resnick family's last hope, my seatmate decided to dispose of her hoodie.I juggled two pressing needs:1) Protect the nethers.2) Leer
John Locke|We were born to die and we die to live. As seedlings of God, we barely blossom on earth; we fully flower in heaven.
May Sarton, Selected Poems|It is time I came back to my real lifeAfter this voyage to an island with no name,Where I lay down at sunrise drunk with light.
Markus Zusak, The Book Thief|I don't have much interest in building mystery. Mystery bores me. It chores me. I know what happens and so do you. It's the machinations that wheel us there that aggravate, perplex, interest, and astound me.
S.T. Rogers, A Wonderful World: The End of Times|You hunt and catch your own food. Am I correct?""We are fierce predators of the night," DeChevue said proudly.Edwin tried again, "You hunt and gather your own food?"DeChevue still didn't get it. "Yes, M'sieur. We hunt, proudly.""You know, there is a special name for people who have to catch and kill everything they eat.""And that name has been the terror of the night from the dawn of man. Which name would you like? I can supply many. Nosferatu? Das Vampire?""Peasant," Edwin said. "A person who has to provide all his own food is a peasant. How is it that you have lived all this time and are still ignorant of the division of labor?"DeChevue's mouth opened and closed several times. Each time he seemed on the verge of saying something, yet each time words failed him.
Rick Moody, Demonology: Stories|If we define optimism broadly as the tendency to maintain a positive outlook, then realistic optimism is the tendency to maintain a positive outlook within the constraints of the available "measurable phenomena situated in the physical and social world" (DeGrandpre, 2000, p. 733). With respect to fuzzy meaning, realistic optimism involves enhancing and focusing on the favorable aspects of our experiences. Examples include being lenient in our evaluation of past events, actively appreciating the positive aspects of our current situation, and routinely emphasizing possible opportunities for the future. With respect to fuzzy knowledge, realistic optimism involves hoping, aspiring, and searching for positive experiences while acknowledging what we do not know and accepting what we cannot know.
David Eddings, Crystal Gorge|Why do some trees stay green while others change their color?”“Certain trees need to show off, dear. I’m sure that my big brother could explain why it happens. Dahlaine loves to explain things, and he can be very tedious about it. I prefer simpler answers. The trees are sad because summer’s almost over.
Eyden I., Woman's Book: Only For Men|Maybe women forget days, but they always remember moments.
Santosh Kalwar, Quote Me Everyday|Have you ever seen the stars in the night? See them closely, they will tell you, how to be open, how to love and how to shine and twinkle without any differences and jealousy of other stars.
Christopher Isherwood, A Single Man|George smiles to himself, with entire self-satisfaction. Yes, I am crazy, he thinks. That is my secret; my strength.
Lauren Oliver, Delirium|Two-thirds of all preachers, doctors and lawyers are hanging on to the coat tails of progress, shouting, whoa! while a good many of the rest are busy strewing banana peels along the line of march.
Miguel Ruiz, The Four Agreements: A Practical Guide to Personal Freedom|Prayer for LoveThank You, Creator of the Universe for the gift of Life you have given me,Thank You for giving me everything that I have ever needed,Thank You for the opportunity to experience this beautiful body and this wonderful mind,Thank You for living inside me with all Your Love and Your pure and boundless Spirit,with Your warm and radiating Light.Thank You for using my words, for using my eyes, for using my heart to share your love wherever I go.I love You just the way you are and because I am your creation, I love myself just the way I am.Help me to keep the Love and the Peace in my Heart and to make that Love a new way of life, that I may live in Love the rest of my life.Amen.
Thomas Kretschmann|Seeing Michelle Obama's bright color choices, and how she made people smile and reinforced Obama's platforms of hope and change, was inspiring.
Ehsan Sehgal|The hatred is not a feeling; it is a poisoning disease of mental and heart. One should eliminate before it outbreaks since it undermines the prestige, pride and national image.
Will Rogers|I don't want to play golf. When I hit a ball, I want someone else to go chase it.
Eileen Anglin|Love, positivity and gratitude are the most essential ingredients to a happy and fulfilled life.
Hans Jürgen Eysenck, Decline and Fall of the Freudian Empire|what is new in his theories is not true, and what is true in his theories is not new.
Emma Winters, Equal Parts|No being has the right to say to another, "Do this, or I will hurt you".
Debasish Mridha|Education should enable a student to think rationally, critically, and ultimately to understand, accept, and adapt with new and old ideas.
Gene Wolfe, The Claw of the Conciliator|Instead,she's as stillas a leaf-littered pond,dark water evaporating,waiting desperately for rain.
Ray Bradbury|And strange were the tales of the pond in the meadow,And eager we listened with eyes opened wideTo Those tales often told by poor Mary the widow,Who lived in a cottage the meadow beside.Play not, my dear boys, near the pond in the meadow,The mermaid is waiting to pull you beneath;Climb not for a bird’s nest, the bough it may sliver,And the mermaid will drag you to darkness and death.
Swarnakanthi Rajapakse, The Master's Daughter|Our innocent kids undergo much trouble. Not only do the children of high caste families look down upon our children calling them low caste brats, but even some teachers ridicule them. They beat our children for no reason.
Celeste Ng, Everything I Never Told You|When a long, long time later, he stares down at the silent blue marble of the earth and thinks of his sister, as he will at every important moment of his life. He doesn't know this yet, but he senses it deep down in his core. So much will happen, he thinks, that I would want to tell you.
Brian  Mills, A Lighter Me: Bariatric Surgery|If you change the way you look at things, the things you look at change. -Wayne Dyer
Steven Aitchison|I often choose to be alone, but I never feel lonely.
Dennis Prager, Think a Second Time|Once, during the drinking phase, Wendy had accused him of desiring his own destruction but not possessing the necessary moral fiber to support a full-blown deathwish. So he manufactured ways in which other people could do it, lopping a piece at a time off himself and their family.
Simone de Beauvoir, The Second Sex|In truth, to go for a walk with one's eyes open is enough to demonstrate that humanity is divided into two classes of individuals whose clothes, faces, bodies, smiles, gaits, interests, and occupations are manifestly different. Perhaps these differences are superficial, perhaps they are destined to disappear. What is certain is that right now they do most obviously exist.
Arthur Conan Doyle, The Adventure of the Greek Interpreter|My dear Watson," said [Sherlock Holmes], "I cannot agree with those who rank modesty among the virtues. To the logician all things should be seen exactly as they are, and to underestimate one's self is as much a departure from truth as to exaggerate one's own powers.
Henry Adams, The Education of Henry Adams|When death comes you do not stay for one minute in the place it has visited. Many things arrive after death-sadness, questions, and policemen- and none of these can be answered when your papers are not in order.
P.D. James, The Private Patient|The city which lay below was a charnel house built on multi-layered bones centuries older than those which lay beneath the cities of Hamburg or Dresden. Was this knowledge part of the mystery it held for her, a mystery felt most strongly on a bell-chimed Sunday on her solitary exploration of its hidden alleys and squares? Time had fascinated her from childhood, its apparent power to move at different speeds, the dissolution it wrought on minds and bodies, her sense that each moment, all moments past and those to come, were fused into an illusory present which with every breath became the unalterable, indestructible past. In the City of London these moments were caught and solidified in stone and brick, in churches and monuments and in bridges which spanned the grey-brown ever-flowing Thames. She would walk out in spring or summer as early as six o'clock, double-locking the front door behind her, stepping into a silence more profound and mysterious than the absence of noise. Sometimes in this solitary perambulation it seenmed that her own footsteps were muted, as if some part of her were afraid to waken the dead who had walked thse streets and had known the same silence.
Michael A. Rockwell|Dreams are meant to be realized, not broken.
Thomas Jefferson, Letters of Thomas Jefferson|There's a difference between playing and playing games. The former is an act of joy, the latter — an act.
Sara Wolf, Lovely Vicious|How did you find me? If you hacked into the Club’s computer to look up my appointments - "“Whoa, I think you overestimate me, shitlord. Last time I checked all I did was be in the wrong place at the right time. I saw you and had to - ”“Stalk me.”“ - delicately approach you. In a sideways manner. From behind. Without being seen at all. For ten minutes.
R. Y.S. Perez, I Hope You Fall in Love: Poetry Collection|Rather than condemning people for their wrong deeds, love and pray for them because everyone has their shortcomings
Mike Quigley|If Ralph Nader runs, President Bush is going to be re-elected, and if Ralph Nader doesn't run, President Bush is going to be re-elected. We're going to run on the president's strong and principled leadership and his positive agenda for a second term.
Helen  Bell, Shadowless: Book 1 of the Ilmaen Quartet|For all I know, the guy is Dracula.
Leigh Bardugo, Wonder Woman: Warbringer|Human courage was different from Amazon bravery. She saw that now. For all the suspicion and derision she'd heard from her mother and her sisters about the mortal world, Diana couldn't help but admire the people with whom she traveled. Their lives were violent, precarious, fragile, but they fought for them anyway, and held to the hope that their brief stay on this earth might count for something. That faith was worth preserving.
Stephen Herfst, Zed|And then, anger gave way to pure and simple job satisfaction. I mean, when I looked at a dead zombie head on a spike, I thought, "Hey, I did that. Picasso would have been proud. Especially how I rearranged that eye
Che Guevara|Love is anterior to life, posterior to death, initial of creation, and the exponent of breath.
Luigina Sgarro|If we could imagine, while we live them, to what mundane moments nostalgia manages to stick itself...
Bradley Wiggins|When I got out of coaching, I had taught a class at the University of California, an extension class on football for fans. I was looking for tools. I was showing them films. I was going to write a textbook. Trip Hawkins came to me about making it a game for computers.
Maria V. Snyder, Magic Study|Another relative?" Valek asked.A broad smile stretched Moon Man's lips. "Yes. I am her mother's uncle's wife'sthird cousin."--Valek and Moon Man
Jim Harrison|When 'Apollo 13' appeared as an opportunity and I began to tackle that in as authentic a way as I possibly could, I really became enthralled by the philosophical side of space travel and why we need to explore - what it means to us here on Earth - all of those things. I became a huge proponent.
Karen Marie Moning, Faefever|Really, Sage? A date?"I sighed. "Yes, Adrian. A date."A real date. Not, like, doing homework together," he added. "I mean like where you go out to a movie or something. And a movie that's not part of a school assignment. Or about something boring.""A real date." I figured I wouldn't give him the specifics on the Shakespheare play."What's the lucky guy's name?""Brayden."There was a pause. "Brayden? That his real name?""Why are you asking if everything's real? You think I'd make any of this up?""No, no," Adrian assured me. "That what's so ynbelievable about it. Is he cute?"I glanced at the clock. It was time for me to meet my study group. "Gee, maybe I should just send you a picture to review?""Yes, please. And a full background check and life history.""I have to go. Why do you care so much anyway?" I finally asked in exasperation.His answer took a long time, which was uncharacteristic.
Bharath Mamidoju|To me love is like a environment that affords everyone’s growth, today I will not hold onto those who love me, when I experience true love I can be blamable for the right environment for the people to progress in their lives.
Jandy Nelson, The Sky Is Everywhere|I always thought of it like you said, that all the strings inside him broke. But there are a thousand ways to look at it: maybe the strings break, or maybe our ships sink, or maybe we’re grass—our roots so interdependent that no one is dead as long as someone is alive. We don’t suffer from a shortage of metaphors, is what I mean. But you have to be careful which metaphor you choose, because it matters. If you choose the strings, then you’re imagining a world in which you can become irreparably broken. If you choose the grass, you’re saying that we are all infinitely interconnected, that we can use these root systems not only to understand one another but to become one another. The metaphors have implications. Do you know what I mean?
Sri Jibankrishna or Diamond|hapIf you're brighter than a lightning bug, don't show your ass
William Nicholson, Shadowlands|HARRINGTON: And God hears your prayer, doesn't he? We hear Joy's getting better....LEWIS: That's not why I pray, Harry. I pray because I can't help myself. I pray because I'm helpless. I pray because the need flows out of me, waking and sleeping. It doesn't change God, it changes me.
Henry Anatole Grunwald|My kids are just waiting for me at home. I'm their father. They're wondering, 'When's Daddy coming home?'
Shinichi Suzuki, Nurtured by Love: The Classic Approach to Talent Education|Everyone makes mistakes, but only a person with integrity owns up to them.
Sunday Adelaja|Unfortunately, people don’t know how they are created and live making grave mistakes, losing their peace, destroying their mentality and failing to fulfill their callings
Ralph Waldo Emerson, Self-Reliance|Dan Ariely, author of Predictably Irrational, a book that offers an entertaining and engaging overview of behavioral economics.
مُضر آل أحميّد|Freedom is the backbone of Islam, and it is guaranteed for all humans. Whether you are a Muslim, Christian, Jew, agnostic or an atheist; one is free to believe in what they want. Other people have no religious obligation to impose their beliefs on you; in fact, they have an obligation NOT to.
Craig S. Keener, Gift & Giver: The Holy Spirit for Today|The Bible explains that Satan is real, nurses a serious grudge and has impressive power. But having been created, he has limitations. He can never be equal to God in anything."--Kristine McGuire, An Insider's Guide to Spiritual Warfare, Chapter 3, "Know Your Enemy.
E.M. Forster, The Celestial Omnibus and other Stories|In their silence they continued both to protect me and to punish me. The memory of that night was now the only tie between us, eclipsing everything else.
Kruthika Swaminathan|Disasters are called natural, as if nature were the executioner and not the victim
Jim Brown|My brother and I have matching tattoos on our arms. It says, 'Humility is strength,' in Portuguese and Italian, because my genius brother taught English in both Italy and Brazil.
Edward John Trelawny, Adventures of a Younger Son|Let me, however, although no verbal critic, protest against the profanation of the word friend. In this my history I must be honest, make a distinction between the oriental diamond and its worthless imitation of paste, and separate the grain from the chaff — gossamer words, that weigh nothing, from substantial realities heavier than gold.
Jamsetji Tata|We do not claim to be more unselfish, more generous or more philanthropic than other people. But we think we started on sound and straightforward business principles, considering the interests of the shareholders our own, and the health and welfare of the employees, the sure foundation of our success.
Emma Watson|Yes, I am scared of prison. It's the last thing if you are after building up a business over 38 years and you are approaching your 66th birthday and you never owed a man a penny and you feel hard done by and you try to protect yourself and your family and go to prison - if that is the society we are living in, I am happy to accept that.
Maggie Gyllenhaal|I got this idea about being afraid to let go of something and being afraid of sinking into a state of almost anesthesia, where you have to trust other people. Just the paranoia of it all. And it seemed to suit the frenetic track. So I just wrote it out and, you know, said it.
Baylee Crush, Test Drive: Part 2|Make no mistake, I will romance you, Kane Dalton, just not now. Right now I need to fuck you.Fuck you hard, and soft, and then do it all over again." Avery ran his nose over Kane's ear and back into his hair, breathing him in as if Kane were his only life source. "Take off my jeans. Touch me. Ineed to feel your hands on me. I crave your touch. Please.
Henryk Sienkiewicz, In Desert and Wilderness|They did not, however, infect the air as the Sudanese sun dried them up like mummies; all had the hue of gray parchment, and were so much alike that the bodies of the Europeans, Egyptians, and negroes could not be distinguished from each other.
Cammie McGovern, Neighborhood Watch|The sound of her breathing reminded me, as it so often did, of how vulnerable she was. And how vulnerable we were because of how much we loved her. The fear - that something could happen to her at any moment, something I'd be helpless to stop - had become so omnipresent in my life that I sometimes pictured it growing, like a third arm, out of the center of my chest.
Chris Hedges|A revolution is not a dinner party, or writing an essay, or painting a picture, or doing embroidery; it cannot be so refined, so leisurely and gentle, so temperate, kind, courteous, restrained and magnanimous. A revolution is an insurrection, an act of violence by which one class overthrows another.
Jitendra Anne|Its better you make suffer yourself instead of making others to suffer , it's justified.
Chandler Burr, You or Someone Like You|Howard adores Sam's looks. He loves the strong cut of jaw made satin with thickening peach fuzz, loses himself in the green eyes. Howard stares at them like a lover, but always obliquely. (Sometimes we watch our son from a distance. "I wonder what he's thinking," Howard will say.)
Unknown|If you want to leave your footprints on the sands of time, be sure you’re wearing work shoes.
Jared Diamond, Guns, Germs, and Steel: The Fates of Human Societies|Twelve thousand years ago, everybody on earth was a hunter-gatherer; now almost all of us are farmers or else are fed by farmers. The spread of farming from those few sites of origin usually did not occur as a result of the hunter-gatherers' elsewhere adopting farming; hunter-gatherers tend to be conservative.... Instead, farming spread mainly through farmers' outbreeding hunters, developing more potent technology, and then killing the hunters or driving them off of all lands suitable for agriculture.
Stephen Richards|You have two voices: the one you speak with and the one you think with. While the former is the one others hear, of greater importance is the one you hear.
Jodi Picoult|If you're changing the world, you're working on important things. You're excited to get up in the morning.
Robert Clifton Storey Jr|Life crumples me like paper,Tight, smashed, discarded. But crumpled paper soon unfolds, Opening slowly, sharing what was once hidden inside,Allowing my story to be revealed.
Waleed Uz Zaman Khan|One day I was thinking about my past,It was really impossible to lose because the every moment in past was Mind blowing. <3
Michael A. Smith, Spiritual Warfare A Survival Guide To Daily Living|don't make the mistake of not following your dreams as most do,but plan out your day and except change
Deeanne Gist, A Bride Most Begrudging|Look. Isn't he beautiful?"Drew's expression softened. "Ah, Nellie. He's bald, pink, and has no teeth. What's so beautiful about that?"Nellie's laugh tinkled out like musical chimes while she covered the babe back up.
Julie   Johnson, The Someday Girl|People are always waiting around for that magical person who’ll walk into their life and fix them, who’ll offer up some vital piece they’ve been missing and make them complete. They spend years trying to fit their broken edges against another person’s and call themselves whole and healed. The only problem with this, of course, is that expecting anyone else to fix you is an unequivocal disaster.You can't wait for a man to come around and put you back together. You have to put yourself back together first, and become the kind of woman who deserves a good man.
Roman Payne|The season was waning fastOur nights were growing cold at lastI took her to bed with silk and song,'Lay still, my love, I won’t be long...I must prepare my body for passion.''O, your body you give, but all else you ration.''It is because of these dreams of a sylvan scene...A bleeding nymph to leave me serene...I have dreams of a trembling wench.''You have dreams,' she said, 'that cannot be quenched.''Our passion,' said I, 'should never be feared...As our longing for love can never be cured...Our want is our way and our way is our will...We have the love, my love, that no one can kill.''If night is your love, then in dreams you’ll fulfill...This love, our love, that no one can kill.'Yet want is my way, and my way is my will,Thus I killed my love with a sleeping pill.
Eugene O'Neill|The greatest destroyer of peace is abortion because if a mother can kill her own child, what is left for me to kill you and you to kill me? There is nothing between.
Jimmy Kimmel|I've always liked older women. One sad thing about being my age is that there are no older women. I used to amuse my mother's friends even at five or six with witty turns of phrase. Somehow, I just knew how to be funny.
Jes Dory, Isle|What do you mean 'has to be?' and what are you smiling at?" I stopped contributing to this ridiculous dance. I grabbed the teapot and began to fill it with water in the sink. Suddenly I felt the slight weight of his body against my back and the corner of his mouth brushed against my ear. "How human you are," he whispered.
Thomas Jefferson, Letters of Thomas Jefferson|Peace may be hard to achieve, but is possible with small yet essential steps that are guided by courage and sufficient commitment.
Foz Meadows|Mocho was a Spanish word that meant maimed or referred to something that had been lopped off like a stump. To call Homer el mocho was, essentially, to call him "Stumpy" or "the maimed one." It doesn't sound particularly flattering, but among Spanish speakers the giving of nicknames is tantamount to a declaration of love. Things that would sound insulting outright in English were tokens of deep affection when said in Spanish.
A. N. Wilson|The hardest thing about being in this business is just being able to be yourself. People act like there's this one set of rules to follow to be a pop star and I think, 'Well, you say I'm a pop star, so maybe that's not true.'
Harold Wilson|If we eat any food, or drink any beverage, we must recite a blessing over them before and after.
Vannary Rang|Touch Me, but not with your hands.
Christina Engela|I know there are many people who don't like me for different reasons cause they feel hurted by me, i am sorry that they feel like that but they need to understand which i am not trying to hurt them or anyone else, i am just trying to do what is right thing, i try to encourage my fellow human to love each others unconditionally cause i do believe we are all each other brothers and sisters and i am trying to ask them to stop following those religious leaders, politics leaders and others which are spreading hate and violence or trying to stand a group of people against other groups which i believe most religious and politics leaders are busy doing that, most important i am asking my brothers and sisters to refuse pick up guns and go war cause God does not allow us to take away someone life but he asked us to resepect the life of others and to love each others uncoditionally so let's love our brothers and sisters like how God want us to do and let's live according God's principle which most important is love.
Alan Shepard|Earth does not need you, you need the earth. To save yourself, save the earth.
Laurie Halse Anderson, The Impossible Knife of Memory|You create silent enemies by revealing how much God had blessed you. There are people who are unhappy about your success and your big dreams are just too heavy for them to bear, so they will try to break you into pieces. Extinguishers of dreams are everywhere, and you can decode them by their nosy attitude towards your affairs. That is why its pertinent to keep few friends, talk less about yourself, and focus on other things pretending as if you don't exist. It doesn't make you faded or out of life, but the chances of getting your prospects destroyed will be very slim.
Kij Johnson, The Man Who Bridged the Mist|In recent months, the emotional aspect has become as necessary to me as the physical. It amuses me, this strange quirk of mine. I want my little captive to love me, to care about me. I want to be more than just the monster of her nightmares.
Ben Nicholson|At this present time, matter is still the best way to think of architecture, but I'm not so sure for very long. The computer is radicalizing the way we think about our world.
Gore Vidal|Ultimately, totalitarianism is the only sort of politics that can truly serve the sky-god's purpose. Any movement of a liberal nature endangers his authority and that of his delegates on earth. One God, one King, one Pope, one master in the factory, one father-leader in the family at home.
Dante Alighieri|This is Nimrod, because of whose vile plan the world no longer speaks a single tongue.
Paash|Carol looked at her. "How do you become a poet?""By feeling things - too much, I suppose," Therese answered conscientiously.
Tim Tharp, The Spectacular Now|As for the fact that Malfoy, Crabbe, and Goyle apeared to be going their different ways when they were usually inseparable, these things happened as people got older--Ron and Hermione, Harry reflected sadly, were living proof.
Brian Cox, Forces of Nature|There are three known planets in the PSR B1257 system, which have been named Draugr, Poltergeist and Phobetor. Poltergeist was the first to be discovered. I know, I was curious about their names as well. Poletrgeist means "pounding ghost". The draugr are the unded in Norse legends who live in their graves. And Phobetor is the personification of nightmares, and the son of Nyx, Greek goddess of the night.Astronomers are goths.
Willie Nelson, The Tao of Willie: A Guide to the Happiness in Your Heart [With Headphones]|I don't remember Moses writing, 'Thou shalt not kill.. unless you think you have a good reason.
Rajasaraswathii, A Diary to win|If you are capable,then you should not be inactive.
Adam Grant|Respect... is appreciation of the separateness of the other person, of the ways in which he or she is unique.
David Brower|The wild places are where we began. When they end, so do we.
Goitsemang Sandra Mvula|There's no such thing as having something to fall back on in life, there's passion, talent, skills, compassion and purpose. Choice is a prerequisite
Ilchi Lee, LifeParticle Meditation: A Practical Guide to Healing and Transformation|You can encounter the great life within you when you recover the zero point. When you encounter that great life, all limits created by the thoughts and emotions vanish and infinite creativity springs forth.
Avery Flynn, Bang|She rose to her feet, lining her body up with his and closing the gap between them. "What if I need help in a different way?"	"Darlin', I'm a full-service kind of helper." His hand dropped to her left hips, sending a jolt of awareness straight to her clit. "You tell me what ache is building and I'll relieve it." His other hand fell to her right hip and he pulled her close. "Tell me where it itches and I'll scratch it." His cock, hard and thick, pressed against her, letting lose a wave of desire that threatened to overwhelm her. "Show me where it hurts and I'll kiss it better." 	"You make a lot of promises," she managed to get out...	"And I'll deliver on every single one." He dipped his head lower, letting his lips brush across hers. "You can count on it.
David Mitchell, Cloud Atlas|I just saved your fucking life, Mom...It's like, if you--people of a certain age--would make some effort to just stay in touch with sort of basic, modern-day events, then your kids wouldn't have to take these drastic measures.
Stephen P. Hinshaw, Origins of the Human Mind|...we are a narrative, storytelling species. Revealing our own histories, and understanding those of others can really help us appreciate the humanity in all of our fellow individuals.
Imania Margria|The things I do are known to the world, but why I do them is my secret alone.
Clare Boothe Luce|Write in such a way as that you can be readily understood by both the young and the old, by men as well as women, even by children.
Bertrand Russell, A History of Western Philosophy|Linnaeus and Cuvier have been my two gods, though in very different ways, but they were mere schoolboys to old Aristotle.
Sarah Bessey, Jesus Feminist: An Invitation to Revisit the Bible’s View of Women|Rest in your God-breathed worth. Stop holding your breath, hiding your gifts, ducking your head, dulling your roar, distracting your soul, stilling your hands, quieting your voice, and satiating your hunger with the lesser things of this world.
Sid Vicious|We girls aren't supposed to fall for the good boys.We are supposed to like a bit of grit in our oyster.That's how you get a pearl, after all.
Chris Matakas|white middle-upper class guys in highly educated families have a unique burden placed on us to be the hero of every story that we tell. I don’t think it’s merely that we’re self-centered and arrogant, but that we feel like we’re supposed to be in charge, and if we’re not the hero of the story, we’ve somehow failed in our life duty.group
S.J. Watson, Before I Go to Sleep|With him everything is a test, affection is measured, that given weighed against that which has been received, and the balance, more often than not, disappointing him.
Lori Lesko|O, treacherous Death! You can't be forgiven for vanquishing my creator to the dust...
Jason Krumbine, Just Dial 911 for Assistance|Sometimes Harry thought the deepest split in his personality wasn't anything to do with his dark side; rather it was the divide between the altruistic and forgiving Abstract Reasoning Harry, versus the frustrated and angry Harry In The Moment.
Sanford I. Weill|I loved fairy tales when I was a kid. Grimm. The grimmer the better. I loved gruesome gothic tales and, in that respect, I liked Bible stories, because to me they were very gothic.
Anna Jean Ouellette|Why would you waste a second of your life, when that's one less second you get to live?
