L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Shellie Palmer, An Unexpected Journey|The real beauty is living life to it's fullest, to reach a destination and live life for the Lord.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Love hinders death. Love is life. All, everything that I understand. I understand only because I love. Everything is, everything exists, only because I love. Everything is united by it alone. Love is God, and to die means that I, a particle of love, shall return to the general and eternal source.
Teresa Medeiros, A Kiss to Remember|Me mum always told me the rich was blessed, but I thought she was talkin' about gold." She leaned over to cackle in his ear, then actually patted him on the head as if he was some slavering lapdog. "You might have escaped the gallows, lad, but you was already well hung.
I. Alan Appt, The Strength in Knowing|When the intensity it takes to extricate one from a negative state is equal to or greater than the intensity that perpetuated the state, then the person can be freed of that state
Theodore J. Kaczynski, Industrial Society and Its Future: The Unabomber Manifesto|I hear a siren and, if we weren’t already in a hospital, I would have assumed they were coming for nearly everyone in this room.
Tina Fey, Bossypants|By the way, when Oprah Winfrey is suggesting you may have overextended yourself, you need to examine your fucking life.
Meg Howrey|There are things you do when you are a teenager, or a dancer, or just a girl, I guess. You cut your food up in special ways, or you cut yourself, or paper dolls. You pretend that there is an invisible audience watching you all the time, and you do things to impress them or pretend that they didn't see what you just did because their live video feed was interrupted somehow. You steal things or tell lies or speak to strangers in a Russian accent. You have sex with someone you love, or with someone who gets you really drunk. You lie to your parents, your boyfriend, yourself, your therapist. You cheat on your homework or do other people's homework for money. You get up, you take class, you rehearse, you perform, you go to bed. How do you decided which of these things are truly crazy and which are just being alive?
Lynn Cullen, The Creation of Eve|The knowledge that she could learn to love a man had always meant more to her than loving him effortlessly, more even than falling in love, and that was why she now felt that she was on the threshold of a new life, a happiness bound to endure for a very long time.
Andrew Smith, Moondust|When I review my travels among the astronauts, my mind's eye goes first to the Houston shopping mall where Alan Bean sat for hours after returning from space, just eating ice cream and watching the people swirl around him, enraptured by the simple yet miraculous fact they they were there and alive in that moment, and so was he.
Cole Alpaugh, The Spy's Little Zonbi|Whenever I’d get howlin’ over something, he’d grab my ass up from wherever I was and head straight for the john. Momma said my head would get banged up along the way, but she said itwas probably bein’ dunked under water that made me stupid.
Drexel Deal, The Fight of My Life is Wrapped Up in My Father|I used to be in control of a yard on Milton Street, where fellas could come there and sleep. If they came there with jewelry, money, guns, or drugs, whatever they came with in their possession under my watch, they always left with what they came with. There was no one there trying to take advantage of them, or trying to take their possessions. This was one of the main things that I stood for, but in other parts of the gang that trust was not there. They did not feel safe. Even though we were a part of the same gang, they knew that they could be robbed by their own fellow gang members. Galen ‘Ninja’ Nordelus former leader of the Public Terrorist Rebellions through Milton Street
Howlin' Wolf|I couldn't do no yodelin', so I turned to howlin'. And it's done me just fine.
Curtis Tyrone Jones|Some teach youwhat can't be taught,by turning their backon you & helpingyou get internallycloser to everythingyou externallysought.
Ikechukwu Joseph, Discovering Yourself|Self-identity is about content not the container that carry the identity,contextual value and not a solo island. It is about conception and not just a birth process.
Ashly Lorenzana|When you want to share something with another person more than anything, it is one of the most difficult things to realize that you can never have it. Accepting this realization is even more difficult. Loving someone does mean saying goodbye to them in some cases, though we will fight that until the oftentimes bitter end before doing the right thing.
Rae Carson, The Shadow Cats|One thing I have learned from many years of watching my father is that some people, the best ones, are motivated more by the chance to prove themselves than by a command to serve. It is the work itself that calls them onward, especially if they believe they are the only ones who can do it.
Bradley Bowman|How many young men fear that there is a monster inside them? People are supposed to fear others, not themselves. People are supposed to aspire to become their fathers, not shudder at the thought.
Susan Meissner, The Girl in the Glass|Shut your eyes to the world of pain, and you also shut your eyes to the world of delight.
P.G. Wodehouse|the black man today will only find solitude in one place: prison. ironically, he becomes most free while incarcerated.
Georgina Chapman|Two weeks ago at the U.S. Amateur, my mom caddied, and that is kind of a different feeling, because she's your mom and you have to listen to her. It was really comfortable having my mom there, but it's also really relieving and comfortable to have someone that knows the course off their hat, really.
Omoakhuana Anthonia|The more confident and appreciative of who you are, the less hold depression has over you.
Lailah Gifty Akita, Think Great: Be Great!|Prayer, God’s glory.
Natalia Marx, Fireheart|Just as foreplay is the key to good sex, preparation is essential to achieving victory in battle. Right, lieutenant?
Glenn Frey|Those religions that are oppressive to women are also against democracy, human rights, and freedom of expression.
Aamnah Akram|He wasn’t going to be able to deactivate the field, which meant there was only one choice.He’d realized early on that his arcane, profoundly alien passenger came with a cost, possibly one too high to pay and get out the other side free and clear. He’d pay it nonetheless and without complaint if the diati would only come through for him now.Caleb closed his eyes.
Vern Dosch, Wired Differently|I simply decided once and for all to liberate myself from the anxiety of notoriety and the urge to be a part of that circle of successful people, those who believe they have won who-knows-what
Toni Sorenson|Just because our friendship has changed and now we grow in different directions, does not mean that we have to grow apart.
indonesia123|Self glory makes life meaningless, glorify God fulfills it
A.S. King, Everybody Sees the Ants|I got mixed up with some oddness in my youth, and the long and short of it is that I can't shuffle off this mortal coil until I have read the ten most boring classics.
Steve Irwin|I like normal stuff people fear - like spiders and heights. I'm frightened by the unknown, by things that are hard to figure out and get a grip on.
C.S. Lewis, The Magician's Nephew|You know me better than you think, you know, and you shall know me better yet.
Charles Dickens|Listen to the inner light; it will guide you. Listen to inner peace; it will feed you. Listen to inner love; it will transform you, it will divinise you, it will immortalise you.
Will Schwalbe, The End of Your Life Book Club|That's one of the amazing things great books like this do - they don't just get you to see the world differently, they get you to look at people, the people all around you, differently.
Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow|As human beings, we are custom made to be happy. Why then would we want to change the order of things by not being happy?
Marc Andreessen|To have command is to have all the power you will ever need. To have all the power you will ever need, is to have the world in the palm of you hand.
Michael Ondaatje, The English Patient|-I think you are inhuman. If I leave you, who will you go to? Would you find another lover?I said nothing.-Deny it,damn you!
Patricia L. Sunderland, Doing Anthropology in Consumer Research|Rural places have hemorrhaged their best and brightest children, their intellectuals, thinkers, organizers, leaders, and artists-those who would create change and who would parent another generation of thinkers. All gone.Our seeds are disappearing.
Indira Gandhi|Much of our time is spent just maintaining our emotional lives and physical conditions. To move ahead, we often have to clear a trail as we go. Progress and development do not occur without change in our motivations and actions.
K. A. Applegate|How can I make you the vessel of the Void? What kind of love would that be?""The greatest kind of all.
Nicole Krauss, The History of Love|That's what I do. Watch movies and read. Sometimes I even pretend to write, but I'm not fooling anyone. Oh, and I go to the mailbox.
Robert M. Gates, Duty: Memoirs of a Secretary at War|Given his campaign rhetoric about Afghanistan, I think I myself, our commanders, and our troops had expected more commitment to the cause and more passion for it from him. ...I never doubted Obama's support for the troops, only his support for their mission." Pg. 299
Daniel Quinn, Ishmael|This law … defines the limits of competition in the community of life. You may compete to the full extent of your capabilities, but you may not hunt down your competitors or destroy their food or deny them access to food. In other words, you may compete but you may not wage war.
Jenny Lewis|I recently read that it's the left brain that does all that calculating, and the right brain that does the poetry. Somehow I've veered way towards the left. I've been doing it for years. Maybe I do art to balance it out.
Jodi Picoult, My Sister's Keeper|You know how the tightrope guy at the circus wants everyone to believe his act is an art, but deep down you can see that he's really just hoping he makes it all the way across?
Haruki Murakami, After the Quake|The whole terrible fight occured in the area of imagination. That is the precise location of our battlefield. It is there, that we experience our victories and defeats.
Evelyn Lauder|A man of courage never needs weapons, but he may need bail.
Stephen Vizinczey|No matter how smart you might appear to be later with your set of diplomas on their fine white parchment, the mistakes you made before the real lessons sunk in never fade. No matter how high you hang those official documents with their official seals and signatures, how shinning and polished the frame, your reflection in the glass will never let you forget how stupid you felt when you didn't know any better.
Werner Heisenberg, Physics and Philosophy: The Revolution in Modern Science|Whether we like it or not, modern ways are going to alter and in part destroy traditional customs and values.
Herschel Walker|We help people to begin truly healthful diets, and it is absolutely wonderful to see, not only their success, but also their delight at their ability to break old habits and feel really healthy for a change.
C. JoyBell C.|There are two types of women— the type that makes a man feel like he is the best and the type that makes a man feel like becoming a better man. And then I suppose it is all up to the man and what he wants in life— whether he wants to go through life feeling like he is the best or if he wants to go through life becoming better and better. In reality, we are all at our worst when we have ceased the process of become better and better.
Elizabeth Moon, Oath of Fealty|Saving the world requires saving democracy. That requires well-informed citizens. Conservation, environment, poverty, community, education, family, health, economy- these combine to make one quest: liberty and justice for all. Whether one's special emphasis is global warming or child welfare, the cause is the same cause. And justice comes from the same place being human comes from: compassion.
Leta B.|Until we align our minds with our souls,we will continue to grieve for our highest selves as individuals, a society, and as a world family.
Deyth Banger|Believe in whatever if you want believe in "Jesus" the guy who probably doesn't exist.- If he is so powerful and magical as in the bible is said why he didn't save us with clapping hands or something like this and ... tadatada here we are saved?? He is alive and everything is alive!- How for god sake the bad people go in heaven??You kill and you go heaven why??You don't have a thing to communicate so you go in heaven to talk about your travel?- If the stuff about "Jesus" are true logically we should have the ability to go out of the body, which will mean that there is soul, which can't be hold by any thing which will go as far as I know (...Please don't say "Oh, oh I don't like that Idea.." <--- it's logical, if you think in the same way you will find that what is it, believe or not... "To go outside of the body and the body to be without a body the soul to be outside..." <--- you said soul exist didn't you??So now you complain, under soul there are a lot stuff to be put concluded which will mean to be put in the logical order.
D.H. Lawrence|I am not a mechanism, an assembly of various sections.and it is not because the mechanism is working wrongly, that I am ill.I am ill because of wounds to the soul, to the deep emotional self,and the wounds to the soul take a long, long time, only time can helpand patience, and a certain difficult repentancelong difficult repentance, realization of life’s mistake, and the freeing oneselffrom the endless repetition of the mistakewhich mankind at large has chosen to sanctify.
Arthur W. Pink|They recognize the Master, now that I have preached Truth to them. All the robots do.
Shannon  Mullen, See What Flowers|I guess love distorts our perception of reality, and it’s even harder to recognize the truth when it’s buried underneath layers of what we imagine relationships should be like.
Sunday Adelaja|You can fulfill what the Lord called you to do and for you to fulfill this mission, there must be no impediments
J.K. Rowling, Harry Potter and the Order of the Phoenix|His priority did not seem to be to teach them what he knew, but rather to impress upon them that nothing, not even... knowledge, was foolproof.
Jeannette A. Bakke, Holy Invitations: Exploring Spiritual Direction|It is a good rule of thumb for spiritual directors to ask themselves, What truly constitutes our spiritual concern here? Am I really being attentive to the Lord in this? What things are getting in the way of our simple, humble intention towards the working of the Holy Spirit in this person's life? All human experience can be said to be spiritual in the largest sense, but spiritual direction should deal primarily with those qualities that seem most clearly and specifically spiritual, those that reveal the presence or leadings of God, or evidence of grace, working most directly in a person's life. This becomes increasingly important as spiritual direction progresses over time with any given individual. In the course of spiritual maturation, concern with superficial psychological experience must give way to a much more basic concern for the discernment of good and evil.
Liz Carlyle, No True Gentleman|Did you know, ma'am, that our mutual friend can say "kiss my arse" in six languages?
Kanza Javed, Ashes, Wine and Dust|And what is gossip anyway?Just fragments of sad accounts, maneuvered and mutilated year after year for our sinful pleasure.
Lynne Graham|You can fall out of love accidentally but you can't fall back in consciously, try as you may. It's like waking up out of bed. You look around you, take it all in and, when you're awake, wonder 'how did I get here?' And that's what your heart does sometimes; it keeps its secrets, even from you and throws you back the reins when you're least prepared. By then it's too late.
Jessica Simpson|In my mind, marriage is a spiritual partnership and union in which we willingly give and receive love, create and share intimacy, and open ourselves to be available and accessible to another human being in order to heal, learn and grow.
John Seabrook, The Song Machine: Inside the Hit Factory|Connection, he explained, was the essence of pop music, according to his boss, Jimmy Iovine: “Jimmy always says it’s all about the connection between the artist and the fans,” he says. “This whole business, it’s just about that connection.
Cassandra Clare, Tales from the Shadowhunter Academy|Bravery breaks barriers! You were not born to be mediocre! Put on courage and conquer! Don’t forget, however, never ever to go without true humility in all your endeavors!
L.A. Weatherly, Angel Burn|A framed photo on a dusty bookshelf caught his attention; he moved closer and picked it up silently. A small girl with long blond hair was standing under a tree, her face tilted up in delight as its feathery leaves brushed across her face, framing it.A willow tree. Willow.
Carl Henegan|We were afraid of so many things: Of our children, who lived in their own world of casually lurid pleasures, zombies and cartoon killers and thuggish music. Of our neighbors, who were buying gold and ammunition and great quantities of freeze-dried food, and who were organizing themselves into angry tribes recognizable to one another by bumper stickers.
Marc Benioff|Yes, I'm blonde. When I started as an actor, because of the accent and my body and my personality, it was not what the stereotype of the Latina woman in Hollywood is, so they didn't know where to put me. The blond hair wasn't matching. The moment I put my hair dark, it was better for my work.
C.S. Lewis, Mere Christianity|And there, right in the middle of it, I find 'Forgive us our sins as we forgive those that sin against us.' There is no slightest suggestion that we are offered forgiveness on any other terms. It is made perfectly clear that if we do not forgive we shall not be forgiven.
Krystal Sutherland, A Semi-Definitive List of Worst Nightmares|Anxiety felt like a grapnel anchor had been pickaxed into your back, one prong in each lung, one through the heart, one through the spine, the weight curving your posture forward, dragging you down to the murky depths of the sea floor. The good news was that you kind of got used to it after a while. Got used to the gasping, brink-of-heart-attack feeling that followed you everywhere. All you had to do was grab one of the prongs that stuck out from the bottom of your sternum, give it a little shake, and say, “Listen, asshole. We’re not dying. We have shit to do.
Booth Tarkington, The Magnificent Ambersons|She still remembered sitting for hours as a little girl and pretending to be a hassock. A foot stool. Because if she could just stay very small, and very quiet, her mother would forget she was there, and then she wouldn't scream about people and places and things that had gone wrong.
Pearl Zhu, Digital Valley: Five Pearls of Wisdom to Make Profound Influence|All humans are born with raw creativity ability, but not all creativities are created equal.
Bruce Sterling, Love is Strange|If the US is a human melting pot, then Eastern Europe is a scrap yard.
Eric    Weiner, The Geography of Bliss: One Grump's Search for the Happiest Places in the World|Too often when we say we feel joyful, we’re really feeling manic. There is a frenetic nature to our joy, a whiff of panic; we’re afraid the moment might end abruptly. But then there are other moments when our joy is more solidly grounded. I am not speaking of a transcendental moment, of bliss, but something less.
Carsten Jensen, We, the Drowned|He felt Miss Kristina's presence like something poisonous and something infinitely sweet mixing together in his blood. Inside him, a lack of willpower and a colossal tension battled it out. He felt both weak and furious at the same time. He went around with his fists clenched, ready to fight, yet what he wanted most of all was to hold and be held.
Terry Pratchett|...Granny Weatherwax, who had walked nightly without fear in the bandit-haunted forests of the mountains all her life in the certain knowledge that the darkness held nothing more terrible than she was...
Jay Woodman, Riding the Escalator and Terra Affirmative|Inside my head / or in a distant / Galaxy / Soft I hear it / Calling me." from the song "In the Blackness" in the poetry collection "Terra Affirmative".
Don Roff|Authors must spend months, years making fantasy believable in a single work while reality runs rampant and complete chaos elsewhere.
Manuel Corazzari|Do not focus on the broken pieces, focus on the whole picture
Zhuangzi, The Complete Works of Chuang Tzu|The Spirit Tower has its guardian, but unless it understands who its guardian is, it cannot be guarded.
Terry Pratchett, A Hat Full of Sky|Yellow decided to risk for a butterfly.For courage she hung right beside the other cocoon and began to spin her own.'Imagine, I didn't even know I could do this. That's some encouragement that i'mon the right track. If I have the stuff inside me to make cocoons—maybe the stuff of butterflies is there too.
Glenn Beck, The Eye of Moloch|No rational person would intentionally commit an act of evil, for everyone knows that it would bring the wrath of the community upon him. (Socrates)
Anne M. Mulcahy|Now, do I think there has to be shared sacrifice among other nations in the world who want a stable and secure world? Absolutely, there has to be. But I don't think that America can ever abdicate its leadership role in the world because of who we are and where we've come from. We are the symbol for the world for freedom and liberty.
Erika Johansen, The Queen of the Tearling|Carlin often said that history was everything, for it was in man’s nature to make the same mistakes over and over.
Karen Marie Moning, Bloodfever|I don’t know where dreams come from. Sometimes I wonder if they’re genetic memories, or messages from something divine. Warnings perhaps. Maybe we do come with an instruction booklet but we’re too dense to read it, because we’ve dismissed it as the irrational waste product of the ‘rational’ mind. Sometimes I think all the answers we need are buried in our slumbering subconscious, int he dreaming. The booklet right there, and ever night when we lay our heads down on the pillow it flips open. The wise read it, heed it. The rest of us try as hard as we can upon awakening to forget any disturbing revelations we might have found there.
Lily Allen|Fame is a lot of pressure, especially when you're responsible for your entire family. Financially, emotionally - everything.
Debasish Mridha|When you hate someone, in reality you are hating yourself.
Chris Matakas, My Mastery: Continued Education Through Jiu Jitsu|Truly creative people in all fields can temporarily suspend their ego and simply experience what they are seeing, without the need to assert a judgment, for as long as possible. They are more than ready to find their most cherished opinions contradicted by reality.
Avigdor Lieberman|For every athlete, it is very important to be able to engage in their favorite thing, give all the best in training, performing in competitions, defending the honor of the motherland.
Alice Sebold, The Almost Moon|It was in these moments, I knew, that my father loved my mother most. When my mother was broken and helpless, when her hard shell was stripped away and her spite and brittleness couldn't serve her. It was a sad dance of two people who were starving to death in each other's arms. Their marriage an X that forever joined murderer to victim.
Unknown|I didn't know how bad I felt, until I felt good.
kurbhatt|People always give higher priority to newer one, whatever it is.. Relation or thing.
Cees Nooteboom, Roads to Berlin|When a memory fails to appear, it seems as though the time when it was created did not really exist, and maybe that is true. Time itself is nothing; only the experience of it is something. When that dies, it assumes the form of a denial, the symbol of mortality, what you have already lost before you lose everything. When his friend had said something similar to his father, his response had been, "If you had to retain everything, you’d explode. There’s simply not enough space for it all. Forgetting is like medicine; you have to take it at the right time.
Khaled Hosseini, The Kite Runner|I'll put it on my table where I keep my drawings," Hassan said.His saying that made me kind of sad. Sad for who Hassan was, where he lived. For how he'd accepted the fact that he'd grow old in that mud shack in the yard, the way his father had.
Sandrine Bonnaire|If faith in ourselves had been more extensively taught and practiced, I am sure a very large portion of the evils and miseries that we have would have vanished.
Ali Smith|But now we live in a time and in a culture when mystery tends to mean something more answerable, it means a crime novel, a thriller, a drama on TV, usually one where we'll find out - and where the whole point of reading it or watching it will be that we will find out - what happened.
Shannon K. Butcher, The Mammoth Book of Special Ops Romance|Brooke?" he finally found the sense to ask. "What are you doing here?""I need a gun."This was not how his dream was supposed to go.
Michael  Grant|They said a lot of things to each other that night, but nothing that involved words.
Raymond Carver|That's all we have, finally, the words, and they had better be the right ones.
Elizabeth Harrower, In Certain Circles|You can admire the way someone meets hard circumstances, but you can't admire him because of them.
Susan C. Young|You have resources and assets simply by virtue of breathing, being safe, and being alive. In addition to these birthrights, you are hopefully blessed with time, energy, loved ones, friendships, health, money, intelligence, and untapped resources. Are you reinvesting in what matters most?
E.M. Bounds, Power Through Prayer|What the Church needs to-day is not more machinery or better, not new organizations or more and novel methods, but men whom the Holy Ghost can use -- men of prayer, men mighty in prayer. The Holy Ghost does not flow through methods, but through men. He does not come on machinery, but on men. He does not anoint plans, but men -- men of prayer.
Ian Fleming, Diamonds Are Forever|Bond sat for a moment frozen to his chair. Suddenly, there flashed unwanted into his mind that most sinister line in poetry: 'They reckon ill who leave me out. When me they fly, I am the wings.
Sunday Adelaja|When you’re under employment, you are not working in the area of your calling but rather helping to fulfill your employer’s
Matshona Dhliwayo|Bait, no matter how big, is useless if fish don’t want it.
Paulo Coelho, The Alchemist|They say that when a man is going to drown, when he finally gives up the struggle - it's sort of blissful, for a moment. And then he drowns.
Barry White|If a man devotes himself to art, much evil is avoided that happens otherwise if one is idle.
Jared Leto|Don't ever ask for permission to follow your dreams. Follow them no matter fucking what. It's important. We have one life here and you are the author of your story, more than anybody else. You are much more responsible for your dreams coming true or not than anyone else in your life you have contacted with. So, dream big, work hard, and make it happen no matter what.
Aisha Tyler|Marriage is a blood sport. Marriage is jousting. It's disembowelment. It's just terrible, terrible visceral injuries. It's not for everybody.
Adam Carolla|If military movies were automatically successful we'd make nothing but military movies. But seriously, patriotism is one thing that all Americans have in common.
Ruby Elhult, Lost Mines and Treasures of the Pacific Northwest|You have to be careful what you write and not allow self righteousness to cloud your ability to be objective. This story is not about you, it's about people and things that no one else sees. The truth will at times come to you in a blur, unclear, unsettling refusing to leave until you figure out its relevance.
Burgess Owens|I was a shy kid, but somehow I knew I would make it as a performer. I'd always be telling my mum that I was going to be a famous singer. In my school yearbooks I would write, 'Remember me when I'm famous.' I knew I had a gift.
Shubhra Krishan, Essential Ayurveda: What It Is and What It Can Do for You|If loneliness or sadness or happiness could be expressed through food, loneliness would be basil. It’s not good for your stomach, dims your eyes, and turns your mind murky. If you pound basil and place a stone over it, scorpions swarm toward it. Happiness is saffron, from the crocus that blooms in the spring. Even if you add just a pinch to a dish, it adds an intense taste and a lingering scent. You can find it anywhere but you can’t get it at any time of the year. It’s good for your heart, and if you drop a little bit in your wine, you instantly become drunk from its heady perfume. The best saffron crumbles at the touch and instantaneously emits its fragrance. Sadness is a knobby cucumber, whose aroma you can detect from far away. It’s tough and hard to digest and makes you fall ill with a high fever. It’s porous, excellent at absorption, and sponges up spices, guaranteeing a lengthy period of preservation. Pickles are the best food you can make from cucumbers. You boil vinegar and pour it over the cucumbers, then season with salt and pepper. You enclose them in a sterilized glass jar, seal it, and store it in a dark and dry place.WON’S KITCHEN. I take off the sign hanging by the first-floor entryway. He designed it by hand and silk-screened it onto a metal plate. Early in the morning on the day of the opening party for the cooking school, he had me hang the sign myself. I was meaning to give it a really special name, he said, grinning, flashing his white teeth, but I thought Jeong Ji-won was the most special name in the world. He called my name again: Hey, Ji-won.He walked around the house calling my name over and over, mischievously — as if he were an Eskimo who believed that the soul became imprinted in the name when it was called — while I fried an egg, cautiously sprinkling grated Emmentaler, salt, pepper, taking care not to pop the yolk. I spread the white sun-dried tablecloth on the coffee table and set it with the fried egg, unsalted butter, blueberry jam, and a baguette I’d toasted in the oven. It was our favorite breakfast: simple, warm, sweet. As was his habit, he spread a thick layer of butter and jam on his baguette and dunked it into his coffee, and I plunked into my cup the teaspoon laced with jam, waiting for the sticky sweetness to melt into the hot, dark coffee.I still remember the sugary jam infusing the last drop of coffee and the moist crumbs of the baguette lingering at the roof of my mouth. And also his words, informing me that he wanted to design a new house that would contain the cooking school, his office, and our bedroom. Instead of replying, I picked up a firm red radish, sparkling with droplets of water, dabbed a little butter on it, dipped it in salt, and stuck it into my mouth. A crunch resonated from my mouth. Hoping the crunch sounded like, Yes, someday, I continued to eat it. Was that the reason I equated a fresh red radish with sprouting green tops, as small as a miniature apple, with the taste of love? But if I cut into it crosswise like an apple, I wouldn't find the constellation of seeds.
Caitlyn Paige|More than anything else, your people want you to listen to them.
Max Schneider|To live in this world, you must be able to do three things: to love what is mortal; to hold it against your bones knowing your own life depends on it; and, when the time comes to let it go, to let it go.
Norhafsah Hamid, Back to Basics|The power of knowledge is so great and forceful, if only we knew.
Donna Lynn Hope|At the crossroad in my life, I didn't know which way to go. I just mindlessly choose a random direction... then, after regretting my decision I tried to retrace my steps. However, without even realizing it the sun had already set.
Rachel de Vine, Songbird|He'd never need a camera to remember this, and damn if he ever wanted anyone but him to see her like she was at this moment.
Elizabeth Wurtzel, Prozac Nation|Mothers who know do less. They permit less of what will not bear good fruit eternally. They allow less media in their homes, less distraction, less activity that draws their children away from their home. Mothers who know are willing to live on less and consume less of the world’s goods in order to spend more time with their children—more time eating together, more time working together, more time reading together, more time talking, laughing, singing, and exemplifying. These mothers choose carefully and do not try to choose it all.
Heidi Glick, Dog Tags|Idrith didn’t want to go back to his cold lonely room, with all its unanswered questions. He took the glass and sat down. For a long while they sat without speaking, watching the flames and sipping their drinks. Idrith would have felt at peace if it weren’t for the book in Harmion’s lap.
Colleen Boyd, Swamp Angel|Never under estimate the power of guilt, in the end it will find its way to destroy you. The more you try to turn your back on it, the easier it is for it to stab you in the back.
Jorge Luis Borges, Collected Fictions|Whether something is wonderful or horrible, the most harmful thought we can think is “Will this last forever?
Erik Pevernagie|Emotional predictive profiling may help identify contingent fissures in the stature of endangered relationships. Still and all, it might be wise to let the genie out of problematic bottles in the first place, in advance of scouting the causes of surreptitious subliminal convulsions. ("Beware of the neighbor")
Abraham Verghese, Cutting for Stone|I see the mycelium as the Earth's natural Internet, a consciousness with which we might be able to communicate. Through cross-species interfacing, we may one day exchange information with these sentient cellular networks. Because these externalized neurological nets sense any impression upon them, from footsteps to falling tree branches, they could relay enormous amounts of data regarding the movements of all organisms through the landscape.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It does not matter what your calling is, if you can invest all your time into it, then, greatness will become your reward.
Paulo Coelho, Aleph|Déjà vu is more than just that fleeting moment of surprise, instantly forgotten because we never bother with things that make no sense. It show that time doesn't pass. It's a leap into something we have already experienced and that is being repeated.
Sergei Lukyanenko, Новый Дозор|And that, Pavel, is why you shouldn't use magic for every tiny little thing. Where you can put your trust in science, that's what you should do.
Sue Kelly|In the sick room, ten cents' worth of human understanding equals ten dollars' worth of medical science.
Danny Wallace, Danny Wallace and the Centre of the Universe|To accept the lively, the messy, and the unexpected things in our days, knowing that God sees them and has an eternal perspective, is to say with confidence I receive your timing.
Rick Riordan, The Last Olympian|Do you enjoy holidays with your family? I don't mean your mom and dad family, but your uncle and aunt and cousin family? Personally, I do. There are several reasons for this. First, I am very interested and fascinated by how everyone loves each other, but no one really likes each other. Second, the fights are always the same.
John Updike, Couples|A morning later, Nancy described her first dream, the first remembered dream of her life. She and Judy Thorne were on a screened porch, catching ladybugs. Judy caught one with one spot on its back and showed it to Nancy. Nancy caught one with two spots and showed it to Judy. Then Judy caught one with three spots and Nancy one with four. Because (the child explained) the dots showed how old the ladybugs were. She told this dream to her mother, who had her repeat it to her father at breakfast. Piet was moved, beholding his daughter launched intoanother dimension of life. Like school. He was touched by her tiny stock of imagery the screened porch (neither they nor the Thornes had one; who?), the ladybugs (with turtles the most toylike of creatures), the mysterious power of numbers, that generates space and time. Piet saw down a long amplifying corridor of her dreams, and wanted to hear her tell them, to grow older with her, to shelter her forever.” John Updike, Couples, 1968.
Ellen O'Connell, Beautiful Bad Man|A vast field opened like a blossoming tulip, flowers blooming in the rippling airs of spring. High and frothy trees hugged air and sun as they gallantly cast a shade over the earth. On the horizon a florid vessel of mountains trailed to the never-ending, blue as memories distant, poised as statues embroidered into time’s eternal drift.
Karl Barth|Without the knowledge of the Scriptures, we fail to pray effectively.
Saigyō, Mirror for the Moon|Monks, even if bandits were to savagely sever you, limb by limb, with a double-handled saw, even then, whoever of you harbors ill will at heart would not be upholding my Teaching. Monks, even in such a situation you should train yourselves thus: 'Neither shall our minds be affected by this, nor for this matter shall we give vent to evil words, but we shall remain full of concern and pity, with a mind of love, and we shall not give in to hatred. On the contrary, we shall live projecting thoughts of universal love to those very persons, making them as well as the whole world the object of our thoughts of universal love — thoughts that have grown great, exalted and measureless. We shall dwell radiating these thoughts which are void of hostility and ill will.' It is in this way, monks, that you should train yourselves.
Madeleine L'Engle, Certain Women|Goodbyes are not easy, but I'm ready to move on. I'm not reluctant, Emma, not holding back. I don't have answers to the questions, but I have some good questions. I have loved life, but I believe that life is to be loved, it is a gift.
V.C. Andrews, Petals on the Wind|Talent is a firefly; even in a remote dark forest, sooner or later it is caught to an eye.
Ildefonso Falcones, La catedral del mar|The past doesn't exist. There is nothing to be sorry for. Today is when we start to live. Look... look at the sea. The sea has no past. It is just there. It will never ask us to explain. The stars, the moon are there to light our way, to shine for us. What do they care what might have happened in the past? They are accompanying us, and are happy with that; can you see them shine? The stars are twinkling in the sky; would they do that if the past mattered? Wouldn't there be a huge storm if God wanted to punish us? We are alone, you and I, with no past, no memories, no guilt, nothing that can stand in the way of... our love.
Margaret Cho|Just because you are blind, and unable to see my beauty doesn't mean it does not exist.
Connie Britton|My parents took an interest in nothing, at home no books, no records. My mother and my father are the emblem of indifference, dryness and bad taste. My father is also terribly stingy, in life as well as in feelings: I have never seen him filling up the bathtub.
Anne Lamott, Bird by Bird: Some Instructions on Writing and Life|The society to which we belong seems to be dying or is already dead. I don't mean to sound dramatic, but clearly the dark side is rising. Things could not have been more odd and frightening in the Middle Ages. But the tradition of artists will continue no matter what form the society takes. And this is another reason to write: people need us, to mirror for them and for each other without distortion-not to look around and say, 'Look at yourselves, you idiots!,' but to say, 'This is who we are.
Krzysztof Kieślowski|Regardless of the subject of my films … I am looking for a way of evoking in audiences feelings similar to my own: the physically painful impotence and sorrow that assail me when I see a man weeping at the bus stop, when I observe people struggling vainly to get close to others, when I see someone eating up the left-overs in a cheap restaurant, when I see the first blotches on a woman's hand and know that she too is bitterly aware of them, when I see the kind of appalling and irreparable injustice that so visibly scars the human face. I want this pain to come across to my audience, to see this physical agony, which I think I am beginning to fathom, to seep into my work.
Alfred Tennyson|We do on stage things that are supposed to happen off. Which is a kind of integrity, if you look on every exit as being an entrance somewhere else.
Sunday Adelaja|God wants you to meditate, everyone must think
