S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Afrojack|When small men attempt great enterprises, they always end by reducing them to the level of their mediocrity.
Harper Lee|Don't you oh well me,sir," Miss Maudie replied, recognizing Jem's fatalistic noises, "you are not old enough to appreciate what I said.
Oliwier Ernest Brzezinski|Leave me, and go to another, but never stand alone
Deyth Banger|I said, "I'm satisfied teaching the martial arts.""Not me," Arnold responded. "Bodybuilding is just a stepping-stone to me. I plan on becoming a real estate mogul, and from there, I plan to get into the movies."I had to smile as I said to myself, "How's he going to be an actor when he can hardly speak English?
Elon Musk|Reason, observation, and experience; the holy trinity of science.
A.S. Byatt|it [In Memoriam] expressed exactly the nature of her own shock and sorrow, the very structure and slow process of pain, and the transformations and transmutations of grief, like rot in the earth-mould, like roots and other blind things moving in the grave.
Melissa  Brown, Champagne Toast|Being with Demetri wasn’t the absence of pain, it was the added presence of peace, making it easier and easier for that little part of my heart to heal again.--From Pull: A Seaside Novel
David Smail, Power, Interest and Psychology: Elements of a Social Materialist Understanding of Distress|A third [virtue] is the Justice to insist on private property honestly acquired. Butit is also the justice to pay willingly for good work, to honor labor, to break down privilege, to value people for what they can do rather than for who they are, to view success without envy, making capitalism work since 1776.
Kamand Kojouri|You want help? Ask for help. You want love? Ask for love. If you want anything from the universe, anything from yourself, you must first ask.
Ahmet Adam Asar|A life dedicated to family, friends, community, and whole humanity is a life well spent.
Hong  Mei|Faxian and Xuanzang might have been the first Chinese to travel to India, but sometimes it felt like I was the first.
Brian South, The Zombie Sheriff Takes Tucson: A Love Story|What?' He cried, darting at him a look of fury: 'Dare you still implore the Eternal's mercy? Would you feign penitence, and again act an Hypocrite's part? Villain, resign your hopes of pardon. Thus I secure my prey!'As He said this, darting his talons into the Monk's shaven crown, He sprang with him from the rock. The Caves and mountains rang with Ambrosio's shrieks. The Daemon continued to soar aloft, till reaching a dreadful height, He released the sufferer. Headlong fell the Monk through the airy waste; The sharp point of a rock received him; and He rolled from precipice to precipice, till bruised and mangled He rested on the river's banks. Life still existed in his miserable frame: He attempted in vain to raise himself; His broken and dislocated limbs refused to perform their office, nor was He able to quit the spot where He had first fallen. The Sun now rose above the horizon; Its scorching beams darted full upon the head of the expiring Sinner. Myriads of insects were called forth by the warmth; They drank the blood which trickled from Ambrosio's wounds; He had no power to drive them from him, and they fastened upon his sores, darted their stings into his body, covered him with their multitudes, and inflicted on him tortures the most exquisite and insupportable. The Eagles of the rock tore his flesh piecemeal, and dug out his eyeballs with their crooked beaks. A burning thirst tormented him; He heard the river's murmur as it rolled beside him, but strove in vain to drag himself towards the sound. Blind, maimed, helpless, and despairing, venting his rage in blasphemy and curses, execrating his existence, yet dreading the arrival of death destined to yield him up to greater torments, six miserable days did the Villain languish. On the Seventh a violent storm arose: The winds in fury rent up rocks and forests: The sky was now black with clouds, now sheeted with fire: The rain fell in torrents; It swelled the stream; The waves overflowed their banks; They reached the spot where Ambrosio lay, and when they abated carried with them into the river the Corse of the despairing Monk.
George Packer|The attacks of 9/11 were the biggest surprise in American history, and for the past ten years we haven't stopped being surprised. The war on terror has had no discernible trajectory, and, unlike other military conflicts, it's almost impossible to define victory. You can't document the war's progress on a world map or chart it on a historical timetable in a way that makes any sense. A country used to a feeling of being in command and control has been whipsawed into a state of perpetual reaction, swinging wildly between passive fear and fevered, often thoughtless, activity, at a high cost to its self-confidence.
Stella McCartney|Tomorrow morning before we depart, I intend to land and see what can be found in the neighborhood.
Jonas Salk|Hope lies in dreams, in imagination and in the courage of those who dare to make dreams into reality.
Jaron Lanier, You Are Not a Gadget|Face it, George – unlike cholera, death is the only disease everyone is guaranteed to get.’Heath nodded slowly. ‘But usually only once, Hamish. Usually only once.
Anna Quindlen, How Reading Changed My Life|Books are the plane, and the train, and the road. They are the destination, and the journey. They are home.
Timothy Zahn, Star Wars: Thrawn|Alliances are useful in some situations. In others, they are absolutely vital.But they must always be approached with caution. Unity of that sort is based on mutual advantage. While that advantage exists the alliance may stand firm. But needs change, and advantages fade, and a day may come when one ally sees new benefits to be gained in betraying another.The warrior must be alert to such changes if he is to anticipate and survive an anannounced blow. Fortunately, the signs are usually evident in time for defense to be planned and executed.There is also always the possibility that changes will serve to meld the allies even more closely together. It is rare, but it can happen.
Sam Hamill, Tao Te Ching|If I don't get murdered/Rob or have troubles/problems... somebody else should have them. This is called "Ballance".
T Jay Taylor|Once you discover that failure is survivable, your fear of it subsides. Failure is not opposite to success, just part of its process.
Kirk Douglas|When women earn the money for the family, everyone in the family benefits. We also know that when women have an income, everyone wins because women dedicate 90% of the income to health, education, to food security, to the children, to the family, or to the community, so when women have an income, everybody wins.
C.S. Lewis, The Screwtape Letters|We want cattle who can finally become food; He wants servants who can finally become sons. We want to suck in, He wants to give out. We are empty and would be filled; He is full and flows over. Our war aim is a world in which Our Father Below has drawn all other beings into himself: the Enemy wants a world full of beings united to Him but still distinct.
James Patterson, The Final Warning|People want us, or want us dead, because of what we are, not who we are. It's hard.
Mikhail Kalashnikov|My parents and my grandfather on my mom's side would travel the earth. They went to Australia and China, and they went to probably every soccer game I ever played.
Lucy Christopher, Stolen: A Letter to My Captor|Noah?"A welcome voice - not my mother's, but welcome all the same: Echo. A smile spread across my face. This was too good. Me in a towel, alone in the house with my nymph. I left the bathroom.
Skye Jordan, Reckless|We have many needs in life,but the one thing we really need is to be needed by the one we need the most.
Jean-Yves Leloup, Compassion and Meditation: The Spiritual Dynamic between Buddhism and Christianity|It is important never to separate love and knowledge, compassion and wisdom. A wisdom without compassion is closed upon itself and does not bear fruit. A compassion without wisdom is a madness and a cause of suffering.
Lailah Gifty Akita, Think Great: Be Great!|Where there is passion, there is possibility.
George Orwell, 1984|And don’t miss Frank Otto, the world’s most tattooed man! Held hostage in the darkest jungles of Borneo and tried for a crime he didn’t commit, and his punishment? Well, folks, his punishment is written all over his body in permanent ink!
Tom Althouse|If misfortune finds us, it will not find a home among us, for our hearts will give it no berth, as we birth the fortunes, misfortune missed.
Ian Martin, Pop-Splat|Religion and nationalism? I defecate on the altar of religious conviction, and wipe my arse on the flag of national pride.
Brad Feld|There are those who would advocate that the voice of religion be silenced, or at least relegated to the purely private sphere.
Carlos Ruiz Zafón, The Angel's Game|When you're surrounded by stupidity, self-preservation isn't a sin.
Beth Revis, The Body Electric|Mom used to say that the thoughts in our heads were nothing more than electrical impulses. I remember Dad and her talking about this over dinner. It frustrated Dad that the human brain can fire electrical sparks and think, but that the electricity he’d pump into an android brain would never give it independent thought. The body isn’t that different from a machine. Humans and androids both run on electricity.That lightning spark of energy I saw in the reverie.That was my mother’s last thought, an echo of electricity, something that sparked when I entered her dreamscape.That spark is gone now. Her life is gone now. Everything that made her, her, is gone now. Faded into nothing.
Vishal Chipkar, Enter Heaven|Time is zero, no human made Calender's, colour of which the eyes could fail to identify, the taste of which the tongue could derail, the aroma of which the breathing becomes invalid when we are lost in the Kingdomof Lord, Supreme Power.
Marisette Burgess|Being dead is highly overrated. It’s no fun at all." -- Mythe: A Fairy Tale
Rebecca Solnit, Wanderlust: A History of Walking|For [Jane Austen and the readers of Pride and Prejudice], as for Mr. Darcy, [Elizabeth Bennett's] solitary walks express the independence that literally takes the heroine out of the social sphere of the houses and their inhabitants, into a larger, lonelier world where she is free to think: walking articulates both physical and mental freedom.
Aldous Huxley, Crome Yellow|It seemed to him that all his life he had followed the ideals that other people, by their words or their writings, had instilled into him, and never the desires of his own heart. Always his course had been swayed by what he thought he should do and never by what he wanted with his whole soul to do. […] He had lived always in the future, and the present always, always had slopped through his fingers. His ideals? He thought of his desire to make a design, intricate and beautiful, out of the myriad pattern, that in which a man was born, worked, married, had children, and died, was likewise the most perfect? It might be that to surrender to happiness was to accept defeat, but it was a defeat better than many victories.
Ally Condie, Matched|You are honest enough by nature to be able to see and judge your own self clearly - and that is a great thing. Never lose that honesty, Bobby - always be honest with yourself, know your own motives for what they are, good or bad, make your own decisions firmly and justly - and you will be a fine, strong character, of some real use in this muddled world of ours!
Tamera Alexander, From a Distance|Man has to fight for what he wants, any way he can.
Richelle E. Goodrich, Smile Anyway|You baffle me, addle me, drive me insane. You muddle, befuddle, and rattle my brain. My senses are mad, Skewed judgment to blame.You drive me half stark-raving bonkers!(But the truly crazy thing is how I love it.)
Hubert Martin|If I tear the sun from the sky and bring all the stars cascading down, would that line of your lips curve to a smile or a frown? With my hands burnt to a crisp and prosthetics in their place, would you hold me close and allow comfort in your embrace? If I fashioned a band from that sun and those stars, would you kiss these lines on my flesh? These irrevocable scars? I've fashioned for you this band of infinite light! Yet upon your finger it is not nearly so bright... You are my stars, sun and light. You are blazing fire in hopeless night. You are a reflection of perfection if my soul stood a mirror. Your affection is my infection, if only you could be nearer. You stand as a darling of your race, while I lay as an emotion with a face. What I sought and seek is not easily found, Yet from your lips escapes the perfect sound. My name and yours, yours and mine, Not even softest silk could be so fine. And yet, I see you standing there, Indecisive and fiddling with your hair. Your eyes are downward cast and your tears and my tears flow, What I would do to see them glow…and for you to know.
J.R.R. Tolkien, The Return of the King|In this hour, I do not believe that any darkness will endure.
Delano Johnson, Rare Images of Love|No matter who’s looking at you, love, honesty, and kindness will always make you beautiful!
Sarah Micklem, Wildfire|Helen's Saigon had always been about selling - chickens, information, or lovely young women, it didn't matter. It had once been called the Pearl of the Orient, but by people who had not been there in a very long time. Saigon had never been Paris, but now it was a garrison town, unlovely, a stinking refugee shantyville filled with the angry, the betrayed, the dispossessed, but she had made it her home, and she couldn't bear that soon she would have to leave.
Marian Keyes, Rachel's Holiday|They say the path of true love never runs smooth. Well, Luke and my true love's path didn't run at all, it limped along in new boots that were chafing its heels. Blistered and cut, red and raw, every hopping, lopsided step, a little slice of agony.
Jennifer Estep, By a Thread|Y’all might as well come on out,” I said. “I know you’re there. I can smell you.”“Smell me? But I just took a shower this morning!” an indignant voice drifted out of the shadows.There was a loud sound, like someone was getting smacked upside the head. Then another voice let out a low mutter.“Shut up, idiot.
Conway Zirkle, Evolution, Marxian biology and the social scene|The proponents of Marxian biology appear in unexpected places. In the early disputes over evolution, the most effective aid to the Marxian line came from the humanitarian but conservative Christians, who not only rejected evolution on theological grounds, but who also looked with horror on the amoral viciousness of what they took to be natural selection. Marx himself had also objected to the competitive aspects of natural selection, so both his followers and the more conservative religious groups found themselves on the same side. In fact, the Marxian biologists of the last seventy-five years had their pathways made smooth by the Victorian fundamentalists.
Mitch Albom, The Five People You Meet in Heaven|Your father was no longer a young man. he was already in his fifties.'Fifty-six,' Eddie said blankly.Fifty-six,' the old woman repeated. 'His body had been weakened, the ocean had left him vulnerable, pneumonia took hold of him, and in time, he died.'Because of Mickey?' Eddie said.Because of loyalty,' she said.People don’t die because of loyalty.'They don’t?' she smiled. 'Religion? government? Are we not loyal to such things, sometimes to the death?'Eddie shrugged.Better,' she said, 'To be loyal to one another.
Haruki Murakami, Kafka on the Shore|Being with her I feel a pain, like a frozen knife stuck in my chest. An awful pain, but the funny thing is I'm thankful for it. It's like that frozen pain and my very existence are one.
Rob Liano|If you haven't arrived yet, keep driving, your destiny is waiting for you.
Frank Luntz|It has to be able to play at the maximum expression and communication in every style, and the only way you can do that is - like Verdi said - working with a file, every day, little by little, until the orchestra's collective qualities emerge.
Charo|I always wanted to write for children. When I was growing up, we were really poor. My mother had left, and it was all a mess. So I lived in my head a lot, and I would get lots of books for Christmas - from librarians and teachers - and they just fed my imagination.
David Foster Wallace, Consider the Lobster and Other Essays|I've never had an interest, but baseball looks abnormal.
Chuck Palahniuk, Beautiful You|She kept hoping that something would happen to rescue her from her own small-scale, predictable dreams.
Akiroq Brost|It's simple: What you put in, is what you get out.
Laurell K. Hamilton, Incubus Dreams|There's Only so much emotional super glue in a person's soul, that everything just stays broken.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|In the success equation, subtraction comes before multiplication or addition. You must sow before you can reap a harvest.
Faydra D. Fields|When you hide the bodies of the problems, that's how you eventually amass skeletons in your closet.
Sadhguru, Of Mystics & Mistakes|Now the need for seeking something outside will completely disappear. Once you are blissful by your own nature, your life becomes an expression of your blissfulness, not a pursuit of happiness.
Sameer  Khan, Eerie Edges|When you judge your art with number of likes you get in response to it, you're killing the artist within, and giving rise to an entertainer.
Kathleen A. Kendall-Tackett|Fatigue is epidemic among women in general, and mothers in particular. Mothers talk about sleep the way someone who is starving talks about food. Fatigue can overshadow your life, making everything seem like too much trouble.
Richard Feynman|Now because 18 months ago the first dawn, 3 months ago broad daylight but a very few days ago the full sun of the most highly remarkable spectacle has risen — nothing holds me back. I can give myself up to the sacred frenzy, I can have the insolence to make a full confession to mortal men that I have stolen the golden vessel of the Egyptians to make from them a tabernacle for my God far from the confines of the land of Egypt. If you forgive me I shall rejoice; if you are angry, I shall bear it; I am indeed casting the die and writing the book, either for my contemporaries or for posterity to read, it matters not which: let the book await its reader for a hundred years; God himself has waited six thousand years for his work to be seen.
Paul Bowles, The Spider's House|Perfection is real. It occurs when you find that other part of you, that other person, that when combined you become one, perfect being.
Elizabeth Gilbert, Eat, Pray, Love|Instructions for freedom":1. Life's metaphors are God's instructions.2. You have just climbed up and above the roof, there is nothing between you and the Infinite; now, let go.3. The day is ending, it's time for something that was beautiful to turn into something else that is beautiful. Now, let go.4. Your wish for resolution was a prayer. You are being here is God's response, let go and watch the stars came out, in the inside and in the outside.5. With all your heart ask for Grace and let go. 6. With all your heart forgive him, forgive yourself and let him go.7. Let your intention be freedom from useless suffering then, let go.8. Watch the heat of day pass into the cold night, let go.9. When the Karma of a relationship is done, only Love remains. It's safe, let go.10. When the past has past from you at last, let go.. then, climb down and begin the rest of your life with great joy.
Carla H. Krueger, Coma House|Trap yourself inside your own brain, switch off the light, block all the escape routes, then turn your back on everything you know to be reality and try and survive there. Try. Living. Nowhere.
Israelmore Ayivor, Become a Better You|To become a better you, keep doing what you have been doing right and learn to correct what you have been doing wrongly.
George Orwell|The art is more important than the artist. The work is more important than the person who does it. You must be prepared to sacrifice all the you could possibly have, be, or do; you must be willing to go all the way for your art. If it is a question between choosing between your life and a work of art -- any work of art -- your decision is made for you.
John Ortberg, Love Beyond Reason: Moving God's Love from Your Head to Your Heart|If you want to do the work of God, pay attention to people. Notice them. Especially the people nobody else notices.
Evan Meekins, The Black Banner|If we truly detach from our childhood and abandon our inherent romanticism, then we shred any bit of humanity left in us.
Joel Salatin, Everything I Want to Do Is Illegal: War Stories from the Local Food Front|The stronger a culture, the less it fears the radical fringe. The more paranoid and precarious a culture, the less tolerance it offers.
Virginia Henley, Enslaved|With horror he saw that her hair was already afire as the tarred stake burned about her head. He held her agonized gaze with his fierce black eyes. "I'll love you forever, and beyond," he vowed as he raised both arms and plunged his sword into her heart.~Marcus Magnus
Bette Davis|Brought up to respect the conventions, love had to end in marriage. I'm afraid it did.
Bhavya Kaushik, The Other Side of the Bed|When a husband loses his wife, they call him a widower. When a wife loses her husband, they call her a widow. And when somebody’s parents die, they call them an orphan. But there is no name for a parent, a grieving mother, or a devastated father who have lost their child. Because the pain behind the loss is so immeasurable and unbearable, that it cannot be described in a single word. It just cannot be described.
John  Williams, Stoner|Look, there is nothing you can say about this show that I don't already know
Anne Frank, The Diary of a Young Girl|I'm sentimental--I know. I'm desperate and silly--I know that too. Oh, help me!
Kate White, I Shouldn't Be Telling You This: Success Secrets Every Gutsy Girl Should Know|If you haven’t found your calling yet, the best thing to do is get your butt off your chair, fill your life with a wide array of unusual experiences, and allow yourself to bump into what will exhilarate you.
Rachel Held Evans, Evolving in Monkey Town: How a Girl Who Knew All the Answers Learned to Ask the Questions|I'm afraid that just as wealth and privilege can be a stumbling block on the path to the gospel, theological expertise and piety can also get in the way of the kingdom. Like wealth, these are not inherently bad things. However, they are easily idolized. The longer our lists of rules and regulations, the more likely it is that God himself will break one.
Robin Hobb, Assassin's Apprentice|Seen from the point of view of a lie, the truth is often touted as radical.
Giorge Leedy, Uninhibited From Lust To Love|Tell me about your life since I last saw you." | "There are no great mysteries to tell. My path is always ther, and I do everything I can to follow it in a dignified way." | "What is your path?" | "The path of someone seeking love." | "And love's path is really complicated." | "Because on that path we can go either to heaven or to hell?
Charles R. Swindoll|Jesus has prepared the way and has made following our destiny possible, whereas we are helpless by ourselves. We can find and fulfill our purpose by responding to the clear, simple call of Jesus Christ: "Follow Me." He is the doorway to fulfilling our destiny, where our divine design and God-ordained purpose live in perfect harmony.
Guy de Maupassant, Pierre et Jean|Perhaps that is the only cure for jealousy, to realize that the people we resent and envy for having what we lack, probably have woundsand scars of their own. They may even be envying us.
Sunday Adelaja|How often in our lives have we withheld the truth from someone we’re supposed to love? We justify it by telling ourselves we’re doing them some kindness, when in reality, we’re just being selfish. We don’t want them to know the truth because if they did, well, they might not love us anymore. How many of us have ever felt that no one would love us if they knew the real us? Love bears all things, the Bible tells us. The truth is, everyone who really loves you can bear the real you.
Dee Henderson, The Guardian|She went weak in the knees and could barely walk as she followed him, trembling with fear. Her hopes for a happy future with Jordan came crashing down. Whoever had told Jordan she was free to travel under the name of Maria Brooks must have misled him.
Rainer Maria Rilke, Letters to a Young Poet|When I returned to partial life my face was wet with tears. How long that state of insensibility had lasted I cannot say. I had no means now of taking account of time. Never was solitude equal to this, never had any living being been so utterly forsaken.
Anarie Brady, Lesson in Love|He was responsible for my peaks and valleys, the pulsating waves and earth-shattering releases. It didn’t matter if I was bound or not, whether we fucked or made love, he was in control. The reality was he was always in control.
Cynthia D'Aprix Sweeney, The Nest|This was the part she hated, the part of a relationship that always nudged her to bail, the part where someone else’s misery or expectations or neediness crept into her carefully prescribed world. It was such a burden, other people’s lives. She did love Leo. She’d loved him in a host of different ways at different times in their lives, and she did want whatever their current thing was to continue. Probably. But she always came back to this: She was so much better at being alone; being alone came more naturally to her. She led a life of deliberate solitude, and if occasional loneliness crept in, she knew how to work her way out of that particular divot.
Cassandra Clare, Lord of Shadows|Your pretense does not fool me, gnome. My eye will be upon you.
Lisa Schroeder, I Heart You, You Haunt Me|And then it hits me like a fast, open-palmed, stinging smack in the face.Having a ghost boyfriend WASweird
Nora Ephron, I Feel Bad about My Neck: And Other Thoughts on Being a Woman|It's always hard to remember love - years pass and you say to yourself, Was I really in love, or was I just kidding myself? Was I really in love, or was I just pretending he was the man of my dreams? Was I really in love, or was I just desperate?
Phyllis McGinley|Man does find in Nature deliverance from himself, oblivion of his past, with peace and purity!
Bruce E. Johansen|LeavingHe stood backlitby windows full of winter,a shade thrown over his face.What a waste, I thought.What relief.
Deborah Curtis, Touching from a Distance: Ian Curtis and Joy Division|I'm sure we all have dreams of leaving at some time in our lives, but when we reach the bottom, most of us go running home.
Sunday Adelaja|But facts abound to the affirmation that most Christians in my nation Nigeria and all around the world, would rather pray to God to come and fix their country than do something about it themselves.
Martin Luther King Jr.|Change does not roll in on the wheels of inevitability, but comes through continuous struggle. And so we must straighten our backs and work for our freedom. A man can’t ride you unless your back is bent.
Abhijit Naskar, Love, God & Neurons: Memoir of a Scientist Who Found Himself by Getting Lost|Long before man traveled into space, rabbis debated how one would observe Shabbat there-not because they anticipated space travel but because Buddhists strive to live with questions and Jews would rather die.
Utkal Tripathy|Challenges are the core of life’s nuclear reactor, the uranium rods are your decisions and the energy generated is your success
Claire McCaskill|Relying on the face might be human nature - even babies prefer to look at attractive people. But, of course, judging someone based on the geometry of his features is, from a moral and legal standpoint, no better than judging him based on the color of his skin.
Swami Dhyan Giten|I was 9 years old when I had my first glimpse of wholeness. It was early Christmas morning and I was standing in my pajamas in the living room and looked out of the large windows. Outside the white snow flakes silently singled down toward a snowclad landscape. Suddenly I was filled with a feeling of being one with the slowly dancing snowflakes, one with the silent landscape. I did not understand then that this was my first taste of meditation, but it created a deep thirst and a longing in my heart to return to this natural and effortless experience of being one with the Whole.
Glen Duncan, By Blood We Live|I hate what’s become of the world. Most of the humans do. There’s so much violence and blood and meaningless death. It’s not even the normal kind of death where your heart stops beating and your loved ones put you in a hole in the ground. A boring way to spend eternity, but if you are lucky, that’s what you’ll get.
Jewel E. Ann, Scarlet Stone|I held her like tomorrow would not come. It stitched me, if only for a second...
George Saunders, Tenth of December|Did you have any yourself?" she said."Just one."Harold thought of David, but it was too much to explain. He saw the boy as a toddler and how his face darkened in sunshine like a ripe nut. He wanted to describe the soft dimples of flesh at his knees, and the way he walked in his first pair of shoes, staring down, as if unable to credit they were still attached to his feet. He thought of him lying in hit cot, his fingers so appallingly small and perfect over his wool blanket. You could look at them and fear they might dissolve beneath your touch.Mothering had come so naturally to Maureen. It was as if another woman had been waiting inside her all along, ready to slip out. She knew how to swing her body so that a baby slept; how to soften her voice; how to curl her hand to support his head. She knew what temperature the water should be in his bath, and when he needed to nap, and how to knit him blue wool socks. He had no idea she knew these things and he had watched with awe, like a spectator from the shadows. It both deepened his love for her and lifted her apart, so that just at the moment when he thought their marriage would intensify, it seemed to lose its way, or at least set them in different places. He peered at his baby son, with his solemn eyes, and felt consumed with fear. What if he was hungry? What if he was unhappy? What if other boys hit him when he went to school? There was so much to protect him from, Harold was overwhelmed. He wondered if other men had found the new responsibility of parenting as terrifying, or whether it had been a fault that was only in himself. It was different these days. You saw men pushing buggies and feeding babies with no worries at all.
Michael Herr|I have a remarkable ability to delete all better judgement from my brain when I get my head set on something. I have no sense of moderation, no sense of caution. I have no sense pretty much.
Robert Walser, Jakob von Gunten|As long as you’re trying to be someone else, or putting on some act or behavior someone else taught you, you have no possibility of truly reaching people. The most valuable thing you have to give people is yourself. No matter what you think you’re selling, what you’re really offering is you.” (p.92)
Sam Ewing|Fathers. Mothers. With all their caring and attention. They will f--- you up, every time.
Jennifer Crusie, Welcome to Temptation|I suppose you had to," Wes said when Phin went back to join him at the table."Pretty much. She seduced me.""Yeah, right," Wes said. "She said, 'Please fix the kitchen drain,' and you interpreted that--""She said, 'Fuck me.' " Phin put two balls on the table and picked up his cue. "I interpreted that to mean she wanted sex.""Oh." Wes picked up his cue. "That would have been my call, too." He squinted at the table. "Why would she have said that?""On a guess? Because she wanted sex.
Amanda Hemingway, The Poisoned Crown|I gather we're old friends.""By my standards. I daresay you measure your friends by the years you have known them, but you're wrong. Friendship is not measured in years.
Daniel Golston|If you’re going to be passionate about something, be passionate about learning.If you’re going to fight something, fight for those in need.If you’re going to question something, question authority.If you’re going to lose something, lose your inhibitions.If you’re going to gain something, gain respect and confidence.And if you’re going to hate something, hate the false idea that you are not capable of your dreams.― Daniel Golston
Debasish Mridha|Oh! let me love for ever. Let me die in love. Life is valueless dust if love touched you never.  Oh! Let me love forever. Let me dream in love. Without power of love, life is a waterless river. Oh! Let me love forever.Love is the joy and charm.Without beauty of love, life is a lifeless flower.
Richard Matheson, Collected Stories, Vol. 1|Very well then! I'll write, write write. He let the words soak into his mind and displace all else.A man had a choice, after all. He devoted his life to his work or to his wife and children and home. It could not be combined; not in this day and age. In this insane world where God was second to income and goodness to wealth.
Henry B. Eyring|You may feel overwhelmed by your own poverty and the labors of the day. But if you decide not to wait until you have more strength and more money, and if you pray for the Holy Spirit as you go, you will, when you arrive, know what to do and how to help someone even poorer than you are.
Ron Paul|Rocket science is tough, and rockets have a way of failing.
Kristen Henderson|He utilizesform for a striking lecture;young poets shiverinexperience,but thaw over their own work,fertilize magic.
Lailah Gifty Akita, Think Great: Be Great!|Great is the Lord. He is worthy of praise. He is my hope, my joy and my strength.
Ann Voskamp, One Thousand Gifts: A Dare to Live Fully Right Where You Are|At the last, this is what will determine a fulfilling, meaningful life, a life that, behind all the facades, every one of us longs to live: gratitude for the blessings that expresses itself by becoming the blessing.
John Geddes, A Familiar Rain|Every service is a structure of acts and words through which we rceive a sacrament, or repent, or supplicate, or adore. And it enables us to do these things best--if you like, it 'works' best--when, through long familiarity, we don't have to think about it. As long as you notice, and have to count, the steps, you are not yet dancing but only learning to dance.
Eric Micha'el Leventhal|Each person you meetis an aspect of yourself,clamoring for love.
Kamila Shamsie, Kartography|Come on! Think of Miandad hitting that six off Sharma. If he could do that, you can do this.
Michael Salter|Are Child Molesters Really Just Victims Themselves? "All victims are offenders," one professional challenged me at a conference, "and all offenders are victims. How does your work address that?"My work doesn't address that because I don't believe there's any evidence for that assertion. Obviously, not all victims are offenders, but it is also likely that most offenders weren't victims. The studies that find a high proportion of child molesters who were victims of child sexual abuse themselves are almost always based on self-report, and even there, study results differ dramatically. Studies show the number of child molesters who were themselves molested as children ranges from 22 percent in some studies to 82 percent in others.[101]
Eve Edwards, The Queen's Lady|Does it bother you when you see Daddy kissing Josh?” he asked.Ty shook his head and made a funny face. “No, not really. I guess you really like him a lot.”“I do,” Rex agreed. “I love Josh.”“I love Josh too, and so I don’t care if you kiss him. But I thought boys only kissed girls.”Rex nodded. “Yeah, well, that’s how it is most of the time, but you know some boys kiss other boys and some girls kiss other girls.”“Well, I don’t wanna kiss no girls!” Ty said emphatically.Rex and Josh both laughed. “Maybe someday you will, though. If you do, that’s fine, and if you don’t, that’s fine too. For right now, you can just kiss Daddy.” He leaned in and kissed Ty on the forehead.
Hannah Arendt, Correspondence, 1926-1969|I'm more than ever of the opinion that a decent human existence is possible today only on the fringes of society, where one then runs the risk of starving or being stoned to death. In these circumstances, a sense of humor is a great help.
VD,|The scientist is more religious than the poet because his belief rests in the faith of the intangible – a reality that stands outside of ourselves who are the observers. The poet on the other hand realizes that concepts like Truth and Beauty form the root of our reality, and lie not in the fleeting nature of appearances, but in the eternal universal aspects of humanity.
Jeannine Atkins, Finding Wonders: Three Girls Who Changed Science|Stars crown the world, she said, but the lights in your eyes, those are stars, too. They make up your crown, he said.
Avra Amar Filion|When a lady isn't perfect, she's a lot more perfect, I believe. - Mack
Ashley Mae Hoiland, One Hundred Birds Taught Me to Fly: The Art of Seeking God|I think of the New Testament story of the woman with an issue of blood--specifically of her hand reaching out into the clutter and chaos of a crowd, not sure that she would reach Christ, but nevertheless reaching for him in hope. Her story is sacred to me because she truly believed that by reaching outside of the bounds that her culture had set for her--perhaps even the bounds she had set for herself--she could be made whole.
Will Schwalbe, Books for Living|Reading and naps, two of life's greatest pleasures, go especially well together.
Kate Scelsa, Fans of the Impossible Life|Bartender," she said to an invisible person, "a Jeremy special." She grabbed two plastic cups. "Coming right up," she replied to herself.The Jeremy special ended up being an elaborate mix of fruit juices and vodka, and wasn't half bad."i think you have a successful bartending career ahead of you," I said as we made our way into the living room."Later I'll make you the Sebby special," she said. "It's used to remove paint from cars.
Paula V. Hardin|Sophisticated readers understand that writers work out their anger, their conflicts, their endless grief and rolling list of loss, through their stories. That however mean-spirited or diabolical, it's only a story. That the darkness in the soul is shaped into type and lies there, brooding and inert, black on the page, and active, dangerous, only in the reader's mind. Actually, harmless. I am not harmless.
Sunday Adelaja|I made my name”. What does this mean? It means you developed the traits that are specific to successful people, passion- the ability to stay focus focused and the determination to never, never, never give up
George MacDonald, The Light Princess and Other Fairy Stories|A genuine work of art must mean many things; the truer its art, the more things it will mean. If my drawing, on the other hand, is so far from being a work of art that it needs THIS IS A HORSE written under it, what can it matter that neither you nor your child should know what it means? It is there not so much to convey a meaning as to wake a meaning. If it do not even wake an interest, throw it aside. A meaning may be there, but it is not for you. If, again, you do not know a horse when you see it, the name written under it will not serve you much. At all events, the business of the painter is not to teach zoology.
Justin Cronin, A Passagem - Volume I|Hi,’ Jake said. ‘I met you earlier today, but you were a lot younger then.’ ‘I was a lot younger ten minutes ago.
Osho, The Secret of Secrets|Real meditation means: don’t avoid the inner madhouse; enter into it, face it, encounter it, be watchful, because it is through watchfulness that you will overcome it.
Ally Carter, All Fall Down|The obvious," Noah goes on, a little out of breath, "being that he is probably some super secret assassin or something. And I'm not as tough as I look.""That's OK," I tell him. "I'm way tougher than you look.
