Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Jason Statham|Many a man's strength is in opposition, and when he faileth, he grows out of use.
Émile Zola, Lourdes|Ever since the morning, Pierre had beheld many frightful sufferings in that woeful white train. But none had so distressed his soul as did that wretched female skeleton, liquefying in the midst of its lace and its millions.
|The main wall that's standing between you and success is having the courage to face your fear of failure. The foundation of success or failure can only be built with one's thoughts and beliefs. Positive thoughts and beliefs breed positive results. However, positive thoughts without consistent actions make every dream a wishful thinking. Therefore, if you truly want success, you have to consistently think and work positively regardless of the circumstances you are faced with.
Lauryn Hill|If everyone is a product of this society, who will say the things that need to be said, and do the things that need to be done, without compromise? Truth will never start out popular in a world more concerned with marketability than righteousness. It will initially suffer ridicule and even violence- yet ultimately it is undeniable. All of humanity is living in a dream world, but suffering real consequences.
Daisy Whitney, When You Were Here|Get away from my house and all its rooms that echo, all the rooms I don't enter anymore.
Aaliyah|I want kids of this generation to see that everything is cool, that there's some kind of unity in hip-hop. We all found something that's really important to us, and music is all we've really got.
Shane L. Koyczan, To This Day: For the Bullied and Beautiful|I’m not the only kid who grew up this way. Surrounded by people who used to say that rhyme about sticks and stones. As if broken bones hurt more than the names we got called, and we got called them all. So we grew up believing no one would ever fall in love with us. That we’d be lonely forever. That we’d never meet someone to make us feel like the sun was something they built for us in their tool shed. So broken heart strings bled the blues as we tried to empty ourselves so we would feel nothing. Don’t tell me that hurts less than a broken bone.
Petra Hermans, Voor een betere wereld|Wise words were never spoken,never thought never lived.P.C.M. HermansSeptember 27, 2016
Marin Teicher|It's not about the extent to which something happened or did not happen; it's whether we choose to confront evil and call it what it is, or simply let it pass because it 'wasn't enough of a big deal'.
André Breton, Anthology of Black Humor|Because of the earth’s roundness, Genghis Khan, in the fever of possession and destruction, hastened his own overthrow by invading lands that he had already razed and conquered. Not only is it impossible to know from where we come, but also from whom we come: nothing in common, in any case, with those who pass for being the “authors of our days” – which days? Better to invent a genealogy based on pure whim and the leanings of our hearts, but what if they don’t agree?
J. M. Coetzee|Years ago, during a John Grisham phase, I tried to pinpoint exactly why I found Grisham's often predictable legal thrillers quite so comforting. The best answer I could come up with was the frequency with which Grisham tells us that his lead characters are sipping coffee. When it comes to food and drink, predictability can console.
Miriam Toews|I went back into my bedroom and knelt at my bed the way I did when I was a kid. I folded my hands and pressed the top knuckle joints of my thumbs hard into my forehead. Dear God. I don’t know what I want or who I am. Apparently you do. Um…that’s great. Never mind. You have a terrible reputation here. You should know that. Oh, but I guess you do know that. Save me now. Or when it’s convenient. We could run away together. This is stupid. What am I doing? I guess this is a prayer. I feel like an idiot, but I guess you knew that already, too. My sister said that god is music. Goodbye, Amen. I lay in my bed and waited for that thick, sweet feeling to wash over me, for that unreal semi-conscious state where the story begins and takes on a life of its own and all you have to do is close your eyes and give in and let go and give in and let go and go and go and go.
Seth (Spirit), Seth Speaks: The Eternal Validity of the Soul|Suffering is not good for the soul, unless it teaches you how to stop suffering. That is its purpose.
Angela Thomas, A Beautiful Offering: Returning God's Love with Your Life|The way to forget our miseries, is to remember the God of our mercies.
Octavio Paz|I don't understand it and haven't understood in this world of technology: where every building has a camera, every ATM has a camera, why don't we have cameras on police officers?
Lewis Spence, British Fairy Origins|On the conversion of the European tribes to Christianity the ancient pagan worship was by no means incontinently abandoned. So wholesale had been the conversion of many peoples, whose chiefs or rulers had accepted the new faith on their behalf in a summary manner, that it would be absurd to suppose that any, general acquiescence in the new gospel immediately took place. Indeed, the old beliefs lurked in many neighbourhoods, and even a renaissance of some of them occurred in more than one area. Little by little, however, the Church succeeded in rooting out the public worship of the old pagan deities, but it found it quite impossible to effect an entire reversion of pagan ways, and in the end compromised by exalting the ancient deities to the position of saints in its calendar, either officially, or by usage. In the popular mind, however, these remained as the fairies of woodland and stream, whose worship in a broken-down form still flourished at wayside wells and forest shrines. The Matres, or Mother gods, particularly those of Celtic France and Ireland, the former of which had come to be Romanized, became the bonnes dames of folklore, while the dusii and pilosi, or hairy house-sprites, were so commonly paid tribute that the Church introduced a special question concerning them into its catechism of persons suspected of pagan practice. Nevertheless, the Roman Church, at a somewhat later era, reversed its older and more catholic policy, and sternly set its face against the cultus of paganism in Europe, stigmatizing the several kinds of spirits and derelict gods who were the objects of its worship as demons and devils, whom mankind must eschew with the most pious care if it were to avoid damnation.
Francine Rivers, The Atonement Child|Lord, you are God! You made us. Who better to know how to fix us when we've gone wrong? who better to set us to rights again? Who better to love us through the fire and refine us into something beautiful and useful despite our wrongs?
Daniel J. Rice, The Unpeopled Season: Journal from a North Country Wilderness|The world turns gray, the air grows cool, the fog blows in. Only at evening can you really value home.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|O Lord, grant my dearest husband, Jeremiah Nii Mama Akita, the spirit of prayer and the grace to read thy word.
Samuel Beckett, Waiting for Godot|Estragon: I remember the maps of the Holy Land. Coloured they were. Very pretty. The Dead Sea was pale blue. The very look of it made me thirsty. That's where we'll go, I used to say, that's where we'll go for our honeymoon. We'll swim. We'll be happy.
Robert Solomon|If stupidity got us into this, why can't stupidity get us out?
John Irving, A Prayer for Owen Meany|It is your responsibility to find fault with me, it is mine to hear you out. But don't expect me to change.
Roman Payne|The season was waning fastOur nights were growing cold at lastI took her to bed with silk and song,'Lay still, my love, I won’t be long;I must prepare my body for passion.''O, your body you give, but all else you ration.''It is because of these dreams of a sylvan scene:A bleeding nymph to leave me serene...I have dreams of a trembling wench.''You have dreams,' she said, 'that cannot be quenched.''Our passion,' said I, 'should never be feared;As our longing for love can never be cured.Our want is our way and our way is our will,We have the love, my love, that no one can kill.''If night is your love, then in dreams you’ll fulfill...This love, our love, that no one can kill.'Yet want is my way, and my way is my will,Thus I killed my love with a sleeping pill.
Charbel Tadros|For the Christian, the issue is not just that we give, but how. ‘God loves a cheerful giver’ (2 Cor. 9:7). And giving gladly rests on the great why of Christian generosity: that Christ himself—our Savior, Lord, and greatest treasure—demonstrated the ultimate in generosity in coming to buy us back. ‘Though he was rich, yet for your sake he became poor, so that you by his poverty might become rich’ (2 Cor. 8:9). If Jesus is in us, then increasingly such an open-handed tendency will be in us as well.
Mitch Albom, For One More Day|I've spoken of the patient Peter who was obsessively forced to make conquests with women, to seduce and then to abandon them, until he was at last able to experience how he himself had repeatedly been abandoned by his mother.
Charles M. Schulz|The moon rode in the sky - a hunted thing dodging behind wisps of tattered cloud, and the air was heavy and wet and redolent of dying leaves. ("The Refugee")
Charles Spurgeon|Great teachers emanate out of knowledge, passion and compassion.
Maggie Smith|The world is likely to view any temporary extension of the income tax cuts for the top two percent as a prelude to a long-term or permanent extension, and that would hurt economic recovery as well by undermining confidence that we're prepared to make a commitment today to bring down our future deficits.
Kristan Higgins, If You Only Knew|Book club meets every other month or so. Besides marriage counseling and the very occasional night out with my sister, I’m home twenty-nine nights out of thirty, and still the girls resent me. Not once have they ever complained about Adam’s late meetings—which may or may not have been booty calls for amazing porno sex. Me, I go out to my stupid book club, and I’m punished for it.
Robert Dallek|Marriage is this grand madness, and I think if people knew that, they would perhaps take it more seriously.
Mur Lafferty|Strength is taking charge of your own destiny and not waiting on others to do so. You don’t have to swear and drink and beat people up and slay monsters. You’re allowed to cry and take care of children and cook and get your heart broken and dress up and date and get pregnant. But when decisions have to be made, a strong character makes them and doesn’t wait for someone else.
Sravani Saha Nakhro|Life is short let go of ego, entitlement, resentment, hate, doubt. Hold on to positivity, gratitude, optimism, hope, love.
Chris Prentiss, The Alcoholism and Addiction Cure|To give up power to change for the better is inherently distasteful to everyone, and to force people to affirm that they are addicts or alcoholics so they can speak in a meeting is shameful and demoralizing.
John Steinbeck, The Winter of Our Discontent|Strength and success - they are above morality, above criticism. It seems, then, that it is not what you do, but how you do it and what you call it. Is there a check in men, deep in them, that stops or punishes? There doesn't seem to be. The only punishment is for failure. In effect no crime is committed unless a criminal is caught.
Nadine Gordimer|While the whole world is struggling to help people get their freedom from the dangers of smoking, yet the over five million people, who yearly die from smoking still voluntarily head towards that deadly part.
Curious George Brigade, Anarchy in the Age of Dinosaurs|When you start speaking the "TRUTH" it creates enemies out of Ignorance. But always learn to speak the truth, though, it should be a solid weapon to a positive progression.
Morgan Matson, Second Chance Summer|Daddy," I whispered, feeling my own breath hitch in my throat. "I love you."Just when I was sure he was asleep, the one corner of his mouth lifted in a smile. "I knew that," he murmured. "Always knew that.
Frank McChebe, Glasgow Kiss|You know it’s going to be Mary the Maid, or someone like her, and there’s going to be two men and she will end up with the nice one, and there has to be misunderstandings, and they never do anything more than kiss and it’s absolutely guaranteed that, for example, an exciting civil war or an invasion by trolls or even a scene with any cooking in it is not going to happen. The best you can expect is a thunderstorm.
Michael  Harris|When you agree to help one person, you ultimately have to disappoint someone else; it's like a karmic law.
Tess Gerritsen|I think what medical training does is it gives you the language, the tools to look up facts. I think medical training gives you a sense of how to approach a problem, how to look at symptoms and go down the list of what it might be.
Ludwig Wittgenstein|The philosophical I is not the man, not the human body or the human soul of which psychology treats, but the metaphysical subject, the limit - not a part of the world.
Rohit  Sharma|Pain, sometimes, is like Love. It grows, until it becomes your Life.
George Takei|I just try to write what I think would really happen, and with grief and tragedy, there are these naturally occurring moments of levity and humor and absurdity. I think that's what life is really like. Sadness gets interrupted, and happiness gets interrupted.
Rick Riordan, The Titan's Curse|Don’t judge someone until you’ve stood at his forge and worked with his hammer, eh?
Jodi Picoult, Salem Falls|Words, he knew, could scar.
Thomas S. Monson|To you who are parents, I say, show love to your children. You know you love them, but make certain they know it as well. They are so precious. Let them know. Call upon our Heavenly Father for help as you care for their needs each day and as you deal with the challenges which inevitably come with parenthood. You need more than your own wisdom in rearing them.
Lee Matthew Goldberg, Slow Down|I wanted solitude, but a treasure like that didn't exist in the city. I only found silence in Central Park, still littered with people of course, but the only place that held moments of calm. I breathed in that wonderful silence as my pace finally slowed, and nature delighted my senses.
|Do not surrender to any master; that would be slavery.Surrender to yourself, for that would be victory.
James Nachtwey|The truth is, I think country music... there's a lot of great people, and just being raised the way a lot of country boys and girls are, hopefully there's just a lot of respect.
Latika Teotia|Anything that drains your emotions or fills you with negativity is not good for your soul; avoid such people, thoughts, situations and so on. Surround yourself with positive people whose company gives you happiness and peace of mind.
Latika Teotia|This is your life, you have the power to make it as WONDERFUL as you want it to be. Do not hold back. Find your JOY; live your Love!!!
Sebastian Pole, Discovering the True You with Ayurveda: How to Nourish, Rejuvenate, and Transform Your Life|Meditation is both the symbol and expression of our intention to grow. Sitting still, alone with our thoughts and feelings, we can honor missed opportunities, passing desires, remembered disappointments, as well as our inner strength, personal wisdom, and ability to forgive and love.
Barack Obama|Optimism: That effervescent, blindingly- bright, perky, chipper, twittering quality you want to squash out of annoying people.
Yann Martel, Life of Pi|Kahneman’s evidence shows that we suck at remembering and predicting our own well-being. We as a culture still ignore this empirical evidence, recommending to live our lives so as to avoid deathbed regrets. Deathbed regrets are like Hollywood films: they stir passions for a couple hours, but are poorly connected to reality. They are not good criteria for a well-lived life.
Anandamayi Ma|Ever afterward, though the dance of creation change around me in the hall of eternity, I shall be the same.
Ben Carson|It's really cool when, in every genre of music, you can listen to a song and know what era it was from.
Andrew P. Peabody, Selections from the Writings of Cicero|It is as if a Mohammedan, while recognizing the divine mission of the Arab prophet, were to write for his son a treatise on the ethics of the New Testament as better adapted than the moral system of the Koran for the training and confirming of a young man in the practice of virtue.
Lailah Gifty Akita|When you are angry, be still and do not speak.
Joseph Campbell|If the path before you is clear, you're probably on someone else's.
A.C. Grayling, The God Argument: The Case against Religion and for Humanism|Maybe I was a fool to turn my back on him after his warnings, but the bad guys didn't warn you first. No, the truly wicked ones lured you in with kindness and then blindsided you with their mercilessness.
John Gray, Perros de paja: Reflexiones sobre los humanos y otros animales|If I close my eyes, I do not see anything but, if I imagine, I see something. To look beyond what you look and see, use your minds eye and not your eyes
Hank Azaria|Thanksgiving, our eminent moral holiday, doesn't have much for children. At its heart are conversation, food, drink, and fellowship - all perks of adulthood.
Ned Beauman, The Teleportation Accident|If a tree is bent, every goat will jump on it.
Ursula K. Le Guin, City of Illusions|I believes that economy is some kind of running war and the market is the battle field , So security is mandatory.
Charles McDaniel|You can take the Muslim out of the Caliphate, but you can't take the Caliphate out of the Muslim.
Robert Greene, The 33 Strategies of War|knowledge without creativity is useless ,creativity without knowledge is meaningless – msa
Harper Lee, To Kill a Mockingbird|Atticus had said it was the polite thing to talk to people about what they were interested in, not about what you were interested in.
Kathleen Hill|Policy makers beware: unless you are ready to admit that you are facing an essentially theological problem in the Middle East, do not go about prescribing solutions, for you may actually make matters worse—particularly by creating the false impression that economic, sociological, or political programs can fix what is, in fact, a delusion of faith
Rudy Giuliani|I like Diaspora because it's audacious, it's driven by passion, and it's very, very hard to do. After all, who in their right mind would set as a goal taking on Facebook? That's sort of like deciding to build a better search engine - very expensive, with a high likelihood of failure.
Simone Elkeles, Perfect Chemistry|You’d probably rather have a milk shake than a quart of blood, too, so we’ll have to agree to disagree.
Colleen McCullough, The Touch|He was, he admitted, a man who liked to have his cake and eat it too.
Kilroy J. Oldster, Dead Toad Scrolls|A person is not born as a finished product; we create ourselves every day. Resembling reality, no person is a fixed and unchangeable entity. Each of us is in the process of becoming. A person’s perspective on their life experiences depends upon reviewing and integrating an emotional gamut of reconciling values with applied effort.
Elizabeth George, Prayers to Calm Your Heart: Finding the Path to More Peace and Less Stress|As a mother, you need to remember that a loving and compassionate God is one hundred percent aware of your child’s situation.
Salman Rushdie|Cleanliness is a good thing, which the society should embrace. But it has nothing to do with Modi, nor can he implement it.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Get out of your own way... stop the paralysis by analysis... dream your dream... then, WAKE UP and bring it to life!
Joanna Walsh, Vertigo|Okay, so we know that someone at your place of work hacked into this laptop. That's what we know, that's all we know; let's not jump to conclusions...yet." "Unless...it's backward...
Poppet, Ryan|Eyes darker than a midnight lake penetrate my thoughts with their intensity, and a big hand warmly covers mine
Friedrich Nietzsche, Beyond Good and Evil|You desire to LIVE "according to Nature"? Oh, you noble Stoics, what fraud of words! Imagine to yourselves a being like Nature, boundlessly extravagant, boundlessly indifferent, without purpose or consideration, without pity or justice, at once fruitful and barren and uncertain: imagine to yourselves INDIFFERENCE as a power—how COULD you live in accordance with such indifference? To live—is not that just endeavouring to be otherwise than this Nature? Is not living valuing, preferring, being unjust, being limited, endeavouring to be different? And granted that your imperative, "living according to Nature," means actually the same as "living according to life"—how could you do DIFFERENTLY? Why should you make a principle out of what you yourselves are, and must be? In reality, however, it is quite otherwise with you: while you pretend to read with rapture the canon of your law in Nature, you want something quite the contrary, you extraordinary stage-players and self-deluders! In your pride you wish to dictate your morals and ideals to Nature, to Nature herself, and to incorporate them therein; you insist that it shall be Nature "according to the Stoa," and would like everything to be made after your own image, as a vast, eternal glorification and generalism of Stoicism! With all your love for truth, you have forced yourselves so long, so persistently, and with such hypnotic rigidity to see Nature FALSELY, that is to say, Stoically, that you are no longer able to see it otherwise—and to crown all, some unfathomable superciliousness gives you the Bedlamite hope that BECAUSE you are able to tyrannize over yourselves—Stoicism is self-tyranny—Nature will also allow herself to be tyrannized over: is not the Stoic a PART of Nature?... But this is an old and everlasting story: what happened in old times with the Stoics still happens today, as soon as ever a philosophy begins to believe in itself. It always creates the world in its own image; it cannot do otherwise; philosophy is this tyrannical impulse itself, the most spiritual Will to Power, the will to "creation of the world," the will to the causa prima.
Katlyn Charlesworth, Where Men Sit|It's naive to assume that another person can fulfill you, or save you, if the two things are, in fact, different, and I have never felt that way with Colin. I simply believe that he fulfills an important part of me, and that Robert fulfilled another equally important part of me. The part of me Robert fulfilled is a part which I imagine Colin, even now, doesn't know exists. It is the part of me that can destroy as easily as it loves. It is the part of me that feels safest and most at home behind closed doors, in a dark bedroom, that believes that the only truth lies in the secrets we keep from each other.
Allan Rufus, The Master's Sacred Knowledge|Wealth is all misery and sickness to the brain, try not to put yourself deep in it, it shall erase your humanity feelings.
B.G. Bowers, Death and Life|I walked to Mairangi Bay beach, day after day, seeking companionship in the roar of the ocean, and contemplating the shipwreck of my life. There, in that isolated wilderness, amidst the screaming gulls, and consistent rhythm of the tides, I channeled my chaotic thoughts through my pen and released them into poetry, until the quiet desperation passed and I was secure in the knowledge that I had made it through another day.
Alasdair MacIntyre, After Virtue: A Study in Moral Theory|All power tends to coopt, and absolute power coopts absolutely.
John Kenneth Galbraith|The worst continued to worsen. What looked one day like the end proved on the next day to have been only the beginning. Nothing could have been more ingeniously designed to maximize the suffering, and also to insure that as few people as possible escape the common misfortune. The fortunate speculator who had funds to answer the first margin call presently got another and equally urgent one, and if he met that there would still be another. In the end all the money he had was extracted from him and lost. The man with the smart money, who was safely out of the market when the first crash came, naturally went back in to pick up bargains. The bargains then suffered a ruinous fall. Even the man who waited for volume of trading to return to normal and saw Wall Street become as placid as a produce market, and who then bought common stocks would see their value drop to a third or a fourth of the purchase price in the next 24 months. The Coolidge bull market was a remarkable phenomenon. The ruthlessness of its liquidation was, in its own way, equally remarkable.
Fernando Pessoa, The Book of Disquiet|Most people are afflicted with an inability to say what they see or think. They say there’s nothing more difficult than to define a spiral in words; they claim it is necessary to use the unliterary hand, twirling it in a steadily upward direction, so that human eyes will perceive the abstract figure immanent in wire spring and a certain type of staircase. But if we remember that to say is to renew, we will have no trouble defining a spiral; it’s a circle that rises without ever closing. I realize that most people would never dare to define it this way, for they suppose that defining is to say what others want us to say rather than what’s required for the definition. I’ll say it more accurately: a spiral is a potential circle that winds round as it rises, without ever completing itself. But no, the definition is still abstract. I’ll resort to the concrete, and all will become clear: a spiral is a snake without a snake, vertically wound around nothing.  All literature is an attempt to make life real. All of us know, even when we act on what we don’t know, life is absolutely unreal in its directly real form; the country, the city and our ideas are absolutely fictitious things, the offspring of our complex sensation of our own selves. Impressions are incommunicable unless we make them literary. Children are particularly literary, for they say what they feel not what someone has taught them to feel. Once I heard a child, who wished to say that he was on the verge of tears, say not ‘I feel like crying’, which is what an adult, i.e., an idiot, would say but rather, ’ I feel like tears.’ And this phrase -so literary it would seem affected in a well-known poet, if he could ever invent it - decisively refers to the warm presence of tears about to burst from eyelids that feel the liquid bitterness. ‘I feel like tears’! The small child aptly defined his spiral. To say! To know how to say! To know how to exist via the written voice and the intellectual image! This is all that matters in life; the rest is men and women, imagined loves and factitious vanities, the wiles of our digestion and forgetfulness, people squirming- like worms when a rock is lifted - under the huge abstract boulder of the meaningless blue sky.
Sharon Kay Penman, The Sunne in Splendour|How many men can say, as I must, 'I am a man whose only friend is the King of England'? I have everything, you would think. And yet take Henry away, and I have nothing.
S.G. Holster, Thirty Seconds to Die|We need to talk," he insisted, opening the door to his jeep that was parked next to my car. I was still holding out hope this would end and I would see his smile soon. "What's wrong?" I retaliated before I go in. "There's something you need to know, something I haven't told you," he said, taking my backpack from me.
Melanie Sargsian, Lovember: A Collection of Short Love Stories|This two quotes make me laugh"Andre Linoge: Born in lust, turn to dust. Born in sin, COME ON IN." (Stephen King on Storm of the Century)"We are on location, not on vacation"(Unnatural 2015 Film)Everyday when I read it or I repeat it makes me laugh it's kind a joke. The first one is a killer joke, the second one is...(you guess from who is this joke!)
David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|Without inspiration, we’re all like a box of matches that will never be lit.
Edna St. Vincent Millay|I shall die, but that is all that I shall do for Death.
Steven Herrick, A Place Like This|The sun had burned through and the day had gone from dull to dazzling, yet in the west blask-satin thunderheads continued to stack up. It was as if night has burst a blood-vessel in the sky over there.
Alex Kerr|Why has pachinko swept Japan? It can hardly be the excitement of gambling, since the risks and rewards are so small. During the hours spent in front of a pachinko machine, there is an almost total lack of stimulation other than the occasional rush of ball bearings. There is no thought, no movement; you have no control over the flow of balls, apart from holding a little lever which shoots them up to the top of the machine; you sit there enveloped in a cloud of heavy cigarette smoke, semi-dazed by the racket of millions of ball bearings falling through machines around you. Pachinko verges on sensory deprivation. It is the ultimate mental numbing, the final victory of the educational system." - Lost Japan, Eng. vers., 1996
Debasish Mridha|Love is the source, power, essence, and evidence of life.
William Lawrence Bragg|I feel very strongly indeed that a Cambridge education for our scientists should include some contact with the humanistic side. The gift of expression is important to them as scientists; the best research is wasted when it is extremely difficult to discover what it is all about ... It is even more important when scientists are called upon to play their part in the world of affairs, as is happening to an increasing extent.
Tamara  Hill, Mental Health In A Failed American System: What Every Parent, Family, & Caregiver Should Know|The process of reforming the mental health system never includes the complaints that families and caregivers have regarding a need for increased access to resources, treatment, education, and financial support. Reform has continued to ignore the basic needs of families and suffering individuals with severe mental illness and special needs.
Charles Darwin|Indeed, I would feel that an appreciation of the arts in a conscious, disciplined way might help one to do science better.
Paul Krugman|Politics determines who has the power, not who has the truth.
Greg Egan|Computers rather frighten me, because I never did learn to type, so the whole thing seems extraordinarily complicated to me.
Marilyn Grey, When the City Sleeps|The bright blue sky remained cloudless, and the aquamarine ocean still crashed gently onto the white sand beach, but the scene was suddenly warped. Twisted, as I processed Thad's words.
Joanna Krupa|If you spend your whole life waiting for the storm, you'll never enjoy the sunshine.
David Mamet|Anyone worth knowing breaks once. Once. No shame, no foul if you survive it. You did.
Lucian of Samosata, Lucian's True History;|The simple and terrifying reality, forbidden from discussion in America, was that despite spending $600 billion a year on the military, despite having the best fighting force the world had ever known, they were getting their asses kicked by illiterate peasants who made bombs out of manure and wood.
Tony Hsieh|The typical industry approach is [retailers] to treat vendors like the enemy... If vendors can't make a profit then they don't have money to invest in research and development, which in turn means that the products they bring to the market will be less inspiring to customers, which in turn detriments the retailer's business because customers aren't inspired to buy. People want to cut costs and negotiate aggressively because there's a limited amount of profit to be shared by both sides. As a result of this "death spiral", most retailers fail.
V.C. Andrews, Flowers in the Attic|There's no difference between a madman and a professor...it should be clear to you in the way they dress, act and think.
Katherine McIntyre, Solid Ground|My painful memories sift through me like sand through stretched fingers. Only small pieces cling and stay around for me to keep, the rest just disappear. I know not where and I don’t
Marti Melville|When the vision fill yours mind and passio hits your gut, the need to write it down cannot be stifled.
Lawren Leo, Love's Shadow: Nine Crooked Paths|Inspiration for my short stories grows from a psychic kernel, a vision of some sort or an eccentric, colorful dream.
Kim Ha Campbell, Inner Peace Outer Abundance|By forgiving others, you consciously cut ties with the negative energies that are binding you.
Jodi Picoult, The Pact|Some women are born mothers, some women become mothers, and some have motherhood thrust upon them. I struggled against it all my life, but I think the truth is I was probably born to it. I don't do badly, I don't do well, I just do it.
Mitch Albom, Tuesdays with Morrie|In business, people negotiate to win. They negotiate to get what they want. Maybe you're too used to that. Love is different. Love is when you are as concerned about someone else's situation as you are about your own.
Christian Wiman, Ambition and Survival: Becoming a Poet|You cannot devote your life to an abstraction. Indeed, life shatters all abstractions in one way or another, including words such as "faith" or "belief". If God is not in the very fabric of existence for you, if you do not find Him (or miss Him!) in the details of your daily life, then religion is just one more way to commit spiritual suicide.
Janvier Chouteu-Chando, The Girl on the Trail|When we tend to be too hard on those we love, we erode the softness of our souls in the process, taking out the humanity within us that is the nucleus of our goodness, even if our actions are for their own sake.
J.R.R. Tolkien, The Silmarillion|There came a time near dawn on the eve of spring, and Luthien danced upon a green hill; and suddenly she began to sing. Keen, heart-piercing was her song as the song of the lark that rises from the gates of night and pours its voice among the dying stars, seeing the sun behind the walls of the world; and the song of Luthien released the bonds of winter, and the frozen waters spoke, and flowers sprang from the cold earth where he feet had passed. Then the spell of silence fell from Beren, and he called to her, crying Tinuviel; and the woods echoed the name.
Amy E. Reichert, The Coincidence of Coconut Cake|When I see you plodding along through the rain in dull, drab mackintoshes, with your noses tucked into your collars, I long to offer you a little advice. It is this: fight the weather with contrasts ... You must create an artificial sun to replace the one who has hidden himself. So why not a brighter note in your dress instead of the eternal grey, black, brown or navy?
Dian Agung Yogantara|I have previously reduced the whole science of logic to two facts.The ﬁrst is that our perceptions being every thing for us, we areperfectly, completely, and necessarily sure of whatever we actually feel.The second is that consequently none of our judgments, separatelytaken, can be erroneous: inasmuch as we see one idea in another it isactually there; but their falsity, when it takes place, is purely relativeto anterior judgments, which we permit to subsist; and it consists inthis, that we believe the idea in which we perceive a new element tobe the same as that we have always had under the same sign, when itis really diﬀerent, since the new element which we actually see thereis incompatible with some of those which we have previously seen;so that to avoid contradiction we must either take away the former ornot admit the latter.
Debasish Mridha|A little love, a little kindness,a little hope, a little joyfulness,a little tolerance, a little gratefulness,brings harmony and creates peacefulness.
Zia Haider Rahman|If he had the cleft tongue of a devil, or the snake hair of a Medusa, or the matted hair of a wolf-monster, Akhmed might understand. But Ramazan had two eyes, a nose, and a mouth, pairs of arms and legs and ears, hair greasy, but not slimy and certainly not slithering, and Akhmed did not understand.
Li Na|It's been a bit sad to see that out of Linux distributions, it was Android - the most successful mobile Linux distribution - that has really introduced the malware problem to the Linux world.
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Promoting promiscuity in this evolved and civilized society is actually like signing the Declaration, that says:“I hereby renounce my membership of humankind, since I am neither human nor kind. I declare that I no longer belong to the modern human species, i.e. the Homo sapiens. From now on I shall be counted among the swingers of the animal kingdom, such as the bonobo or montane vole. I am simply an arrogant philandering savage.
Rosemary Edghill, The Sword of Maiden's Tears|How do we become who we are in the world? We ask the world to teach us. But we have to ask with an open heart, with no idea of what the answer will be.
Kate Chopin, The Awakening|There is something indefinable in an entrepreneur, and I saw that in Steve," he said. " He was interested not just in engineering, but also the business aspects. I taught him that if you act like you can do something, then it will work. I told him, " Pretend to be completely in control and people will assume that you are.
Jazz Feylynn, Colorado State of Mind|Fingers you, claws me, crossed hoping Dad sees it that way.
Freedom Matthews, Inherited|I didn't falter and together we matched, step for step. Each swing of the sword was blocked, each step countered. No blade ever made contact with flash. We twirled around; my concentration far too focussed to feel dizzy. All I could see was Macrucio's wicked smirk, one that reminded me far more of my past than even Nathaniel did. I wasn't fighting Macrucio now; it was my former life I had to eradicate.
Bo Schembechler, Bo's Lasting Lessons: The Legendary Coach Teaches the Timeless Fundamentals of Leadership|I realize that the decision might be simple. It will require a great act of selflessness to choose Abnegation, or a great act of courage to choose Dauntless, and maybe just choosing one over the other will prove that I belong.
Manel Loureiro, Apocalipsis Z: La ira de los justos|The Sacral has disappeared from daily reality of the modern world, and it is completely obvious that we live in the ”End of Times”, but the Sacral has not vanished (since it could not vanish theoretically, as it is eternal), but was transferred to a nightly, invisible projection, and is now ready to come down on human physical cosmos in a terrible apocalyptic moment of apogee of history, at a point, when the world that forgot about its spiritual nature and disowned it, will be forced to meet with it in a brutal flash of Revelation.
Rachel Vincent, Rogue|I had no desire to hear another woman tell my boyfriend how hot he was. If I wanted him to know, I'd damn well tell him myself. 
Kris Kidd, Down for Whatever|And I guess at the end of the day, you’re just amazed that I can still stand, and I’m just amazed that I can stand still.
Jeff Hobbs, The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League|I didn’t want to argue with my hosts. I wanted them to talk. But I felt like reminding Li that perhaps forty million Chinese people had died of starvation a half century earlier because they followed their government’s orders. It was the largest famine in history. A snapshot taken then would have given a very different picture of the supposedly essential character of Chinese people, and it would have entirely missed the point. Governments matter. Markets matter. History matters. International circumstances matter.
G.K. Chesterton, Eugenics and Other Evils: An Argument Against the Scientifically Organized State|It is one thing to believe in witches, and quite another to believe in witch-smellers.
