P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Arthur Schopenhauer, The Basis of Morality|Boundless compassion for all living beings is the surest and most certain guarantee of pure moral conduct, and needs no casuistry. Whoever is filled with it will assuredly injure no one, do harm to no one, encroach on no man's rights; he will rather have regard for every one, forgive every one, help every one as far as he can, and all his actions will bear the stamp of justice and loving-kindness.
Dominic Riccitello|Who knows if you’re alive anymore, but better yet, who knows if I’m even alive anymore?
Chloe Thurlow, Snow Falls Softly|Love happens once – you get it or you lose it but be rest assured, you never come out of it.
Jean Vanier, Community And Growth|When people love each other, they are content with very little. When we have light and joy in our hearts, we don't need material wealth. The most loving communities are often the poorest. If our own life is luxurious and wasteful, we can't approach poor people. If we love people, we want to identify with them and share with them.
Charles Dickens|I can be fascinated with very little things. The clouds stimulate my imagination, and sometimes I just sit somewhere and go on dreaming for a long time. Your head is also a computer. When you're dreaming, you are simulating a world in which you are living.
Arika Okrent, In the Land of Invented Languages: Esperanto Rock Stars, Klingon Poets, Loglan Lovers, and the Mad Dreamers Who Tried to Build a Perfect Language|In a language as idiomatically stressed as English, opportunities for misreadings are bound to arise. By a mere backward movement of stress, a verb can become a noun, an act a thing. To refuse, to insist on saying no to what you believe is wrong, becomes at a stroke refuse, an insurmountable pile of garbage.
Bruce Lee|Do not pray for an easy life, pray for the strength to endure a difficult one
Terri Garey|Come what come may, time and the hour run through the roughest day.
Sherry A. Rogers, The High Blood Pressure Hoax|Food allergy is one of the least diagnosed and most prevalent causes of symptoms, especially depression.
Ben Edlund|Shepherd Book: What are we up to, sweetheart? River: Fixing your Bible. Book: I, um... What? River: Bible's broken. Contradictions, false logistics - doesn't make sense. Shepherd Book: No, no. You-you-you can't... River: So we'll integrate non-progressional evolution theory with God's creation of Eden. Eleven inherent metaphoric parallels already there. Eleven. Important number. Prime number. One goes into the house of eleven eleven times, but always comes out one. Noah's ark is a problem. Shepherd Book: Really? River: We'll have to call it early quantum state phenomenon. Only way to fit 5000 species of mammal on the same boat. Shepherd Book: River, you don't fix the Bible. River: It's broken. It doesn't make sense. Book: It's not about making sense. It's about believing in something, and letting that belief be real enough to change your life. It's about faith. You don't fix faith, River. It fixes you.
Linda W. Yezak|Action is the pulse of any good story, but the character is the heart. If the action has no consequence to the character, the story loses heart.
Kilroy J. Oldster, Dead Toad Scrolls|Happiness has only one colour: The Bright! The bright of red, the bright of green, the bright of any colour! Happiness is bright! It shines, it sparkles, it glints!
Kat Green, Strings|Luke, shut up. Yes, he could give me everything material," - she rested her hand over his heart - "but he couldn't give me this." She smiled at him, yet she was still tearful. "It wouldn't matter if you don't make another penny from music. We could be living in a cardboard box and begging, I don't care. I just want you, nothing else.""I love you so much it hurts," Luke whispered.
Jessi Klein, You'll Grow Out of It|Ma'am is yet another horrible-sounding word in the lexicon of words that women are stuck with to describe various aspects of their body/life/mental state/hair. Vagina. Moist. Fallopian tubes. Yeast infection. Clitoris. Frizz. These are all terrible words, and yet they are our assigned descriptors. Who made up these words? Women certainly didn't. If, at the beginning of time, right after making vaginas, God had asked me, 'What would you like your most intimate and enjoyable part of yourself to be called?',' I most certainly wouldn't have said, 'Vagina.' No woman would, because vagina sounds like a First World War term that was invented to describe a trench that has been mostly blown apart but is still in use. Even off the very top of my head I feel like I could have come up with something better, like for instance the word papoose, which actually as I'm typing it feels like an incredibly brilliant word for vagina.
Sarah Ruhl, Chekhov's Three Sisters & Woolf's Orlando|I half-expect to check out, but I'm really there for it. It's not like at the dance, angry and forced. It's terrible in its gentleness and he's just wasting it on me.
Laura Lam, Shadowplay|It doesn't matter if you do everything right, if you dress the right way and act the right way and follow all the rules, because evil will find you anyway. Evil's resourceful that way.
Charles Kingsley|There is nothing more wonderful than a book. It may be a message to us from the dead, from human souls we never saw who lived perhaps thousands of miles away, and yet these little sheets of paper speak to us, arouse us, teach us, open our hearts and in turn open their hearts to us like brothers. Without books, God is silent, justice dormant, philosophy lame.
J. Saman, Start Again|We run in silence, enjoying the sunrise over the ocean and I swear there are few things more beautiful than this. Pinks and purples and yellows fill the sky, bathing us in light. The salty breeze brushes my skin, sticking to my moistened flesh.
Khaled Hosseini, The Kite Runner|That's coral!" she cried in astonishment. "We must be down in the deeps of the sea!"Well, wasn't that what you wanted?" said the trout. "I thought you wished you could see the sea!"I did," said Jane, looking very surprised. "But I never expected the wish to come true."Great oceans! Why bother to wish it then? I call that simply a waste of time. But come on! Mustn't be late for the party!
Andy Paula|A good man never makes excuses, a smart man is never in a position to need one.
C. JoyBell C.|Hold onto your innocence of heart, at all costs! Because it is the spark of deity that you are born with. Don’t let the trolls steal your divineness.
Phil 'Philosofree' Cheney|Imagination is tapping into the subconscious in a form of open play. That is why art or music therapy, which encourages a person to take up brushes and paint or an instrument, and just express themselves, is so powerful.
Marcel Proust, The Guermantes Way|Poets claim that we recapture for a moment the self that we were long ago when we enter some house or garden in which we used to live in our youth. But these are most hazardous pilgrimages, which end as often in disappointment as in success. It is in ourselves that we should rather seek to find those fixed places, contemporaneous with different years. And great fatigue followed by a good night's rest can to a certain extent help us to do so. For in order to make us descend into the most subterranean galleries of sleep, where no reflexion from overnight, no gleam of memory comes to light up the interior monologue—if the latter does not itself cease—fatigue followed by rest will so thoroughly turn over the soil and penetrate the bedrock of our bodies that we discover down there, where our muscles plunge and twist in their ramifications and breathe in new life, the garden where we played in our childhood. There is no need to travel in order to see it again; we must dig down inwardly to discover it. What once covered the earth is no longer above but beneath it; a mere excursion does not suffice for a visit to the dead city: excavation is necessary also. But we shall see how certain fugitive and fortuitous impressions carry us back even more effectively to the past, with a more delicate precision, with a more light-winged, more immaterial, more headlong, more unerring, more immortal flight, than these organic dislocations.
Svante Arrhenius, Theories of Solutions|In a great number of the cosmogonic myths the world is said to have developed from a great water, which was the prime matter. In many cases, as for instance in an Indian myth, this prime matter is indicated as a solution, out of which the solid earth crystallized out.
Pearl S. Buck, The Big Wave|Fear alone makes man weak. If you are afraid, your hands tremble, your feet falter, and your brain cannot tell hands and feet what to do.
Maria Montessori|My social philosophy may be said to be enshrined in three words: liberty, equality and fraternity. Let no one, however, say that I have borrowed by philosophy from the French Revolution. I have not. My philosophy has roots in religion and not in political science. I have derived them from the teachings of my Master, the Buddha.
Diane Ackerman|It began in mystery and it will end in mystery, but what a rare and beautiful country lies in between.
Karen Karbo, Julia Child Rules: Lessons on Savoring Life|Work and you’ll get what you need, work harder and you’ll get what you want.
Adelheid Manefeldt, Consequence|When you’re a kid, you don’t think about big stuff that could change your life. You think about small things that might terrify you –like a bad report card or missing a goal in front of all your friends or your friends no longer wanting to play with you. Because that's the biggest stuff you know. The biggest disappointments are all tied to this small little universe of yours, because bigger things cannot fit into a small universe. If you wanted bigger things in there you needed to have more room –or make more room. Perhaps you thought about your parents or your pets dying, which was rare. But all you knew was you would be terribly sad and lonely. And on those occasions when people or pets actually died, someone usually came along and distracted you from feeling too much of your actual feelings. Grownups did that –they never left you alone to feel alone or think alone too much. They tended to think you are too small to know how to think and feel in big heaps, so they took parts of your heap onto themselves. To help – but in the long run –it doesn’t help at all. Because if you do not see, or feel or think, or taste the bitter things in life, you don’t know they exist. You have not seen enough of the world to know how terrible it could be. And unfortunately for Sam, this inability to process change persisted into adulthood.
David Friedman|I have long held that there are two fundamental views of children: That they are pets who can talk, or that they are small people who do not yet know very much. The wrong one is winning.
Joris-Karl Huysmans, Against Nature|Hem, you know I don't think that owner's wife where you live likes me. She wouldn't let me wait upstairs for you.''I'll tell her,' I said.'Don't bother. I can always wait here. It's very pleasant in the sun now, isn't it?''It's fall now,' I said. 'I don't think you dress warmly enough.''It's only cool in the evening,' Evan said. 'I'll wear my coat.''Do you know where it is?''No. But it's somewhere safe.''How do you know?''Because I left the poem in it.
Thornton Wilder|If you write to impress it will always be bad, but if you write to express it will be good
Amber Hurdle, The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur|You want to be able to say, for example, “I will know I am successful if these three things happen.
Kendare Blake, Anna Dressed in Blood|The rhythm of the footsteps, the sound of whatever is coming down the ladder is driving both me and my mom steadily toward peeing our pants.
Lemony Snicket|In love, as in life, one misheard word can be tremendously important. If you tell someone you love them, for instance, you must be absolutely certain that they have replied "I love you back" and not "I love your back" before you continue the conversation.
Eric Hoffer, The True Believer: Thoughts on the Nature of Mass Movements|He wasn’t dealing with underage girls or porn, just spreading the word of jihad to young, impressionable people, which, unfortunately, was not a crime.
Frédéric Vandenberghe|Constitutions should consist only of general provisions; the reason is that they must necessarily be permanent, and that they cannot calculate for the possible change of things
Carl Sutton, Selective Mutism In Our Own Words: Experiences in Childhood and Adulthood|Left alone, no matter at what age or under what circumstance, you have to remake your life.
Donda West|To me, being appropriatedoes not always mean conforming. Often it means justthe opposite. Sometimes, refusing to conform and even confrontingis not only appropriate but necessary to change theworld for the better.
Erin O'Riordan, Cut|We tried to make a heaven of earth,But the earth is just a stage, a school,Where we wear our masks and play our rolesAnd teach each other how to love.
Kelley Armstrong, Bitten|What is it with you and that book?"Rafael laughed. "We have a personal relationship.
Abraham Cowley|May I a small house and large garden have;And a few friends,And many books, both true.
Herman Koch|Something in me whispered that I needed to stop thinking, that I should above all not go too farwith thinking. But that never worked; I always thought things through to the end, to their mostextreme consequence.
J.R. Ward, Lover Unleashed|What’s next? The size of my cock?” “Hey, even pencils can get the job done—I’ve heard the moaning from your room to prove it.
Elizabeth Marie Pope, The Perilous Gard|I want to hold you like a kitten in my shirt, and still I want to spread your thighs and plow ye like a rotting bull. I dinna understand myself.
Andrei Bely, The Silver Age of Russian Culture: An Anthology|Adam Antonovich's father was a tubby tyrant with a triple chin and chinks where his eyes should have been. All his life he had amassed money. In old age he had exchanged it for space; his estates grew, grew and swelled.("Adam")
Luggs, Heaven Won't Wait|His biggest gripe with religion was the concept of heaven, of paradise, that we could only get there after we died. He said any philosophy that cared more about life after death than life before death wasn’t anything he could believe in. That’s why he called this farm Paradise. He said Paradise was ours if we wanted it. It was ours to make in the here and now, not something out there in the future that we had to wait for.
Vernon McLellan|Some of us are like the Dead Sea, always taking in but never giving out, because we are not rightly related to the Lord Jesus.
Kakeru Yuiga|We, the people with special powers use our abilities for peace. That's the mission that was given to us by the World.
Molly Looby, Playing with Reality:|My heart was still beating, I was still breathing, but was living something more?
Anne Lamott, Bird by Bird: Some Instructions on Writing and Life|For some of us, books are as important as almost anything else on earth. What a miracle it is that out of these small, flat, rigid squares of paper unfolds world after world after world, worlds that sing to you, comfort and quiet or excite you. Books help us understand who we are and how we are to behave. They show us what community and friendship mean; they show us how to live and die.
Emily Maguire, Taming the Beast|Michael was still an enigma, wrapped in a riddle, coated in yum. Only now the enigma was a little less mysterious; I was a few clues closer to solving the riddle - but damn, that man would always be coated in yum.
Tina Fey|And, you know, politics aside, the success of Sarah Palin and women like her is good for all women - except, of course —those who will end up, you know, like, paying for their own rape ‘kit ‘n’ stuff, But for everybody else, it’s a win-win. Unless you’re a gay woman who wants to marry your partner of 20 years - whatever. But for most women, the success of conservative women is good for all of us. Unless you believe in evolution. You know - actually, I take it back. The whole thing’s a disaster.
Ali ibn Abi Talib|Our generation is realistic, for we have come to know man as he really is. After all, man is that being who invented the gas chambers of Auschwitz; however, he is also that being who entered those gas chambers upright, with the Lord's Prayer or the Shema Yisrael on his lips.
Shauna Niequist, Bittersweet: Thoughts on Change, Grace, and Learning the Hard Way|Be grateful with what you have, So you will live your life without regret.
Ellen Ochoa|Astronauts are very professional and when they're preparing for launch, they prepare for it as the most serious endeavor of our lives.
Klaus Mann, Mephisto|M. Larue almost fell upon the neck of Höfgen, so delighted was he to see him again. "Oh, oh, mon très cher ami! Enchanté - charmed to see you again." There was a shaking of hands and cordial laughter. Wasn't it a pleasure for M. Larue to live in the new Germany? Wasn't his new love in his well-fitting SS uniform much prettier than any of those dirty Communist youths in days gone by? Bonsoir, mon cher, I am utterly delighted - long live the Führer. That very evening, Larue insisted, he would send a report to Paris saying how happy and peace-loving everyone was in Berlin. No one has any wicked, aggressive thoughts.
Jane Addams|True peace is not merely the absence of war, it is the presence of justice.
Paulo Coelho, The Pilgrimage|Travelers, there is no path, paths are made by walking.
Lailah Gifty Akita, Think Great: Be Great!|What a joyful journey, to travel with the Lord.
John Woo|Every presidential candidate highlights patriotism, but Mr. Romney's is backed by the Mormon belief that the United States was chosen by God to play a special role in history, its Constitution divinely inspired.
Adam Haslett, Imagine Me Gone|Sound systems are what turn cars into escape vehicles, even if you've got nowhere to go.
Diane Hendricks|Don't ever break someone's trust. Once you do, then nobody wants to do business with you.
Kate Clinton|I always wrote music for my friends, but my focus was on playing piano. I didn't think I'd be quite good enough to be a soloist, but I believed that if I worked hard enough, I could work as a player, a teacher.
L. Frank Baum, The Wonderful Wizard of Oz|I think you are wrong to want a heart. It makes most people unhappy. If you only knew it, you are in luck not to have a heart.
Lailah Gifty Akita|We testify about wonders of Saviour, Jesus Christ, the Son of God.
Farshad Asl|I only have one plan, to give it my all ... I AM AN ENTREPRENEUR.
Joe L. Wheeler, Abraham Lincoln, a Man of Faith and Courage: Stories of Our Most Admired President|When Lincoln was asked if God was on the Union’s side, Lincoln’s unvarying response was that what was really important was whether they were on God’s side.
Tessa Dare, One Dance with a Duke|It's never been my desire to conquer you, Amelia. If you leave this room with me, it must be at my side. As my wife, my lover, my partner ...” His thumb brushed her lip. “My dearest friend.
L.A. Weatherly, Broken Sky|Experiences and memories make us who we are, not just our genes.
Michelle Obama|When I get the chance to make my favorite breakfast on the weekend, I often choose to make pancakes.
Anastasia Bolinder|Adventures call a valiant few, happenstance upon calls many.
Laura Dern|I am definitely romantic, and I love romantic stories - that's why I keep making romantic movies.
Karen Amanda Hooper, Tangled Tides|can you see how amazing the Sun in Winter? so beautiful like a miracle", and he looked at me and said "The Sun is like a miracle just in Winter, but you are a mirace in my life".
Agnostic Zetetic|If it’s convenient to love you, you’re lying to someone about who you are or what you need.
Fyodor Dostoyevsky, The Brothers Karamazov|I love mankind, he said, "but I find to my amazement that the more I love mankind as a whole, the less I love man in particular.
Robert Louis Stevenson|For the life of me, I don't understand what honest motive there is in putting this in front of this body to philosophically debate marriage on a constitutional amendment that is not going to happen, and which is enormously divisive in all of our communities.
Andrew Sullivan|Neatness begets order; but from order to taste there is the same difference as from taste to genius, or from love to friendship.
Joni Mitchell|I studied with Sandy Meisner at the Neighborhood Playhouse. I was in the last class to study with him before he had his larynx removed, so I actually remember the sound of his voice. He was an incredible teacher.
Farshad Asl|As an entrepreneur you own your business, you expand your brand, you increase your impact, you live with no excuses, and you enjoy your intentional growth daily.
Ted Allen|Throughout its history, the members of Shearith Israel have observed Thanksgiving by reciting in synagogue the same psalms of praise and gratitude sung by Jews all over the world on festive days like Hanukkah.
Sunday Adelaja|People should see genuine, authentic love in the church
Muhammad Yunus|The number one benefit of information technology is that it empowers people to do what they want to do. It lets people be creative. It lets people be productive. It lets people learn things they didn't think they could learn before, and so in a sense it is all about potential.
Gabe A. Lopez|In the end it comes down to two rival versions of the English middle afternoon. Post-Barrett, Pink Floyd kept on in a middle-afternoonish vein, but they fell in love with the idea of portentous storm clouds in the offing somewhere over Grantchester....Barrett's afternoonishness was far more supple and engaging. It superimposed the hippie cult of eternal solstice on the pre-teatime daydreams of one's childhood, occasioned by a slick of sunlight on a chest of drawers....His afternoonishness is lit by an importunate adult intelligence that can't quite get back to the place it longs to be....Barrett created the same precocious longing in adolescents."I remember 'See Emily Play' drifting across a school corridor in 1967...and I remember the powerful wish to stay suspended indefinitely in that music...I also remember the quasi-adult intimation that this wasn't pos
Jeff Tweedy|My music is so often like a lullaby I write to myself to make sense of things I can't tie together, or things I've lost, or things I'll never have.
Samuel Asumadu-Sarkodie|Until you are Tried and Tested, Your Greatness will have no meaning
Rebecca McNutt, Super 8: The Sequel to Smog City|I'm sure my parents must be proud. Or horrified. Or are bitterly arguing about whether they're proud or horrified, and have already hired lawyers to resolve the dispute. -Hayden Upchurch
Marie Rutkoski, The Winner's Kiss|People of the hundred," he said, using an ancient Herrani phrase Arin was surprised he knew, "who leads you?"So many cried Arin's name that it no longer sounded like his name.
Jay Woodman|in so far as we cherish the tangibles, we must value the intangibles. The intangibles, though as latent as they may seem to be, they are solemnly tangible.
Mark Grist|If a tree falls in the woods when no one is there, does it still make a noise? If a girl dies in the woods when no one is there, does anyone care? If no one knows I am here, do I even exist?
Debasish Mridha|Do your own thing with love and passion. You will be happy, no matter the result of your action.
Alistair Cross, Beautiful Monster|Carroll was eleven years old when he saw The Haunting in The Oregon Theater. He had gone with his cousins, but when the lights went down, his companions were swallowed by the dark and Carroll found himself essentially alone, shut tight into his own suffocating cabinet of shadows. At times, it required all his will not to hide his eyes, yet his insides churned with a nervous-sick frisson of pleasure. When the lights finally came up, his nerve endings were ringing, as if he had for a moment grabbed a copper wire with live current in it. It was a sensation for which he had developed a compulsion.Later, when he was a professional and it was his business, his feelings were more muted - not gone, but experienced distantly, more like the memory of an emotion than the thing itself. More recently, even the memory had fled, and in its place was a deadening amnesia, a numb disinterest when he looked at the piles of magazines on his coffee table. Or no - he was overcome with dread, but the wrong kind of dread.("Best New Horror")
Brooke Janser (12-24)|A lot of people will ask me “Whats depression like?”. 	Its the same answer every time. “Its shitty...”. But you know whats its really like? Its like a bundle of dark clouds falling over your head, raining constantly. So your drenched. You cant function properly, you can’t do the things you love because your fingers slip and you mess up. Your clothes metaphorically are like your life, you try to change them, but they only stay dry for a few seconds, then its the same old story all over again. And no one, I repeat no one, wants to be near you. 	Your a wet, soaking, depressed and helpless kitten lost in depressions firm grip. Its like a stalker, it follows you. Everywhere you go, Its waiting for you. You can’t leave it. You can’t ignore it. Its always there. Thats what makes it so scary. You can never get away from it, unless, someone pushes those fiery and dark clouds away. If their willing to sacrifice everything just to make you happy. 	Even if that means taking those clouds upon themselves.
Catherynne M. Valente, The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making|...but with the hours I sometimes kept at the coffeehouse I had to have learned to take naps during the day or die, and I had learned to take naps. Up until five months ago "something or other or die" had always seemed like a plain choice in favor of the something or other.
David Brier, The Lucky Brand|Cookie cutters are for baking, not branding.
Deyth Banger|Oftentimes we feel like we can't say no, but YOU'LL LOWER YOUR STRESS BY NOT SAYING YES all of the time.
John Ajvide Lindqvist, Låt de gamla drömmarna dö|Vendetta is the word, except it isn't strong enough.
Mae West|Of all the properties which belong to honorable men, not one is so highly prized as that of character.
Terry Pratchett, Feet of Clay|The next day I had a hangover.I realised that if getting drunk was how people forgot they were mortal, then hangovers were how they remembered.
Richelle E. Goodrich, Smile Anyway|No matter how hard they try, they'll never create anything so perfectly beautiful as what plays out in my own imagination.
Walter Mosley, Devil in a Blue Dress|Chirren is the most dangerous creatures on the earth, with the exception of young girls between the ages of fifteen and forty-two.
Travis Barker|It's really unfair to working women in America who read celebrity news and think, 'Why can't I lose weight when I've had a baby?' Well, everyone you're reading about has money for a trainer and a chef. That doesn't make it realistic.
Terry Eagleton, Literary Theory: An Introduction|When people are treated like a product, they become obsessed with materialism.
Debbie Ford, The Best Year of Your Life: Dream It, Plan It, Live It|To this day, I remain awestruck by the fact that human beings are capable of this type of metamorphosis. We don’t have to stay stuck displaying the same personality traits over the course of our lifetime but are free to transform into higher expressions of ourselves. Today I can honestly say that I know beyond the shadow of a doubt that human beings are capable of making radical and lasting change. After a decade of coaching individuals and leading groups, I have discovered that if I don’t buy into people’s perceptions of who they are and what they are capable of, I can bypass their public personas and see who they are in their highest expression. With a little effort, I can see their magnificence and their potential no matter what they look like or what condition their emotional, spiritual, or financial world is in. I can see through their acts, their personas, their fears and insecurities. I can see who they are apart from the baggage they carry around. The undeniable fact is that underneath all of our public personas, we already are that which we desire to be. Our only job is to see past our own limitations so that we can return to that which we already are.
Doctrine and Covenants 88 118|If the sky has turned a darkened grey and the sea threatens to spill the occupants in the boat, know that the Lord God made the storm still, and though you shall face storms in your life the Lord God will still them with his hand. When you are alone, Jesus will have his arms wrapped around you, holding you tightly, the angels shall call out your name when you feel that you have been deaf, and you shall see the light of Heaven when you think you are blind. When you feel your dreams are broken it does not do well to cast yourself into misery but look at the brighter side of life, and see all the Lord has blessed you with!
Carlos Salinas, The Little Book of Big Quotes|If you mould yourself according to time and let yourself flow with the changingcircumstances, see, what you will soon transform into.
Cassandra Clare, City of Ashes|I'll just have them change the entry in the demonology textbook from 'almost extinct' to 'not extinct enough for Alec. He prefers his monsters really, really extinct.' Will that make you happy?
Melissa de la Cruz, Keys to the Repository|It's a lot easier to say when something ended rather than when it began. Most of us can recognize the end from a mile away, but the beginning always slips up on us, lulling us into thinking what we're living through is yet another moment, in yet another day.
Abdullah of Saudi Arabia|Wherever men and women are persecuted because of their race, religion, or political views, that place must - at that moment - become the center of the universe.
Peter Høeg, Smilla's Sense of Snow|On closer examination, we are simply a banal tragedy spread over two generations.
Chanakya|Lose not yourself in a far off time, seize the moment that is thine.
David  Kirk, Child of Vengeance|For the past couple of nights when I'd lain down beside her, after she'd called asleep and I knew she couldn't hear me, I'd promised her that she'd never have to forgive me again if she could do it one last time.
Anne Lamott, Bird by Bird: Some Instructions on Writing and Life|Thirty years ago my older brother, who was ten years old at the time, was trying to get a report written on birds that he'd had three months to write, which was due the next day. We were out at our family cabin in Bolinas, and he was at the kitchen table close to tears, surrounded by binder paper and pencils and unopened books about birds, immobilized by the hugeness of the task ahead. Then my father sat down beside him put his arm around my brother's shoulder, and said, "Bird by bird, buddy. Just take it bird by bird.
S.L. Whyte, Stelladaur: Finding Tir Na Nog|Yes,it is remarkable how far a person can travel by sea.
Katherine McIntyre, Poisoned Apple|A covenant is a bond in blood sovereignly administered. When God enters into a covenantal relationship with men, he sovereignly institutes a life-and-death bond. A covenant is a bond in blood, or a bond of life and death, sovereignly administered.
Cecelia Ahern, Thanks for the Memories|Oh, it's called, em...' Kate thinks, 'I can't remember what it's called.''You're the same as me,' Dad says to her. 'You've got CRAFT too.''What's that?''Can't. Remember. A. Fuc-
Brittney Joy, Lucy's Chance|Lucky for me, all four of his hooves missed my body as they found the ground. I picked my head up, thankful I didn't get stomped, and watched the steer run off along the fence. Mental note: cows are not like horses. Don't let the big brown eyes fool you.
Deborah Wilde, The Unlikeable Demon Hunter|Even though his ass extended past the seat, it was so rock hard that it didn’t droop over the sides. I checked twice to make sure.
Harry Browne|When it comes to controlling human beings, there is no better instrument than lies. Because you see, humans live by beliefs. And beliefs can be manipulated. The power to manipulate beliefs is the only thing that counts.
Emily Arden, Lie to me: Deception: Book Two|Love is a blend of heart and mind, it creates a euphoric fusion of energy and intellect, to induce a transformation in life as the Rays of Love gradually befall.
Germaine Greer, The Female Eunuch|In some ways the operation of the feminine stereotype is so obvious and for many women entirely unattainable, that it can be easily reacted against. It takes a great deal of courage and independence to decide to design your own image instead of the one that society rewards, but it gets easier as you go along. Of course, a woman who goes her own way will find her conditioning is ineradicable, but she at least can recognize its operation and choose to counteract it, whereas a man might find that he was being more subtly deluded.
Robert James Waller, The Bridges of Madison County|her heart was the defendant,in the court waiting for the last decision and the judge was th mind.is it the end of love
Lailah Gifty Akita, Think Great: Be Great!|Challenges make us grow in faith, in spirit and in strength.
Farooq Shah|My mother is a never ending song in my heart of comfort, happiness, and being.I may sometimes forget the words but I always remember the tune.I love my mom!
Ron Brackin|When you spend your life taking care of mudmen, you can't help getting a little dirty yourself.
Stephanie Staal|The feminist story, she reminded me, is a counternarrative, a narrative of disobedience, a chronicle of battle, nto of surrender. Women who do not fit the mold are too often maneuvered, manipulated, and mangled into some culturally safe archetype. The makers of history transformed perpetua intoa cold, unfeeling mother - a villan of sorts. But who is to say that becoming a mother didn't also push Perpetua to become a martyr, didn't cause her to passionatley uphold her religious ideals because she wanted to offer her son the greatest gift she could - an ideal? Maybe, in the end, Perpetua's maternal instincts were precisely what gave her the strength to confront the burliest Roman gladiator and the to lie down with dignity?
Paul David Washer|Why would we want fame, when God promises us glory? Why would we be seeking the wealth of the world when the wealth of heaven is ours? Why would we run for a crown that will perish with time, when we're called to win a crown that is imperishable?
G.K. Chesterton, Five Types|I tended to do anything as long as it felt like an adventure, and to stop when it felt like work. Which meant that life did not feel like work.
Matshona Dhliwayo|If the sky never grew dark, we would not be able to clearly see the stars.
Jay-Z|Black and awkward is the worst, because black people are stereotyped as being anything but awkward in mainstream media... Black people are always portrayed to be cool or overly dramatic, anything but awkward.
Nathan Reese Maher|Do we not each dream of dreams? Do we not dance on the notes of lostmemories? Then are we not each dreamers of tomorrow and yesterday, since dreamsplay when time is askew? Are we not all adrift in the constant sea of trial and when all is done, do we not all yearn for ships to carry us home?
Mihailo Markovic, Contemporary Marx|The pygmies, for example, or the Mindoro of the Philippines, do not want equal rights – they just want to be left alone.
Yukio Mishima, The Temple of the Golden Pavilion|And the answer is: You are wrong. The Faeries are not gone. But they are no longer what they were. I watched it and did not help them, though I could have. I cheered. I cheered and I wept and I was glad. Perhaps I should not have been. Perhaps laughing at agony is a Fairy's game and I should not have moved my pieces on their board.
Virginia Postrel|Evil is a source of moral intelligence in the sense that we need to learn from our shadow, from our dark side, in order to be good.
Brian de Haaff, Lovability: How to Build a Business That People Love and Be Happy Doing It|If your customers love you, they will not only remain fiercely loyal but become your most powerful marketing asset. Lovability is the greatest predictor of business success.
Lilly Singh|The next time you see a spider web, please, pause and look a little closer. You'll be seeing one of the most high-performance materials known to man.
Shashi Deshpande, In the Country of Deceit|Forgetting isn’t the key to moving on. Remembering is, because only once we’ve remembered can we forget.
Edith Bouvier Beale|This is the best thing to wear for today, you understand. Because I don't like women in skirts and the best thing is to wear pantyhose or some pants under a short skirt, I think. Then you have the pants under the skirt and then you can pull the stockings up over the pants underneath the skirt. And you can always take off the skirt and use it as a cape. So I think this is the best costume for today.
Dada Bhagwan|God is where there are no ‘fees’ being charged, where there is no botheration and where there is no scolding; that is where God is.
Leo Burnett|In art, all who have done something other than their predecessors have merited the epithet of revolutionary; and it is they alone who are masters.
Polly Horvath, My One Hundred Adventures|His eyes passed over the solid shapes of the instruments and computers that lined the bridge. They winked away innocently at him. He stared out at the stars, but none of them said a word.
Chuck Palahniuk, Make Something Up: Stories You Can't Unread|When angry, count ten before you speak; if very angry, an hundred.
Christopher Paolini|I'm sorry you don't want to know me anymore. I will spend the rest of my life regretting the fact that I wasted my second chance to know you. And I will always be conscious of your absence."- Gabriel to Julia.
Jeanette Winterson, Why Be Happy When You Could Be Normal?|Little by little she had been discovering the uncertainty of her husband's step, his mood changes, the gaps in his memory, his recent habit of sobbing while he slept, but she did not identify these as the unequivocal signs of final decay but rather as a happy return to childhood.
Lemony Snicket, Shouldn't You Be in School?|When you find the sort of people who will show up to give you a ride exactly when they've promised to do so, hold on to them for dear life.
Henry Wadsworth Longfellow, Birds of Passage|I promise that this won't be our last night together, that there will be lots of nights together. I'm promising that we will see each other again, and I'm going to do everything I can to make sure that happens in less than a year." He gently brushed the hair back from my face, looking in my eyes. "And I promise you that I'm going to love you, forever. Na'u 'oe, nau ko'u. You're mine and I'm yours. I'm promising you mau loa. I'm promising you forever." - Kai
Stanisław Lem, Solaris|Man has gone out to explore other worlds and other civilizations without having explored his own labyrinth of dark passages and secret chambers, and without finding what lies behind doorways that he himself has sealed.
Chris Greenhalgh, Coco Chanel & Igor Stravinsky|No Matter How Smart A Lie Is Structured, Eventually The Truth Shall prevail.
Kris Kidd, Return to Sender|And once when we were walking on Bredon Hill, we met a bedraggled and exhausted fox. 'Oh, poor thing,' Jack said. 'What shall we do when the hunt comes up? I can already hear them. Oh, I know -- I have an idea.' He cupped his hands and shouted to the first riders, "Hallo, yoicks, gone that way," and pointed in the direction opposite to the one the fox had taken. The whole hunt followed his directions. There followed a long discussion about when lying was morally justifiable, but he boasted delightedly later to my wife that he had saved the life of a poor fox and showed no trace of guilt.
