Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Ziad K. Abdelnour|James hoped the newsletter would garner support from Bahana, or white people, to stop a town well that the Bureau of Indian Affairs wanted to dig and a tower it wanted to erect to store the water. The Hotevilla elders were willing to lay down their lives in this battle. They’d done it before, preventing the BIA from bringing electricity to the village by lying down in front of bulldozers. If that well went in, James explained, people would waste water. Their spring would dry out- an unthinkable tragedy, as it would make it impossible for them to live there any longer. Could two cultures be any different? I now wondered. We were taking federal money to mine water and would do so until the unlikely day that same government made us stop. The Hopi had been trying to prevent the government from giving them a well in the first place.
Leta B., Your Steady Soul: May you transform your pain, anger, and hurt into wisdom, kindness, and love.|The threads of logic, intuition, and humanity should be beautifully interwoven through the fabric of our world.
Kate Avery Ellison, The Curse Girl|What about you? What do you do?” I needed to ask questions, draw him out. I needed to find out all the information I could. My voice sounded strong and smooth, but my hands were shaking. I put them in my lap so he couldn’t see.“I prey on innocent villagers and terrify their children,” he said with a nasty smile. “And sometimes when I’m feeling really evil, I read books or paint.
Lailah Gifty Akita, Think Great: Be Great!|If you have seen darkness, you will appreciate the dawn of light.
Hugh Nibley, Approaching Zion|The mass of the rich and the poor are differentiated by their incomes and nothing else,and the average millionaire is only the average dishwasher dressed in a new suit.
Tom Rath|I try to keep a positive intention and use whatever resources I have to benefit others. I try to create businesses that I think are not hurtful. I try to do things that I think are helpful to the environment, to the animals, and to the planet.
John Tyndall, Faraday as a Discoverer|His [Faraday's] third great discovery is the Magnetization of Light, which I should liken to the Weisshorn among mountains-high, beautiful, and alone.
Sam Lipsyte, The Ask|Yes,” said Cooley. “That is the question, as the Bard might say.” “The Bard?” “What’s so funny?” said Cooley. “Nothing, sir,” I said. “I just didn’t know people still used that term.” “Well, I’m a people, Burke. Am I not?” “Of course.” “If you prick me, do I not bleed, you scat-gobbling, mother-rimming prick?” Occasionally Dean Cooley reverted to a vocabulary more suited to his marine years, but some maintained it was only when he felt threatened, or stretched for time. “Yes, sir,” I said.
Lionel Suggs|If organizations measure the input to the strategy implementation, but not the output, it’s a recipe for disaster.
August Strindberg, The Son of a Servant|Lula," I said, "do you ever think about getting married?"I guess I do. Doesn't everybody?"You have to let your husband kiss you once you're married. And you have to kiss him 
Charles Williams|Kids aint supposed to be grateful! They're supposed to eat your food, break your heart.
Ernest Agyemang Yeboah|until we courageously find a cheaper antidote to our ignorance, we shall always pay a higher price for our ignorance courageously.
James Cameron|Each time I invent something and have it manufactured, it's so incredibly exciting that I can't imagine ever wanting to stop. Envisioning new products is easy for me. I just don't have enough time in the day to design them all.
Chelsea Fine, Perfect Kind of Trouble|Gifts are not things that you earn or deserve they are a way for the giver to show their appreciation for you and Daren, you are a part of my family
Jonathan Auxier, The Night Gardener|That’s why we get involved with other people, right? Not just for their bodies, but for everything else, too – their dreams and their scars and their stories.
Mychal Denzel Smith, Invisible Man, Got the Whole World Watching: A Young Black Man's Education|Anger is what makes our struggle visible, and our struggle is what exposes the hypocrisy of a nation that fashions itself a moral leader. To rise against the narrative and expose the lie gives opportunity to those whose identity depends on the lie to question and, hopefully, change.
Archibald Marwizi, Making Success Deliberate|Begin to invest in productive capacity, and the ability to see people flying or shining on the platform you have set for them in support of your vision. You need to draw the best out of them so that the reach and impact of your vision becomes phenomenal. See them as your extension, the multiplication of the tentacles of your vision and mission – sometimes when they shine, they are not trying to replace you at all, they are trying to be a “little you” somewhere you cannot be, as you focus on other key strategic issues elsewhere.
Debasish Mridha|Let love bloom like a flower with the fragrance of the garden of your heart filled with beauty, joy, and happiness.
William Shatner|I am well placed to know that Le Pen is not an anti-Semite. If one considers his life seriously... a man who went to fight with the Israelis in '56! Many times, he tried to better the party's relationship with the Jewish community, even though I do not like the term.
Jincy Willett, The Writing Class|(N)ot writing was hard work, almost as hard as writing.
Mark Ruffalo|My experience of great storytelling, working with classics, is just finding a way to present it simply but let the story do its own work, or be an invite to the audience's imagination.
Elizabeth Knox, Dreamhunter|Happiness had never been like this before. Now it came like sun showers, the sun and the rain together. Happiness was happier than it had been - sharp, piercing, and snatched, like a breath while swimming in surf.
Tao Lin, Bed|As a child, she’d always had what she imagined were fascinating thoughts, but didn’t ever say them. Once, as a little girl, at recess, she thought that if she ran very fast at a pole and then caught it and swung quickly around, part of her would keep going, and she would become two girls.
Thich Nhat Hanh|New cells are born everyday and old cells die, but they have neither funerals nor birthdays.
Michele Brenton|Poetry is not an art, it's a symptom.
Tony Harrison|When people say "Oh wow, you're so lucky" ... I always wonder how they define luck. I can assure you people don't achieve their dreams because their lucky; they work day and night, with little sleep, investing their own money and working extremely hard. You don't get lucky in this life, you work hard and show people that luck is something YOU create. So, if you want to chase your own passion start listening to your own little voice, but more than anything, don't wait on getting lucky or your dream will be as misguided as your definition of success! Anyone can change their life and anyone can achieve their dreams. So work hard, get inspired and go out there and do it!
Katie Kacvinsky, Awaken|Oh, I just think that a neat house is the sign of a boring person, that's all. And I don't really like to associate with boring people if I can help it.
Robert G. Ingersoll|People with red hair are supposed to get mad very easily,...,and he had very red hair.
LaNina King|Psalm 91My Refuge and My Fortress91:1 He who dwells in the shelter of the Most High will abide in the shadow of the Almighty.2 I will say to the Lord, “My refuge and my fortress, my God, in whom I trust.
Gordon B. Hinckley|Believe in yourselves as sons and daughters of God, men and women with unlimited potential to do good in the world. Believe in personal virtue. There is no substitute for it anywhere under the. heavens. Believe in your power to discipline yourselves against the evils which could destroy you. Believe in one another as the greatest generation ever yet to live upon the earth.
Michael Pollan, Cooked: A Natural History of Transformation|Cooking gave us not just the meal but also the occasion: the practice of eating together at an appointed time and place. This was something new under the sun, for the forager of raw food would have likely fed himself on the go and alone, like all the other animals. (Or, come to think of it, like the industrial eaters we've more recently become, grazing at gas stations and eating by ourselves whenever and wherever.) But sitting down to common meals, making eye contact, sharing food, and exercising self-restraint all served to civilize us.
Bandile M Matsenjwa|One thing that makes your confidence echoe over negativity is your patience, understanding, ambitions and trust me it makes your accomplishments astonishing
Ogden Nash, Hard Lines|Jem grinned. “Where have you been? The Blue Dragon? The Mermaid?”	“The Devil Tavern if you must know.” Will sighed and leaned against one of the posts of the bed. “I had such plans for the evening. The pursuit of blind drunkenness and wayward women was my goal. But alas, it was not to be. No sooner had I consumed my third drink in the Devil than I was accosted by a delightful small flower-selling child who asked me for two-pence for a daisy. The price seemed steep, so I refused. When I told the girl as much, she proceeded to rob me.”	“A little girl robbed you?” Tessa said.	“Actually, she wasn’t a little girl at all, as it turns out, but a midget in a dress who goes by the name of Six-Fingered Nigel.”	“Easy mistake to make,” Jem said.
Jack Donovan, Androphilia|The natural gods of men are other men, mythic or real, who embody manhood in men's eyes.
Anthony Liccione|Hope is like a word made with cloud, without faith, it quickly blows away.
Hubert Martin|He was a musician of the best nature, with guitar string fingertips and soft flute lips that could tighten in a trumpet's purse. Every movement was perfect, every breath filled with purpose. Whether close or open, his eyes seeped ambition and his body burned with chaotic passion. I was his instrument and he played me so well. His fingers fashioned a tune of ecstasy while his lips felt the reed shudders of my skin. He stole my breath and made it his own, using my lips to create his climactic song. A symphony of electricity and orgasmic bliss, he played me so well his fingers never did miss. Half-circles and hooks with my parted lips as his speaker, I never knew another musician so ruthlessly eager. To finish his song, to hit every note, elongating the melody of every sound from the depths of my throat. He was ambitious, pushing my limits, tearing my reservations and destroying my thresholds, all I could do was phase in and out, my ears ringing from the ballad I was made to produce.
Dejan Stojanovic|To accomplish the perfect perfection, a little imperfection helps.
Arnold Albert van Ruler, God's Son and God's World|because God knew some fathers would neglect their responsibilities .when He created a woman He didnt use dirt again but he took a rib out of a man, to form a more powerful being, that why you get single mothers who can be both dads and moms at the same time for they contain both characteristics of a man and a woman..# we men need to appreciate women
The Upanishads|The same way a compact disk isn't responsible for what's recorded on it, that's how we are. You're about as free to act as a programmed computer. You're about as one-of-a-kind as a dollar bill
Suzanne Finnamore, Split: A Memoir of Divorce|Such silence has an actual sound, the sound of disappearance.
Frederic Chopin|Indeed, the existence of class, of social hierarchy, is as old as man himself. It prevails in the jungle where strength determines hierarchy; among men, it has also been savagely the same, whereby rulers vested with power through personal combat, or through lineal heritage as in the case of royalty, ravage their subjects.
Benigno Aquino III|I happen to agree with many of the liberal emphasis on compassion, justice and equality. I just disagree that it's the government's role to provide everything.
Simone Elkeles, Rules of Attraction|A trap is only a trap if you don't know about it. If you know about it, it's a challenge.
David W. Earle|If you are looking for love under rocks or bringing home water moccasins, you might be confusing love and pain.
Ricky Schroder|Brands mature over time, like a marriage. The bond you feel with your spouse is different than when you first met each other. Excitement and discovery are replaced by comfort and depth.
Steve Blank|I wouldn't call Loopt a failure. It didn't turn out like I wanted, for sure, but it was fun, I learned a lot, and I made enough money to start investing, which led me to my current job. I don't regret it at all.
Hanya Yanagihara, A Little Life|But these were days of self-fulfillment, where settling for something that was not quite your first choice of a life seemed weak-willed and ignoble. Somewhere, surrendering to what seemed to be your fate had changed from being dignified to being a sign of your own cowardice.
F. Scott Fitzgerald, This Side of Paradise|my imagination persisted in sticking horrors into the dark- so I stuck my imagination into the dark instead, and let it look out at me.
Angie karan|Any person or thing that corners you, puts you on the spot, increases your breathing unnecessarily and sucks up your energy may only just be a front- something to rob you of your energy and resources. Acknowledge it, slow down, then work-it-up, work-it-out, or walk-away. Life has a way of teaching us to earn respect from a position of self-respect
Khadija Rupa, Unexpressed Feelings|But if ever I try to mend, some other bodies would instantly break, would instantly be fragments.
Dean Inge|But every act in consequence of our faith, strengthens faith.
Dave Barry|It is a well-documented fact that guys will not ask for directions. This is a biological thing. This is why it takes several million sperm cells... to locate a female egg, despite the fact that the egg is, relative to them, the size of Wisconsin.
Heather O'Neill, The Girl Who Was Saturday Night|You feel as if everybody has been given an instruction manual on how to be likable, but you didn’t get it. And they are all sold out now. And if you are what you eat, then you must have surely spent the last few years of your life eating dog food and cat shit. Because when you look in the mirror, it is all that you see.
Scott Turow, One L: The Turbulent True Story of a First Year at Harvard Law School|Well before she became famous — or infamous, depending on where you cast your vote — Loftus's findings on memory distortion were clearly commodifiable. In the 1970s and 1980s she provided assistance to defense attorneys eager to prove to juries that eyewitness accounts are not the same as camcorders. "I've helped a lot of people," she says. Some of those people: the Hillside Strangler, the Menendez brothers, Oliver North, Ted Bundy. "Ted Bundy?" I ask, when she tells this to me. Loftus laughs. "This was before we knew he was Bundy. He hadn't been accused of murder yet." "How can you be so confident the people you're representing are really innocent?" I ask. She doesn't directly answer. She says, "In court, I go by the evidence.... Outside of court, I'm human and entitled to my human feelings. "What, I wonder are her human feelings about the letter from a child-abuse survivor who wrote, "Let me tell you what false memory syndrome does to people like me, as if you care. It makes us into liars. False memory syndrome is so much more chic than child abuse.... But there are children who tonight while you sleep are being raped, and beaten. These children may never tell because 'no one will believe them.'" "Plenty of "Plenty of people will believe them," says Loftus. Pshaw! She has a raucous laugh and a voice with a bit of wheedle in it. She is strange, I think, a little loose inside. She veers between the professional and the personal with an alarming alacrity," she could easily have been talking about herself.
Slavoj Žižek, Violence|The Christian motto 'All men are brothers', however, also means that those who do not accept brotherhood are not men.
Glenn Beck|Ours is no ordinary calling. Great opportunities and privileges have been bestowed upon us. To us, as a people, has been entrusted the grand and glorious labor of laying the foundation of the kingdom of God upon the earth. Every act of our lives should be performed with this in view. Nothing should be done by anyone calling himself a Latter-day Saint that will conflict with the policy which God has announced as proper to be adopted in establishing that kingdom" (The Discourses of Wilford Woodruff, p. 125).
Trilby D. Johnson, A-Ha Moments: Inspirational Quotes to Shift Your Thinking|We have to be alone, to know that we are everything!
Todd Stocker|When dreams are not clear, the results are often as blurred. You won't be able to arrive at your desired destination if you are not certain of where you're going. You have to be able to see clearly and perfectly.
John Hutton|It's so gratifying to see people face to face who get to meet the people who are giving them a fair price for their work. They can now provide medical support for their kids, give them better education and in general have a better standard of living. God knows they deserve it.
Marc Bekoff, Animals Matter: A Biologist Explains Why We Should Treat Animals with Compassion and Respect|Let us remember that animals are not mere resources for human consumption. They are splendid beings in their own right, who have evolved alongside us as co-inheritors of all the beauty and abundance of life on this planet
Aberjhani, Splendid Literarium: A Treasury of Stories, Aphorisms, Poems, and Essays|Poetry empowers the simplest of lives to confront the most extreme sorrows with courage, and motivates the mightiest of offices to humbly heed lessons in compassion.
Billy Collins|Dub has been a big influence in terms of production. It's inspired so many people and so much music - in terms of music where mixing desk was the instrument. Central to that is the echo chamber, and I think there's a little bit of a romantic thing there.
Pradeep Chaswal|The river reflected whatever it chose of sky and bridge and burning tree, and when the undergraduate had oared his boat through the reflections they closed again, completely, as if they had never been. There one might have sat the clock round lost in thought. Thought --to call it by a prouder name than it deserved-- had let its line down into the stream. It swayed, minute after minute, hither and thither among the reflections and the weeds, letting the water lift it and sink it until --you know the little tug -- the sudden conglomeration of an idea at the end of one's line: and then the cautious hauling of it in, and the careful laying of it out? Alas, laid on the grass how small, how insignificant this thought of mine looked; the sort of fish that a good fisherman puts back into the water so that it may grow fatter and be one day worth cooking and eating.
Rudyard Kipling, If: A Father's Advice to His Son|If you can keep your head when all about you Are losing theirs and blaming it on you,If you can trust yourself when all men doubt you,But make allowance for their doubting too;If you can wait and not be tired by waiting,Or being lied about, don't deal in lies,Or being hated, don't give way to hating,And yet don't look too good, nor talk too wiseIf you can dream - and not make dreams your master;If you can think - and not make thoughts your aim;If you can meet with Triumph and DisasterAnd treat those two impostors just the same;If you can bear to hear the truth you've spokenTwisted by knaves to make a trap for fools,Or watch the things you gave your life to, broken,And stoop and build 'em up with worn-out toolsIf you can make one heap of all your winnings And risk it on one turn of pitch-and-toss,And lose, and start again at your beginningsAnd never breathe a word about your loss;If you can force your heart and nerve and sinewTo serve your turn long after they are gone,And so hold on when there is nothing in youExcept the will which says to them: 'Hold on!'If you can talk with crowds and keep your virtue,Or walk with Kings - nor lose the common touch,If neither foes nor loving friends can hurt you,If all men count with you, but none too much;If you can fill the unforgiving minuteWith sixty seconds' worth of distance run,Yours is the Earth and everything that's in it,And - which is more - you'll be a Man, my son!
Paul Kalanithi|I have tried to fight the impulse, the attraction, but my defenses crumble every time I see him. Since my divorce from Hank I'm practically love-starved.
Daniyal Umar|I would say about 80% of my writing (including posts and blogs), has to do with unresolved anger and that's just fine with me
Anne Fadiman, Ex Libris: Confessions of a Common Reader|Reading aloud means no skipping, no skimming, no cutting to the chase.
Audrey Hepburn|It is unfortunately true that our generation and that of your parents have left you with a big mess that will now be yours to clean up: wars, budget challenges, pollution, global warming, battles of health care, natural disasters. They're all there for you. We're willing those to you. Are you ready?
Emily Thorne|But I won't bore you any longer on the subject of old men. It won't make things any better and all my plans of revenge (such as disconnecting the lamp, shutting the door, hiding his clothes) must be abandoned in order to keep the peace. Oh, I'm becoming so sensible! ...
Junot Diaz|The theater itself is a lie. Its deaths are mere special effects. Its tales never happened. Even the histories are distorted for dramatic effect. The theater is unnatural, a place of imagination. But the theater tells the audience something true: that the world requires judgments.
Jonas Jonasson, The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared|Computer hackers are the true journalists in the 21st Century. The old journalism is worse than dead. It is unreliable to the point that it is nothing more than a nuisance, an obstacle in the pursuit of truth.
Martin Luther|It's a struggle for every young Black man. You know how it is, only God can judge us.
Dennis E. Adonis|Better to be happy with the cod fish in your plate now, than to linger for the taste of a tuna that is still swimming in the sea.
Jessica Lemmon, If You Dare|He drew in an answering breath, and she waited to hear the quip, the joke, the dab of levity for the most intense moment they’d ever shared. But he only dropped his head into the crook of her neck and laid his mouth over her leaping pulse as they found their unhurried rhythm in the dark.
Christopher Moore, Bite Me|Which isn’t, like, as bad as it sounds, because the general public kind of sucks ass.
Ace Antonio Hall|Whatever unspeakable act done to you, write it down, read it, then ball up the paper & sling it hard into the wall. Expunge it from your soul
Joseph Gordon-Levitt|In all honesty, I grew up a certain way. I never had to worry about money... that was my reality.
Henry Enfield Roscoe|What’s that around your neck?” asked Emily. “It’s a golden star.” Said Reed.“What did you get it for?”“Chemistry class.”“What’s the star for?” the shadow asked, Usually stars represent a straight A student. “You get it for having greatness. But Emily doesn’t know what that is.” He said, answering the shadows question and looking at Emily. “Greatness, what’s greatness?” Emily asked, all wide eyed, and clueless looking“It’s when you do really awesome stuff, and people recognize you for it.”“Oh, no” Emily laughed .”No, I don’t know what that is.
Lailah Gifty Akita|How could we be miserable, when there is music?
Jennifer Turner, Eternal Seduction|Logan licked a glob of strawberry jelly from her lower lip and smiled upat Odin. Only one comment seemed to perfectly fit her current situation. “Isee dead people.”He leaned forward, hands on his hips. “Me, too. It’s the only explanationfor what’s standing in front of me. Unless some high school kids broke intothe anatomy closet and stole the classroom skeleton, stretched some cadaverskin over that bitch then cast an ancient ritual to animate it.
John Green, Paper Towns|Learn from the past, live in the present and create your future.
Daniel S. Fletcher, Jackboot Britain|The power of language – it can heal and build, or corrupt, poison, destroy, desecrate, annihilate…
vidhya thakkar|Keep going, because there is nothing worse in this world than to stop. Simply keep flying ❤️
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Set aside even one day just for fun, and you will improve the next seven.
Democritus|The fact that I can plant a seed and it becomes a flower, share a bit of knowledge and it becomes another's, smile at someone and receive a smile in return, are to me continual spiritual exercises.
Steven Magee, Curing Electromagnetic Hypersensitivity|I routinely use my blue sky "Device" and it works very well for me.
MCM|I mulled over what he had told me as I savored the Scotch. Not bad, really — like a beer that’s been in a brawl.
Nicola Formichetti|Uniqlo as a company has always developed new fabrics and is always trying to be innovative. The design is simple, so the fabric is important.
Sena Jeter Naslund|How the excitement comes upon me to tell it all! In the quest of writing, the heart can speed up with anticipation--as it does, indeed, during the chase itself of whales. I can swear it, having done both, and I will tell YOU though other writers may not. My heart is beating fast; I am in pursuit; I want my victory--that you should see and hear and above all feel the reality behind these words. For they are but a mask. Not the mask that conceals, not a mask that I would have you strike through as mere appearance, or, worse, deceitful appearance. Words need not be that kind of mask, but a mask such as the ancient Greek actors wore, a mask that expresses rather than conceals the inner drama.(But do you know me? Una? You have shipped long with me in the boat that is this book. Let me assure you and tell you that I know you, even something of your pain and joy, for you are much like me. The contract of writing and reading requires that we know each other. Did you know that I try on your mask from time to time? I become a reader, too, reading over what I have just written. If I am your shipbuilder and captain, from time to time I am also your comrade. Feel me now, standing beside you, just behind your shoulder?)
Paul R. Fleischman|Programmed in self-hatred, many of us shadow-box the light of day away and chase everything meaningless the night through until we perish more ignorant and confused than the very day we were born.
Israelmore Ayivor, The Great Hand Book of Quotes|Don't live by your thoughts only; live by your words also. Whatever plans you think about, affirm it in your mouth first, declare it and you will succeed in working it out! Words can be powerful!
Julie   Johnson, Not You It's Me|It's the problem with fairy tales. From far away, they seem so perfect. But up close, they're just as complicated as real life.
Amy Harmon, From Sand and Ash|They can take our homes, our possessions. Our families. Our lives. They can drive us out, like they've driven us out before. They can humiliate us and dehumanize us. But they cannot take our thoughts. They cannot take our talents. They cannot take our knowledge, or our memories, or our minds. In music there is no bondage. Music is a door, and the soul escapes through the melody.
Chris Cleave, Everyone Brave is Forgiven|People spoke in whispers, as if the war was listening
Iain Reid, I'm Thinking of Ending Things|Don't bother about those who can't understand you, because they don't deserve you for what you are.
Ankita Singhal|the flames are silent,Peace is violent,Tears are frozen’cause massacre was chosen.~~ 26/11– Mumbai terror attack memories
Henry Rollins, The Portable Henry Rollins|It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.
Terri E. Laine, Because of Him|A big hello from California!! And, when in doubt, self-publish, thank you smashwords.com!!!
Lena Dunham|Did he talk about silos?”“Of course he did,” I said. “We have to break down the silos that separate the academic side of the house from the Student Retention Office, apparently.”Emma wrinkled her nose. “Why is it a good thing to break silos? All that happens when you break a silo is that the grain spills out. Or the missile falls over.
Mayank S. Sengar|I have been the patient one. I have waited for the world to stop being silly. I have waited for it to stop wars. I have waited for politicians to be honest. I have waited for real estate men to be good citizens. But while I wait, I dance!
Bert Dodson, Keys to Drawing|Plots come to me at such odd moments, when I am walking along the street, or examining a hat shop…suddenly a splendid idea comes into my head.
Paul Tillich|He wasn't one who wanted to look back on his life and say  "I wish I spent more time in the office."
Arthur Rosenfeld|Certainly we can say that the pace of modern life, increased and supported by our technology in general and our personal electronics in particular, has resulted in a short attention span and an addiction to the influx of information. A mind so conditioned has little opportunity to think critically, and even less chance to experience life deeply by being in the present moment. A complex life with complicated activities, relationships and commitments implies a reflexive busy-ness that supplants true thinking and feeling with knee-jerk reactions. It is a life high in stress and light on substance, at least in the spiritually meaningful dimensions of being.
Raymond D. Longoria Jr.|I'm Thankful in the knowledge that Each of us are making choices according to the best light we have. That there is never reason for embarrassment, humiliation, regret. This Life we live is here for us to make mistakes and learn from them and Spiritually grow. Imagining a person that has never made mistakes is like staring at an unworkable stone.
Lewis Thomas, The Lives of a Cell: Notes of a Biology Watcher|The individual parts played by other instrumentalists-- crickets or earthworms, for instance-- may not have the sound of music by themselves, but we hear them out of context. If we could listen to them all at once, fully orchestrated, in their immense ensemble, we might become aware of the counterpoint, the balance of tones and timbres and harmonics, the sonorities. The recorded songs of the humpback whale, filled with tensions and resolutions, ambiguities and allusions, incomplete, can be listened to as a a part of music, like an isolated section of an orchestra. If we had better hearing, we could discern the descants of sea birds, the rhythmic tympani of schools of mollusks, or even the distant harmonies of midges hanging over meadows in the sun, the combined sound might lift us off our feet.
Clive Barker|I am young now and can look upon my body and soul with pride. But it will be mangled soon, and later it will begin to disintegrate, and then I shall die, and die conclusively. How can we face such a fact, and not live in fear?
Scott Cairns, Compass of Affection: Poems New and Selected|I turned and beheld seven rows of plasma screens, each bearing seven vivid scenes, each flickering, each pulsing with a light revealing distant terrors, conflagrations, sufferings - and all thereby brought so close, and all thereby kept far away.
Mark Susnow|Each of us get to choose the movie of our life. Not only that, but we're the main character, the director, and the producer. We get to choose how we want it to be.From the Soul of Uncertainty
Ray Bradbury, Dandelion Wine|Miss Murray is leaning on the door. "Ash, come on. It's time to go." Her hand is so tight on the handle, her knuckles are pale. She's looking at the floor. "Miss Murray?""What?" She doesn't move. I stare at her face but she doesn't return the look. "I love you."The air in the room has frozen, every atom suspended. Then her tense body slackens. Her hand loosens its grip on the door and she turns her head slowly towards me. She meets my gaze for a moment. Her eyes have dark rings under them. Her forehead is creased with worry. Her cheeks are pale. I want to make it all OK. I want to make her happy. I desperately want to touch her face. "I know," she says quietly.
Haruki Murakami, Sputnik Sweetheart|I wasn't good company, that was true, and people avoided me, but that was all right. I was too busy dreaming.
Johann Wolfgang von Goethe|When I read about the way in which library funds are being cut and cut, I can only think that American society has found one more way to destroy itself.
Jennifer Skiff, The Divinity of Dogs: True Stories of Miracles Inspired by Man's Best Friend|They told me that nothing was a sin, just a poor life choice. Poor impulse control. That nothing is evil. Any concept of right versus wrong, according to them, is merely a cultural construct relative to one specific time and place. They said that if anything should force us to modify our personal behavior it should be our allegiance to a social contract, not some vague, externally imposed threat of flaming punishment.
Brian Rathbone|Fantasy elevates ordinary and eternal problems of young people into stories via the language of myth. It turns “No one really knows me” into “I’ve got a secret identity.” It turns “I don’t understand why other people act the way they do” into “I’m trapped in a faerie realm.” It turns “my high school must have been built over the mouth of hell” into “my high school must have been built over the mouth of hell.” There are certain things in life that are glorious, and they are glorious for everyone. There are more that are hard, and they are hard for everyone. We like to see these things retold, but with dragons.
Stephenie Meyer, Twilight|That's certainly a problem. But that's not what I was thinking of. It's just that you are so soft, so fragile. I have to mind my actions every moment that we're together so that I don't hurt you. I could kill you quite easily, Bella, simply by accident." His voice had become just a soft murmur. He moved his icy palm to rest it against my cheek. "If I was too hasty… if for one second I wasn't paying enough attention, I could reach out, meaning to touch your face, and crush your skull by mistake. You don't realize howincredibly breakable you are. I can never, never afford to lose any kind of control when I'm with you.
Jojo Moyes, One Plus One|They were like animals, men. They found too much eye contact threatening.
Ilchi Lee, The Solar Body: The Secret to Natural Healing|You will be able to live as your authentic self when you find that infinite source of energy and that mind, bright and shining like the sun. Then you won’t need to become anyone other than yourself. You won’t need to depend on externals for your health and happiness, and you won’t need to look outside yourself to find passion and hope for life.
Billy Graham, Billy Graham in Quotes|Supporters of the [environmental] movement often appear to worship not the God of heaven, but the god of nature. This is a dangerous form of idolatry. Anytime animal life becomes more sacred in our view than human life, we have lost sight of our proper priorities.
Ray Bradbury, Dandelion Wine|Night, which in Autumn seems to fall from the sky so suddenly, chilled us...
Tina Fey|Take motherhood: nobody ever thought of putting it on a moral pedestal until some brash feminists pointed out, about a century ago, that the pay is lousy and the career ladder nonexistent.
G.K. Chesterton|It seems to me that my lack of faith is not, as I once thought, a triumph of the rational mind, but rather a failure of the imagination - an inability to tolerate mistery.
Holly Black, Kin|I'm watching her talk. Watching her jaw move and collecting her words one by one as they spill from her lips. I don't deserve them. Her warm memories. I'd like to paint them over the bare plaster walls of my soul, but everything I paint seems to peel.
Nabil N. Jamal|Talk to people about what they want to hear, and they'll stay for more. Talk to them about what you want them to hear, and they'll soon turn away.
Will Self|Why is it people will complain, when they have an open door, where they can walk out to and gaze the stars; rather than having a closed door to lock them in?
Sunday Adelaja|The Moon did not consider that amongst the stars, there is no end. There is no fading away. There is no death in a place filled with forever, even though we all trick ourselves into thinking that this life we live now is the only life we will ever live.
bell hooks|I will not have my life narrowed down. I will not bow down to somebody else's whim or to someone else's ignorance".
Charlotte Eriksson|No one will come and save you. No one will come riding on a white horse and take all your worries away. You have to save yourself, little by little, day by day. Build yourself a home. Take care of your body. Find something to work on. Something that makes you excited, something you want to learn. Get yourself some books and learn them by heart. Get to know the author, where he grew up, what books he read himself. Take yourself out for dinner. Dress up for no one but you and simply feel nice. it’s a lovely feeling, to feel pretty. You don’t need anyone to confirm it.
Charles Dickens, Hard Times|Human nature must be something which always remains one and the same, but which may be carried out in manifold ways.
Gordon B. Hinckley|I have now been an officer in this Church for a very long time. I am an old man who cannot deny the calendar. I have lived long enough and served in enough different capacities to have removed from my mind, if such were necessary, any doubt of the divinity of this, the work of God. We respect those of other churches. We desire their friendship and hope to render meaningful service with them. We know they all do good, but we unabashedly state—and this frequently brings criticism upon us—that this is the true and living Church of our Father in Heaven and His Son, the Lord Jesus Christ.
Philip K. Dick, Do Androids Dream of Electric Sheep?|I consider myself fortunate that I spent three years working at 7,775 feet before spending five years working at 13,796 feet on the summit of Mauna Kea. I can only wonder how much more severe my long term very high altitude sickness could have been without the initial adaptation to the lower altitude.
Habeeb Akande|In middle school I played against you once. And lost. I was so frustrated that I continued practicing even after I retired... And then when I entered high school, hell yeah, I laughed. The guy I vowed to defeat no matter what was standing right in front of me as one of my own teammates. But now it's pointless to hold a grudge. Rather, I wanted to make you recognize me. (Takao Kazunari)
Erich Maria Remarque, All Quiet on the Western Front|I lie down on many a station platform; I stand before many a soup kitchen; I squat on many a bench;--then at last the landscape becomes disturbing, mysterious, and familiar. It glides past the western windows with its villages, their thatched roofs like caps, pulled over the white-washed, half-timbered houses, its corn-fields, gleaming like mother-of-pearl in the slanting light, its orchards, its barns and old lime trees. The names of the stations begin to take on meaning and my heart trembles. The train stamps and stamps onward. I stand at the window and hold on to the frame. These names mark the boundaries of my youth.
Augustine of Hippo, Confessions|Whatever kind of seed is sown in a field, prepared in due season, a plant of that same kind, marked with the peculiar qualities of the seed, springs up in it.
Franklin D. Roosevelt|One of the Great Rules of Economics According to John GreenIf you are rich, you have to be an idiot not to stay rich. And if you are poor, you have to be really smart to get rich.
