Gautama Buddha|If you do not change direction, you may end up where you are heading
Michael Pollan, Cooked: A Natural History of Transformation|She rested her head on his shoulder. "You're better than waffles, Matthias Helvar." A small smile curled the Fjerdan's lips. "Let's not say things we don't mean, my love.
Jeannette Walls, Half Broke Horses|Everything in life had a purpose, and unless it achieved that purpose, it was just taking up space on the planet and wasting everybody's time.
Sami Abouzid|Good guys, Win in movies, Baby My heart is crying Like rain in May
Matt Smith|After I finished high school I went to Hong Kong and Thailand and spent some time there. Just to get that whole experience of being out of the bubble that I was in from high school in Vancouver, to be able to travel around and be on your own was an amazing experience.
Preston Sprinkle|And when Jesus declared, 'It is finished,' He meant it. God’s punishment for our sin was paid for, permanently settled, finished— 100 percent. If you have responded in faith to God’s free pardon through Jesus, then God will never punish you for your sin. It’s finished. No more. If you screw up today or tomorrow (which you will), it’s already been paid for through Jesus. 'There is therefore now no condemnation for those who are in Christ Jesus,' Paul said (Rom. 8: 1). None. God will not and cannot condemn you after He has already condemned Jesus for you. It’s impossible. God will never be angry with you since His anger was poured out on Jesus. All of it. One hundred percent.Charis: God's Scandalous Grace for Us (p. 169).
J. Sheridan Le Fanu, Carmilla|Thus fortified I might take my rest in peace. But dreams come through stone walls, light up dark rooms, or darken light ones, and their persons make their exists and their entrances as they please, and laugh at locksmiths.
Kristan Higgins, If You Only Knew|In most marriages, lust and love become tempered by normalcy. If you hear your husband farting in the bathroom seconds before he emerges and asks if you want to fool around, you generally don’t want to fool around. You might, after a few minutes, but you have to forgive your husband for… well, for being human. For eating a bean burrito. After all, you ate the bean burrito, too.
John Muir, The Mountains of California|Climb the mountains and get their good tidings. Nature's peace will flow into you as sunshine flows into trees. The winds will blow their own freshness into you, and the storms their energy, while cares will drop away from you like the leaves of Autumn.
Lailah Gifty Akita|The Savior ,the Lord Jesus Christ is holy servant.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Life is a gift. Regard it as such. Return the blessing through each life you touch. Every seed planted, springs forth new birth. Allow your bouquet to cover the earth.
Paul Theroux|I was raised in a large family. The first reason for my travel was to get away from my family. I knew that I wanted to be a writer, but I didn't want people to ask me questions about it.
ricky star|And with a practice of writing comes a certain important integrity. A culture filled with bloggers thinks differently about politics or public affairs, if only because more have been forced through the discipline of showing in writing why A leads to B.
Colin G. Calloway, The Scratch of a Pen: 1763 and the Transformation of North America|Since much of American taxes prior to 1763 went to support the local clergy, one humorist suggested the opportunity to vote on that. If the minister was turned out, he could open a tavern and preach to his customers if he served them liquor.
Ayn Rand|And now I see the face of god, and I raise this god over the earth, this god whom men have sought since men came into being, this god who will grant them joy and peace and pride. This god, this one word: 'I.
Nick Hornby, About a Boy|Marcus couldn't believe it. Dead. A dead duck. OK, he'd been trying to hit it on the head with a piece of sandwich, but he tried to do all sorts of things, and none of them had ever happened before. He'd tried to get the highest score on the Stargazer machine in the kabab shop on Hornsey road - nothing. He'd tried to read Nicky's thoughts by staring at the back of his head every maths lesson for a week - nothing. It really annoyed him that the only thing he'd ever achieved through trying was something he hadn't really wanted to do that much in the first place. And anyway, since when did hitting a bird with a sandwich ever kill it? People spend half their lives throwing things at the ducks in Regent's Park. How come he managed to pick a duck that pathetic?
Brian A. McBride, Paradox|From now until eternity meets its end, you will walk by faith and not by sight.
Jerome K. Jerome, Second Thoughts Of An Idle Fellow|In my youth, the question chiefly important to me was—What sort of man shall I decide to be? At nineteen one asks oneself this question; at thirty-nine we say, “I wish Fate hadn’t made me this sort of man.
Mark Frost|Faith, family, academics and then sports was the order of priorities in my family. My parents really stuck to these principles when raising me and my two brothers. As long as we took care of everything, they let us play as much basketball as we wanted.
Henrik Ibsen, An Enemy of the People|You see, the point is that the strongest man in the world is he who stands most alone.
Chris Burkmenn|The harder the fight, the greater the victory.
Lori Bregman|A woman armed with ancestral wisdom is a powerful force. You'll find her powers come from within, she is in tune with her spirit, and the magic of the universe. She trusts, values and follows her intuition.
Louise Erdrich, The Antelope Wife|Pretending to feel something you don't can often lead you to the real thing, in some form.
Nathaniel Hawthorne, Mosses from an Old Manse|All have some artificial badge which the world, and themselves among the first, learn to consider as a genuine characteristic.
Magan Vernon, On Paper Wings|Oh, Moon, upon me shine-Give back his life, instead take mine.Send back his heart, return his breath.Please release him from his death.Give back his eyes, bring back his voice.I willingly have made this choice.Hand back his plans, restore his mind,I willingly grant you mine.Oh, Moon, Oh, Stars, upon me glow-Tell the river to let go.
Stephanie Oakes, The Sacred Lies of Minnow Bly|That's how you avoid becoming a moth," he says. "Stop asking others what to believe. Figure it out for yourself.
Charlotte Brontë, Jane Eyre|Jane, will you marry me?""Yes sir.""A poor blind man, whom you will have to lead about by the hand?""Yes, sir.""A crippled man, twenty years older older than you, whom you will have to wait on?""Yes, sir.""Truly, Jane?""Most truly, sir.
Laura Busche, Powering Content: Building a Nonstop Content Marketing Machine|Human beings are complex information consumers: they have active needs, passions, and preferences. They lead different lifestyles — some that you will never be able to empathize with unless you dive deep in qualitative and quantitative data. And that is precisely the point of persona research.
Holly Bodger, 5 to 1|Ira furor brevis est: animum rege: qui nisi paret imperat.(Anger is a brief madness: govern your mind [temper], for unless it obeys it commands.)
Heather Dixon, Entwined|Dance with me."Blinking, first at his offered palm and then at his features, I asked, "Why?"Not immediately replying, he reached for me, pulled me to my feet, and slid an arm around my waist. I allowed him to hold my body against his, fit our hands together, and sway to the lovely music. Begrudgingly, I admitted to myself he had great rhythm. Someone had taught him to dance.Jehtro dipped his mouth to my ear, his beard tickling my neck as he finally whispered an answer to my question, "Because you want me to hold you, but you don't know how to ask.
Michael Bassey Johnson, Master of Maxims|The future can never lie about the past. In the end, you will see the beginning.
Cameron Jace, Happy Valentine's Slay|A wise man once said the fact that everyone lies is a universal truth, the only variable is about what.
Nikki Rowe|He who didn't succeed at his own dreams, was too busy listening to another's failures.
Michael   Shea, Best New Horror 16|Up before sunrise. Marjorie hated getting out of bed in the dark, but loved the payoff once she was dressed and rolling down the country roads in the first light, cruising and owning them almost alone. The countryside here used to be a lot more interesting, though. She remembered it in her girlhood - orchards, small ranches, farmhouses, each one of these houses a distinct personality... Money, she thought wryly, scanning the endless miles of grapevines, all identically wired and braced and drip-lined, mile after mile - money was such a powerful organizer.As the dawn light gained strength, and bathed the endless vines in tarnished silver, it struck her that there was, after all, something scary about money, that it could run loose in the world like a mythic monster, gobbling up houses and trees, serving strictly its own monstrous appetite. ("The Growlimb")
Lorine S. Thomas, Cross Your Heart|The Gobi wasn't completely devoid of life; its ecosystem was unexpectedly extensive and varied given the extremes to which it subjected its denizens, but some of those forms of life weren't the kind that Anna wanted to admire too closely.
Napoleon Hill|There are only really a few stories to tell in the end, and betrayal and the failure of love is one of those good stories to tell.
John Irving, A Son of the Circus|In our hearts... there must abide some pity for those people who have always felt themselves to be separate from even their most familiar surroundings, those people who either are foreigners or who suffer a singular point of view that makes them feel as if they’re foreigners - even in their native lands. In our hearts... there also abides a certain suspicion that such people need to feel set apart from their society. But people who initiate loneliness are no less lonely than those who are suddenly surprised by loneliness, nor are they undeserving of our pity.
Ayn Rand, Atlas Shrugged|Man has been called a rational being, but rationality is a matter of choice — and the alternative his nature offers him is: rational being or suicidal animal. Man has to be man — by choice; he has to hold his life as a value — by choice; he has to learn to sustain it — by choice; he has to discover the values it requires and practice his virtues — by choice.A code of values accepted by choice is a code of morality.
H.P. Lovecraft, Cats and Dogs|Having played to her heart's content, Chibi would come inside and rest for a while. When she began to sleep on the sofa--like a talisman curled gently in the shape of a comma and dug up from a prehistoric archaeological site--a deep sense of happiness arrived, as if the house itself had dreamed this scene.
Compton Gage|To be a great warrior is not enough. Flesh and blood, however skilled, can be destroyed... you must be more than just a man in minds of your opponents.
Sean Carroll, The Big Picture: On the Origins of Life, Meaning, and the Universe Itself|If an ontology predicts almost nothing it ends up explaining almost nothing, and there's no reason to believe it.
Jo Walton, My Real Children|There’s no doubt that your genes contain very important information, but 65% of the influence can be attributed to the environment and your lifestyle – they determine whether your unfortunate genes come to expression. Hello! That’s a bit of a wake-up call, isn’t it?
Neil Gaiman|All conflict can be traced back to someone’s feelings getting hurt, don’t you think?
Adrienne Rich, What is Found There: Notebooks on Poetry and Politics|A poem can't free us from the struggle for existence, but it can uncover desires and appetites buried under the accumulating emergencies of our lives, the fabricated wants and needs we have had urged on us, have accepted as our own. It's not a philosophical or psychological blueprint; it's an instrument for embodied experience.
E.G.Kardos|He was not utterly unskilled in handling his own lack of training, and he refused to be rashly drawn into a controversy about those matters from which there would be no exit nor easy way of retreat. This was an additional ground for my pleasure. For the controlled modesty of a mind that admits limitations is more beautiful than the things I was anxious to know about.
K.L. Armstrong, Odin's Ravens|There's something in there," Matt said. "Something alive. It punched me.""Punched you?" Baldwin's face screwed up. "Are you sure a bat didn't fly into you? I bet there are a few in there."Matt rubbed his tender jaw. "Unless its name is Bruce Wayne, that wasn't a bat.
Christopher Moore, The Stupidest Angel: A Heartwarming Tale of Christmas Terror|People, generally, suck.
Nella Larsen, Passing|Well, what of it? If sex isn’t a joke, what is it
Vivek Verma|Her voice was perfect, custom-made for my ears. I wanted to hit the record button in my brain and save this all for later. Half of me was listening to her words, but the other half was mesmerized by the melody.
Sahar Abdulaziz, But You Look Just Fine: Unmasking Depression, Anxiety, Post-Traumatic Stress Disorder, Obsessive-Compulsive Disorder, Panic Disorder and Seasonal Affective Disorder|Facing up to non-being enables us to put our life into perspective, see it in its entirety, and thereby lend it a sense of direction and unity. If the ultimate source of anxiety is fear of the future, the future ends in death; and if the ultimate source of anxiety is uncertainty, death is the only certainty. It is only by facing up to death, accepting its inevitability, and integrating it into life that we can escape from the pettiness and paralysis of anxiety, and, in so doing, free ourselves to make the most out of our lives and out of ourselves.
Sinclair Lewis, Dodsworth|If travel were so inspiring and informing a business...then the wisest men in the world would be deck hands on tramp steamers, Pullman porters, and Mormon missionaries.
Bernie Sanders|Women, we might as well be dogs baying the moon as petitioners without the right to vote!
Thomas F. Madden, From Jesus to Christianity: A History of the Early Church|Prominent Christians in Constantine's time waited to be baptized until their deathbeds lest they commit a "major"sin that couldn't be forgiven of those already baptized. Others felt anyone who did anything to avoid martyrdom were apostates had no valid subsequent ministry.
John Lewis Gaddis|It is worth starting with visions, though, because they establish hopes and fears. History then determines which prevail.
John Stuart Mill, Utilitarianism|It is indisputable that the being whose capacities of enjoyment are low, has the greatest chance of having them fully satisfied; and a highly endowed being will always feel that any happiness which he can look for, as the world is constituted, is imperfect. But he can learn to bear its imperfections, if they are at all bearable; and they will not make him envy the being who is indeed unconscious of the imperfections, but only because he feels not at all the good which those imperfections qualify.  dissatisfied than a fool satisfied. And if the fool, or the pig, is of a different opinion, it is only because they only know their own side of the question.
J.D. Salinger, The Catcher in the Rye|People cry out against the sinner, yet it is not the sinful, but the stupid, who are our shame. There is no sin except stupidity.
Lailah Gifty Akita|How could you renew your mind, if you never read?
Muriel Barbery, The Elegance of the Hedgehog|I haven't got anything against cats. I haven't got anything against elk either, but that doesn't mean I'm going to keep one in the store so I'll have a place to hang my hat.
Jack Ma|Every film that comes out that incorporates CGI or performance capture is a little bit ahead of the last film that came out. You're on the cutting edge for a certain amount of time, and then the new technology comes out.
Guy de Maupassant, Pierre et Jean|It puzzled him that she did not mourn all the things she could have been. Was it a quality inherent in women, or did they just learn to shield their personal regrets, to suspend their lives, subsume themselves in child care? She browsed online forums about tutoring and music and schools, and she told him what she had discovered as though she truly felt the rest of the world should be as interested as she was in how music improved the mathematics skills of nine-year-olds. Or she would spend hours on the phone talking to her friends, about which violin teacher was good and which tutorial was a waste of money.
Jens Lekman|Every morning when I wake up, I am grateful and happy that I come to the film set. It is home.
Tahereh Mafi, Unravel Me|I count everything. Even numbers, odd numbers, multiples of 10. I count the ticks of the clock i count the tocks of the clock I count the lines between the lines on a sheet of paper. I count the broken beats of my heart I count my pulse and my blinks and the number of tries it takes to inhale enough oxygen for my lungs. I stay like this I stand like this I count like this until the feeling stops. Until the tears stop spilling, until my fists stop shaking, until my heart stops aching. There are never enough numbers.
Jeffrey Eugenides, My Mistress's Sparrow Is Dead: Great Love Stories from Chekhov to Munro|A love story can never be about full possession. The happy marriage, the requited love, the desire that never dims--these are lucky eventualites but they aren't love stories. Love stories depend on disappointment, on unequal births and feuding families, on matrimonial boredom and at least one cold heart. Love stories, nearly without exception, give love a bad name.We value love not because it's stronger than death but because it's weaker. Say what you want about love: death will finish it. You will not go on loving in the grave, not in any physical way that will at all resemble love as we know it on earth. The perishable nature of love is what gives love its importance in our lives. If it were endless, if it were on tap, love wouldn't hit us the way it does.And we certainly wouldn't write about it.
Darrell Royal|A father is a person who's around, participating in a child's life. He's a teacher who helps to guide and shape and mold that young person, someone for that young person to talk to, to share with, their ups and their downs, their fears and their concerns.
Yasmin Tirado-Chiodini, Antonio's Will|It's kind of funny to me listening to people who claim to have these great records of winning a hundred and some odd straight felony cases without a loss and that kind of stuff that you hear of all the time. I'm here to tell you, if you let me pick out which hundred cases I get to try, I'll win a hundred of them in a row, too. Case selection is everything in creating records like that. My philosophy was, I tried them all. If I made a determination that the evidence was sufficient to justify the prosecution, then I would try the case, and certainly whenever you do that, you're going to lose a certain percentage of them.
Will Cuppy, How to Attract the Wombat|Would it not be downright cruel to keep him in semi-captivity in a town or city, where the opportunities for wreaking havoc and destruction upon the landscape are necessarily so limited? In a word, is it right to attract Wombats?
Germany Kent|Be around people that make you want to be a better person, who make you feel good, make you laugh, and remind you what's important in life.
Leonard Cohen|Friend, when you speak this carefully I know it is because you don't know what to say.
Jodi Picoult, Handle with Care|Lawyers were notorious for finding cases in the most unlikely places, especially ones with huge potential damagers awards.
Norm MacDonald|I don't like sports where it's like, you watch a guy on a motorcycle flip or something, then another guy does it, it looks exactly the same, and then at the end one guy gets higher points! It seems so arbitrary; I don't know who's ahead ever.
Bruce Lee, Tao of Jeet Kune Do|There are patterns in everything, in the whole of Nature, from the way the stars turn in the heavens to the whorl of a shell or the petals of a flower and the way leaves arrange themselves about a twig. There are forces, hidden forces. If I can discover what they are, how they operate, I will have my hands upon the levers of creation and can work them myself.
Idries Shah, Learning How to Learn: Psychology and Spirituality in the Sufi Way|Progress comes through capacity to learn, and is irresistible.
Joyce Carol Oates, A Widow's Story|The gardener is the quintessential optimist: not only does he believe that the future will bear out the fruits of his efforts, he believes in the future.
Barbara Hambly|We're under some gross misconception that we're a good species, going somewhere important, and that at the last minute we'll correct our errors and God will smile on us. It's delusion.
Paul Oskar Kristeller|...I believe that nothing that once was can be completely undone. Even if destroyed in the material world and forgotten by men, it remains and will remain alive in the memory of an infinite being for which the past as well as the future is always present, and that is thus the greatest, the only true historian, and the keeper of the eternal tradition of which even our best human traditions ...are but shadows and images.
Pedro Okoro, Crushing the Devil: Your Guide to Spiritual Warfare and Victory in Christ|God wants you to face the reasons why you separate yourself from Him. He will show you what you fear, what you need, and what you desire. He will inventory your beliefs and values, and help you line them up with His truth.
Allen West|Corporations often partner with government after natural disasters, as many companies did in the aftermath of Hurricane Katrina in 2005. As a rule, however, long-term civic/corporate partnerships are still rare .But this need not remain the status quo, as many opportunities are available for such partnerships.
Mehmet Murat ildan|A poem that is itself a name does not yearn for the name of its creator, but shines from its name alone.
Cassandra Clare, Lord of Shadows|...As if you have discovered a beach you have been visiting all your life is made not of sand but of diamonds, and they blind you with their beauty...Diamonds might be blinding in their beauty, but they were also the hardest and sharpest gems in the world. They could cut you or grind you down, smash and slice you apart. Malcolm, deranged with love, had not thought of that. But Julian could think of nothing else.
John Fitch|I make a living, even life and death judgments, by reading peoples' body language, their raw reactions to situations. And I'd almos swear you've never seen those documents before.""Well," Aidan said, swallowing hard, calculating what fame and money had cost him. "I'd say you're damn good at your job, because I haven't.
Jacques Yonnet|The best thing to be in a city was anonymous. Failing that, however, notoriety would do.
Gustave Flaubert|By trying to understand everything, everything makes me dream
Martin Amis|The universe is a million billion light-years wide, and every inch of it would kill you if you went there. This is the position of the universe with regards to human life.
Josh Lanyon, Somebody Killed His Editor|Sable hair bisected his pecs and arrowed down to the straight and unequivocal statement of his returned interest. Forcing my gaze to his face, I said, "I really don't think we have time for that.""You know that, and I know that, but HE doesn't believe it.""Believe it," I told HIM.J.X.'s mouth tugged into one of those heart-stopping smiles. "Maybe you should whisper in his ear.
Jeanette Lynes, Where the Nights Are Twice as Long: Love Letters of Canadian Poets|It is by giving the freedom to the other, that is by letting go, we gain our own freedom back.
Janet Edwards|With faces entirely invisible through suits, it was hard to be sure, but my impression was that he was watching me and copying my every move. I felt this proved he was intelligent.
Queen Latifah|There are a lot of people who helped make Queen Latifah who she is today. I don't forget, but a lot of people do and get big heads. My mom will make me walk the dogs or take out the trash when I go home. I'm not allowed to get a big head; I've still got to do the simple things in life.
J. R. R. Tolkien|If we know that our own men are in a condition to attack, but are unaware that the enemy is not open to attack, we have gone only halfway towards victory.
Thomas Aquinas|All a musician can do is to get closer to the sources of nature, and so feel that he is in communion with the natural laws.
Debasish Mridha|Don’t fear challenges. They often give us the opportunity to strengthen our courage, faith, and inner strength.
Robert Olen Butler, Perfume River|And William says, "I lost one son utterly."... ..."So I've held my tongue. But the truth is you didn't go to war. You went through the motions. But you turned it into graduate school. You contrived a comfortable place on the edge of the action to go study. You didn't even let the army decide your fate. You wangled your safe little job with a pre-enlistment deal and avoided the real thing. You told all the others who manned up, 'Better you do the dirty work, not me. Better your blood than mine.
Jane Austen, Northanger Abbey|That's what you think of me, is it, girl?" said his lordship, a glint in his
David Mitchell, Cloud Atlas|Belief, like fear or love, is a force to be understood as we understand the theory of relativity and principals of uncertainty. Phenomena that determine the course of our lives. Yesterday, my life was headed in one direction. Today, it is headed in another. Yesterday, I believe I would never have done what I did today. These forces that often remake time and space, that can shape and alter who weimagine ourselves to be, begin long before we are born and continue after we perish. Our lives and our choices, like quantum trajectories, are understood moment to moment. That each point of intersection, each encounter, suggest a new potential direction. Proposition, I have fallen in love with Luisa Rey. Is this possible? I just met her and yet, I feel like something important has happened to me.
José Saramago, Blindness|If, before every action, we were to begin by weighing up the consequences, thinking about them in earnest, first the immediate consequences, then the probable, then the possible, then the imaginable ones, we should never move beyond the point where our first thought brought us to a halt. The good and evil resulting from our words and deeds go on apportioning themselves, one assumes in a reasonably uniform and balanced way, throughout all the days to follow, including those endless days, when we shall not be here to find out, to congratulate ourselves or ask for pardon, indeed there are those who claim that this is the much talked of immortality.
Frank Bruni|Graduates fared better if, during college, they did any one of these: developed a relationship with a mentor; took on a project that lasted a semester or more; did a job or internship directly connected to their chosen field; or became deeply involved in a campus organization or activity (as opposed to minimally involved in a range of things).
Dana Arcuri, Reinventing You: Simple Steps to Transform Your Body, Mind, & Spirit|Our faith is built in the dark, in the valleys, and during the back-breaking battles in life.
Lailah Gifty Akita|My wishes before I die, to fulfill my mission on earth; The writing of my life stories to inspired present and future generations.
Leigh Lezark|I'm not from the States, so Thanksgiving, for me, was never a huge tradition.
Jane Austen, Emma|She was happy, she knew she was happy, and knew she ought to be happy.
Kelley Armstrong, The Summoning|That's what we all want, isn't it? Power without price.
Kenneth Eade, Russian Holiday|Millions of us daily take advantage of [Skype], delighted to carry the severed heads of family members under our arms as we move from the deck to the cool of inside, or steering them around our new homes, bobbing them like babies on a seasickening tour. Skype can be a wonderful consolation prize in the ongoing tournament of globalization, though typically the first place it transforms us is to ourselves. How often are the initial seconds of a video's call takeoff occupied by two wary, diagonal glances, with a quick muss or flick of the hair, or a more generous tilt of the screen in respect to the chin? Please attend to your own mask first. Yet, despite the obvious cheer of seeing a faraway face, lonesomeness surely persists in the impossibility of eye contact. You can offer up your eyes to the other person, but your own view will be of the webcam's unwarm aperture. ... The problem lies in the fact that we can't bring our silence with us through walls. In phone conversations, while silence can be both awkward and intimate, there is no doubt that each of you inhabits the same darkness, breathing the same dead air. Perversely, a phone silence is a thick rope tying two speakers together in the private void of their suspended conversation. This binding may be unpleasant and to be avoided, but it isn't as estranging as its visual counterpart. When talk runs to ground on Skype, and if the purpose of the call is to chat, I can quickly sense that my silence isn't their silence. For some reason silence can't cross the membrane of the computer screen as it can uncoil down phone lines. While we may be lulled into thinking that a Skype call, being visual, is more akin to a hang-out than a phone conversation, it is in many ways more demanding than its aural predecessor. Not until Skype has it become clear how much companionable quiet has depended on co-inhabiting an atmosphere, with a simple act of sharing the particulars of a place -- the objects in the room, the light through the window -- offering a lovely alternative to talk.
Ilana Waters, The Adventures of Stanley Delacourt|There is something nice about a library, isn't there?" Mr. Curtis said. He nodded and took in the familiar scenery. "The scent of ink and worn, dusty pages.
E.M. Forster, The Machine Stops|Night and day, wind and storm, tide and earthquake, impeded man no longer. He had harnessed Leviathan. All the old literature, with its praise of Nature, and its fear of Nature, rang false as the prattle of a child.
Molly Friedenfeld|why do you have to explain, because they ask you to? Somethings need no explanation, they just are. When you block the flow of feeling you create problems for yourself. Zoomanity is confrontational. Listen and then allow
Katie Ford, Blood Lyrics: Poems|The Old StoicRiches I hold in light esteem, And Love I laugh to scorn; And lust of fame was but a dream, That vanished with the morn:And if I pray, the only prayer That moves my lips for me Is, "Leave the heart that now I bear, And give me liberty!"Yes, as my swift days near their goal:’Tis all that I implore; In life and death a chainless soul, With courage to endure.
G.A. Aiken, About a Dragon|He didn’t even apologize as he sat up, staring down at her. Washe angry? She guessed not when he began to speak to his erection.“I know. I can’t believe she left us like this either. Cruel wench,isn’t she?”After the long, frightening, horrible day she had, this was notremotely how she expected to end it. And, against her will, shesmiled.“Look. Now she’s laughing at us.”Desperately fighting a bout of laughter, she ordered, “Stoptalking to it.”He shrugged. “Well you won’t talk to him…and he’s feelingawfully lonely. And I think you hurt his feelings.” Then he made itbounce twice in agreement.Talaith covered her face and sighed. What exactly did hermother tell her the seven signs of madness were? Well, a dragontalking to his own shaft had to be one of them.
Jeanette Winterson, Oranges Are Not the Only Fruit|Until we realize that things might not be, we cannot realize that things are. Until we see the background of darkness, we cannot admire the light as a single and created thing. As soon as we have seen that darkness, all light is lightening, sudden, blinding, and divine. Until we picture nonentity we underrate the victory of God, and can realize none of the trophies of His ancient war. It is one of the million wild jests of truth that we know nothing until we know nothing.
Christine Fonseca, Lacrimosa|Cass pulls from my embrace, her mind reaching into my heart. Pain, anger, confusion pass through her eyes. My pain. My anger. My confusion. She swallows hard. “Because?”“Because I traded it all, my heart, my memories, everything. For her.
Miguel Syjuco|I once asked her if she got bored living alone, and she said, 'To say one is bored to be alone is to admit that one has no inner resources.
M.F. Moonzajer|We all believe that, we can’t buy love even if we are rich enough; but I think no one buys his own property.
Michael J. Massimino|Earlier generations of stars in the galaxy could well have had planets. But really, there was only hydrogen and helium to work with, so they'd all be gas giants and not small, rocky planets.
Linda Leigh Hargrove|With Catty and Patrick's images in he side mirror waving from the steps of that house like Jethro and Ellie Mae, it occurred to me that something extraordinary had happened. I had effortlessly found a place of acceptance -- a place where people had taken me for me, not for what I could give them -- and I had left it.
Ilona Boniwell|Psychologists call these fully absorbing experiences flowstates, which were discovered and named by a world-famous psychologistwith the most unpronounceable surname I have ever encountered –Mihaly Csikszentmihalyi.
Ptolemy, Ptolemy's Almagest|A few years have gone and come around when we were sittin' at our favorite spot in town and you looked at me, got down on one knee. Take me back to the time when we walked down the aisle; the whole town came and our mammas cried. And you said "I do.", and I did, too. Take me home where we met so many years before; we'll rock our babies on the very front porch. After all this time, you and I. And I'll be eighty-seven you'll be eighty-nine, I'll still look at you like the stars that shine. In the sky. Oh, my my my.
Nelson A. Miles|The war on terrorism has made national security a legitimate concern, and a rising deficit, changes brought on by globalization and even the price of oil have thrown the nation's economic health into question.
Auberon Waugh|Everything human beings can imagine has been thrown at injustice, and injustice just absorbs it, and enlarges.
James Randi|Concerning the gods I cannot know either that they exist or that they do not exist, or what form they might have, for there is much to prevent one's knowing: the obscurity of the subject and the shortness of man's life.
Debasish Mridha|Unhappiness is complicated and has many different causes, but happiness is simple and has only one reason.
Edward Humes, No Matter How Loud I Shout: A Year in the Life of Juvenile Court|He wants to tell her that he is not hopeless, that he is not filled with hatred or violence, that he is not a number, a 300 or 600 or any hundred, but just a kid with no one and nothing, and who would do anything to make it otherwise. Just tell me how, he wants to scream. He wants to tell her what it's like to have the same dream night after night, that he's playing tag with his little sister, laughing, happy - then waking up and not knowing if the image in his head is a dim memory, or just something his mind cooked up to fill the black hole. Do you know what it's like to have no past? he wants to ask. And behind it all, like a ringing in his ears, is the question that really nags at him all the time, the one that has haunted him since he was six years old and his family evaporated. He wants to ask it, then and there and for good: What did I do wrong back then? What did I do to deserve this life?
Jean Baudrillard, Screened Out|We find the same situation in the economy. On the one hand, the battered remnants of production and the real economy; on the other, the circulation of gigantic amounts of virtual capital. But the two are so disconnected that the misfortunes which beset that capital – stock market crashes and other financial debacles – do not bring about the collapse of real economies any more. It is the same in the political sphere: scandals, corruption and the general decline in standards have no decisive effects in a split society, where responsibility (the possibility that the two parties may respond to each other) is no longer part of the game.This paradoxical situation is in a sense beneficial: it protects civil society (what remains of it) from the vicissitudes of the political sphere, just as it protects the economy (what remains of it) from the random fluctuations of the Stock Exchange and international finance. The immunity of the one creates a reciprocal immunity in the other – a mirror indifference. Better: real society is losing interest in the political class, while nonetheless availing itself of the spectacle. At last, then, the media have some use, and the ‘society of the spectacle’ assumes its full meaning in this fierce irony: the masses availing themselves of the spectacle of the dysfunctionings of representation through the random twists in the story of the political class’s corruption. All that remains now to the politicians is the obligation to sacrifice themselves to provide the requisite spectacle for the entertainment of the people.
Lili Frings, The Clare Kane Project|He kept quite for a minute or so but it felt like an hour. “That sounds like either you know a lot of diseased and ill people or they’re just ill or dead because of you.”“I know,” I said and felt like a monster.
Joe Barton|When a plan or strategy fails, people are tempted to assume it was the wrong vision. Plans and strategies can always be changed and improved. But vision doesn't change. Visions are simply refined with time.
Michelle Bachelet|There are three roads to ruin; women, gambling and technicians. The most pleasant is with women, the quickest is with gambling, but the surest is with technicians.
D.R. Hedge, The Geri Rogue|It's what we do, we continue on. Yet, what is the point? There is nothing ahead of us when there is nothing left of us.
Anthon St. Maarten|Never invest in any kind of relationship with anyone who is not willing to work on themselves just a little every day. A person who takes no interest in any form of self-improvement, personal development or spiritual growth will also not be inclined to make much of an effort building a truly meaningful connection with you. A relationship with only one partner willing to do the work ceases to be a relationship. And as anyone who has been there will tell you - it's pointless to try and dance the tango solo.
Vivian Vande Velde|As in all great cataclysmic events, men are forced to show their true colours. Some will achieve the status of legend for their courage, brilliance and dedication; some will possess all the same qualities unacknowledged; others will be plodders doing their best; and there will be those who will be what they have always been -- sewer rats.
Chinonye J. Chidolue|You can choose to stay strong and keep moving on or you can run, and in the end still make a U-turn..
Spike Jonze|My noble respect also goes to the anti-Japanese revolutionary forerunners, martyrs of the People's Army and other patriotic martyrs who dedicated all their precious things to promoting the development of our Party and the prosperity of the country in loyal support of the great leaders.
James Dent|If June was the beginning of a hopeful summer, and July the juice middle, August was suddenly feeling like the bitter end.
Kelly Proudfoot, Delwyn of the Realms|One foot in each world, riding them simultaneously; expecting not to fall.
Pawel Pawlikowski|As with many other folk beliefs, 'feng-shui' undoubtedly incorporates some scientifically correct observation or received wisdom based on direct experience of natural phenomena; but it needs to be dealt with skeptically as a credible system of thought. Some feng-shui prescriptions can certainly lead to desirable results.
ANIKOR Daniel|The right choice often requires hard work and self-discipline, or self-sacrifice; don't be enticed by apparent short-cuts that seems right but end in tragedy.
Leah Remini, Troublemaker: Surviving Hollywood and Scientology|Belief and faith are great, but very few peoplehave been led astray by thinking for themselves.
Agatha Christie, The Mysterious Mr. Quin|No one wants to die alone, even though that's how it happens to all of us, even though we pretend there's some other ways.
Steven Wright|Before I became a film major, I was very heavily into social science, I had done a lot of sociology, anthropology, and I was playing in what I call social psychology, which is sort of an offshoot of anthropology/sociology - looking at a culture as a living organism, why it does what it does.
