John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Stephen Hawking|why are we here?where do we come from?traditionally,these are questionsfor philosophy,but philosophy is dead
Jim Rohn|If you really want to do something, you'll find a way. If you don't, you'll find an excuse.
Richard Ronald Allan, Exit Eleonora|Perhaps the saddest part of coexistence is the concept of interdependence being necessary for any form of solidarity to be realized. Being encouraged to lean on the weak, does not sound like a long term viable solution to attaining strength.
George Will|The successful revolutionary is a statesman, the unsuccessful one a criminal.
Wes Craven|If the Indy Racing League didn't have the Indianapolis 500, do you think it would have lasted more than six months? No chance.
mthavalover|life is what u make it,if you want yours to be a cake just go ahead and bake it
Aravind Adiga, Last Man in Tower|Inconvenience in progress, work is regretted.
Coco J. Ginger|She expressed an opinion that the happiness of a woman in Paradise is beneath the soles of her husband's feet,' he enlightened humorously, seemingly not at all averse to her obvious desire to be comforted.
Robert  Black|This stage in the life of the buzz is truly fabulous. It's not even a buzz anymore. It's a roar. The world opens up and everything's yours right there, right now. You've probably heard the expression -- All good things must come to an end. Well, this stage in the life of the buzz never heard anything close to that. This stage says, "I will never end. I am indestructible. I will last fabulously forever." And of course, you believe it. To hell with tomorrow. To hell with all problems and barriers. Nothing matters but the Spectacular Now.
Mehmet Murat ildan|Republican theory clearly stated that the people held all political power, and only they could delegate authority to a government. The people were free to change governments at will. They didn't need permission from incumbents.
Jenny Trout, Ashes to Ashes|Alright! You sir, you sir, how about a shave?Come and visit your good friend Sweeney.You sir, too sir? Welcome to the grave.I will have vengenance.I will have salvation.Who sir, you sir?No ones in the chair, Come on! Come on!Sweeney's. waiting. I want you bleeders.You sir! Anybody!Gentlemen now don't be shy!Not one man, no, nor ten men.Nor a hundred can assuage me.I will have you!And I will get him back even as he gloatsIn the meantime I'll practice on less honorable throats.And my Lucy lies in ashesAnd I'll never see my girl again.But the work waits!I'm alive at last!And I'm full of joy!
Renata Bowers, Frieda B. and the Zillabeast|A sweet kiss on her head made her little heart swell; she had pancakes, her dog. She had love. All was well.
Laura Lam, Shadowplay|I wished I had told her what I was doing. I wished I had said more, argued more. Maybe then I wouldn't have this hollow ache in my chest whenever I thought of our parting words. Had she already moved on, forgotten me? In her position, what she said made sense, but the thought of her with someone else made me wish I had something to fight, to kill, just so I could forget.
Beryl Markham, West with the Night|To see ten thousand animals untamed and not branded with the symbols of human commerce is like scaling an unconquered mountain for the first time, or like finding a forest without roads or footpaths, or the blemish of an axe. You know then what you had always been told -- that the world once lived and grew without adding machines and newsprint and brick-walled streets and the tyranny of clocks.
George Bernard Shaw|The play was a great success, but audience was a dismal failure.
José Saramago|Dignity has no price, when someone starts making small concessions, in the end, life loses all meaning.
C.S. Lewis, Seeing Eye and Other Selected Essays from Christian Reflections|Doubt is an uncomfortable condition, full of unknowns, asking questions but raising possibilities.
Patrick Ness, Monsters of Men|His noise is getting quieter, but I can still see it there still-See how he feels the skin of my hand against his, see how he wants to take it and press it against his mouth, how he wants to breathe in the smell of me and how beautiful I look to him, how strong after all that illness, and how he wants to just lightly touch my neck, just there, and how he wants to take me in his arms and-"Oh, God," he says, looking away suddenly. "Viola, I'm sorry, I didn't mean-"But I just put my hand to the back of his neck-And he says, "Viola-?"And I pull myself towards him-And I kiss him.And it feels like, finally.
Benjamin Franklin, Poor Richard's Almanack|Experience keeps a dear school, but fools will learn in no other, and scarce in that.
Julie Garwood, The Secret|Dreams are for little girls to whisper to each other. They don't really come true. I'm a fully grown woman now, Frances Catherine. I don't imagine impossible things.
E. Lockhart, Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver|I can't forget things, or ignore them-bad things that happen," I said. "I'm a lay-it-all-out person, a dwell-on-it person, an obsess-about-it person. If I hold things in and try to forget or pretend, I become a madman and have panic attacks. I have to talk.
Adrian Tomine|If you wanted to design a robot that could learn as well as it possibly could, you might end up with something that looked a lot like a 3-year-old.
Cameron Russell|I work all day, morning and afternoon, just about every day. If I sit there like that for two or three years, at the end I have a book.
Dr Sivakumar Gowder|We derive vitamin D from the sunshine, and hence it can also be considered as "day" vitamin.
R.W. van Bemmelen|We will be able to depart this life with the quiet peace-giving notion, that we were permitted to contribute to the happiness of many who will live after us. In our long lives we endeavored to unfold the collective consciousness. In our lives we have known hell and heaven; the final balance, however, is that we helped pave the way to dynamic harmony in this earthly house. That, I believe, is the meaning of life.
Alexander Pushkin, The Captain's Daughter and Other Stories|And, when the revolutionary cries that he is fighting for ‘freedom’, be sure to go running away from him just as fast as you can, for you can be damned certain he’s fighting for the freedom to tell you what to do.
Lailah Gifty Akita|Thank God for all my troubles, he made me trust in Him.
Dada Bhagwan|What is the definition of Gnan [true knowledge]? It is that which must be present without fail when needed. Who should be the one imparting this Knowledge? It is not acceptable coming from any ordinary person. It must be from one whose speech has power (vachanbad), so that it will be present when needed. The Gnan [Knowledge] has to present itself, otherwise the work cannot be accomplished.
Portia de Rossi|Daredevil was known as 'The Man Without Fear,' and I just thought, 'Well, I don't think that's very interesting.' I don't think it's very interesting to watch someone who's incapable of feeling fear. It also removes from the palate my favorite character attribute, which is courage. If you're not afraid, you can't exercise courage.
Samuel Beckett, The Unnamable|She was so shattered about what kind of man he was -- brutal, tender, passionate. There was little doubt he had some mental disorder.
Kristi Bowman, Journey to One: A Woman's Story of Emotional Healing and Spiritual Awakening|We often forget our human connectedness. Throughout my life, I have felt the greatest beauty lies in this connection. It has been in the deepest connections with others that I have experienced the greatest degree of learning, healing and transformation. This connection is a powerful thing, with the ability to transform lives, and ultimately transform human experience.
Michelle Lynn Brown, Miracles in Disguise|The Lord has called me to obedience, though not always to success.
Dionne Warwick|Living with anyone for many years takes skill. To keep peace in the household, couples learn to adapt to one another, hopefully in positive ways.
Thomas Merton, No Man Is an Island|If pride is a sin, then love must be the mother of sin.
David Graeber, Debt: The First 5,000 Years|At this point we can finally see what's really at stake in our peculiar habit of defining ourselves simultaneously as master and slave, reduplicating the most brutal aspects of the ancient household in our very concept of ourselves, as masters of our freedoms, or as owners of our very selves. It is the only way that we can imagine ourselves as completely isolated beings. There is a direct line from the new Roman conception of liberty – not as the ability to form mutual relationships with others, but as the kind of absolute power of "use and abuse" over the conquered chattel who make up the bulk of a wealthy Roman man's household – to the strange fantasies of liberal philosophers like Hobbes, Locke, and Smith, about the origins of human society in some collection of thirty- or forty-year-old males who seem to have sprung from the earth fully formed, then have to decide whether to kill each other or begin to swap beaver pelts.
Jay Woodman|All I can say to people who hate their mothers for giving birth to them is "get the fuck out of your scaredy shells and kiss the world".
Anthony Burgess|She couldn't see the homemade colored sprinkles, the tender yellow cake, or the pale pink frosting made with strawberry syrup enhanced with a little rosewater. Although our local strawberries weren't in season yet, I had conjured the aroma and taste of juicy berries warmed by the sun. I hoped this flavor would help the two old people return once more to their youth and the carefree feeling of a summer day.
M.J. Kaufman|But whence came this curious difference between them? He found that he could point to no single feature wherein the difference resided, yet it was impossible to ignore. One could try - Ransom has tried a hundred times - to put it into words. He has said that Malacandra was like rhythm and Perelandra like melody. He has said that Malacandra affected him like a quantitative, Perelandra like an accentual, metre. He thinks that the first held in his hand something like a spear, but the hands of the other were open, with the palms towards him. But I don't know that any of these attempts has helped me much. At all events what Ransom saw at that moment was the real meaning of gender.
Johann Wolfgang von Goethe, Faust: First Part|As soon as you trust yourself, you will know how to live.
David Mitchell, The Bone Clocks|I wanted to get you flowers but none of the flower shops are open at this hour. I checked six all-night variety stores before finding any at all and this was the best of the-""They're lovely," Rachel interrupted as she took the flowers. Limp and sad-looking as they were, they truly were lovely to Rachel. They represented hope, and she accepted them gladly, offering a shy smile as she lifted them to her face and sniffed the delicate bouquet of- "Salami?"They were kept in the deli fridge," he muttered, looking embarrassed.
Rosamunde Pilcher, The Shell Seekers|She had loved them all, her children. Loved each one the best, but for different reasons.
Deborah Heiligman, Charles and Emma: The Darwins' Leap of Faith|I wish you knew how I value you; and what an inexpressible blessing it is to have one whom one can always trust, one always the same, always ready to give comfort, sympathy and the best advice. God bless you, my dear, you are too good for me.' -Charles to Emma, 1859
V.S. Ramachandran, The Tell–Tale Brain – A Neuroscientist`s Quest for What Makes Us Human|Even if God had created us, He would never have admitted it.
Ric Flair|Prophesy is a good line of business, but it is full of risks.
Bangambiki Habyarimana, The Great Pearl of Wisdom|Faith is irrational, which is why those who exercise it are rewarded irrationally.
Brenda Perlin|Being married definitely took work. When we fought, I felt like I wanted to float away and drown, whereas before I knew I could walk away without any strings attached.
Francine Pascal, Fearless|Being FEARLESS isn't being 100% Not FEARFUL, it's being terrified but you jump anyway...
Madison Thorne Grey, Magnificence|Hey, look who's alive! I knew you were too tough to leave this f@$#ed up place without a fight, and you do realize that if you had wanted to get into Wharick's bed, there certainly would have been easier ways to get there than getting yourself poisoned," He smiled widely.
Eric Micha'el Leventhal|The simple act of having a camera, not a cell phone, but a camera-camera, there’s a kind of a heightened perceptional awareness that occurs. Like, I could walk from here to the highway in two minutes, but if I had a camera, that walk could take me two hours.
Vladimir Nabokov, Speak, Memory|How small the cosmos (a kangaroo's pouch would hold it), how paltry and puny in comparison to human consciousness, to a single individual recollection, and its expression in words!
Adnan Bhatti|I have done things that are memorable to me. Some of them had brought sadness instantly to me, and others happiness. But I wished I had not made them in the first place, even more for the joyful ones. For they bring pain in me, as what have had happened there will be a memory, and will always stay as one. We can never relive those times, and that is what's haunting me, and brings pain in me...
Stephenie Meyer, New Moon|Time passes. Even when it seems impossible. Even when each tick of the second hand aches like the pulse of blood behind a bruise. It passes unevenly, in strange lurches and dragging lulls, but pass it does. Even for me.
Abhinav Rajput|Courtrooms are battlegrounds where society’s bullies and the oppressed clash, where the victims of abusers seek recompense, and where parties cheated by scalawags seek retribution. Because of the high stakes involved, the parties are not always honest, and justice depends upon an array of factors including the prevailing case precedent, the skills of the legal advocates, and the merits of each party’s claims and counterclaims.
Cameron Jace, Snow White Sorrow|I stand before her, meeting her eye to eye and nose to nose. My head takes a slight bow as I clench my fist. “I should have just killed you like any other bloodsucking vampire.”“So why didn’t you?” She tiptoes, clenching her first as well. I have to admit. She is a much better version of the Snow White you see in a Disney movie. She’s kind of kickass. I like it, but I will never let her know.“Why do you care so much about me then? Ha?” She asks."I should have killed you before," I repeated while all I could do is wonder how I'd ever fallen in love with a monster girl.
Priscilla Koranteng, Trails to the Stream: Poetry and Inspiration for Everyday Living|In this room I grew.So many lessons I learnedOpportunities I gainedCriticisms I gracefully enduredIn this room, I made my mark".
Adam Clarke|We do not need them. They would hinder rather than help our praise. Sing unto him. This is the sweetest and best music. No instrument like the human voice. What a degradation to supplant the intelligent song of the whole congregation by the theatrical prettiness of a quartet, bellows, and pipes! We might as well pray by machinery as praise by it.
Salman Rushdie|Will some reporter, or some Republican on the Sunday shows, please ask why tax cuts raid the non-existent Social Security Trust Fund but all the Democrats' new spending doesn't? Will someone please ask that?
Ruth Hurmence Green|Personally, I think the 'Christian family' should be called a Christian fantasy.
A.D. Posey|When life gives you a second chance, don’t just run with it…fly.
Toba Beta, Master of Stupidity|A first premonition of the rich variety of life had come to him; for the first time he thought he had understood the nature of human beings - they needed each other even when they appeared hostile, and it was very sweet to be loved by them.
Alexander Gordon Smith, The Fury|Life is a nightmare that leaves its mark upon you in order to prove that it is, in fact, real.
Gayle D. Erwin, The Jesus Style|Our humility before God has no value, except that it prepares us to reveal the humility of Jesus to our fellow men.
Foz Meadows|Oh my God, cheese burn!
Daniel Keyes, Flowers for Algernon|An ugliness unfurled in the moonlight and soft shadow and suffused the whole world. If I were an amoeba, he thought, with an infinitesimal body, I could defeat ugliness. A man isn’t tiny or giant enough to defeat anything.
Douglas Coupland|If your man is a sports enthusiast, you may have to resign yourself to his spouting off in a monotone on a prize fight, football game or pennant race.
Leigh Bardugo, Six of Crows|Understanding comes out of immense love, which is harder to get in life.
Jenny Diski|But given that depression happened to me, and I did have support, I found it was possible after a time, to achieve a kind of joy totally disconnected from the world. I wanted to be unavailable and in that place without the pain. I still want it. It is coloured white and filled with a singing silence. It is an endless ice-rink. It is Antarctica.
Crystal Woods, Dreaming is for lovers|everyone who terrifies you is sixy-five percent water, and everyone you love is made of stardust, and I know sometimes you cannot even breathe deeply, and the night sky is no home, and you have cried yourself to sleep enough times that you are down to your last two percent, but nothing is infinite, not even loss. you are made of the sea and the stars and one day you are going to find yourself again.
Zadie Smith, White Teeth|The Jews could be put down very plausible as the most unpleasant race ever heard of. As commonly encountered they lack any of the qualities that mark the civilized man: courage, dignity, incorruptibility, ease, confidence. They have vanity without pride, voluptuousness without taste, and learning without wisdom. Their fortitude such as it is, is wasted upon puerile objects, and their charity is mainly a form of display.
Dorothy Parker|Be you wise and never sad,You will get your lovely lad.Never serious be, nor true,And your wish will come to you--And if that makes you happy, kid,You'll be the first it ever did.
Dada Bhagwan|Until the ‘wrong belief’ leaves, we will continue to be robbed.
Bill Clinton|The accomplishments of the women in 'The Counselors' are a testament to the power and promise of the American Dream and are sure to resonate deeply with many young women who have the desire and the ability to make their own unique contributions to this legacy of progress. . . . Just as the women in this book were empowered by the efforts and example of those who came before them, a new generation will be inspired and encouraged by the spirit and achievements of this remarkable group.
Toni Sorenson|Sometimes the steepest, most challenging and most rewarding paths in life are not meant to be walked, but crawled.
Marilyn Manson|The death of one is a tragedy, but death of a million is just a statistic. 
Michael  Grant, Hunger|Don’t want no more rock,” Orc repeated.The bleeding stopped almost immediately.“Does it hurt?” Lana asked. “I mean the rock. I know the hole hurts.”“No. It don’t hurt.” Orc slammed his fist against his opposite arm, hard enough that any human arm would have been shattered. “I barely feel it. Even Drake’s whip, when we was fighting, I barely felt it.”Suddenly he was weeping. Tears rolled from human eyes onto cheeks of flesh and pebbles.“I don’t feel nothing except…” He pointed a thick stone finger at the flesh of his face.“Yeah,” Lana said. Her irritation was gone. Her burden was smaller, maybe, than Orc’s.
Rush Limbaugh|If I can drive down the road in my car and listen to XM satellite, and when a song gets beamed into my car, it can tell me who wrote the song and what the damn lyrics are, why, when you broadcast a digital signal of a film, can't it speak to your television to set up a list of settings to show the film in the way that it was meant to be shown?
Joanne McClean, Learning to Breathe|It pained her that a few hundred words in an also-ran newspaper could get her kicked out. That damned article.And Rook.Her sharpest agony. She had invested in this guy. Waited for this guy. Felt something for this guy that went beyond the bedroom ... or wherever else they took each other. Nikki did not give herself easily to a man, and this betrayal by Rook was why. Heat reflected on her answer at the oral boards about her greatest flaw and admitted her reply was a mask. Yes, her identification with her job was total. But her greatest flaw wasn’t overinvestment in her career. It was her reticence to be vulnerable. Unarmed as she was-literally-she had been emotionally so with Rook.That was the gut shot that had blown clean through her soul.
Philippa Gregory, The Other Boleyn Girl|Stars in the night,' he said. 'Something something something something, some delight
Stephanie Perkins|It's hard as hell to hold onto your dignity when the risen sun is too bright in your losing eyes, and that's what I was thinking about as we hunted for bad guys through the ruins of a city that didn't exist.
Shannon L. Alder|Storms don't come to teach us painful lessons, rather they were meant to wash us clean.
Garth Risk Hallberg, City on Fire|The sky was low and broody, but from here, near the treeline, you could see the forest rolling down into the valley, the lake tucked away like a pocket mirror.
Sugiarti Manik|- Do you want to know why I followed you into that funeral parlor?- You said you followed me on a whim.- That´s the truth, but there´s more to it. I was parking at the gas station across the street and I saw you get out of your car. I didn´t think much of it until you paused on your way inside the shop. You tilted your head toward the sun and closed your eyes, like a prisoner stepping outside after years of being locked away. It seemed so odd. No one just stops and appreciates life like that, but you did. I could see your smile from across the street and I couldn´t look away. I knew in that moment that I was completely uninterested in pursuing a life in wich I didn´t cross that street and meet you
Chuck Palahniuk|In terms of level of difficulty, it would go comedy, thriller, and then romantic drama.
Wendell Berry, Jayber Crow|Jesus was victorious not because he never flinched, talked back, or questioned, but having flinched, talked back, and questioned, he remained faithful.
Michelle Cruz-Rosado|Courage is living by the free will that one creates for themselves, not the life of monotony determined by another.
Carol Lee, To Die For|Sometimes healthy and whole people make you long for your old, 'undepressed' self, and it is hard to smile when you just feel like sobbing your heart out. People are going out, you aren't. People are vacationing, you aren't. They are getting ahead in their careers, you aren't. They are partying, you aren't. Socializing reminds you of everything you have lost to depression.
David Finkel, The Good Soldiers|... we live in a purposeful world with a linear movement to a grand climax. Thousands of sub-plots unfold enroute to the great finale. Behind your life is an unseen and up fathomed blueprint where every experience is purposeful. Within this divine plan we are not robots, but responsible moral agents. We make choices and we are responsible for these choices. But God, in a way that you and I will never fathom, integrates into his plan our choices long before they are ever made.
Shannan Lea, Eish! London|If you imagine that I have the smallest desire to receive your hand as a reward for having performed a difficult task to your satisfaction you're beside the bridge, my child! I've no fancy for a reluctant wife. I want your love, not your gratitude.
Lorde|'Cyberspace' as a term is sort of over. It's over in the way that, after a certain time, people stopped using the suffix '-electro' to make things cool, because everything was electrical. 'Electro' was all over the early 20th century, and now it's gone. I think 'cyber' is sort of the same way.
Jamie Zeppa, Beyond the Sky and the Earth: A Journey into Bhutan|Time has become a melding of minutes and months and the feeling of seasons. […] Leon says it is the Bhutan Time Warp and I know what he means. Time does not hurl itself forward at breakneck speed here. Change happens very slowly. A grandmother and her granddaughter wear the same kind of clothes, they do the same work, they know the same songs. The granddaughter does not find her grandmother an embarrassing, boring relic.
Widad Akreyi|One who abuses his power, unaware that one day will be the victim of his own abuses
Edgar A. Guest|This I would like to be- braver and bolder, Just a bit wiser because I am older, Just a bit kinder to those I may meet, Just a bit manlier taking defeat; This for the New Year my wish and my plea- Lord, make a regular man out of me. This I would like to be- just a bit finer, More of a smiler and less of a whiner, Just a bit quicker to stretch out my hand Helping another who's struggling to stand, This is my prayer for the New Year to be, Lord, make a regular man out of me. This I would like to be- just a bit fairer, Just a bit better, and just a bit squarer, Not quite so ready to censure and blame, Quicker to help every man in the game, Not quite so eager men's failings to see, Lord, make a regular man out of me. This I would like to be- just a bit truer, Less of the wisher and more of the doer, Broader and bigger, more willing to give, Living and helping my neighbor to live! This for the New Year my prayer and my plea- Lord, make a regular man out of me.
Malaika Arora Khan|Never stand still. Only stand still enough to learn, and once you stop learning in that stance, move off. Always keep yourself engaged, in theater, in whatever job you can get. If you can't get an acting job, then go backstage. Or take tickets. But be around actors because that is where you will primarily learn.
Billy Graham, Billy Graham in Quotes|Sin was conquered on the cross. [Christ’s] death is the foundation of our hope, the promise of our triumph!
Lisa Kessler, Wolf Moon|Everything okay?”“I’m not sure, but it’s not shittier, so that’s something.”She laughed. “Still an optimist.
Michel Houellebecq, H.P. Lovecraft: Against the World, Against Life|Life is painful and disappointing. It is useless, therefore, to write new realistic novels. We generally know where we stand in relation to reality and don’t care to know any more.
Ada Louise Huxtable|Never mind gas masks and fallout shelters in the event of biological warfare. Many New Yorkers move from place to place equipped with the essentials of vermin assault weaponry: mouse traps, roach spray, and sticky tapes. In some neighborhoods, it’s a must.
Richard Rohr, Falling Upward: A Spirituality for the Two Halves of Life|I don’t claim to know an over-arching ‘Meaning of Life,’ but I do operate under the understanding that life should not be lived under the pretense that it is simply a test propagated by an invisible, intangible, Creator-God. And it should not be spent identifying with religious traditions and organized groups that, historically, have been at the root of a tremendous amount of oppression and violence.
Charlie Chaplin|I'm sorry, but I don't want to be an emperor. That's not my business. I don't want to rule or conquer anyone. I should like to help everyone if possible; Jew, Gentile, black man, white. We all want to help one another. Human beings are like that. We want to live by each other's happiness, not by each other's misery. We don't want to hate and despise one another. In this world there is room for everyone, and the good earth is rich and can provide for everyone. The way of life can be free and beautiful, but we have lost the way. Greed has poisoned men's souls, has barricaded the world with hate, has goose-stepped us into misery and bloodshed. We have developed speed, but we have shut ourselves in. Machinery that gives abundance has left us in want. Our knowledge has made us cynical; our cleverness, hard and unkind. We think too much and feel too little. More than machinery, we need humanity. More than cleverness, we need kindness and gentleness. Without these qualities, life will be violent and all will be lost. The airplane and the radio have brought us closer together. The very nature of these inventions cries out for the goodness in men; cries out for universal brotherhood; for the unity of us all. Even now my voice is reaching millions throughout the world, millions of despairing men, women, and little children, victims of a system that makes men torture and imprison innocent people. To those who can hear me, I say, do not despair. The misery that is now upon us is but the passing of greed, the bitterness of men who fear the way of human progress. The hate of men will pass, and dictators die, and the power they took from the people will return to the people. And so long as men die, liberty will never perish. Soldiers! Don't give yourselves to brutes, men who despise you, enslave you; who regiment your lives, tell you what to do, what to think and what to feel! Who drill you, diet you, treat you like cattle, use you as cannon fodder. Don't give yourselves to these unnatural men - machine men with machine minds and machine hearts! You are not machines, you are not cattle, you are men! You have the love of humanity in your hearts! You don't hate! Only the unloved hate; the unloved and the unnatural. Soldiers! Don't fight for slavery! Fight for liberty! In the seventeenth chapter of St. Luke, it is written that the kingdom of God is within man, not one man nor a group of men, but in all men! In you! You, the people, have the power, the power to create machines, the power to create happiness! You, the people, have the power to make this life free and beautiful, to make this life a wonderful adventure. Then in the name of democracy, let us use that power. Let us all unite. Let us fight for a new world, a decent world that will give men a chance to work, that will give youth a future and old age a security. By the promise of these things, brutes have risen to power. But they lie! They do not fulfill that promise. They never will! Dictators free themselves but they enslave the people. Now let us fight to fulfill that promise. Let us fight to free the world! To do away with national barriers! To do away with greed, with hate and intolerance! Let us fight for a world of reason, a world where science and progress will lead to all men's happiness. Soldiers, in the name of democracy, let us all unite!
R.A.Delmonico|Even if a particle could travel backward in time, information could not. Retrocausality will be replaced by something more sophisticated. There are no perfect symmetries, there is no pure randomness everything is an approximation of something else. Information may appear in a digital form but meaning never does. Spacetime is built up from approximations, not discrete ones and zeros, and the only constant may be ratios. Quantum entanglement and geometry; if we think of a particle as being at one pole of an expanding sphere that is not perfectly symmetrical, this surface would be "rippling" like the surface of the ocean (in the audio world this is called dithering), at the other pole is the entangled particle's pair and it is a property of the sphere that gives the illusion of connectivity. This is not a physical geometry, it is a computational geometry. Is spacetime a product of entanglement? Renate Loll believes that time is not perfectly symmetrical. Her computer models require causality. Possibly some form of quantum random walk in state space. If a photon is emitted by an electron inside of a clock on Earth and it travels to a clock four light years away, time stops for the clock on Earth and time jumps forward eight years for the distant clock also, the electron that will capture the photon becomes infinitely large relative to the photon but the electron that emitted it does not become infinitely small therefore, time is not perfectly symmetrical.
Amit Kalantri|If you can confess before a friend, you don't need a priest.
John Gottberg|In the general American population, 3.9 percent of adult men are six foot two or taller. Among my CEO sample, almost a third were six foot two or taller.
Serj Tankian|I don't really like labels in politics, but I will gladly accept the label of conservatism.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Love and loneliness, they are both coincidences.
Alan Bennett, The Uncommon Reader|I have to seem like a human being all the time, but I seldom have to be one. I have people to do that for me.
Hunter S. Thompson, The Rum Diary|It has been my face. It's got older still, or course, but less, comparatively, than it would otherwise have done. It's scored with deep, dry wrinkles, the skin is cracked. But my face hasn't collapsed, as some with fine feature have done. It's kept the same contours, but its substance has been laid waste. I have a face laid waste.
Ann Mah, Mastering the Art of French Eating: Lessons in Food and Love from a Year in Paris|The only thing that could spoil a day was people and if you could keep from making engagements, each day had no limits. People were always the limiters of happiness except for the very few that were as good as spring itself.
Debasish Mridha|Love and learn from everyone,but follow your heart,and your inner conviction.
Sam Brownback|I was homeless for about 8 months, I refused to live with my dad or anyone for that matter. So I stayed somewhere that had no hot water, ever, no heat, I told myself I have to be strong and get through it on my own.
D.H. Lawrence, Women in Love|That’s the place to get to—nowhere. One wants to wander away from the world’s somewheres, into our own nowhere.
Nora Ephron|Fashion should be a form of escapism, and not a form of imprisonment.
Cliff Fadiman|When you reread a classic, you do not see more in the book than you did before; you see more in you than there was before.
Linda Nichols|Since no one really knows what or who God is, or whether God is at all, why can't God be hope?
Debasish Mridha|Be like the moon, give everyone your love and smiles.
Larry P. Aitken, Two Cultures Meet: Pathways For American Indians To Medicine|Elder's Meditation of the Day - February 18 "laughter is a necessity in life that does not cost much, and the Old Ones say that one of the greatest healing powers in our life is the ability to laugh." --Larry P. Aitken, CHIPPEWA Laughter is a good stress eliminator. Laughter causes healing powers to be distributed through our bodies. Laughter helps heal relationships that are having problems. Laughter can change other people. Laughter can heal the sick. Laughter is spiritual. One of the greatest gifts among Indian people has been our ability to laugh. Humor is natural to Indian people. Sometimes the only thing left to do is laugh. Great Spirit, allow me to laugh when times get tough.
Sherwin B. Nuland|John Candy knew he was going to die. He told me on his 40th birthday. He said, well, Maureen, I'm on borrowed time.
Alexandre Dumas, The Three Musketeers|In all times, and all countries especially in those countries which are divided within by religious faith, there are always fanatics who will be well contented to be regarded as martyrs.
F. Scott Fitzgerald, The Great Gatsby|By God, I may be old-fashioned in my ideas, but women run around too much these days to suit me. They meet all kinds of crazy fish.
Marty Rubin|This may not be the best of all possible worlds, but it's the only real one.
Rascal Flatts|I set out on a narrow way many years ago, hoping I would find true love along the broken road
Agapi Stassinopoulos|Into your darkest corner, you are safe in my love, you are protected. I am the openess you seek, I am your doorway. Come sit in the circular temple of my heart, & let yourself be calm.
Dan Hill|If I can put on my album in a car or on my headphones and listen to the whole thing and love it, that's what I'm going to be happy putting out there.
Malak El Halabi|Master morality is a "yea-saying" attitude where "good" and "bad" are equivalent to "noble" and "despicable" respectively.
Matthew Reilly, The Great Zoo of China|Be careful, darling. Your footsteps land heavy here. Your racket will wake the dragons.
Jodi Picoult, Nineteen Minutes|Everyone knew that if you divided reality by expectation, you got a happiness quotient. But when you invert the equation - expectation divided by reality - you didn't get the opposite of happiness. What you got, Lewis realized, was hope.
Michael  Grant, Plague|Hunter’s entire body writhed and squirmed.The side of his head was partly gone. A creature, like some monstrous melding of insect and eel, protruded from Hunter’s shoulder and as they stood there rooted in horror it took a vicious bite of Hunter’s flesh.Taylor was suddenly gone.Dekka’s face was grim, her eyes wet.“I tried . . . ,” Hunter said. He held up his hands, mimicked pressing them against his head. “It didn’t work.”“I can do it,” Sam said softly.“I’m scared,” Hunter said.“I know.”“It’s ’cause I killed Harry. God has to punish me. I tried to be good but I’m bad.”“No, Hunter,” Sam said gently. “You paid your dues. You fed the kids. You’re a good guy.”“I’m a good hunter.”“The best.”“I don’t know what’s happening. What’s happening, Sam?”“It’s just the FAYZ, Hunter,” Sam said.“Can the angels find me here so I can go to heaven?”Sam didn’t answer. It was Dekka who spoke. “Do you still remember any prayers, Hunter?”The insectlike creature was almost completely emerged from Hunter’s shoulder. Legs were becoming visible. It had wings folded against its body. It looked like a gigantic ant, or wasp, but silver and brass and covered with a sheen of slime.It was emerging like a chicken breaking out of an egg. Being born. And as the creature was born, it fed on Hunter’s numbed body.Jerky movements beneath Hunter’s shirt testified to more of the larvae emerging.“Do you remember ‘now I lay me down to sleep’?” Dekka asked.“Now I lay me down to sleep,” Hunter said. “I pray the Lord my soul to keep.”Sam raised his hands, palms out.“If I should die—”Twin beams of light hit Hunter’s chest and face. His shirt caught fire. Flesh melted. He was dead before he could feel anything.Sam played the light up and down Hunter’s body. The smell was sickening. Jack wanted to look away, but how could he?Sudden darkness as Sam terminated the light.Sam lowered his hands to his side.They stood there in the darkness. Jack breathed through his mouth, trying not to smell the burned flesh.Then they heard a sound. Many sounds.Sam raised his hands and pale light glowed.Hunter was all but gone.The things that had been inside him were still there.
Brian Selznick, Wonderstruck|Come on, let’s go meet the guy who thinks he’s my better half . And dear God, I apologize ahead of time if he starts talking to you about how many eight-point bucks he’s planning to hunt this weekend.
Marge Piercy|Where do dreams come from?...they slink out of books, they lurk in the stacks of libraries. Out of pages turned they rise like the scent of peonies and infect the brain with their promises.
H. Jackson Brown, Jr.|The entrepreneurial life is one of challenge, work, dedication, perseverance, exhilaration, agony, accomplishment, failure, sacrifice, control, powerlessness... but ultimately, extraordinary satisfaction.
Anne Morrow Lindbergh|Only in growth, reform, and change, paradoxically enough, is true security to be found.
Dianne Sylvan|...she is careful who she sleeps with, because only those willing totreat her witht he same reverence are worthy of her attention....you are the Goddess, and "all acts of love and pleasure" are your rituals
Aram Seriteratai|Never joined the wrong boat. When the destination is right, and the direction is wronged, everything goes wrongly!
