Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Milorad Pavić, Dictionary of the Khazars|And so, when I began to read the proffered pages, I at one moment lost the train of thought in the text and drowned it in my own feelings. In these seconds of absence and self-oblivion, centuries passed with every read but uncomprehended and unabsorbed line, and when, after a few moments, I came to and re-established contact with the text, I knew that the reader who returns from the open seas of his feelings is no longer the same reader who embarked on that sea only a short while ago.
Kelly Batten, One Day You'll Find Me|What's this one, Mum? There's no return address, and there's like, five stamps on it. Who's it from?"Leaning forward to get a closer look at the stamps, I didn't notice the fleeting look of immense sadness pass over her face."Oh it's nothing, darling."I raised my eyebrow at her. She sighed."An overseas friend. You wouldn't know her."And before I could ask what 'her' name was, Mum had left the room.
Jose Mourinho|At the earliest age, when I saw a 'wet paint' sign, I had to touch the paint to see if it was wet. When I get stopped at the stoplight in the middle of the night, and there's just no cars coming, and the light is red, I go. I don't think I'm putting anyone in harm's way, and I'll just take the consequences. Because I'm a Libertarian.
John Dewey, Experience and Education|Traditional education tended to ignore the importance of personal impulse and desire as moving springs. But this is no reason why progressive education should identify impulse and desire with purpose and thereby pass lightly over the need for careful observation, for wide range of information, and for judgment is students are to share in the formation of the purposes which activate them
Jen Lancaster|You want to change? Lose the bitch. Be nicer to people. Stop telling them to "bite you" and threatening to kick them until they're dead.
Eckhart Tolle|Who among us has never looked up into the heavens on a starlit night, lost in wonder at the vastness of space and the beauty of the stars?
Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln|One-time rival and subsequent usurper Secretary of State Seward finally settled into an assessment of Lincoln that, "His confidence and compassion increase every day.
-Imam Ali Ibn Abi Talib AS|A fool's mind is at the mercy of his tongue, and a wise man's tongue is under the control of his mind.
Frances Trollope|My one thought is to get out of New York, to experience something genuinely American.
Brené Brown|Vulnerability is the birthplace of innovation, creativity and change.
Jeffrey Eugenides, The Marriage Plot|They thought depression was like bieng 'depressed'. They thought it was like being in a bad mood, only worse. Therefore, they tried to get him to snap out of it.
Roopleen, Words to inspire the winner in YOU|When you encounter obstacles, don’t turn your back on them. Face them, confront them and your will see them dissolving in front of your eyes.
Gerald Griffin|St. Louis has always been a great center for medicine. It has been a leader in the nation since the early part of the 20th century. Along with that, we've been a leader in medical science and biomedical science and innovation in medicine.
Israelmore Ayivor|In preparing the present volume, it has been the aim of the author to do full justice to the ample material at his command, and, where possible, to make the illustrations tell the main story to anatomists. The text of such a memoir may soon lose its interest, and belong to the past, but good figures are of permanent value. [Justifying elaborate illustrations in his monographs.]
Baruch Spinoza, Ethics|The good which every man, who follows after virtue, desires for himself he will also desire for other men...
Eve Silver|You try to tell yourself that you've been lucky, most incredibly lucky, and usually that works because it's true. Sometimes it doesn't work, that's all. Then you cry.
Larken Rose|I'm not scared of the Maos and the Stalins and the Hitlers. I'm scared of the thousands of millions of people that hallucinate them to be "authority", and so do their bidding, and pay for their empires, and carry out their orders. I don't care if there's one looney with a stupid moustache. He's not a threat if the people do not believe in "authority".
Andrew Carnegie|If the newspapers begin to publish stories about wars, and the people begin to think and talk of war in their daily conversations, they soon find themselves at war. People get that which their minds dwell upon, and this applies to a group or community or a nation of people, the same as to an individual
Nathan Reese Maher, Lights Out: Book 2|I’m afraid they’re not coming.” Abby said fearfully. “Our parents, our teachers – everyone! They’ve disappeared. That’s it. Lights out, Shelly. We’re on our own.
|I don't know anything about your personal life, but I know without a doubt that if you put your mind into something, and push yourself hard and long enough, your life would definitely not remain the same.
Andrew  Abrahams|In this funny debut, flashy Filipino fashion designer Boy Hernandez sees his American dream become a nightmare when he’s ensnared in a terrorist plot and shipped to Guantanamo. Gilvarry nails the couture scene, but Boy’s rough journey from Manolo to Gitmo is no joke.
Henry Miller|Criminals are never very amusing. It's because they're failures. Those who make real money aren't counted as criminals. This is a class distinction, not an ethical problem.
Richelle E. Goodrich, Dandelions: The Disappearance of Annabelle Fancher|There's enchantment in a smile, did you know?Shall I prove in a wink that it is so?Watch my mouth grin wide and see,How quick your lips smile back at me!
Catherynne M. Valente, Deathless|... "I now see that I spent most of my life in doing neither what I ought nor what I liked". The Christians describe the Enemy as one "without whom Nothing is strong". And Nothing is very strong: strong enough to steal away a man's best years not in sweet sins but in a dreary flickering of the mind over it knows not what and knows not why, in the gratification of curiosities so feeble that the man is only half aware of them ...
St. Augustine of Hippo|Bad times, hard times, this is what people keep saying; but let us live well, and times shall be good. We are the times: Such as we are, such are the times.
Jani Ortlund|I believe that a godly home is a foretaste of heaven. Our homes, imperfect as they are, must be a haven from the chaos outside. They should be a reflection of our eternal home, where troubled souls find peace, weary hearts find rest, hungry bodies find refreshment, lonely pilgrims find communion, and wounded spirits find compassion.
Michael Brent Jones, A Hole in Heaven's Gate|He held out his arms and I ran to embrace him. It wasn’t that I couldn’t feel my sorrows anymore, it was as if they were never there. I felt safe, and loved. There were no words exchanged, we just held each other.
Maureen Johnson, The Madness Underneath|Traveling on, the shaft of his light reached now a great, dully shining oblong, and he stopped, surprised. Then, through the glass sides, he saw bright shapes of fish wheel in schools down the opaque water, startled by the illumination. Coming at last, and so suddenly, on life like his own, Mr. Lecky moved closer. The fixed flood of his light enveloped these small fish dimly, glowed back on him. They came sliding, drifting, mouths in motion, gills rippling, up the light, against the glass. Their senseless round eyes stared at Mr. Lecky. Idling with great grace, the extravagant products of selective breeding - fringetails, Korean, calico - passed, swayed about, came languidly back. Moving faster, stub-finned, crop-tailed danios from the Malabar coast appeared, hovered, taking the light on their fat flanks, now spotted, now iridescent pearl or opal.Seeing so many of them, so eager and attentive, Mr. Lecky felt an unexpected compunction. He was their only proprietor; and soon, trapped unnaturally here in the big tank, they would starve to death. His light went back to a counter he had just passed, showing him again the half-noticed packages - food for birds and pet animals, food, too, for fish. Returning to the tank, his light found many of the fish still waiting, the rest rushing back. He went and took a package, tore the top off, and poured the contents onto the rectangle of open water. It would perhaps postpone the time when, having eaten each other, the sick remainder must die anyway.
Innocent Mwatsikesimbe, Mirror|People usually gossip about people they don't quite understand, are jealous of, or have other negative feelings for.
Rachel Caine, Last Breath|He swallowed and shifted his weight a little uneasily, and then said, very quietly, his lips almost touching hers, 'Promise me you'll marry me. Not now. Someday. Because I need to know."Claier felt a flutter inside, like a bird trying to fly, and a ruch of heat that made her dizzy. And something else, something fragile as a soap bubble, and just as beautiful. Joy, in the middle of all this horror and heartbreak. 'Yes,' she whispered back. 'I promise.'And she kissed him, and kissed him, and kissed him, while the sun came up and bathed Morganville in one last, shining day.
Joseph B. Wirthlin|I always say, 'Hip-hop takes me everywhere.' It's crazy when I step onstage, and people might not speak much English, but they know every word to your songs. It's kind of freaky, but it's really cool.
Deyth Banger|Welcome in what?In adult world??I know it, people which are not sirious have a lot of money and don't know what to do. Every secret told to someone it's not anymore secured, if somebody know the secret, it's not anymore secret there is possibility somebody else to know from where somebody else...It's really "OMG", the "Nerds" which most people call them do some positive things, the people which people call them cool what they do??Say jokes which are even money, but we must laugh, I didn't get the joke?It's not there the problem, the problem is that it's too stupid to get it, what do I see?I change made, a stage from not secured to not sirious... People which fight are this which are not secured, people which are soldiers and work in police don't have anything else to do so they decide this to do, but after all when you become such you sign and the contract with the DEAD...
John Grisham, Gray Mountain|New teacher, if old was GreenHollyWood the new.... will be.... will be.... why not Holly Grendery... a teacher who lives agony - My Father (Bill) used to say if somebody is feeling miserable... let's take him out of his own misery.
Michael Flynn, Eifelheim|Hans clacked his side-lips. "Do you have the sentence in your head that tomorrow's procession will halt this pest of yours, that it will bar the small-lives from the High Woods?""If it is as you say, no. No more than prayer can stay a charging horse. But that is not why we pray. God is no cheap juggler as to play for a pfennig.
Paul Hawken|If we bestow but a very little attention to the economy of the animal creation, we shall find manifest examples of premeditation, perseverance, resolution, and consumate artifice, in order to effect their purpose.
Haruki Murakami, The Wind-Up Bird Chronicle|Living like an empty shell is not really living, no matter how many years it may go on. The heart and flesh of an empty shell give birth to nothing more than the life of an empty shell.
Neal Asher, Polity Agent|Coloron often pondered how a race, in which the stupid seemed more inclined to breed, had managed to come this far, and why human intelligence persisted—a discussion point in the nature vs nurture debate which had not died in half a millennium.
Eleanor Brownn, Mile 9: The true story of a lifelong couch potato who one day made a decision that changed everything|The ultimate message of this book, though, is not that should strive for publication, but that you should become devoted to the craft of writing, for its own sake. Ask yourself what you would do if you knew you would never be published. Would you still write? If you are truly writing for the art of it, the answer will be yes. And then, every word is a victory.
Sydney J. Harris, Best of Sydney Harris|Genuine love for a child, it seems to me, must include a desire for his maturity and ultimately his independence. WAtching a personality unfold is perhaps the deepest pleasure of parenthood; wishing, or trying, to retard this growth is one of the deepest sins.
Dan Pearce, Single Dad Laughing|I’ve been chained to my bathroom scale for two decades now. I’ve used the number on my scale to tell me if I’m valuable or not. I’ve let the number on my scale destroy many beautiful opportunities in my life such as scheduling family photos, having fun at the beach, or giving myself 100% in intimacy. I’ve let the number on the scale tell me if I should be confident in who I am. I’ve let the number on the scale tell me if I am worthy of kind thoughts from others. Ultimately, I’ve always let some ridiculous number on the bathroom scale tell me whether or not I should love myself.
Daniel Defoe|I added, that whoever the woman was that had an estate, and would give it up to be the slave of a great man, that woman was a fool, and must be fit for nothing but a beggar; that it was my opinion a woman was as fit to govern and enjoy her own estate without a man as a man was without a woman; and that, if she had a mind to gratify herself as to sexes, she might entertain a man as a man does a mistress; that while she was thus single she was her own, and if she gave away that power she merited to be as miserable as it was possible that any creature could be.
Herman Cain|In economics, hope and faith coexist with great scientific pretension and also a deep desire for respectability.
Nouman Ali Khan|A life without love is of no account. Don’t ask yourself what kind of love you should seek, spiritual or material, divine or mundane, Eastern or Western. Divisions only lead to more divisions. Love has no labels, no definitions. It is what it is, pure and simple. Love is the water of life. And a lover is a soul of fire! The universe turns differently when fire loves water.
Meeran W. Malik|The world is vast, its huge and you never know where your perfect or even comforting mate lies in this ocean of emotions and mixed world, hence one needs to explore and explore in the wild, giving it all to their fate, who knows whom we come cross, maybe 7 seven seas across who clicks us perfectly, even more perfectly than the person sitting next to you.
David Mitchell, Ghostwritten|There are some themes, some subjects, too large for adult fiction; they can only be dealt with adequately in a children’s book. In adult literary fiction, stories are there on sufferance. Other things are felt to be more important: technique, style, literary knowingness… The present-day would-be George Eliots take up their stories as if with a pair of tongs. They’re embarrassed by them. If they could write novels without stories in them, they would. Sometimes they do. We need stories so much that we’re even willing to read bad books to get them, if the good books won’t supply them. We all need stories, but children are more frank about it.
Ja A. Jahannes, WordSong Poets|Unless we learn to know ourselves, we run the danger of destroying ourselves.
Archibald Marwizi, Making Success Deliberate|Due to poaching and global warming, future generations will not be able to see some animal and plant species given the rate at which they are disappearing from the forests and seas. Both vices are man-made and man must be challenged and confronted on these global issues. Park rangers, armies and nature conservation trusts are still grappling to find lasting solutions – will you join them in this fight?
Seth Adam Smith, Rip Van Winkle and the Pumpkin Lantern|Darling, I would follow you through the blackest midnight—just not without my trousers!
Blake McCormick|To say that the frozen silence contracted itself into a yet higher globe of ice were to under-rate the exquisite tension and to shroud it in words. The atmosphere had become a physical sensation. As when, before a masterpiece, the acid throat contracts, and words are millstones, so when the supernaturally outlandish happens and a masterpiece is launched through the medium of human gesture, then all human volition is withered at the source and the heart of action stops beating. Such a moment was this. Irma, a stalagmite of crimson stone, knew, for all the riot of her veins that a page had turned over. At chapter forty? O no! At chapter one, for she had never lived before save in a pulseless preface. How long did they remain thus? How many times had the earth moved round the sun? How many times had the great blue whales of the northern waters risen to spurt their fountains at the sky? How many reed-bucks had fallen to the claws of how many leopards, while that sublime unit of two-figure statuary remained motionless? It is fruitless to ask. The clocks of the world stood still or should have done.
Alexander McCall Smith, Bertie's Guide to Life and Mothers|The value of money is subjective, depending on age. At the age of one, one multiplies the actual sum by 145,000, making one pound seem like 145,000 pounds to a one-year-old. At seven – Bertie’s age – the multiplier is 24, so that five pounds seems like 120 pounds. At the age of twenty four, five pounds is five pounds; at forty five it is divided by 5, so that it seems like one pound and one pound seems like twenty pence. (All figures courtesy of Scottish Government Advice Leaflet: Handling your Money.)
Pat Summitt|When we set up our kids for failure, we set up our workforce for failure, and we set up our economy for failure. I can't emphasize enough the importance, the absolute importance, of education in achieving long-term economic growth.
Markus Zusak, The Book Thief|Papa said that the parish priest in Abba was not spiritual enough. That was the problem with our people, Papa told us, our priorities were wrong; we cared too much about huge church buildings and mighty statues. You would never see white people doing that.
Jane McGonigal|A percentage! What splendid words they have; they are so scientific, so consolatory.... Once you've said 'percentage' there's nothing more to worry about. If we had any other word... maybe we might feel more uneasy....
Martha Stout|I am always impressed by the fact that even the tiniest amount of being listened to, the barest suggestion of the possibility of kind treatment, can bring such an immediate rush of emotion. I think this is because we are almost never really listened to. In my work as a psychologist, I am reminded every day of how infrequently we are heard, any of us, or our actions even marginally understood. And one of the ironies of my "listening profession" is its lesson that, in many ways, each of us ultimately remains a mystery to everyone else.
Derek Landy, The Dying of the Light|If you want to win, drop the past trends. Genius creates new trends and the crowd follows the past.
Chief Seattle|Mobile communications and pervasive computing technologies, together with social contracts that were never possible before, are already beginning to change the way people meet, mate, work, war, buy, sell, govern and create.
Richard Matheson, What Dreams May Come|No speech is ever considered, but only the speaker. It's so much easier to pass judgement on a man than on an idea.
Richard Foster|I think the worst part about a breakup sometimes, if one could choose a worst part, would possibly be if you get out of a relationship, and you don't recognize yourself because you changed a lot about you.
Barbara Brookes, A History of New Zealand Women|...and in Wellington women in the bakery trade were able "to perform certain skilled operations for which they are particularly suited, at rate equivalent to two thirds the journeyman's rate".
Cate Blanchett|If you say to the White House, 'Obama has been very unfriendly to Israel,' they say, 'What do you mean? It's the best military-to-military relationship ever.' And that part is true.
Deyth Banger|What's the most offensive is not their lying- one can always forgive lying- lying is a delightful thing, for it leads to truth- what is offensive is that they lie and worship their own lying....
Stephanie Lahart|So, you want to be in a relationship and you’re tired of being single, right? But let me ask you an important question: Do you have a healthy relationship with yourself? I get it! Everybody wants to be in love and feel loved, but trust me, SELF-LOVE is far more important. How is YOUR mind, YOUR body, YOUR spirit? Listen, it’s okay to be single! You may not want to be single, but sometimes it’s best. Learn to commit to yourself, first. Be good to yourself, take care of yourself, and love yourself! You’ve got to like and love who YOU are before you can give your very best to that special someone. Don’t be in a rush and don’t be desperate. Work on yourself first and be at peace.
Carol Tavris, Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts|Most people, when directly confronted by evidence that they are wrong, do not change their point of view or course of action but justify it even more tenaciously. Even irrefutable evidence is rarely enough to pierce the mental armor of self-justification. When we began working on this book, the poster boy for "tenacious clinging to a discredited belief" was George W. Bush. Bush was wrong in his claim that Saddam Hussein had weapons of mass destruction, he was wrong in claiming that Saddam was linked with Al Qaeda, he was wrong in predicting that Iraqis would be dancing joyfully in the streets to receive the American soldiers, he was wrong in predicting that the conflict would be over quickly, he was wrong in his gross underestimate of the financial cost of the war, and he was most famously wrong in his photo-op speech six weeks after the invasion began, when he announced (under a banner reading MISSION ACCOMPLISHED) that "major combat operations in Iraq have ended.
Georg Wilhelm Friedrich Hegel, Phenomenology of Spirit|When you've earned something, I mean really earned it, no one can make you doubt that you deserve it. They can't say it isn't yours. There's something about getting a thing that you've bled and fought for that makes the getting that much sweeter.
Kajol|We're used to boy meets girl, boy likes girl, instant attraction on TV. But you throw a son in there, you throw a marriage in there, and you've got some really good character stuff.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Quite often it's not about what is said, but what isn't. And even when it's spoken, read between the lines. Listening with the heart is just as important as hearing with the mind.
Nigel Farage|No experience is a cause of success or failure. We do not suffer from the shock of our experiences, so-called trauma - but we make out of them just what suits our purposes.
Peter Geye, Wintering|Every person, I have come to believe, has a moment or a place in life when all four points of the compass converge, from when or where their life finally takes--for better or for worse--its fated course.
Joanne Harris|What would you think if I told you that, yes, your bad choices and decisions have had a part in your ending up under this pier, but beyond that, under this pier is exactly where you should be in order for a future to occur that you can’t even imagine at this point?
Phil Cooke|People who have made comparative studies of many different societies, know that when status is ascribed, rather than achieved, individual efforts towards excellence are not directed through any form of innovation; rather, the enhancement of status occurs only through the realisation of a previously well defined role position. It is only with social change, or when some form of continual dynamic disequilibium occurs in a society, that we begin to observe the development of achievement motivation in its modern form.
Noam Chomsky|As polarized as we have been, we Americans are locked in a cultural war for the soul of our country.
Eric Greitens, The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL|You are the author of your lives book. While there may be fixed chapters ahead, you choose how to fill the pages within each one.
Zia Haider Rahman, In the Light of What We Know|Among the people to whom he belonged, nothing was written or talked about at that time except the Serbian war. Everything that the idle crowd usually does to kill time, it now did for the benefit of the Slavs: balls, concerts, dinners, speeches, ladies' dresses, beer, restaurants—all bore witness to our sympathy with the Slavs.With much that was spoken and written on the subject Konyshev did not agree in detail. He saw that the Slav question had become one of those fashionable diversions which, ever succeeding one another, serve to occupy Society; he saw that too many people took up the question from interested motives. He admitted that the papers published much that was unnecessary and exaggerated with the sole aim of drawing attention to themselves, each outcrying the other. He saw that amid this general elation in Society those who were unsuccessful or discontented leapt to the front and shouted louder than anyone else: Commanders-in-Chief without armies, Ministers without portfolios, journalists without papers, and party leaders without followers. He saw that there was much that was frivolous and ridiculous; but he also saw and admitted the unquestionable and ever-growing enthusiasm which was uniting all classes of society, and with which one could not help sympathizing. The massacre of our coreligionists and brother Slavs evoked sympathy for the sufferers and indignation against their oppressors. And the heroism of the Serbs and Montenegrins, fighting for a great cause, aroused in the whole nation a desire to help their brothers not only with words but by deeds.Also there was an accompanying fact that pleased Koznyshev. It was the manifestation of public opinion. The nation had definitely expressed its wishes. As Koznyshev put it, ' the soul of the nation had become articulate.' The more he went into this question, the clearer it seemed to him that it was a matter which would attain enormous proportions and become epoch-making.
Bertrand Russell|The miser, starving his brother's body, starves also his own soul, and at death shall creep out of his great estate of injustice, poor and naked and miserable.
Frank Warren|Sometimes I text the "wrong" person ... on purpose. Just to start a conversation.
Lisa Lutz|The truth is that I didn't start out making commercial movies. My films were not film festival movies with the possible exception slightly of 'Super,' but I was able to nurture my gifts through the works of artists making lower budget films that needed a place and an outlet.
Queen Latifah|Others indeed may talk, and write, and fight about liberty, and make an outward pretence to it; but the free-thinker alone is truly free.
Carol Anne Dobson|It sounded somewhat doom-laden, so I felt obliged to look it up more thoroughly, in case I should eat some chocolate rather quickly.
Rania Al Abdullah|Being popular comes when you have everything. But to be liked, it means that you must be treating people with respect and you must be showing kindness toward them.
Jan Mckingley Hilado, Rich Real Radical: 40 Lessons from a Magna Cum Laude and a College Drop Out|All of us at one point end face up in a ditch, but only a few will choose to look up at the stars and dream.
Norman Maclean, Young Men and Fire|She gave me a pain in the ass, but she was very good looking.
Robin Sacredfire|What does spirituality, money and happiness have in common? Everything.
Anthony Burgess, A Clockwork Orange|The opinions of men are not the object of civil government, nor under its jurisdiction.
Chris Bohjalian, Secrets of Eden|Angels around us, angels beside us, angels within us. Angels are watching over you when times are good or stressed. Their wings wrap gently around you, whispering you are loved and blessed.
Beatrix Campbell, Stolen Voices: The People And Politics Behind The Campaign To Discredit Childhood Testimony|In this book we paint an unprecedented portrait of Britain’s first ‘false memory’ retraction and show that, like other ‘false memory’ cases which appeared in the public domain, memory itself was always a false trail – these women never forgot. We are not challenging people’s right to tell their own story and then to change it. But we do assert that the chance should be interpreted in the context that created it.Thousands of accounts of sexual and physical abuse in childhood cannot be explained by a pseudo-scientific ‘syndrome’. We have been shifted to the wrong debate, a debate about the malignancy of survivors and their allies, rather than those who have hurt them. That’s why the arguments have become so elusive. […]
Christian Bobin|It is as if the angels had just done their laundry and, owning no other wealth than love, they are always clothed in the same light, worn transparent from so many washings.
T.S. Eliot|And right action is freedom from past and future also.For most of us, this is the aim never to be realized. Who are only undefeated because we have gone on trying. "The Dry Salvages
Gift Gugu Mona|When you feel thankful, you can be appreciative for a moment, then not at all the next. It seems the tank is full, then it becomes empty, and the cycle continues. If you don't feel the same gratitude for a moment, know that it's possible in the next moment that comes around.
Abhijit Naskar|I had to make a choice, either take care of my family and become a good son, or be a bad son and start working towards constructing a world of harmony and peace. I chose the later.
Donna Grant, Smoldering Hunger|When an entire world had abandoned us, or at least while we felt like that, and even when nasty ogres killed my monk and Arnd's chevalier the brutal way, gathering to be a group of heroes & heroines gave us the recovery and idealism to live-on nonetheless.I had hate, contempt, puzzled looks, and sometimes even understanding for those mainstreamers who knew nothing but sex about adulthood. As I have the roots of a European Barbarian who shared his tales at the campfire (old way of books) PLUS knowing that the intimacy of a mature relationship can be spoiled by sex, but it can never be built and maintained by sex alone...Nah, much to contemplative and honest. Let's link-in some light-hearted fun:Mikey Mason, over at youtube dot com has the songs 'Best Game Ever, and Summer of 83'...
Hermann Hesse, Demian. Die Geschichte von Emil Sinclairs Jugend|With the compelling convincingness of dreams, which are vague yet exact, the ghost voice draws us (to ourselves and all of our component selves), lifts them casually out of the well of the past--the well wherein nothing is lost, the deep well of forgetfulness, and remembrance--and tosses them mockingly on the glassy table surface of our consciousness. There we are forced to consider them. There we are forced to regard, analyze, and re-understand.
C.Z. Hazard|The best kind of comedy to me is when you make people laugh at things they’ve never laughed at, and also take a light into the darkened corners of people’s minds, exposing them to the light.
Anthony  Ryan, Queen of Fire|If you believe our cause so hopeless, why join us?""Because you offered something I had forgotten could be offered, a choice. And I choose to die free.
Bobby F. Kimbrough Jr.|When you're ready to live as the victor and not the victim, you have to change the language that you give to yourself and then you have to change the conversation that you give to others. Words matter.
S.A.R.K.|Buy or borrow self-improvement books, but don't read them. Stack them around your bedroom and use them as places to rest bowls of cookies.Watch exercise shows on television, but don't do the exercises. Practice believing that the benefit lies in imagining yourself doing the exercises.Don't power walk. Saunter slowly in the sun, eating chocolate, and carry a blanket so you can take a nap.
Lucy Dillon, Lost Dogs and Lonely Hearts|While most people love certain species to pieces (e.g. cats and dogs), others are more loved in pieces (e.g. cows and pigs)
Harshit Walia|We are merely pieces of a grander design, even more insignificant than I imagined. When the earth ceases to be, all those stars will shine on. Our deaths will mean nothing to them.
E.T.A. Hoffmann, The Serapion Brethren. Vol. I|When the ego is not, you are for the first time encountering your being. That being is void. Then you can surrender; then you have surrendered. There are thousands and thousands of stories… just by a touch, just by a look, someone became enlightened. And these minor surrenders prepare you for the total surrender. Once you have known that through surrender you receive something unknown, unbelievable, unexpected, never even dreamed of, then you are ready for a major surrender. And that is the work of the master – to help you in minor surrenders so that you can gather courage for a major surrender, for a total surrender.
Paul Sloane|With a clever strategy, each action is self-reinforcing. Each action creates more options that are mutually beneficial. Each victory is not just for today but for tomorrow.
Henry Morton Robinson, The Cardinal|The most carefully crafted language in our culture tends to be poetry. And poetry at its finest moments subverts our best attempts at hiding from reality...The poetry of liturgy has just this power. The liturgy contains words that have been shaped and crafted over the centuries. It is formal speech. It is public poetry. As such it reaches into us to reveal not only the unnamed reality of our lives but the God who created us...But even when the words of the liturgy are not literally biblical words, the words, like all truthful words, work on us over time, like a steady, unrelenting stream slowly reshapes the banks of a river. The words do something to us even when we're not paying attention.
Irvin D. Yalom|Death anxiety is the mother of all religions, which, in one way or another, attempt to temper the anguish of our finitude.
Eraldo Banovac|The most easiest thing is to leave, abandon or forget somebody.. Difficult is to be with someone, after all it comes with responsibility which not everyone fulfill.
Edmund de Waal, The Hare With Amber Eyes: A Family's Century of Art and Loss|You were born on a moving train. And even though it feels like you're standing still, time is sweeping past you, right where you sit. But once in a while you look up,and actually feel the inertia,and watch as the present turns into a memory —as if some future you is already looking back on it. Dès Vu. One day you’ll remember this moment, and it’ll mean something very different. Maybe you’ll cringe and laugh, or brim with pride, aching to return. or notice some detail hidden in the scene, a future landmark making its first appearance or discreetly taking its final bow. So you try to sense it ahead of time, looking for clues, as if you’re walking through the memory while it’s still happening, feeling for all the world like a time traveler. The world around you is secretly strange: some details are charming and dated, others precious and irretrievable, but all fade into the quaint texture of the day. You try to read the faces around you, each fretting about the day’s concerns, not yet realizing that this world is already out of their hands. That it doesn’t have to be this way, it just sort of happened, and everything will soon be completely different. Because you really are a time traveler, leaping into the future in little tentative steps. Just a kid stuck in a strange land without a map, With nothing to do but soak in the moment and take one last look before moving on. But another part of you is already an old man, looking back on things. Waiting at the door for his granddaughter, who’s trying to make her way home for a visit. You are two people still separated by an ocean of time, Part of you bursting to talk about what you saw, Part of you longing to tell you what it means.
Bryce Courtenay, Four Fires|And yet it's there, we witnessed it being lit. And fires once lit have to burn until they spend themselves or someone extinguishes them,” Anaxantis said, with some deep regret coating his voice.
Kirsty Logan, The Rental Heart and Other Fairytales|The graces are restless today. They pweet and muss, shuddering their wings so that the feathers stick out at defensive angles. I feel that restlessness too. When the sea is fractious like this – when it chutters and schwaks against the moorings, when it won't talk but only mumbles – it's difficult to think.
Aberjhani, Journey through the Power of the Rainbow: Quotations from a Life Made Out of Poetry|Love is our most unifying and empowering common spiritual denominator. The more we ignore its potential to bring greater balance and deeper meaning to human existence, the more likely we are to continue to define history as one long inglorious record of man’s inhumanity to man.
Marouane LAASSAFAR|The materialists, or some of them, would have us believe that the brain produces thoughts as an organ secretes fluids; this is to overlook What constitutes the very essence of thought, namely the materially unexplainable miracle of subjectivity: as if the cause of consciousness - immaterial and non-spatial by definition - could be a material object.
Heather Gudenkauf, One Breath Away|i am n0t aFraiD oV deaTh , I juX dun waNna Be thEre weN iT haPpeNZ !
Roy L. Pickering Jr., Matters of Convenience|And although he recognized that tenderness was not the same as passion, and certainly not equivalent to love, for now it seemed to him a suitable substitute.
Shaikh Ashraf, Friendship, Love & Sacrifice|All the things people carry in their hearts, love, hatred, fears, and they had to be shared with a friend or a loved one, because when we do not share them, sometime, all the things love, anger, hatred, fears ends up coming out of us mixed-up. We just become a shell with nothing inwards us, an empty soul with nothing in it, that is as bad as dying.
E.E. Cummings|Yours is the light by which my spirit's born: - you are my sun, my moon, and all my stars.
Santosh Kalwar, Quote Me Everyday|To love is easy, to be in a relationship is extremely difficult.
Andrew Greeley|As I have pointed out, it is the Christian tradition that is the most fundamental element in Western culture. It lies at the base not only of Western religion, but also of Western morals and Western social idealism.
Jim Anderson, Unmasked: Exposing the Cultural Sexual Assault|When a man touches a woman's body, he is not just touching her body. It goes MUCH DEEPER than that for a woman. He is touching parts of her soul-parts as diverse as how she feels about being a grandmother some day, to what is her favorite ice cream, to how much she loves her pet, and to her opinion of how the current President is governing. The man wants a sexual encounter and love is far from his mind; she desires permanence, commitment, safety, and security.
Yara Greathouse, Unavoidable|Sometimes life is not kind, and most times we have to hurt deeply in order to find out how strong and determined we really are.
Sue Monk Kidd|All my life, in nameless, indeterminate ways, I'd tried to complete my life with someone else--first my father, then Hugh, even Whit, and I didn't want that anymore. I wanted to belong to myself.
Veronica Roth, Allegiant|Sometimes when you sacrifice something precious, you're not really losing it. You're just passing it on to someone else.
Alain de Botton, Religion for Atheists: A Non-Believer's Guide to the Uses of Religion|As victims of hurt, we frequently don't bring up what ails us, because so many wounds look absurd in the light of day.
Patricia Robin Woodruff|The end of my marriage meant the end of fighting for something I believed in: my commitment to God to stay faithfully married until death, no matter the circumstances.
Gavin de Becker|If you can bring yourself to apply your imagination to finding the possible favorable outcomes of undesired developments, even if only as an exercise, you'll see that it fosters creativity. This suggestion is much more than a way to find the silver lining our grandmothers encouraged us to look for. I include it in this book because creativity is linked to intuition, and intuition is the way out of the most serious challenges you might face. Albert Einstein said that when you follow intuition, The solutions come to you, and you don’t know how or why.
Carolyn Jewel, In the Duke's Arms|Oxthorpe stood. He could do nothing else. Her hands stilled, and her smile faded away. She stood and dropped into a curtsy. What did one say in such situations, when one knew a lady disapproved? “Miss Clay,” he said. “Duke.” She’d given the field laborer a happier smile than she gave him. Most everyone else had stopped smiling, too. This was the effect he had on others. He was the Duke of Oxthorpe, and though he did his duty by his title and his estate, he was not beloved. He did not know how to be beloved the way Miss Clay was.
