Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Ginny Brown-Waite|The forces that are driving mankind toward unity and peace are deep-seated and powerful. They are material and natural, as well as moral and intellectual.
Susan  Scott, Dragons Will Fall|Grace was screwed. Royally screwed. As in, her career was over. Finished. Finite.She turned on the windshield wipers and slowed the car as she drove through the rain in the mountains. With a renewed grip on the steering wheel, she sent a quick prayer that the rain would stop.A little sprinkle she could handle. A storm...well, that was another matter entirely.She puffed out her cheeks as she exhaled. If only she was in Scotland for a holiday, but that wasn’t the case at all. In a last-ditch effort to give her muse a good swift kick in the pants, Grace decided to travel to Scotland.All her friends thought she had lost her mind. Her editor thought it was just one more excuse in a very long line of them as to why she hadn’t turned the book in.Grace wished she knew the reason the words just stopped coming. One day they were there, and the next...gone, vanished. Poof!Writing wasn’t just her career. It was her life. Because within the words and pages she was able to write about heroines who had relationships she would never have. It was the sad truth, but it was the truth.Grace accepted her lot...in a way. She might realize the string of miserable dates were complete misses and admit that. However, the stories running through her head allowed her to dream as far as she could, and encounter men and adventures sitting behind a computer never would.Not being able to find the words anymore was like having someone steal her soul.She breathed a sigh of relief when the rain stopped and she was able to turn off her windshield wipers. In the two hours since she checked into the B&B, it hadn’t stopped raining.Rain was a part of being in Scotland, and she was pushing herself with her fear of storms to be out in it as well. It proved how far she would go to find her soul again. She needed to write, to sink into another world where she could find happiness and a love that lasted forever.Now she was armed with her laptop and steely determination. She would find her muse again. Just as soon as she found the right place. The scenery along the highway was stunning, but the noise of the passing vehicles would be too much.Grace needed somewhere off the beaten path. Somewhere she could pretend she was the only person left in the world.
Kevin Dellinger, Your Soul Mate|Behold my Love which traveled by Sudden Days. I wash away my withered cold Hands to a Warm Embrace of You, My Eternal Summer!
Amaka Imani Nkosazana, Heart Crush|Never allow anyone to hold the key to your happiness, key to your heart, or key to your dreams. Be in control of your life and build your hopes on things eternal. No one should have the power to manipulate your life, optimism, love, or success.
M.B. Mohan, Our Different Paths|When I was a child, I believed that those stars were knights in silver armor protecting the universe against darkness.
Jennifer Belle, The Seven Year Bitch|God save me ere I have any babies. They are grabby, clingy creatures who steal your figure and always want a ribbon or a wooden sword. And who sometimes make you die bearing them.
Craig Venter|The first private space of my own wasn't a dorm room; it was a hotel room in Tulsa, Oklahoma.
Ian Fleming, From Russia With Love|He acted like a libertine of Europe with a genteel Southern propriety—and had all the morals of an emotionless psychopath. The two former masked the latter, like leaves covering a snare. You didn't notice the steel jaws until they were impaled in your flesh, and by then it was already far too late to run.
Zadie Smith|He had liked to listen to the exotic (to a Belsey) chatter of business and money and practical politics; to hear that Equality was a myth, and Multiculturalism was a fatuous dream; he thrilled at the suggestion that Art was a gift from God, blessing only a handful of masters, and most Literature merely a veil for poorly reasoned left-wing ideologies.
Galileo Galilei|Philosophy [nature] is written in that great book which ever is before our eyes -- I mean the universe -- but we cannot understand it if we do not first learn the language and grasp the symbols in which it is written. The book is written in mathematical language, and the symbols are triangles, circles and other geometrical figures, without whose help it is impossible to comprehend a single word of it; without which one wanders in vain through a dark labyrinth.
Ray Mancini, Zen, Meditation & the Art of Shooting: Performance Edge - Sports Edition|What a huge inaccessible lumber-room of thought and experience we amounted to, I thought; how much we are, how little we transmit.
Priscilla Koranteng, Trails to the Stream: Poetry and Inspiration for Everyday Living|Let out your heat!Unleash your imaginationLet the burning fragrance of your unimpeachable imaginationsparkle through the morning’s you.At night, let the stoical sweat of your day ease your musclesRelax your feet.You will need them to walk again tomorrow
Magan Vernon, These Paper Walls|As Elijah collapsed, shaking, against him, Baz wrapped his arms around his lover, shut his eyes and let the velvet rope Elijah had used to lead him here settle comfortably around his heart.
Amish Tripathi, The Oath of the Vayuputras|If one cannot gain recognition for anything else, he can rest well with the assurance that he is "good," which in most cases equates with "right". Were it not for an evil to rail against he might just as well never have been born. Yes, evil is the great savior and sustainer of those who condemn it most.
Orson Scott Card, Ender's Game|Humanity does not ask us to be happy. It merely asks us to be brilliant on its behalf. Survival first, and then happiness as we can manage it.... Take what pleasure you can in the interstices of your work, but your work is first, learning first, winning is everything because without it there is nothing.
Robert S. Hichens, the Return of the Soul and Other Stories|Some say that it is lack of imagination which makes men and women brutes. May it not be power of imagination? The interest of torturing is lessened, is almost lost, if we can not be the tortured as well as the torturer.
Lailah Gifty Akita, Think Great: Be Great!|The Bible, divine wisdom.
Dannika Dark, Seven Years|No, it’s fine. I know you’re late. Maybe we can talk tomorrow, but I’m going to be in and out all day.”“That’s what he said,” she purred.
wisdom kavi|You are blessed today not because God loves you most but, God just want to bless someone through you. so just be careful you might probably be holding onto someones blessings. Remember you are just servant/messenger of God.
Michael Delaware, Blue and the Magical Forest: The Power of Hopes and Dreams|For magic to exist, it must be shared. Always remember to pass along your kindness to others... A candle loses nothing by lighting another candle.
Mary Baker Eddy, Poems by Mary Baker Eddy|When angels visit us, we do not hear the rustle of wings, nor feel the feathery touch of the breast of a dove; but we know their presence by the love they create in our hearts.
Mark Hack|Only two people knew this side of her—herself, and the one who had created it; the one who made her secretly loathe herself, made her feel used and dirty and broken—like tarnished scraps of silver. These night-time reminders made her too aware that like those silver scraps, even if she were somehow melded into something whole, she would be new—never the same as she once was. Never unbroken.
John Irving, Until I Find You|He nods, as if to acknowledge that endings are almost always a little sad, even when there is something to look forward to on the other side.
Archibald Marwizi, Making Success Deliberate|Do not do everything for your children – teach them personal responsibility and accountability. This includes using your home environment – the kitchen, the garden, making their room/bed, chores – as training platforms. Prepare them to be independent.
Yusuf Al-Qaradawi, Uṣūl al Fiqh al Islāmī: Source Methodology in Islamic Jurisprudence|Happy will be those who take a lesson and warning from the mistakes and misfortunes of others and seek, nevertheless, to adopt the good they offer. Wisdom, wherever he finds it, it's a believer's goal, because he is more worthy of it than anyone else.
Lailah Gifty Akita, Think Great: Be Great!|I simply wish to continue to learn, & try to do what I have to do, better.
Stephen Mosley|I’ve learnt that eyes don't change. No matter how old or beat up you get, your eyes stay the same.
Billy Collins, Sailing Alone Around the Room: New and Selected Poems|Oak, granite,Lilies by the road,Remember me?I remember you.Clouds brushingClover hills,Remember me?Sister, child,Grown tall,Remember me?I remember you.
Edouard Manet|He has no talent at all, that boy! You, who are his friend, tell him, please, to give up painting.–--Manet to Monet, on Renoir---
Alberto Manguel, The Library at Night|Digestion of words as well; I often read aloud to myself in my writing corner in the library, where no one can hear me, for the sake of better savouring the text, so as to make it all the more mine.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|Silence is very dangerous, especially when your words can be the only source of healing at a moment.
Kahlil Gibran|...never be disappointing - you may wound me, but you must never be disappointing...
Homer, The Odyssey|They walked off on the earthy path, laughing not quite naturally, for they could hardly help being pleased by the momentary attention of descending passengers and by their own almost meritorious youth.
Dean Koontz, Odd Thomas|A secret to which truth has always initiated her lovers, and through which they have learned that it is in hiding that she offers herself to them most truly.
Pearl Zhu, Change Insight: Change as an Ongoing Capability to Fuel Digital Transformation|Strategy, role-model, systems thinking, trust, relationship management, balance, etc., are all important culture change principles.
Kurt Vonnegut Jr., Armageddon in Retrospect|Even when we strive for perfection, life is nothing more than an attempt to achieve it through a series of greater or smaller imperfections.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Rise to the challenge of bringing your dreams to life! Do not be discouraged by resistance, be nourished by it. Success is the experience of rising to the level of your true greatness.
Sebastian Barry|The real comfort is that the history of the world contains so much grief that my small griefs are edged out, and are only cinders at the borders of the fire. I am saying this again because I want it to be true.
Anna Funder, Stasiland: Stories from Behind the Berlin Wall|Beyond all of that, I could see the wall I had seen from inside the train, the wall that runs along the train line. I assumed that there, behind it, was the west, and I was right. I could have been wrong, but I was right.' If she had any future it was over there, and she needed to get to it.I sit in the chair exploring the meaning of dumbstruck, rolling the word around in my mind. I laugh with Miriam as she laughs at herself, and at the boldness of being sixteen. At sixteen you are invulnerable. I laugh with her about rummaging around for a ladder in other people's sheds, and I laugh harder when she finds one. We laugh at the improbability of it, of someone barely more than a child poking around in Beatrix Potter's garden by the Wall, watching out for Mr McGregor and his blunderbuss, and looking for a step-ladder to scale one of the most fortified barriers on earth. We both like the girl she was, and I like the woman she has become.She says suddenly, 'I still have the scars on my hands from climbing the barbed wire, but you can't see them so well now.' She holds out her hands. The soft parts of her palms are crazed with definite white scares, each about a centimeter long.The first fence was wire mesh with a roll of barbed wire along the top.
Michelle Hodkin, The Unbecoming of Mara Dyer|What would you do if I kissed you right now?"I stared at his beautiful face and his beautiful mouth and I wanted nothing more than to taste it. "I would kiss you back.
Brie Larson|I grew up loving X-Men, Spider-Man and Batman. Those are obviously the key big ones, but there's always something kind of cool about Aquaman still, the idea of creating a huge world that is on our planet.
Jim Butcher, Dead Beat|If you go to your death rather than do everything you might to prevent what is happening, you are merely committing suicide and trying to make yourself feel better about it. That is the act of a coward. It is beneath contempt.
Michael Bassey Johnson|Chloroplasts bear chlorophyll; they give the green world its color, and they carry out the business of photosynthesis. Around the inside perimeter of each gigantic cell trailed a continuous loop of these bright green dots. They spun . . . they pulsed, pressed, and thronged . . . they shone, they swarmed in ever-shifting files around and around the edge of the cell; they wandered, they charged, they milled, raced . . . they flowed and trooped greenly . . . All the green in the planted world consists of these whole, rounded chloroplasts . . . If you analyze a molecule of chlorophyll itself, what you get is one hundred thirty-six atoms of hydrogen, carbon, oxygen, and nitrogen arranged in an exact and complex relationship around a central ring. At the ring’s center is a single atom of magnesium. Now: If you remove the atom of magnesium and in its place put an atom of iron, you get a molecule of hemoglobin. The iron atom combines with all the other atoms to make red blood, the streaming red dots in the goldfish’s tail.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|I'm not alone, my pain walk with me step by step sometime if i go ahead its come fast and catch me sometime its wait for me some step ahead.what a good friend.
Amit Kalantri, Wealth of Words|I am emotional about engines, if you hurt my car, you hurt my heart.
Jodi Picoult, House Rules|Of course, maybe I'd end up like one of those crazy old people with, like, sixty cats. And one day, the neighbors would complain about the smell, and it would turn out I'd died and the cats had eaten me.Still, it might be nice to have a cat.
Mindy Kaling|I'm the only one in my family who is deaf, and there are still conversations that go around me that I miss out on. And I ask what's going on, and I have to ask to be included. But I'm not going to be sad about it. I don't live in sad isolation. It's just a situation I'm used to.
Kristin Cashore, Fire|If they look as though they're worried, we'll move in.''And do what exactly?' said Polly.'Threaten to shoot them,' said Maladict firmly.'And if they don't believ
Stephen Law|Reasonableness is a matter of degree. Beliefs can be very reasonable (Japan exists), fairly reasonable (quarks exist), not unreasonable (there's intelligent life on other planets) or downright unreasonable (fairies exist).There's a scale of reasonableness, if you like, with very reasonable beliefs near the top and deeply unreasonable ones towards the bottom. Notice a belief can be very high up the scale, yet still be open to some doubt. And even when a belief is low down, we can still acknowledge the remote possibility it might be true.How reasonable is the belief that God exists? Atheists typically think it very unreasonable. Very low on the scale. But most religious people say it is at least not unreasonable (have you ever met a Christian who said 'Hey, belief in God is no more reasonable than belief in fairies, but I believe it anyway!'?) They think their belief is at least halfway up the scale of reasonableness.Now, that their belief is downright unreasonable might, in fact, be established empirically. If it turned out that not only is there no good evidence of an all-powerful, all-good God, there's also overwhelming evidence against (from millions of years of unimaginable and pointless animal suffering, including several mass extinctions - to thousands of children being crushed to death or buried alive in Pakistan earthquake, etc. etc. etc.) then it could be empirically confirmed that there's no God.Would this constitute a 'proof' that there's no God? Depends what you mean by 'proof'. Personally I think these sorts of consideration do establish beyond any reasonable doubt that there is no all-powerful all-good God. So we can, in this sense, prove there's no God.Yet all the people quoted in my last blog say you cannot 'scientifically' prove or disprove God's existence. If they mean prove beyond any doubt they are right. But then hardly anything is provable in that sense, not even the non-existence of fairies.
Gayle Forman, Where She Went|And when long years and seasons wheeling brought around that point of time ordained for him to make his passage homeward, trials and dangers, even so, attended him even in Ithaca, near those he loved.
Justin Timberlake|I've never felt like I've exactly traded on my looks. When I was a teenager, I was an ultra late bloomer, and my mom would say it was a blessing because it means you never have to wonder if guys are only interested in you because you've got boobs.
Marcel Proust|As for me, I feel myself living and thinking in a room where everything is the creation and the language of lives profoundly different from mine, of a taste opposite to mine, where I find nothing of my conscious thought, where my imagination is excited by feeling itself plunged into the depths of the non-ego; I feel happy only when setting foot—on the Avenue de la Gare, on the Port, or on the Place de l'Eglise—in one of those provincial hotels with cold, long corridors where the wind from outside contends successfully with the efforts of the heating system, where the detailed geographic map of the district is still the sole ornament on the walls, where each noise helps only to make the silence appear by displacing it, where the rooms keep a musty perfume which the open air comes to wash, but does not eliminate, and which the nostrils inhale a hundred times in order to bring it to the imagination, which is enchanted with it, which has it pose like a model to try to recreate it with all the thoughts and remembrances that it contains...
Mark A. Noll, The Scandal of the Evangelical Mind|The point of Christian scholarship is not recognition by standards established in the wider culture. The point is to praise God with the mind. Such efforts will lead to the kind of intellectual integrity that sometimes receives recognition. But for the Christian that recognition is only a fairly inconsequential by-product. The real point is valuing what God has made, believing that the creation is as "good" as he said it was, and exploring the fullest dimensions of what it meant for the Son of God to "become flesh and dwell among us." Ultimately, intellectual work of this sort is its own reward, because it is focused on the only One whose recognition is important, the One before whom all hearts are open.
Albert Camus|Blessed are the hearts that can bend; they shall never be broken.”But I wonder if there’s no breaking then there’s no healing, and if there’s no healing then there’s no learning. And if there’s no learning then there’s no struggle. But the struggle is a part of life. So must all hearts be broken?
Bruce Schneier|If Wikileaks didn't resolve that question for folks - at the end of the day, there are no secrets. We're living in a glass neighborhood, in a fishbowl, and technology, white hat hackers, the folks that are doing the right thing with hacking.
Gary Ross|The why is what makes journalism an adult game. The why is what makes policy coherent and useful. The why is what transforms bureaucrats and foot soldiers and political leaders into viable instruments of rational and affirmative change. The why is everything and without it, the very suggestion of human progress becomes a cosmic joke.
Dada Bhagwan|One who does not join in with the unfolding karmic effects (karma oodai) is a Gnani (Self-realized), and an agnani (non-Self-realized) cannot indeed refrain from joining in with the unfolding karmic effects.
Howard Gardner|Falsehood is cowardice, the truth courage.
Martyn V. Halm|If you want to treat your book as a child, the finished book should be an adult, capable to stand on its own legs and able to weather the thunder. Not a baby that still needs to be defended.
Richard Adams, Watership Down|There is not a day or night but a doe offers her life for her kittens, or some honest captain of Owsla his life for his Chief Rabbit's. Sometimes it is taken, sometimes it is not. But there is no bargain, for here, what is, is what must be.
Jackie Evancho|Me and my dad are friends. We're cool. I'll never be disappointed again, because I don't expect anything anymore from him. I just let him exist, and that's how we get along.
C. JoyBell C.|When you are having a really crappy day, and life seems to be kicking your ass, try to force your self to laugh. If you can achieve a smile and a laugh, you can chase any demons away
Jodi Picoult, Nineteen Minutes|A misspelled word is probably an alias for some desperate call for aid, which is bound to fail.
Bill Nye|Medicine is my lawful wife and literature my mistress; when I get tired of one, I spend the night with the other.
Mya Waechtler|In a time where everyone is searching for success, it's easy for other so called entrepreneurs to live off them because they haven't learned patience when it comes to money.
Dark Jar Tin Zoo, Love Quotes for the Ages. Specifically Ages 19-91.|There is a fearful moment of reckoning before us should it ever chance that when all our trees shall have been sacrificed on the altar of the patron-fiend of news, the newspaper supply shall suddenly be cut off and we find ourselves some fine morning minus our tidbits of shame and failure and disaster, left to the companionship of our own thoughts. Dante never imagined a terror like this.
Billy Graham, Billy Graham in Quotes|When confronted with the world’s problems, we Christians say automatically: “Christianity is the answer.” But this is not true! It is the application of Christianity that is the answer.
Nikki Rowe|Oh, the days will be tough that I promise is true but right around the corner the dream will be Infront of you.
Mark Twain, The Innocents Abroad|Occasionally, merely for the pleasure of being cruel, we put unoffending Frenchmen on the rack with questions framed in the incomprehensible jargon of their native language, and while they writhed, we impaled them, we peppered them, we scarified them, with their own vile verbs and participles.
Ayrton Senna|The great awareness comes slowly, piece by piece. The path of spiritual growth is a path of lifelong learning. The experience of spiritual power is basically a joyful one.
Boris Sadovskoy, The Silver Age of Russian Culture: An Anthology|And I played music through the night, alone, echoing through the halls. My life, alive through note.
Charles Haddon Spurgeon, Humility and How to Get It|Man is a fallen star till he is right with heaven: he is out of order with himself and all around him till he occupies his true place in relation to God. When he serves God, he has reached that point where he doth serve himself best, and enjoys himself most. It is man's honour, it is man's joy, it is man's heaven, to live unto God.
Abdulazeez Henry Musa|Don’t be anxious of circumstances, gain X-factor to face it.
Denis Leary|The thing with movies is, because you have so little time, I always feel like there are more things we could've done with the character. If we'd done a sequel to 'The Thomas Crown Affair,' what would that have been like? But for the most part, you try not to think of that, because it's just going to break your heart.
Michael Bassey Johnson|People will walk in and walk out of your life, but the one whose footstep made a long lasting impression is the one you should never allow to walk out.
Marissa Meyer, Winter|She turned to the sunlight    And shook her yellow head,And whispered to her neighbor:    "Winter is dead.
Scott Cairns, The End of Suffering: Finding Purpose in Pain|May our afflictions be few, but may we learn not to squander them.
Carol S. Dweck|Good character is not formed in a week or a month. It is created little by little, day by day. Protracted and patient effort is needed to develop good character.
Ibn Abī al-Dunyā|A good deed that follows upon another is the reward for the first one, and an evil deed that follows upon another is a punishment for the first one.
Conrad Aquino, Life Should Be Simple and Easy: If You're Doing It Hard, You're Doing It Wrong|Life should be simple and easy. If you're doing it hard, you're doing it wrong.
Dinesh D'Souza, What's So Great About America|Let us concede at the outset that, in a free society, freedom will frequently be used badly. Freedom, by definition, includes freedom to do good or evil, to act nobly or basely. Thus we should not be surprised that there is a considerable amount of vice, licentiousness, and vulgarity in a free society. Given the warped timber of humanity, freedom is simply an expression of human flaws and weaknesses. But if freedom brings out the worst in people, it also brings out the best.
Haruki Murakami, What I Talk About When I Talk About Running|Our natures own predilections and antipathies alike strange. There are people from whom we secretly shrink, whom we would personally avoid, though reason confesses that they are good people: there are others with faults of temper, &c., evident enough, beside whom we live content, as if the air about them did us good.
Abhijit Naskar|Don't judge people by their religious, cultural, or professional background. Judge if you must, by their behavior with other people.
Jane Goodall|But let us not forget that human love and compassion are equally deeply rooted in our primate heritage, and in this sphere too our sensibilities are of a higher order of magnitude than those of chimpanzees.
Jonathan Heatt|If we analyse the classes of life, we readily find that there are three cardinal classes which are radically distinct in function. A short analysis will disclose to us that, though minerals have various activities, they are not "living." The plants have a very definite and well known function-the transformation of solar energy into organic chemical energy. They are a class of life which appropriates one kind of energy, converts it into another kind and stores it up; in that sense they are a kind of storage battery for the solar energy; and so I define THE PLANTS AS THE CHEMISTRY-BINDING class of life.The animals use the highly dynamic products of the chemistry-binding class-the plants-as food, and those products-the results of plant-transformation-undergo in animals a further transformation into yet higher forms; and the animals are correspondingly a more dynamic class of life; their energy is kinetic; they have a remarkable freedom and power which the plants do not possess-I mean the freedom and faculty to move about in space; and so I define ANIMALS AS THE SPACE-BINDING CLASS OF LIFE.And now what shall we say of human beings? What is to be our definition of Man? Like the animals, human beings do indeed possess the space-binding capacity but, over and above that, human beings possess a most remarkable capacity which is entirely peculiar to them-I mean the capacity to summarise, digest and appropriate the labors and experiences of the past; I mean the capacity to use the fruits of past labors and experiences as intellectual or spiritual capital for developments in the present; I mean the capacity to employ as instruments of increasing power the accumulated achievements of the all-precious lives of the past generations spent in trial and error, trial and success; I mean the capacity of human beings to conduct their lives in the ever increasing light of inherited wisdom; I mean the capacity in virtue of which man is at once the heritor of the by-gone ages and the trustee of posterity. And because humanity is just this magnificent natural agency by which the past lives in the present and the present for the future, I define HUMANITY, in the universal tongue of mathematics and mechanics, to be the TIME-BINDING CLASS OF LIFE.
Kirsten Gillibrand|All of us have been trained by education and environment to seek personal gain and security and to fight for ourselves. Though we cover it over with pleasant phrases, we have been educated for various professions within a system which is based on exploitation and acquisitive fear.
Louis L'Amour|Most of life is routine-dull and grubby, but routine is the mountain that keeps a man going. If you wait for inspiration you'll be standing on the corner after the parade is a mile down the street.
Ken  Goldstein, Endless Encores: Repeating Success Through People, Products, and Profits|Talent is divinely gifted, and never to be cheaply exchanged for the sake of trinkets and fame.
Mos Def|I love cycling, but if I could find a way of building something above the streets for cyclists, that would be amazing. We need even more space.
Will Advise, Nothing is here...|If automating everything makes people lazier and lazier, and laziness leads to stupidity, which it does for most people, judging by the current content circulating the social networks everywhere, except North Korea, where they don’t have any internet to speak of - at some point the Japanese robots, for which a market niche is currently being developed, with no concerns on how they should be designed to act in society or outside it - will have no choice, but to take everything over, to preserve us from ourselves…
Michael  Grant, Light|But then had come the voice that said, "Come on, you little freak, wherever the hell you are,whatever the hell you are, let’s get this done with.
Chris Crutcher|For millions, Roger Ebert will be remembered as a writer and television personality who brought a sense of passion and excellence to his craft. For me, he is a man who fused joy and courage as few others ever have. My life was enriched by having such a friend; it is poorer for losing such a friend.
Amaka Imani Nkosazana, Release The Ink|The hangover: such a cure, she thinks, for overthinking.
Harold Varmus|In our adventures, we have only seen our monsters more clearly and described his scales and fangs in new ways - ways that reveal a cancer cell to be. like Grendel, a distorted version of ourselves." -1989 Nobel Prize Speech, Cited in Siddhartha Mukherjee's Emperor of All Maladies
Bert McCoy|I told him how winning never feels as good as losing feels bad and when he asked why, I told him that my wins were for someone else but my losses were all on me.
Malcolm Gladwell, The Tipping Point: How Little Things Can Make a Big Difference|In truth, it was also by design: as much as I loved my mother, she wasn't often the person I sought for comfort in hard times. She disapproved tacitly of crying.
Sunday Adelaja|We don’t just believe that God is real, but in tough circumstances we believe that he knows the way out
Rick Riordan, The Lightning Thief|I adore imaginary monsters, but I am terrified of real ones.
Louie Schwartzberg|For me nature is not landscape, but the dynamism of visual forces.
Maggie Nelson, The Argonauts|Away from home, my partner and I are on holiday on a resort on an island. Mealtimes bring everyone together. We enter the dining room, where we face many tables places alongside each other… I face what seems like a shocking image. In front of me, on the tables, couples are seated. Table after table, couple after couple, taking the same form: one many sitting by one woman around a ‘round table,’ facing each other 'over’ the table… I am shocked by the sheer force of the regularity of that which is familiar: how each table presents the same form of sociality as the form of the heterosexual couple. How is it possible, with all that is possible, that the same form is repeated again and again? How does the openness of the future get closed down into so little in the present?
James Cromwell|The architect, Peter Arens who is the monstrous carbuncle architect, not merely did his design which had won a public competition never get built but his practice suffered financially for some years.
Omrane Khuder|I PAINT MY FACE.By Omrane Khuder.Mirror, distorted; I sit, paint my Face,Toxic white Make-up buries my Scars,My Eyes tell lies; Dumbfounded Confidence hides the Disgrace.Place the tragic Vehicle called My Life in to Drive,Sad pathetic Clown; Late for the suppression show,Despair another time; Let the chuckles and defeat derive.I paint my Heart; I hide my True.I paint my Soul; I keep it from You.I paint, I cannot accept; To ignore you the way you ignore Me?I paint my scarred and pitiful Face; No Will left to restore Me.I paint my Face; it’s all I know to do.My painted Face shatters the Mirror, yet still all I see is You.
Faydra D. Fields|Stay off the bandwagon. More likely than not, your own way of getting there makes for a better journey.
Kazuo Ishiguro, Never Let Me Go|[I]t doesn’t matter whom you love or where you move from or to, you always take yourself with you. If you don’t know who you are, or if you’ve forgotten or misplaced her, then you’ll always feel as if you don’t belong. Anywhere. (xiii)
Hunter S. Thompson|People ask for this life, but they don't really understand what comes with it. People just see the outside and that looks good - big houses, cars, girls, but you never see how the person is feeling deep down inside. Me personally, being a man, I'm going to feel better displaying all of this and pouring my heart out on each record.
Jeffrey McDaniel|When you were sleeping on the sofaI put my ear to your ear and listenedto the echo of your dreams.That is the ocean I want to dive in, merge with the bright fish, plankton and pirate ships.I walk up to people on the street that kind of look like youand ask them the questions I would ask you.Can we sit on a rooftop and watch stars dissolve into smokerising from a chimney? Can I swing like Tarzan in the jungle of your breathing? I don’t wish I was in your arms, I just wish I was peddling a bicycle toward your arms.
Alan Lightman, Einstein's Dreams|If a person holds no ambitions in this world, he suffers unknowingly. If a person holds ambitions, he suffers knowingly, but very slowly.
Marshall McLuhan|Man has no Body distinct from his Soul; for that called Body is a portion of Soul discerned by the five Senses, the chief inlets of Soul in this age.
Alison G. Bailey, Present Perfect|Soul mates may be linked, but fight to separate, causing wounds and confusion. They teach what no one else can.
Arthur Schopenhauer, The World as Will and Representation, Vol 1|Only by the aid of language does reason bring about its most important achievements, namely the harmonious and consistent action of several individuals, the planned cooperation of many thousands, civilization, the State; and then, science, the storing up of previous experience, the summarizing into one concept of what is common, the communication of truth, the spreading of error, thoughts and poems, dogmas and superstitions. The animal learns to know death only when he dies, but man consciously draws every hour nearer his death; and at times this makes life a precarious business, even to the man who has not already recognized this character of constant annihilation in the whole of life itself.
L.M. Montgomery, Anne's House of Dreams|A woman cannot ever be sure of not being married till she is buried, Mrs. Doctor, dear, and meanwhile I will make a batch of cherry pies.
Diane Sawyer|Technology has made music accessible in a philosophically interesting way, which is great. But on the other hand, when everybody has the ability to make magic, it's like there's no more magic - if the audience can just do it themselves, why are they going to bother?
Mehmet Murat ildan, Award Winning Plays -2|You see only the cat’s paw, Signor Tartini, whereas I see the sharp claws hidden in that paw!.. Women are like fire; they warm you from afar, and when you enter into them they burn you to ashes!
Timothy Noah|I'm not afraid of death, but I resent it. I think it's unfair and irritating.
Kyung-Sook Shin, Please Look After Mom|All I wanted was for you to be free from everything. And with that freedom, you often showed me another world, so I wanted you to be even freer. I wanted you to be so free that you would live your life for other people.
Janeane Garofalo, Feel This Book: An Essential Guide to Self-Empowerment, Spiritual Supremacy, and Sexual Satisfaction|We are much too much inclined in these days to divide people into permanent categories, forgetting that a category only exists for its special purpose and must be forgotten as soon as that purpose is served.
Shannon L. Alder|Staying silent is like a slow growing cancer to the soul and a trait of a true coward. There is nothing intelligent about not standing up for yourself. You may not win every battle. However, everyone will at least know what you stood for—YOU.
B.L. Sauder, Year of the Golden Dragon|I forgot that Mark and Brian are gardening for you now.	"You're the master gardener. So you are in charge of them.	But as a dragon-shifter, I want to do what you do.	Ena smiled. You want to earn the kind of treasure that I do. But you would have to learn the trade.	Right! You can be my teacher. I need to earn my own way if I'm going to court you. How will I ever be able to buy you the most extravagant gifts when I am still trying to pay off my boots and other clothes?
Riley Amos Westbrook|Don't go getting offended my friend, I have much worse things to say to you.-Ad'Dam, Journey from Atremes
Jean Kilbourne, Can't Buy My Love: How Advertising Changes the Way We Think and Feel|So long as atrocities remain remote, abstract, they will be tolerated, even by decent people.
Amaka Imani Nkosazana|At that moment when you feel like giving up, take a look and search deep inside in oder to understand how far you've come. Don't give up now! Success is right around the corner.
M. Fethullah Gülen, Speech and Power of Expression: On Language, Esthetics, and Belief|If Love is Pure, Love is Simple
Jessica Spotswood, Born Wicked|No matter how safe and beautiful it is, a cage is still a cage.
Lisa See, Snow Flower and the Secret Fan|Over the course of your life you are actually hundreds of different people. You are a different person at the coffee shop than you are at the bar, and a different person for the dry cleaner than you are for your boyfriend, and a different person at work than you are on vacation. You are nobody in particular. But once somebody finds you and loves you, you have to keep being the person that they love. You want thier love. You need to keep getting it even if it means pretending...but no one loved her and so she could keep changing.
John Oulton Wisdom, Man and the Science of Man|Everybody means by an open mind, a mind which contains their prejudices but not somebody else's.
Gwendoline Riley|She was learning something important: how to live within the sound of her own slow breathing, how to love the view when her eyes were shut.
Jennifer Kacey, Beneath the Pages|He wondered what life had in store for them.And for once, he couldn’t wait to find out.
Dwayne Johnson|Since the gluten-free diet is not for everyone, it's recommended that you stick with a gluten-free diet for at least 3 weeks first to see if it works for you.
Matshona Dhliwayo|Do not Forget PAIN, You Endure in it's presence!!
Amy Engel, The Book of Ivy|Alas, that love, whose view is muffled still,Should, without eyes, see pathways to his will!Where shall we dine? O me! What fray was here?Yet tell me not, for I have heard it all.Here’s much to do with hate, but more with love.Why, then, O brawling love! O loving hate!O any thing, of nothing first create!O heavy lightness! Serious vanity!Mis-shapen chaos of well-seeming forms!Feather of lead, bright smoke, cold fire, sick health!Still-waking sleep, that is not what it is!This love feel I, that feel no love in this.Dost thou not laugh?
Nikki Sex, Elizabeth's Bondage|I am a good lover, but that is not so difficult. It requires only that I pay attention, and watch and listen to a woman and her body." André Chevalier
Leon Trotsky, History of the Russian Revolution|The desire to be loved, to feel loved, is behind every diet, pill, surgery, and lie. It is behind each act of violence and every affair as well as each organized religion and every method of self-help.
