Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Bernard Cornwell, The Flame Bearer|The only reason that the devil can read scripture, is that it was written with him in mind.
rassool jibraeel snyman|The rest of the time, I don't do so much thinkin'. 'Cuz if I did, I'd go runnin' back to where things is simple.
Donald J. Trump|As long as you’re going to be thinking anyway, think big.
Dan Harris, 10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works|When you lurch from one thing to the next, constantly scheming, or reacting to incoming fire, the mind gets exhausted. You get sloppy and make bad decisions.
H. Jackson Brown, Jr.|I'm loyal, and I like my friends. Friendship enriches your life and makes it more interesting.
Robert Johnson|The greatest problem all around the world today, whether in America, Japan, China Russia, India or anywhere else in the world, is that people are not in peace. People want peace.
Timi Nadela, Get To The Top|For a batsman or a bowler, the job never ends at just batting & bowling, it continues with switching the positions in time of need, the stand out players never limit themselves to their primary role but change their style of play as per the happenings in the game. Anyone can hold a bat or ball in their hand, only thing matters is how well you use these things to make your team win. Similarly, as a Salesperson - your job is not only to think as a salesperson, but also as a client, and sometimes also to make an unfavorable situation favorable by planting an idea in a client's mind & creating a need.
MoKSh, The Unpredictable Heart: You May Be a Victim|…My eyes were wet, tears waiting to drop from my eyes and heart started to sob. The words from Jiya pushed me on my back foot…”Source: 'The Unpredictable Heart - You may be a Victim
Peter Orner, Love and Shame and Love|In New York there is always something to look at, but it is all infinitely more interesting through a window in the backseat of a limousine.
saadshah|Happiness is like a ripple. If you're the origin, you will get happiness back with same frequency.
Mike Klepper|You're a free man, act like it.
Gugu Mona|Wisdom is not merchandise, hence it is possible to come across a rich fool.
Kresley Cole, Pleasure of a Dark Prince|Please put your penises away, gentlemen. Dinner is procured. By a woman.
Rebecca Solnit, Wanderlust: A History of Walking|Twist a tongue, and tongue a twist how many twists can a tongue twister twist around the twisting tongue.
Rose Wynters, My Wolf Fighter|You really want my honest opinion?” I ask.	Anton gestures for me to go on. “Please, this is why I hired you, devochka.”	I detect a little hint of sarcasm, but I go ahead and say, “I hate restaurants like this.”	“Why?” He seems genuinely curious to know why.	“Because—because they’re expensive.”	“What is the problem? I’m paying for everything.”	I shake my head. “It’s not that—you see,” I lower my voice, “ this is where famous people eat.”	“Famous?” Anton pretends to look around. “Where?”	“I think that’s the guy from that prank show. And there’s that guy from those vampire movies. And Maya Findlay.”	“Yeah? I don’t know who they are.”	“Really?” I ask dubiously.	“I’m not into the famous people thing too.”	“Really.”	“Yes.”	“Which is why you only date models who want to become actresses.” I notice him giving me a look. “Sorry,” I say sheepishly.
Sunday Adelaja|You cannot do everything by yourself, you need to learn how to delegate responsibility and trust people that everything will be done on time and with highest quality
Friedrich Nietzsche|The question I'm always asking myself is: are we masters or victims? Do we make history, or does history make us? Do we shape the world, or are we just shaped by it? The question of do we have agency in our lives or whether we are just passive victims of events is, I think, a great question, and one that I have always tried to ask.
Matthew Donnelly|Be the compassionate observer. No labels, just unconditional compassion. Fun times pass, tough times pass. Compassion will be eternal.
Larry McCaffrey|This is the postmodern desert inhabited by people who are, in effect, consuming themselves in the form of images and abstractions through which their desires, sense of identity, and memories are replicated and then sold back to them as products
Jen Hatmaker, For the Love: Fighting for Grace in a World of Impossible Standards|Unattended hurt, anger, and bitterness can destroy even the best marriage. Lean honestly into every hard place, each tender spot, because truthfulness hurts for a minute but silence is the kill shot.
Santosh Kalwar, A Very First Book Of Poems: Heartbreak|Scientific People, unscientific mind; why are we dividing the world which could shine? Between religion and science, all what matters is human lives.
Stephen Lovegrove, How to Find Yourself, Love Yourself, & Be Yourself: The Secret Instruction Manual for Being Human|Use the information you’ve been given as an individual, but NEVER let what you’ve heard or read or experienced in the past prevent you from answering the call on your life. You are responsible for your life. That includes the voice inside you and everything it calls you to do. Don’t ignore that voice to follow rules that don’t fit. When a jacket doesn’t fit anymore, it’s time to donate it. Same principle applies for rules which no longer serve you. You don’t have to curse the rules or condemn them. In fact, there might be someone else who would benefit from them at the exact moment you no longer need them. Just step into all that you can be and all that you can do.
N.M.|But remember, great Good will, more often than not, lead to great Evil.
Ash Krafton, Wolf's Bane|Loss reshapes us and teaches us to fill ourselves with something new. If we resist, we feel as you do. Hollow. Empty.
Glenn Beck|We sat on the dusty floor like that for what felt like hours, our legs intertwined in the kneeling position. Like the demon and the angel reaching for one another on Jet’s arm, I felt half of everything. Half pure, half used. Locked in a dark, beautiful embrace. One I wouldn’t wish on anyone yet one I wouldn’t ever reverse if given the chance.Not when it had the power to save a life. - Skylla Warden
Sherry D. Ficklin, Queen of Someday|No matter how many romantic poems you recite, no matter how many glorious tales of love you read, how can you really understand the condition if you've never found yourself in it?
Billy Graham, Billy Graham in Quotes|Idolatrous beliefs have eroded the foundations of truth. Whether ancient or modern, all have posed alternatives to the biblical way of approaching God.
Richard J. Mouw, Pluralisms And Horizons: An Essay In Christian Public Philosophy|Know thy own point: this kind, this due degreeOf blindness, weakness, Heav'n bestows on thee.
Forrest Curran|Being scared to fail inspires creativity; heartbreak inspires creativity; being hurt by others inspires creativity; being lost inspires creativity. Your masterpiece isn’t something that you will have made in the colorful, it is understood in the darkness. Use the anxiety within and let it serve you.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|The season of Christmas brings joy, hope and peace.
Robin Sacredfire|There's a reason why people find each other, and this reason is found in their emotional motives before they meet. They both attracted one another by their needs, desires and dreams. And so, only their fears, ignorance and misused freewill can set them apart before they have a chance to discover that they were blessed and not condemned to one another. This truth is asleep in their heart, waiting to be unlocked with faith, a leap into the unknown, kind words and gestures that unmask their soul.
Sebastian Barry, On Canaan's Side|And what else could we have come here for, except to sense these tiny victories? Not the big victories that crush and kill the victor. Not the wars and civil ructions, but the saving grace of a Hollandaise sauce that has escaped all the possibilities of culinary disaster and is being spread like a yellow prayer on a plump cod steak - victoriously.
Siri Hustvedt, A Plea for Eros: Essays|Maybe the world isn't enough, or maybe the distinction between the world and fiction is not so clear. Fiction is made from the stuff of the world, after all, which includes dreams and wishes and fantasies and memory. And it is never really made alone, but from the material between and among us: language.
Kilroy J. Oldster, Dead Toad Scrolls|Gifted people of discernment, intelligence, and talent flourish in virtually every occupation. Every field produces perceptive and prescient persons whom exhibit the rare capacity to observe what eludes most people.
Christine M. Knight|Frankly, I believe that identity is what's inside us.
RMA Spears|Blame and English SpeakersIn the same article, Boroditsky notes that in English, we’ll often say that someone broke a vase even if it was an accident, but Spanish and Japanese speakers tend to say that the vase broke itself. Boroditsky describes a study by her student Caitlin Fausey in which English speakers were much more likely to remember who accidentally popped balloons, broke eggs, or spilled drinks in a video than Spanish or Japanese speakers. (Guilt alert!) Not only that, Boroditsky argues, but there’s a correlation between a focus on agents in English and our criminal-justice bent toward punishing transgressors rather than restituting victims.
Edgar Allan Poe, The Black Cat|Yet I am not more sure that my soul lives, than I am that perverseness is one of the primitive impulses of the human heart - one of the indivisible primary faculties, or sentiments, which give direction to the character of Man. Who has not, a hundred times, found himself committing a vile or a silly action, for no other reason than because he knows he should not? Have we not a perpetual inclination, in the teeth of our best judgment, to violate that which is Law, merely because we understand it to be such?
Nick Hornby, How to Be Good|We are slaves, deprived of every right, exposed to every insult, condemned to certain death, but we still possess one power, and we must defend it with all our strength for it is the last - the power to refuse our consent. So we must certainly wash our faces without soap in dirty water and dry ourselves on our jackets. We must polish our shoes, not because the regulation states it, but for dignity and propriety. We must walk erect, without dragging our feet, not in homage to Prussian discipline but to remain alive, not to begin to die.
George S. Clason|Income, that is the thing. I wish an income that will keep flowing into my purse whether I sit upon the wall or travel to far lands.
Bill Flores|The only way to get love is to be lovable. It's very irritating if you have a lot of money. You'd like to think you could write a check: 'I'll buy a million dollars' worth of love.' But it doesn't work that way. The more you give love away, the more you get.
Ernst Haeckel, The Riddle of the Universe|The greatest truths are the simplest things in the world, simple as your own existence.
Debasish Mridha|Determine your destination, choose a path, now with all your heart start going there.
James S.A. Corey, Abaddon's Gate|cheered by the optimism that one sometimes had at the beginning of strenuous exercise, a kind of helium that filled our lungs and carried us along
Rachel Hartman, Shadow Scale|And he began, "What chance or destinyhas brought you here before your final day?And who is he who leads your pilgrimage?""Up there in life beneath the quiet starsI lost my way," I answered, "in a valley,before I'd reached the fullness of my age.I turned my shoulders on it yesterday:this soul appeared as I was falling back,and by the road through Hell he leads me home.""Follow your star and you will never fail to find your glorious port," he said to me
Marcus Samuelsson|I learned something from that. If someone asks me something that I really don't want to do, I say no. I have to trust that. And I'm not afraid to talk money.
Kabir|There is so much more than we can see, there is so much more that we can be.
Shay Savage, Transcendence|My mate is really, really weird.She is also absolutely covered in brown, mushy clay.She laughs and holds a large lump up to show it to me. Her mouth moves, and she makes enough noise to scare away a group of birds near the shore.She is so, so strange.
Matshona Dhliwayo|The great, like plants, do not curse storms for they are nourished by them.
Amanda Palmer, The Art of Asking; or, How I Learned to Stop Worrying and Let People Help|When we ask for anything, we're almost always asking for help, in some form; help with money, permission, acceptance, advancement, help with our hearts...Brene Brown has found through her research that women tend to feel shame around the idea of being 'never enough'... at home, at work, in bed, never pretty enough, never smart enough, never thin enough, never good enough...Men tend to feel shame around the fear of being perceived as weak, or more academically, 'fear of being called a pussy'. Both sexes get trapped in the same box for different reasons. If I ask for help...I am not enough.If I ask for help... I'm weak.It's no wonder so many of us don't bother to ask, it's too painful.
Debasish Mridha|Don't just talk, act.
Jess Rothenberg, The Catastrophic History of You and Me|For the record, I would like to point out that it is NOT being obsessive to memorize a boy's schedule so that you can accidentally bump into him. It is called being efficient.
Stephenie Meyer|I regret..." Tobias tilts his head, and sighs. "I regret my choice.""What Ch
Ben Fountain, Billy Lynn's Long Halftime Walk|Why?' He kept asking in his sweetly belling voice, its tone as pure as marbles swirled around a crystal pail. Why him wun up the tree? Why him nest up theah? Why him gadder nuts? Why? Why? Why? And Billy answering every question to the best of his ability, as if anything less would disrespect the deep and maybe even divine force that drove his little nephew toward universal knowledge.
Rich Mullins|I'm frankly sick and tired of the political preachers across this country telling me as a citizen that if I want to be a moral person, I must believe in "A," "B," "C" and "D." Just who do they think they are? And from where do they presume to claim the right to dictate their moral beliefs to me? And I am even more angry as a legislator who must endure the threats of every religious group who thinks it has some God-granted right to control my vote on every roll call in the Senate. I am warning them today: I will fight them every step of the way if they try to dictate their moral convictions to all Americans in the name of "conservatism.
Vignesh S.V.|But then Macon smiled at me. "Just be yourself, Foster. That's the best thing in the world.
Thomm Quackenbush, A Creature Was Stirring|Words of “unconditional love” defines as mothers love, respect your parents
Iris Murdoch, Under the Net|To anyone who will take the trouble to become attached to her she will immediately give a devoted, generous, imaginative and completely uncapricious attention, which is still a calculated avoidance of self-surrender. This is no doubt another reason why she never went into films; her private life must be an almost full-time activity. This has the sad result too that her existence is one long act of disloyalty; and when I knew her she was constantly involved in secrecy and lying in order to conceal from each of her friends the fact that she was so closely bound to all the others.
Jonas Salk|I mean to say, we all sprang from humble origins. Goodness gracious, who would have thought that a species of monkey would take over the kingdom of the world. … I cannot help but feel that the monkey was not a good choice. Surely one of the cat family would have been much more satisfactory. They have a much less emotional approach to life. ("The Shadmock")
Ludwig von Mises, The Theory of Money and Credit|But it must be observed that as the depreciation of money proceeds, the demand for money (i.e. for the kind of money in question) gradually begins to fall. When loss of wealth is suffered in proportion to the length of time money is kept on hand, endeavours are made to reduce cash holdings as much as possible. N ow if every individual, even if his circumstances are otherwise unchanged, no longer wishes to maintain his cash holding at the same level as before the beginning of the inflation, the demand for money in the whole community, which can only be the sum of the individuals' demands, decreases too. There is also the additional fact that as commerce gradually-begins to use foreign money and actual gold in place of notes, individuals begin to hold part of their reserves in foreign money and in gold and no longer in notes.
Richard Hofstadter, Anti-Intellectualism in American Life|Not much to say except to warn you not to get too serious about all this, if you want to become a writer of fiction in the future. If you intend to become a critic, that is a Whale of another color…Playing around with symbols, even as a critic, can be a kind of kiddish parlor game. A little of it goes a long way. There are other things of greater value in any novel or story…humanity, character analysis, truth on other levels…Good symbolism should be as natural as breathing…and as unobtrusive.
Dave Ramsey, EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches|With gospel-centered productivity, peace comes first, not second. the mistake we often make is to make peace of mind the result of things we do rather than the source.
Terry Spencer Hesser, Kissing Doorknobs|I wanted to feel like I could open my mouth and fill it with Pepper's flesh, close my teeth on her skin and tear it away, making blood pump like a fountain over everything - rug, clothes, hair, face - both Violet and I stopped in midair. Pepper's eyes had flooded with tears. It was too easy, she was enjoying this. Her body softened like a sponge waiting to soak up my punches. Her lips smiled the same way Valerie's did. It was as if I had discovered maggots in her flesh. I recoiled from her where she lay on the bed like a piece of rotting meat. 
David James Duncan|The North Pole will be ice-free during summer in years to come, and that itself will put the Arctic Sea basin on a very high risk of... environmental disasters that might be there.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|Life’s most amazing moments between people are built on trust, communication, acceptance, and love.
Andrew Murray, With Christ in the School of Prayer|Prayer not only teaches and strengthens one for work, work teaches and strengthens one for prayer.
Paul Gibbons, The Science of Successful Organizational Change: How Leaders Set Strategy, Change Behavior, and Create an Agile Culture|Many of the cataclysmic leadership failures were failures of rationality. The pendulum of leadership development needs to swing back toward the rational: strategy, creativity, foresight, decision-making, and analytics.
A.S. King, Glory O'Brien's History of the Future|In a few years, it is very likely that this series will be considered a milestone in the history of Singapore photography.
Sebastian Loving|Even when he played, he made a business of it.
Chris     Murray, The Extremely Successful Salesman's Club|Destiny and fate are of one’s own making, and riches and happiness are rarely found at the end of an easily-traversed path.
R.A. Salvatore, The Legacy|Farewell is said by the living, in life, every day. It is said with love and friendship, with the affirmation that the memories are lasting if the flesh is not.
Ayn Rand|I live in the Managerial Age, in a world of "Admin." The greatest evil is not now done in those sordid "dens of crime" that Dickens loved to paint. It is not done even in concentration camps and labour camps. In those we see its final result. But it is conceived and ordered (moved, seconded, carried, and minuted) in clean, carpeted, warmed and well-lighted offices, by quiet men with white collars and cut fingernails and smooth-shaven cheeks who do not need to raise their voices. Hence, naturally enough, my symbol for Hell is something like the bureaucracy of a police state or the office of a thoroughly nasty business con
Dorothea Mackellar, The Poems of Dorothea Mackellar|I love a sunburnt country,A land of sweeping plains,Of ragged mountain ranges,Of droughts and flooding rains.I love her far horizons,I love her jewel-sea,Her beauty and her terror –The wide brown land for me!
Lailah Gifty Akita|Whenever the opportunity exist, we must give our very best.
Auliq Ice|With mercy and sympathy, no one will hate to love one another.
John Geddes, A Familiar Rain|Daylight would have shown a wilderness weathered and blowzy, a wanton that had lived her summer too fast and too greedily. It would have shown the white birches pale and shivering in a sudden ague, and here and there an ash or a sumac burning red, like a hectic spot, where the first frosts already had set the marks of their galloping consumption on the cheek of the forest, giving warning of the time when the white plague of the winter would make a massacre of all this present glory and turn the trees to naked skeletons and stretch a bony bare cadaver on every steeper hillside to bleach there until the snows covered things up. But now the kindly nighttime had all signs and threats of approaching death, so that each shriveled speckled leaf, as revealed and traced in the waning light, seemed flawless — a perfect part of a perfect tapestry.
Walter Savage Landor|Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects.
Billy Graham, Billy Graham in Quotes|Pain has many faces . . .the unseen part of man is often the victim of the most debilitating of pains . . . a man can endure excruciating physical pain, and yet he can be felled by one unkind word.
Naren Singh|She toyed around with his smiles and emotions, till they actually turned plastic. And then, She changed the toy…
Eric Schmidt|If it doesn't sell, it isn't creative.
David Abram, Becoming Animal: An Earthly Cosmology|Each thing organizes the space around it, rebuffing or sidling up against other things; each thing calls, gestures, beckons to other beings or battles them for our attention; things expose themselves to the sun or retreat among the shadows, shouting with their loud colors or whispering with their seeds; rocks snag lichen spores from the air and shelter spiders under their flanks; clouds converse with the fathomless blue and metamorphose into one another; they spill rain upon the land, which gathers in rivulets and carves out canyons…
Kelly Creagh|I’m tired. Dead tired. So tired I can barely stay awake to write this. After helping Mr Bircher search for his head all night, I’m a little annoyed too. Dad doesn’t help. He doesn’t know what it's like for a girl my age, trying to fit in at school as much as possible, and trying to fit in all the dead people. It’s not easy being a soul helper.
Angie Stone|What were once only hopes for the future have now come to pass; it is almost exactly 13 years since the overwhelming majority of people in Ireland and Northern Ireland voted in favour of the agreement signed on Good Friday 1998, paving the way for Northern Ireland to become the exciting and inspirational place that it is today.
Sophie Jordan, Firelight|Above all, mine is a love story. Unlike most love stories, this one involves chance, gravity, a dash of head trauma. It began with a coin toss. The coin came up tails. I was heads. Had it gone my way, there might not be a story at all. Just a chapter, or a sentence in a book whose greater theme had yet to be determined. Maybe this chapter would've had the faintest whisper of love about it. But maybe not. Sometimes, a girl needs to lose.
Richelle E. Goodrich, Slaying Dragons|It may seem like the dragons tormenting you are bigger and fiercer than those lurking in your neighbor’s yard, but this is an illusion. We all face mighty dragons at home in some form.
Paul Gosar|Some struggle with medical issues - like insomnia - that make sleep hard. But for many of us, the quantity and quality of sleep come down to a matter of choice. Still, only a few enterprising economists have looked closely at this, and generally, those have assumed that we choose our hours of sleep optimally.
Virginia Alison|Loving passionately, loving fiercely, loving and taking both good and bad, and at times, the damn near impossible, provides sweet chaos, fueling the pitter patter of the heart...
Richelle E. Goodrich, Making Wishes|If only you would kiss me.Press your lips to mine like a searing iron. Wrap me in your arms as if you were a monarch claiming a kingdom. Hold me close until I warm through to the core. Do this, and I promise to melt into you, no longer a cold and frozen figure in your narrowed sight. How devoted I would be if only your lips burned for mine!If only you would kiss me.
Hayley Williams|It’s one thing when you lose a friend or when your friends become enemies, but it’s the worst when friends become strangers,
Aisha Mirza|When you learn to embrace your flaws is how you learn to love yourself, perfectly.
Michelle K. Pickett, Milayna|And?” I crossed my arms over my chest. I almost tapped my foot waiting for him to answer, but caught myself and held my foot still. That would have been weird—way too much like my mother. ~Milayna
Carolyn  Parkhurst, The Nobodies Album|I've always known that the best part of writing occurs before you've picked up a pen. When a story exists only in your mind, its potential is infinite; it's only when you start pinning words to paper that it becomes less than perfect. You have to make your choices, set your limits. Start whittling away at the cosmos, and don't stop until you've narrowed it down to a single, ordinary speck of dirt. And in the end, what you've made is not nearly as glorious as what you've thrown away.
Danny Mekić|Privacy’ is an unusable term. We should instead talk about freedom, autonomy and self-determination of the individual. Being allowed to be yourself, to think whatever you want and to act within the law with no hindrance. That resonates with everyone.
Marguerite Duras|The woman is the home. That's where she used to be, and that's where she still is. You might ask me, What if a man tries to be part of the home -- will the woman let him? I answer yes. Because the he becomes one of the children.
Alice Cooper|'Romeo And Juliet' is the classic love story. When two lovers are separated and trying to get back to one another, that's fiercely romantic and something you become glued to.
Michael Scott, The Enchantress|Even in good families a bad apple can begin an avalanche of troubles,' Dutch said as he sat back in his well-seasoned armchair, lighting his curved rustic pipe. From Book I, In Blood There is No Honor
E.L. Doctorow|Preservations are working to save neon signs for future generations, either on-site or in museums. After all, what would America be without a few giant doughnuts around.
Steven Magee, Solar Radiation, Global Warming and Human Disease|In the future, it may turn out that fossil fuels are the blood of the Earth and by extracting them may lead to serious consequences to the Earth's survival, and by association, that of the humans.
Leslie Carroll, Notorious Royal Marriages: A Juicy Journey Through Nine Centuries of Dynasty, Destiny, and Desire|Victoria was, at the time, far more empathetic and forgiving, chiding Albert for his narrow view of humanity. 'I always think that one ought always to be indulgent towards other people, as I always think, if we had not been well brought up and well taken care of, we might also have gone astray.
Flannery O'Connor, Mystery and Manners: Occasional Prose|The fact is that if the writer's attention is on producing a work of art, a work that is good in itself, he is going to take great pains to control every excess, everything that does not contribute to this central meaning and design. He cannot indulge in sentimentality, in propagandizing, or in pornography and create a work of art, for all these things are excesses. They call attention to themselves and distract from the work as a whole.
Anna Quindlen|Signing up for 'It Follows,' I didn't have any idea it was going to turn out the way it did, but seeing it, the music and the feel of it definitely was pretty amazing, getting that kind of throwback feel to classic horror movies.
Mark A. Seifrid, Christ, Our Righteousness: Paul's Theology of Justification|Living communion with God in which He is real, alive, fresh, and present to your soul energizes a God-centered life.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|If you're not at least a tiny bit jealous at this point, you might want to check for your own pulse.
Benjamin Spock|I have a right to my anger, and I don't want anybody telling me I shouldn't be, that it's not nice to be, and that something's wrong with me because I get angry.
Jules Verne, Twenty Thousand Leagues Under the Sea|Something always attracts us towards the ruins, because ruins remind us our fundamental problem: The problem of impermanence! Amongst the ruins we see the very end of our road! Whatever shows you the simple truth, it is your Master Teacher; whoever repeatedly recalls you of the plain truth, he is your good master!
Ahdaf Soueif, The Map of Love|I watch and listen, helpless to help. There is no point in saying "This, too, shall pass," For a time we do not even want it to pass. We hold on to grief, fearing that its lifting will be the final betrayal.
Elizabeth Goudge, A City of Bells|It was not the size of things that mattered but their perfection, it was not what one had that was important, but what one made.
Jeno Marz, Falaha's Journey: A Spacegirl's Account in Three Movements|When he bowed his head to hide his grin, she stiffened. “This is most certainly not amusing.”He looked up, the humor still glittering in his eyes, and spoke one word. “James.”“Pardon me?”“James Lamont. It’s my name. You’ll need it if you’re to curse me properly.
Ann Darby|The grown-ups, or maybe I should say the parents, ate in the dining room.
Saul Bellow, Henderson the Rain King|I believe that there is one story in the world, and only one, that has frightened and inspired us, so that we live in a Pearl White serial of continuing thought and wonder. Humans are caught - in their lives, in their thoughts, in their hungers and ambitions, in their avarice and cruelty, and in their kindness and generosity too - in a net of good and evil. I think this is the only story we have and that it occurs on all levels of feeling and intelligence. Virtue and vice were warp and woof of our first consciousness, and they will be the fabric of our last, and this despite any changes we may impose on field and river and mountain, on economy and manners. there is no other story. A man, after he has brushed off the dust and chips of life, will have left only the hard, clean questions: Was it good or was it evil? Have I done well - or ill?
Toni Morrison, Jazz|I don’t want to be a free nigger; I want to be a free man.”“Don’t we all. Look. Be what you want--- white or black. Choose. But if you choose black, you got to act black, meaning draw your manhood up—quicklike, and don’t bring me no whiteboy sass.” Hunter’s Hunter and Godlen Gray
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|For you not to waste or spend your life, you must first begin to see time and life correctly. You must first understand that time is life and life is time.
Seal|It's funny - in elementary school, I went by Amber. I never liked Tiffani.
Christian Nestell Bovee|Beauty at 70 years old isn't the same as beauty at 20 years old, but it is stunning nonetheless.
Erin Gray|Here's the teaching point, if you're teaching kids about intelligence and policy: Intelligence does not absolve policymakers of responsibility to ask tough questions, and it doesn't absolve them of having curiosity about the consequences of their actions.
Sunday Adelaja|With patience, you will finish the race set before you
Charles W. Bamforth, Beer Is Proof God Loves Us: The Craft, Culture, and Ethos of Brewing, Portable Documents|To stay vigorous, a company needs to provide a stimulating and challenging environment for all these types: the dreamer, the entrepreneur, the professional manager, and the leader. If it doesn't, it risks becoming yet another mediocre corporation.
Lauren Miller|Really, the only people you should be comparing yourself to would be people who make you feel better by comparison. For instance, people who are in comas, because those people have no spoons at all and you don't see anyone judging them. Personally, I always compare myself to Galileo because everyone knows he's fantastic, but he has no spoons at all because he's dead. So technically I'm better than Galileo because all I've done is take a shower and already I've accomplished more than him today.
Ernest Agyemang Yeboah|There are always certain things which are certain and there are always certain things which are uncertain for us to think about each day and when such things are over, there shall always be something to think about
Emily Brontë, Wuthering Heights|Take my books away, and I should be desperate!
Debee Sue|Stop glorifying yourself, start glorifying God almighty.
Sheila Renee Parker|Don't be afraid of what others may think. Your creativity belongs to you, your inspiration, your imagination is all yours. Be passionate and write with fire in your words. Allow no boundaries to what you feel and believe. The spark that drives you to write is the fuel for your desire to create great novels. Know that you have the spirit within.
Alyssa Bornhorst|The insinuation that without a female president women cannot pursue and achieve their dreams is not only false but recalls the ever-condenscending liberal attitude towards women: "We know what women want, even if they do not.
Oliver Wendell Holmes Jr.|Some flowers bloom beneath the biggest blue,while others prefer the shade;As is Human Nature.....Some turn their faces to the sunwhile others seek solitude.But no matter where you wish to stand;Stand Straight and Stand tall.
Rachael Ray|My husband cooks fancier food for himself than I've ever cooked on-air. I call him from the road, and he's making champagne-vanilla salmon or black-cherry pork chop. Half of me is feeling unworthy. Not only am I not a chef, I'm not a better cook than my own husband!
Anne Rice, The Vampire Lestat|I don't believe in anything, Mother," I said. "You told Armand long ago that you believe you'll find answers in the great jungles and forests; that the stars will finally reveal a vast truth. But I don't believe in anything. And that makes me stronger than you think
Hans Zimmer|I want to go and write music that announces to you that you can feel something. I don’t want to tell you what to feel, but I just want you to have the possibility of feeling something.
Ash Parsons|Scars prove that you're still here. That you can move on. Maybe missing a chunk of yourself, but here, goddamn it, surviving.
Marlee Matlin|Present, n. That part of eternity dividing the domain of disappointment from the realm of hope.
Tyra Lynn, Tempus|Be very careful what you try with that.  I’m not as strong as I should be.” His breath was ragged, and irregular.  “And you are stronger than you know.
Sylvain Tesson, Dans les forêts de Sibérie|We are the planet, fully as much as water, earth, fire and air are the planet, and if the planet survives, it will only be through heroism. Not occasional heroism, a remarkable instance of it here and there, but constant heroism, systematic heroism, heroism as governing principle.
Meredith T. Taylor, Churning Waters (The Churning Waters Saga)|I stand, and wait among the sea foam. I swim in my own tears-I sing without my voice. I do not reach for higher ground, because I have lapped in the churning waters.
Kathryn Bigelow|When you're five years old, and you're running a business that people did not think there was room for, getting attention is not a bad thing. Letting it be known by whatever colorful language is necessary is not a bad thing.
Tera Lynn Childs, Forgive My Fins|All right," Shannen says slowly, tucking a lock of dark brown hair behind her ear. "Why did you glue that dolphin upside down?" Okay, so I'm a little distracted. "He's doing the back stroke.
Rick Perlstein, Before the Storm: Barry Goldwater and the Unmaking of the American Consensus|Just like today, the Protestants and their teachings had to fight with the prevalent order of the day which taught that: Work is only for making profit. Make money with minimum effort. The culture of the day viewed work as a burden to be avoided. The secular world of the time taught that you should do no more than what was enough for good living.
Robyn Lively|This is actually something no one knows, but my mom was really the one who created the entire style for 'Teen Witch.' I'm dead serious. She was super involved, and is super creative, so I wore a lot of my actual clothes in the movie. Truly, Louise was my mom's vision. She really created an iconic character.
Charles Bukowski, Ham on Rye|I am the wisest man alive, for I know one thing, and that is that I know nothing.
Renee Carlino, Swear on This Life|We can't always control our circumstances, who are parents are, where we live, or how much money we make, but in those rare moments when we can shape our fate, when we do have the power to make our own happiness, we can't be too scared to do it.
Catherynne M. Valente, Radiance|When I watch a movie or read a book, be it a melodrama or horror, I always hate the female character... Well, most of the time I do.Why? Because she is always dumb.I shit you not.For example in this one chick-flick movie, "Serendipity", Sara tells that Jonathan guy that she won't give him her number because if they are meant to meet again, they will. Seriously? Romantic movie my ass, there's not anything romantic in letting go of someone when you can grab them with both of your hands. That is not romantic, THAT is stupid.In another movie the girl storms out, never hearing the guy out, just like in that one book I've been reading recently, "Tangled". Now this is an issue with most of the books and chick-flicks. Like why? Why won't you stop a minute, take a deep breath, count to ten and listen to the guy. Only after that, for God's sake, say ‘fuck you’ then ‘Namaste’ and then walk away while swaying your hips like there is no tomorrow? Let them know what they will be missing for the rest of their lives.In some other movies I hate the main female character because of the scriptwriters. The girl somehow always appears in front of the guy out of nowhere. Like he can be walking down the street and then boom! ABRACADABRA! The main girl bumps into him in NYC out of all places. They make it seem like whatever they do their steps always bring them back to each other. Dumb, I know.
Kristen Day, Awaken|Every day I wake up is a day I’ve fought for. Every mistake, every laugh, every tear, and every sunrise; I’ve earned through the years of abuse and pain. I carry those memories with me as a reminder of who I am and what’s truly worth fighting for. And if you aren’t able to see that, I’m afraid your soul searching talents are highly suspect.
