Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Dr. Jacinta Mpalyenkana, Ph.D, MBA|When you finally decide to face all your fears, then be assured that success is knocking at your door.
Rick Warren, The Purpose Driven Life: What on Earth am I Here for?|But then, is there cowardice in the acknowledgment of fear? Is there cowardice in being glad that you lived?
Criss Jami, Killosophy|Easily mistaken, it is not about a love for adversity, it is about knowing a strength and a faith so great that adversity, in all its adverse manifestations, hardly even exists.
Orson Scott Card, Ender's Game|You're bigger than I remember," she said stupidly."You too," he said. "I also remember that you were beautiful.""Memory does play tricks on us.""No. Your face is the same, but I don't remember what beautiful means anymore. Come on. Let's go out into the lake.
Deborah N. Kabwang, Secrets Buried in the Soul|My mind knows what is right, but my flesh is at war against my spirit?
Susanna Kearsley, The Firebird|Mine honor is my life; both grow in one.Take honor from me, and my life is done.
Martin Parr|It's so often that I read for the bouncy, sunny girl men fall in love with who will solve all the romantic problems in the narrative. I don't choose to work that way.
Ibn Arabi, The Universal Tree and the Four Birds|You claim to love God, and yet you disobey GodThis is a bizarre way of reasoningSurely, the lover, if his love is true,Is most obedient to the one he loves.
Musiq Soulchild|All my life, I have been a positive thinker... I have always been able to survive by telling myself that no matter how bad things are, they will one day be better. And that out of every event - no matter how tragic - one can always find a way to survive and even, perhaps, to be a little bit happy.
Nicole Scherzinger|Famous old houses seem to have an intuitive perception of the value of corner lots. If it is a possible thing, they always set themselves down on the most desirable spots.
Debasish Mridha|God has written us a book, and now we have the opportunity to respond with our words and actions.
Mother Teresa, The Love of Christ: Spiritual Counsels|Let Him empty and transform you ;and afterwards fill the chalice of your hearts to the brim, that you in your turn, may give of your abundance. Seek Him. Knowledge will make you strong as death. Love Him trustfully without looking back, without fear. Believe that Jesus and Jesus alone is life. Serve Jesus, casting aside and forgetting all that troubles or worries you, make loved the love that is not loved.
Gordon W. Allport, Becoming: Basic Considerations for a Psychology of Personality|Indeed the measure of our intellectual maturity, one philosopher suggests, is our capacity to feel less and less satisfied with our answers to better and better problems.
Padgett Powell, Mrs. Hollingsworth's Men|Now she understood a few things: that the American academy, which one might have thought the place to defend freedom of speech, had been the seat and soul of abrogating freedom of speech, if the first assault on its freedom can be said to be restricting, or handcuffing speech. The day she heard “redneck” on NPR, she turned NPR off, not because broadcasters were still using the term, but because she knew one day they would not be. In fact, she had a vision of the quiet moment backstage at a Boston studio when a good, surprised correspondent was let go for saying “redneck” the last time it would be said.
E.D. Hirsch Jr.|Consider now the primal scene of education in the modern elementary school. Let us assume that a teacher wishes to inform a class of some 20 pupils about the structure of atoms, and that she plans to base the day's instruction on an analogy with the solar system. She knows that the instruction will be effective only to the extent that all the students in the class already know about the solar system. A good teacher would probably try to find out. 'Now, class, how many of you know about the solar system?' Fifteen hands go up. Five stay down. What is a teacher to do in this typical circumstance in the contemporary American school?"If he or she pauses to explain the solar system, a class period is lost, and 15 of the 20 students are bored and deprived of knowledge for that day. If the teacher plunges ahead with atomic structure, the hapless five—they are most likely to be poor or minority students—are bored, humiliated and deprived, because they cannot comprehend the teacher's explanation.
Ankita Singhal|To insult someone we call him 'bestial'. For deliberate cruelty and nature, 'human' might be the greater insult.
Wendy Francis, The Summer of Good Intentions|That was what finally decided me. I wanted to be near him, to touch him, but what I really wanted more than that was answers, for the conflict within me to end. I needed control.
Donna Grant, Dark Alpha's Embrace|Death's head cocked to the side. "I can be very ... persuasive ... when needed.
Lang Leav, Love & Misadventure|... hurt burrowed deeper than anything she'd ever felt, deep enough to change from the thing she felt to the thing she was.
Ian Mortimer, The Time Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century|As you travel around medieval England you will come across a sport described by some contemporaries as 'abominable ... more common, undignified and worthless than any other game, rarely ending but with some loss, accident or disadvantage to the players themselves'. This is football.
Shane Ross|I can stomach just about anything… After all, I can deal with politicians… I don’t have any problem not puking on them! —Debra Wright, KNUT Reporter
Stephenie Meyer, Eclipse|From the first time I saw you, I've belonged to you completely. I still do. If you want me. -Jace
Israelmore Ayivor|Your driver is on the steer, driving you and you can feel free to doze in the car; this is trust built on competence. Competence is to ensure that your actions put people's hearts at ease when things are in your hands.
John Kendrick Bangs, The Autobiography of Methuselah|If I had my way no one should be taught to read until after he had passed his hundredth year. In that way, and in that way only can we protect our youth from the dreadful influence of such novels as 'Three Cycles, Not To Mention The Rug,' which dreadful book I have found within the past month in the hands of at least twenty children in the neighborhood, not one of whom was past sixty.
Leora Tanenbaum, Slut!: Growing Up Female with a Bad Reputation|Whatever influence Bullaro’s normally cautious character might have exerted over the passions of his penis were now nonexistent, and he unhesitatingly followed her and quickly undressed.
Kilroy J. Oldster, Dead Toad Scrolls|The human mind – a product of the brain – controls our ability to adapt to a hostile or friendly environment. Human beings are composed of fields of energy, some of which forces are positive, and other force fields are negative. We can use constructive reason to penetrate only a limited segment of the human mind, which projects discernible logical thought process. A person’s mind also houses dark areas of reality, the mysterious apparatus that eludes the grasp of human reason. We can never express the truth of a person with a precise lucid principle. A person must travel beyond realism in order to explore every facet of his or her being and live his or her most cherished dreams.
Michelle A. Valentine, Phenomenal X|XAVIER: Being trapped in a life that you didn’t choose is no f***** picnic, no matter how good it may appear to people outside of the situation.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Adams has shown a nearly inexhaustible desire, leavened with an equal amount of sheer talent- five decades' worth and counting- in an unrelenting effort to stabilize, strengthen, and improve the standing of indigenous peoples, minority groups, and the larger society as well. He is an exemplary Native activist, indeed.
R.A. Salvatore, The Silent Blade|Respect those who respect you; disrespect those who disrespect you, only then they will respect you.
Mark Mills, The Savage Garden|Now there are no priests or philosophers left, artists are the most important people in the world.
Peter Dinklage|I loved Debussy, Stravinsky, Chopin, Tchaikovsky, anything with romantic melodies, especially the nocturnes. Nietzsche was a hero, especially with 'Thus Spoke Zarathustra.' He gets a bad rap; he's very misunderstood. He's a maker of individuals, and he was a teacher of teachers.
Walter Scott, The Lady of the Lake|so wondrous wild, the whole might seemthe scenery of a fairy dream
C.S. Lewis, The Weight of Glory|If all the world were Christian, it might not matter if all the world were uneducated. But, as it is, a cultural life will exist outside the Church whether it exists inside or not. To be ignorant and simple now -- not to be able to meet the enemies on their own ground -- would be to throw down our weapons, and to betray our uneducated brethren who have, under God, no defense but us against the intellectual attacks of the heathen. Good philosophy must exist, if for no other reason, because bad philosophy needs to be answered. The cool intellect must work not only against cool intellect on the other side, but against the muddy heathen mysticisms which deny intellect altogether. Most of all, perhaps we need intimate knowledge of the past. Not that the past has any magic about it, but because we cannot study the future, and yet need something to set against the present, to remind us that periods and that much which seems certain to the uneducated is merely temporary fashion. A man who has lived in many place is not likely to be deceived by the local errors of his native village: the scholar has lived in many times and is therefore in some degree immune form the great cataract of nonsense that pours from the press and the microphone of his own age.
Kevin DeYoung, Why We Love the Church: In Praise of Institutions and Organized Religion|I might be tempted to make to Christendom a proposal different from that of the Bible society. Let us collect all the New Testaments we have, let us bring them out to an open square or up to the summit of a mountain, and while we all kneel let one man speak to God thus: 'Take this book back again; we men, such as we now are, are not fit to go in for this sort of thing, it only makes us unhappy,' This is my proposal, that like those inhabitants in Gerasa we beseech Christ to depart from our borders. This would be an honest and human way of talking -- rather different from the disgusting hypocritical priestly fudge...
Mokokoma Mokhonoana|Compared with lesbians, gays seem to be more unapologetic about their sexual orientation. The former must not have balls.
Jesse Eisenberg|If you're afraid of everything out there, you quit going out there.
Shannon Celebi, After Spring Comes|You’re saying, “What the hell am I gonna do with her?” You’re saying, “Shit, did she take her pills?” You’re saying, “Once upon a time, I used to have a little girl.
Michael Harris|terrorism is adamant. Fight against requires endurance, specific Counter-terrorism, Intelligence and swift operation
Charlotte Brontë, Villette|The charm of variety there was not, nor the excitement of incident; but I liked peace so well, and sought stimulus so little, that when the latter came I almost felt it a disturbance, and rather still wished it had held aloof.
Hugh Laurie|Travel, which was once either a necessity or an adventure, has become very largely a commodity, and from all sides we are persuaded into thinking that it is a social requirement, too.
R. Alan Woods, The Journey Is The Destination: A Photo Journal|Ubi boni, malum prosperat (Where good men are silent, evil prospers)
Faith Hill|I hate to say it, but Christmas as a kid was always a moneymaking venture for me. I played trumpet, and a friend of mine who played trombone and a guy who played tuba, every Christmas we'd go out for three or four days beforehand and play Christmas carols on our horns.
Roald Dahl|England once there lived a bigAnd wonderfully clever pig.To everybody it was plainThat Piggy had a massive brain.He worked out sums inside his head,There was no book he hadn't read.He knew what made an airplane fly,He knew how engines worked and why.He knew all this, but in the endOne question drove him round the bend:He simply couldn't puzzle outWhat LIFE was really all about.What was the reason for his birth?Why was he placed upon this earth?His giant brain went round and round.Alas, no answer could be found.Till suddenly one wondrous night.All in a flash he saw the light.He jumped up like a ballet dancerAnd yelled, "By gum, I've got the answer!""They want my bacon slice by slice"To sell at a tremendous price!"They want my tender juicy chops"To put in all the butcher's shops!"They want my pork to make a roast"And that's the part'll cost the most!"They want my sausages in strings!"They even want my chitterlings!"The butcher's shop! The carving knife!"That is the reason for my life!"Such thoughts as these are not designedTo give a pig great piece of mind.Next morning, in comes Farmer Bland,A pail of pigswill in his hand,And piggy with a mighty roar,Bashes the farmer to the floor…Now comes the rather grizzly bitSo let's not make too much of it,Except that you must understandThat Piggy did eat Farmer Bland,He ate him up from head to toe,Chewing the pieces nice and slow.It took an hour to reach the feet,Because there was so much to eat,And when he finished, Pig, of course,Felt absolutely no remorse.Slowly he scratched his brainy headAnd with a little smile he said,"I had a fairly powerful hunch"That he might have me for his lunch."And so, because I feared the worst,"I thought I'd better eat him first.
Gugu Mona|I told her that the pills will let her slip off and that when a person dies there comes a long clean sleep.”	“That’s all,” Alexandria whispers, echoing after her, “a long clean sleep.
Susan Barbara Apollon, Touched by the Extraordinary, Book Two|When we learn to attribute meaning to the events in our lives, we connect with our Higher Purpose, Higher Wisdom, or Source; we become Master of the Self. A gradual process, this is often tied to loss and to love.
John Roberts|If you look at any Muslim society and you make a scale of how developed they are, and how successful the economy is, it's a straight line. It depends on how much they emancipate their women.
Stephen Richards, Ask and the Universe Will Provide: A Straightforward Guide to Manifesting Your Dreams|Big or small, be ready to do your part when you dare to dream and you will be rewarded with success from the Universe.
Madeleine L'Engle|But there is something about Time. The sun rises and sets. The stars swing slowly across the sky and fade. Clouds fill with rain and snow, empty themselves, and fill again. The moon is born, and dies, and is reborn. Around millions of clocks swing hour hands, and minute hands, and second hands. Around goes the continual circle of the notes of the scale. Around goes the circle of night and day, the circle of weeks forever revolving, and of months, and of years.
Gail Z. Martin|I've done so much travelling in the past few years, and when you travel, you realise that we do actually have a cool, clean look in Scandinavia - it's not just Denmark - which I think brings peace if you have it in your home.
Johanna Spyri|Have the wisdom to perceive all there is to be thankful for, and then be thankful for the wisdom to perceive things so clearly.
Ursula K. Le Guin|He recognized that need, in Odonian terms, as his "cellular function." the analogic term for the individual's individuality, the work he can do best, therefore his best contribution to his society. A healthy society would let him exercise that optimum function freely, in the coordination of all such functions finding its adaptability and strength. That was a central idea of Odo's Analogy. That the Odonian society on Anarres had fallen short of the ideal did not, in his eyes, lessen his responsibility to it; just the contrary. With the myth of the State out of the way, the real mutuality and reciprocity of society and the individual became clear. Sacrifice mught be demanded of the individual, but never compromise: for though only the society could give security and stability, only the individual, the person, had the power of moral choice -- the power of change, the essential function of life. The Odonian society was conceived as a permanent revolution, and revolution begins in the thinking mind
Annie Dillard, Pilgrim at Tinker Creek|Say you could view a time-lapse film of our planet: what would you see? Transparent images moving through light, “an infinite storm of beauty.”The beginning is swaddled in mists, blasted by random blinding flashes. Lava pours and cools; seas boil and flood. Clouds materialize and shift; now you can see the earth’s face through only random patches of clarity. The land shudders and splits, like pack ice rent by a widening lead. Mountains burst up, jutting and dull and soften before your eyes, clothed in forests like felt. The ice rolls up, grinding green land under water forever; the ice rolls back. Forests erupt and disappear like fairy rings. The ice rolls up-mountains are mowed into lakes, land rises wet from the sea like a surfacing whale- the ice rolls back.A blue-green streaks the highest ridges, a yellow-green spreads from the south like a wave up a strand. A red dye seems to leak from the north down the ridges and into the valleys, seeping south; a white follows the red, then yellow-green washes north, then red spreads again, then white, over and over, making patterns of color too swift and intricate to follow. Slow the film. You see dust storms, locusts, floods, in dizzying flash frames. Zero in on a well-watered shore and see smoke from fires drifting. Stone cities rise, spread, and then crumble, like patches of alpine blossoms that flourish for a day an inch above the permafrost, that iced earth no root can suck, and wither in a hour. New cities appear, and rivers sift silt onto their rooftops; more cities emerge and spread in lobes like lichen on rock. The great human figures of history, those intricate, spirited tissues that roamed the earth’s surface, are a wavering blur whose split second in the light was too brief an exposure to yield any images. The great herds of caribou pour into the valleys and trickle back, and pour, a brown fluid. Slow it down more, come closer still. A dot appears, like a flesh-flake. It swells like a balloon; it moves, circles, slows, and vanishes. This is your life.
Gregory David Roberts, Shantaram|I spent uncounted hours sitting at the bow looking at the water and the sky, studying each wave, different from the last, seeing how it caught the light, the air, the wind; watching patterns, the sweep of it all, and letting it take me. The sea.
Jennifer Love Hewitt|I'm not a guy who needs to drink coffee or anything to get myself going in the morning. I wake up, and I'm full of energy.
Lauren Oliver, Delirium|Suicide. A sideways word, a word that people whisper and mutter and cough: a word that must be squeezed out behind cupped palms or murmured behind closed doors. It was only in dreams that I heard the word shouted, screamed.
D.L. Hess, Sir: The Awakening|Beautiful,” his voice is velvet-laced iron, and it makes those thoughts come to a standstill. “I’ve told you before—it’s going to take an act of god to keep me away from you.
G.S. Jennsen, Vertigo|Guilt ripped into her like a rusty, serrated knife. It took up residence in her soul, settling in and getting comfortable so it could saw away ragged pieces of flesh and leave her to bleed.
William Goldman, The Princess Bride|So, like I said, these are a bunch of really sweet guys, but you wouldn't want to share a Galaxy with them, not if they're just gonna keep at it, not if they're not gonna learn to relax a little. I mean it's just gonna be continual nervous time, isn't it, right? Pow, pow, pow, when are they next coming at us? Peaceful coexistence is just right out, right? Get me some water somebody, thank you."He sat back and sipped reflectively.OK," he said, "hear me, hear me. It's, like, these guys, you know, are entitled to their own view of the Universe. And according to their view, which the Universe forced on them, right, they did right. Sounds crazy, but I think you'll agree. They believe in ..."He consulted a piece of paper which he found in the back pocket of his Judicial jeans.They believe in `peace, justice, morality, culture, sport, family life, and the obliteration of all other life forms'.
Craig D. Lounsbrough, Flecks of Gold on a Path of Stone: Simple Truths for Profound Living|Chilled ice tea that tempered tepid summer days lathered thick with humidity. Frothy hot chocolate that cut winter’s chill. Bedtime prayers that sent our fears scrambling in panicked flight. Golden bouquets of dandelions aromatically rich with the gift of summers scent. Family meals that wove yet another binding thread in and through the tapestry of those seated around the table. These are but the slightest sampling of the innumerable gifts my mother handed to this child of hers. And without them, my life would be impoverished beyond words to describe.
Shelley Jackson|How silly of us to think we can hide from God. How insane of us to think our thoughts are private, don’t you know that nothing is hidden? And what is it that you are hiding from anyway, your light, the love that you are? Are you afraid of remembering that you are a Child of God? That you are whole and holy, what a beautiful golden being of Light you are my child. There is nothing you see in this world that is as beautiful and brilliant as you, the most beautiful sunset, or sunrise is nothing in comparison to you. I have one thought and that is for you to remember who you are, where you are and how much you are LOVED. -God
David Leavitt, While England Sleeps|If conquest constitutes a natural right on the part of the few, the many have only to gather sufficient strength in order to acquire the natural right of reconquering what has been taken from them
Erica Sehyun Song, Thorns in the Shadow|Sunlight streamed in a steady flow, casting flecks of gold onto the floor, bathing my skin. I inhaled deeply. Already, the air inside my bedroom had been perfumed with nature. A breeze whispered softly and breathed carefully onto my skin.
J.M.  Richards, Tall, Dark Streak of Lightning|Oh, you will, some day, just as I’ll hurt you too. That makes part of thiswhole thing called being human, but to excel it and sincerely forgive the otherfaults… that is what makes a real friendship, what strengthens it.
Mae Jemison|Age can be wonderful for red wine, but not for spacecraft.
Zig Ziglar|You don't have to be great to start, but you have to start to be great.
Jennifer Arnett, Day One: A Novella|No art like the art displayed in our salvation, no cunning workmanship like that beheld in the righteousness of the saints. Justification has engrossed learned pens in all ages of the church, and will be the theme of admiration in eternity.
Rita Dove, On the Bus With Rosa Parks|Women invented misery, but we don't understand it.
Rachel Kaadzi Ghansah|Finally the dawn came, the sky fringed with pink, and the sun bright as a coin in a spill of rising red.
Joanna Macy, World as Lover, World as Self|Awakening does not mean a change in difficulty, it means a change in how those difficulties are met.
Brandi Salazar, Addicted to Magic|Hey, aren’t you that girl from the web?” the new one asked, bending to suck my earing between his teeth. I pulled my head away. “You got the wrong girl.”Mr. Hawaii pulled back to take a better look at me. “No, I think you might be.” To my total bewilderment, he spun me around. “Hey! What are you—?”“Hey, it is you!” he yelled excitedly, drawing the attention of the crowd. “Hey, everyone, it’s Cheeky Galore!
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|To fully understand how utterly amazing we really are we must first understand all of the things about us that are not, and then we must make our habitation where they are not.
David Thorne, The Internet is a Playground|They look back and relixe that they learned much about Christian behavior an churchy experiences, but whatever they learned about Jesus didn't really change them. They never saw him so strikingly that he became their one, overriding hope and their greatest love. They were never convinced that Jesus is better - a zillion times better - than anything and everything else. Our goal must be for kids to catch this rock-their-world vision of Jesus.
Matshona Dhliwayo|If you want to be happy, love. If you want to be happier, love some more.
Zarina Bibi|The onus is on us as a community to really put forward a different face for our religion, for our community, and for our Lord, and for our Prophet, peace be upon him, because it's really unacceptable that a religion with all of this beauty should be painted with such ugly strokes. So we're really here trying to paint a beautiful picture of our faith in action.
Margrét Helgadóttir|There's a fine line, you know. Between having space and having nothing.
Erica Jong, Sappho's Leap|Without the gods, how would I sing?' I asked.With your own voice,' he said.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Excellence is the jet engine, that pushes you faster and higher to success.
Lawrence Lessig, Free Culture: The Nature and Future of Creativity|My culture is my identity and personality. It gives me spiritual, intellectual and Emotional distinction from others, and I am proud of it.
Tony Hillerman, Coyote Waits|Roy: "Looks like it's starting to rain"Riza: "But..It's not raining..."Roy: "Yes it is. This is the rain.
Ludwig von Mises, The Theory of Money and Credit|According to the current view, the maintenance of sound monetary conditions is only possible with a 'credit balance of payments'.The confutation of this and related objections is implicit in the Quantity Theory and in Gresham's Law. The Quantity Theory shows that money can never permanently flow abroad from a country in which only metallic money is used (the 'purely metallic currency' of the Currency Principle). The tightness in the domestic market called forth by the efflux of part of the stock of money reduces the prices of commodities, and so restricts importation and encourages exportation, until there is once more enough money at home. The precious metals which perform the function of money are distributed among individuals, and consequently among separate countries, according to the extent and intensity of the demand of each for money. State intervention to assure to the community the necessary quantity of money by regulating its international nlovements is supererogatory.
Julie Kagawa, The Eternity Cure|Oh, don't mind me," came an extremely sarcastic voice near the wall. “You two go ahead and make out–I'll just sit here and bleed quietly.
Auliq Ice|You will be my souvenir in American summer,when all I can think about are Parisian springs.
Gugu Mona|Judge behavior, not motives.
Milan Kundera, Testaments Betrayed: An Essay in Nine Parts|Death actually never kills you, time does
Jacob M. Appel|I used to dream of true love; now I'm open to false, but convincing....
Charlotte Eriksson|Do you wait for things to happen, or do you make them happen yourself? I believe in writing your own story.
Aldo Leopold, A Sand County Almanac and Sketches Here and There|It is part of wisdom never to revisit a wilderness, for the more golden the lily, the more certain that someone has gilded it.
E.B. White|In school I ended up writing three different papers on "The Castaway" section of Moby-Dick, the chapter where the cabin boy Pip falls overboard and is driven mad by the empty immensity of what he finds himself floating in. And when I teach school now I always teach Crane's horrific "The Open Boat," and get all bent out of shape when the kids find the story dull or jaunty-adventurish: I want them to feel the same marrow-level dread of the oceanic I've always felt, the intuition of the sea as primordial nada, bottomless, depths inhabited by cackling tooth-studded things rising toward you at the rate a feather falls.
Toba Beta, My Ancestor Was an Ancient Astronaut|Humans are about to grasp basic substances of all creations. When that moment comes, life or death are no longer matters.
Joseph Rotblat|True there has been more talk of peace since 1945 than, I should think, at any other time in history. At least we hear more and read more about it because man's words, for good or ill, can now so easily reach the millions.
Khuliso Mamathoni|Men who demand submission and obedience through fear and force do not represent the kingdom of God. They are rather representatives of the kingdom of darkness. Marriages led by men who use force and fear do not thrive and flourish as they should. Instead, these marriages become places of bondage and oppression, and they are reminiscent of hell, the dwelling place of devil.
Matshona Dhliwayo|When you count your blessings, count life twice.
Zadie Smith|Listening to Leonard, Madeleine felt impoverished by her happy childhood. She never wondered why she acted the way she did, or what effect her parents had had on her personality. Being fortunate had dulled her powers of observation.
Norman Mailer|If a person is not talented enough to be a novelist, not smart enough to be a lawyer, and his hands are too shaky to perform operations, he becomes a journalist. 
Carolyn Lee Adams, Ruthless|I know you, Ruth Ann Carver. I know you better than you know yourself. You think you do things right. You think you're a paragon of right living. This is a self-told lie, one bolstered by your coddling parents and grandparents.
Brooks Palmer|Only through constant focus can you become independent. Only through independence can you know yourself. And only through knowing yourself will you be able to ask the key question of your life: What is is that I am destined to accomplish, and how can I make it happen?
Rick Warren|Most companies target women as end users, but few are effectively utilizing female employees when it comes to innovating for female consumers. When women are empowered in the design and innovation process, the likelihood of success in the marketplace improves by 144%!
Tamera Alexander, From a Distance|Fences can be prisons, in a way. They're necessary for those incapable of learning restraint, but they diminish life.
P.J. Parker, America Túwaqachi: The Saga of an American Family|One large cat bounded up the side of the outcrop to stand in full view on an overhanging boulder. She stared down at them, inside their protective enclosure, tilting her head from side to side. Her scarred yellow-brown coat was immaculately groomed, but the long tufting hair of her snout was matted with the bright red smear of uncongealed blood from a recent kill. Her upper lip curved over the top of foot-long saber teeth.
Amy Andrews, Ask Me Nicely|In the mind of the kid in skinny jeans leading the worship band, there isn’t a large enough gap between holiness and sinfulness, truth and error, demons and angels, or heaven and hell.
Morgan Freeman|I always had a desire to know asylum life more thoroughly - a desire to be convinced that the most helpless of God's creatures, the insane, were cared for kindly and properly.
Sunday Adelaja|What is the meaning of Religion? The revelation of the hidden and unknown power of this human body, and to know that infinite power of this human body is the religion.
Robert Tew|No matter how successful or great you become, never forget that you are nothing without the mercy of God.
Alan Kay|Normal is the greatest enemy with regard to creating the new. And the way of getting around this is you have to understand normal not as reality, but just a construct. And a way to do that, for example, is just travel to a lot of different countries and you'll find a thousand different ways of thinking the world is real, all of which are just stories inside of people's heads. That's what we are too. Normal is just a construct, and to the extent that you can see normal as a construct in yourself, you have freed yourself from the constraints of thinking this is the way the world is. Because it isn't. This is the way we are.
Rohan Kulkarni|The man that is meant to love you will have a million questions about you, but none will ever ask your value.
Abhijit Naskar|Emotion doesn’t arise from the dreams, rather your deepest emotion orchestrates your dream.
Evan Meekins, The Black Banner|it's through the simple things in life, through its games, when our minds mature the most and we grow knowledgeable. It's also when the cloth masks of our outer, false personalities are torn asunder, and we are able to see every last blemish of a man's genuine character that they hide beneath... no matter how dark or obscene it may be.
Nikki Rowe|When a woman is full of cockiness, I wonder what makes her so insecure. When a man is full of ego, I wonder what he's holding onto.
Shane L. Koyczan|You see, the deaf have an intimacy with silence. It’s there in their dreams.
Emily Maguire, Taming the Beast|That's what Jamie didn't understand: it was never just sex. Even the fastest, dirtiest, most impersonal screw was about more than sex. It was about connection. It was about looking at another human being and seeing your own loneliness and neediness reflected back. It was recognising that together you had the power to temporarily banish that sense of isolation. It was about experiencing what it was to be human at the basest, most instinctive level. How could that be described as just anything?
Judith Lewis Herman, Father-Daughter Incest: With a New Afterword|Since most sexual abuse begins well before puberty, preventive education, if it is to have any effect at all, should begin early in grade school. Ideally, information on sexual abuse should be integrated into a general curriculum of sex education. In those communities where the experiment has been tried, it has been shown conclusively that children can learn what they most need to know about sexual abuse, without becoming unduly frightened or developing generally negative sexual attitudes. In Minneapolis, Minnesota, for example, the Hennepin County Attorney's office developed an education program on sexual assault for elementary school children. The program was presented to all age groups in four different schools, some eight hundred children in all. The presentation opened with a performance by a children’s theater group, illustrating thedifference between affectionate touching, and exploitative touching. The children’s responses to the skits indicated that they understood the distinction very well indeed. Following the presentation, about one child in six disclosed a sexual experience with an adult, ranging from an encounter with an exhibitionist to involvement in incest. Most of the children,both boys and girls, had not told anyone prior to the classroom discussion. In addition to basic information on sexual relations and sexual assault, children need to know that they have the right to their own bodily integity.
George R.R. Martin, A Clash of Kings|The pale pink light of dawn sparkled on branch and leaf and stone. Every blade of grass was carved from emerald, every drip of water turned to diamond. Flowers and mushrooms alike wore coats of glass. Even the mud puddles had a bright brown sheen. Through the shimmering greenery, the black tents of his brothers were encased in a fine glaze of ice. So there is magic beyond the Wall after all.
Richard Feynman, Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character|She looked... She looked young, and- and--" I glanced down at Rossana gazing up at me, lips parted, eyes shining, her hair loose around her shoulders, and the next words I spoke were intended with no artifice at all. "She is almost as beautiful as you." There was laughter, and I looked up, confused. "If you wish to pay court to my daughter, Matteo, you must first speak to me," Captain dell'Orte said in mock severity. Rossana's face colored pink."Elizabetta is also very beautiful," I said quickly, thinking to cover any embarassment, but also because it was true. The adults roared with laughter. "Now Matteo seeks to woo both girls with one compliment.
Alan Kinross, Longinus the Vampire: Redemption|I couldn’t tear my eyes from the window, wanting to drink in as much of St. Louis as I could, knowing somewhere out there, one of those infinitesimally small lights was him. I wondered if he’d look up and see the planes crossing the sky like shooting stars, knowing one of those lights was me.
Hayao Miyazaki|Personally I am very pessimistic. But when, for instance, one of my staff has a baby you can't help but bless them for a good future. Because I can't tell that child, 'Oh, you shouldn't have come into this life.' And yet I know the world is heading in a bad direction. So with those conflicting thoughts in mind, I think about what kind of films I should be making.
John Grisham, The Client|The theory was simple: If a man had enough sense to accumulate a bunch of cash, then he would certainly make a worthy U.S senator.
Rachel Caine, Heat Stroke|[Jack] checked his watch, then returned to studying her back. damn if she didn't have a nice back, too - smooth, unblemished skin, nicely shaped vert
bell hooks, Feminism is for Everybody: Passionate Politics|Advancing the notion that there can be many "feminisms" has served the conservative and liberal political interests of women seeking status and privileged class power who were among the first group to use the term "power feminists." They also were the group that began to suggest that one could be feminist and anti-abortion. This another misguided notion. Granting women the civil right to have control over our bodies is a basic feminist principle. Whether an individual female should have an abortion is purely a matter of choice. It is not anti-feminist for us to choose not to have abortions. But it is a feminist principle that women should have the right to choose.
Savannah Stuart, Worth the Risk|She said her pack died."	"How?"	"She didn't say."	"And you didn't ask?" Thomas' gravelly voice was incredulous.	"It's complicated."	"I'll bet. You stink of sex. Is the reason you haven't asked because you haven't come up for air?
Jonathan Swift|Satire is a lesson, parody is a game.
Shilpi Somaya Gowda, The Golden Son: A Novel|In the context of today, this WAS heroism.
Jaeda DeWalt|Hullo!” said Merry. “So that’s what is bothering you? Now, Pippin my lad, don’t forget Gildor’s saying—the one Sam used to quote: Do not meddle in the affairs of Wizards, for they are subtle and quick to anger.” “But our whole life for months has been one long meddling in the affairs of Wizards,” said Pippin. “I should like a bit of information as well as danger. I should like a look at that ball.” “Go to sleep!” said Merry. “You’ll get information enough, sooner or later. My dear Pippin, no Took ever beat a Brandybuck for inquisitiveness; but is it this time, I ask you?” “All right! What’s the harm in my telling you what I should like: a look at that stone? I know I can’t have it, with old Gandalf sitting on it, like a hen on an egg. But it doesn’t help much to get no more from you than a you-can’t-have-it-so-go-to-sleep!” “Well, what else could I say?” said Merry. “I’m sorry, Pippin, but you really must wait till the morning. I’ll be as curious as you like after breakfast, and I’ll help you in any way I can at wizard-wheedling. But I can’t keep awake any longer. If I yawn any more, I shall split at the ears. Good night!
Nikki Rowe|You know who you are, he said- that intimidates boys but oneday a man will come along and value that exact part in you. - Wise words from my best friend.
Justina Chen, North of Beautiful|What we can't speak, we say in silence.
Gary Reilly, Home for the Holidays|Books most certainly don't write themselves, but life does. When in doubt about what to write, use your own life.
Tavi Gevinson|Kids all want to look cool, as if knowledge is a great burden, but they're always looking around. They remember.
Elizabeth George|Nothing is impossible, you simply just have to believe it.
J.W. Lord|One day there will be no more stars. There will be no more darkness. You see, light isn’t the absence of darkness. Darkness is the absence of light.
