Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
Sarah Addison Allen, First Frost|you're the fly on the wall hearing all, seeing allears of a wall hearing all the secretsperhaps you're the vines creeping over the old abandoned mansion wallsdusty, soulless and deadbringing a certain curious life to rubbleand I think you're the jewel-eyed geckosneaking around the warm summer wallsbetween jasmine and olive branchessticky pad toes, clinging to the wallspeeking in at lonely summer spicy love-makingthrough silk curtains from the bright orientbreathing in incense and tasting decadenceclimbing the sharply barbed wallsthe smooth cemented white-washed wallsbecause walls breathe too
Oliver Bowden, Assassin's Creed: Brotherhood|Laa shay'a waqi'un moutlaq bale kouloun moumkine' -the Wisdom of our Creed is revealed through these words - 'We work in the Dark, to serve the Light. We are Assassins.' --Machiavelli
Alan Moore|Just because it's something original, eccentric or you're not used to it; doesn't mean it's wrong.
Mary Crocker Cook, Codependency & Men|This dissociation from the body extends to emotional disengagement. Without access to his feelings a man can’t help but lose track of who he is, what his priorities are and what is normal for him.
Frank Beddor, ArchEnemy|It is supposed that power corrupts,' the caterpillar said in a voice as untroubled as time itself. "yet the powerful are often corrupt before they are powerful. In fact, I find that they too often become powerful by being corrupt. Whether real or perceived, a lack of power can also corrupt.
Hannah Arendt, The Origins of Totalitarianism|it means what it say," Ethel said. "It means that a Hebrew may not enslave a Hebrew. But the sons of Ham are not of that tribe. The were cursed, with black skin and tails. Where the Scripture condemns slavery, it is not speaking of negro slavery at all.
Unarine Ramaru|When your life flashes through your eyes make sure there is enough to see, until then work hard on your ambitions and live life to the fullest.
Henri J.M. Nouwen|Forgiveness is the name of love practiced among people who love poorly. The hard truth is that all people love poorly. We need to forgive and be forgiven every day, every hour increasingly. That is the great work of love among the fellowship of the weak that is the human family.
William C. Dietz, Halo: The Flood|Take a look around,” the instructor had advised. “Ask yourself if there’s anyone else who is better qualified to do the job. Not in the entire galaxy, but right there, at that point in time. If the answer is ‘yes,’ ask them to accept command, and do everything you can to support them. If the answer is ‘no,’ which it will be ninety-nine percent of the time, then take your best shot. That’s all any of us can do.
Scott Westerfeld, Goliath|No matter how far from the war we run, it always catches up with us.
Abhishek Bachchan|When you see a fashion show, you see those seven minutes of what was six months of tedious work of, you know, going up an inch and down an inch, changing it from one shade of red to another shade of red. So it's the same as any creative process. The result is what we see, but the process is really labor intensive and work.
Dale Carnegie|But my strength was in singing and songwriting, which was a new discovery for me when I was 18. And I decided if I pursued songwriting, which is what was closest to my heart, then there would be no competition. I would just live my life being myself and living my dream.
Betty Rollin|Scratch most feminists and underneath there is a woman who longs to be a sex object, the difference is that is not all she longs to be.
George Orwell, Shooting an Elephant|For it is the condition of his rule that he shall spend his life trying to impress the 'natives,' and so in every crisis he has got to do what the 'natives' expect of him... A sahib has got to act like a sahib; he has got to appear resolute, to know his own mind and do definite things.
Lauren Blakely, 21 Stolen Kisses|Everything is going as planned until I notice that Ashley has barely touched her wine glass or food after ordering the priciest bottle and several of the most expensive dishes on the menu.From "My Worst Valentine's Day.Ever: a Short Story
David Sedaris, When You Are Engulfed in Flames|I guess it goes to show that you just never know where life will take you. You search for answers. You wonder what it all means. You stumble, and you soar. And, if you’re lucky, you make it to Paris for a while.
Dag Solstad, Professor Andersen's Night|He couldn't imagine using the word 'rewarding' about a work of art - for instance that such and such a book has given me so much, taught me so much, etc etc. - but thought solely that it enlightened him, made him see, cynically and withough false expectations, so that he felt he was alive.
Peter  Rogers|Mozart liked to write letters while on the loo. He wrote, "I think it only fitting to write while shitting." This gave me the idea of, "I think it only fitting to read while ..." Who says men can't multitask?
J.R. Ward, Crave|I try to think up material that might apply to the subjects they are studying. How many mitochondria does it take to power a cell? One. Because mitochondria are the powerhouse of the cell. Not ready for prime time, that one.
Ishmael Reed, New and Collected Poems, 1964-2006|The grave casts long shadows, Iron Lord," Mirri said. "Long and dark, and in the end no light can hold them back.
John  Williams, Stoner|I dreamed of dying, long before my dreams have died.
Israelmore Ayivor, Become a Better You|To become a better you, secure your dreams from the jaws of people who discredit your ambitions.
Brenda Cothern, Fates|Instead of comparing our lot with that of those who are more fortunate than we are, we should compare it with the lot of the great majority of our fellow men. It then appears that we are among the privileged.
Al Franken|Over grown military establishments are under any form of government inauspicious to liberty, and are to be regarded as particularly hostile to republican liberty.
Kim Edwards, The Memory Keeper's Daughter|You were right," said the Master impressed by the neatness of Korovyov's work, "when you said: no documents, no person. So that means I don't exist since I don't have any documents.
Greg Kihn|In this book, much is metaphorical, not as it seems. It’s written for writing’s sake, as if I were to say, “Let me tell you I’m dying.” Well of course I am. So are you.
Sherman Alexie, The Absolutely True Diary of a Part-Time Indian|Chloe. Always Chloe with him and his brother. I know I sound like a whiny brat when I complain, but I think I have a good reason. I’d just discovered that I was a witch and my mother was a bitch—the murderous kind. I was now on the run with three kids who didn’t want me along.No matter how hard I tried to keep up and help out, the guys only cared about Chloe. If I ran in front of this bus to push her to safety, they’d race to her side to see if she was okay. Probably give me crap for bruising her when I shoved her out of the way.
Parul Wadhwa, The Masquerade|No matter how much you love someone, time heals your pain and your death wish.
Russell Banks, Lost Memory of Skin|In part. She sat down and pulled her necklace out of her shirt. "I read about it in my mother's journal. The Witches believe we are all parts of a whole. Like the phases of the moon. Together, we complete the circle and bring balance.
John Henry Mackay|Political rights do not originate in parliaments; they are, rather, forced upon parliaments from without. And even their enactment into law has for a long time been no guarantee of their security. Just as the employers always try to nullify every concession they had made to labor as soon as opportunity offered, as soon as any signs of weakness were observable in the workers’ organizations, so governments also are always inclined to restrict or to abrogate completely rights and freedoms that have been achieved if they imagine that the people will put up no resistance. Even in those countries where such things as freedom of the press, right of assembly, right of combination, and the like have long existed, governments are constantly trying to restrict those rights or to reinterpret them by juridical hair-splitting. Political rights do not exist because they have been legally set down on a piece of paper, but only when they have become the ingrown habit of a people, and when any attempt to impair them will meet with the violent resistance of the populace. Where this is not the case, there is no help in any parliamentary Opposition or any Platonic appeals to the constitution.
Ellen Bass, The Courage to Heal: A Guide for Women Survivors of Child Sexual Abuse|People don’t need to be forced to grow. All we need is favorable circumstances: respect, love, honesty, and the space to explore.
Liane Moriarty, Truly Madly Guilty|It was strange, because she always felt that she hid herself from Erika, that she was more 'herself' with her 'true' friends, where the friendship flowed in an ordinary, uncomplicated, grown-up fashion (emails, phone calls, drinks, dinners, banter and jokes that everyone got), but right now it felt like none of those friends knew her the raw, ugly, childish, basic way that Erika did.
Orhan Pamuk, My Name is Red|I think it is a good thing that the Trinity is confusing If it weren't, we wouldn't have the desire to learn more.
Catherynne M. Valente, Deathless|Marya Morevna, we are better at this than you are. We can hold two terrible ideas at once in our hearts. Never have your folk delighted us more, been more like family. For a devil, hypocrisy is a parlour game, like charades. Such fun, and when the evening is done we shall be holding our bellies to keep from dying of laughter.
John Halstead, Godless Paganism: Voices of Non-Theistic Pagans|The spiritual muscles I hadn't used for decades began to acquire some tone, and since they were Catholic muscles too, it was natural to look for a church to work out in.It was hard. Appalling though the predations exacted on the monastic liturgy were, they were nothing compared to the desecration exacted on the secular. Latin was gone entirely, replaced by dull, oppressive, anchorman English, slavishly translated from its sonorous source to be as plain and "direct" as possible. It didn't seem to have occurred to the well-meaning vandals who'd thrown out baby, bath, and bathwater that all ritual is a reaching out to the unknowable and can be accomplished only by the noncognitive: evocation, allusion, metaphor, incantation—the tools of the poet.
Michelangelo Buonarroti|As when, O lady mine,With chiselled touchThe stone unhewn and coldBecomes a living mould,The more the marble wastes,The more the statue grows.
Anurag Kashyap|True violence, not the kind you usually see in television or movies, touches something very deep and primal in people.
Terry Tempest Williams|It is really one of the most serious faults which can be found with the whole conception of democracy, that its cultural function must move on the basis of the common denominator. Such a point of view indeed would make a mess of all of the values which we have developed for examining works of art. It would address one end of education in that it would consider that culture which was available to everyone, but in that achievement it would eliminate culture itself.This is surely the death of all thought.This quote is taken from "The Artist’s Reality: Philosophies of Art" by Mark Rothko, written 1940-1 and published posthumously in 2004 by Yale University Press, pp.126-7.
Ben Okri|I said to the almond tree, 'Friend, speak to me of God,' and the almond tree blossomed.
Richelle E. Goodrich, Slaying Dragons|The soft heart is not a thing to harden but a treasure to protect. For soft hearts extend mercy, compassion, refuge, and God’s redemption to the world.
Megan Jacobson|He looks at houses, chateaus, forests, and thinks about the countless generations who used to see those things and who are gone now; and he understands that everything he is seeing is oblivion; pure oblivion, the oblivion whose absolute state will soon be achieved, the moment he himself is gone. And again I think about the obvious idea (that astoundingly obvious idea) that everything that exists (nation, thought, music) can also not exist.
Rube Goldberg, Inventions: The Legendary Works (A) of America’s (B) Most Honored (C) Cartoonist|Comfort me by a solemn Assurance, that when the little Parlour in which I sit at this Instant, shall be reduced to a worse furnished Box, I shall be read, with Honour, by those who never knew nor saw me, and whom I shall neither know nor see.
Patricia Engel, The Veins of the Ocean|...books give a man ideas, they make him want to live.
Ernest Agyemang Yeboah, Religion, Philosophy and life|It doesn’t matter how bitter or better the past has been, what we can do with the bitter or better past today is what matters.
Sunday Adelaja, The Mountain of Ignorance|Never misuse your God-given opportunities, it may be the path to fulfilling your destiny.
Archibald Marwizi, Making Success Deliberate|Around the world, the perception and reality of corruption and bad governance in public places remains very high. But it isn’t just in governments that these are found; they can permeate through society, where they are rampant in private enterprises and even religious institutions. We need to deal with the causes, not just consequences. You will need to play your role, both as a good example as well as part of the social police force. Cultures and beliefs must change at a personal level as well as at institutional levels.
Answers To Prayer|As frustrating as the battle for purity must be, I suppose it's easier if you've got company.
E.G|If you're not quite cognizant of your madness, then you're deliberately blindfolded to your supposedly fake reality
Dr. MaryAnn Diorio|A pure heart is a powerful heart." ~ Dr. MaryAnn Diorio
Ben Marcus, Notable American Women|Our body talks to us, not in a language that you speak but the language that you feel
Francis Bacon|Any film, or to me any creative endeavour, no matter who you're working with, is, in many cases, a wonderful experience.
Floyd Mayweather, Jr.|Suffering is the positive element in this world, indeed it is the only link between this world and the positive.
Daoud Hari|I know most people want others to have good lives, and, when they understand the situation, they will do what they can to steer the world back toward kindness. This is when human beings, I believe, are most admirable.
Benjamin E. Mays|You can go slow. Allow your dreams and goals to change, but live an intentional life.
A.T. Danielle|I'm the perfect girl. You read about me in Maxim or whatever. I tell dirty jokes like I'm one of the guys, and I'm sitting there in my panties and bra so you can see I'm a piece of ass in the bargain. Except I'm real, so I come with all kinds of complications.
Susane Colasanti, Take Me There|Six weeks is a long time to wait, and a still longer time for a girl to keep a secret…
Prem Prakash, The Yoga of Spiritual Devotion A Modern Translation of the Narada Bhakti Sutras|I've done everything. All of it. You think it, I've done it. All the things you never dared, all the things you dream about, all the things you were curious about and then forgot because you knew you never would. I did 'em, I did 'em yesterday while you were still in bed.What about you? When's it gonna be your turn?
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|Unless I understand the Cross, I cannot understand why my commitment to what is right must be precedence over what I prefer.
Marlon James|Where doest Thou feed Thy flock? In Thy house? I will go, if I may find Thee there. In private prayer? Then I will pray without ceasing. In the Word? Then I will read it diligently. In Thine ordinances? Then I will walk in them with all my heart. Tell me where Thou feedest, for wherever Thou standest as the Shepherd, there will I lie down as a sheep.
Georg Wilhelm Friedrich Hegel|The beauty of Maine is such that you can't really see it clearly while you live there. But now that I've moved away, with each return it all becomes almost hallucinatory: the dark blue water, the rocky coast with occasional flashes of white sand, the jasper stone beaches along the coast, the pine and fir forests somehow vivid in their stillness.
Gina Conkle, The Lady Meets Her Match|A woman on the verge of moral downfall ought to be well dressed. Claire's particular transgression was gartered to her thigh, a paper hidden by yards of silk. She walked through the empty alley, confident in one comforting truth: no one dared ask a lady what her skirts concealed...
Pico Iyer, The Art of Stillness: Adventures in Going Nowhere|One of the strange laws of the contemplative life," Thomas Merton, one of its sovereign explorers, pointed out, "is that in it you do not sit down and solve problems: you bear with them until they somehow solve themselves. Or until life solves them for you.
Karen Marie Moning|Sighing dismally, she acknowledged that some things just weren't humanly possible - not even Martha Stewart could fold fitted sheets.
Matshona Dhliwayo|If you have a spark of genius, kindle it until it becomes a flame.
Brandon R. Chinn, Second Stage|The best sci-fi stories use the fantastical to remind us of the reality of who we are today, the hope of who we may become tomorrow, and the shame of who we were yesterday.
Stanley Gazemba (Bahati Books)|Jamin knew that by morning, when he was done paying the girl in exchange for her slipping out without causing a fuss, he would be flat broke. But that did not matter. It was money well spent.
Michelle Horst, Wake Me Up|If you want more from life — start by counting your blessings instead of counting your losses, deficits and wants.
Abha Maryada Banerjee, Nucleus: Power Women: Lead from the Core|My 'Inner World' can only tap the GOODNESS in the World outside ! From within I see 'beauty', from within I see 'ugliness', from within I see 'divinity', from within I 'enjoy',from within I feel 'sadness' !It all starts from ME, goes all around and comes back to ME!!
Stevie Nicks|Thing is, I went to a born-again Christian high school, was brought up in a traditional Mormon family where these ideas about parenting are of structure and sacrifice. To think outside of that idea of family and parenting that I've grown up with is tough but also very freeing.
Lynne Rae Perkins, Criss Cross|I cried and cried. But then I had to stop. One thing about me was that when I was having a serious wish session, I tried never to wish impossible wishes. I might have wished for sixteen crayons instead of eight, but even when I was little, I never wished for a thousand crayons, because I knew a thousand different crayons did not exist. So on that forty-ninth day I did not wish Lynn could be alive again, because I knew she was gone.
Charles  Hart, The Phantom of the Opera: Piano/Vocal|Floating, falling, sweet intoxication. Touch me, trust me, savor each sensation. Let the dream begin, let your darker side give in to the power of the music of the night.
Rythmic Karma|My best advice to you is: Whatever you do, do NOT take my advice.
Rudyard Kipling, Collected Dog Stories|An envy of that one consummate partSwept me, who mock. Whether I laugh or weep, Some inner silences are at my heart.
Agus Harimurti Yudhoyono|Thus it is well to seem merciful, faithful, humane, sincere, religious, and also to be so; but you must have the mind so disposed that when it is needful to be otherwise you may be able to change to the opposite qualities. And it must be understood that a prince, and especially a new prince, cannot observe all those things which are considered good in men, being often obliged, in order to maintain the state, to act against faith, against charity, against humanity, and against religion. And, therefore, he must have a mind disposed to adapt itself according to the wind, and as the variations of fortune dictate, and, as I said before, not deviate from what is good, if possible, but be able to do evil if constrained.
Stuart Hazleton, Sexscopes: How to Seduce, Stimulate, and Satisfy Any Sign|If you can't have frank and honest discussions with your partner about sex, you'd better be damn good with your hands.
Poise|The pain of one-sided love, of knowing that I had loved her more than she had loved me
Sarah Dessen, Someone Like You|He wasn't what I'd thought he was; maybe he never had been. I wasn't what I'd thought I was, either.
William Kempe|Confusion of goals and perfection of means seems, in my opinion, to characterize our age.
François Jacob|What man seeks, to the point of anguish, in his gods, in his art, in his science, is meaning. He cannot bear the void. He pours meaning on events like salt on his food.
E.M. Forster|People keep saying someone should fix the system, the system is corrupt. What they don’t get is; they are the system. It’s just like how people hate McDonald’s and Coca Cola. People say they are evil corporations, terrorists and ruining the health of the future but then, how are these brands live and running all over the world, making billions of dollars of profit every day? People still buy it, that’s how. The majority of the world is people who know something is bad for them but keep consuming it. If it’s so bad for you, why buy it? If the system is so bad, why do they vote for it? It’s the people who need to change not the leaders.
Raymond Chandler, The Big Sleep|I didn't mind what she called me, what anybody called me. But this was the room I had to live in. It was all I had in the way of a home. In it was everything that was mine, that had any association for me, any past, anything that took the place of a family. Not much: a few books, pictures, radio, chessmen, old letters, stuff like that. Nothing. Such as they were, they had all my memories.
Marisha Pessl, Night Film|Within every elaborate lie, a kernel of truth.
David Benioff, City of Thieves|Laugh and the world laughs with you, snore and you sleep alone.
Steven Spielberg|It's not that diamonds are a girl's best friend, but it's your best friends who are your diamonds. It's your best friends who are supremely resilient, made under pressure and of astonishing value. They're everlasting; they can cut glass if they need to.
Amit Kalantri, Wealth of Words|Prudence is precaution, prudence is protection.
Allen Zadoff, Boy Nobody|Actions have consequences. Kids today don’t think about that. It’s like, ‘Hey, wouldn’t this be awesome?!’ Consequences? What are those?
Idries Shah, Seeker After Truth|Sufism is, in operation, pragmatic.
Brooks Adams|Very different from eros is philia, a serene love much more akin to friendship, with its reciprocal kindnesses. You love each other for the happy experiences and pleasures you share.
Lakshya Bharadwaj|Evil is appealing, evil is attractive, evil is stylish. However, evil is still evil and it deserves to be treated just like that.
Brooklyn Skye, Stripped|Lacing my fingers through his, I studied them. His fingers were so much longer than mine, and I envisioned what those fingers could do. And how long they would take to do it before they sent me over the edge. - Lacey
Gabrielle Zevin, Memoirs of a Teenage Amnesiac|A broken hand works, but not a broken heart.
Noureen DeWulf|When somebody listens and laughs, you're always in better shape than when you're with those folks who just kind of look at you when you say something funny. You wonder if they're looking at you because they're mad that they didn't say it or something. It's hard to handle that.
Robin Williams|What lies behind you and what lies in front of you, pales in comparison to what lies inside of you.
Charles Frazier, Cold Mountain|There in the highlands, clear weather held for much of the time. The air lacked its usual haze, and the view stretched on and on across rows of blue mountains, each paler than the last until the final ranks were indistinguishable from the sky. It was as if all the world might be composed of nothing but valley and ridge.
John F. Kennedy|"If the law supposes that " said Mr. Bumble  "the law is a ass  a idiot."
Sanhita Baruah|It's that feeling you get somehow knowing that something great is about to happen... about to happen. While every passing day nothing great really does happen. You wake up, go to classes, study, sleep and wait for another monotonous day.You know the great day is not tomorrow, not even the day after, not even in a week or a month's time. But it says it will come soon, the way you live your life, one day at a time, only to realize 20 years have elapsed effortlessly.It will come soon, the way you meet someone without expecting or knowing that you are going to have so much fun together. It will come soon, the way dreams come true overnight- demanding years of perspiration, ironically.It will come soon like a gush of cold air in a hot afternoon.It will come soon like a stranger you feel you have already met.It will come like a guest who would be here to stay.It will come like an eternity, a serendipity, an irony.It will come when it is time for it to come, the way you fall asleep and dreams arrive from a distant land, surely but stealthily.
Karl Marx, The Holy Family|„We are the embodiment of Life, we are born into this world as a result of a Miracle.
Deyth Banger|I feel his body pressed against mine. His heat burns against my flesh; searing, seducing. Permanently making it his.
Kylene Beers & Robert E. Probst, Notice & Note: Strategies for Close Reading|Literature enables us to see our world and ourselves more clearly, to understand our lives more fully.
Neil Gaiman, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|America was, to them, the place that good people went to when they died. They were prepared to believe just about anything could happen in America.
Cesare Pavese|We do not remember days, we remember moments.
Jeff Yeager, The Cheapskate Next Door: The Surprising Secrets of Americans Living Happily Below Their Means|Cheapskates...are too self-confident - and frankly too smart - to spend money on things they don't need and probably don't even want, simply to impress others or just because they can.
Tom Hardy|What is important is family, friends, giving back to your community and finding meaning in life.
Sarah J. Maas, A Court of Thorns and Roses|We need hope, or else we cannot endure.
Richard Feynman, The Character of Physical Law|The bridge between the electron and the other elementary particles is provided by the fine structure constant. ... An expanded form of the constant leads to equations that define the transformation of electromagnetic energy into electron mass/energy, ...
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Your world needs you. So, use your education to become endowed with muscles of iron and nerves of steel. Do not exploit the means of education to become a man or a woman. Use it to become a human being, in the pursuit of excellence.
Tamora Pierce|Not one word," Kel warned. "Tobe and I have reached an understanding." Neal's lips twitched. "Why do I feel you did most of the understanding.
Melanie Dickerson, The Huntress of Thornbeck Forest|I love you, Fitzwilliam Darcy--with all my heart.""And I love you, my dearest Elizabeth. Forever and ever.
Aleksandr Solzhenitsyn, The First Circle|There are instances, indeed, wherein men shew a vanity in resembling a great man in his countenance, shape, air, or other minute circumstances, that contribute not in any degree to his reputation; but it must be confess’d, that this extends not very far, nor is of any considerable moment in these affections. For this I assign the following reason. We can never have a vanity of resembling in trifles any person, unless he be possess’d of very shining qualities, which give us a respect and veneration for him. These qualities, then, are, properly speaking, the causes of our vanity, by means of their relation to ourselves. Now after what manner are they related to ourselves? They are parts of the person we value, and consequently connected with these trifles; which are also suppos’d to be parts of him. These trifles are connected with the resembling qualities in us; and these qualities in us, being parts, are connected with the whole; and by that means form a chain of several links betwixt ourselves and the shining qualities of the person we resemble. But besides that this multitude of relations must weaken the connexion; ’tis evident the mind, in passing from the shining qualities to the trivial ones, must by that contrast the better perceive the minuteness of the latter, and be in some measure asham’d of the comparison and resemblance.
Joan Didion|Never respect men merely for their riches, but rather for their philanthropy; we do not value the sun for its height, but for its use.
Ophelia T. Starks, Nightfall Academy|Maybe punching her enemy right in the nose wasn't the smartest way to get out of class, but it was definitely a much more entertaining way.
R.J. Anderson, Ultraviolet|It wasn't hard going to the gym, as long as he went as soon as he woke up, before he had time to think about not going. Those morning workouts made him feel like he was starting his day like a pinball, with a giant shot of momentum. The feeling sometimes didn’t wear off until six or seven at night (when it was usually overtaken by the feeling that he was just bouncing haplessly from one situation to the next without any real purpose or direction).
Jaime Rush|After everything I've been through, the last thing I'm going to apologize for is my paranoia.
Nick Hornby, High Fidelity|All my life I wanted to go to bed with an American, and now I had, and I'm beginning to see why people don't do it more often.
Timothy Ferriss|The important thing is to do good work, no matter what medium you do it in.
Irving M. Copi|I feel obligated to point out, though, that I have always been a sucker for ideas I find aesthetically pleasing. The cosmic sweep of the thing - an interstellar kula chain - affirming the differences and at the same time emphasizing the similarities of all the intelligent races in the galaxy - tying them together, building common traditions... The notion strikes me as kind of fine.
Michael Musto|Human love has little regard for the truth. It makes the truth relative, since nothing, not even the truth, must come between it and the beloved person.
Hugh Nibley, Approaching Zion|The genius of stable societies is that they achieve stability without stagnation, repetition without monotony, conformity with originality, obedience with liberty.
Marina G. Roussou|To Graduate from the "School of Life" you need to have met the following criteria: Found your life purpose, know how the egoic mind operates, detached yourself from the egoic mind, lived in essence, been in essence in relationships, overcame duality, trusted life, became awake, reprogrammed beliefs, handled anger, forgiven everyone, loved yourself, dealt with fears, overcome anger you had with God/you, cleared your emotional complexes & negativity, let go of the past, dealt with difficult relationships and mastered loving all creations of the universe.
Carson McCullers, The Heart is a Lonely Hunter|Today we are not put up on the platforms and sold at the courthouse square. But we are forced to sell our strength, our time, our souls during almost every hour that we live. We have been freed from one kind of slavery only to be delivered into another. Is this freedom?
Mar Mai, The Dragon Tutor|Ah, I do so love this charmingly rustic, elvin kingdom!-Baozhai
Robert K. Greenleaf, Servant As Leader|The Whites have carried to these (colonial) people the worst that they could carry: the plagues of the world: materialism, fanaticism, alcoholism, and syphilis. Moreover, since what these people possessed on their own was superior to anything we could give them, they have remained themselves... The sole result of the activity of the colonizers is: they have everywhere aroused hatred.
Bernie Glassman, The Dude and the Zen Master|By nature, it's impossible to describe enlightenment! How do you plan on sharing your enlightenment? Hahaha, that's impossible. Wake up! That'll be the end of the world if you ever succeed!
Ray Bradbury, Dandelion Wine|A good night sleep, or a ten minute bawl, or a pint of chocolate ice cream, or all three together, is good medicine.
John Irving, A Prayer for Owen Meany|This was not of the nature of a Christlike lesson for Owen Meany to learn, as he lay in the manger, that someone you hate can give you a hard-on.
Ed Begley, Jr.|I think I'm also more open to other writers being present and listening to other opinions, whereas before I was going through my angsty teen years while making records.
M.F. Moonzajer|This is one of those rare moments when, while doing that which it is one's duty to do, one feels something which disconcerts one, and which would dissuade one from proceeding further; one persists, it is necessary, but conscience, though satisfied, is sad, and the accomplishment of duty is complicated with a pain at the heart.
Ted Kosmatka, Portal 2: Lab Rat|Mutants, super beings, gods, aliens, a guy who sticks to walls at one extreme, a creature who eats planets at the other; Each one that comes into being, they feel, diminishes the rest of humanity, ordinary homo sapiens, that little bit more.
Carlos Ruiz Zafón, The Shadow of the Wind|After a while it occurred to me that between the covers of each of those books lay a boundless universe waiting to be discovered while beyond those walls, in the outside world, people allowed life to pass by in afternoons of football and radio soaps, content to do little more than gaze at their navels.
Thomas C. Foster, How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines|Literary works are not democracies. We hold this truth to be self-evident, that all men and women are created equal. We may, but the country of Novels, Etc., doesn't. In that faraway place, no character is created equal. One or two of them get all the breaks; the rest exist to get them to the finish line.
Alin Sav|Composing music changes nations, listening to music changes you.
H. Raven Rose, Shadow Selves: Double Happiness|This is your karma. You do not understand now, but you will understand later. The source of pain is within your own larger expression of being.
Nancy Levin, Worthy: Boost Your Self-Worth to Grow Your Net Worth|Accepting our greatness means no longer playing small. It often starts with baby steps. But eventually it means making major changes - in our lives, jobs, relationships, and dreams. If I had believed in my own self-worth, I would never have been willing to make the financial moves I made in the past. If I'd known my value, I couldn't have spent so many years ignoring the whispering - and sometimes screaming - voice that told me to leave my marriage. For a long time, that truth was just too scary and painful for me to face. Talk about keeping my head in the sand! But how many years did I waste, postponing what has proven to be a much better life - simply because I went into hiding and didn't see that I was worthy of something better?
Ruth Harris|The more hidden the venom, the more dangerous it is.
RVM|Life is a Treasure Hunt and we all have the key to it. Unfortunately, many of us don’t unlock it, but take the key to our grave.
Aristotle|Suppose you were an idiot, and suppose you were a member of Congress; but I repeat myself.
|Be careful with how you present yourself in the public, because most people will not hesitate to treat you in that exact manner.
Heather King, Parched: A Memoir|Was I being groomed for some special mission? What possible purpose could an existence like mine serve? When I wasn’t drinking in crappy bars, I was home by myself reading: a life that was achingly lonely, and yet perversely designed to prevent anybody from ever getting close enough to really know me.
Agatha Christie, The A.B.C. Murders|Crucial decisions are made, today as thousands of years ago, in terms of the intuitive guesses and preferences of a few men in positions of authority...[it is] quite likely that the fate of entire societies may be sealed by a series of avoidable mistakes committed by their leaders.
Jerry Spinelli, Love, Stargirl|Live today. Not yesterday. Not tomorrow. Just today. Inhabit your moments. Don’t rent them out to tomorrow. Do you know what you’re doing when you spend a moment wondering how things are going to turn out with Perry?You’re cheating yourself out of today. Today is calling to you, trying to get your attention, but you’re stuck on tomorrow, and today trickles away like water down a drain. You wake up the next morning and that today you wasted is gone forever. It’s now yesterday. Some of those moments may have had wonderful things in store for you , but now you’ll never know.
Geraldine McCaughrean, Peter Pan in Scarlet|Tell me a story,' demanded Fireflyer.'Why? Do you eat them, too, then?''Only the ohs and ayes and ees and oos. The Kays are too spikey and the zeds are too buzzzy and the ones with the dots get stuck in your teeth and the esses sometimes slide down inside your vest and tickle.
Kilroy J. Oldster, Dead Toad Scrolls|We may never pick up a paintbrush or sculpt a masterpiece, but each one of us—without exception—is an artist in our own way.
Faraaz Kazi|Trust is the base for all relations. If it breaks, then it’s not easy to rejoin. It’s very easy to say ‘I don’t trust you’, but the pain these words cause is immense.
Mark Twain|Herodotus says, "Very few things happen at the right time, and the rest do not happen at all: the conscientious historian will correct these defects.
Helen Keller|Although the world is full of suffering, it is full also of the overcoming of it.
Philip K. Dick|There were many human groups that did not go to war; the Eskimos never grasped the idea at all, and the American Indians never took to it well. But these dissenters were wiped out, and a cultural pattern was established that became the standard for the whole planet. Now it has become ingrained in us.
Douglas Pagels, 100 Things to Always Remember...and One Thing to Never Forget: Words to Live by and Wishes to Share|Life can be generous, but leaves us with a trilemma: How can we reconcile three diverse features: ‘I’, 'me' and the 'others'. Since the “I” entails what I want; the “me” what others expect of me and the “others” what others themselves want. The bridges between "individuality", “surroundings” and "otherness" can be abysmal and very often waiting to be restored. (“I am on my own side, but I can listen “ )
Ernest Hemingway|No tears in the writer, no tears in the reader
Eva Longoria|When a guy tells me I'm cute, it's not something desirable. Cute is more like what you want your pet to be.
Chitra Banerjee Divakaruni, Before We Visit the Goddess|She lifts her eyes, and there is Death in the corner, but not like a king with his iron crown, as the epics claimed. Why, it is a giant brush loaded with white paint. It descends upon her with gentle suddenness, obliterating the shape of the world.
Philip Roth, Operation Shylock: A Confession|Where everything is words, you'd think I'd have some mastery and know my way around, but all this churning hatred, each man a verbal firing squad, immeasurable suspicions, a flood of mocking, angry talk, all of life a vicious debate, conversations in which there is nothing that cannot be said...no, I'd be better off in the jungle, I thought, where a roar's a roar and no one is hard put to miss its meaning.
Manuel Castells, Communication Power|Look in the mirror. What you see there is what you get from others. When you smile, smile comes back to you. When you get angry, anger comes back to you. When you love, love comes back to you, when you hate, hatred comes back to you.That's very simple. You can make your life however you like by how you behave.
