Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Francis Collins|Mozart's music is like an X-ray of your soul - it shows what is there, and what isn't.
James M. Cain, Double Indemnity|I knew what it felt like to have no say in who you were as a sexual being. It didn’t just strip away your dignity. It stripped away everything you were: your identity, your self-respect, your pleasure. Because it was all about the pleasure of the other person take, take, taking whatever they wanted from you, even if it was uncomfortable, or caused you pain. Even if you died from it, the other person still wouldn’t care, because it was all about them.
Garth Ennis, The Boys, Volume 2: Get Some|We are unimportant creatures in this universe. We are all alone for the moment. Nobody has ever sent us any holy book or whatsoever. To survive in this universe we must first understand that nobody can help us, nobody but ourselves! To be important creatures in this universe means is to be able to shape this universe in such a way that our existence become everlasting!
Michael D. O'Brien, A Landscape with Dragons: The Battle for Your Child's Mind|The mind is powerful, and you have more control than you think.
Debasish Mridha|Build a relationship with your inner self, you will never feel alone.
Chelsea Handler|In the media age, everybody was famous for 15 minutes. In the Wikipedia age, everybody can be an expert in five minutes. Special bonus: You can edit your own entry to make yourself seem even smarter.
George M.   Gilbert, Team Of One: We Believe|The development of the “We Believe” philosophy must be real and not cosmetic. Everyone must buy in and understand that it is not a motivational tool, but rather something very personal that should be lived and that all must believe in order for true success to be achieved.
Arthur Golden, Memoirs of a Geisha|When a stone is dropped into a pond, the water continues quivering even after the stone has sunk to the bottom.
Paulo Coelho, The Alchemist|There are things done today in electrical science which would have been deemed unholy by the very man who discovered electricity, who would themselves not so long before been burned as wizards.
Becky Chambers|Nobody should be alone," Sissix said. "Being alone and untouched...there's no punishment worse than that. And she's done nothing wrong. She's just different.
Wataru Watari, やはり俺の青春ラブコメはまちがっている 1|The next time you find yourself getting angry, ask yourself: Is this really something I want to give my time and energy to? Will doing so make any positive impact? If your answer is no, consider redirecting that anger-energy as soon as possible! Find something to do that will feed your soul, fuel your fire, passion and creativity. Find something that will bring something new and positive to this world.
Theodore Zeldin|what a sad pair we are," she said. "Surely we can manage a conversation on a topic other than our respective terrible evenings.
Jo Nesbø, The Redeemer|The proverb warns that, 'You should not bite the hand that feeds you.' But maybe you should, if it prevents you from feeding yourself.
Dada Bhagwan|If the ‘effect’ is experienced, [karmic] bondage is created. If one experiences the ‘effects’ alone by himself, the [karmic] bondage will not be sticky. If he involves another person in it, the karmic bondage will be sticky.
Katie Taylor|Boxing should focus on pitting champion versus champion - those are the fights that everyone wants to see. The sports also needs to work on developing new heroes and personalities. I'd like to see more vignettes on fighters, focusing on their lives, goals and stories. Boxers need to be larger than life.
Henry Sweet|Language is the expression of ideas by means of speech-sounds combined into words. Words are combined into sentences, this combination answering to that of ideas into thoughts.
Joseph P. Kauffman, The Answer Is YOU: A Guide to Mental, Emotional, and Spiritual Freedom|We cannot learn if we are stuck in our mind’s conditioned way of thinking. We must be open to discovering the Truth, whatever it may turn out to be. This requires a state of openness, curiosity, and sincerity, a state of pure awareness, a state of observing reality without jumping to conclusions about what reality is. This state of direct experience is known in Zen as “beginner’s mind,” and it is essential to embody this state when we want to understand our experience.
Becky Wicks, Before He Was Famous|Ew. Can you not talk about my dad ogling people? Scarlett Johansson may be gorgeous, but still.”“It’ll be a challenge, but I think I can refrain from licking the screen,” Brendan deadpanned, placing the wine bottle on the coffee table next to the bowl of popcorn before settling into the chair where he’d been working on his computer ea
Sunday Adelaja, The Mountain of Ignorance|To be relevant, you must seek knowledge.
Naomi Watts|When I was a little boy I used to borrow my father's hat, and make a press card to stick in the hat band. That was the way reporters were always portrayed in the movies.
Hermann Hesse, Pictor's Metamorphoses and Other Fantasies|I thought I wanted caprice and fire, but it turns out that what I really want is someone who will wake me up early so I don't miss a sunrise.
Robert J. Sawyer|If the only option you leave poor people with is to resort to violence in order to survive, they’ll do just that. And there are lots more poor people in this world than there are rich ones.
Pico Iyer|Death undoes us less, sometimes, than the hope that it will never come.
Frank Herbert, Dune|[W]hile the use of non-lethal weapons such as tasers and LEDIs may not necessarily reduce the number of civilian casualties, they have been largely accepted as the humane alternative to deadly force because they make the use of force appear far less dramatic and violent than it has in the past.Contrast, for instance, the image of police officers beating Rodney King with billy clubs as opposed to police officers continually shocking a person with a taser. Both are severe forms of abuse. However, because the act of pushing a button is far less dramatic and visually arresting than swinging a billy club, it can come across as much more humane to the general public. This, of course, draws much less media coverage and, thus, less bad public relations for the police.
Dylan Anders Porter|You can set your mind to anything, just keep concentrating.
J. Wilbur Chapman|Anything that dims my vision of Christ, or takes away my taste for Bible study, or cramps my prayer life, or makes Christian work difficult, is wrong for me, and I must, as a Christian, turn away from it.
James Fredericks|Much of the vitality in a friendship lies in the honoring of differences, not simply in the enjoyment of similarities".
Paul Klobusicky|Destiny lies before, should we choose to pursue it
Christopher K. Abts|Th e average person spends much of his or her lifetime buildingfinancial security, but it can be lost, never to be regained. That’swhy you need to carefully assess your definition of financialsecurity and make sure it is realistic for the goals that you haveset. You can take the necessary steps to put that plan in place,and never lose that financial security, and to pass on your valuesand assets to the coming generations.
Nico J. Genes|I like nature and I enjoy walking through the forest admiring its beauty and breathing not just the fresh air but, also the quietness and peacefulness of the place. There I feel serene. I feel I am accepted just the way I am whenever I arrive and for as long as I stay. Yes, there it doesn’t matter how I look, what country I come from, if I am from rich or poor family, what is my education, income, religion, sexual orientation and color of skin. It doesn’t even care if my hair looks messy and whether I wear the latest fashion cloths.
Billy Graham, Billy Graham in Quotes|The heart symbolizes the center of our moral, spiritual, and intellectual life. It is the seat of our conscience and life.
Blake Crouch, Dark Matter|It's a troubling paradox - I have total control, but only to the extent I have control over myself.
Birgitte Hjort Sorensen|You have to get along with people, but you also have to recognize that the strength of a team is different people with different perspectives and different personalities.
John Madden|Sports has always been a pass-through. You pay for something, and then you pass it through to television, you pass it through to advertisers, or you pass it through to season-ticket holders, luxury boxes and then the fans. Then it all adds up, and you take in more than you pass out.
Pierce Brosnan|My dad used to hunt ducks, and my mom would put them in the pot. We lived really modestly. We had very little money.
Stefan Edberg|Who I was back then, when I started on 'One Tree Hill,' is so different from who I am now. Coming off Laguna, being 19 years old, and thrown into this odd, ridiculous spotlight, wasn't for me. There have always been haters, and people don't want to give you a chance or the benefit of the doubt, but this show gave me an opportunity.
K. Howard Joslin, Honest Wrestling: Questions of Faith When Attacked by Life|And all I could do while I listened to this dude tell me how punk rock saved his life was think, Wow. Why did my friend waste all that time going to chemotherapy? I guess we should have just played him a bunch of shitty Black Flag records.
Kristan Higgins|I love all kinds of movies. I love a really good comedy and not the cheesy ones. My parents hate this, but I love horror films. Those are my favorite, and of course, dramatic roles. I'm really drawn to those as well. All different genres.
Peter Ackroyd, Albion: The Origins of the English Imagination|A letter from a French cleric to Nicholas of St. Albans, written c. 1178, rehearsed what was already a familiar perception: Your island is surrounded by water, and not unnaturally its inhabitants are affected by the nature of the element in which they live. Unsubstantial fantasies slide easily into their minds. They think their dreams to be visions, and their visions to be divine. We cannot blame them, for such is the nature of their land. I have often noticed that the English are greater dreams than the French.
Moriah McStay, Everything That Makes You|If a fight looks like a lot of fun, you should be suspicious. 'If you ain't scared of standing up for what's right, you ain't standing up for much.
Karen Salmansohn|It is not that I don't have a fear of sharks, it is that I have a respect for them, so that I know any more than if I were to go into the jungle, I would have a fear of tigers, that I would try to lower the odds.
Ayn Rand, Atlas Shrugged|Man’s life is the standard of morality, but your own life is its purpose . If existence on earth is your goal, you must choose your actions and values by the standard of that which is proper to man—for the purpose of preserving, fulfilling and enjoying the irreplaceable value which is your life.
Robinson Jeffers, The Selected Poetry|You have perhaps heard some false reportsOn the subject of God. He is not dead; and he is not a fable. He is not mocked nor forgotten--Successfully. God is a lion that comes in the night. God is a hawk gliding among the stars--If all the stars and the earth, and the living flesh of the night that flows in between them, and whatever is beyond themWere that one bird. He has a bloody beak and harsh talons, he pounces and tears--And where is the German Reich? There alsoWill be prodigious America and world-owning China. I say that all hopes and empires will die like yours;Mankind will die, there will be no more fools; wisdom will die; the very stars will die;One fierce life lasts.
Kenneth Koch|The poet is at the edge of our consciousness of the world, finding beyond the suspected nothingness which we imagine limits our perception another acre or so of being worth our venturing upon.
Fred G. Gosman|The family teaches us about the importance of knowledge, education, hard work and effort. It teaches us about enjoying ourselves, having fun, keeping fit and healthy.
Judy Schachner, Skippyjon Jones|October—You were sleeping so peacefully that I was loath to wake you. Duke Torquill, after demanding to know what I was doing in your apartment, has requested that I inform you of his intent to visit after ‘tending to some business at the Queen’s Court.’ I recommend wearing something clinging, as that may distract him from whatever he wishes to lecture you about this time. Hopefully, it’s your manners.You are truly endearing when you sleep. I attribute this to the exotic nature of seeing you in a state of silence.—Tybalt
Vivienne Westwood|Whenever I think of the high salaries we are paid as film actors, I think it is for the travel, the time away, and any trouble you get into through being well known. It's not for the acting, that's for sure.
Denis Villeneuve|To avoid the trap of Europe fragmenting on the economy, security, and identity, we have to return to the original promises of the European project: peace, prosperity and freedom. We should have a real, adult, democratic debate about the Europe we want.
Ambrose Bierce|Revolution, n. In politics, an abrupt change in the form of misgovernment.
Alex Avrio, The Alchemist's Box|War is not an art, boy. Send a hundred men over a hill and know that they won’t make it. Hold a drummer boy, cut open from groin to neck, guts spilling out as he cries for his mother, telling him it’s going to be all right. Make him believe you. Be his commanding officer, his god. Let him let his guard down and be kind enough to snap his neck. War is butchery. And I am the better butcher.
Kristen Crockett, The Gift of Past Relationships|If you expect honesty, be honest. If you expect forgiveness, forgive. If you expect a whole person, you have to be a whole person.
Kay Redfield Jamison|When you get to your mid-20s, you start to feel responsibilities for the things that you do and the people around you. It's a cool age.
Edward Abbey, Postcards from Ed: Dispatches and Salvos from an American Iconoclast|[I]t is the writer's duty to write fiction which promotes virtue, the good, the beautiful, and above all, the true. ... It is the writer's duty to hate injustice, to defy the powerful, and to speak for the voiceless. To be ... the severest critics of our own societies.
Henry Petroski|Research has shown that it takes 31 days of conscious effort to make or break a habit. That means, if one practices something consistently for 31 days, on the 32nd day it does become a habit. Information has been internalised into behavioural change, which is called transformation.
Kate Seredy, The Chestry Oak|All we know, Midnight. The best of all we know. For Chestry Valley and its master we loved. For Nana. For Sugarloaf and Brimstone Farm. For Pop and Mom and Tom. For the foals to come. For yesterday and for all tomorrows, we dance the best we know. For good-by.
Carl Sandburg|A society should never become like a pond with stagnant water, without movement. That's the most important thing.
Richelle E. Goodrich, Slaying Dragons|Love by the sweat of thy brow.Not through whispered words of hollow sound or lofty dreams ne’er substance bound that more than oft do run aground. Nay, love with mighty, blistered hands that turn the soil and carve the land. A bearer of toil and golden band. Be strong! A founder of the feast! Protective knight who slays the beast! For promises and vows aloud are naught but wispy veneer shroud like cobwebs, frail, the airy words and wooing fail. So work, my darling. Toil as proof. Thy loyal heart be drained of youth and yet beat on, incessant sound. Both feet take root within the ground, and service be thy kingly crown.Love by the sweat of thy brow.
Alexander Chase|I think everything worked out the way it was supposed to. Mark's happier. I'm sober. There are still phone calls to be made, people I need to say something to. But everyone from Creed who I've offended or hurt, I ask for their forgiveness.
Jennifer Lowery, Taking Chances|He sucked in a breath, his head snapping back from hers. Groaning as he filled her, she arched her back against him, her nipples stroking his chest with the movement. They weren't going to make it to the living room. "Wall or floor?" he managed.
John Calvin, Institutes of the Christian Religion, 2 Vols|It would behoove you to have your thesis finely tuned and the logical arguments utilized in support of it tightly woven into a credible, and creatively persuasive tapestry.
Ursula K. Le Guin, The Farthest Shore|If the rowan's roots are shallow, it bears no crown.
Greg  Gordon, The Following of Christ|We contract with them.”“And demons –”“Are one of those group.”“Like, from Hell?”“Sometimes. And sometimes from Park Avenue.
Fergie|If you embrace 'positive thinking,' you are - by definition - spurning 'negative thinking.' So it's as if you were on a teeter-totter and are trying desperately to put all your weight on one side - the 'positive thinking' side.
Dries van Noten|In the design process, there's a need to be culturally comprehensive.
George Foreman|They'll take everything, even your tears.
Criss Jami, Diotima, Battery, Electric Personality|Every student, Shadowhunter and mundane alike, knew the name Herondale. It was Jace’s last name. It was the name of heroes.
Mokokoma Mokhonoana|If you reconnect with nature and the wilderness you will not only find the meaning of life, but you will experience what it means to be truly alive.
Marcel Proust, Swann's Way|She observed the dumb-show by which her neighbour was expressing her passion for music, but she refrained from copying it. This was not to say that, for once that she had consented to spend a few minutes in Mme. de Saint-Euverte's house, the Princesse des Laumes would not have wished (so that the act of politeness to her hostess which she had performed by coming might, so to speak, 'count double') to shew herself as friendly and obliging as possible. But she had a natural horror of what she called 'exaggerating,' and always made a point of letting people see that she 'simply must not' indulge in any display of emotion that was not in keeping with the tone of the circle in which she moved, although such displays never failed to make an impression upon her, by virtue of that spirit of imitation, akin to timidity, which is developed in the most self-confident persons, by contact with an unfamiliar environment, even though it be inferior to their own. She began to ask herself whether these gesticulations might not, perhaps, be a necessary concomitant of the piece of music that was being played, a piece which, it might be, was in a different category from all the music that she had ever heard before; and whether to abstain from them was not a sign of her own inability to understand the music, and of discourtesy towards the lady of the house; with the result that, in order to express by a compromise both of her contradictory inclinations in turn, at one moment she would merely straighten her shoulder-straps or feel in her golden hair for the little balls of coral or of pink enamel, frosted with tiny diamonds, which formed its simple but effective ornament, studying, with a cold interest, her impassioned neighbour, while at another she would beat time for a few bars with her fan, but, so as not to forfeit her independence, she would beat a different time from the pianist's.
Clare Bell, Ratha's Courage|Real courage is being kind again, after you've felt that your kindness was thrown in your face. To risk it once more, or even twice more takes a special strength.
C.J. Redwine, Deception|I reach up and pat them both on the head. "Poor things. If you had a boy that looked like Logan, you'd be kissing him every chance you had, too.
Ursula K. Le Guin, The Farthest Shore|He said after a little while, 'I see why you say that only men do evil, I think. Even sharks are innocent, they kill because they must.' 'That is why nothing can resist us. Only one thing in the worl can resist an evil-hearted man. And that is another man. In our shame is our glory. Only our spirit, which is capable of evil, is capable of overcoming it.
Jennifer Arnett, Day One: A Novella|The mind is weak, and it must be mastered, controlled. The body, it knows no master save for instinct and, unfortunately, it is built for terminal suffering.
Lynna Kivela, My Sociopath: From Sociopath Parents to Loving Sociopaths to Waking Up|Narcissism: It's Primal. No Productive Control of Energy: Seeks constant fresh sources of stimulation and is highly energized running from human-object to human-object, activity to activity, but does not accomplish anything and never evolves or learns from activities and the many people recycled through.
Ahmed Zewail|My day job may be exhausting, but cooking is my peace. My dream is to have a big family with lots of grandkids. And we'll get together every Sunday for a hearty dinner at our house, and we'll all live in flavorful bliss, happily ever after.
J.M. Coetzee, Foe|In a world of chance is there a better and a worse? We yield to a stranger's embrace or give ourselves to the waves; for the blink of an eyelid our vigilance relaxes; we are asleep; and when we awake, we have lost the direction of our lives. What are these blinks of an eyelid, against which the only defence is an eternal and inhuman wakefulness? Might they not be the cracks and chinks through which another voice, other voices, speak in our lives? By what right do we close our ears to them? (Susan Barton)
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|To withhold words is power. But to share our words with others, openly and honestly, is also power.
Eleanor Brown, The Weird Sisters|Instead, we'd do what we always did, the only thing we'd ever been dependably stellar at: we'd read.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|WHAT IS TRUTH?Truth is not a thingOr a concept.It is as multidimensionalIn its meaningAs it is in its reflection.It is both invisibleAnd visible.It carries tons of weight,But can be carried.It is understood first through the spiritBefore science,And felt in the heart,Before the mind.Truth is not always heard by reason,Because reason sometimesIgnores Truth.Always listen to your conscience.Your conscience is your heartAnd reason is your mind.Your mind is simply there to reasonWith your heart.But remember,Truth is in your heart,And only through your heartCan you connect to the light of God.He who is not motivated by his heartWill not see Truth,And he who thinks only with his mindWill be blind to Truth.He who does not thinkWith his conscience,Does not stand by God,For the language of lightCan only be decoded by the heart.He who reads and recites words of GodAlso does not stand by God –If he merely understandsWords with his mindBut not his heart.Truth is black and white,And the entire spectrumOf colors in-between.It can have many parts,But has a solid foundation.Truth lacks perfection,For it is the reflection of all,Yet its reflection as a whole,Is more beautifulThan the accumulated flawsOf the small.Truth is the only brandWorth breathingAnd believing.So stand for truthIn everything you do,And only thenDoes your life haveMeaning.Poetry by Suzy Kassem
Dion Boucicault|Men talk of killing time, while time quietly kills them.
Michael Richardson, Dedalus Book of Surrealism 2: The Myth of the World|Surrealism, then, neither aims to subvert realism, as does the fantastic, nor does it try to transcend it. It looks for different means by which to explore reality itself.
Dante Alighieri|If I ever reach heaven I expect to find three wonders there: first, to meet some I had not thought to see there; second, to miss some I had expected to see there; and third, the greatest wonder of all, to find myself there.
Marshall Vandruff|One reason that people have artist’s block is that they do not respect the law of dormancy in nature. Trees don’t produce fruit all year long, constantly. They have a point where they go dormant. And when you are in a dormant period creatively, if you can arrange your life to do the technical tasks that don’t take creativity, you are essentially preparing for the spring when it will all blossom again.
Michael Hayden|When the intelligence is making a policymaker too happy, he ought to challenge it, and even if he doesn't, the intelligence briefer needs to launch a red team against his own conclusions to see if he can hold his ground.
Scott  Gardiner, The Dominion of Wyley McFadden|Always smile , make everyone happy , It can change the way a day is going , even deep in your heart you are sad .
Seno Gumira Ajidarma, Ketika Jurnalisme Dibungkam Sastra Harus Bicara|People sometimes imagine that just because they have access to so many newspapers, radio and TV channels, they will get an infinity of different opinions. Then they discover that things are just the opposite: the power of these loudspeakers only amplifies the opinion prevalent at a certain time, to the point where it covers any other opinion.
Seth Adam Smith, Rip Van Winkle and the Pumpkin Lantern|Willpower, though important in its own way, is never enough. In order for you to be truly powerful, you must open up and trust in something beyond yourself—something you cannot prove for certain.
Shannon L. Alder|You can't turn love off like a light switch. If you could it wouldn't be love. It is something that you keep on, until the bulb burns out or someone replaces it.
Ellie Goulding|I'd like a male to listen to my music and find it kind of fascinating, what a girl goes through when they get heartbroken or get sad or get hurt by something.
Quammen, David|If you wish to view this as a cautionary tale, be my guest.
Ariel Winter|I would have to say the person with whom I am most in love is definitely my son, Everly Bear. Although I'm his dad, I'm also his friend.
Howard Jacobson, J|Their lips touched now, mouths pursed tight, their eyes open, both of them stock still. The moment held, a kind of such glorious confusion.
George Orwell|And if our book consumption remains as low as it has been, at least let us admit that it is because reading is a less exciting pastime than going to the dogs, the pictures or the pub, and not because books, whether bought or borrowed, are too expensive.
Kate Morton, The Forgotten Garden|You do me proud, Captain. But, dear, I want to say one thing and then I'm done; for you don't need much advice of mine after my good man has spoken. I read somewhere that every inch of rope in the British Navy has a strand of red in it, so wherever a bit of it is found it is known. That is the text of my little sermon to you. Virtue, which means honour, honesty, courage, and all that makes character, is the red thread that marks a good man wherever he is. Keep that always and everywhere, so that even if wrecked by misfortune, that sign shall still be found and recognized. Yours is a rough life, and your mates not all we could wish, but you can be a gentleman in the true sense of the word; and no matter what happens to your body, keep your soul clean, your heart true to those who love you, and do your duty to the end.
Mia Hamm, Go For the Goal: A Champion's Guide To Winning In Soccer And Life|But how a game plan came to be, what a finished plan looked like, I had no idea. I’d heard that all copies were shredded as soon as the game was over.
Matthew Haldeman-Time, Off the Record|Old Madame du Deffand and her friends talked for fifty years without stopping. And of it all, what remains? Perhaps three witty sayings. So that we are at liberty to suppose either that nothing was said, or that nothing witty was said, or that the fraction of three witty sayings lasted eighteen thousand two hundred and fifty nights, which does not leave a liberal allowance of wit for any one of them.
Pierce Brown, Morning Star|Robert Neville looked out over the new people of the earth. He knew he did not belong to them; he knew that, like the vampires, he was anathema and black terror to be destroyed. And, abruptly, the concept came, amusing to him even in his pain. ... Full circle. A new terror born in death, a new superstition entering the unassailable fortress of forever. I am legend.
Mark Twain|A big leather-bound volume makes an ideal razorstrap. A thing book is useful to stick under a table with a broken caster to steady it. A large, flat atlas can be used to cover a window with a broken pane. And a thick, old-fashioned heavy book with a clasp is the finest thing in the world to throw at a noisy cat.
Dee Brown|There's my education in computers, right there; this is the whole thing, everything I took out of a book.
Jenna Brooks, October Snow|When it was too late for rescue, it was still early enough for revenge.
Lauren Kate, Rapture|History can be rewritten, but at what cost?
Thomas Daniel Nehrer, Essence of Reality: A Clear Awareness of How Life Works|Simply put, the relative age of a philosophical perspective has nothing to do with its veracity. It is pure illusion to imagine that just because a view of life was held and put to words long ago, that it is more valid.
Thich Nhat Hanh, Living Buddha, Living Christ|We often think of peace as the absence of war, that if powerful countries would reduce their weapon arsenals, we could have peace. But if we look deeply into the weapons, we see our own minds- our own prejudices, fears and ignorance. Even if we transport all the bombs to the moon, the roots of war and the roots of bombs are still there, in our hearts and minds, and sooner or later we will make new bombs. To work for peace is to uproot war from ourselves and from the hearts of men and women. To prepare for war, to give millions of men and women the opportunity to practice killing day and night in their hearts, is to plant millions of seeds of violence, anger, frustration, and fear that will be passed on for generations to come. 
Abhijit Naskar, Prescription: Treating India's Soul|Get rid of your useless ceremonials and be educated like your ancient ancestors – Aryabhatta, Brahmagupta, Susruta and others. Make education your purpose of life and spread it among the masses.
S. Spencer Baker, Slabscape: Reset|mystery is not founded in ignorance, mystery is founded in imagination
Christopher Hitchens|I think it's child abuse to have someone in the public eye too young. Society basically values wealth and fame and power at the cost of well-being. In the case of a child, it's at the cost of someone's natural development. It's already hard enough to develop.
Nancy J. Cavanaugh, This Journal Belongs to Ratchet|A FriendSomeoneYou're happy to see,Who's happy to see you.SomeoneYou like for who they areNot just for what they can do for you.
Neal Shusterman, Red Rider's Hood|Fairy tales represent hundreds of years of stories based on thousands of years of stories told by hundreds, thousands, perhaps even millions of tellers.
Sunday Adelaja|While we as people of  God are certainly called to feed the hungry and clothe the naked, that whole "we're blessed to be a blessing" thing can still be kind of dangerous. It can be dangerous when we self-importantly place ourselves above the world, waiting to descend on those below so we can be the "blessing" they've been waiting for, like it or not.
Lorri Faye|Sometimes change isn't what we want, but it might be what we need. Not everything is meant to last forever.
Rollis Fontenot Jr, Growing Up When Times Were Simple|To Howard Goodkin, for the immense work he did in his short life so Hispanic children can stand tall and proud.
Mark Twain, Life on the Mississippi|Now and then we had a hope that if we lived and were good, God would permit us to be pirates.
Myles Horton, We Make the Road by Walking: Conversations on Education and Social Change|The seventeenth century is everywhere a time in which the state's power over everything individual increases, whether that power be in absolutist hands or may be considered the result of a contract, etc. People begin to dispute the sacred right of the individual ruler or authority without being aware that at the same time they are playing into the hands of a colossal state power.
Ernest Agyemang Yeboah, Distinctive Footprints of Life: Where Are You Heading Towards?|PATCHES' OF AUTHORITYPreteens Adhere, Teens Challenge, Hideout, Elderly ShunKamil Ali
Jack Gilbert|DuendeI can't remember her name.It's not as though I've been in bedwith that many women.The truth is I can't even rememberher face. I kind of know how strongher thighs were, and her beauty.But what I won't forgetis the way she tore openthe barbecued chicken with her hands,and wiped the grease on her breasts.
Joe Reyes, Aftermath|He doesn't trust people because he knows they are all the same. Everyone cares about their own survival and nothing else, just like him. Since he is more than willing to kill for it, so are they. After all, he has endured through all these years, leading him to be alone, it was the only conclusion that made sense.
Isaac Bashevis Singer|In war, you win or lose, live or die - and the difference is just an eyelash.
Cote de Pablo|Beauty does not linger; it only visits. Yet beauty's visitation affects us and invites us into its rhythm; it calls us to feel, think and act beautifully in the world: to create and live a life that awakens the Beautiful. A life without delight is only half a life.
Francis A. Schaeffer, How Should We Then Live? The Rise and Decline of Western Thought and Culture|You could string a hundred endless days together,My soul would find no comfort from this pain.You laugh at my tale? You may be educatedBut you haven’t learned to love till you’re insane
Joseph P. Kauffman, The Answer Is YOU: A Guide to Mental, Emotional, and Spiritual Freedom|Because we feel ourselves to be separate from the world in which we live, we have also grown to feel quite alone in this world. Our sense of loneliness and isolation not only makes us feel depressed and miserable, but it also causes us to be anxious and afraid of the world and everyone in it. Because of this inherent fear, we put up all kinds of barriers to protect us from the world—barriers that we have created to keep us safe, but that really end up making us feel more alone, more miserable, and more afraid, as they prevent us from being our natural selves.
Girdhar Joshi, Some Mistakes Have No Pardon|Jena took a seat on the sofa, and Cole found himself with another dilemma. Should he sit next to her or take the other chair? Such a decision shouldn’t feel momentous, but it did. It felt as momentous as a choice between the past and the future.	It felt like a choice between friendship and maybe more than friendship.	He sat next to her on the sofa.
Darynda Jones, The Dirt on Ninth Grave|The regular I both feared and salivated to see was names Reyes Farrow. Where others exuded aggression, deception, and insecurity, he literally dripped confidence, sex, and power. Mostly sex.
Arash Tabish|Something which is very much common in our society and our world at these days is that everyone worried and busy about stopping terrorism, let me to tell you that, Yes there is an easy way to stop Terrorism and that is by stop supporting terrorism, as we know everyone of us is responsible for our own future, we can make our future brighter or darker, we can make sure that we will have a peaceful future or a future full of problems and war, so we need to stop supporting terrorism and stop participating in it, cause we need to accept the fact that most of us from one way or another way supporting and participating terrorism so please stop supporting terrorism, Let's be positive and have hope for a better future and most important we need to refuse pick up guns and go war, remember we need to stay human cause i believe human Should not kill human. Let's refuse to pick up guns, go war and kill our fellow human beings.
Helen Fisher|A romantic or classical view of the French approach would have been to say, 'It's a French company; let no one attack it. Let's block any merger. But the reality is Alcatel-Lucent is not a French company; it's a global company. Its main markets are China and the U.S. Its ownership is foreign; most of its managers aren't French.
Danail Hristov, The End of the Jesus Era|Life continues even if no one has proven to us the shape and size of the Earth, even if no one has informed us about the composition of air and the depth of sky.We will not float in weightlessness simply because we have not read the lesson on gravity.
Mark Waid, Daredevil, Volume 7|Though death might still the show, life would be the most critiqued act of our existence. Own your stage.
Jandy Nelson, I'll Give You the Sun|People die, I think, but your relationship with them doesn't. It continues and is ever-changing.
Sōseki Natsume|People may make fun of me because I’m wearing something odd, but it’s still good to be alive.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Handshakes, Hugs & Other Touching. Learning how to touch appropriately can elevate your presentation, demonstrate respect, and convey confidence.
Craig Johnson|Way back before you were born, Calla and Persephone and I were messing around with things we probably shouldn't have been messing around with--""Drugs?""Rituals. Are you messing around with drugs?""No. But maybe rituals""Drugs might be better.
Brandon Sanderson, Firefight|What a boon to live on the water! Such delicious shades and hues! This is a template worthy of the greatest painters. The textures of sand and stone could inspire incomparable sculptures, and the sounds - the steady lapping of the waves, the sweet chirping of the birds, make this a sanctuary.
Xavier de Maistre, Journey Around My Room and a Nocturnal Expedition Around My Room|Ephemeral spectator of an eternal spectacle, man raises for a second his eyes to Heaven, and closes them for ever; but, during that rapid second that is granted to him, from all the quarters of Heaven, and from the outer limits of the Universe, a consoling ray darts from each world and meets his eyes, to announce to him that some connection exists between him and infinity, and that even he is linked to eternity.
Richard Rohr, Falling Upward: A Spirituality for the Two Halves of Life|Life is all about practicing for heaven." p 101.
Helmut Kohl|If I'm lucky, in my wildest dreams I can make a picture every three years.
Ron White|You need a good, healthy diet - it's about finding out what your body needs. Sugar is a disaster for skin, as is white flour.
Haruki Murakami, Kino|Sovereignty, loyalty, and solitude.
Debasish Mridha|Let it go with love, you will never lose anything.
Neil Patrick Harris|Too many leaders are so caught up in the momentum of work that they lose sight of the opportunity to connect with people. I discovered that the more fully present I was with other people, the more fully present they were with me, and the more productive our relationship became over time.
Jane Austen, MANSFIELD PARK By Jane Austen (illustrated) Original Version: 1814 (illustrated) Original Version By Jane Austen|I do not know where the error lies. I do not pretend to set people right, but I do see they are often wrong.
Emily Giffin|You are a Lightwood," Cecily said. "You stayed because you were loyal to your family name. It is not cowardice.""Wasn't it? Is loyalty still a commendable quality when it is misdirected?"Cecily opened her mouth, then closed it again. Gabriel was looking for her, his eyes shining in the moonlight. He seemed genuinely desperate to hear her answer. She wondered if he had anyone else to talk to. She could see how it might be terrifying to take one's moral qualms to Gideon; he seemed so staunch, as if he never questioned himself in his life and would not understand those who did."I think," she said, choosing her words with care, "that any good impulse can be twisted into something evil. Look at the Magister. He does what he does because he hates the Shadowhunters, out of loyalty to his parents, who cared for him, and who were killed. It is not beyond the realm of understanding. And yet nothing excuses the result. I think when we make choices-for each choice is individual of the choices we have made before-we must examine not only our reasons for making them but what result they will have, and whether good people will be hurt by our decisions.
Virginia Woolf, A Room of One's Own|You cannot, it seems, let children run about the streets. People who have seen them running wild in Russia say that the sight is not a pleasant one.
