Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
J.R. Ward, Lover Mine|Ride?" Rhage snorted. "Please. That thing is a sewing machine with an air dam taped to it. My GTO could dust the fucker in fourth gear from a dead stop."When there was an odd sound from behind, John looked back. So did the three Brothers. "What." Xhex bristled and crossed her arms over her chest. "I can laugh, you know. And that's . . . pretty damn funny." Rhage beamed. "I knew I liked you.
Sumantra Ghoshal|The truly effective managers we've observed are purposeful, trust in their own judgement, and adopt long-term, big-picture views to fulfill personal goals that tally with those of the organization as a whole. They break out of their perceived boxes, take control of their jobs, ...
Brandon Sanderson, The Final Empire|There were a group of people before the Ascension known as the Astalsi. They claimed that each person was born with a certain finite amount of ill luck. And so, when an unfortunate event happened, they thought themselves blessed—thereafter, their lives could only get better.
Darrell Calkins|There are some things that don’t function as one would assume. For example, the impulse and linear thinking associated with the search for happiness most often produce questions like, “What’s in it for me?” or “How do I get what I want?” Paradoxically, if you will, that very question pushes authentic happiness away. Now, to try to explain that to someone in such a way that they hear and are interested by the idea is going to probably involve some paradox and non-linearity.
Marie de France|For years I've wanted to write about the Australian countryside, but, like most Australians, I've only got a tourist's knowledge of it. I thought that if I disobeyed that basic rule of writing - write about what you know - I'd write a thin and inauthentic book.
Marty Strange|We are social beings who make communities with an urgency, and it is a stern charge to make us take refuge in the lonely world of oneself. ...Racism attempts to occlude our cosmopolitanism (of the songs in and out of our bones), and it often appropriates our mild forms of xenophobia into its own virulent project. Difference among peoples is something that we negotiate in our everyday interactions, asking questions and being better informed of our mutual realities. To transform difference into the body is an act of bad faith, a denial of our shared nakedness.
Kenneth Roberts, Oliver Wiswell|What I speak and express is what, that does not even belong to me.
Robert  Black|People need new things to excite them, new inventions, new ideas, new art, new drugs, if there are no new things, then they resort to war
Asti Hustvedt, The Decadent Reader: Fiction, Fantasy, and Perversion from Fin-de-Siècle France|In the end, this volume should be read a s a collection of love stories, Above all, they are tales of love, not the love with which so many stories end – the love of fidelity, kindness and fertility – but the other side of love, its cruelty, sterility and duplicity. In a way, the decadents did accept Nordau's idea of the artist as monster. But in nature, the glory and panacea of romanticism, they found nothing. Theirs is an aesthetic that disavows the natural and with it the body. The truly beautiful body is dead, because it is empty. Decadent work is always morbid, but its attraction to death is through art. What they refused was the condemnation of that monster. And yet despite the decadent celebration of artifice, these stories record art's failure in the struggle against natural horror. Nature fights back and wins, and decadent writing remains a remarkable account of that failure.
Hanne Ørstavik, Like sant som jeg er virkelig|A sheep without a shepherd, go astray.
P.G. Wodehouse, Jeeves and the Feudal Spirit|Love is a delicate plant that needs constant tending and nurturing, and this cannot be done by snorting at the adored object like a gas explosion and calling her friends lice.
J.R.R. Tolkien, The Two Towers|They were almond cookies, although they could have been made of spinach and shoes for all I cared. I ate eleven of them, right in a row. It is rude to take the last cookie.
Brittany Burgunder|Forgiving yourself, believing in yourself and choosing to love yourself are the best gifts one could receive.
Sarah Moore Fitzgerald, The Apple Tart of Hope|Oscar had a straightforward, dimpled, happy smile. It was one of the hundreds of great things about him.And after that we were best friends. It had been as simple and inevitable as the striking of a match.
Toba Beta, Master of Stupidity|Naive keeps on dreaming of heaven on earth,ignoring the truth that even heavens are at war.
Frederick Buechner, Secrets in the Dark: A Life in Sermons|I believe that whether we recognize him or not, or believe in him or not, or even know his name, again and again he comes and walks a little way with us along whatever road we're following. And I believe that through something that happens to us, or something we see, or somebody we know--who can ever guess how or when or where?--he offers us, the way he did at Emmaus, the bread of life, offers us new hope, a new vision of light that not even the dark world can overcome.
Glenn Greenwald|Terrorism': the word that means nothing, yet justifies everything.
Sarah Hepola|And when a man that old takes up money-hunting, it's like when he takes up gambling or whisky or women. He aint going to have time to quit.
Robert D. Kaplan, Earning the Rockies: How Geography Shapes America's Role in the World|America is a place of opportunity. It’s people-friendly! Very much so, compared to the Muslim countries in the world. People looking for better lives flock to America because we as a society do not mutilate young girls' genitals, do not cut off people’s hands for stealing. We do not stone people to death for committing adultery. We do not rape women and men for speaking up against our government. We do not forbid people to go to school and to learn because of their gender. We assume people are innocent until proven guilty. We give people the freedom to criticize our government and even burn our flag as an expression of speech. This is but a partial list of why America is superior in culture and values to many other countries in the world. This type of culture also thrives in Israel, the only Western-style nation in the Middle East, one that Arabs despise, feel threatened by, and vow to destroy.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Success and the pursuit of it can nourish your body, but only significance has the ability to nourish your mind, body and spirit.
Warren Ellis, Crooked Little Vein|Whence the possibility of an ideological analysis of Disneyland (L. Marin did it very well in Utopiques, jeux d'espace [Utopias, play of space]): digest of the American way of life, panegyric of American values, idealized transposition of a contradictory reality. Certainly. But this masks something else and this "ideological" blanket functions as a cover for a simulation of the third order: Disneyland exists in order to hide that it is the "real" country, all of "real" America that is Disneyland (a bit like prisons are there to hide that it is the social in its entirety, in its banal omnipresence, that is carceral). Disneyland is presented as imaginary in order to make us believe that the rest is real, whereas all of Los Angeles and the America that surrounds it are no longer real, but belong to the hyperreal order and to the order of simulation. It is no longer a question of a false representation of reality (ideology) but of concealing the fact that the real is no longer real, and thus of saving the reality principle.
Karen A. Baquiran|Living in the era of social media and dating apps, online dating is also a very popular dating method in England. It perfectly suits the English person’s superpower: being the invisible man or woman. They also like to keep their distance, and the internet is perfect for that. Also complimenting someone is easier online than offline; you don’t even have to say anything you just press a ‘like’ or a ‘wink’ button and that’s it; perfectly suitable for romantically retarded people.
Gordon Ramsay|I'm an afternoon tea type of girl. I come from a Russian background where we love our teas. So between lunch and dinner after training I come home and I love a nice cup of tea with jam in it, as we drink it there. Black English Breakfast with raspberry jam is my favorite.
Christine Marie Bryant|When you experience something, it actually widens your understanding about everything.
Nicolas Cage|Actors, their greatest tool, their greatest resource is imagination. You can take things, power objects, you can recruit your dreams, you can access your memories and get there. So the idea is not to act but to just be.
Thomas Jefferson|The justice I have received, I shall give back.
Benjamin Alire Sáenz, Aristotle and Dante Discover the Secrets of the Universe|Ah, well, then you've never stood on a beach as the waves came crashing in, the water stretching out from you until it's beyond sight, moving and blue and alive and so much bigger than even the black beyond seems because the ocean hides what it contains.
Kamand Kojouri|Classical music is the best, and cheapest, mind-altering drug in the world.
Robert Lynn Asprin, M.Y.T.H. Inc. in Action|Just a little off the top!"- A. Boleyn
Madhu Vajpayee, Seeking Redemption|was coming to that troubled twilight time, a time of regrets that resemble hopes, of hopes that resemble regrets, when youth is past but old age has not yet come.
Jeffrey Fry|Great leadership involves three things. The ability to realize when you are wrong, a willingness to learn from it, and an eagerness to change course if necessary.
Masashi Kishimoto|When I was young” … “Before I was twenty, I mean, I used to think that life was a thing that kept gaining impetus, it would get richer and deeper each year. You kept learning more, getting wiser, having more insight, going further into the truth” – she hesitated.Port laughed abruptly. – “And now you know it’s not like that. Right? It’s more like smoking a cigarette. The first few puffs it tasted wonderful, and you don’t even think of its ever being used up. Then you begin taking it for granted. Suddenly you realize it’s nearly burned down to the end. And then’s when you’re conscious of the bitter taste.
John Lennon|Outside of the cross of Jesus Christ, there is no hope in this world. That cross and resurrection at the core of the Gospel is the only hope for humanity. Wherever you go, ask God for wisdom on how to get that Gospel in, even in the toughest situations of life.
Otto von Bismarck|People are getting smarter nowadays; they are letting lawyers, instead of their conscience, be their guide.
Tom Stoppard|Everybody past a certain age, regardless of how they look on the outside, pretty much constantly dreams of being able to escape from their lives.
Julian Barnes, The Sense of an Ending|God is like a search engine — He is willing to answer your requests, but you must ask Him the right questions.
Neal Shusterman, Bruiser|No group-living nonhuman primate is monogamous, and adultery has been documented in every human culture studied- including those in which fornicators are routinely stoned to death. In light of all of this bloody retribution, it's hard to see how monogamy comes "naturally" to our species. Why would so many risk their reputations, families, careers- even presidential legacies- for something that runs against human nature? Were monogamy an ancient, evolved trait characteristic of our species, as the standard narrative insists, these ubiquitous transgressions would be infrequent and such horrible enforcement unnecessary. No creature needs to be threatened with death to act in accord with its own nature.
Richelle E. Goodrich|I am more optimistic, both about reading and about books. There will always be non-readers, bad readers, lazy readers – there always were. Reading is a majority skill but a minority art. Yet nothing can replace the exact, complicated, subtle communion between absent author and entranced, present reader.
Nicholas Stoller|To be a lone filmmaker thousands of miles from home with nobody believing in me, that seems romantic.
Jeroninio Almeida, Karma Kurry for the Mind, Body, Heart & Soul|Henry flopped onto his bed, and his steam leaked slowly out. He began telling himself a story in his head. It was about how just and kind and understanding he was. It was about right he had been, how necessary his tone and word choice. It was about a girl who just didn't understand, who was completely ignorant. Then, for some reason, the narrator of the story included an incident in which Henry ha pushed an envelope into a strange place just to see what would happen. It hadn't even been an accident. The incident did not fit with the rest of the story, so Henry tried to ignored it. He couldn't ignore it, so he tried to explain it. Completely different things. The post office was obviously not dangerous. It was yellow. I just wanted to see what the mailman would do. The flashlight was stupid. I didn't shine a flashlight into the post office. She didn't even act sorry. I would have acted sorry. I always act sorry when people get upset. She didn't even care that I probably saved her life. She didn't know. She was unconscious. Oh, shut up.
Laura Ingalls Wilder, Little Town on the Prairie|You can't teach in a vacuum. A good teacher relates the material to real life. You understand that, don't you?
Thich Nhat Hanh|The person who suffers most in this world is the person who has many wrong perceptions, and most of our perceptions are erroneous.
Toba Beta, My Ancestor Was an Ancient Astronaut|In the beginning..when ray and day hadn't yet come into existence at all, there was a kind of radiance that illuminates universe. That radiance is the light of knowledge and goodness. That radiance will persistently and consistently shines brightly even after all the stars and moons in this vast universe died out.
Emily Giffin, Something Borrowed|His words are like the sound of a needle dragging across a record. A sinking, sickening feeling washes over me. This is why you should never, ever get your hopes up. This is why you should see the glass as half empty. So, when the whole things spills, you aren't as devastated.
Roshan Sharma|The sensation that you experience in the body, is your spirit, but it’s so attached, that it’s hard to imagine, that the sensation can ever be separated from the physical body. In long hours of meditation, you can separate your sensation from the physical body.
Ben Elton, Blind Faith|Books are the key. A book cannot be accessed from afar. You have to hold it, you have to read it.
Jay Woodman|We don't want any relationship! we just need someone who listen us, who is ready to do anything for us without saying no. In short we just need one slave!
Kamand Kojouri|I write our names on the page.What of it, if the paper will be burned?I write our names in the sand.What of it, if the shore will be washed by waves?I write our names on trees that will be cutand benches that will be painted,but what of it?I will keep on writing our namesbecause in this world of ephemera, You and I are the only constant.
Criss Jami, Healology|Envy is a sign of insecurity, yes; but so is longing to be envied.
Jessica Verdi, My Life After Now|Capitalism is a social system owned by the capitalistic class, a small network of very wealthy and powerful businessmen, who compromise the health and security of the general population for corporate gain.
Ian K. Smith|For most of my 20s, I looked like I was 12. Now that I'm pushing 40, I guess I look closer to... 15? It must be my macrobiotic diet. Oh, wait, except that I don't have one of those.
Vince Molinaro, The Leadership Contract: The Fine Print to Becoming a Great Leader|So what are you going to do? Let your future be shaped by the injustices and cruelties of the past, or do you shape your own future? Do you walk down those mean streets without becoming mean yourself, or do you lie down and whimper? Victim of everyone, or the hero of your own story – those are your only choices.
I. Alan Appt, The Strength in Knowing|Excerpt from my lecture Sunday at Soul-Esteem Center10 Commandments - God knew when he gave us choice some would make the wrong choices, but God wanted his creation, man, to have free will and felt later it necessary to write the 10 Commandants as a reminder of how God wanted his creations to perform. The 10 Commandants contain 5 positives and five negatives
Victor Hugo, Les Misérables|About Anna Faktorovich's "Romances of George Sand": “What a read! Not lacking in action and very imaginative.
Tapan Ghosh, Faceless The Only Way Out|If it is logical, it’s not love.
Brennan Manning, The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out|The gospel declares that no matter how dutiful or prayerful we are, we can't save ourselves. What Jesus did was sufficient.
Angela Korra'ti, Faerie Blood|Geeks are not the world’s rowdiest people. We’re quiet and introspective, and usually more comfortable communing with our keyboards or a good book than each other. Our idea of how to paint theEmerald City red involves light liquor, heavy munchies, and marathon sessions of video games of the ‘giant robots shooting each other and everything else in sight’ variety. We debate competing lines of software or gaming consoles with passion, and dissect every movie, television show, and novel in the science fiction, fantasy, and horror genres.With as many of us as there are in this town, people inevitably find ways to cater to us when we get in the mood to spend our hard-earned dollars. Downtown Seattle boasts grandiose geek magnets, like the Experience Music Project and the Experience Science Fiction museum, but it has much humbler and far more obscure attractions too, like the place we all went to for our ship party that evening: a hole-in-the-wall bar called the Electric Penguin on Capitol Hill. 
Shannon Dicks|why shine as bright as the sun, when you can shine as bright as the moon and let the stars shine beside you
Stan The Man SA|We only get what we can deal with."The real voyage of discovery consists...in seeing with new eyes
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|The key to investing in yourself is being able to see your potential, not just your actual value. Being able to visualize your value demonstrates that you are already picking up the skills of a 3D thinker.
Justin Kanayurak|Once you hit rock bottom, that's where you perfectly stand; That's your chance of restarting, but restarting the right way.
Roy  Bennett|Believe in your heart that you're meant to live a life full of passion, purpose, magic and miracles.
Katharine Eliska Kimbriel|Maybe it ain't about others' mistakes,but only your need for someone to blame.
Robin Bielman, Keeping Mr. Right Now|You think everything revolves around Zane Hollander, don't you?""No. But I think your blush does.
Sara Niles, Torn From the Inside Out|You have to be grateful for the small things, when any minute might be your last.
Andrew Sullivan|I'm a writer by profession and it's totally clear to me that since I started blogging, the amount I write has increased exponentially, my daily interactions with the views of others have never been so frequent, the diversity of voices I engage with is far higher than in the pre-Internet age—and all this has helped me become more modest as a thinker, more open to error, less fixated on what I do know, and more respectful of what I don't. If this is a deterioration in my brain, then more, please."The problem is finding the space and time when this engagement stops, and calm, quiet, thinking and reading of longer-form arguments, novels, essays can begin. Worse, this also needs time for the mind to transition out of an instant gratification mode to me a more long-term, thoughtful calm. I find this takes at least a day of detox. Getting weekends back has helped. But if there were a way to channel the amazing insights of blogging into the longer, calmer modes of thinking ... we'd be getting somewhere."I'm working on it.
Drew Magary, The Postmortal|Think of (the Kingdom) like the sun. As it peeks through on a cloudy day, we do not say the sun has grown. We say, 'The sun has broken through.' Our view of the sun has changed, or obstacles to the sun have been removed, but we have not changed the sun.
Samual Rogers|It doesn't much signify whom one marries, for one is sure to find out the next morning that it was someone else.
Steven Spielberg|The clearest explanation for the failure of any marriage is that the two people are incompatible; that is, that one is male and the other female.
mary dohning hahn|Here,there,every where
Greg Grandin|It is already clear that, because of advances in technology, drones are going to play an increased role in warfare in the years ahead. It is therefore vital that the legal frameworks governing their use are robust and internationally recognised.
Debasish Mridha|To live a wonderful life, be curious and impregnate your thoughts with kindness, compassion, and pure love.
Chelsey Philpot|He was thirteen that year, the age when children splinter off and abandon the old loves.
Maddie Hample|I looked up at him, rain blending into my tears, ''Michael listen! You told me once that when you thought of life, you thought of this big ship in the middle of the sea and all the dangers and risks and stuff... but you also told me that love is a risk and that has to be treasured and shown in the brightest light. Well honey, love is apart of life. And if you're too afraid to risk loving me, than you won't have me, because the only thing I'll ever do is live.
Lauren Oliver, Delirium|It's only people, as far as we know, who look up at the stars and wonder what they are.
Raymond Chandler, The Long Goodbye|If she knew how beautiful love is, she would already put it in a box, seal, and preserve it.So she could smell it whenever she wants.
Alfred Tennyson|If I had spoken to him out loud, he would have understood the tragic fate of those who came back, left over, living dead. You must look at them carefully. Their appearance is deceptive. They are smugglers. They look like the others. They eat, they laugh, they love. The seek money, fame, love. Like the other. But it isn't true; they are playing, sometimes without even knowing it. Anyone who has seen what THEY have seen cannot be like the others, cannot laugh, love, pray, bargain, suffer, have fun, or forget. Like the others. You have to watch them carefully when they pass by an innocent-looking smokestack, or when they lift a piece of bread to their mouths. Something in them shudders and makes you turn your eyes away. These people have been amputated; they haven't lost their legs or eyes, but their will and their taste for life. The things they have seen will come to the surface again sooner or later. And then the world will be frightened and won't dare look these spiritual cripples in the eye.
Parna Chowdhury|When you shoot the arrows straight from your heart, it is bound to reach its target with a bull's eye and leave everlasting imprints ; raw and deep....
Helen Hunt Jackson|You know what it's like to wake up in the middle of the night with a vivid dream? And you know that if you don't have a pencil and pad by the bed, it will be completely gone by the next morning. Sometimes it's important to wake up and stop dreaming. When a really great dream shows up, grab it.
Dolly Parton|If you don’t like the road you’re walking, start paving another one.
Heather Demetrios, I'll Meet You There|My eyes roved over the walls covered with my collages and prints of famous paintings. Magritte, Kandinsky, Kahlo. My origami shapes hung from fishing wire, dangling over my bed. They shivered in the slight breeze blowing through my open window. It was my own little escape pod, but none of it was enough tonight.
Frédéric Gros, A Philosophy of Walking|Slowness means cleaving perfectly to time, so closely that the seconds fall one by one, drop by drop like the steady dripping of a tap on stone. This stretching of time deepens space. It is one of the secrets of walking: a slow approach to landscapes that gradually renders them familiar. Like the regular encounters that deepen friendship.
Darnell Lamont Walker|The relationship was perfect, but I hated everything about the person I became.
Fatima Sana Shaikh|What you start learning is that to get over a breakup, you kind of have to live through the emotions and not run away from it because then it lasts longer.
J. Milton Hayes|Poetry is plucking at the heartstrings, and making music with them.
Pete Earley, Crazy: A Father's Search Through America's Mental Health Madness|She herself had grown up without any one spot of earth being dearer than another: there was no center of earth pieties, of grave endearing traditions, to which her heart could revert and from which it could draw strength for itself and tenderness for others.
Beverly K. Bachel, What Do You Really Want?: How to Set a Goal and Go for It! A Guide for Teens|When going for your goals, staying motivated, enthusiastic, and flexible are daily deeds of daring.
J.K. Rowling, Harry Potter and the Half-Blood Prince|Isabelle," she said, lightening her tone with an obvious effort, "your loyalty to your friend is understandable --""He's not my friend." Isabelle looked over at Jace, who was staring at her in a sort of daze. "He's my brother.
Epictetus, Enchiridion|If a person gave your body to any stranger he met on is way, you would certainly be angry. And do you feel no shame in handing over your own mind to be confused and mystified by anyone who happens to verbally attack you?
Ansel Elgort|So few people read poetry. That's sad, isn't it?
Paige Tyler, Wolf Trouble|If life can remove someone you never wanted to lose, it can replace them with someone you never dreamed of wanting.
Israelmore Ayivor, The Great Hand Book of Quotes|Know who you are, then you can know where you can be! Choose your environment wisely; but be sure you know your dreams at first! When your dream seeds fall onto the soil with the best environmental factor, you will have a bumper harvest!
Joan Bauer, Close to Famous|Everything just feels so empty without her. She was more a parent to me than my birth parents were. She took me in, fed, dressed me, but most importantly, she treated me with respect. She taught me that my abilities were nothing to be ashamed of, nothing I should try so hard to deny. She convinced me that what I had was a gift-not a curse- and that I shouldn't let other people's narrow minds and fears determine how I love, what I do, or how I perceive myself in the world. She actually made me believe that in no way, shape, or form did their uninformed opinions make me a freak.
Sandra Cisneros|But if you can create an honorable livelihood, where you take your skills and use them and you earn a living from it, it gives you a sense of freedom and allows you to balance your life the way you want.
Lee Strobel, The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God|If it's true there's a beginning to the universe, as modern cosmologists now agree, then this implies a cause that transcends the universe. If the laws of physics are fine-tuned to permit life, as contemporary physicists are discovering, then perhaps there's a designer who fine-tuned them. If there's information in the cell, as molecular biology shows, then this suggests intelligent design. To get life going in the first place would have required biological information; the implications point beyond the material realm to a prior intelligent cause. -Stephen C Meyer, PHD
Mads Mikkelsen|The more I travel around the world, the more I see people want the same thing - to be happy. We wouldn't be in a monetary system if we didn't have to work, so if my music can contribute to happiness, then that's my main responsibility.
Bible Verses|How beautiful on the mountains are the feet of those who bring good news, who proclaim peace, who bring good tidings, who proclaim salvation, who say to Zion, "Your God reigns!"Isaiah 52:7
T.S. Eliot|What if evil doesn't really exist? What if evil is something dreamed up by man, and there is nothing to struggle against except out own limitations? The constant battle between our will, our desires, and our choices?
A.A. Frias, The Heaven Corporation|It is difficult to have faith when our hearts are consumed by fear, but it is when we are afraid that we need to hang onto our faith the most.
Steve Maraboli|Teachers should be made aware of visual stress symptoms and the potential difference coloured lights, overlays and lenses could make to a learners perception.
Shannon L. Alder|With dark raven paper and twinkling white ink, I wrote my heart in the night’s sky.
Faruk DML|The essential ingredients of these struggles for justice are human beings who, if only for a moment, if only while beset with fears, step out of line and do "something", however small. And even the smallest, most unheroic of acts adds to the store of kindling that may be ignited by some surprising circumstance into tumultuous change.
Orson Scott Card, Shadow Puppets|I believe in justice, as long as I'm holding a knife at the throat of the judge.
Israelmore Ayivor, Shaping the dream|Plan the number of hours each day you’ll spend on your dreams, the kind of people you’ll love to connect with, the amount of capital you’ll want to invest and the sources of help you are required to get. Make a plan.
Debasish Mridha|Wisdom gives you the ability to chose what is right.In the darkness of hate and ignorance, it is the light.
Debasish Mridha|Until you know how to change yourself for the better, you cannot change others.
Haruki Murakami, After Dark|I had gone...to the smoke of cafes and nights when the room whirled and you needed to look at the wall to make it stop, nights in bed, drunk, when you knew that that was all there was, and the strange excitement of waking and not knowing who it was with you, and the world all unreal in the dark and so exciting that you must resume again unknowing and not caring in the night, sure that this was all and all and all and not caring. Suddenly to care very much and to sleep to wake with it sometimes morning and all that had been there gone and everything sharp and hard and clear and sometimes a dispute about the cost. Sometimes still pleasant and fond and warm and breakfast and lunch. Sometimes all niceness gone and glad to get out on the street but always another day starting and then another night. I tried to tell about the night and the difference between the night and the day and how the night was better unless the day was very clean and cold and I could not tell it; as I cannot tell it now. But if you have had it you know.
Henry Whitehead|[I]n any profession the highest order of work is achieved, not by fussy empirical demands for 'something to be done,' but by patient study of the eternal laws.
James S.A. Corey, Leviathan Wakes|Posthuman. It was a word from advertising copy, breathless and empty, and all he’d ever thought it really meant was that the people using it had a limited imagination about what exactly humans were capable of.
Sage Steadman, Ann, Not Annie|He just wasn’t into flaunting his awesomeness, but sometimes a person’s awesomeness simply flaunts itself, even when you politely ask it not to.
Gordon Burn|And when you are criticized, as you will be, remind your critics that you have the right to speak your mind. And if they shout you down, as they probably will, then inform them that since they insist on being asses, you will henceforth communicate with them with the appropriate part of your own anatomy. And turning to face them from the posterior, let them know where you stand. Let every fart count as a peal of thunder for liberty. Let every fart remind the nation of how much it has let pass out of its control. It is a small gesture, but one that can be very effective - especially in a large crowd. So fart, and if you must, fart often. But always fart without apology. Fart for freedom, fart for liberty - and fart proudly
Amanda Stephan, The Price of Trust|…and he wasn't reconciled to dying. Dora told him he was going to a better world. "Mebbe, mebbe," says poor Ben, "but I'm sorter used to the imperfections of this one.
Temi Peters, Instruments of Praise & Acts of Worship|And morning came… It still comes. Our God is here, Emmanuel, among us, always coming towards us, always standing behind us, always standing up for us, always standing with us in solidarity in communion asking us to come with Him now as disciple, as follower, as believer, as a friend, as intimate beloved child of God, now and forever.
Claudia Rankine, Don’t Let Me Be Lonely: An American Lyric|Sad is one of those words that has given up its life for our country, it's been a martyr for the American dream, it's been neutralized, co-opted by our culture to suggest a tinge of discomfort that lasts the time it takes for this and then for that to happen, the time it takes to change a channel. But sadness is real because once it meant something real. It meant dignified, grave; it meant trustworthy; it meant exceptionally bad, deplorable, shameful; it meant massive, weighty, forming a compact body; it meant falling heavily; and it meant of a color: dark. It meant dark in color, to darken. It meant me. I felt sad.
Richard Attenborough|I meditate an hour in the morning and an hour in the evening. Once a year I go away for a long retreat. And overall, I just feel more comfortable in my own skin and less anxious, less sad, less fearful.
Anthony Robbins|Success is doing what you want to do, when you want, where you want, with whom you want, as much as you want.
Poppet, Aisyx|Stapled to her gaze, sucked into the potency of her focus, only the trace of her blood in my mouth reassures me this is not a vision but a hallucinogenic pause from responsibility.
Don Roff|The modern virtues fail because they concern the outer self, the human facade, the part of ourselves the world sees most readily – while the classical virtues form an organizing framework for our inner selves… for our souls.
Fierce Dolan|Distance starts in hearts,confirms in mind & actions from tongue....
Salma Hayek|If a man lets all of my dogs sleep in the bed with us, then that is the most romantic thing. You must love my dogs in order to love me. A man who is nice to my animals and doesn't shoo them away - well, that's the height of romance.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|People needed proof that Utopia was nothing more than a theory, an illusion read in fictional stories.
Suzanne Finnamore, Split: A Memoir of Divorce|Bushwhacked, I examine my hands. Same hands. Rings still there but no longer valid.
Annette Marie, Dark Tempest|... You did what none of us could do.”“Only because the poison didn’t affect me the same way—”“Does that matter? We couldn’t do it. You did. We saw what you looked like when you got out. How many times did you fall in order to batter your knees like that? But you kept going.”“That makes me stubborn, not strong,” she mumbled.“Strength comes in many forms...
Rachel Klein, The Moth Diaries|Sleep makes the silence and the terrible fear go by more quickly, helps pass the time, since it's impossible to kill.
Ernst F. Schumacher, Small Is Beautiful: Economics as if People Mattered|What do I miss, as a human being, if I have never heard of the Second Law of Thermodynamics? The answer is: Nothing. And what do I miss by not knowing Shakespeare? Unless I get my understanding from another source, I simply miss my life. Shall we tell our children that one thing is as good as another-- here a bit of knowledge of physics, and there a bit of knowledge of literature? If we do so, the sins of the fathers will be visited upon the children unto the third and fourth generation, because that normally is the time it takes from the birth of an idea to its full maturity when it fills the minds of a new generation and makes them think by it.Science cannot produce ideas by which we could live.
Nadia Simonenko, Lost and Found: The Complete Series|Unable to see, they were briefly seized by the characteristic Prague anxiety of never finding the entrance--of arriving at one's goal but remaining blocked from it by a wall or a stone on account of having overlooked an alley or medieval door a few dozen yards back, which has served as the approach so immemorially that no one any longer marked or described it.
Anna Kavan, Let Me Alone|There are certain shocks which, if sufficiently strong, seem to have power to destroy the balance of life. Such a shock would seem to overthrow all the intricate, vital, slowly developed mechanism of mind, to plunge the victim into a chaotic half-world of confusion and loss. This is what had happened to Anna.
Juan Williams|That sense of failure, I don't know where people put it who don't write songs and aren't able to emote physically. It must go somewhere.
Barbara Corcoran|Don't solicit feedback on your product, idea or your business just for validation purposes. You want to tell the people who can help move your idea forward, but if you're just looking to your friend, co-worker, husband or wife for validation, be careful. It can stop a lot of multimillion-dollar ideas in their tracks in the beginning.
Daniel J. Rice, This Side of a Wilderness|Don’t stoop, don’t stop & don’t be tired in front of any circumstances; with continuous efforts & self introspection aim so high that shall take you to the top of the world
LaShawnda Jones|There is always a reason. Not being willing to say what your reasons are is not the same as not knowing them. Truth is always present. Truth is always available. You simply need the courage to face yourself, explore your motives and confront your insecurities. Until then, you will only enjoy a false security in the thought that your darkness is a mystery to others. Your darkness is mystery to no one. We all have darkness, but not all of us have light.
Matshona Dhliwayo|You don't scale a mountain with your mouth, but with your feet.
Diane J. Reed, Robin in the Hood|This is my heart on CRACK." Robin when she sees Creek
Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined|What could be more fundamental to our sense of meaning and purpose than a conception of whether the strivings of the human race over long stretches of time have left us better or worse off? How, in particular, are we to make sense of modernity—of the erosion of family, tribe, tradition, and religion by the forces of individualism, cosmopolitanism, reason, and science?
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Your kindness, beauty, and simplicity remind me the stories about angels, and I was told they are just legends and myths.
Emma Beasley|But Princess Magnolia wore glass slippers on weekdays. Princess Magnolia was afraid of snails. Sunlight made Princess Magnolia sneeze. And at the moment, the Princess in Black was hog-tying a monster.
Rick Riordan, The Titan's Curse|In the face of all his handicaps, Jurgis was obliged to make the price of a lodging, and of a drink every hour or two, under penalty of freezing to death.
Kelsey Chow|Libertarians argue that no normal adult has the right to impose choices on other normal adults, except in abnormal circumstances, such as when one person finds another unconscious and administers medical assistance or calls an ambulance.
Walter Isaacson, Steve Jobs|Sculley found Jobs as memorable as his machine. " He seemed more a showman than a businessman. Every move seemed calculated, as if it was rehearsed, to create an occasion of the moment.
Sukant Ratnakar, Open the Windows|And you still haven't answered any of my one-hundred ten questions, or my follow ups.
Chris Evans|If kids can have some sort of social responsibility, that's cool. But if they're not actually having social responsibility, and they're kind of hiding behind it, that's kind of useless, or even worse.
Lauren DeStefano, Sever|I don't dare touch her. Loss is a knowledge I'm sorry to have. Perhaps the only thing worse than experiencing it, is watching it replay anew in someone else--all the awful stages picking up like a chorus that has to be sung.
Ansel Elgort|I want to encourage people. One of the things I do encourage people is that - that Internet is a place where we should share our ideas and be positive, not negative.
Matia ben Ephraim, The Wizard of Kharathad|Stop turning every others battle into yours. Sometimes amidst of all the wars, all you need to become is the lighthouse, not the sword.
Debasish Mridha|It is not the success, but it is the failures that make us stronger and more resilient.
Robert M. Drake|We’re only instruments of love, flowing through heaps of pain hoping one day we’d hatch a passion of our own.
