Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Sara Poole, Poison|If all else fails, immortality can always be assured by spectacular error.
Kurt Vonnegut Jr., Cat's Cradle|But people didn't have to pay as much attention to the awful truth. As the living legend of the cruel tyrant in the city and the gentle holy man in the jungle grew, so, too, did the happiness of the people grow. They were all employed full time as actors in a play they understood, that any human being anywhere could understand and applaud.
Lailah Gifty Akita|If you desire a joyful heart, dance daily.
Nilantha Ilangamuwa, The Naked Power|What we can see in most societies is the gravity of suffering, tears of sorrow and nightmares of hopelessness.
George Bernard Shaw|Dying is a troublesome business: there is pain to be suffered, and it wrings one's heart; but death is a splendid thing—a warfare accomplished, a beginning all over again, a triumph. You can always see that in their faces.
Penelope Douglas, Punk 57|My eyes burn with tears, and I'm so tired. So tired of holding back everything I feel and want to say. So tired of being someone I'm not and making mistakes that I didn't have any fun making.
Amanda  Carlson, Struck|I sighed. "Would it be too much to ask that Asgard be peaceful? Made up of big, fluffy clouds, serenity, and lots of hot yoga?
David Boies|The greatest generation was formed first by the Great Depression. They shared everything - meals, jobs, clothing.
Deyth Banger|Time goes fast, the world is one paradox full of answers and questions.
Cormac McCarthy, The Orchard Keeper|They passed, leaving a trail of foxfire shuffled up out of the wet leaves like stars plowed in a ship's wake.
Michael Arrington|When a police officer tells you to stay in the car, you stay in the car.
Charles Dickens, A Christmas Carol and Other Christmas Writings|He has the power to render us happy or unhappy, to make our service light or burdensome, a pleasure or a toil. Say that his power lies in words and looks, in things so slight and insignificant that it is impossible to add and count 'em up; what then? The happiness he gives is quite as great as if it cost a fortune.
Fakeer Ishavardas|If I bad mouth the Truth, and nothing but the Absolute Truth, then, kick my butt. Otherwise, ye of bad faith, keep your stupid trap shut.
C. JoyBell C.|I was just thinking... how it is not and it will never be okay to cause pain in someone's life just because of the fact that you are envious of them! Is someone taller than you? Richer than you? More beautiful? That doesn't make it okay to hurt those people, for all you know, they bear deep wounds and carry heavy burdens and their heartache is far greater than anything you could ever bear! People try to hurt people that they're envious of, without knowing that they are adding to what is already painful. And because someone has more than you or has what it is that you want, doesn't mean that they owe you anything! It's not their fault! Be careful, you may just be wounding an angel soul, and a wound inflicted upon an angel soul, will always, always come back to haunt- YOU.
Hyde|frustration, complication and misery are available in abundance, but so is God's grace.
Ulysses S. Grant|I'm a very positive person, but this whole concept of having to always be nice, always smiling, always happy, that's not real. It was like I was wearing a mask. I was becoming this perfectly chiselled sculpture, and that was bad. That took a long time to understand.
Angela Y. Davis, Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement|This is central to the development of feminist abolitionist theories and practices: we have to learn how to think and act and struggle against that which is ideologically constituted as "normal".
Pippa DaCosta, Ties That Bind|She was Lilith, First Wife of Adam, Queen of the Night, Mother of Demons, Stealer of Children, and he was her Revenant - her undead warrior. And she would use him, and the power of his spear, to destroy her enemies and punish her wayward children.,
Charon Lloyd-Roberts, JACQUERIE. Volume II|If by fawning, you mean he’s a deer, I have a gun, and it’s hunting season, then I guess you’re right.
Christine Warren, Heart of Stone|Duncan's temper kindled, but it didn't dampen the lust seeping along his nerve endings. He could flatten this persnickety witch, or better yet, weave a love spell and bind her to him. Maybe he'd do just that and have done with things. He clasped his hands behind his back to quash the temptation to summon magic.
Glen Hirshberg|Somehow life had become a story problem, and William was horrible at math.
Wilfred Thesiger|No man can live this life and emerge unchanged. He will carry, however faint, the imprint of the desert, the brand which marks the nomad; and he will have within him the yearning to return, weak or insistent according to his nature. For this cruel land can cast a spell which no temperate clime can match.
Rebecca Goldstein, Plato at the Googleplex: Why Philosophy Won't Go Away|Working is prayer for the likes of us,” his master often said. “It’s the way we commune with God.”“Then how does He respond to us?” Jahan had once asked, way back when he was younger.“By giving us more work, of course.
Karina Halle, Racing the Sun|It's over, her mind whispered. There's still hope, her heart insisted.
Yuval Noah Harari, קיצור תולדות האנושות|A nation lives by its myths and heroes. Many societies have survived defeat and invasion, even political and economic collapse. None has survived the corruption of its picture of itself. High and popular art are not in competition here. Both may help citizens decide what they are and what they admire. In our age, however, high art has given up speaking to the body of its fellow citizens. It devotes itself to technical displays that can appeal only to other technicians.
J.K. Rowling, Harry Potter and the Half-Blood Prince|Oh, there you are, Albus,' he said. 'You've been a very long time. Upset stomach?''No, I was merely reading the Muggle magazines,' said Dumbledore. 'I do love knitting patterns.
Miley Cyrus|Hard work always pays off, whatever you do.
W. Scott Lineberry|If we deny the grief its right in our lives, then we must question the love for which the grief is supposedly rooted. God's grief is founded in His love for Himself and His love for us. Looking at God as our model is healthy. Facing the pain means honoring those with whom our love is rooted.
Dan Dunn, Nobody Likes a Quitter (and other reasons to avoid rehab): The Loaded Life of an Outlaw Booze Writer|Its funny whenever people who have'nt seen me in years meet up with me again and they are surprised that I'm not as shy and quiet as I was in the past, I credit that to my years of drinking at bars and partys and conversing with people I would never useally talk to, it was then I relized that even without drinking I could still talk to people just as easy. But It is still a little funner with a few beers in me.
Gary Brecher, The War Nerd|I love that name. A country named Chad. Sounds like somebody who lived next door to the Brady Bunch. But if Chad actually lived next door to the Bradys, Greg would be roasting over a slow fire and Marcia would be standing naked on an auction block, because Chad is one of the hungriest, craziest, most desperate places on the planet.
Teal Vitler|In fairy tales they all seem perfect, but really they are just as troubled as we are!
Marissa Meyer, Heartless|She smiles at our husband as she moves, and he blushes, overcome by her beauty. But I know what her smile really means...Her smile is her revenge.
Debasish Mridha|Be an artist, see the beauty not only with your eyes but also with your heart.
Max Stirner, The False Principle of Our Education|The work of human thought should withstand the test of brutal, naked reality. If it cannot, it is worthless. Probably only those things are worthwhile which can preserve their validity in the eyes of a man threatened with instant death.
Jo Walton, Half a Crown|It's a police mantra that all members of the public are guilty of something, but some members of the public are more guilty than others.
Madison Thorne Grey, Magnificence|Are you telling me, or are you asking me?" Kathel said sarcastically."Depends on your answer," Wharickreplied. "Yes, Gwardian. It would be my honor to be your second." "Then I was telling you," Wharick told him.
A.C. Grayling, The Heart of Things: Applying Philosophy to the 21st Century|Without the voice of reason, every faith is its own c
Danielle Torella, Private Message|I shake my head. "Not my kind of scene. I'd rather be home with my book boyfriend." "I'll never get what you book sluts get out of a fictional man…" He shakes his head. "Boys in books are better.
Lauren Groff, Fates and Furies|By looking Emma Watson smile pictures you just see different smiles which you even don't realise. One picture with fake smile, trying something but unfortunately it fails. Another, looks like she is saying "Off, off okay... let's make it. But this will be the last you promise??... will ya?"Other moment look really like me, other she look like something she has planned and waiting you to get there and to get trapped... How much far to go, I just see something as horrible picture a celebrity with available pictures - naked. That's horrible!...Call it this or this, I don't really give a shit for this peace... - (The stages in Philosophy and Psychology)
Sunday Adelaja|Your calling may seem insignificant to you, but to God it is very significant
W. R. Martin, God Graciously Took My Crown: The Anointed Place|Another component to living in the weeds and trees is earthly success, which will quickly place a crown on our heads without discipleship. The answer is Jesus Christ and it will always be him.
Samuel Freeman Miller|Every night, I was read to. Every Friday, we were taken to the library. I always received at least one book for my birthday. I have a few of them yet. Early on, I had my own collection of books. I loved to read. Still do.
Gary Larson|The necessary thing for anyone to be happy and contented as long as he lives is working for the ones who will come after him rather than working for himself... One can reach the true delight and happiness in the life only by working for the existence, honor, and happiness of the future generations.
Veronica Rossi, Under the Never Sky|It's time, Perry". He let her go. She took a step back, taking in his face one last time. His green eyes. The bend in his nose and the scars on his cheek. All the tiny inperfections that made him beautiful. Without a word, she turned and made her way downhill.
Alan W. Watts|The art of living... is neither careless drifting on the one hand nor fearful clinging to the past on the other. It consists in being sensitive to each moment, in regarding it as utterly new and unique, in having the mind open and wholly receptive.
Ifeanyi Enoch Onuoha|In life, you don't lose;you learn.
John Calvin|The issue is not abortion. The issue is whether women can make up their own mind instead of some right-wing pastor, some right-wing politician telling them what to do.
Winston S. Churchill|People stumble over the truth from time to time,but most pick themselves up and hurry off as if nothing happened.
Nick Trout, Love Is the Best Medicine: What Two Dogs Taught One Veterinarian about Hope, Humility, and Everyday Miracles|There are many reasons why so many of us choose to share our lives with a pet--it's the perfect antidote for loneliness, providing an endless supply of smiles and the certainty of unwavering companionship, and many of us have seen the way a pet can make a family feel whole.
Ayako Miura, The Wind is Howling: The Autobiography of a Japanese Novelist|The year showed me beyond a doubt that everyone practices cafeteria religion... But the important lesson was this: there's nothing wrong with choosing. Cafeterias aren't bad per se... the key is in choosing the right dishes. You need to pick the nurturing ones (compassion), the healthy ones (love thy neighbor), not the bitter ones.
Brian Leiter, Nietzsche on Morality|Morality is part of man and it evolves over time just like the rest of humanity in accordance with Darwinian theory. If we said earlier that man’s evolution depends on change in the natural environment, now we must include the level of freedom of choice in that environment as a factor for change, for it is on this that the condition of morality depends.The higher the level of freedom of choice in society, the more liberal and humanistic that society’s morality will be.
Malcolm X|We know accurately only when we know little, with knowledge doubt increases.
Diane Haeger, Courtesan|Here's to the future, he said and lifted the glass to his mouth. There was a lump of regret stuck in his throat as he spoke the words, but he washed it down with the whiskey.
Bible|"So you want to become my son-in-law." "Not exactly. I just want to marry your daughter."
Bree Despain, The Lost Saint|If you're going to be a superhero, can I be your sidekick?" -April"What?" -Grace"The Dynamic Duo!" -April"Um, I'm pretty sure sidekicks have to have super powers, too. -Grace"Oh Yeah... Okay, but you can always use an Alfred." April"My Alfred?" -Grace"Oh come on Please I can help you design gadgets and stuff. Oh! I can design you outfits for crime fighting!" -April" *sigh* Okay. Sure. But no spandex" -Grace
Howard Tayler|The more bullets flying, the less accurate each individual slug has to be.
J.R.R. Tolkien, The Lord of the Rings|You may be sure that it was not for any merit that others do not possess: not for power or wisdom, at any rate. But you have been chosen, and you must therefore use such strength and heart and wits as you have.
Kamila Shamsie, Burnt Shadows|If the greatest loss of his life is the loss of a dream he's always known to be a dream, then he's among the fortunate ones.
Taylor Swift|In a country that doesn't discriminate between fame and infamy, the latter presents itself as plainly more achievable.
Nanette L. Avery|This is what books should do: Carry a person and not be carried by him; take the day off his back, not add its own ounces of paper to his vertebrae.
Albert Camus, The Plague|He was one of those rare people, rare in our town as elsewhere, who have the courage of their good feelings. What little he told of his personal life vouched for acts of kindness and a capacity for affection that no one in our times dares own to.
David Grann|Colombia is so different to what I know, and every aspect of the country is different to England, and I loved it. I loved the culture and the food, and the coffee was amazing. The place that we were was stunning, and it really was quite an amazing experience to film out there.
Latika Teotia|Life does appear to be unfair at times. We are overwhelmed by our problems and get into sadness mode. Take a hard look at what you are confronted with, try to analyze it and see what life wants you to see. Maybe you need to make changes and you will surely see a way out. Life has thrown a challenge at you; it hasn’t knocked you out, so why should you declare that you’re down and out? While there’s life there’s hope and where there is hope there is always a way out. So don’t give up.
Anthony Liccione|Poverty is like a crumb that sits at a table, and starves itself to death.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|A moment of truth is very powerful. Instead of smiling to be polite, just frown. Instead of laughing when you are nervous or uncomfortable, just speak your truth. Instead of acting like everything is all right, proclaim it isn't alright, and talk about your feelings! Honor your truth. Honor yourself. Be real.
Cornel West|Mentorship is an incredibly huge responsibility. And you need to choose your mentors carefully, just like mentors choose their apprentices carefully. There has to be trust there, on a very deep level.
Dexter Palmer|But to find a lingering unread missive from someone no longer living, and someone whose life had been so deeply entwined with one’s own, raised the possibility that the past could never be a fully settled matter. It meant that your own past could be altered without your action or consent, that the story of your self that you continually told back to yourself could be revised by force, making you into another person who you would, perhaps, prefer not to become.
Ernest K. Gann|If #SpartanSurvived failed in its efforts, no one would be the wiser. There was no risk to her online persona. No backlash from haters. Anonymity’s cloak both protected her and kept the torch of Spartan alive. Because as much as fandom knew a fan had created the post, the faceless message held the faint promise of authenticity. And if people believed it, then the magic was real. They could change Spartan’s fate, because they thought they could, and tonight’s video would cast the first spell.
Kristen D. Randle, The Only Alien on the Planet|It can be very hard to accept how disappointing life is, Harper, because that's what it is, and you have to accept it. With faith and time and hard work you reach a point where ... where the disappointment doesn't hurt as much, and then it gets easy to live with. Quite easy. Which ... is in its own way a disappointment.
Anonymous ., The Angel Affect: The World Wide Mission|The next time you have the urge to complain, stop and ask yourself what it is you truly want. Do you just want to complain or do you want to improve your situation? Somewhere within each complaint is a genuine desire to improve things, but the complaint by itself is never enough to make it happen. So make the choice not to aggravate a bad situation with your complaints. Choose instead to improve it with your positive thoughts, ideas and actions.
Jonathan Franzen, Purity|[P]art of having a complicated mind was understanding its limits, understanding that it couldn't think of everything. Stupidity mistook itself for intelligence, whereas intelligence knew its own stupidity.
Anthony Sampson|The rich feel much less need than their predecessors to account for their wealth, whether to society, to governments or to God. Their attitudes and values are not seriously challenged by anyone. The respect now shown for wealth and money-making has been the most fundamental change in Britain over four decades.
|Stop talking about how you will build an empire, and start building it right at this very moment. Time never waits for anyone to feel perfectly ready.
Peprah Boasiako|Your influence on others is your net worth, treat it as such.
Anthon St. Maarten|Like a Columbus of the heart, mind and soul I have hurled myself off the shores of my own fears and limiting beliefs to venture far out into the uncharted territories of my inner truth, in search of what it means to be genuine and at peace with who I really am. I have abandoned the masquerade of living up to the expectations of others and explored the new horizons of what it means to be truly and completely me, in all my amazing imperfection and most splendid insecurity.
Rita Mae Brown, Rubyfruit Jungle|Dean: Don't you find that somewhat of an aberration? Doesn't this disturb you my dear? After all, it's not normal. Molly: I know it's not normal for people in this world to be happy, and I'm happy.
Jennifer Elisabeth, Born Ready: Unleash Your Inner Dream Girl|I think it all basically breaks down to something like this: You have to look and feel great first. If you eat well, exercise and get enough sleep, you will have ample energy and the proper self-confidence to create and produce beyond your wildest dreams! Looking great and radiating positive energy, while presenting your highest quality work, is what will always make you the most valuable and only logical choice in whatever it is that you reach for.
Yasmin Tirado-Chiodini, Antonio's Will|Dear Governor Whitman, … Our father is not a simple criminal. … He was harassed by more ideas than his mind could stand. …
Mieft Aenzeish|Good Evening to inline expectations have not materialized, I hope tomorrow you can be hugged with the smile that tick, under the morning light through the sweet lips.
Billy Graham, Billy Graham in Quotes|The greatest tribute a boy can give to his father is to say, “When I grow up, I want to be just like my dad.” It is a convicting responsibility for us fathers and grandfathers.
Melissa Rivers|The average Londoner knows just one neighbour. I travel a lot, and I'm always surprised by the strong sense of community in some countries. We've lost something fundamentally human, and we don't even realise it.
Ovidia Yu, The Frangipani Tree Mystery|I had seen enough of Western courtship rituals to know European families did little to identify, research and arrange suitable marriages. Instead, to catch the attention of potential partners, Western males had to resort to shows of strength, aggression and virility, rather like wild boars in the mating season, and Western females had to decorate themselves and their homes, like bower birds.
Carl Safina, The View from Lazy Point: A Natural Year in an Unnatural World|When I go to describe something as remarkable as what I saw that day, I could only say it was a place of dreams. The water is crystalline clear, a mixture of opalescent colors and frosted with white tips. It surges forward and crashes up against the rocks below us as the sun cast a fire-like glare in the distance. Adding to my reverie is the salty smell in the air that lingers and enlivens senses that seem to have been dormant before this moment. I don't recall moving in this dream-like state but my hand moves up and cups the wind as if trying to capture it's essence. If I could have pocketed every smell and sound of this place I would have and I would defended it with my life.
Cecilia London, Conscience|. But itis obvious that absurdism hereby admits that human life is the only necessary good since it is preciselylife that makes this encounter possible and since, without life, the absurdist wager would have no basis.To say that life is absurd, the conscience must be alive.
Hanne Ørstavik, Like sant som jeg er virkelig|I wondered who in this room I would go to if I had problems. Anyone my own age looked silly, immature, unfocused. The older ones seemed too perfect and uptight. I couldn't find anyone I'd confide in. The only person I trusted here in this group, apart from God, was myself.
Joseph Smith, Jr.|Now all we need is to continue to speak the truth fearlessly, and we shall add to our number those who will turn the scale to the side of equal and full justice in all things.
Julian Jaynes, The Origin of Consciousness in the Breakdown of the Bicameral Mind|O, what a world of unseen visions and heard silences, this insubstantial country of the mind! What ineffable essences, these touchless rememberings and unshowable reveries! And the privacy of it all! A secret theater of speechless monologue and prevenient counsel, an invisible mansion of all moods, musings, and mysteries, an infinite resort of disappointments and discoveries. A whole kingdom where each of us reigns reclusively alone, questioning what we will, commanding what we can. A hidden hermitage where we may study out the troubled book of what we have done and yet may do. An introcosm that is more myself than anything I can find in a mirror. This consciousness that is myself of selves, that is everything, and yet is nothing at all - what is it?And where did it come from?And why?
Ahmad Ardalan, The Gardener of Baghdad|Two people, one city, different times; connected by a memoir. Can love exist in a city destined for decades of misery?
Francesca Lia Block, House of Dolls|War is being reminded that you are completely at the mercy of death at every moment, without the illusion that you are not. Without the distractions that make life worth living.
Gary Sinise|As places of learning, schools have a responsibility to also educate on nutrition, which we all can agree is far more important than algebra, no matter what your third-period teacher claims.
Colleen Houck|I stared into his handsome face and let those feelings overwhelm me and in that fleeting time I felt the ghost of our emotional connection. It was just a mere whisper, like a scent on the breeze that blows past you too quickly, bringing with it a memory of something you can’t quite grasp. I wasn’t sure if it was a trick of the light, a flicker of something real, or something I fabricated, but it captured all of my attention. 
Ana Claudia Antunes, ACross Tic|Patience can be a means of letting matters mature to a proper state for action, not just a way of letting time slip away.
Terry Pratchett, Witches Abroad|One doesn’t become a witch to run around being harmful, or to run around being helpful either, a district visitor on a broomstick. It’s to escape all that - to have a life of one’s own, not an existence doled out to by others.
Anne Rice, Merrick|I pulled out my mp3 player and stuck the buds in, and letting out a big breath, I started to scroll through my music for something appropriate to kill by. John Tesh, it is.
Edgar Allan Poe|Even in the grave, all is not lost.
Nikos Kazantzakis|The true basis of morality is utility; that is, the adaptation of our actions to the promotion of the general welfare and happiness; the endeavour so to rule our lives that we may serve and bless mankind.
Jay Woodman|Our works in stone, in paint, in print, are spared, some of them, for a few decades or a millennium or two, but everything must finally fall in war, or wear away into the ultimate and universal ash - the triumphs, the frauds, the treasures and the fakes. A fact of life: we're going to die. "Be of good heart," cry the dead artists out of the living past. "Our songs will all be silenced, but what of it? Go on singing." Maybe a man's name doesn't matter all that much.
Wendelin Van Draanen, Flipped|...Next time you're faced with a choice, do the right thing. It hurts everyone less in the long run.
Kiera Cass, The Elite|I wanted to be his dear, his darling.
Unarine Ramaru|Don't just become a monument of information, rather a solace of knowledge refuge.
Lawrence Crane, The Abundance Book|To become desireless, to not want anything external to ourselves, means we rest in ourselves, whole, joyous and happy. In this state, our true nature is constant love, unending love, giving love.
Ernest Agyemang Yeboah|Silence can answer the question words may fail to answer. If you want to know what silence can do, keep silence!
Lailah Gifty Akita|One soul, the Saviour, changes the course of history.
Anthony T Hincks|But here, the rain was just another part of the landscape. Like it was the thing that lived here and we were merely visitors.
Vesta M. Kelly|Snowflakes are one of nature's most fragile things, but just look what they can do when they stick together.
Jasleen Kaur Gumber|It was in the horizon of existence, that the Big Bang must have created our souls, we loved each other like the plane of time doesn't hold a fleck of control over us.
Sreesha Divakaran, Those Imperfect Strokes|In that moment, hell may have ascended,Or heaven may have descended only to save me and prove,What I carry is an exaggerated memory of an imagined beautiful love.This love is tainted with treachery; it will be my doom.
Tom Hiddleston|In terms of doing work and in terms of learning and evolving as a person, you just grow more when you get more people's perspectives... I really try and live the mission of the company and... keep everything else in my life extremely simple.
Charles Eisenstein, The More Beautiful World Our Hearts Know Is Possible|The situation on Earth today is too dire for us to act from habit—to reenact again and again the same kinds of solutions that brought us to our present extremity. Where does the wisdom to act in entirely new ways come from? It comes from nowhere, from the void; it comes from inaction. When we see it, we realize it was right in front of us all along. It is never far away; yet at the same time it is in a different universe—a different Story of the World.
Danny Scheinmann, Random Acts Of Heroic Love|Henry...your father was a brave man."He continued attacking the metal with a sledgehammer, brutally hacking at the anvil. She wasn't sure he had heard her. Then, he stopped short, the hammer hanging heavy in the air, the fire snapping in front of him."I was close enough to smell it," he seethed, not turning. "But I was afraid. I hid fro
Terry Pratchett, Men at Arms|And out floated Eeyore. "Eeyore!" cried everybody. Looking very calm, very dignified, with his legs in the air, came Eeyore from beneath the bridge. "It's Eeyore!" cried Roo, terribly excited. "Is that so?" said Eeyore, getting caught up by a little eddy, and turning slowly round three times. "I wondered." "I didn't know you were playing," said Roo. "I'm not," said Eeyore. "Eeyore, what are you doing there?" said Rabbit. "I'll give you three guesses, Rabbit. Digging holes in the ground? Wrong. Leaping from branch to branch of a young oak-tree? Wrong. Waiting for somebody to help me out of the river? Right. Give Rabbit time, and he'll always get the answer." "But, Eeyore," said Pooh in distress, "what can we--I mean, how shall we--do you think if we--" "Yes," said Eeyore. "One of those would be just the thing. Thank you, Pooh.
Debasish Mridha|Peace is not merely the absence of war or conflict but the presence of tranquility, harmony and love.
Alice Walker|Let go of yesterday. Let today be a new beginning and be the best that you can, and you'll get to where God wants you to be.
Aldous Huxley, Jesting Pilate|He wears a mask, and his face grows to fit it.
N.K. Jemisin, The Broken Kingdoms|I wish I loved the Human Race;I wish I loved its silly face;I wish I liked the way it walks;I wish I liked the way it talks;And when I’m introduced to one,I wish I thought “What Jolly Fun!
Debasish Mridha|When I was looking for the key to open the deepest chamber of your heart, I found that secret key of pure love hidden in my heart.
Ethel Lilian Voynich, Овод|Someone, Someday, Everybody has to walk the road of change.
Toba Beta, Master of Stupidity|‎If heart filled with purity,then mind found the beauty.
Iman|I don't really know what the future of science is. Maybe we have come to the end of science; maybe science is a finite field. The inventions resulting from this finite field, however, are boundless.
Sunday Adelaja|Lesson after lesson, that's Deeper Level... if you can amplified it... apply it... and to recall it... you have successful learnt it.
Gemma Malley, The Legacy|You are a leader. It is time to lead. You must inspire, you must plan, you must make the world a better place.
Dinah Katt, Once Upon a Time Travel|If a girl is stupid enough to love you after you broke her heart, I guarantee you, she is the one.
John O'Donohue, Anam Cara: A Book of Celtic Wisdom|No one else has access to the world you carry around within yourself; you are its custodian and entrance. No one else can see the world the way you see it. No one else can feel your life the way you feel it. Thus it is impossible to ever compare two people because each stands on such different ground. When you compare yourself to others, you are inviting envy into your consciousness; it can be a dangerous and destructive guest.
Brenda Sutton Rose|The guitar poured out its soul, its history, its dreams, its pain, its victories, its secrets. The guitar’s strings purred with blues and ended with a haunting solitary song with no lyrics.
Charles Robert Maturin, Melmoth the Wanderer|There is no error more absurd, and yet more rooted in the heart of man, than the belief that his sufferings will promote his spiritual safety.
Rachel Held Evans, Evolving in Monkey Town: How a Girl Who Knew All the Answers Learned to Ask the Questions|My shield, my salvation.
Eliza Parsons, The Girl of the Mountains|By vice, dissipation, and extravagance, [the nobility] have been driven to the most despicable, and often the most atrocious actions, for which persons in a humble line would be exemplarily punished, while men and women of rank claim the privilege of being infamous.
Eckhart Tolle|Don't throw petals on the floor if they have no meaning. I would rather have a fun, casual relationship than have someone pretending they're completely in love with me.
Mary Potter Kenyon, Coupon Crazy: The Science, the Savings, and the Stories Behind America's Extreme Obsession|It is not in vain that the strategic criterion of placing only short runs on the market prevails in order simultaneously to create a feeling of scarcity and avoid an appearance of uniformity, both of which encourage consumer demand. This is such a powerful criterion that it is not uncommon to discontinue production of a much-sought-after product, sometimes to the relative desperation of the shop staff, who were sure they could sell it.
Rebecca McNutt, Super 8: The Sequel to Smog City|I don’t want anything else bad to happen,” she whispered, her voice choked with tears. “I’m so sick to death of bad things happening, of seeing bad things that happened in the past! And I’m guilty of so many things. I’m sorry that I killed Mrs. Matthias and wrecked her stupid greenhouse back in the Eighties and I’m sorry I left you here alone while I went around the world.”“I wasn’t alone though, I knew you were doing what you wanted to do and that you were still alive, so I wasn’t really alone, I knew you were still there somewhere,” Alecto told her. His damaged smile and downcast, sorrowful eyes were draped in the shadow of the night, saving Mandy the trouble of seeing.
Francine Pascal, Once Upon a Time|That's what most people don't realize; that's why one out of every two marriages fail. Because people go into them with hearts in their eyes and forever on their lips and no concept whatsoever of what that truly means. Of course it's going to be hard work. Of course you are going to get angry and upset and wonder why, out of everyone in the world entire world, you decided to fall in love with an idiot who farts in his sleep and eats like a pig and can't ever be assed to pick up his own dirty underwear off the fucking floor.
Robert A. Heinlein, Starship Troopers|Isn't it sad that you can tell people that the ozone layer is being depleted, the forests are being cut down, the deserts are advancing steadily, that the greenhouse effect will raise the sea level 200 feet, that overpopulation is choking us, that pollution is killing us, that nuclear war may destroy us - and they yawn and settle back for a comfortable nap. But tell them that the Martians are landing, and they scream and run.
Elizabeth Langston, Whisper Falls|Every new friend, in your life is 1% success.
Jennifer Echols, Going Too Far|Why are you pretending to write, when I already know you're just doing that to intimidate me?
Nicola An, The Universe at Heartbeat|True love is hard to find." - Malcolm Fade
Stephanie Lahart|Black Girls… Stop settling for less than what you deserve. That’s why I stress self-love! There comes a time when you can no longer blame a man. You’ve got to hold yourself accountable for the choices that you make. Choose wisely! Slow down. Pay attention. Don’t allow his good looks and swag to blind you from the truth. Don’t be so easily flattered by money, cars, jewelry, and all of that other stuff. Your heart and well-being is worth much more than that. Choose someone who respects, loves, and adores you. Somebody who has your best interest at heart. Nothing less! Allow yourself to experience REAL love. Stop giving your love, time, and attention to men who clearly don’t deserve it. #ItsAllUpToYou
James Wolfe|I think you can have moderate success by copying something else, but if you really want to knock it out of the park, you have to do something different and take chances.
Richard Rohr, Breathing Underwater: Spirituality and the 12 Steps|...organized religion is no longer good news for most people, but bad news indeed. It set us up for the massive atheism, agnosticism, hedonism, and secularism we now see in almost all formerly Christian countries.
Simona Panova, Nightmarish Sacrifice|Sacrifices will make you a martyr, victories will make you a hero.
Israelmore Ayivor, The Great Hand Book of Quotes|You become a hypocrite when you can't freely be at peace with others, but you can carry green palm leaves to church to commemorate "palm Sunday"! Throw those palm leaves somewhere; and lay your life down for someone to walk on and get to the destined land!
Christie Silvers|You're gon' have to say to your self, am I gon' believe what them fools say about me today?
Chuck Palahniuk, Choke|The distemper of which, as a community, we are sick, should be considered rather as a moral than a political malady.
Robert Cwiklik, Albert Einstein and the Theory of Relativity|People living in different places invent different words for things, and then the words control how they think. The Masai people, for instance, do not have a word that means 'the future.' Therefore, when they talk of time, they always talk about the present time.Hope, for example, lives in the future. The things one hopes for are always things in the future. So the Masai people may never have felt hope, since they have no idea of a future.But, if the Masai live without hope, they also live without fear. For fear is always about the future, too.-Herr Winteler
Kristen Ashley, Law Man|Insta-love isn’t something that happens in real life. Ithappens in the books I read, but not in the world I live. Though herestands this beautiful, sexy, funny, sweet and amazing guy who hasdone everything short of professing love at first sight to me and I’mstill standing here like a pair of lungs suffocating, needing him inorder to breathe.
Deyth Banger|Are you comfortable? That’s good. But there is somewhere at least someone is uncomfortable! And this should somehow make you uncomfortable too! The world can be a better place only through this way, through thinking others!
John Cheever, The Stories of John Cheever|But she bravely kept her eyes open; she was both lost and found in the soft, burning depths of his eyes.
Bill Nye The Science Guy|All living things must grow or they will die. Adaptation to change is a characteristic of all living systems. Thus, all living things must grow, adapt, evolve, or die. Evolution is nature’s creative way of pushing living organisms to higher degrees of complexity. We adapt up, not compromise down.
Marya Mannes|Borders are scratched across the hearts of men, by strangers with a calm, judicial pen, and when the borders bleed we watch with dread the lines of ink along the map turn red.
Frank O'Hara, Meditations in an Emergency|What was that, Kurokuma?' asked one of the escorts riding near him. The others chuckled at the name.'Nothing important,' Horace said. Then he looked at them suspiciously. 'What's this Kurokuma business?'The Senshi looked at him with a completely staight face.'It's a term of great respect,' he said. Several others within earshot nodded confirmation. They too managed to remain straight-faced. It was a skill the Nihon-Jan had perfected.'Great respect,' one of them echoed.
Justin Cartwright|At the most basic level, prioritizing design also represents a practical consideration. It's far easier to design first and engineer later.
Matshona Dhliwayo|Because the sun helps you in the day, do not scoff at stars at night.
Tariq Ramadan, What I Believe|I have learned that one should say "Peace!" to those who shout their hatred for one's being and presence or at one's passage.
Michael R. French, Why Men Fall Out of Love: What Every Woman Needs to Understand|In general men keep their internal lives–and their more complex emotions–closely guarded, because either they don't understand them or they are afraid of being betrayed by them.
Fred Allen|California is a fine place to live, if you happen to be an orange.
D.H. Lawrence, Lady Chatterley's Lover:|God became man; and the love, woman. (Dieu s'est fait homme; - Et l'amour, femme.)
