Thomas Mann|Walk tall, or baby don't walk at all.
Kristiane Backer, From MTV to Mecca: How Islam Inspired My Life|According to Islam, whenever we are struck by illness or misfortune or someone hurts us, there is a higher purpose behind it, which we may not understand at the time,’ one of them said to me. ‘That’s where trust comes in. Through suffering, God helps us to better ourselves and make good our mistakes. It is a form of purification and also God’s way of testing the strength of our faith and the goodness of our character.’ Another lady suggested I look on the bright side.‘Suffering draws us closer to God and that is our aim in life,’ she said. Then she quoted Rumi who had said, ‘It is pain that draws man to his Lord, because when he is well, he doesn’t remember the Lord.’ I tried to look at the positive and believe that there was a higher, spiritual perspective on what I had just been through, and all the advice I was given helped me a lot. But it took quite a while for my heart to catch up with my mind.
Lauren Oliver|Believe me, all of you, the best way to help the places we live in is to be glad we live there.
Megan McCafferty, Sloppy Firsts|So, you want the dirt on Hell boy or not?~ Taylor (to Erin about Veiron) Her Demonic Angel ~
Kathleen Sebelius|When women earn more, families are stronger, and children have better access to quality health care and education.
Karl Ove Knausgård, Min kamp 3|Sometimes I would hold it in for days so that I could have a really big one and also because it felt good in itself. When I really did have to shit, so much that I could barely stand upright but had to bend forward, I had such a fantastic feeling in my body if I didn't let nature take its course, if I squeezed the muscles in my butt together as hard as I could and, as it were, forced the shit back to where it came from. But this was a dangerous game, because if you did it too many times the turd ultimately grew so big it was impossible to shit it out. Oh Christ, how it hurt when such an enormous turd had to come out! It was truly unbearable, I was convulsed with pain, it was as if my body were exploding with pain, AAAAAAGGGHHH!! I screamed, OOOOOHHH, and then, just as it was at its very worst, suddenly it was out.Oh, how good that was!
George Orwell, 1984|And why do you imagine that we bring people to this place?’ ‘To make them confess.’ ‘No, that is not the reason. Try again.’ ‘To punish them.’ ‘No!’ exclaimed O’Brien. His voice had changed extraordinarily, and his face had suddenly become both stern and animated. ‘No! Not merely to extract your confession, not to punish you. Shall I tell you why we have brought you here? To cure you! To make you sane! Will you understand, Winston, that no one whom we bring to this place ever leaves our hands uncured? We are not interested in those stupid crimes that you have committed. The Party is not interested in the overt act: the thought is all we care about. We do not merely destroy our enemies, we change them. Do you understand what I mean by that?
Edgar Allan Poe, Selected Tales|In the previous few minutes, I had seen the most beautiful thing that eyes can see: the glory of God shining in the radiance of creation. I had heard the most beautiful thing that ears can hear: friends telling friends that they love one another. And I had felt the most beautiful thing that any heart can ever feel: the love of God and the love of others.
Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit|Families are great murderers of the creative impulsive, particularly husbands.
Deyth Banger|When we treat God as a different identity, our thought process becomes dualistic in nature. This is due to the self ignorance, ego and immaturity; in simple words, less knowledge about our own immortality.
Madeleine Thien, Do Not Say We Have Nothing|I know that throughout my life I have struggled to forgive my father. Now, as I get older, I wish most of all that he had been able to find a way to forgive himself.
Ann Medlock|The cunning villains used our innocence, naivety and honesty; they incited and steered our virtue, purity and fervent temperaments. When we realized the actual absurdity of the situation and began to demand our democratic rights, we were subjected to unprecedented persecution and suppression. Our youth, passion, learning, idealism and joy were all sacrificed to the terrible rule of this wicked tyranny. How can this not be blood?
Val Uchendu|Love is purely spiritual, until you can honestly accept and love your essence and truth, you have nothing to offer another
Emmitt Smith|The more extensive a man's knowledge of what has been done, the greater will be his power of knowing what to do.
Pierre Niney|As I pass it, I feel as if I saw a dear old mother, sweet in her weakness, trembling at the approach of her dissolution, but not appealing to me against the inevitable, rather endeavouring to reassure me by her patience, and pointing to a hopeful future.
Rick Riordan, The Last Olympian|Once she was gone, I knelt next to Annabeth and felt her forehead. She was still burning up."You're cute when you're worried," she muttered. "Your eyebrows get all scrunched toge
Karl Lagerfeld|For me, Chanel is like music. There are certain notes and you have to make another tune with them
Guy Lafleur|I want to thank God, obviously for the health, for the talent He's given me, for my family who supports me, for the things that basketball's taught me on and off the court. For the people that I've been able to meet through the game of basketball.
Roxane Gay|Then not only custom, but also nature affirms that to do is more disgraceful than to suffer injustice, and that justice is equality.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Windsurfing, the sound of the word contains all the mystery of a solitary buoy in the fog, echoing across the water at the end of the day.
Jill Shalvis|She'll never be all the way tame, just the way she's made ... sorta like you, I imagine.
Toba Beta, My Ancestor Was an Ancient Astronaut|When we were on trees, others had lived in skies. When we reach skies, descendant of primitives will someday convey this message.
Heidi W. Durrow, The Girl Who Fell from the Sky|That's what you got for being a servant of no ambition: a shrunken life, hung up like a gibbet as a warning to others.
Erik Pevernagie|You get up, you dress up, you show up. And usually have a pretty good time by the end of it.
Orhan Pamuk|In a World where people are surrounded by darkness, ignorance and fear, it is a sign of hope to be celebrating Islam's message of peace and light, and the last great Messenger, born and chosen to deliver them to all mankind.
Lailah Gifty Akita|I am taking time to relax, renew and revive.
Kilroy J. Oldster, Dead Toad Scrolls|What matters is the act of surrender. The awakening process all boils down to this: surrender. How, you may ask?Like this: Lay yourself down on the floor and let go of everything.Let go of the need to understand, the need to know how exactly to do it and what to say, how to be and so on.Just "give up" (the struggle).Literally just lay there and say "Take me, I'm yours. Do with me what you wish, I won't resist or avoid anything anymore. I'm sincerely yours".Let go. Surrender. Just let go.You don't have to figure anything out, you don't have to seek anymore, you don't have to look for any answers or solutions anymore.Just let go. Let everything go.I'm telling you; this is the ultimate solution and answer that the awakening process leads to anyway, so you might as well save yourself years of suffering by surrendering to Truth right now and let it take over your life.It all falls into place in the moment of surrender, that's when freedom and peace comes and takes over your whole being.
Terry Spear, SEAL Wolf Hunting|Lori rushed to join him, threw her arms around his waist, and gave him a big, warm hug. And then kissed him full on the mouth.	When he came up for air and looked into her smiling face, he smiled right back. "Well, hell, if you had let me know that this was the way I'd be treated as the pack leader, I would have done it a long time ago.
Eric Gamalinda, Amigo Warfare|Antonio," Ash groaned, "you know I hate it when you eat at my desk." "I know," Antonio replied, "but I don't mind and so long as one of us is reasonable, I figured why not?
Jeanette Winterson, Why Be Happy When You Could Be Normal?|I'm glad you were both here," I finally manage, thinking how strange it is to be standing with the two people who made you, something most kids take for granted every day of their lives.
Brandon Mull|An unread book does nobody any good. Stories happen in the mind of a reader, not among symbols printed on a page.
Seth Shostak|I think that the best things come from thought, without thinking. I think that's the smartest use of the intelligence that we all have.
Rainbow Rowell, Carry On|The goblins have been after me ever since I helped the Coven drive them out of Essex. (They were gobbling up drunk people in club bathrooms, and the Mage was worried about losing regional slang.) I think the goblin who successfully offs me gets to be king.
Aldous Huxley|Art is permitted to survive only if it renounces the right to be different, and integrates itself into the omnipotent realm of the profane.
Christian Louboutin|Cooking, decorating, diet/self-help and gardening books are guilty pleasures and useful time fillers.
William Hazlitt|I am not bound for any public place, but for ground of my own where I have planted vines and orchard trees, and in the heat of the day climbed up into the healing shadow of the woods.
Franny Billingsley, Chime|Here she is,” her mum said, cooing at the baby, “my special girl.”“Oh, cheers,” Valkyrie said, rolling her eyes.
Ashlyn Chase, I Dream of Dragons|Jackie, can you tell me if someone’s dead or not?’“Who it be? Maybe I heard something.”“Miranda Lopez.” I pulled out the charm and balanced it on my fingertips, and then I realized the photo was probably a better likeness. I pocketed the milagro ad held up the Polaroid. “I find out for you if you get me a dime.”I sighed and put the photo away. “You can’t smoke crack. You’re dead. And even if you weren’t, I’m not gonna score for you. I’m a cop. ““You so full of shit. You ain’t no cop neither.”“Would I be wearing this fucking suit if I wasn’t a cop?”“I don’t know. I always thought you sold cars or something.”I tucked my chin toward my chest and stomped toward my gate. Jackie couldn’t help me. And how dare she call me a used car salesman? I wasn’t always a dork in a blazer. Once upon a time I was actually cool. Until the Cook County Mental Health Centre, anyway. After that, I guess I kinda stopped caring.
Paul Kearney|Memories are important, like the bones of the mind. We build ourselves upon them, flesh and blood moulded around the pictures of what is past.
Luisa Natasha Parker, Natasha a Journey to Freedom, Love and Happiness|Let's Play Cat & MouseIt was a beautiful day as he walked the streets,filled with flowers of summer and the green of the trees.The sun just rising, the freshness in the air.In the distance, something rolled across the road,pushed and played with by a fluffy, tiger like cat.It rolled, and was poked and pushed to the edge …Stop that, Stop that, Stop that now …it’s tiny little legs on the floor as it stretched as tall as it could,arms in front, as it looked up at fluffy …No, No, NoYou can’t catch me …Shocked and amazed was fluffy …As his morning breakfast, scurried and hurried along the side of the road …Goodbye, Good Day, have a wonderful Day …As they continued their day …No more time for Let’s play cat and mouse.by Natasha Parker Copyright © 2014 by Luisa Natasha Parker
G.R. Matthews|I think the measure of advancement depends on where you are stood and from what distance you look. A thousand years ago, we farmed the fields, built towns and defended our land with swords and spears. It is little different now, save for the number of people we have to protect. We still kill with a sharp edge or point of metal, blood runs red still, sons ride off to war and parents grieve. If you look at the Empire in its whole, then it is peaceful. If you look closely, you will see the small wars, the bandits and rebellions. Look more closely still and you’ll see the petty crimes, the struggle to survive, the rich bleeding the poor. Even the soil can turn against its farmers, yielding few crops. Or the weather, a late frost killing the early crops. There is strife and conflict everywhere in the Empire. Everywhere you find men, you find conflict.
Carl R. Rogers, On Encounter Groups|So, here we are, all of us poor bewildered darlings, wandering adrift in a universe too big and too complex for us, clasping and ricochetting off other people too different and too perplexing for us, and seeking to satisfy myriad, shifting, vague needs and desires, both mean and exalted. And sometimes we mesh. Don
Rossana Condoleo|Do the things you like to be happier, stronger & more successful. Only so is hard work replaced by dedication.
Stephen King, It|Eddie discovered one of his childhood's great truths. Grownups are the real monsters, he thought.
Charles Hodge|Whoever sets any bounds for the reconstructive power of the religious life over the social relations and institutions of men, to that extent denies the faith of the Master.
Vanessa Farnsworth, Rain on a Distant Roof: A Personal Journey Through Lyme Disease in Canada|Why is it that medical strictures and recommendations so often work in favor of food processors and against food producers? Why, for example, do we so strongly favor the pasteurization of milk to health and cleanliness in milk production? (Gene Logsdon correctly says that the motive here "is monopoly, not consumer's health.")
Paul Brunton, The Notebooks of Paul Brunton|Whoever wants the "I" to yield up its mysterious and tremendous secret must stop it from looking perpetually in the mirror, must stop the little ego's fascination with its own image.
Howard Tayler, Resident Mad Scientist|Where's your sense of adventure?It died under mysterious circumstances. My sense of self-preservation found the body, but assures me it has an airtight alibi.-Captain Tagon & Captain Andreyasn
Steven D. Greydanus.|God created us for play and amusement just as he created us for work, prayer, and community. In particular he created us for art and culture: to create and look at images; to fashion stories and music and dance, and to perform and enjoy them; to explore imaginative scenarios of good and evil, of conflict and resolution.It is in our nature to engage in and to enjoy these things, as it is the nature of stars to shine and plants to grow. And, just as the sun glorifies God by shining and plants by growing, so we please and glorify him when we participate in wholesome aesthetic activities and amusements. In fact, because man has free will, he pleases God in a special way when he freely participates in the goods proper to his nature. If he does so with a will to glorify God, it can even be meritorious
Matthew Kelly, The Seven Levels of Intimacy: The Art of Loving and the Joy of Being Loved|Love, not as a surge of passion, but as a choice to commit to something, someone, no matter what obstacles or temptations stand in the way. And maybe making that choice, again and again, day in and day out, year after year, says more about love than never having a choice to make at all.
Mala Naidoo|Reading is air in my lungs, fire in my blood, company in my thoughts.
Milan Kundera|Too much faith is the worst ally. When you believe in something literally, through your faith you'll turn it into something absurd. One who is a genuine adherent, if you like, of some political outlook, never takes its sophistries seriously, but only its practical aims, which are concealed beneath these sophistries. Political rhetoric and sophistries do not exist, after all, in order that they be believed; rather, they have to serve as a common and agreed upon alibi. Foolish people who take them in earnest sooner or later discover inconsistencies in them, begin to protest, and finish finally and infamously as heretics and apostates. No, too much faith never brings anything good...
S.A.R.K.|This imaginary gift is a journey for your imagination.I send you...A luxury train ride. On this train are all the inspiring people you've ever wanted to meet or talk to. You glide from car to car, sitting or lying down on velvet lounge chairs, listening and asking questions. There is also a voluminous library on the train, with every book you've ever wanted to read or look at. Kind people bring you delicious tidbits to eat and nourishing liquids to drink. If you take a nap, time stands still until you return so you never miss anything. You receive a large journal filled with photographs, drawings and descriptions of your journey to take with you when you leave. You realize that you can board this train at any time.
Karl Kesel|For six months, then, Emma, at fifteen years of age, made her hands dirty with books from old lending libraries.
Innocent Mwatsikesimbe, Mirror|Some say they love you, but some actually "do" the loving. These are the ones that truly love you, because love is seen in actions.
Anthony T. Hincks|Before you open your mouth to say something, take a step back and imagine what you're going to say was said to you.It makes you think twice, doesn't it?
John Inman, My Busboy|You're the proverbial diamond in the rough", she'd said to him once, touching his nose lightly with the tip of her electrifying finger.
Franklin Foer, How Soccer Explains the World|Looking out the window, Moist saw a small swarm of goblins leave the train and at first he thought, ha! Trust the buggers to run away, and then he mentally corrected himself: that was storybook thinking and with clearer eyesight and a bit of understanding he realized that the goblins were scrambling up to the delvers on the rocks and beating the shit out of them by diving into the multiple layers of dwarf clothing. The delvers discovered all too rapidly that trying to fight while a busy goblin was in your underwear was very bad for the concentration.
Rachel Van Dyken, Elicit|I don't love anything." - Parker "I know." - Everett
Jen Hatmaker, For the Love: Fighting for Grace in a World of Impossible Standards|All due respect to the Resurrection, but two-becoming-one might be the greatest miracle ever.
Lisa Ferentz, Treating Self-Destructive Behaviors in Trauma Survivors: A Clinician's Guide|As soon as you ascend to heaven in spirit, by being more spiritual and honest with yourself, you will notice that hell comes to you at the exact same time, and earth will literally feel like hell. Everyone that can't see it went on the opposite direction, from crazy to crazier. They see butterflies instead of worms and juice instead of blood, and can't smell their own rotting flesh. They went from surviving to becoming zombies. That's why I despite the vast majority of those that consider themselves spiritual. They are in fact lunatics disguised as saints.
Barry Lyga, Boy Toy|See, forgiveness doesn't happen all at once. It's not an event -- it's a process. Forgiveness happens while you're asleep, while you're dreaming, while you're inline at the coffee shop, while you're showering, eating, farting, jerking off. It happens in the back of your mind, and then one day you realize that you don't hate the person anymore, that your anger has gone away somewhere. And you understand. You've forgiven them. You don't know how or why. It sneaked up on you. It happened in the small spaces between thoughts and in the seconds between ideas and blinks. That's where forgiveness happens. Because anger and hatred, when left unfed, bleed away like air from a punctured tire, over time and days and years. Forgiveness is stealth. At least, that's what I hope.
Diane Hammond, Hannah's Dream|Harriet loved her new persona. As Maxine, she was courageous and accomplished, a woman of sophistication equally at home in Cannes or on the Indian subcontinent. As Maxine she didn't walk, she strode; she did not merely see, but beheld. The very air she breathed was bracing. Here was a conqueror of worlds.
Brian Tracy|Your biggest opportunity probably lies under your own feet, in your current job, industry, education, experience or interests.
Rainbow Rowell, Fangirl|A public library is the most democratic thing in the world. What can be found there has undone dictators and tyrants: demagogues can persecute writers and tell them what to write as much as they like, but they cannot vanish what has been written in the past, though they try often enough...People who love literature have at least part of their minds immune from indoctrination. If you read, you can learn to think for yourself.
Matshona Dhliwayo|Don’t climb a mountain to look down on people below, but to get a clearer view of the stars above.
Joel Osteen|Chekhov was capable of casually tossing off deplorable comments in his letters, combined with a very modern anger against anti-Semitism.
Bill Jensen, Future Strong|No matter how crazed you get, no matter what pressures you're under, no matter who needs what by yesterday... Always remember: everything you do uses a portion of someone else's life.
Kevin J. Anderson|Don't pick up hitchhikers!"- D. Adams
Gyalwa Dokhampa, The Restful Mind|We don’t necessarily need to know each other’s name, age, profession, drug of choice, childhood trauma or recent tragedy to understand what pain feels like and offer comfort. We are strangers drawn together by a shared desire for lasting peace.
M.F. Moonzajer|He was the best shot in India, and I expect that there are few better in London. Have you heard the name?''No, I have not.''Well, well, such is fame!
Paul Kalanithi, When Breath Becomes Air|Mistrust of good success hath done this deed.O hateful error, Melancholy's child,Why dost thou show to the apt thoughts of menThe things that are not? O Error, soon concieved,Thou never com'st unto a happy birth,But kill'st the mother that engendered thee.
Morgan Matson, Since You've Been Gone|All right. Let’s pretend I’m so incredibly happy my brain is thinking about rainbows and butterflies and I’m waving good morning to the mailman. I let my guard down. Next thing I know, something takes a dark turn. But I don’t even realize it because I’m over here staring at a bright patch of happy light. All of a sudden, I’ve fallen into a hole and have no rope, no ladder, and the walls are too slippery to climb out of. Happiness makes me lose focus. It makes me weak. I can’t stand it. Does that make sense to you now?
Charlie Puth|Growing up, Guess always had these amazing billboards and cool affordable clothing. I wore it then, and I still wear it now! It's come full-circle. When I design the clothes, I have a very good team around me, showing me different pieces and cuts.
Hannah Farver, Uncompromising: A Heart Claimed By a Radical Love|The thing that struck me was his intensity. Whatever he was interested in he would generally carry to an irrational extreme." Jobs had honed his trick of using stares and silences to master other people. " One of his numbers was to stare at the person he was talking to. He would stare into their fucking eyeballs, ask some question, and would want a response without the other person averting their eyes.
Anaïs Nin, The Diary of Anaïs Nin, Vol. 1: 1931-1934|Henry's recollections of the past, in contrast to Proust, are done while in movement. He may remember his first wife while making love to a whore, or he may remember his very first love while walking the streets, traveling to see a friend; and life does not stop while he remembers. Analysis in movement. No static vivisection. Henry's daily and continuous flow of life, his sexual activity, his talks with everyone, his cafe life, his conversations with people in the street, which I once considered an interruption to writing, I now believe to be a quality which distinguishes him from other writers. He never writes in cold blood: he is always writing in white heat.It is what I do with the journal, carrying it everywhere, writing on cafe tables while waiting for a friend, on the train, on the bus, in waiting rooms at the station, while my hair is washed, at the Sorbonne when the lectures get tedious, on journeys, trips, almost while people are talking.It is while cooking, gardening, walking, or love-making that I remember my childhood, and not while reading Freud's 'Preface to a Little Girl's Journal.
Rainer Maria Rilke, Duino Elegies|Warmth, perfume, rugs, soft lights, books. They do not appease me. I am aware of time passing, of all the world contains that I have not seen, of all the interesting people I have not met.
Winifred Gallagher, Rapt: Attention and the Focused Life|He well knew his mind's natural tendency to be endlessly on a thousand subjects at once, to flit from this to that and to the next thing to no particular purpose--indeed, he called it his "butterfly mind.
Benjamin R.  Smith, Atlas|Ever since I could remember, She was all that mattered.
Richelle Mead, Frostbite|He'd barely seen me coming, and despite the horribleness of what I'd just done, I kind of wished one of my instructors had been there to grade me on such an awesome performance.
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|Quite so. Quite right. And yet human beings, who dream ofbecoming more successful often fool themselves into believing thatit can happen without changing a single thing about themselves.They believe that success is some mysterious external factor thatwill just sort itself out while they sleep
Ernesto Che Guevara, The Motorcycle Diaries: Notes on a Latin American Journey|I finally felt myself lifted definitively away on the winds of adventure toward worlds I envisaged would be stranger than they were, into situations I imagined would be much more normal than they turned out to be.
Ben Lerner, The Hatred of Poetry|Hatred and greed are heavy loads. Your motive, on the other hand, is love. And instead of priding yourselves on your cunning, you recognize how weak you are...so weak that you must depend totally on the Spirit of God.
Van Harden, Life in the Purple Wedge!|Worry is a weighty monster with poisoned tentacles. It clutches at us, grabs at our minds, steals our breath, our will. It lurks. It pounces. It colors how we perceive the world.
Giovanna Fletcher, Christmas With Billy and Me|I love the arrival of a new season — each one bringing with it its own emotion: spring is full of hope; summer is freedom; autumn is a colourful release, and winter brings an enchanting peace. It's hard to pick which one I enjoy the most — each time the new one arrives, I remember its beauty and forget the previous one whose qualities have started to dim.
Hanya Yanagihara, A Little Life|. . .the particular way he had of structuring his paragraphs, beginning and ending each with a joke that wasn't really a joke, but an insult cloaked in a silken cape.
William Shakespeare|True hope is swift, and flies with swallow's wings.
M.F.K. Fisher, The Art of Eating|How we are almost nothing. We think, in our youth, we are the centre of the universe, but we simply respond, go this way or that by accident, survive or improve by the luck of the draw, with little choice or determination on our part.
Donna Lynn Hope|Sometimes, oftentimes, people hold on to someone they love for self – because it's what they want; in rare cases, a person, who sincerely knows the meaning of love, which is sacrifice, loves enough to say goodbye and to walk away. They do it because they love someone enough to allow them to move on without them or to not be torn in multiple directions, which causes confusion, or because they feel that is their only choice.Loving like that is doing for another and denying self. It is sacrifice.It takes tremendous strength and the cost is loss and heart-ache but it's a price the rare are willing to pay because they truly love that much.
Padma Lakshmi, Love, Loss, and What We Ate: A Memoir|There was currant toast squishy with butter, caramel-marshmallow squares, strawberry boats oozing custard, chocolate exclairs that exploded with cream when the cats bit into them with their little white teeth and-- a special treat for Pleasant-- a pie made from thick slices of Bramley apple, with just the right amount of tangy in the tangy-sweet.
Paula Cole|Like every art form, there are jealousies and angers and competitiveness in magic. But there's camaraderie among magicians, whether you perform it for a living or you're an enthusiast.
Jon Batiste|With today's technology, you can actually see the baby grow, move, and hear their little heart beats.
Tamara L. Chilver|God has a plan for you (Jer. 29:11) and you will make it through this time of testing. Keep on believing and moving forward and you will see Him working out the details. God is never early or late but His timing is always perfect. You will see, I promise.
Nancy Astor the Viscountess Astor|(Exchange with Winston Churchill)Churchill explains that having a woman in Parliament was like having one intrude on him in the bathroom, to which the Lady Astor retorted, "Sir, you are not handsome enough to have such fears".
Friedrich Nietzsche|The practice of that which is ethically best—what we call goodness or virtue—involves a course of conduct which, in all respects, is opposed to that which leads to success in the cosmic struggle for existence. In place of ruthless self-assertion it demands self-restraint; in place of thrusting aside, or treading down, all competitors, it requires that the individual shall not merely respect, but shall help his fellows... It repudiates the gladiatorial theory of existence... Laws and moral precepts are directed to the end of curbing the cosmic process.
Arthur C. Clarke, 2010: Odyssey Two|I am strongly of the opinion that, after the age of twenty-one, a man ought not to be out of bed and awake at four in the morning. The hour breeds thought. At twenty-one, life being all future, it may be examined with impunity. But, at thirty, having become an uncomfortable mixture of future and past, it is a thing to be looked at only when the sun is high and the world full of warmth and optimism.
Jonathan Safran Foer, Everything Is Illuminated|A marriage is a delicate thing, Maggie, a balance of two hearts and two hopes. Sometimes the weight's just too heavy on the one side, and the other can't lift to it.
William Manchester, The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932|It comes over me that I had then a strange alter ego deep down somewhere inside me, as the full-blown flower is in the small tight bud, and I just took the course, I just transferred him to the climate, that blighted him once and for ever.
David Hare, Via Dolorosa & When Shall We Live?|We appealed to the conscience of the world. The world has no conscience. We have no one but ourselves."The fight. The struggle. The historic destiny. The return of the people. The cause: life therefore having a meaning and shape that eludes the rest of us in the endless wash of 'What the hell are we doing here?' In a single day, says an Israeli friend, he experiences events and emotions that would keep a Swede going for a year.
Scott Derrickson|For me, my family and my faith have been what's really been my anchor, and grounding me, and helping me navigate through a lot of the things that really destroy marriages in Hollywood, and in your own personal integrity.
Ally Carter, Take the Key and Lock Her Up|-I'm your girlfriend?- "No." Alexei shakes his head, then pulls me to him again, holds me closer. "There's not a word in either of our language for what you are to me".
Fiona Apple|When I was a kid--10, 11, 12, 13--the thing I wanted most in the world was a best friend. I wanted to be important to people; to have people that understood me. I wanted to just be close to somebody. And back then, a thought would go through my head almost constantly: "There's never gonna be a room someplace where there's a group of people sitting around, having fun, hanging out, where one of them goes, 'You know what would be great? We should call Fiona. Yeah, that would be good.' That'll never happen. There's nothing interesting about me." I just felt like I was a sad little boring thing.
William Faulkner, The Town|She was bored. She loved, had capacity to love, for love, to give and accept love. Only she tried twice and failed twice to find somebody not just strong enough to deserve it, earn it, match it, but even brave enough to accept it.
Derek Landy, Kingdom of the Wicked|Emergency Valve Regulators," she repeated. "So you do know what your doing?"Not really," he said yanking another wire. 'I made up that term to keep you happy. I'm just pulling all the red wires because they're the pretty ones.
David Brazzeal, Pray Like a Gourmet: Creative Ways to Feed Your Soul|Creativity and spirituality function on the same side of the brain. If that is true, it is quite reasonable and natural for them to function together. The prophets and mystics we're obviously aware of this connection. p. 23.
Donna Grant, Darkest Flame: Part 4|He turned to look at her. "We've some talking to do.""Didn't we do that on the plane ride over here?""I doona remember talking. I remember kissing, touching, and many orgasms, but no talking.
Mikhail Bakunin|Like all parents, my husband and I just do the best we can, hold our breath and hope we've set aside enough money for our kid's therapy.
Virginia Woolf|If we don't figure out a way to create equity, real equity, of opportunity and access, to good schools, housing, health care, and decent paying jobs, we're not going to survive as a productive and healthy society.
Beta Metani' Marashi|Your life "behind the scenes" must correspond to your life "on stage." What you preach must correspond to how you live
Burton E. Stevenson, American Men of Action|It appears to me that one defeats God precisely by not trying to stand above God, but on the contrary by using God's own existence against God.
Morton Hunt, The Story of Psychology|Historians are wont to name technological advances as the great milestones of culture, among them the development of the plow, the discovery of smelting and metalworking, the invention of the clock, printing press, steam power, electric engine, lightbulb, semiconductor, and computer. But possibly even more transforming than any of these was the recognition by Greek philosophers and their intellectual descendants that human beings could examine, comprehend, and eventually even guide or control their own thought process, emotions, and resulting behavior. With that realization we became something new and different on earth: the only animal that, by examining its own cerebration and behavior, could alter them. This, surely, was a giant step in evolution. Although we are physically little different from the people of three thousand years ago, we are culturally a different species. We are the psychologizing animal.
Karan Mahajan|Nothing could have prepared me for the reality of the situation here. You just can’t imagine it unless you see it. And even then your experience is not at all the reality: what with the difficulties the Israeli army would face if they shot an unarmed US citizen, the fact that I have money to buy water when the army destroys wells, and of course, the fact that I have the option to leave. I am allowed to see the ocean.
Terry Pratchett, Wyrd Sisters|People sometimes talk about the power of first impressions, and believe me, there is truth to it.
Peter O'Toole|A famous person to themselves, they don't get up in the morning and think, I'm famous. I'm not famous to me. Famous is a perception.
Richard M. Weaver, Ideas Have Consequences|[I]f we feel that creation does not express purpose, it is impossible to find an authorization for purpose in our own lives.
Orhan Pamuk, Snow|I finally found him sitting on his balcony. He was leaning back against the wall with his eyes closed. Soft music played, and a cool ocean breeze blew back my hair as I stepped on to the balcony and inhaled the scent of the sea."May I join you?" I asked softly.He didn’t bother opening his eyes. "If you like."The moon in the dark sky looked like a giant white plate dipping its edge into the ocean. We sat quietly for a while. I closed my eyes too and listened to him hum along in harmony with the music."You haven’t played your guitar in a long time. I miss it," I said when the song was finished.Ren turned away. "I fear there is no music left in me.
Toby Frost, Space Captain Smith|People get the wrong idea. I blame science-fiction writers, personally. It annoys me how they confuse the whole robot issue. I tell you, if I met that Asimov bloke, I’d harm him, or at least through inaction allow him to come to harm.
Brey King, Miracle's Mate|Sweetheart, this is not a race to the finish line. It’s you and me, spending time together and getting to know each other better. Just that simple.
Geraldo Rivera|Our treasure lies in the beehive of our knowledge. We are perpetually on the way thither, being by nature winged insects and honey gatherers of the mind.
Rossana Condoleo, Happy Divorce: How to turn your divorce into the most brilliant and rewarding opportunity of your life!|When we do something we like, we are not only happy. We are also very strong!
Elizabeth Goudge|The woman, who is not the wife, has no right to receive the seed of the man, because it is the man and not the woman, who has to bear the responsibility for his seed
Peggy A. Edelheit|My motto? Don’t trust someone who is just as cagey as yourself." "What kind of detective are you?” “A lousy one and proud of it. I write, remember?” She looked down at her hand & laughed. “Berretta doesn’t make lighters.” "Why I was a writer! My life revolved around fiction. I could make something up""She looked down at her hand & laughed. “Berretta doesn’t make lighters.” "So they're not Tolstoy, they're a little shorter...Okay, okay a lot. Go ahead, read my mystery series anyway." "A detective has their boundaries especially me. So mine shifted occasionally...okay a lot" “Beat it, Buster. My temper and this mace have a hair trigger.”“Interference could be lethal.” I got right up in his face, hissing, “Don’t push me, I’m hormonal.”I'm not really a lousy detective, just rough around the edges.
Richelle E. Goodrich, Making Wishes|If only I could see myself from the same vantage point that I observe the world; I might judge my behavior and expressions more critically, and others less.
John Patrick Hickey, On The Journey To Achievement|Always remember, success leaves clues.
Amelia Hutchins, Fighting Destiny|I go in on your arm and we separate. To make me look unavailable, since Vlad likes what he can’t have, I play dumb blonde and make myself sexy.” I glared as Adam barked with laughter at my words.“No going off of the plan, when he takes you in the back room—and he will, you work the information out of him without blowing your cover, or him.” I shot the glare to Ryder. “I have no intention of bobbing on Vlad’s knob. Or yours.” I tossed into remove the wide smirk my response had given him and it worked.
Ursula K. Le Guin, The Wave in the Mind: Talks & Essays on the Writer, the Reader & the Imagination|Making female noises, shrieking and squeaking and being shrill, all those things that annoy people with longer vocal cords. Another case where the length of organs seems to be so important to men.
Vironika Tugaleva|You are not who you think you are. You are not your fears, your thoughts, or your body. You are not your insecurities, your career, or your memories. You're not what you're criticized for and you're not what you're praised for. You are a boundless wealth of potential. You are everything that's ever been. Don't sell yourself short. Every sunset, every mountain, every river, every passionate crowd, every concert, every drop of rain - that's you. So go find yourself. Go find your strength, find your beauty, find your purpose. Stop crafting your mask. Stop hiding. Stop lying to yourself and letting people lie to you. You're not lacking in anything except awareness. Everything you've ever wanted is already there, awaiting your attention, awaiting your time.
T. Scott McLeod, All That Is Unspoken|You necessarily have to be lost, before you’re found.
