Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Richelle E. Goodrich, Making Wishes|Don't seek to be happy; let everyone else chase after that rainbow. Seek to be kind, and you'll find the rainbow follows you.
Lord Paulmerston|Why don’t they complain?""They do sometimes. But usually there's nothing in particular to complain about. Take the case of Hardy's appointment: Who was to blame? Hardy himself? The men? It certainly wasn't the CO. But that's how it always is. Whenever one of us doesn't get an appointment or a promotion, there's always a mist of regulations that makes things unclear. On the surface everything in the army appears to be ruled by manuals, regulations, procedures: it seems very cut and dried. But actually, underneath there are all these murky shadows that you can never quite see: prejudice, distrust, suspicion.
Graham Masterton|Somewhere, all the people we have loved and lost are still among us, in the house that we call history.
Lois P. Frankel, Nice Girls Don't Get Rich : 75 Avoidable Mistakes Women Make with Money|As I mentioned earlier, women get mixed messages in childhood: You can do anything you want... but it wouldn't hurt to find someone who will take good care of you.
Mary Alice Monroe, The Book Club|June dawns, July noons, August evenings over, finished, done, and gone forever with only the sense of it all left here in his head. Now, a whole autumn, a white winter, a cool and greening spring to figure sums and totals of summer past. And if he should forget, the dandelion wine stood in the cellar, numbered huge for each and every day. He would go there often, stare straight into the sun until he could stare no more, then close his eyes and consider the burned spots, the fleeting scars left dancing on his warm eyelids; arranging, rearranging each fire and reflection until the pattern was clear...So thinking, he slept.And, sleeping, put an end to Summer, 1928.
Kid Rock|Honestly, the average American spends about 52 minutes a day in commute traffic. And as much as I love driving my car and many people like driving their car, commuting has never been fun for me.
Lisa Anderson, The Dating Manifesto: A Drama-Free Plan for Pursuing Marriage with Purpose|Don't diss being a wife and mother in favor of chasing after something that seems sexy and significant. Be open to what God has for you, and let him add the excitement.
J.M. Coetzee|Become major, Paul. Live like a hero. That's what the classics teach us. Be a main character. Otherwise what is life for?
Lailah Gifty Akita, Think Great: Be Great!|In every situation, may we find the grace of endurance.
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|It is not many things that modern psychology agress upon, but all the different approaches of psychology agrees on one thing: that people in groups become more stupid. Individually people are more intelligent, because they have to take their own responsibility, but in a group they do not have to take the same responsibility. The two basic power strategies to try to manipulate and gain control over another person are: silencing and attacking. Silencing means to not listen to, to exclude or ignore and not respect a person. Attack can both mean to attack a person directly or to try to discredit a person through lies, to ridicule a person or by spreading malicious rumours. All organizations are more or less dysfunctional. In a dysfunctional group, the members of the group play three different roles: agressor, denier and victim. The agressor is the role that attack and ridicule people, the denier never knows what is going on, there is “no body at home”, and the victim is the resultat of these two roles. It is always easier to follow a group without awareness, than to follow your own heart, to trust your own intelligence, love, truth, silence and creativity.
Elvis Presley|1. Everyone is entitled to their opinion about the things they read (or watch, or listen to, or taste, or whatever). They’re also entitled to express them online.2. Sometimes those opinions will be ones you don’t like.3. Sometimes those opinions won’t be very nice.4. The people expressing those may be (but are not always) ass
Gina Damico, Croak|She wished, as almost all kids wish at one point or another, that she could turn into a pterodactyl and fly away and never come back.
Amy Andrews, Playing With Forever|I just don’t understand why they’d think we were together, when I’m leaving the country to live on the other side of the planet in a month?”It was Ryder’s turn to snort. “Well gosh, I don’t know Juliet. Maybe your hand on my cock was a clue.”She sucked in a breath, her eyes glittering now. “They could not see that!”“They didn’t have to,” he bit out. “We were practically humping each other at the table.
Jerhia|End is not the End, in fact, E.N.D means "Effort Never Dies".
Kahlil Gibran, The Prophet|When love beckons to you, follow him,Though his ways are hard and steep.And when his wings enfold you yield to him,Though the sword hidden among his pinions may wound you.And when he speaks to you believe in him,Though his voice may shatter your dreams as the north wind lays waste the garden.
Nikolai Gogol, The Overcoat and Other Works by Nicolai Gogol|I must confess that I do not understand why things are so arranged, that women seize us by the nose as deftly as they do the handle of a teapot: either their hands are so constructed, or else our noses are good for nothing else.
Leo Rosten, Captain Newman, M. D|I learned that it is the weak who are cruel, and that gentleness is to be expected only from the strong.
Anna     Stevens|Sometimes it is one step at a time, and things don’t always work out the way we would like them to, but as you allow God to direct you He will bring you to a place of peace.
Yvonne Pierre, The Day My Soul Cried:  A Memoir|Holding on to weight (i.e. anger, bitterness, the past, hatred) will not only hold you back, but also block your blessings. You've got to let some things go to move forward.
Vironika Tugaleva|Can you do something for me? Can you take one moment, right now, and acknowledge how far you've come? Can you appreciate, completely, the lessons that all of your mistakes have already brought you and the wisdom you've collected from all of the pain that seemed so senseless at the time? Can you celebrate your journey and forget, just for a second, about the ever-changing destination?Because the truth is that there will never be a "perfect" time to appreciate yourself. There will not be a magical moment when everything is finally sorted out and you'll be naturally driven to give yourself some space to feel good about what you've been doing. Unless you make that space. Unless you create that moment.There will always be more growing to do. That is the beauty of life. There is always some new opportunity to do something new, to make something old better, to chuck out something useless, to transform something into something else. It's important to spend just as much time seizing these opportunities as appreciating the lessons they teach you and the person you become from seizing them. So do this for me, for yourself, today—celebrate. Just like you'd celebrate a birthday or a graduation, celebrate your endless journey of self-discovery. You deserve it. You need it. We all do.
Laurie Elizabeth Flynn, Firsts|It was worth it," Faye says after school while she walks me to my car. "It's not fair that you take all the shit for this while the guys get to walk around like nothing happened. They're just as much to blame.""I'm the one who started it," I say, kicking a beer cap across the parking lot with my shoe. "If I hadn't started it, nothing would have happened."Don't let them off the hook so easily," Faye snaps. "They were coming to you. It takes two to have sex. So don't defend them.
Emily P. Freeman, Grace for the Good Girl: Letting Go of the Try-Hard Life|Science cuts two ways, of course; its products can be used for both good and evil. But there's no turning back from science. The early warnings about technological dangers also come from science.
James Frey, A Million Little Pieces|Be strong. Live honorably and with dignity. When you don't think you can, hold on.
Eric Schlosser|Food is not rational. Food is culture, habit, craving and identity.
Nikki Rowe|I own my past, it hasn't been grande' But it's had some pretty great moments. I own my movements of now, it isn't what I've dreamt, but I'm closer than I was before.I own my future, it is going to test me, But I trust I have the strength to pull through. Life isn't what happens to us, but what we choose to become.
Kamand Kojouri|Extremities are flawed. Moderation is ideal, save for one occasion.So damn these eyes that weep too much.This mind that thinks too much. But never this heart that loves too much.
Frank Herbert, Chapterhouse: Dune|There's some ill planet reigns:I must be patient till the heavens lookWith an aspect more favourable. Good my lords,I am not prone to weeping, as our sexCommonly are; the want of which vain dewPerchance shall dry your pities: but I haveThat honourable grief lodged here which burnsWorse than tears drown: beseech you all, my lords,With thoughts so qualified as your charitiesShall best instruct you, measure me; and soThe king's will be perform'd!
J.M. Reep, Leah|Leah looked at her parents, lost in their own fantasies, and decided that the three of them were a pretty pathetic family - but she wasn't sure who was more pathetic: the dateless girl spending the night of the big dance by herself in her bedroom, or the parents who foolishly believed a boy would arrive on their doorstep with flowers, a limo, and a promise to rescue their daughter from her solitude.
Dave Eggers, You Shall Know Our Velocity!|I hung up the phone, jubilant, and threw myself into a wall, then pretended to be getting electrocuted. I do this when I'm very happy.
Jack Kerouac|These memories are part of my heritage, the fabric of my personality, and as real to me as the land itself.
Adrian Nicole LeBlanc, Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx|A fog of despair so pervaded the ghetto that the smallest gesture of rebellion could seem like a bold, piercing light. Bad, said with a fond expression, was almost always a compliment.
Bill Kreutzmann|I think there is a difference between Slate and Salon. I think we both serve important functions on the Internet. As more and more Websites disappear, I'm thankful Slate is still around because it makes things less lonely.
Maisie A. Smikle|While they proceedTo and fro, andCome and go Like Spring, SummerAutumn and WinterChastise, Criticize And SlanderJesus still remainsA Wonder
Say Anything, Skinny mean man|Every existing thing is born without reason, prolongs itself out of weakness and dies by chance.
Leigh Bardugo, Crooked Kingdom|You have your own problems right now, Zenik, said a voice in her head. Stop worrying about saving the world and save your own ass. Sometimes her inner voice could be very wise.
Cindy Charlton|If I only looked at what I've lost, I'd never be able to see what I have.
Tarun J. Tejpal, The Alchemy of Desire|Fizz had a phrase for those manic occasions when you scaled every final peak, fell off the other side and passed out. Mightysatiety. The oblivion of maximum pleasure.
Socrates|It is necessary to meditate early, and often, on the art of dying to succeed later in doing it properly just once.
Joel Osteen|Any decision I make is based on myself, and the only person I have to give an explanation to is God.
Amaka Imani Nkosazana, Heart Crush|Beautiful things happen when you believe, just open your heart and your mind to conceive.
Sebastian Roche|I've also committed my time and resources to many local organizations like Christmas in April, Catholic Community Services, and Hudson County Meals on Wheels.
Lionel Fisher, Celebrating Time Alone: Stories Of Splendid Solitude|In very rare cases, people will be self-satisfied and content within themselves. More often than not the very same people who choose to live alone are simply in denial after a painful experience or the failure in an intimate relationship.
Truman Capote|The city seen from the Queensboro Bridge is always the city seen for the first time, in its first wild promise of all the mystery and the beauty in the world.
Saahil Prem|Fly’ GenerationWe stand tall, we stand proud, we are the ‘fly’ generationWe think what we learn to think and dream with our eyes openWe keep our hearts on our sleeves for it to be brokenbut we can take it, we are the ‘fly’ generation.We question things when we need to understandIts important we know, how it works, where we standWhy all this pain and no explanation?we need answers, we are the ‘fly’ generation.We love to hate and hate to love, what have we become?Since when is that the norm? when did we succumb?The victims will be forgotten and culprits will change faceBut we will still be running, running to win the invisible race.So here’s to the untold stories and six degrees of separationwe can take it, after all… we are the ‘fly’ generation.
Julia Devlin, The Burn List|You’re being deliberately cruel, now.” “No – I think deliberately cruel would be if I told you something rude, like: I’d love to see you stroking your stiff dick until you came all over yourself.” I pause again, but this time it’s not to eat his expression. This time I’m employing a bit of dramatic license, I think. “Or until you came all over me – because you know, you could do that if you wanted to. I could undo my nightie, and then you could just … spurt all over my tits.” He makes the following sound: “Hoh.
Tig Notaro|Two famous happy warriors - Reagan and his political soulmate, British Prime Minister Margaret Thatcher - knew they were fighting their own ideological and external wars. But they did so with the sunny dispositions and positive outlooks of those who knew they were on the right side of history.
John Medina, Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School|Remember, you are not managing an inconvenience; You are raising a human being.
Nanci McGraw, Organized for Success!: 95 Tips for Taking Control of Your Time, Your Space, and Your Life|Don’t hold back because you’re afraid of hurting someone else. If your best friend wants to be a cheerleader and you make the team but she doesn’t, don’t feel guilty. If you end up earning more than your sister, it’s not a betrayal. Your success might be an inspiration for someone else, while limiting yourself to avoid upsetting the balance doesn’t help anyone. Equally, rather than being paralysed by jealousy when someone else is coming out on top, use it to spur you on to greater things. Some of our best achievements will be triggered by envy at seeing someone else fulfilling our secret ambitions.
Laurieann Gibson|You know, the man of my dreams might walk round the corner tomorrow. I'm older and wiser and I think I'd make a great girlfriend. I live in the realm of romantic possibility.
Maureen Johnson, The Madness Underneath|I don't know if there is actually more rain here in England, or if it was just that the rain seemed to be so deliberately annoying. Every drop hit the window with a peevish "Am I bothering you? Does this make you cold and wet? Oh, sorry.
Charmaine J. Forde|He fell in love with her house and land,He fell in love with her pension plan,He worked his way to her lonely heart,He was quite wily from the very start.
Brenna Yovanoff, The Replacement|I wanted to tell her that I loved her, and not in the complicated way I loved our parents, but in a simple way I never had to think about. I loved her like breathing.
Brian   Joyce, The B-Side Diaries|There are moments in our lives that define the people we will become in the future, like a symptom before an ailment, or the catalyst before the cure.
Ernest Agyemang Yeboah|Life is not a one day journey and we must journey in life taking a step after a step, and considering the time such that we do not waist the time; knowing that in the end, we shall surely get to the end with a noble story after all our distinctive steps we took with a well balanced patience and impatience come to an end!
Manasa Rao|A man who tosses worms in the river isn’t 't necessarily a friend of the fish. All the fish who take him for a friend, who think the worm’s got no hook in it, usually end up in the frying pan.
Debasish Mridha|Remember that everything that is happening around you, good or bad, is in some way conspiring to help you.
Michael Franti|If we're going to pass international trade agreements, as we should, they should have similar kind of rules, not as high a wage as obviously as a steelworker in the U.S. or in Lorain, Ohio, but certainly rules on the environment and worker safety. You go to Mexico, you don't see those kinds of worker protections or environmental safeguards.
Benjamin Cain, Rants Within The Undead God|Maybe it's not finding a reason, it's trusting that there is one.
Anthony Sloan|Government should protect people and regulate corporations, not protect corporations and regulate people.
Terry Pratchett, Wintersmith|Tiffany got up early and lit the fires. When her mother came down, she was scrubbing the kitchen floor, very hard.“Er…aren’t you supposed to do that sort of thing by magic, dear?” said her mother, who’d never really got the hang of what witchcraft was all about.“No, Mum, I’m supposed not to,” said Tiffany, still scrubbing.“But can’t you just wave your hand and make all the dirt fly away, then?”“The trouble is getting the magic to understand what dirt is,” said Tiffany, scrubbing hard at a stain. “I heard of a witch over in Escrow who got it wrong and ended up losing the entire floor and her sandals and nearly a toe.”Mrs. Aching backed away. “I thought you just had to wave your hands about,” she mumbled nervously.“That works,” said Tiffany, “but only if you wave them about on the floor with a scrubbing brush.
Daphne du Maurier, My Cousin Rachel|But a lonely man is an unnatural man, and soon comes to perplexity. From perplexity to fantasy. From fantasy to madness.
Jane Yolen, The Devil's Arithmetic|Know, my son, that the enemy will always be with you. He will be in the shadow of your dreams and in your living flesh, for he is the other part of yourself. There will be times when he will surround you with walls of darkness. But remember always that your soul is secure to you, for your soul is entire, and that he cannot enter your soul, for your soul is part of God.
Robert Henri, The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art|I have no sympathy with the belief that art is the restricted province of those who paint, sculpt, make music and verse. I hope we will come to an understanding that the material used is only incidental, that there is artist in every man; and that to him the possibility of development and of expression and the happiness of creation is as much a right and as much a duty to himself, as to any of those who work in the especially ticketed ways.
Edmund Phelps|Eid is here! On the first day, it is a custom for all Malaysian Muslims to ask for forgiveness from our parents. We kiss their hands and wish them 'Selamat Hari Raya' or 'Eid Mubarak.' 'Maaf Zahir dan Batin' means 'to apologize in spirit and actions.'
Siska Astriana|Without an error of reasoning, there should be no doubt that each of us needs to be loved.
David Mamet|Rock n' roll is our religion, and we will continue to lose disciples as we go, but we pick up the fallen flag and keep moving forward, bringing forth the good news that our heroes have helped create, their bodies lost, but their spirits and their good work everlasting.
David Mamet, The Secret Knowledge: On the Dismantling of American Culture|Society functions in a way much more interesting than the multiple-choice pattern we have been rewarded for succeeding at in school. Success in life comes not from the ability to choose between the four presented answers, but from the rather more difficult and painfully acquired ability to formulate the questions.
Richelle E. Goodrich, Slaying Dragons|What kind of person is void of compassion? A heartless one. But alas, compassion cannot exist without the endurance of afflictions.
Lisa Kessler, Blue Moon|Come closer." His voice was more of a growl than a whisper. Hot.
Ana Claudia Antunes, Mysterious Murder of Marilyn Monroe|I remember when Elvis died. I wrote my sentiments with words of a little girl in my dear diary, "Many people wanted to see his body. They literally wanted to dig his bones out just to make sure that he was being buried. And I could not understand why. Why people could not leave him alone and let his soul rest in peace." I couldn't get it. I didn't grasp it at that time. In a head of a little girl it was hard to believe that there were mysteries to be solved. That there ruled a conspiracy theory that people thought it was odd that he was buried and the casket was never opened. They didn't believe he was dead! Oh yes. Elvis Lives! And as the world needs his songs, his words, his thoughts, his love, his light more than ever before.
Debasish Mridha|The more you know, the more you will be able to appreciate the beauty of life and your heart will desire to learn.
Kiera Cass, The Crown|Her jaw was firmly set, but her lips... her full, perfect lips were slightly parted in an expression that matched the vulnerability in her eyes -frightened yet determined. His heart skippeed a beat, and he swallowed the lump in his throat.
Jeaniene Frost, At Grave's End|Margaret was not a ready lover, but where she loved she loved passionately, and with no small degree of jealousy.
Manoj Vaz|Love is like is like the setting sunafter shining brightly, it dips steadilytill it disappears...only to resurface another day.
Priyavrat Thareja|Beyond a certain speed, motorized vehicles create remoteness which they alone can shrink. They create distances for all and shrink them for only a few. A new dirt road through the wilderness brings the city within view, but not within reach, of most Brazilian subsistence farmers. The new expressway expands Chicago, but it sucks those who are well-wheeled away from a downtown that decays into a ghetto.
Tyler Perry|Mothers are supposed to listen and, afterward, to respond with some wisdom and perspective, but these things were not my mother's strong suit.
R.J. Seeley, Released|Selling yourself short shortchanges others who could reap the benefits of what you have to offer; it also shortchanges you who could, in turn, reap the benefits of what others want to offer you.
Elise Icten|Once upon a time, there was a world. It had three types of people in it. Those who walked a path of fear. Those who walked a path of faith and those who were lost. There were two realities; one that was visible to the senses and the other visible to the soul. Those on a path of fear, would see all things worldly. Those on a path of faith would feel the beauty. Those who were lost were incapable of neither seeing or feeling.
Martin Weitz, The Elena Text|For Elena Text fans, here is the the first paragraph of the press release which will be hitting the world's media in the days before the book launch on January 26, 017.The Elena Text: Explosive New Thriller, Hailed “Upmarket Dan Brown”, Excavates Delphi’s Most Secretive TreasureMeticulously researched and masterfully crafted by award-winning filmmaker, Martin Weitz, ‘The Elena Text: Ambition, Desire & Betrayal’ makes fact and fiction indistinguishable as it fuses a provocative, blistering thriller with the untold story of a closely-guarded secret unearthed at Delphi, Greece in the 1930s. But this isn’t just a story that exposes and unravels one of history’s most elusive and prized antiquities; it’s also an unorthodox journey into research on sexual orgasm and ecstasy, and its shocking links to prophetic teachings by the Greeks over three millennia ago. Intricate, intelligent and a new paradigm of historical fiction, it’s no wonder critics are hailing the volume as something even Dan Brown could never have conceived.
Brooke Shields|Crowds are the most difficult thing for me these days because I have to walk with my head down and my eyes averted. There's still that part of me that wants to hold my head up, make eye contact and smile.
Scott Stossel, My Age of Anxiety: Fear, Hope, Dread, and the Search for Peace of Mind|My mind turned by anxiety, or other cause, from its scrutiny of blank paper, is like a lost child–wandering the house, sitting on the bottom step to cry.
Robin M. Bertram|18.	Godly character is what you are when you've been tried and proven. It is not what you say you are, or what people think you are but, instead, it is what shines through after you have suffered and have endured. It is the proof of your genuineness.
Bernhard Schlink, The Reader|Oh...if you were older...It is not a bad thing, itself, but it is a bad thing to be used by men, to have them choose what you must be, and what you must not be, to have little choice in your life. If you were older, you could choose your own way.
John Mark Green|No matter how dark your night, my friend, may you always find enough light to take the next step.
Ernest Hemingway, The Old Man and the Sea|He can't have gone, he said "Christ know he can't have gone. He's making a turn. Maybe he has been hooked before and her remembers something of it." The he felt the gentle touch on the line and he was happy.
Julia Quinn, Ten Things I Love About You|I can imagine no greater bliss than to lie about, reading novels all day.
Laini Taylor, Strange the Dreamer|What's a horizon?' Lazlo asked, straight-faced. 'Is it like the end of an aisle of books?
Pierre Reverdy, The Cubist Poets in Paris: An Anthology|The sun shines on all and all alike, It's not surprising that we feel good when we immerse ourselves in nature.
Stephenie Meyer, Breaking Dawn|I mean, electric shock? Isn’t that a bit... electric shock-y?
James Franco|No matter how strong you are, no matter how smart you are or tough you can be, the world will find a way to break you. And when it does, the only thing you can do is hold on.
David Foster Wallace, Infinite Jest|So tonight to shush you how about if I say I have administrative bones to pick with God, Boo. I'll say God seems to have a kind of laid-back management style I'm not crazy about. I'm pretty much anti-death. God looks by all accounts to be pro-death. I'm not seeing how we can get together on this issue, he and I, Boo.
Lee Trevino|You can believe what you want religiously. Religion is one thing, but science, provable science, is something else.
Ernest Vincent Wright, Gadsby|A human mind was built for contact with similar minds. It should,—in fact,—it must think about what is going on around it; for, if it is shut up in a thick, dark, bony box of a skull, it will always stay in that condition known as "status quo"; and grow up, antagonistic to all surroundings.
Rebecca Rasmussen, The Bird Sisters|Life and death- what paltry words, what tarnished bookends,what unjust summation for drawing breath one moment and failing to release it the next.
Brad Bierdz|Ophelia was surprised by how easily she lied. She had two stolen keys in her pocket, and the lies were sliding off her tongue. Soon, she'd probably be shoplifting. She expected that was how it started.
Colleen Hoover, Hopeless|Breath (from the book Blue Bridge)Whispering to myself	With every step I take,Trying out names, for I know	There is something yet to be called …..I know it, something up ahead	Just around the bendOr over the rise –	A bird taking to the skyFrom the edge of a jagged cliff – A bird floating outwardsIn silence ……. A silence	Waiting for a footstepTo crunch on stones,	For a voice to fling upwardThrough sharp sunlight	With a name…… callingBefore the bird could call	Before the bird called.Oh the bird was there alright	And sure it took flightWhen it heard me approach	But it broke my heartWith a mighty croak!So I’m sitting here playing	With a purple flowerSlender stem, no leaves	Purple fizz –And it’s quiet again.	I am stillI am nothing	And the hillIs a long, long slope	Down, down, down to the seaFar below.I could roll	I could runI could scream	But I am nothing.A cool wind blows	And the light is naked and namelessAnd the rocks are faces of angels	And the bird in the sky wheelsAnd cries to forget the earth	And its ancient bones –Oh, sensual pain –	Wings…. Wings…. Wings,Singing wings.If only I could begin To describe the emptinessWhich fills me to the brim	With new breathI might almost lose my name	And take instead a feather for my soul.
Ezra Pound, ABC of Reading|And the good writer chooses his words for their 'meaning', but that meaning is not a a set, cut-off thing like the move of knight or pawn on a chess-board. It comes up with roots, with associations, with how and where the word is familiarly used, or where it has been used brilliantly or memorably.
Michelle Frost|She knows how to feed her soul with a few quick breaths of outdoor air from the stairwell. She can bide her time till freedom comes. Little fox lady with her bright and determined eyes... taking her dose of freedom three times a day. Nothing else matters, she never stops to talk. She has better places to be than standing talking to other sick people. She has a fragment of home calling.
Dean Winchester Jensen Ackles|With timid curiosity, I asked, “what do you mean the old bodies get reused?
Alan Greenspan|You have to trust your kids. They have to experience life, and you just hope you've provided them a foundation for what's right and what isn't.
Wes  Moore|Life's impermanence, I realized, is what makes every single day so precious. It's what shapes our time here. It's what makes it so important than not a single moment be wasted.
Melina Marchetta|Are you calling us pigs?’ Froi asked, watching as Rafuel winced for the tenth time at the formality of Froi’s Charyn.Rafuel thought for a moment and then nodded.‘Actually yes, I am. Pig-like.’Froi turned back to Trevanion and Perri, who were discussing the need for longbow training in the rock village.‘What is it?’ Perri asked Froi.‘He said we eat like pigs.’Trevanion and Perri thought about it for a moment and then went back to their conversation.
Sarah Silverman|Never give up hope. If you do, you'll be dead already.--Dementia Patient, Rose from The Inspired Caregiver
Santosh Kalwar|If he acts, if he doesn't, it's meaningless. The whole thing goes forward. No one is important. No one at all.
Rupert Thomson, The Five Gates of Hell|And suddenly I rejoiced in the great security of the sea as compared with the unrest of the land, in my choice of that untempted life presenting no disquieting problems, invested with an elementary moral beauty by the absolute straightforwardness of its appeal and by the singleness of its purpose.
Sinclair Lewis|God is at work telling a story of restoration and redemption through your family. Never buy into the myth that you need to become the "right" kind of parent before God can use you in your children's lives. Instead learn to cooperate with whatever God desires to do in your heart today so your children will have a front-row seat to the grace and goodness of God.
Bertrand Russell|Science is a first-rate piece of furniture for a man's upper chamber, if he has common sense on the ground-floor. But if a man hasn't got plenty of good common sense, the more science he has, the worse for his patient.
Robert Fitzgerald, The Odyssey|Men's lives are short .The hard man and his cruelties will beCursed behind his back and mocked in death.But one whose heart and ways are kind - of himstrangers will bear report to the whole wide world,and distant men will praise him.- Penelope in Robert Fitzgerald trans. THE ODYSSEY (364)
Darren Shan, Demon Apocalypse|I stop reading after half an hour. I’ve had enough. Humanity has hit a brick wall. We’re facing our end, like the dinosaurs millions of years before us. The only difference is we’ve got journalists on hand to document every blow and setback, cataloguing our rapid, painful downfall in vibrant, vicious detail. Personally, I think the dinosaurs had the better deal. When it comes to impending, unavoidable extinction, ignorance is bliss.
Freddie Mercury|Money doesn't buy happiness, but it does pay for therapy.
Suzy Kassem|You don't understand," gasped Eli. "No one understands.""When no one understands, that's usually a good sign that you're wrong.
Stephanie Perkins, Lola and the Boy Next Door|The girl in the tight black dress was passing by us now, eyeing Wes and walking entirely too slowly. "Hi," she said, and he nodded at her but didn't reply. Knew it, I thought.Honestly," I said.What?"Come on. You have to admit, it's sort of ridiculous."What is?"Now that I had to define it, I found myself struggling for the right words. "You know," I said, then figured Kristy had really summed it up best. "The sa-woon."The what?
Patrick Süskind, Perfume: The Story of a Murderer|And because people are stupid and use their noses only for blowing, but believe absolutely anything they see with their eyes, they will say it is because this is a girl with beauty and grace and charm.
John Roos|Just as we have the power to harm the ocean, we have the power to put in place policies and modify our own behavior in ways that would be an insurance policy for the future of the sea, for the creatures there, and for us, protecting special critical areas in the ocean.
Junot Díaz|In order to write the book you want to write, in the end you have to become the person you need to become to write that book.
Craig D. Lounsbrough|The death of our self-worth begins at its appraisal, for such an action erroneously implies that our worth can be quantified.
Stephen Sondheim|Life is short, the art long.
Travis Luedke|There’s something sexy about a naked woman gritting her teeth in pain, even when it shouldn’t be sexy.
Meljean Brook, The Iron Duke|The most time consuming process in the world is probably "thinking".
Faith Ford|In fact, my mom always told me because I was the daughter of an Army officer born overseas in Paris, France, that under the Constitution she believed that I could never run for president.
Jan Jansen Easy Branches|If you want to be loved, do what others want. If you want to live, do what you want. The choice is yours.
J.S.B. Morse, Gods of Ruin: A Political Thriller|The government itself, which is only the mode which the people have chosen to execute their will, is equally liable to be abused and perverted before the people can act through it.
Thomas Paine|When a man's best friend is his dog, that dog has a problem.
Kathy Steele|But my personal favorite words of wisdom came from Gulley during the last thirty minutes of the trip, when she broke up a backseat scuffle by declaring, 'When you lick the person sitting next to you, there's a good chance you're going to get punched.'I believe the only reason that gem is missing from the book of Proverbs is because Solomon must never have traveled with three kids in the back of his chariot.
Lydia Davis, Break It Down|The longer the explanation, the bigger the lie.... Always remember that.
William Shakespeare, The Winter's Tale|When we turn around & come face to face with our destiny, we discover that words (spoken) are not enough. I know so many people who are brilliant speakers but are quite incapable of practising what they preach. It's one thing to describe a situation & quite another to experience it. I realised a long time ago that a warrior in search of his dream must take his inspiration from what he actually does & not from what he imagines himself doing.
Vera Brosgol, Anya's Ghost|You may look normal like everyone else, but you're not. Not on the inside.
Katie McGarry, Breaking the Rules|No matter how good you are at planning, the pressure never goes away. So I don't fight it. I feed off it. I turn pressure into motivation to do my best.
Enock Maregesi|Vita ya Shetani na Mungu inatuathiri zaidi sisi wanadamu – na hapo baadaye itamuathiri Shetani pia. Vita hii haiwezi kuisha hadi siku ya mwisho, Yesu Kristo atakaporudi kuwachukua wateule wake. Pambana kwa njia ya maombi hadi siku ya mwisho kwa sababu adui tunayepambana naye hana muda wa kupumzika. Pambana kujiombea na kuwaombea wengine waliohai, na hata wale ambao bado hawajazaliwa, kabla mafuta ya dunia hii hayajalipuka. Usiishi kama adui wa msalaba wa Yesu Kristo, badala yake, ishi kama rafiki wa msalaba wa Yesu Kristo. Kuishi kama rafiki wa msalaba wa Yesu Kristo ni kupinga majivuno yote ya Shetani kwa upendo uliotukuka wa kujishusha au kujidharirisha, kutokutetereka hata kidogo na tamaa za ulimwengu huu kwa upendo mkubwa wa umaskini, na kutokuyumba wakati wa matatizo kwa sababu wakati wa amani ulijilimbikizia imani.
Seth Godin, Poke the Box|Especially difficult when the first and best unconscious move of a dedicated liar is to persuade himself he's sincere. And once he's sincere, all deception vanishes.
Adoniram Judson|With faith and obedience practiced long enough, the Holy Ghost becomes a constant companion, our natures change, and endurance becomes certain.
Anthony T Hincks|You gave me a forever within the numbered days, and I'm grateful!
Vivienne Westwood|I had a long-lasting love affair with the flavors from Japan and the hustling New York street vendors. And, of course, a life-changing return to Ethiopia has made huge impacts on my life in food.
Jonathan Edwards|You can't give the government the power to do good without also giving it the power to do bad - in fact, to do anything it wants.
Stephanie Klein, Straight Up and Dirty|Tell the truth, or someone will tell it for you.
Anna Quindlen, Every Last One|I would keep her, and raise her, and love her, even if she had to teach me how to do it.
Jamie Magee|Tunney has all the makings of a hero – he was clean living, intelligent, polite, reasonably good-looking – but, like Lou Gehrig, he lacked the chemistry that stirred affection.
Madison Thorne Grey, Magnificence|Kathel smoothed out his shirt in an exaggerated manner. "It was the least I could do. I owed her one," he said referring to when Keirah saved Willow. He looked at Keirah and winked. Yeah, so not the thing to do right now, Keirah thought.
Rick Riordan, The Battle of the Labyrinth|You deal with mythological stuff for a few years, you learn that paradises are usually places where you get killed.
Henri Poincare|The scientist does not study nature because it is useful; he studies it because he delights in it, and he delights in it because it is beautiful.
Christina Engela, Dead Beckoning|Meradinis! Turtle Island! It was a little corner of chaos!This was the scene the speeding black ship had left behind three days ago, fleeing in humiliating shame, those three days a constant running battle. For three days the accursed Imperial ship Indomitable had followed, firing on them at every opportunity. Death or imprisonment now awaited those who called themselves Corsairs – and though this death was now more certain rather than just a possibility, Sona Kilroy, or “The Hammer” as he was called by his men, was not prepared to give up his freedom so easily. Piracy was his life and he’d known no other. He was tough and cruel, a despicable man, a case in point when academics quoted the barbarism by which the Corsairs had made themselves known and feared across the star systems of the peaceful Terran Empire.
