Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
Kilroy J. Oldster, Dead Toad Scrolls|The principal advantage of narrative writing is that it assists us place our life experiences in a storytelling template. The act of strict examination forces us to select and organize our past. Narration provides an explanatory framework. Human beings often claim to understand events when they manage to formulate a coherent story or narrative explaining what factors caused a specific incident to occur. Stories assist the human mind to remember and make decisions based on informative stories. Narrative writing also prompts periods of intense reflection that leads to more writing that is ruminative. Contemplative actions call for us to track the conscious mind at work rendering an accounting of our weaknesses and our strengths, folly and wisdom.
Oscar Wilde|I believe that if one man were to live out his life fully and completely, were to give form to every feeling, expression to every thought, reality to every dream - I believe that the world would gain such a fresh impulse of joy that we would forget all the maladies of medievalism, and return to the Hellenic ideal - to something finer, richer, than the Hellenic ideal, it may be. But the bravest man amongst us is afraid of himself. The mutilation of the savage has its tragic survival in the self-denial that mars our lives. We are punished for our refusals.
Kris Kidd, Down for Whatever|You burn bright and you burn hard, like a fire in a dumpster,and nobody is so worriedabout you burning as they are worried about the fire spreading.
Elon Musk|There is no hunting like the hunting of man, and those who have hunted armed men long enough and liked it, never care for anything else thereafter.
Alexei Maxim Russell, The New Homeowner's Guide to House Spirits|Never interrupt a faerie circle ceremony. And, if a faerie has appeared to you, visually, do not speak to it until it has spoken to you. These two transgressions are considered so rude, that the faeries may literally attack you, on the spot.
Ray Anyasi, Broken Cloud: the first sunrise|Sarie is such a comely girl," he said to them, "even the evil spirits will be heartbroken to see her hurt."- King Chuka
Kevin Powers, The Yellow Birds|You're a kid,' said Alexandra. 'There is no just about it. Only adults say just a kid and what the heck do they know about anything? Have you looked at their world lately?
Jane Goldman|Sometimes the routes leading to feelings of anger are so convoluted and circuitous that it takes enormous skill to discern their original source, or fountainhead. But regardless of the reason for or the source of the anger or the relative ease or complexity in perceiving either the anger or its source - everybody, but everybody, gets angry.
Jake Wood, Among You: The Extraordinary True Story of a Soldier Broken By War|My family says they are proud of me. Of course, I would rather hear this than the contrary, but I cannot say that I am proud of myself, so I find that I cannot 'talk about it'.
Tim Harford|How did the economy produce all these amazing things that we have around us - computers and cell phones and so on? There were a bunch of ideas, and the good ones grew and prospered. And the bad ones were pretty ruthlessly weeded out.
|Your blessings are definitely on the way. God hasn't forgotten about you. But while you are waiting to embrace them, continue to stay consistent with your strategic actions.
Marina Abramovic|Aesthetics - rather than reason - shapes our thought processes. First comes aesthetics, then logic. 'Thinking in Numbers' is not about an attempt to impress the reader but to include the reader, draw the reader in, by explaining my experiences - the beauty I feel in a prime number, for example.
Matshona Dhliwayo|In knowledge there is strength, in understanding there is might, and in wisdom there is power.
Mili Fay, Warriors of Virtue Epic YA Fantasy Series Episode 1: Text Edition|I am a Warrior of Virtue, Nenya, the Water Warrior. Ardan is safe at last. That is all that matters. That is all that will ever matter...
Dido Armstrong|I heard so many stories from Gaomi's peasants that I had an irrepressible urge to write them down. Today, Gaomi's peasants know that they have become famous around the world through my writings, but I think they are a little puzzled by this.
Kelli Russell Agodon, Hourglass Museum|To suffer together is to suffer with beauty,
Patrick Ness, The Ask and the Answer|So we forgive each other?" The crooked smile climbs up one more time. "Again?"And I look right into his eyes, right into him as far as I can see, because I want him to hear me, I want him to hear me with everything I mean and feel and say."Always," I say to him. "Every time.
Timothy J. Keller|The answer is that their confidence was actuallh in God, not in their limited understanding of what they thought he would do. They had inner assurance that God would rescue them. However, they were not so arrogant as to be sure they were "reading God right." They knew that God was under no obligation to operate according to their limited wisdom.
Henri Barbusse, Hell|It is a considerable point in all good legislation to determine exactly the credibility of witnesses and the proofs of a crime. Every reasonable man, everyone, that is, whose ideas have a certain interconnection and whose feelings accord with those of other men, may be a witness. The true measure of his credibility is nothing other than his interest in telling or not telling the truth; for this reason it is frivolous to insist that women are too weak [to be good witnesses], childish to insist that civil death in a condemned man has the same effects as a real death, and meaningless to insist on the infamy of the infamous, when they have no interest in lying.
Billy Graham, Billy Graham in Quotes|Our chaotic, confused world has no greater need than to hear the message of good news—the Gospel of Jesus Christ.
Sylvia Plath|brave love, dreamnot of staunching such strict flame, but come,lean to my wound; burn on, burn on.
George Eliot|If this was what caring about someone was like, what the hell was he supposed to do? Because he couldn’t handle it, couldn’t live like this.
Mike  Norton|Beethoven said that it's better to hit the wrong note confidently, than hit the right note unconfidently. Never be afraid to be wrong or to embarrass yourself; we are all students in this life, and there is always something more to learn.
S. Hunter Nisbet, The Mercy of Men|What you're saying," I clarify through clenched teeth, "is that call boys don't make it far in government.
Terry Pratchett, Men at Arms: The Play|We may have lots of differences,We may not be the perfect couple.But in-spite of those differences,In-spite of those imperfection,We are always at our best for each other...
Chuck Palahniuk, Choke|Incidentally, it’s easy to write prescriptions, but difficult to come to an understanding with people.
R.C. Sproul|How we understand the person and character of God the Father affects every aspect of our lives. It affects far more than what we normally call the "religious" aspect of our lives. If God is the Creator of the entire universe, then it must follow that He is Lord of the whole universe. No part of the world is outside of His lordship. His Holy character has something to say about economics, politics, athletics, romance - everything with which we are involved.
John Pipkin, The Blind Astronomer's Daughter|As the eclipse progresses, a confusion of chattering birds sweeps low in search of dusk and their shadows skip over the water’s surface and it makes perfect sense that these small creatures should be so moved by events beyond their reckoning.
A.E.  Jones, Sentinel Lost|I don’t need to sow any damn oats. What are you two, the supernatural version of Thelma and Louise?” “Hardly,” Talia scoffed. “This car is a classic. No way would I drive it off a cliff.
F.D.  Lee, The Fairy's Tale|After all, life is never so jolly or so miserable as people seem to think.
Peter Zumthor|Something I like to do a lot is just sit by water when there's a current and just stare into the water. I don't fish, I don't hunt, I don't scuba, I don't spear, don't boat, don't play basketball or football - I excel at staring into space. I'm really good at that.
Norton Juster|And Milo, full of thoughts and questions, curled up on the pages of tomorrow's music and eagerly awaited the dawn.
John Mark Green|The door to her heart was locked up tight, but he could still see a faint glow escaping through the keyhole.
Milan Kundera, The Book of Laughter and Forgetting|Elizabeth called it my mane of hair; I called it my bane of hair. However, it was far worse looking when it was short, sticking straight up or out at awkward angles; at least when it was long it almost obeyed gravity.
Zack Snyder|I don't know if that's a year's bad luck, or if that's how it works. But stealing a Christmas tree - that can't be a good thing, karma-wise.
David C. Holley, Write like no one is reading|Word of advice for any young man that might want to take out Malia or Sasha Obama - Their father can order an assassination, don't piss him off.
Alice Hoffman, The Ice Queen|There Albine lay, panting, exhausted by love, her hands clutched closer and closer to her heart, breathing her last. She parted her lips, seeking the kiss which should obliterate her, and then the hyacinths and tuberoses exhaled their incense, wrapping her in a final sigh, so profound that it drowned the chorus of roses, and in this culminating gasp of blossom, Albine was dead.
Lauren DeStefano, Sever|I would have kept you safe,' he said.I closed my eyes, forcing the tears down my cheek to break against the dam of his fingers. 'I know.
Jennifer L. Armentrout, The Problem with Forever|None of them are real to me.” He paused again, placing a hand flat against the door. “You are the only real thing in my life.”Radu gasped with the sheer physical pain the words sent through him. But the sound of his agony was covered by that of the door opening. Mehmed reached in and pulled Lada out to him, and then his mouth was on hers and his hands were in her hair and he was holding her so tightly, so tightly, and they stumbled back into Lada’s room and closed the door.Radu tripped forward, feet dragging, until he stood outside the room. He wanted to be inside it. He wanted to be the only real thing to Mehmed, just as Mehmed was the only real thing to him.He wanted—No, please, no.Yes.He wanted Mehmed to look at him the way he had looked at Lada.He wanted Mehmed to kiss him the way he had kissed Lada.He wanted to be Lada.No, he did not. He wanted to be himself, and he wanted Mehmed to love him for being himself. His question, the question of Mehmed, was finally answered, piercing him and leaving him shaking, silent, on the floor.He did not want this answer.
Erin Hunter, The Forgotten Warrior|Loyalty is proved by what we do, not where we come from!
Zachary Mason, The Lost Books of The Odyssey|When people pass on we must choose how to remember them. While our loved ones sleep for eternity we must carry on with our daily toil. We can elect to harbor adoration and love in our precious memories or cling to animosity and detestation. We can kindly remember our ancestors or continue to feel embedded enmity towards people who no longer walk this earth. Regardless the human frailties of the recently departed, it seems that we should aspire to clutch the best part of our ancestors being fast to our hearts. A book encapsulating a departed person’s life has many pages; we must choose which chapters to treasure and what chapters to disregard or downplay.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|You can always evaluate a man's character by the way he speaks about his ex girlfriends and other women. When entering a new relationship or getting close with a new guy, make sure you take notice of the language he uses when referring to other girls
Jason Aldean|I'll work with a director if I think I'm going to get into a comfortable situation, and if it's someone I respect and who respects me, even if they're not so well known. Movies are hard to make, and you have to work toward a common ethic and do your best.
Hannah Moskowitz, Gone, Gone, Gone|Be confident because the odds are in your favor.' He clears his throat, like talking this much hurts him. 'Not because you're a special snowflake.
Jeremy Radin|Cruel, Clever Cat.Sally, having swallowed cheese,Directs down holes the scented breeze,Enticing thus with baited breathNice mice to an untimely death.
Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock|Honour, in her modern self-confidence, had grown up never having to face actual raw, passionate, drop-down-dead-hostility. She didn't really understand what was going to happen,
Richard Branson|Sometimes we are separated by differences, and sometimes we are united by common ideals of respect and compassion.
Michael  Grant|People are idiots, Choo. Always remmber that: people are faithless, backstabbing, weak, creepy, stupid, lazy idiots.
Nenia Campbell, Terrorscape|Did you think I'd only want you once? Oh, my, you are more naïve than I thought. Why would I go through so much trouble for a mere tryst? Does a man ride a stallion but one time before condemning it to the abattoir?
Dean Koontz, Breathless|Another of the great civilizations, the Aztecs, raised a breed of hairless chihuahuas especially for eating. When the Conquistadors arrived and found dog on the menu, they were of the same opinion as Mademoiselle, that this was evidence of the worst form of barbarism. They, the Spaniards, used dogs as befits civilized and Christian men - to hunt down fugitive Indians and tear them to pieces.
Rosemary Sutcliff, Blue Remembered Hills: A Recollection|Uncle Acton spent the whole of his working life in India, for the simple reason that he gave up work very young.
Philippa Gregory, The White Queen|I do think your brother grows more peculiar every day,' I complain to Edward when he comes to my rooms in Whitehall Palace to escort me to dinner.'Which one?' he asks lazily. 'For you know I can do nothing right in the eyes of either. You would think they would be glad to have a York on the throne and peace in Christendom, and one of the finest Christmas feasts we have ever arranged; but no: Richard is leaving court to go back north as soon as the feast is over, to demonstrate his outrage that we are not slogging away in a battle with the French, and George is simply bad tempered.
Jason Dias|The existential hero strives for authenticity even when it is costly, lives meaningfully in the midst of a banal, absurd world, and confronts rather than rejecting reality regardless of the personal cost.
Patricia A. Woertz|I definitely got my philanthropic genes from my mom and dad. They taught me from a very early age to always lend a helping hand to anyone in need, and I hope to raise my daughter to be a very kind and charitable person.
Horace Walpole|I'll try anything, but the pig testicles in Taiwan were a little much. Eh, it wasn't half bad. There was this one dish I had there, the translation is, 'The Monk Jumps over the Fence.' It's a fish dish with all these spices. It was beautiful, man - it was poetry. It had a whole story.
Amy Carmichael, Toward Jerusalem|O Thou who art my quietness, my deep repose,My rest from strife of tongues, my holy hill,Fair is Thy pavilion, where I hold me still.Back let them fall from me, my clamorous foes,Confusions multiplied;From crowding things of sense I flee, and Thee I hide.Until this tyranny be overpast,Thy hand will hold me fast;What though the tumult of the storm increase,Grant to Thy servant strength, O Lord, and bless with peace.
Anthony Storr, Solitude: A Return to the Self|Solitude is the biggest medicine for once peace, It makes your heart pure and calm.
Laura Staley|When you lose a beloved belonging, rather than being unkind to yourself, imagine finding it and feeling relief and joy. Sometimes when things get lost, it’s a reminder to appreciate all you still have. The experience of reconnecting with something you love and use often increases one’s sense of gratitude.
Ana Claudia Antunes, A-Z of Happiness: Tips for Living and Breaking Through the Chain that Separates You from Getting That Dream Job|Sometimes something that you've been asking forIt's just something that you could not see before. For it was something that made you belong,And that was there the whole time all along.
Jennifer Niven, Holding Up the Universe|It's in The Lord of the Rings, I think, where one of the characters says that "way leads on to way"; that you could start at a path leading nowhere more fantastic than from your own front steps to the sidewalk, and from there you could go . . . well, anywhere at all. It's the same way with stories. One leads to the next, to the next, and to the next; maybe they go in the direction you wanted to go, but maybe they don't. Maybe in the end it's the voice that tells the stories more than the stories themselves that matters.
Kathy Bryson, Feeling Lucky|Not again, Draper," Frank sighed. "You're not going to stop us from crossing. You and I know that the one thing the Government does even more poorly than provide healthcare is secure its borders.
Julie Kagawa, The Forever Song|Fear and hopelessness washed over her. She was looking her own mortality in the face, and it was a horrifying thing to do.
Mike Gallagher|Having read my share of tell-alls over the year, including some that were passed off as autobiographies, I mostly feel sad - sometimes for the writer and sometimes for all the people in his way. I hope that the process of writing the tell-all gives some release and closure on what clearly was an unpleasant and unfulfilling life experience.
Fred Thompson|The biggest misconception people have about me is that when they see how young I am, they think, 'Oh, this guy must have always wanted to be in politics; his parents must have been politically connected.' I'm a finance major and always intended to go into business.
Lynn A. Robinson, Divine Intuition: Your Inner Guide to Purpose, Peace, and Prosperity, Revised and Updated|Science suggests that intuition or whole-body learning is a real form of intelligence, and it works on a far larger scale than most of us have ever realized. It may be difficult to describe and is not always easy to get in touch with, but it can process information on a more sophisticated level.
David G. Benner, Sacred Companions: The Gift of Spiritual Friendship Direction|Spiritual friends help us most when they make clear that their job is to point the way, not to lead the way. And the Way to which they should point is Jesus.
M.W.Latif|Whenever there is love beyond boundaries .... Whenever trust flows deeper than oceans .... Nevertheless, a Trial is born .... You pass that trial, sacred you shall be .... if you don't, your are immortal !!!!
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|It’s okay to glance at the light of another. But when you stare too long, it will blind you from seeing your own.
Matthew Desmond|I want people to know me through the movies I do. I want to be judged on that. If you start becoming famous for your personal life, that's when your career goes away.
Rod McKuen|I have a cat, the pet that ranks just above a throw pillow in terms of required responsibility.
Michel Houellebecq, Platform|Anything can happen in life, especially nothing.
Stormie Omartian|If you want to determine if your thoughts are from the enemy or from God, ask yourself, 'Are these thoughts I’d choose to have?
Roger Ebert|America's greatest contribution to the world is its concept of democracy, its concept of freedom, freedom of action, freedom of speech, and freedom of thought.
Raphael Zernoff|Life isn't memorable enough to remember everything. It's not like there are explosions all the time, or dog smoking cigarettes.
Robyn Bachar, Blood, Smoke and Mirrors|I can still feel my legs, thanks for asking. My back’s not even hurt that badly. Only as though I was just hit by a train.
Luther Standing Bear, My Indian Boyhood|Now all these virtues mean one thing, and that is bravery. A Sioux boy was taught to be brave always. It was not sufficient to be brave enough to go to war. He must be brave enough to make personal sacrifices and to think little of personal gain. To be brave was the supreme test of a Sioux boy, and this bravery might receive a greater test in times of peace than in times of war.
Tennessee Williams, A Streetcar Named Desire|I'll tell you what I want. Magic! Yes, yes, magic! I try to give that to people. I misinterpret things to them. I don't tell the truth. I tell what ought to be truth. And if that is sinful, then let me be damned for it! - Don't turn the light on!
Cheikh Anta Diop, Civilisation Ou Barbarie|With Truth, Reason, and Morality off the board, we then capture their last Rook —that prissy little virtue, Temperance— for she depends on those other three for her beauty and was thus left wholly undefended.
Benjamin Franklin|The securest place is a prison cell, but there is no liberty
Julia McCann|The leaves of the trees will stroke your cheeks, The wind will blow through your chest and cleanse your soul, The magical sounds of the earth, animals and the elements will hug your ears, The positive vibrations of the earth will fall asleep next to your heart and the breathtaking beauty of the earth will ease your mind. If you allow it, the earth, in itself, will heal you.
Henry Wadsworth Longfellow, The Complete Works of Henry Wadsworth Longfellow|Unasked, Unsought, Love gives itself but is not bought
Jeffrey Moussaieff Masson|So she looked upon the wolves, who were dwindling in number, and back at the humans who no longer cared for their own, and combined their spirits. She took the loyal, protective, possessive natures of the wolf and took the intelligence, emotions, and love of the human and brought them together. She designed us to be a pack.
David Cameron|A revolutionary party is, in its essence, the party of its leader that carries out his ideology and cause, and the main thing in its building is to ensure the unitary character and inheritance of his ideology and leadership.
J.A. Dennam|All that guides me is fear,And all that finds me is lossDeath defines which paths I crossIt is within the shadows that I stumbleAnd I am desperate without a voiceHere I am threatened by the resolve that you are my soulBut if my lies are the path that I have to wander because there is no choiceWill you love me still?In the darkness of the night when I wish to do nothing more than take flight?Will you hold me to this plane and ease the suffering and pain?When all you know is the truthAnd all they see is the liesWill I be the one you find, or the one you leave behind?Alone may be the only home I shall find
Avina Celeste|I tell myself I am brave and yet, I still fear change. I guess it’s time to face that fear.
Johnny Depp|A Constitution of Government once changed from Freedom, can never be restored. Liberty, once lost, is lost forever.
Richelle E. Goodrich, Making Wishes|From the beginning, man could look up at a vast universe dotted by innumerable stars to find every evidence that he was nothing. This evidence only grows stronger as science and technology record an expanse of galaxies filled with planetary solar systems beyond any visible end. Man is but a grain of sand lost on an endless seashore, and yet he believes with conviction in his own greatness.  He is either a divine soul intuitively aware of his inherent, limitless potential—or he is a blind fool.
Will Rogers|She'll come, if not today, then tomorrow, but she'll find me. That's the cursed romanticism of all these pure hearts! Oh the vileness, oh the stupidity, oh the narrowness, of these rotten, sentimental souls
Leslie Parrish, Cold Touch|Would you believe I was in the neighborhood?”“No."“Well, how about that I needed to see you.”“Why? Did one of my neighbors call and say my cat’s been stalking their bunny?”One corner of his mouth went up. “You know, that sounds like a euphemism. A kind of salacious one”“Ooh, big words for Mr. Average Joe street cop,” she said, knowing she sounded bitchy but unable to help it. “Can you take out the angry eyes, Mrs. Potato Head, and just let me talk to you?
Mary DeTurris Poust, Cravings: A Catholic Wrestles with Food, Self-Image, and God|Food and eating often mask our pain, our inner longing for God, for acceptance. It is key to know our motivation for eating as well as for other actions. Why do I eat? Am I tired, am I bored, am I stressed and tired? A good practice is to live in the present moment, aware of the reality in which I am immersed.
Susan C. Young|Changing your perception will alter your interpretations and therefore, your reality. If you feel like you’re hitting a wall because you simply don’t understand something, or another person has a different approach, keep your mind open and willing to reinterpret it with fresh eyes, more information, a change in position, or a new perspective
Debasish Mridha|Be like a tree, bloom like a flower, sing like a bird, and dance like a peacock.
Lianne Downey, Speed Your Evolution: Become the Star Being You Are Meant to Be|We may hop when the gods say 'frog,' but we still get to choose how fast and how high.
Thrity Umrigar, The Weight of Heaven|In India even the most mundane inquiries have a habit of ending this way. There may be two answers, there may be five, a dozen or a hundred; the only thing that is certain is that all will be different.
Heidi Priebe, This Is Me Letting You Go|Sometimes you're going to have to let one person go a thousand different times, a thousand different ways, and there's nothing pathetic or abnormal about that. You are human.
Gregory Woods, A History of Gay Literature: The Male Tradition|What ultimately got me through was my single-minded determination, voiced aloud to myself and recorded in my diary, to discover the causes of my blindness and never to repeat them. Fearlessly pursuing insight was my badge of honor, my route back to self-respect.
Billy Graham, Billy Graham in Quotes|If the United Nations could bring lasting peace, man could say to God, “We do not need You anymore. We have brought peace on earth and have organized humanity in righteousness.” All of these schemes are patchwork remedies that a sick and dying world must use while waiting for the Great Physician.
Molly Friedenfeld, The Book of Simple Human Truths|I’m curious about why there’s so much honor given to death, when there is no honor in losing someone you love.
|Before you begin scrambling up the ladder of success, make sure that it is leaning against the right building.
Brianna Wiest|It’s not about getting over things, it’s about making room for them. It’s about painting the picture with contrast.
Craig Groeschel, Weird: Because Normal Isn't Working|The moral of the tale is, don't live for the approval of others. The real you is here to find out the secret of life, not to satisfy someone else's opinion.
forexnx|The personal checks and balances that most of us bring to bear when we are employed in other activities - we ask ourselves if we are producing a socially useful product - operate less well in finance because, with few exceptions, making money is the Raison d'être (reason for existence) for the financier
K. Weikel, The One-Hundred|Just because you can't believe it, doesn't mean it's not happening
Eric    Weiner, The Geography of Bliss: One Grump's Search for the Happiest Places in the World|Perhaps it's true you can't go back in time, but you can return to the scene of a love, of a crime, of happiness, and of a fateful decision; the places are what remain, are what you can possess, are what is immortal.
A.J. Jacobs, The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible|One thing I have asked from Jehovah- It is what I will look for- That I may dwell in the house of Jehovah all the days of my life, To gaze upon the pleasantness of Jehovah And to look with appreciation upon his temple.
Bob Proctor|If you know what to do to reach your goal, it's not a big enough goal." - Bob Proctor
Angeline Kace, Wicked Thing|His gaze settled on her mouth. “Have you been kissed before, inspector?”“Why?” If he wanted virgin lips, she’d claim to have serviced an army.“If it’s your first, I’ll do it differently.”“You won’t do it at all.”“Yes, I will.
Jerry Porras, Success Built to Last: Creating a Life that Matters|The essential difference with Builders is that they've found something to do that matters to them and are therefore so passionately engaged, they rise above the personality baggage that would otherwise hold them down. Whatever they are doing has so much meaning to them that the cause itself provides charisma and they plug into it as if it was electrical current.
John Fowles, The Magus|By then she was dead. In fact, she may have been dead a while ago. Physically, several seconds ago, mentally, ages ago.
Angie karan|We are souls, eternal and perfect, captains of our mystic ships: gods and goddesses of our universe. We are beautiful, we pearls of grit. We, the ember of everything. Our uniqueness IS what makes us special, and the expression of it is our gift to the rest of us. In order to feel happy and fulfilled, we must honour our own personal brand of creativity... let it out into the world... BE who we came here to BE.
William Faulkner, Mosquitoes|Talk, talk, talk: the utter and heartbreaking stupidity of words.
Ray Manzarek|If someone says 'grunge' or 'punk,' you know what the sound is, but if you say 'No Wave,' it's kind of mysterious. That was the most interesting part and should have been the most inspirational thing about it... here's this collective sonic insanity, and none of it sounds anything alike.
Mark Twain|Courage is resistance to fear, mastery of fear - not absence of fear.
Neel Burton, The Meaning of Madness|In 1949, neurologist Egas Moniz (1874-1955) received a Nobel Prize for his discovery of ‘the therapeutic value of leucotomy in certain psychoses’. Today, prefrontal leucotomy is derided as a barbaric treatment from a much darker age, and it is to be hoped that, one day, so too might antipsychotic drugs.
Walter Lowenfels|We are all poets, really.
Margot Robbie|I've thought for the last decade or so, the only actual place raw truth was seeping through in newspapers was on the Comics Pages. They were able to pull off intelligent social comment, pure truths not found elsewhere in the news pages, and had the ability to make it all funny, entertaining, and pertinent.
Jimmy Fallon|It feels silly to watch endless hours of winter sports every four years, when we never watch them any other time, and we don't even understand the rules, which doesn't stop us from scoring everyone, every run, every skate, every race.
RVM|We salute the Brain, that made the Plane and the Train…But who made the Brain?
Christine de Pizan, Der Sendbrief vom Liebesgott / The Letter of the God of Love|Yet if women are so flighty, fickle, changeable, susceptible, and inconstant (as some clerks would have us believe), why is it that their suitors have to resort to such trickery to have their way with them? And why don't women quickly succumb to them, without the need for all this skill and ingenuity in conquering them? For there is no need to go to war for a castle that is already captured.
Lailah Gifty Akita|In great troubles, we learn to trust in God.
Sunday Adelaja|Go gave us His authority, He gave us His wisdom, He is waiting for our actions
David Halberstam, The Coldest Winter: America and the Korean War|What Galileo and Newton were to the seventeenth century, Darwin was to the nineteenth.
Ally Condie, Reached|We need you.""I'm sorry, but I can't let that keep me here anymore.
RVM|Although, we know that our earthly journey will end soon, we continue chasing millions which we finally have to leave behind.
Erik Pevernagie|Sadly enough, individual liberty remains the ideal of revolutionary thinkers even in the 21st Century.
Pablo Neruda, 100 Love Sonnets|Life is so complete that even when we are knocked on our backs, we have the best view of the stars.
Robin Rose Bennett, The Gift of Healing Herbs: Plant Medicines and Home Remedies for a Vibrantly Healthy Life|This original version of Coca-Cola contained a small amount of coca extract and therefore a trace of cocaine. (It was eliminated early in the twentieth century, though other extracts derived from coca leaves remain part of the drink to this day.) Its creation was not the accidental concoction of an amateur experimenting in his garden, but the deliberate and painstaking culmination of months of work by an experienced maker of quack remedies.
|Life is not a competition between you and others; rather, it's a journey to continuously make the very best out of your true abilities in life.
Gaston Bachelard|Childhood is a human water, a water which comes out of the shadows. This childhood in the mists and glimmers, this life in the slowness of limbo gives us a certain layer of births. What a lot of beings we have begun! What a lot of lost springs which have nevertheless, flowed! Reverie toward our past then, reverie looking for childhood seems to bring back lives which which have never taken place, lives which have been imagined. Reverie is a mnemonics of the imagination. In reverie we re-enter into contact with possibilities which destitute has not been able to make use of.
Israelmore Ayivor, The Great Hand Book of Quotes|God did not create you to be alone. He deposited skills, knowledge, and talents in someone out there who is expected to mentor you, teach you and encourage you to go high. Go, get a mentor!
Rob Liano|You are self employed. You work to pay your bills, build your dreams and create your life, regardless of who signs your paycheck.
Debasish Mridha|Feel special, because you are.
Nourhan Mamdouh|My feelings remain the same for you, but you chose to walk away...
Peter Orner, Am I Alone Here?: Notes on Living to Read and Reading to Live|Without guidance and support for patients and families approaching death, there may be unnecessary conflict, confusion, and trauma that linger long after the passing of a loved one.
S.R. Grey, I Stand Before You|the normal laws of development are inverted here in the Congo. The forest, not the town, offers the safest sanctuary and it is grandfathers who have been more exposed to modernity than their grandchildren. I can think of nowhere else on the planet where the same can be true.” p141
Ingrid Betancourt, Even Silence Has an End: My Six Years of Captivity in the Colombian Jungle|If you believe what you say, words become reality.
Sheryl Sandberg|Even in the midst of life’s adversity, struggle or strife; Love’s enduring presence remains steadfast.
Brad Thor|A little politeness might smooth the way ahead. Knowing it was his turn to be dispatched, the best he could hope for was as swift a death as the one Massetti had so thanklessly received.
Dixie Waters|To realize the value of 1 week, ask an editor of a weekly newspaper. To realize the value of 10 years, ask a newly divorced couple. To realize the value of 4 years, ask a graduate. To realize the value of 1 year, ask a student who has failed their final exam. To realize the value of 9 months, ask a mother who has given birth to a stillborn. To realize the value of 1 mont, ask a mother who has given birth prematurely. To realize the value of 1 minute, ask a person who missed the train, bus or plane. To realize the value of 1 second, ask a person who has survived an accident. To realize the value of freedom ask a person who's in prison. To realize the value of success, ask a person who has failed. To realize the value of a friend, relative, family member or partner, LOSE ONE." Time waits for no-one, treasure every split-second.
Lisa Kleypas, Rainshadow Road|There comes a time in a man's life, if he is unlucky and leads a full life, when he has a secret so dirty that he knows he never will get rid of it. (Shakespeare knew this and tried to say it, but he said it just as badly as anyone ever said it. 'All the perfumes of Arabia' makes you think of all the perfumes of Arabia and nothing more. It is the trouble with all metaphors where human behavior is concerned. People are not ships, chess men, flowers, race horses, oil paintings, bottles of champagne, excrement, musical instruments or anything else but people. Metaphors are all right to give you an idea.)
William Gaddis|Kind words are a creative force, a power that concurs in the building up of all that is good, and energy that showers blessings upon the world.
Sharlene Leong|Human communication and literature are all made of words; thus, it’s hard to overestimate their unbelievable power.
Sean Beaudoin, You Killed Wesley Payne|War's a racket. No doubt. But war is a racket for the politicians, not the soldiers.
Gemma Liviero, Broken Angels|Crossing the Atlantic on that new day was supposed to be a sharp delineation, a from-now-on demarcation in my life story. What I took off from was not supposed to arrive with me upon landing or ever pulse in me again. From the ocean and sky and the hours in flight, I intended to extract a selective, permanent amnesia.
Shane Claiborne, The Irresistible Revolution: Living as an Ordinary Radical|When his flock thronged into the midnight service, there was wonder on every face at the newly hung greens and the softly flickering candles on each windowsill. To the simple beauty of the historic church was added fresh, green hope, the lush scent of flowers in winter, and candle flame that cast its flickering shadows over the congregation like a shawl.
Frederick Lewis Donaldson|The Seven Social Sins are: Wealth without work. Pleasure without conscience. Knowledge without character. Commerce without morality. Science without humanity. Worship without sacrifice. Politics without principle.From a sermon given by Frederick Lewis Donaldson in Westminster Abbey, London, on March 20, 1925.
Luca Cordero di Montezemolo|Second, this epic tale allows the audience to actually listen to the Native Americans and receive their wisdom. Spielberg conveys the respect for Native Americans that is normally lacking in Western films.
Georges Simenon|It's populated by people who, by and large, have terrific communication skills. Every day is an extraordinary day. For me, it was just a great area for storytelling.
Billy Graham, Billy Graham in Quotes|All transgressions begin with sinful thinking . . . guard against the pictures of lewdness and sensuality that Satan flashes upon the screen of your imagination, select with care the books you read, choose discerningly the kind of entertainment youattend, the kind of associates with whom you mingle, and the kind of environment in which you place yourself.
Anon1467|You are more powerful than your government, and your government are worried the day you discover it!!!
Tommy Hilfiger|T'was the night before Christmas, when all through the house, not a creature was stirring, not even a mouse.
RVM|Once you say that you are perfect, it actually means you are dead, because you are killing the opportunity to improve and grow.
Bob Burg and John David Mann, It's Not About You: A Little Story About What Matters Most in Business|The single biggest challenge to any organization is the constant cloud of fear and doubt that swirls around the heads of the people involved. As a leader, your job is to hold fast to the big picture, to keep seeing in your mind’s eye, with crystal clarity, where it is you’re going—that place that right at this moment exists only in your mind’s eye. And to keep seeing that, even when nobody else does. Especially when nobody else does. Your people count on you to do this. It’s the biggest job you have.
Kay Redfield Jamison|There is always a part of my mind that is preparing for the worst, and another part of my mind that believes if I prepare enough for it, the worst won’t happen.
