Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Rebecca Wells|People ask me what the most important thing to take on the race is, and I always say it's a sense of humor. If you've got nothing but a sense of humor, you will survive.
Ernest Agyemang Yeboah|When you hear the birds chirping in the morning, remember this one thing: it is a new morning for a new life and living! Free your mind and clean your heart for a wonderful day with distinctive footprints!
David Nicholls, One Day|There seemed no reason why she shouldn't try writing something in between, but she was discovering once again that reading and writing were not the same - you couldn't just soak it up and then squeeze it out again.
Debasish Mridha|How lucky we are! We are singing our songs, dancing our dances, and living our lives.
Michelle Obama|Everything we've been taught about health, weight loss and aging is wrong.
Arun D. Ellis, Corpalism|The Delores tank rolled on inexorably, “You get a mortgage to buy a house, a larger mortgage than the previous owner because the price of the house has been artificially increased by the market, which is controlled by the banks. Then you live in the house for a few years paying a lot more in mortgage payments than you would if you were renting a similar property. But hey, you ‘own’ it and can ‘do things to it’… things that cost even more money, by the way… so you maintain its upkeep, improve it with say a new kitchen or bathroom; the more salubrious the neighbourhood the more expensive the kitchen would need to be – a Küche & Cucina, say; impressing your cleaner is very important after all and at the end you sell it to someone else for more than you paid for it so they’ll need an even bigger mortgage. And all the while everyone is paying all this money to the banks and the banks give the money to their shareholders, the biggest of whom are the incredibly rich. This, when you boil it all down, means that you’re taking a large sum out of your wages and passing it across to some rich person to live large, whilst you and others like you struggle to make their monthly payments. Basically you’ve been screwed, Doc, but somehow they’ve convinced you that you own a bit of England, when the truth is you don’t really own anything, you’re just renting it at a higher cost and they can take it back from you any time they want. It’s all just a card trick, Doc. All just ‘smoke and mirrors’ and that’s what’s getting to me.
bell hooks, Feminism is for Everybody: Passionate Politics|Overall women in our society are forgetting the value and power of sisterhood. Renewed feminist movement must once again raise the banner high to proclaim anew "Sistehood is powerful.
Alan Keyes|Had I not made it big, my family would have told me to recheck my decision. Now that I am successful, there is no way. They have to accept it gracefully.
Amy Harmon, The Song of David|I had wanted to disappear, if only so the cancer could disappear with me. But the stars whispered that there was no such thing. You don’t ever disappear. You just change. You leave. You move on. But you never disappear. Even when you think you want to.
Suzy  Davies|Books are a portable kind of time travel. We go back as well as forward when we read them. When we come back into the now, after being immersed in worlds previously unknown to us, we find ourselves, transformed. Touched by their magic, nothing we ever perceived beforehand remains quite the same.
Pat Schneider, How the Light Gets in: Writing as a Spiritual Practice|Why was it, do you think, I was able to recognise you and understand you?""Why, Hermine? Tell me!""Because it's the same for me as you because I am alone exactly as you are, because I'm as little fond of life and people and myself as you are and can put up with them as little. There are always a few such people who demand the utmost of life and yet cannot come to terms with its stupidity and crudeness.
Philip Sidney, Astrophel and Stella|Stella, the only planet of my light,Light of my life, and life of my desire,Chief good, whereto my hope doth only aspire,World of my wealth, and heav'n of my delight:Why dost thou spend the treasure of thy sprite,With voice more fit to wed Amphion's lyre,Seeking to quench in me the noble fireFed by thy worth, and kindled by thy sight?And all in vain, for while thy breath most sweet,With choicest words, thy words with reasons rare,Thy reasons firmly set on Virtue's feet,Labor to kill in me this killing care:Oh, think I then, what paradise of joyIt is, so fair a Virtue to enjoy.
Giorge Leedy, Uninhibited From Lust To Love|FRIENDSLooking out the window, I see you looking in.You are the sunshine,That fills my soul.
Elizabeth Barrett Browning|Love is like a faucet, it turns off and on.
Tyler Oakley, Binge|No person, no matter how important society deems their relationship to you, has the right to denounce you for who you are.
Paulo Coelho, The Alchemist|A mask does not hide who you are, it shows exactly what you want others to see.
Cara Dee, Outcome|What's the plan for today?" I asked him. "Same thing we do every day. Try and take over the world." I stared at him for a second. "Was that a 'Pinky and the Brain' reference?" "Sure was." "I'm the Brain." He laughed and took another sip of coffee. "I wouldn't have it any other way." I nodded triumphantly and nibbled at my bagel. -Lacey & Camden
Christopher Hitchens, Letters to a Young Contrarian|Beware the irrational, however seductive. Shun the 'transcendent' and all who invite you to subordinate or annihilate yourself. Distrust compassion; prefer dignity for yourself and others. Don't be afraid to be thought arrogant or selfish. Picture all experts as if they were mammals. Never be a spectator of unfairness or stupidity. Seek out argument and disputation for their own sake; the grave will supply plenty of time for silence. Suspect your own motives, and all excuses. Do not live for others any more than you would expect others to live for you.
James Bovard|The government is us; we are the government, you and I.
Deyth Banger|But are we not at the point where we can no longer make the distinction between normal and neurotic? Do we not all have these conflicts, in greater or lesser degree? And do not all conflicts move into contradiction at some point? When all is said and done, all anxiety arises from conflicts, with its origin in the conflict between being and nonbeing, between one's existence and that which threatens it. All of us, no matter how 'neurotic' or 'normal,' experience the gap between our expectations and reality. This distinction becomes less important, and I believe we must look at all anxiety, preferably without special labels, as part of the human condition.
Fulton J. Sheen|We don't worship Satan, we worship ourselves using the metaphorical representation of the qualities of Satan. Satan is the name used by Judeo-Christians for that force of individuality and pride within us. But the force itself has been called by many names.We embrace Christian myths of Satan and Lucifer, along with Satanic renderings in Greek, Roman, Islamic, Sumerian, Syrian, Phrygian, Egyptian, Chinese or Hindu mythologies, to name but a few. We are not limited to one deity, but encompass all the expressions of the accuser or the one who advocates free thought and rational alternatives by whatever name he is called in a particular time and land. It so happens that we are living in a culture that is predominantly Judeo-Christian, so we emphasize Satan. If we were living in Roman times, the central figure, perhaps the title of our religion, would be different. But the name would be expressing and communicating the same thing. It's all context.
Wayne Dyer|Technology, like art, is a soaring exercise of the human imagination.
Libba Bray, Going Bovine|Who but the mad would choose to keep on living? In the end, aren't we all just a little crazy?
Ann Medlock|Liturgy is the means that the church uses to keep baptized Christians in living touch with the entire living holy community as it participates formationally in Holy Scripture. I want to use the word 'liturgy' to refer to this intent and practice of the church insofar as it pulls everything in and out of the sanctuary into a life of worship, situates everything past and present coherently as participation in the revelation written for us in Scripture. Instead of limiting liturgy to the ordering of the community in discrete acts of worship, I want to use it in this large and comprehensive way, the centuries-deep and continents-wide community, spread out in space and time, as Christians participate in actions initiated and formed by the words in this book - our entire existence understood liturgically, that is connectedly in the context of the three personal Father, Son, and Holy Spirit and furnished with the text of the Holy Scripture.
Jonathan Lethem, Men and Cartoons: Stories|As I get older I find that the friendships that are the most certain, ultimately, are the ones where you and the other person have made substantial amounts of money for one another.
Adrianne Simeone|When fear rules, obedience is the only survival choice.
T. Scott McLeod, The Light in the Darkness|You had to break, to be unbroken. In the brokenness, I had found, that which was unbroken. That which was perfect, and beautiful, and complete.
William James|Human beings are born into this little span of life of which the best thing is its friendships and intimacies … and yet they leave their friendships and intimacies with no cultivation, to grow as they will by the roadside, expecting them to "keep" by force of mere inertia.
A.E. Coppard, Dusky Ruth: And Other Stories|O, sir,' murmured Sheila, still on her knees, 'please forgive me.''Forgive you! 0, la, la, la!' cunningly cried the droll, and strutting like an actor. 'Forgiveness is easy, is it not? O, yes, it is nothing. You are a young woman full of pride. O. yes! - but that is nothing. And full of penitence, and that is nothing, too. Pride is nothing, penitence nothing, forgiveness nothing, but even a bargain in farthings must be paid to be made, and I am a plain business man. What costs nothing brings no balm, and you would not like that, you would not like that, now would you?' (“The Bogey Man”)
Malcolm Cowley, Exile's Return: A Literary Odyssey of the 1920s|Because the chief commodity a writer has to sell is his courage. And if he has none, he is more than a coward. He is a sellout and a fink and a heretic, because writing is a holy chore.
Walt Whitman|I don’t want to love him—this would be so much simpler if I didn’t. But I do.He’s funny, and passionate, and strong, and he believes in me more than I even believe in myself. When he looks at me, I feel like I could take on the whole world and come out standing tall. I like myself better when I’m with him, because of how he sees me. He makes me feel beautiful and powerful, like I’m the most important thing in the world, and I don’t know how to walk away from that. I don’t know how to walk away from him.
Mary McLeod Bethune|Forgiving is not about forgetting, it's letting go of the hurt
Miles Watson, Cage Life|You have to understand something about girls, Mick. You see 'em in the winner's circle, but you'll never find horseshit on their shoes.
Michael Sokolove, Warrior Girls: Protecting Our Daughters Against the Injury Epidemic in Women's Sports|Emotionally, I was just a mess. But it’s such a long recovery period that you have to come to terms with it. You can’t cry the whole time until you get back on the field.
Aamir Sarfraz (aamir rajput khan)|On the path to Conquer the throne,some of your pawns must die...If your eyes aim the big kill,you must learn to eat humble pie.
Jimmy Soni, A Mind at Play: How Claude Shannon Invented the Information Age|In these days, when there is a tendency to specialize so closely, it is well for us to be reminded that the possibilities of being at once broad and deep did not pass with Leonardo da Vinci or even Benjamin Franklin.
Casey Carter|Books. The reading, writing and cultivation of books is my form of meditation. The books in my life have brought me closest to divinity.
Alexander Pope, An Essay on Man & Satires|In pride, in reasoning pride, our error lies;All quit their sphere and rush into the skies.Pride still is aiming at the blest abodes, Men would be angels, angels would be gods. Aspiring to be gods, if angels fell, Aspiring to be angels, men rebel.
Fritjof Capra, The Turning Point: Science, Society, and the Rising Culture|Scientists, therefore, are responsible for their research, not only intellectually but also morally. This responsibility has become an important issue in many of today's sciences, but especially so in physics, in which the results of quantum mechanics and relativity theory have opened up two very different paths for physicists to pursue. They may lead us - to put it in extreme terms - to the Buddha or to the Bomb, and it is up to each of us to decide which path to take. 
Ed Cyzewski, Flee, Be Silent, Pray: An Anxious Evangelical Finds Peace with God through Contemplative Prayer|Once I am aware of what has been on my mind and have established ways to respond in faith with a particular prayer, sacred word, or silence before God, my anxious thoughts lose a great deal of their power.
Ji-li Jiang, Red Scarf Girl|My family was too precious to forget, and too rare to replace.
Anthony Horowitz, Point Blank|Boredom forces you to ring people you haven’t seen for eighteen years and halfway through the conversation you remember why you left it so long. Boredom means you start to read not only mail-order catalogues but also the advertising inserts that fall on the floor. Boredom gives you half a mind to get a gun and go berserk in the local shopping centre, and you know where this is going. Eventually, boredom means you will take up golf.
Ernest Agyemang Yeboah|Before you speak it, know it! Before you act it, understand it. And when your words and actions go wrong, humbly learn to accept your slips for a progressive change. Learning never ends!
Faydra D. Fields|Spending time being can be just as, if not more, fulfilling as spending time doing.
A.P. Sweet, dead, but dreaming|I sense him smiling and laughing and looking at me with eyes of a thousand aborted children coming back to rightfully claim their life, to claim the earth.
Shepherd Hoodwin, Loving from Your Soul: Creating Powerful Relationships|Anger is triggered by insult, then, and so is connected to worth (aretê) and to honour (timê). A person is insulted when the treatment he receives is worse than the treatment his worth entitles him to receive. He is honoured when he is given treatment proportional to his worth, and his worth is above or well-above average. When we speak of honour, therefore, we are in a way speaking of worth, since honour measures worth. Honour and insult are thus close to being polar opposites, and an insult is a harm to worth or honour.
Sammy Toora|Sports has no bounds, no race, no religion, no caste and no creed. Keep out all this from sports. Sports are pure joy, do not ruin with your ignorance
Steve Martin|It's so hard to believe in anything anymore. I mean, it's like, religion, you really can't take it seriously, because it seems so mythological, it seems so arbitrary...but, on the other hand, science is just pure empiricism, and by virtue of its method, it excludes metaphysics. I guess I wouldn't believe in anything anymore if it weren't for my lucky astrology mood watch.
Margaret Atwood, Lady Oracle|Do you remember?' Someone's always asking andsomeone else, always does
Ezra Taft Benson|Ah, Monsieur Priest, you love not the crudities of the true. Christ loved them. He seized a rod and cleared out the Temple. His scourge, full of lightnings, was a harsh speaker of truths. When he cried, 'Sinite parvulos,' he made no distinction between the little children. It would not have embarrassed him to bring together the Dauphin of Barabbas and the Dauphin of Herod. Innocence, Monsieur, is its own crown. Innocence has no need to be a highness. It is as august in rags as in fleurs de lys.
Jessica Carroll|Music defines us, for it shapes our souls and minds.
David Oyelowo|There's such big pressure on people who are incredibly famous, on those who have people sitting outside their front door and taking photos every time they move.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|God sits on a blue throne called the vena cava. There is no need for a temple to communicate or pray to him. His truths travel from his seat over a purple bridge in your heart, also known as your conscience. Your conscience is where his wisdom shines. A crystal embedded within a fold of your pulmonary trunk acts as a transmitter and receiver. God is closer than you think. In your heart, is his truth and light.
Carolyn Hax|Trust isn’t about having a spotless record and finding someone else who does. It’s about finding someone good-hearted enough not to hurt you on purpose, and knowing you’ll recover and carry on when pain inevitably comes.
William Shakespeare, The Rape of Lucrece|It didn´t occur to me until later that there´s another truth, very simple: greed in a good cause is still greed.
Douglas Preston|He closed his eyes. This bed was a wedding gift from friends he had not seen in years. He tried to remember their names, but they were gone. In it, or on it, his marriage had begun and, six years later, ended. He recognized a musical creak when he moved his legs, he smelled Julie on the sheets and banked-up pillows, her perfume and the close, soapy essence that characterized her newly washed linen. Here he had taken part in the longest, most revealing, and, later, most desolate conversations of his life. He had had the best sex ever here, and the worst wakeful nights. He had done more reading here than in any other single place - he remembered Anna Karenina and Daniel Deronda in one week of illness. He had never lost his temper so thoroughly anywhere else, nor had been so tender, protective, comforting, nor, since early childhood, been so cared for himself. Here his daughter had been conceived and born. On this side of the bed. Deep in the mattress were the traces of pee from her early-morning visits. She used to climb between then, sleep a little, then wake them with her chatter, her insistence on the day beginning. As they clung to their last fragments of dreams, she demanded the impossible: stories, poems, songs, invented catechisms, physical combat, tickling. Nearly all evidence of her existence, apart from photographs, they had destroyed or given away. All the worst and the best things that had ever happened to him had happened here. This was where he belonged. Beyond all immediate considerations, like the fact that his marriage was more or less finished, there was his right to lie here now in the marriage bed.
Porphyry|What the myth founds is a double existence between the upper world and the underworld: a dimension of death is introduced into life, and a dimension of life is introduced into death.
S.B. Redd, The Shades of Passion|God, he was an evil bastard, but boy was he good!
Tapan Ghosh, Faceless The Only Way Out|Life is a sail boat ride. Wind, the destiny. But dammit, you are the sailor!
Matshona Dhliwayo|The universe believes in you, but it is more important that you believe in yourself.
Debasish Mridha|When you fill yourself with inner joy and inner peace, this world becomes peaceful.
Nathaniel Philbrick|You know, people talk about this being an uncertain time. You know, all time is uncertain. I mean, it was uncertain back in - in 2007, we just didn't know it was uncertain. It was - uncertain on September 10th, 2001. It was uncertain on October 18th, 1987, you just didn't know it.
J.D. Stroube, Caged in Darkness|We know what happened to those who chanced to meet the Great God Pan, and those who are wise know that all symbols are symbols of something, not of nothing. It was, indeed, an exquisite symbol beneath which men long ago veiled their knowledge of the most awful, most secret forces which lie at the heart of all things; forces before which the souls of men must wither and die and blacken, as their bodies blacken under the electric current. Such forces cannot be named, cannot be spoken, cannot be imagined except under a veil and a symbol, a symbol to the most of us appearing a quaint, poetic fancy, to some a foolish tale. But you and I, at all events, have known something of the terror that may dwell in the secret place of life, manifested under human flesh; that which is without form taking to itself a form.
Chelsea Peretti|The heroines in 'That's What She Said' are flawed, messy, damaged, hilarious and culpable and not really concerned about being acceptable to the audience in any traditional sense, which for me is what makes them all the more gorgeous. And the fearless truth of that is what makes it funny.
Ma Jun|The most meaningful engine of change, powerful enough to confront corporate power, may be not so much environmental quality, as the economic development and growth associated with the effort to improve it.
Rainbow Rowell, Landline|Just by writing this story, I thought that I am the real monster, I had the feeling that I am doing it.... it was just awful!
Susan Cooper, Silver on the Tree|[One} who does not know when a gift has made him safe is poorer than a slug, even though he may think otherwise himself.
Joanna Russ, On Strike Against God|Leaning her silly, beautiful, drunken head on my shoulder, she said, "Oh, Esther, I don't want to be a feminist. I don't enjoy it. It's no fun.""I know," I said. "I don't either." People think you decide to be a "radical," for God's sake, like deciding to be a librarian or a ship's chandler. You "make up your mind," you "commit yourself" (sounds like a mental hospital, doesn't it?).I said Don't worry, we could be buried together and have engraved on our tombstone the awful truth, which some day somebody will understand:WE WUZ PUSHED.
Craig Venter|I'm part of the mushball middle. I consider 'confused' the majority position because, thankfully, most people would rather be uncertain some of the time than 100% positive all the time - even when they're wrong.
C.G. Jung, Memories, Dreams, Reflections|The sight of a child…will arouse certain longings in adult, civilized persons — longings which relate to the unfulfilled desires and needs of those parts of the personality which have been blotted out of the total picture in favor of the adapted persona.
Paul David Tripp|We are being called upon to act against a prevailing culture, to undermine our own entrenched tendency to accumulate and to consume, and to refuse to define our individuality by our presumed ability to do whatever we want.
Steven Redhead, The Solution|Life has the meaning we give it, no more, no less.
Richard Payment, For Want of Wonders|If the day comes when our descendants can venture with wonder into chestnut forests, we will have gained back more than a perfect tree. We will have gained a new reason for hope.
Emily Giffin, Love the One You're With|I miss us too. I always have and I probably always will. Sometimes there are no happy endings. No matter what, I'll be losing something, someone. But maybe that's what it all comes down to. Love, not as a surge of passion, but as a choice to commit to something, someone, no matter what obstacles or temptations stand in the way. And maybe making that choice again and again, day in and day out, year after year,says more about love than never having a choice to make at all.
Jim Yackel, The Wayfarers | Walking Dreams|No matter how hard it is, or how hard it gets, don't ever, ever, ever lose hope!
Elizabeth Chandler, Kissed by an Angel|To be bitter is to attribute intent and personality to the formless, infinite, unchanging and unchangeable void. We drift on a chartless, resistless sea. Let us sing when we can, and forget the rest..
Liz Kelly|As he returned to the bed, he could see Vallant eyeing him warily, but he ignored this, sat on the opposite end and braced the pad on his 
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Three essential virtues are patient, loyalty and kindness.
Dada Bhagwan|Do not keep control over household affairs. The one who keeps control has to wander around. The unusable money [torn notes, ruined coins] are offered as homage in prayer rituals! ‘Live’ as a ‘friend’ with the ‘wife’. You are her ‘friend’ and she is your ‘friend’.
Donna Brazile|'The Lord of the Rings,' published in the mid-1950s, was intended as a prehistory to our own world. It was perceived by Tolkien to be a small but significant episode in a vast alternate mythology constructed entirely out of his own imagination.
John duover, Rites|Happiness is a choice, because being so much blessed doesn't make you happy, contentment does.
Helen O'Reilly|We are all part of a universal game. Returning to our essence while living in the world is the object of the game. The earth is the game board, and we are the pieces on the board. We move around and around until we remember who we really are, and then we can be taken off the board. At that point, we are no longer the game-piece, but the player; we've won the game.
Paul Brunton, The Spiritual Crisis of Man|(The presence of evil) in his life provokes him into either overcoming it or yielding to it. If the first, it has led him to work for his own improvement; if the second it has led him to acknowledge his own weakness. Sooner or later, the unpleasant consequences of such weakness will lead him to grapple with it, and develop his power of will...Immediately and directly, it may either strengthen him or weaken him. Ultimately, it can only strengthen him.
Jennifer Sucevic|I am staring into eyes so dark and compelling that I feel as if I could easily lose myself within them. He moves me slightly away from his body but doesn't let go. Energy, just like in the forest a few nights ago, ebbs and flows betwen us.
Ilona Andrews, Magic Bleeds|Would you like to borrow a pair of my panties to wave around at the next Council meeting to get the point across?”His eyes flashed. “Got any to spare?” I could’ve picked somebody rational. But no, I had to fall in love with this arrogant idiot. Come to the Keep with me, be my princess. Mourn me when your crazy dad kills me. Yeah, right.
Brooklyn Ann, Wynter's Bite|Bethany stepped out of the carriage, eyes fixed in rapt wonder at Ellingsworth manor. Gossamer paper lanterns hung from the trees, linking the drive like stars from the heaves. Strains of enchanting music emanated from the house…
William Goldman, The Princess Bride|She had never looked as well. She had entered her room as just an impossibly lovely girl. The woman who emerged was a trifle thinner, a great deal wiser, an ocean sadder. This one understood the nature of pain, and beneath the glory of her features, there was character, and a sure knowledge of suffering.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Why does anybody do anything?" Mimi asked impatiently. "Most of the time we don't know--any of us.
Baldassarre Castiglione, The Book of the Courtier|Then the soul, freed from vice, purged by studies of true philosophy, versed in spiritual life, and practised in matters of the intellect, devoted to the contemplation of her own substance, as if awakened from deepest sleep, opens those eyes which all possess but few use, and sees in herself a ray of that light which is the true image of the angelic beauty communicated to her, and of which she then communicates a faint shadow to the body.
Natalie Martinez|I have learned so many things from my mother about the right upbringing, the right values, value for money, value for elders, for family members. I think these things only a parent can teach you.
TemitOpe Ibrahim|Hope is fuel for living; without it, we'll stop here.
Erin Cummings|At the end of the day, you are solely responsible for your success and your failure. And the sooner you realize that, you accept that, and integrate that into your work ethic, you will start being successful. As long as you blame others for the reason you aren't where you want to be, you will always be a failure.
Mark Twain|a person can also find solitude with others, though it is more difficult
Debasish Mridha|My mission in life is not only to enjoy life, but to help others to feel the joy of life.
Katie Reus, Taste of Darkness|Want to grab a beer at Howler's?"Drake blinked, unsure he'd heard him right. After just battering each other to a pulp, Gabriel wanted to geta drink with him?..."Why are you asking me?"Gabriel shrugged, then winced."Because that's what males do. We beat the shit out of each other, then go have a beer afterward.
Jostein Gaarder, Sophie's World|If God made anything better than women, I think he kept it for himself.
Hope Bradford, Oracle of Compassion: The Living Word of Kuan Yin|You started that one.”Her mouth dropped open. “I didn’t say anything!”“Sweetheart, your eyes said it all.” He lowered his hand from his cuffs and jerked his chin out toward the darkness lit with twinkling bug butts. “Now, behave, will you? I’m trying to watch bugs catch a mate. See if I can’t get some tips.”“Hell, make your ass glow, and I might take back everything I’ve said about you.
Marion Coutts|What is coping? This is what it is like: a cave underground deep in rock, hung across its roof with accretions of dripping salts. I am cavernous and hard as mineral. The cave holds a pool of dark water that has not seen light. The water is very cold; it is undrinkable and its size is unmapped. It is mine, but people cannot see it. Only Ev sometimes senses that it is there. All the time people say that I am coping very well. It is impossible to explain my strategy to them. It is opaque even to me.
Erik Pevernagie|Happiness is like a genre of music that nearly everyone knows how to dance to. Happiness has a very simple tempo, catchy phrasing, and memorable lyrics. It's the song at the wedding that makes everyone excited to run to the dance floor.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|We cannot change what we are not aware of, and once we are aware, we cannot help but change.
Milton Friedman|It was not my wish to come into politics. I was not a public person; I preferred to spend my birthdays with family and friends. But the 2008 elections were fraudulent, so I decided to finance the opposition to make them stronger.
Robin Jones Gunn, Sunsets|When the devil comes knocking on your door simply say "Jesus, it's for you.
Angelica Hopes|I long to embrace, to include in my own short life, all that is accessible to man.
Haruki Murakami, Norwegian Wood|If you only read the books that everyone else is reading, you can only think what everyone else is thinking.
Latika Teotia|2.	We experience bouts of depressions at times. Those are the times when we feel that we just want to lie low or become invisible. There’s nothing wrong in that. We are after all human beings. But to remain in that state forever is not advisable. Get up, get over it, pick up your life and start living once again. You have it in you, so chin up and cheer up.
Shannon L. Alder|I don't fear the future. I fear letting it pass by me, without ever trying to make it mine.
Charles Dickens, A Christmas Carol and Other Christmas Writings|It is good to be children sometimes, and never better than at Christmas when the Great Creator was a child himself.
Hisham Fawzi|We can regret something that we did , we can regret something that we didn't do; but the only thing that we can not afford to regret is regretting being ourselves
Bob Barr|We are called to be architects of the future, not its victims.
Ashton Irwin|Just keeping being you. Don't worry what people think. Being you is cool, okay?
Stevie Smith|But one wants the idea of Death, you know, as something large and unknowable, something that allows a person to stretch himself out. Especially one wants it if one is tired. Or perhaps what one wants is simply a release from sensation, from all consciousness for ever....
Kristen McNulty, Closed Doors|God doesn't ask us to understand, but He does ask us to trust.
Mitch Albom, For One More Day|Remember me for these days, not the old ones.
Siobhan Davis, Saven Denial|She had been waiting for someone to notice her, like, really notice her. She felt that that was the key, that she would go from the duck to the swan the minute someone recognized her potential. And they would look into her like they were trying to pierce her eyes with theirs, like they were trying to make her heart stop, and the whole world would become background noise and she would take her first breath after all of these years of nothing but existing. It would be like a coronation, or a star exploding, and then she would be born. She would be alive, and she would be loved.
Dorothy Parker|Survivors aren't always the strongest; sometimes they're the smartest, but more often simply the luckiest.
R. Alan Woods, The Journey Is the Destination: A Book of Quotes With Commentaries|If we think of the novel and the epic...The difference lies in the fact that the important thing about the epic is a hero--a man who is a pattern for all men. While, as Mencken pointed out, the essence of most novels lies in the breaking down of a man, in the degeneration of character.
Anthony T. Hincks|I'm not insincere. I just don't care, that's all.
Neel Burton, Hide and Seek: The Psychology of Self-Deception|According to the Buddha, the failure to recognize the illusion of the self is the source of all ignorance and unhappiness. It is only by renouncing the self, that is, by dropping his ego defences and committing metaphorical suicide, that a person can open up to different modes of being and relating and thereby transform himself into a pure essence of humanity. In so doing, he becomes free to recast himself as a much more joyful and productive person, and attains the only species of transcendence and immortality that is open to man.
Randi Black, The Light of the World|I'm not a religious man, but I do worship your ass.
Evangeline Lilly|There's nothing more frustrating than when fans use a nickname. That's like people you don't know using names from people that you're intimate with. Like if my mom has a nickname and a fan finds it out and starts using it, that's creepy.
Richard Adams, Watership Down|They have to leave their mark. They can't just watch. They can't just appreciate. They can't just fit into the natural order. They have to make something unnatural happen. That is the scientist's job, and now we have whole societies that try to be scientific... We've had four hundred years of modern science, and we ought to know by now what it's good for, and what it's not good for. It's time for a change.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Any time you put yourself on the line, you risk (and maybe fear) failing, falling, being embarrassed, or looking stupid—none of which are comfortable.
Stefan Molyneux|As I explain in 'What It Means to be an Anarcho-Capitalist', to be an anarchist simply means you oppose aggression, and you realize the state necessarily commits aggression. If you are not an anarchist, it means you either condone aggression, or think the state does not necessarily commit aggression. As you say you are not an anarchist, can you please tell us which one describes you? Are you in favor of aggression (like socialists and criminals are)? Or, do you think the state does not commit aggression (like children brainwashed by government schools think)?
Emma McLaughlin|Maybe I'm naively romantic, but I do believe that spice and excitement doesn't stop once a couple gets together.
Vladimir Nabokov, Despair|I liked, as I like still, to make words look self-conscious and foolish, to bind them by mock marriage of a pun, to turn them inside out, to come upon them unawares. What is this jest in majesty? This ass in passion? How do god and devil combine to form a live dog?
Bruce Milne, The Message of John|The nature of the love of God for us is thereby revealed. It is not the love of an indulgent parent who gives into every whim of the child. In the end that is not the ‘love’ for the child but a form of self love for the parent. Despite the massive propaganda to the contrary, Our lord’s purpose for us is not to make us happy, but to make us holy. He loves us too much to leave us part saved, part remade, part sanctified. He wills our holiness, and since ‘suffering produces…’ (Rom 5:3), we may expect him to allow things in our lives which, in our self-centred pursuit of happiness, we ourselves would exclude. Yet even in the shadow of his love there is always mercy. Our sorrows are shared by him; he comes to us in our pain. The end of it all is not only his glory, which needs no justifying, but also our good.
Stefanie Weisman, The Secrets of Top Students: Tips, Tools, and Techniques for Acing High School and College|I've learned a lot playing college ball," Mark says."What you do in high school doesn't mean shit. You can be the best ballplayer in your high school. The best in the country or state, but when you get to college, you're going to meet fifty other guys who can brag the same thing. You'll meet guys better than you, stronger than you, faster than you, and then you're up against better teams. The world changes when you leave Groveton.
Elena Ferrante, My Brilliant Friend|...and yes even loved him even though logic and reason told me I had no business feeling that way about him but I didn't care, no I loved him, and wanted him to know it not because I expected him to reciprocate )and yes even loved him even though logic and reason told me I had no business feeling that way about him but I didn't care, no I(even though I really really wanted him to) but because if someone ever loved me in that pure way I would want to know about it
Leigh  Powers|Forgiveness doesn't mean what happened wasn't wrong or didn't matter. If it wasn't wrong or didn't hurt, there wouldn't be anything to forgive.
Niki Livingston, Eyes Wide Shut|He rubbed at his face, as if seeking to awaken the right words from muscle, blood and bone.
Adam Mickley Wood|Theres a process of self doubt when things go wrong. Whether or not its personal or a friend in trouble, looking at ones self isn't always the answer neither is seeking god. Just acception and the will to decide is a human condition, but the circle of choices flux with time. So fight my friend or choose your demise, because after all we are only human.
Donald Justice, Collected Poems|Go then, O my inseperable, this once more,
Immanuel Kant, Groundwork of the Metaphysics of Morals|A moral dilemma can be large or small, important or inconsequential, urgent or secondary. One thing is certain: moral dilemmas are ever present.
Mark Scandrette, Soul Graffiti: Making a Life in the Way of Jesus|At the tattoo parlor, my friend worked with needle and ink applying a design to the skin on his client's back, as the three of us sat discussing our spiritual desires and ambivalence about religion. In the midst of our conversation, the man under the needle turned and said, 'Jesus is cool, it's just that they have f***ed with Jesus. I mean, Christianity was at its best when it was secret and hidden and you could die for it.' This profound, if crass, statement recognizes that the power of the gospel lay in its ability to be a counter-cultural and revolutionary force - not only a story to believe, but a distinctive way of life. The man's comment prompted me to consider the questions: Am I in some measure complicit in the domestication of Jesus?
Megan Karasch|In advising the heads of state to learn from tragedy rather than perpetuate its existence Robert Kennedy excalimed, "Tragedy is a tool for the living to gain wisdom, not a guide by which to live." We have a tendency to dwell on tragedy and use it as a justification for tragic occurrences that follow,rather than parse the tragedy, taking from it important lessons and using those lessons to avoid similar tragedies.
Thomas Jefferson|Let us save what remains: not by vaults and locks which fence them from the public eye and use in consigning them to the waste of time, but by such a multiplication of copies, as shall place them beyond the reach of accident.
