Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Israelmore Ayivor, Leaders' Watchwords|Before you live, love. Before you expire, inspire. Let your love be an inspiration to someone to also love another and together we build up a happy world!
Patricia E. Deegan|Don't chase people. Be yourself, do your own thing and work hard. The right people will come to you and stay.
Piers Morgan|Korea can't become a 'first-class' nation unless regulation and 'a sense of power' disappear. The nation's politics is the fourth-class, bureaucratic are the third-class, and business is the second-class.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Make your book of life a musical. Never abandon obligations, but have fun leaving behind a colorful legacy. Never allow anybody to be the composer of your own destiny. Take control of your life, and don't allow limitations implanted by society tell you how your music is supposed to sound — or how your book is supposed to be written.
Ryū Murakami, Popular Hits of the Showa Era|Oba-sans, to put it in somewhat difficult terms, are life-forms that have stopped evolving. And anyone can turn into an Oba-san. Young women, of course, but even young men, even middle-aged men —even children. You turn into an Oba-san the instant you lose the will to evolve.
Billy Graham, Billy Graham in Quotes|As Christians, we have only one authority, one compass: the Word of God.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Always have faith in yourself and the universe, for one will not get you anywhere without the other. Both must be equally strong to reach your desires, for they are the wings that will lift you to your dreams.
K'wan, Hood Rat|I remember when, I remember, I remember when I lost my mind! There was something so special about that place...even your emotions had an echo...and so much space!
Stacey Jay, Juliet Immortal|Shakespeare’s enduring tragedy did its part to further the goals of the Mercenaries—glamorizing death, making dying for love seem the most noble act of all, though nothing could be further from the truth. Taking an innocent life—in a misguided attempt to prove love or for any other reason—is a useless waste.
Mark Twain|Under certain circumstances, profanity provides a relief denied even to prayer."]
Bradley Chicho|Time makes friendship stronger, but love weaker.
Sunday Adelaja|The philosopher Edmund Pincoffs has argued that consequentialists and deontologists worked together to convince Westerners in the twentieth century that morality is the study of moral quandaries and dilemmas. Where the Greeks focused on the character of a person and asked what kind of person we should each aim to become, modern ethics focuses on actions, asking when a particular action is right or wrong. ... This turn from character ethics to quandary ethics has turned moral education away from virtues and toward moral reasoning. If morality is about dilemmas, then moral education is training in problem solving.
Katherine Howe|In his voice resonated the timbre of a man who thinks he has convinced himself of an idea, but masks his own doubt by laboring to persuade others.
Jani Ortlund, Fearlessly Feminine|How wonderful it is being a sheep in the flock of God. Our shepherd is the one that created the grass that we need for pasture, He is the one that created the rivers and the waters, He is the one who holds everything in His hand and He is my Shepherd.
50 Cent|The world needs people who have survived mistakes, tragedies, and trials to help the rest of us through. Where would we be if Victor Frankl had never experienced what he did during the war? He wouldn’t have used his experiences to benefit millions of people around the world. The world needs you to let go of self-pity and shame regarding your life experiences, too. The world needs you to use the things you have learned for good. Stop letting your past mistakes define you and affect your value. Let go of separation and victimhood and find meaning in what you have been through.
Amit Kalantri, Wealth of Words|Seed becomes tree, son becomes stranger.
Roy L. Pickering Jr., Matters of Convenience|If Audrey sensed what he was contemplating, her silence did not let on. He turned from the window and found her looking at him with a flawless poker face. It may have been attentiveness and curiosity to hear what he would say next, or perhaps she was expecting from him what women throughout the ages, often against their better judgment, had expected of men.
Anoop Raghav|When your dreams are clearer and stronger than your sleep, night becomes a mere extension of day
John William Tuohy|The next day, when I came home from the library, there was a small, used red record player in my room. I found my mother in the kitchen and spotted a bandage taped to her arm. “Ma,” I asked. “Where did you get the money for the record player?” “I had it saved,” she lied. My father lived well, had a large house and an expensive imported car, wanted for little, and gave nothing. My mother lived on welfare in a slum and sold her blood to the Red Cross to get me a record player.  “Education is everything, Johnny,” she said, as she headed for the refrigerator to get me food. “You get smart like regular people and you don’t have to live like this no more.” She and I were not hugging types, but I put my hand on her shoulder as she washed the dishes with her back to me and she said, in best Brooklynese, “So go and enjoy, already.” My father always said I was my mother’s son and I was proud of that. On her good days, she was a good and noble thing to be a part of.  That evening, I plugged in the red record player and placed it by the window. My mother and I took the kitchen chairs out to the porch and listened to Beethoven’s Sixth Symphony from beginning to end, as we watched the oil-stained waters of the Mad River roll by. It was a good night, another good night, one of many that have blessed my life.
Patti Smith, M Train|It is better to wait until you get the right thing, at the right time and in the right place; than to race for the wrong thing, at the wrong time and in the wrong place, for it yields nothing but disgrace.
Frank Herbert, Heretics of Dune|Life cannot find reasons to sustain it, cannot be a source of decent mutual regard, unless each of us resolves to breathe such qualities into it.
Fennel Hudson, A Meaningful Life - Fennel's Journal - No. 1|If a country successfully translate the principles of truth and honesty into their social life, social issues and problems are resolved in a civilized manner.
Mehmet Murat ildan|The first commandment of dog behavior: Thou shalt not hump. Thou shalt especially not hump in public. Thou shalt not hump thy neighbor’s wife, thy neighbor’s leg, or thy neighbor’s Jack Russell Terrier. - Belle, Dog Only Knows
Alexandra Katehakis, Erotic Intelligence: Igniting Hot, Healthy Sex While in Recovery from Sex Addiction|It is the mind that speaks a woman's heart, not the vaginal walls.
Andrew Breitbart|When I went to college, my mum was really sad, so she preserved my bedroom, like a weird time capsule.
Paulo Coelho, Brida|Oh God, what's wrong with me? Why does nothing ever work out?
Jamie Farrell, Sugared|A fake ring. A fake engagement. Fake love. Everything was fake. Shiny and put together on the outside, empty on the inside.
Charles Simic, Jackstraws|Memory, all-night's bedside tattoo artist.
John  Williams, Butcher's Crossing|But perhaps the most important lesson I learned is that there are no walls between humans and the elephants except those that we put up ourselves, and that until we allow not only elephants, but all living creatures their place in the sun, we can never be whole ourselves.
Elizabeth George, One-Minute Inspirations for Women|So, at the turn of the third millennium, you have chosen to base your principles on a collection of contradictory texts – written by various men years after the death of your man Jesus – that have been edited and selected out of hundreds of other documents, and bound together into one hotchpotch volume, under the orders of a political primate, Pope Damasus. And, you’re still content to condemn the living love I feel here and now, because of that dusty accident of bad editing? Why?
E. Jamie, The Vendetta|Bree crossed her arms over her protruding belly. “I’m fine. No one has shot at me in the last twenty four hours, and my family is talking to me again. Things are looking up.” He grimaced at the mention of her family. “How fortunate for you.” Bree narrowed her eyes at him, picking up on the derogatory tone. “Well, you should know all about the importance of family. You’d do anything for yours, right? Bernardo says jump, you ask ‘how high?’ “ Alessandro felt a sick twist of guilt in his chest, “Well, congratulations, Brianna. You’ve worked very hard for the title of O’Reiley doormat. I hope it’s all you’ve ever wanted. I hope you’re happy.” “Blissfully,” Bree shot back and turned on her heel, leaving him there filled with anger and regret.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|I trust in God. He is my provider, refuge, and shelter.
Barbara Avon, The Christmas Store|We will grow old and die, eventually.Then I'll see you in Heaven.
César Aira, Varamo|He couldn’t believe that sleep had robbed him of this spectacle night after night. Such are the writer’s privileges, he thought, nostalgic already for the present.
Gerard Way|This shit is easy peasy, pumpkin peasy, pumpkin pie, muthafucka!
Lewis N. Roe, From A To Theta: Taking The Tricky Subject Of Religion And Explaining Why It Makes Sense In A Way We Can All Understand|If cats could count, they’d start getting nervous around the time they put paid to their fifth life.
Denis Kearney|To the factory farmer, in contrast to the traditional farmer with his sense of honor and obligation, the animals are 'production units,' and accorded all the sympathy that term suggests.
Laurel Snyder, Swan: The Life and Dance of Anna Pavlova|The world is a hungry place, and Anna will feed it beauty.
Pawan Mishra|A writer can do without food for a few hours, but not without the sight of books.
Patrick Ness|Your stomach isn't the boss of you,' Mel says evenly.'Oh,' Jared says, realizing. 'Sorry-'Mel shakes her head, brushing it off. 'Not what I meant. Your heart isn't the boss of you other. Thinks it is. Isn't. You can always choose. Always.''You can't choose not to feel,' Henna says.'But you can choose how to act.
Lars Mikkelsen|But let her remember, that it is in Britain alone, that laws are equally favourable to liberty and humanity; that it is in Britain the sacred rights of nature have received their most awful ratification.
Bernard Kelvin Clive|Loving someone is something you can do from afar, admiring someone and appreciationg their existence in your life - but in love's different. It's all-cosnuming to the point where being away from taht person seems unbearable. There's no stopping that feeling... ~ Ben
Darrel Ray, Sex & God: How Religion Distorts Sexuality|From fear of death to sexualizing the normal and marking children, religion is hell bent on creating an environment that is sexually negative –an environment that systematically and arbitrarily restricts options for people. Regardless of the biological map of an individual, religion will do its best to impose its map. The map is almost always focused on what not to do. Since humans can rarely, if ever, live up to such a restrictive standard, it gives religion a huge opportunity to develop guilt and shame, leading the person back to the religion for relief. The map bears no resemblance to human sexuality. It is an artificial and arbitrary set of rules imposed by the religion on its adherents. The result is oppression of women, sexual misinformation, fear of death, repression of homosexuals and much more.
Herman Melville, Moby-Dick or, The Whale|Queequeg was a native of Kokovoko, an island far away to the West and South. It is not down in any map; true places never are.
Albert Einstein|When time stops, life starts.
Robert Bly|I have daughters and I have sons.When one of them lays a handOn my shoulder, shining fishTurn suddenly in the deep sea.
Alyssa Brugman, Alex As Well|If there's a place you should be able to put yourself first, it's in your own sexual fantasies.
Matt Haig, The Radleys|You look like a Greek God, not to attract me per say, but to be attractive to all. It’s part of your power, your persuasive way. It’s also part of the evil, to make it harder for you to remain good. Evil doesn’t just come in the form of a monster, it comes in the form of a beautiful woman, a temptress if you will, in the form of sin. With your incredible good looks, women will be more drawn to you, which could tempt you to evil’s sin; a curse, as well as a gift.
Biju Karakkonam Nature and Wild life Photographer|do not take pictures to please the public, the photo should be spontaneous and free
Walt Whitman|If man can live in Manhattan, he can live anywhere.
John O'Donohue, Anam Cara: A Book of Celtic Wisdom|We do not need to go out and find love; rather, we need to be still and let love discover us.
Charles Dickens, Great Expectations|Do not be too moral. You may cheat yourself out of much life so. Aim above morality. Be not simply good, be good for something.
Sylvia Day, Bared to You|Logan ran a hand through his hair as he tried to calm his racing heart. He wanted her on the most basic level that a man could want a woman, but it was so much more than that. It wasn’t just about sex and the need to be inside her so badly it hurt—it was all the other stuff to. The need to matter. The need to be selfless. 	The need to love.
Israelmore Ayivor, The Great Hand Book of Quotes|When the positive mind takes the lead, the legs are safe to follow without any shaking!
J.C. Reed, Surrender Your Love|Do you love me, Rain?""More than I knew it was possible to love. All the stars will fall from the heavens before I ever stop.
Anthony T. Hincks|Inspiration comes from not only within ourselves, but also from watching life around us.
Tessa Maurer, The Toxic Children|If you write literary fiction that’s set partly in the future, you’re apparently a sci-fi writer ... I think of it as being more of a story about what remains after we lose everything and the importance of art in our lives.
Michael Arrington|I think a moratorium probably is legal, and we should probably for a short period of time impose a moratorium so that we don't permit any additional landfill permits for the time being, so we don't exacerbate the problem.
Gift Gugu Mona|I realized that marriage is not only about exchanging vows, but it's about two people who equally make a continuous effort to honour their vows.
Julie Kagawa, Soldier|Ember was watching me, green bright eyes in the shadows of the room. She crouched against the wall with her wings pressed close and her tail curled around herself. Even with her fangs slightly bared and her sides heaving with fear, she was still beautiful, elegant, fiery, everything my dragon wanted.
Jeanette Coron|Everytime you’re denying the flesh, you’re feeding and making the spirit stronger.
William Dalrymple, Nine Lives|I am a lover, and I deal in love. Sow flowers,So your surroundings become a garden.Don't sow thorns; for they will prick your feet.We are all one body,Whoever tortures another, wounds himself.
Fennel Hudson, Traditional Angling - Fennel's Journal - No. 6|Be seasonal, ethical and gentle.
Edmond de Goncourt|How far away the stars seem, and how far is our first kiss, and ah, how old my heart.
Gustave Flaubert, Madame Bovary|I found that I could not contemplate an adult life in which books were not dominant. I wanted to live and work with them...I had to be able to take books from their places, run my finger over their backs, see how they opened, flick their corners straight. I wanted a perspective of bookshelves always in my eye. And books, books, books. This was not a rational way of determining on a career and was much tainted by mushiness. But it was the way in which my decision hardened, before I was fifteen years old, to become a librarian.
Barbara Kingsolver, Flight Behavior|A solemn sadness reigns. A great peace is around us. In its light our cares of the working day grow small and trivial, and bread and cheese—ay, and even kisses—do not seem the only things worth striving for. Thoughts we cannot speak but only listen to flood in upon us, and standing in the stillness under earth's darkening dome, we feel that we are greater than our petty lives. Hung round with those dusky curtains, the world is no longer a mere dingy workshop, but a stately temple wherein man may worship, and where at times in the dimness his groping hands touch God's.
Lailah Gifty Akita|You should have know this, Mari, that I would help you."She was smiling again as she wiped her eyes. "Maybe I should have known. But I didn't, Alain. You are a Mage, and sometimes my memories of what happened in the waste and in Ringhmon and at Dorcastle have seemed like some kind of hallucination. I didn't know how you would react when I found you. I was actually...Alain, I was afraid that when I found you I'd discover that you'd gone back to being like you were when we first met. That you'd just look at me as if I didn't exist and walk away. I should have realized that wouldn't happen. I should have known that you'd help without question. You keep saying that truth doesn't exist, buy you are true. There's nothing false about you.
Samuel Johnson, Preface to a Dictionary of the English Language|In the beginning was the word, and primitive societies venerated poets second only to their leaders. A poet had the power to name and so to control; he was, literally, the living memory of a group or tribe who would perpetuate their history in song; his inspiration was god given and he was in effect a medium.
Abigail Adams|Well, knowledge is a fine thing, and mother Eve thought so; but she smarted so severely for hers, that most of her daughters have been afraid of it since. 
Carolyn Jewel, In the Duke's Arms|He’d seen that absent look from her dozens of times in London. She thought herself invisible, and was not. Not to him. This was the second time he’d mentioned marriage to her. The second time she heard nothing but his words.
Gabriel Byrne|No matter how potent your talents are, they remain to be out of use until you take time to develop them to their optimum level. This calls for preparation. Through preparation, personal branding, consistent exposure and productive connections, you set up a condition for your dreams to flourish and bear fruits!
Joyce Brothers|Success is a state of mind. If you want success, start thinking of yourself as a success.
Simone de Beauvoir, The Second Sex|One is not born, but rather becomes a woman.
Marcus Aurelius|By nature all men are equal in liberty, but not in other endowments.
Mlungisi Simelane|Attitude is the power of leadership. Nothing can stop a person from achieving success who has the right attitude. Our attitude cannot stop our feelings, but they can prevent our feelings from stopping us
Denis Waitley|When ambition ends, happiness begins.
Debasish Mridha|Do your actions define who you are, or does your purpose define why you are?
Dean Koontz, Odd Apocalypse|In memory, she lived and moved and laughed, but all that a photograph could offer was one frozen moment of a life.
Airicka Phoenix, Games of Fire|His eyes were twin flakes of ember floating into the night from a roaring inferno. “I won’t let anything happen to you. No matter what I have to do, I will keep you safe.
Thomas Daniel Nehrer, The Illusion of "Truth": The Real Jesus Behind the Grand Myth|The fact is: Jesus wrote not a solitary word that survives. Equally astounding is historical silence: not a single historical account refers to him during his lifetime from any source whatsoever, Roman or Jewish, official or personal.
Jodi Picoult, Handle with Care|[I] don't think I was trying to kill myself. I just wanted to hurt, and understand exactly whay I was hurting. This made sense: you cut, you felt pain, period.
Dada Bhagwan|If in the laukik (worldly life), one attains the vision of alaukik (beyond the world), his work is accomplished.
Criss Jami, Diotima, Battery, Electric Personality|Intelligence entails a strong mind, but genius entails a heart of a lion in tune with a strong mind.
Lisa Brown Roberts, How (Not) to Fall in Love|Sometimes in the winter, when the fog rolled in and silenced the waves, it felt as if death had its fingers around my neck. Fingers like frostbitten twigs that made me ache inside.
Kate Douglas Wiggin, The Bird's Christmas Carol|It is very funny, but you do not always have to see people to love them. Just think about it, and tell me if it isn't so.
Dan  Harmon|Idols of the injury,dug in behind the least understoodmotor plan information.The vile abomination temporal lobes andThe four loathsome memory walls andThe four reasoning, arithmetic beastsare found for all behind pain and planes.Portrayed as a house,Go in, function, cause blindness fromThe house's hearing spirit, judgment andThe court's four bronze woes andThe functioning brain lobe wings,Go in, hearing and perception,I dig under door fronts, pain and plans.
Peter Seibel, Coders at Work|money I could hardly think of it. “Go on, take it.
Gustave Flaubert, Madame Bovary|Yet she resigned herself: reverently she put away in the chest of drawers her beautiful dress and even her satin shoes, whose soles had been yellowed by the slippery wax of the dance floor. Her heart was like them: contact with wealth had laid something over it that would not be wiped away.
Jesse L. Martin|With a brand - and I respect Porsche - but the Ferrari brand is more exclusive... We never do SUVs, we never do four doors, and we never exceed 7,000 cars per year. And 7,000 means 7,000.
David Louden, Heroes of Hollywood Boulevard|Marilyn Monroe is pissing me off, Charlie Chaplin owes me twenty bucks, that fucker Shrek tried to fuck my girlfriend at Baskin Robbins.
Henry Ian Cusick|I'd been a wedding singer through college, but after a few years of doing my best renditions of jazz standards to clinking glasses and the sound of forks on salad, I thought, 'Oh God, if this is all I do, I'll never be able to live with myself.'
Hank Bracker|SS Seawise GiantSeawise GiantOrdered in 1974 and delivered in 1979, the longest ship ever built was the supertanker Seawise Giant. Larger than the largest Cruise Ship afloat, the Oasis of the Seas, which is 1,186 feet long. She was over 1,504 feet long and weighed in at 260,941 gross tons. Having a beam of 220 feet and drawing 79 feet of water, she was so large that she couldn't navigate through the Panama Canal the Suez Canal or even the English Channel. After having been sunk during the 1980 -1988 Iran–Iraq War she was raised, renamed a few times and used for oil storage until she was ultimately scrapped in India, in 2010.Read “The Exciting Story of Cuba” by Captain Hank Bracker
Nanci Rathbun, Truth Kills|Where are the decent women, where are our good daughters, where are our future wives, All i see are whores with tattoos, they smoke do hard drugs and care-less, and if you correct them they insult you, where are our future mothers, where are the women with standards, where are the women with good character and good hearts, where are the women that hide their body from men, Real women are mothers to their kids,wives to their husbands, daughters to their mothers. Real women are strong & independent,Women, stop being a girlfriend that gives boyfriends "wife" privileges! Women: Please set great examples for your daughters & don't let them see you allow nonsense w/your man! Teach them to know their worth.‪#‎Daniel_Friday_Danzor‬ ‪#‎Women‬
Miya Yamanouchi|Then came the most exquisite moment of her whole life passing a stone urn with flowers in it. Sally stopped; picked a flower; kissed her on the lips. The whole world might have turned upside down! The others disappeared; there she was alone with Sally. And she felt that she had been given a present, wrapped up, and told just to keep it, not to look at it — a diamond, something infinitely precious, wrapped up, which, as they walked (up and down, up and down), she uncovered, or the radiance burnt through, the revelation, the religious feeling!
Thomas Aquinas, Summa Theologiae: A Concise Translation|For every relationship involves two related terms. Sometimes relationships are not real in either term, but arise from the way we think of the terms: we think identity, for example, by thinking one thing twice over and relating it to itself; and occasionally we relate what exists to what does not exist, or generate purely logical relations like that of genus to species. Sometimes relationships are real in both terms: grounded in the quantity of both, in the case of relationships like big/small or double/half, or in their activity and passivity, in the case of causal relationships, like mover-moved and father/son. Sometimes relationships are real in only one of the terms, with the other merely thought of as related [reciprocally] to that one; and this happens whenever the two terms exist at different levels. Thus seeing and understanding really relates us to things, but being seen and understood by us is not something real in the things; and similarly a pillar to the right of us does not itself have a left and a right.
Anna Quindlen, Imagined London: A Tour of the World's Greatest Fictional City|London has the trick of making its past, its long indelible past, always a part of its present. And for that reason it will always have meaning for the future, because of all it can teach about disaster, survival, and redemption. It is all there in the streets. It is all there in the books.
Alan Lightman|From my experience, meditating can bring up the most stressful thoughts.
Elizabeth McCracken, Thunderstruck & Other Stories|I’m so sorry,” he said, because after Pamela died, he promised himself that if anyone told him the smallest, saddest story, he would answer, I’m so sorry. Meaning, Yes, that happened. You couldn't believe the people who believed that not mentioning sadness was a kind of magic that could stave off the very sadness you didn't mention – as though grief were the opposite of Rumpelstiltskin and materialized only at the sound of its own name.
James Madison|Riches, the dumb god that giv'st all men tongues, / That canst do nought, and yet mak'st men do all things; / The price of souls; even hell, with thee to boot, / Is made worth heaven!
Angela Richardson, All the Pieces|You want to know what the saddest part is Tess?” I said, sounding choked up.“What’s that Josh?”I felt my heart constricting as the brutal truth flowed from my lips. “You say she’s mine...but honestly, I don’t think she was ever mine to begin with.
David Harewood|Music, architecture and pictures have always been my passions, and all that material wealth has meant for me, is being able to have some of the pictures I liked.
Alberto Cairo, The Truthful Art: Data, Charts, and Maps for Communication|Every idea travels to somewhere but some ideas travel to everywhere, the great ideas!
Théophile Gautier, Mademoiselle de Maupin|Some centuries ago they had Raphael and Michael Angelo; now we have Mr. Paul Delaroche, and all because we are progre
Ursula K. Le Guin, The Word for World is Forest|For the kindest of them was as far out of touch, as unreachable, as the crudest.
Tony Curl, Seriously Simple Stuff to Get You Unstuck|At times, don’t be forced to play nice with others, especially when their version of playing nice favours them, and is focused on them. Playing nice means working together for a shared result. I’m not sorry for not being able to play nice with everyone, sometimes I only play nice with the best.
Orlando Bloom|The ego is there, but I'm learning to channel it.
Sun Tzu|One hundred victories in one hundred battles is not the most skillful, subduing the other's military without battle is the most skillful.
Eleonora Duse|Joy, rather than happiness, is the goal of life, for joy is the emotion which accompanies our fulfilling our natures as human beings. It is based on the experience of one's identity as a being of worth and dignity.
Darnell Lamont Walker|If Broadway was a river running from the top of Manhattan down to the Battery, undulating with traffic and commerce and lights, then the east-west streets were eddies where, leaf-like, one could turn slow circles from the beginning to the ever shall be, world without end.
William Shakespeare, Othello|The trouble with Grace, she thought, is that she is so literal. But that was the trouble with most people, when it came down to it; there were very few who enjoyed flights of fantasy, and to have that sort of mind--one which enjoyed dry with and understood the absurd--left one in a shrinking minority.
Doug   Cooper, Outside In|There's nothing like an orgasm to force a person to think--and more often than not, to think too much.
Oksana Baiul|If you go around being afraid, you're never going to enjoy life. You have only one chance, so you've got to have fun.
Eric Schlosser, Fast Food Nation: The Dark Side of the All-American Meal|By 1900, European scientists recognized that unless a way was found to augment this naturally occurring nitrogen, the growth of the human population would soon grind to a very painful halt... After Nixon's 1972 trip the first major order the Chinese government placed was for thirteen massive fertilizer factories. Without them, China would have probably starved.
Carrie Underwood|Lord, I feel so small sometimes in this great big old world.Yeah, I know there are more important things.But don't forget to remember me.
Michael R. Fletcher, Beyond Redemption|For all Wichtig spoke of trust, he trusted no one. For all he spoke of wisdom, he learned nothing. Every word he uttered was done so with an eye toward manipulation.
Caroline Knapp, Appetites: Why Women Want|I did not grasp all these details - and many more - right away. They came to my notice with time and as a result of necessity. I would be in the direst of dire straits, facing a bleak future, when some small thing, some detail, would transform itself and appear in my mind in a new light. It would no longer be the small thing it was before, but the most important thing in the world, the thing that would save my life. This happened time and again. How true it is that necessity is the mother of invention, how very true.
Augustine of Hippo, On Genesis (Fathers of the Church)|In the superman Nietzsche gave the world a conceivable and possible goal for all human effort. But there still remained a problem and it was this: When the superman at last appears on earth, what then? Will there be another super-superman to follow and another super-super-superman after that? In the end, will man become the equal of the creator of the universe, whoever or whatever He may be? Or will a period of decline come after, with return down the long line, through the superman down to man again, and then on to the anthropoid ape, to the lower mammals, to the asexual cell, and, finally, to mere inert matter, gas, ether, and empty space?
Robin Hobb, Fool's Quest|Truth is like a bright full moon in a dark country sky. Powerful, bright and undeniable. Lies are like clouds that continually try to cover that moon. Sometimes they might be able to cover the moon, but only temporarily. The truth will always outshine the clouds.
Mohith Agadi|If you are staying inside your comfort zone, It means you are in a prison and that hinders your life.
Rick Riordan, The Battle of the Labyrinth|Are you guys busy?" Juniper asked.  "Well," I said, "we're in the middle of this game against a bunch of monsters and we're trying not to die." "We're not busy," Annabeth said.
Rosamund Hodge, Cruel Beauty|Though mountains melt and oceans burn,The gifts of love shall still return.
C.L. Gammon, The Preamble to the United States Constitution|While the Christian faith clearly teaches that believers are to be involved as good citizens in the state, nevertheless, it is obvious why so many secularists are addicted to politics because political power is a surrogate for a Higher Power.
Yves Behar|I have been working with Hive, part of British Gas, on reinventing the thermostat. Now you can control your heating at the press of a button on your phone. As I say, design should permeate every part of society.
Dave Barry|Dogs are minor angels, and I don't mean that facetiously. They love unconditionally, forgive immediately, are the truest of friends, willing to do anything that makes us happy, etcetera. If we attributed some of those qualities to a person we would say they are special. If they had ALL of them, we would call them angelic. But because it's "only" a dog, we dismiss them as sweet or funny but little more. However when you think about it, what are the things that we most like in another human being? Many times those qualities are seen in our dogs every single day-- we're just so used to them that we pay no attention.
Nico J. Genes|If the stones that we walked on could talk, they would surely tell our story." - Magnetic Reverie
Robert Runcie|Any religion that professes to be concerned about the souls of men and is not concerned about the slums that damn them, the economic conditions that strangle them and the social conditions that cripple them is a spiritually moribund religion awaiting burial.
Paulo Coelho, The Pilgrimage|And you're Cameron Wolfe. That' gotta start meaning somethin' boy. That's gotta start churnin' inside us, making us wanna be someone for those names, and not just another couple of guys who amounted to nothin' but what people said we would. No way. We're getting' out of that. We have to. We're gonna crawl and moan and fight and bite and bark at anything that gets in our way or tries to hunt us down and shoot us. All right?
Vir Das|Earlier, looking lighter or slimmer never mattered to me. Frankly, I didn't care. I had more important things to do. But when I figured that it's not that hard, and I have the time, passion and patience to take it up, I jumped onto the health-wagon. I started working out.
Aaron R. Yilmaz, Deliver Us From Evolution?: A Christian Biologist's In-Depth Look at the Evidence Reveals a Surprising Harmony Between Science and God|The Bible is gloriously for us, but it is not mainly about us.
Virgil|Have patience with all things, But, first of all with yourself.
Marilyn Johnson, This Book Is Overdue!: How Librarians and Cybrarians Can Save Us All|We'll always need printed books that don't mutate the way digital books do; we'll always need places to display books, auditoriums for book talks, circles for story time; we'll always need brick-and-mortar libraries.
Patrick Rothfuss, The Wise Man's Fear|Sought we the Scrivani word-work of SurthurLong-lost in ledger all hope forgotten.Yet fast-found for friendship fair the book-bringerHot comes the huntress Fela, flushed with findingBreathless her breast her high blood risingTo ripen the red-cheek rouge-bloom of beauty.“That sort of thing,” Simmon said absently, his eyes still scanning the pages in front of him.I saw Fela turn her head to look at Simmon, almost as if she were surprised to see him sitting there.No, it was almost as if up until that point, he’d just been occupying space around her, like a piece of furniture. But this time when she looked at him, she took all of him in. His sandy hair, the line of his jaw, the span of his shoulders beneath his shirt. This time when she looked, she actually saw him.Let me say this. It was worth the whole awful, irritating time spent searching the Archives just to watch that moment happen. It was worth blood and the fear of death to see her fall in love with him. Just a little. Just the first faint breath of love, so light she probably didn’t notice it herself. It wasn’t dramatic, like some bolt of lightning with a crack of thunder following. It was more like when flint strikes steel and the spark fades almost too fast for you to see. But still, you know it’s there, down where you can’t see, kindling.
Anthony Doerr, All the Light We Cannot See|You know the greatest lesson of history? It's that history is whatever the victors say it is...Whoever wins, that's who decides the history.
Tiger Shroff|I have never seen a wrestling match or a prize fight, and I don't want to. When I find out a man is interested in these sports, I drop him.
Melody  Lee, Moon Gypsy|You can only hurt a woman so many times before her fangs grow sharp, her claws scratch deep, and her eyes become blades.
Deh Gel|Geckos could caught by hand, but they could be found in the men's room.
Dan Brown, Angels & Demons|Scientific advancement carries risk,” Kohler argued. “It always has. Space programs, genetic research, medicine—they all make mistakes. Science needs to survive its own blunders, at any cost. For everyone’s sake.”Vittoria was amazed at Kohler’s ability to weigh moral issues with scientific detachment. His intellect seemed to be the product of an icy divorce from his inner spirit. “You think CERN is so critical to the earth’s future that we should be immune from moral responsibility?
Marty Rubin|One is never wounded by the love one gives, only by the love one expects.
Pablo Picasso|Friendship at first sight, like love at first sight, is said to be the only truth.
Michelle Bachelet|Everybody thinks that equality comes from identifying people, and that's not where equality comes from.
James Franco, Straight James/Gay James|The man is angry, the manIs destructive, the man wants more.The woman is more, the woman is all.
Mykyta Isagulov|Someone said: friends are the thiefs of time. I shall add: of time, freedom, life; and givers of best memories, brightest moments, true feelings.
L.J. Smith, Daughters of Darkness|How joyful to be together, aloneas when we first were joinedin our little house by the riverlong ago, except that now we knoweach other, as we did not then;and now instead of two stories fumblingto meet, we belong to one storythat the two, joining, made. And nowwe touch each other with the tendernessof mortals, who know themselves
J.R.R. Tolkien, The Hobbit|You're on your own little quest, an there's a bit of Frodo Baggins in you, and a bit of Verne's Paganel, and just a tiny drop of Robinson Cursoe, and a smidgeon of Radishchev.
Susan Barbara Apollon, Touched by the Extraordinary|Synchronicity could be understood as an ordering system by means of which “similar” things coincide, without there being any apparent cause.
Sorin Suciu, The Scriptlings|When a problem threatens to engulf you, there's nothing like irrelevant detail to keep your head above water.
Bill Gates|My proudest achievement has been the success of the shows and artists I have been involved with, because they were made in Britain.
Kerry Washington|I had a stunt double for 'The Bronze.' She's literally the most amazing human being I've ever seen. She's NCAA women's gymnastics champion. She was incredible. I would poke her thighs, and my nail would break because it was like poking a rock.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Sometimes you have to "play the part" to become the part.
Shannon Dermott, Sacrifice of Mercy|What are you, my father now?""No, but I'm someone who will always love you.""Always?" I question, because even without jealousy, my relationship with Flynn was bound to hurt him."Forever.
Sanford I. Weill|I believe that the best cameraman is one who recognizes the source, the story, as the basis of his work.
Miguel de Cervantes Saavedra|Here lies a gentleman boldWho was so very braveHe went to lengths untold,And on the brink of the graveDeath had on him no hold.By the world he set small store--He frightened it to the core--Yet somehow, by Fate's plan,Though he'd lived a crazy man,When he died he was sane once more.
