Paresh Shah|People don't have ideas, ideas have people.
Ifeanyi Enoch Onuoha|A lady sent me an email recently advising me to change my environment. I guess she read through the lines of my writing and I had adequately painted a portrait of my experiences for her to form a conclusion that melancholia and fatalistic views of my protagonist reveals the depth or layers of my own consciousness. I haven't experienced much of life at twenty five but I've noticed enough, more than most people do at my age. I won't lie that sometimes it leaves me menacingly depressed. I only represent myself. I am in no competition with anyone. I often muse that if people were half concerned about wars and crimes, corruption in high places and poverty with the heavy regard they place upon other's lives then we would have a better world. Just imagine if the average man on the road heckled politicians the way they are often inclined to insult a fat woman. I have a Ton load of bad experiences but I have not allowed them to deter me, people will think about them at some high point in my life and try to use it to besmirch whatever glory I may attain. I understand that too, they can use it for whatever barometer on their lives they see fit but as for me, I used my crash falls as stairwells to greatness. Sometimes I feel alone because I am youthful and curious about life and people judge me for it and oftentimes it leaves me feeling lonely and asocial. You see the deep thinker has to be careful, the shallow minded will take one look and paint him as madness.
Harriet Jacobs, Incidents in the Life of a Slave Girl|Man cannot be reduced to slavery if he is not distorted first. The politician and the priest have been in a deep conspiracy down the ages. They have been reducing humanity to a crowd of slaves. They are destroying every possibility of rebellion in man—and love is rebellion, because love listens only to the heart and does not care a bit about anything else.
Philip K. Dick, Philip K. Dick: The Last Interview and Other Conversations|And this again, that that insurgent horror was knit to him closer than a wife, closer than an eye; lay caged in his flesh, where he heard it mutter and felt it struggle to be born; and at every hour of weakness, and in the confidence of slumber, prevailed against him, and deposed him out of life.
Bertrand Russell|As a philosopher, if I were speaking to a purely philosophic audience I should say that I ought to describe myself as an Agnostic, because I do not think that there is a conclusive argument by which one can prove that there is not a God. On the other hand, if I am to convey the right impression to the ordinary man in the street I think that I ought to say that I am an Atheist, because, when I say that I cannot prove that there is not a God, I ought to add equally that I cannot prove that there are not the Homeric gods.
Marie Lu, The Midnight Star|Your poetry is lonely. And yet, you write to feel less alone
Soman Chainani, The Last Ever After|And yet knowing all these mistakes were yours, beautifully yours, and you came out the better for it... the boy I left behind well on his way to becoming an extraordinary man and an extraordinary king." Merlin smiled. "If only from your choice of princess alone.
Miguel de Unamuno|I spend a lot of time with Buddhists. I'm not a Buddhist, but their relationship with death interests me.
Viv Grigg|We must primarily become seekers of God instead of founders of works, for work will not sustain us through the traumas of incarnation.
Lailah Gifty Akita|Reflect, reflect.
Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|Siarad Cymraeg?" said Old Shacob."He wants to know if you speak Welsh," said the surveyor."NO!" yelled the official at the old man before him."Tamn it all; his language, man!" shouted Dan. "What you expect in Wales - Chinese, or what?!
Debasish Mridha|You are my love, you are my light, you are my blue sky, when I am vanishing in you only then I can fly.
Robert Duchnik, jQuery Plugin Development In 30 Minutes|If you want to do a few small things right, do them yourself. If you want to do great things and make a big impact, learn to delegate.
Emily Henry, The Love That Split the World|I don't believe in love at first sight but maybe this is as close as it gets: seeing someone, a person you have no business loving, on a football field one night and thinking, I want you to be mine and I want to be yours. Lying on a closet floor with someone and thinking, I shouldn't know you but I do. Recognizing someone as a part of you before they've even become that person in your life, and knowing, without a doubt, that neither of you will ever be who you are in this exact moment ever again and believing, against all odds, you will continue to belong to one another despite that.
Laurie Halse Anderson, Speak|Sometimes in the great soundtrack of our lives there are no words, there are only emotions; I believe this is why God gave us classical music.
bell hooks|The power of patriarchy has been to make maleness feared and to make men feel that it is better to be feared that to be loved. Whether they can confess this or not, men know that just is not true.
Junior Seau|I've teamed up with one of the headmasters at Eton College, and we're spearheading a kind of 'slow education movement in Britain'. It's based on this idea of moving away from the fast-food approach to learning and going to something deeper, more woolly, harder to measure.
Pierre Teilhard de Chardin, Hymn of the Universe|Blessed be you, mighty matter, irresistible march of evolution, reality ever newborn; you who, by constantly shattering our mental categories, force us to go ever further and further in our pursuit of the truth.
Betty  Smith, A Tree Grows in Brooklyn|This could be a whole life," she thought. "You work eight hours a day covering wires to earn money to buy food and to pay for a place to sleep so that you can keep living to come back to cover more wires. Some people are born and kept living just to come to this...
Kim Jong-un|There's very little proof that Obama or anyone in his administration - particularly Hillary Clinton - truly understands or believes the tenets in the U.S. Constitution or the Declaration of Independence. If they did, they would know that they are running a federal government in direct contradiction to both of those sacred documents.
Magda Alexander, Storm Redemption|He pulls me into the steel of his chest. In between kissing me, he whispers, “You don’t have to be jealous of them, you know. None of them hold a candle to you.
Joshua Foer, Moonwalking with Einstein: The Art and Science of Remembering Everything|Once upon a time, this idea of having a trained, disciplined, cultivated memory was not nearly so alien as it would seem to us to be today.
Sharon Salzberg, Real Love: The Art of Mindful Connection|What makes awe such a powerful call to love is that it’s disruptive. It sneaks up on us. It doesn’t ask our permission to wow us; it just does. Awe can arise from a single glance, a sound, a gesture.
James Weldon Johnson, The Autobiography of an Ex-Colored Man|In the end, after kingdoms and armies had fallen, the religions were still fighting, weren't they?
Will Rogers|Even if you are on the right track, but just sit there, you will still get run over.
Edwin Grant Conklin|The principal result of my investigation is that a uniform developmental principle controls the individual elementary units of all organisms, analogous to the finding that crystals are formed by the same laws in spite of the diversity of their forms.
Jojo Moyes, Me Before You|Nothing made you realize how much you’d been ignoring your heart, until someone came along and smacked it awake simply by existing.
John Green, Looking for Alaska|You need to decide what works for you. But ultimately, hold out for adoration and respect
Beth Revis, The Body Electric|She is trying to control me with fear, because she cannot control me any other way.My eyes open wide. They burn as if they are on fire—no, as if they are made of fire. Eyes are the window to the soul.
Eric Micha'el Leventhal|The way to embody love completely is to see and appreciate life just as it is, and not as you believe, fear, or desire it to be.
my friend|Raphael met Michaela's gaze. "If you could kill every single beautiful woman in the world, would you?"Her smile never faded. "In an instant.
Alfred Noyes, Collected Poems Complete|Stand like a beaten anvil, when thy dreamIs laid upon thee, golden from the fire.Flinch not, though heavily through that furnace-gleamThe black forge-hammers fall on thy desire.Demoniac giants round thee seem to loom.'Tis but the world-smiths heaving to and fro.Stand like a beaten anvil. Take the doomTheir ponderous weapons deal thee, blow on blow.Needful to truth as dew-fall to the flowerIs this wild wrath and this implacable scorn.For every pang, new beauty, and new power,Burning blood-red shall on thy heart be born.Stand like a beaten anvil. Let earth's wrongBeat on that iron and ring back in song.
Asti Hustvedt, The Decadent Reader: Fiction, Fantasy, and Perversion from Fin-de-Siècle France|Adornment, exoticism, affectation are all willed decadent strategies meant to pervert the texts they made. Decadent texts often live in their descriptive excursions, in their evocation of dreams, mysterious places and states of mind, in their excess of words, not events. The surface of the texts, the sound of the words, point to themselves as manufactured, as illusion. The decadents attempted to create texts that announced themselves as artifice.
Edward Everett Hale|What starts the process, really, are laughs and slights and snubs when you are a kid. If your anger is deep enough and strong enough, you learn that you can change those attitudes by excellence, personal gut performance.
Julene Bair, The Ogallala Road: A Memoir of Love and Reckoning|One of my professors in college used to say As the wise man said, Do or do not, there is no try, but the advice columns generally say the opposite. If someone promises to try, and you're happy with that, don't push. It can backfire. You can get yourself in a lot of trouble asking for too much.
Alexandre Dumas, The Count of Monte Cristo|I have always had more dread of a pen, a bottle of ink, and a sheet of paper than of a sword or pistol.
Jerry Spinelli, Love, Stargirl|Can you really ask what reason Pythagoras had for abstaining from flesh? For my part I rather wonder both by what accident and in what state of soul or mind the first man did so, touched his mouth to gore and brought his lips to the flesh of a dead creature, he who set forth tables of dead, stale bodies and ventured to call food and nourishment the parts that had a little before bellowed and cried, moved and lived. How could his eyes endure the slaughter when throats were slit and hides flayed and limbs torn from limb? How could his nose endure the stench? How was it that the pollution did not turn away his taste, which made contact with the sores of others and sucked juices and serums from mortal wounds? … It is certainly not lions and wolves that we eat out of self-defense; on the contrary, we ignore these and slaughter harmless, tame creatures without stings or teeth to harm us, creatures that, I swear, Nature appears to have produced for the sake of their beauty and grace. But nothing abashed us, not the flower-like tinting of the flesh, not the persuasiveness of the harmonious voice, not the cleanliness of their habits or the unusual intelligence that may be found in the poor wretches. No, for the sake of a little flesh we deprive them of sun, of light, of the duration of life to which they are entitled by birth and being.
Silvia Hartmann|The more loving we can be, the more powerful we become.
Renata Adler, Speedboat|Well we can't be having that. One person starts having fun and it turns into an epidemic. Difficult to stop that kind of thing, you know.
S.C. Barrus|No one is as brave, as adventurous or as skillful as D'Artagnan, without at the same time being inclined to be a dreamer.
David Rangel, Evan the Christmas Elf: Ghost Hunter|Eating a huge home cooked Christmas dinner was his personal favorite. Evan would look around after each Christmas Day was done. There were empty dishes, and torn up wrapping paper on the ground. Monty was passed out on the couch stuffed with food. Evan would close his eyes and hear the day. He could feel the memories that were just made.
Harold Edmund Stearns, Liberalism in America: Its Origin, Its Temporary Collapse, Its Future|I grant men the land, the government, the wealth, all the chances. I accept that you have to hold all the cards, since that's the only way you know how to play; but I refuse to swallow your disrespect.
Deyth Banger|If your hands don't find something they can do, they will find a reason to find that which they can't do
Earle Gray|The essence of the charge made against the modern high-status ideal is that it is guilty of effecting a gigantic distortion of priorities, of elevating to the highest level of achievement a process of material accumulation that should instead be only one of many factors determining the direction of our lives under a more truthful, more broadly defined conception of ourselves.
Annie Dillard, The Maytrees|Halved. That was every time. My laughter was for idiots, for their unjustifiable idiocy and for myself for an unrelenting conviction to them, for that unforgivable instance I leveled myself to them. At that awkward realization knowing I precisely was an idiot too, that was the time when I really began to laugh.
Ana Claudia Antunes, A-Z of Happiness: Tips for Living and Breaking Through the Chain that Separates You from Getting That Dream Job|Let it shine, the light in you. Oh, and that's delighting me! Various colors shining through. Elated, it fills my soul with ecstasy.
Margaret Atwood, The Year of the Flood|According to Adam One, the Fall of Man was multidimensional. The ancestral primates fell out of the trees; then they fell from vegetarianism into meat-eating. Then they fell from instinct into reason, and thus into technology; from simple signals into complex grammar, and thus into humanity; from firelessness into fire, and thence into weaponry; and from seasonal mating into an incessant sexual twitching. Then they fell from a joyous life in the moment into the anxious contemplation of the vanished past and the distant future.
Carolina Herrera|With my schedule being so crazy, I can't call every day or hang out with my friends like I used to and that's definitely sad.
Langston Hughes, Selected Poems|So since I'm still here livin',I guess I will live on.I could've died for love--But for livin' I was born.
Ned Hayes, Sinful Folk|When we enter the world as a child, they say we are innocent. When we leave the world as an older adult, we have each experienced a mixture of life's sorrow and joys. The years bring diverse events and mindsets, clouding up our vision, so that we no longer see things as they are, but we view now with lenses of many different shapes, sizes and influential colors depending on life’s encounters. It is then, with this cleansing of your inner lens, that you figure out once again, who you are, resulting in numerous side trips, to rediscover your true self, possibly experiencing a reawakening. This sensational feeling of inner peace is unimaginable.
George Orwell|Religion is the organization of spirituality into something that became the hand maiden of conquerors. Nearly all religions were brought to people and imposed on people by conquerors, and used as the framework to control their minds.
George Bernard Shaw, Fanny's First Play|If laws were real they wouldn’t need to be enforced, because if they were real they couldn’t be broken. Try breaking the law of gravity. Now that’s a law. Laws made by man are rules reflecting the current status of his moral codes. As he alters and whittles away his morality, casting bits and pieces aside, his codes change to reflect it.
Steven Magee|Utility smart/AMR/AMI meters, cell phones and wi-fi are problem for people who do not want to get cancer, electromagnetic radiation (EMR) sickness, or Electromagnetic Hypersensitivity (EHS) in the future.
Unarine Ramaru|She had come to understand that American parenting was a juggling of anxieties, and that it came with having too much food: a sated belly gave Americans time to worry that their child might have a rare disease that they had just read about, made them think they had the right to protect their child from disappointment and want and failure. A sated belly gave Americans the luxury of praising themselves for being good parents, as if caring for one's child was the exception rather than the rule.
Anne Hébert, Kamouraska|I steal a glance when no one is looking. Especially at his neck, when he turns to say something to my mother. That slender neck, with its air of determination, brisk and bold…
Emmie White, Captive|... even in his most artificial creations, nature is the material upon which man has to work; certain spots will persist in remaining surrounded by the vassals of their own special sovereignty, and will raise their immemorial standards among all the 'laid-out' scenery of a park, just as they would have done far from any human interference, in a solitude which must everywhere return to engulf them, springing up out of the necessities of their exposed position, and superimposing itself upon the work of man's hands.
Hubert Martin|She was an echo masquerading as a shadow and she followed me just the same. The night and its moon were her favor while the sunrise and sunlight the daggers that sliced her to ribbons. She looked through half closed eyes at a blind world filled with wide eyes staring at walls. She felt pity with no care while around here steamed a burden too dense to bear. In the hours before dawn her tears slide to her jaw as a soft song escapes from between her cracked lips. A barbed song of glory and woe that hugs her tight and steals her breath, each line a quiver, every word a bind. A cage in her image meant to be broken. Destroy and recreate, scar after scar shallow and deep, her dreams were her life and the nightmares her sleep. Dark circles under eyes that truly see, time while awake moves more slowly. It trickles past her, eroding her being and pulling on her delicate seams. She unravels a little each day, tucking the threads back in every which way. In the night she is flawless and clear, the moonlight dancing in swirls, throwing half formed monograms against her wall. She traces these curves and whispers her story, an imprint in an ocean of churning shadows. Her imagination plays a scene of a teary-eyed embrace on the shores of a former dream, where droplets of her soul fell wildly below, where they and her became a part of a much larger whole. A smile rips her taunt and clenched face, the memory of the feeling of an unreal embrace. She holds herself tightly in a corner with no light and shudders with every pinprick of the downpour of night. Though muffled by the glass of her self imposed flask, she hears the birds singing their song, the natural alarm of impending light. She waits patiently for the sun, counting the half seconds and making time slow, her grey eyes less than aimless and staring at the clouds. With half closed eyes now shining a golden haloed blue, she watches the sky change colors from soft to brilliant hue. The flood of life and color takes her by surprise every day and which way. The rip cuts a little more, her restless thoughts take note and pause. She just wants to scream. To swallow the vibrant light and flood her veins with all the color ever seen, a strange desire to fix what is broken and yet wanting to break. She loses count of the seconds in the wrinkles of her palms, mere dust to wind, ashes to gale. She recites the deadly seven and stops at lust, how different from love while still the same in a twisted way. Her knees press against the worn, wooden floor with no intent to pray, she just wants the numbness and the pain. There are some things right and a few that are wrong, feeling the breath of freedom tapered against the need to belong, The sun now vomits its light across the cragged horizon, illuminating manmade lines and verdurous fuzz, her rip widens in distaste and her mind frowns in disgust. Her heart hangs limp as a shattered mirror reflecting its own cracks, each inaudible beat a glimmer of a glimpse of something more than her created deceit. This is hope. In a fragile and faceted way, the reflects are abyss and ascension portrayed intertwined with no ties holding them together. She is the half second of the transition of the beat, the moment her heart begins to flex and show more than bones and maneuverable meat. She wonders about the subtle difference between spirit and soul and whether she needs only one or both to be whole. Shaking her head as if to dislodge her thoughts, they steer from the tracks and tumble and crash, destruction and turmoil birthing creation and a new path. She thinks about the way she thinks and comes full triangle, it feels right to be so jagged rather than unburdened as a circle. With a sigh and a breath, she stands against the weight of her shoulders and the unbalance of her feet. Her half closed eyes slowly fade to grey as the light and color in the sky changes and decays. She is the moments before the sun rises and sets-1-2-3
Michelle Hodkin, The Evolution of Mara Dyer|You like them," I realized.Noah's eyebrows lifted in question."Like as people.""As opposed to...furniture?""They're my PARENTS.""That is my understanding, yes.
Tess Alley, The Divinity Bureau|When life breaks you down, you have two choices. You can either leave the pieces on the floor... or you can rebuild yourself so that you’re stronger than before.
Somi Ekhasomhi, Always Yours|There was an electric buzzing sound that was constantly on, acting as background music like a million cicadas in the forest. A constant white noise.
Paulo Coelho, The Alchemist|Faith or Worry. Pick one, because you can't have both.
Jennifer Donnelly, Revolution|Becuse God loves us, but the devil takes an interest.
John L. Monk, Kick|Luck is not fate. Believe it or not, it's largely an attitude.
Eoin Colfer|She forces me to endure this ridiculous therapy, when the so-called counselors are little better than misguided do-gooders with degrees.-Artemis Fowl
Virginia Euwer Wolff, Make Lemonade|Until you have stood in another woman’s stilettos, you will never begin to know the year of pain she felt breaking them in.
Hans Jonas|Christ's miracles were not the suspension of the natural order but the restoration of the natural order. They were a reminder of what once was prior to the fall and a preview of what will eventually be a universal reality once again--a world of peace and justice, without death, disease, or conflict.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|When we make the decisions to be and stay in love, we should also make a decision and commitment to be supportive.
Kelly Wearstler|If a course needs to be in great condition to be played effectively, then the design strategy is flawed.
Steve Martin|If you've got a dollar and you spend 29 cents on a loaf of bread, you've got 71 cents left; But if you've got seventeen grand and you spend 29 cents on a loaf of bread, you've still got seventeen grand. There's a math lesson for you.
Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|As a result of his experiments he concluded that imitation was a real evil that had to be broken before real rhetoric teaching could begin. This imitation seemed to be an external compulsion. Little children didn’t have it. It seemed to come later on, possibly as a result of school itself.That sounded right, and the more he thought about it the more right it sounded. Schools teach you to imitate. If you don’t imitate what the teacher wants you get a bad grade. Here, in college, it was more sophisticated, of course; you were supposed to imitate the teacher in such a way as to convince the teacher you were not imitating, but taking the essence of the instruction and going ahead with it on your own. That got you A’s. Originality on the other hand could get you anything – from A to F. The whole grading system cautioned against it.
Anthony Liccione|When eyes have died in its gaze, know the heart had died in its blaze.
Alanea Alder, My Savior|Defeat is in the mind, if you think you have been defeated then you have lost, but if you believe they have won just one battle in the war, then you are the one who is truly ahead. Never give up, never give in, that is the way to win the war.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|The creature was weeping, and who could blame it, as hideous and abject and lonely as it was? But its tears, Hannah perceived suddenly, didn't just spring from wretchedness. They were also tears of relief, because it was alive, because it had survived another day. How could anything be grateful for such an existence? And yet, this creature was, and when it saw itself and knew that it wanted to live in spite of everything, it wept even harder, sobbing inconsolably until it was depleted.
Sophie Kinsella, Twenties Girl|To be honest, going out with Ed after Josh is like moving on to Duchy Originals super-tasty seeded loaf after plastic white bread. (I don't mean to be rude about Josh. And I didn't realize it at the time. But it is. He is. Plastic white bread.)
Shelique Lize, Velicious|Studying the rule of law won't make a great litigator. It is the act of trying cases in real courtrooms with real plaintiffs and defendants and judges and juries, week after week and year after year that develops lawyers into top trial attorneys. ― Marian Deegan
Henna Inam, Wired for Authenticity: Seven Practices to Inspire, Adapt, & Lead|Positive energy is unleashed when leaders give themselves permission to connect and express themselves from the core of who they are. When leaders practice authenticity, creativity, engagement, confidence, and a sense of inner resourcefulness emerge.
Zac Efron|I think sometimes I guess you see records, say you want to get there and use that as motivation. In a way, it's kind of cool if there is a possibility to rewrite history and be up there with the greats of Olympic history.
Bill Hicks|No matter how much you nourish, the flower blossoms in its own time. Just like people.
Jon Stewart|Thomas Jefferson once said: 'Of course the people don't want war. But the people can be brought to the bidding of their leader. All you have to do is tell them they're being attacked and denounce the pacifists for somehow a lack of patriotism and exposing the country to danger. It works the same in any country.' I think that was Jefferson. Oh wait. That was Hermann Goering. Shoot."[Hosting the Peabody Awards for broadcasting excellence at the New York Waldorf-Astoria, June 6, 2006]
A.D. Miller|She threw one leg over his and straddled his lap, then reached under herself and found him again.He tore his mouth from hers. “Wait.”“No.” She looked him frankly in the eyes. “I don’t care if you spill at once. I need you inside me now.”His beautiful eyes widened and then narrowed. “You’ll not always hold the reins, my lady.”She smiled sweetly. “Naturally not, but I do now.
Abhijit Naskar, Neurosutra: The Abhijit Naskar Collection|Males of all species are made for wooing females, and females typically choose among their suitors.
Doris Kearns Goodwin, Wait Till Next Year|• you should improve your character, because it's belong to your destiny ♥
G.K. Chesterton, Heretics|He was nothing but a conduit, after all, and there isn't a culvert in the world that remembers the water flowed through it once the rain has stopped.
Terry Pratchett, Monstrous Regiment|And a woman by herself is missing a man, while a man by himself is his own master. Trousers. That's the secret. Trousers and a pair of socks. I never dreamed it was like this. Put on trousers and the world changes. We walk different. We act different. I see these girls and I think: Idiot's Get yourself some trousers!
Peter  Rogers, Straight A at Stanford and on to Harvard|I'm generally quite happy until someone tells me I'm not. I don't see how they know I'm not, but suddenly I feel less happy.
Lauren Oliver, Liesl & Po|People need other people to feel things for them," she said. "It gets lonely to feel things all by yourself.
Sena Jeter Naslund, Ahab's Wife, or The Star-Gazer|She sat still, I thought, and yet she traveled. And when one stitches, the mind travels, not the way men do, with ax and oxen through the wilderness, but surely our traveling counted too, as motion. And I thought of the patience of the stitches. Writing a book, I thought, which men often do, but women only rarely, has the posture of sewing. One hand leads, and the other hand helps. And books, like quilts, are made, one word at a time, one stitch at a time.
Beth Revis, The Body Electric|And this is what she wants to do to people. Let them have their own lives, until she wants them. Give them the strength of giants, but not the power to control it.
Pushpa Ranana|I am a guy," I say."And I hate boys," she says."But a guy's different," I say."Maybe a little," she says.
John Morton, Trauma, Dissociation and Multiplicity: Working on Identity and Selves|In this chapter I restrict myself to exploring the nature of the amnesia which is reported between personality states in most people who are diagnosed with DID. Note that this is not an explicit diagnostic criterion, although such amnesia features strongly in the public view of DID, particularly in the form of the fugue-like conditions depicted in ﬁlms of the condition, such as The Three Faces of Eve (1957). Typically, when one personality state, or ‘alter’, takes over from another, they have no idea what happened just before. They report having lost time, and often will have no idea where they are or how they got there. However, this is not a universal feature of DID. It happens that with certain individuals with DID, one personality state can retrieve what happened when another was in control. In other cases we have what is described as ‘co-consciousness’ where one personality state can apparently monitor what is happening when another personality state is in control and, in certain circumstances, can take over the conversation.
Thrity Umrigar, The Story Hour|I am not ascare to die. I am only ascare that after death I be alone. Maybe because of suicide, I go to the hell? If hell all hot and crowded and noiseful, like Christian minister on TV say, then I not care because it will be just like India. But if hell cold and quiet, with lot of snow and leaf-empty trees, and people who smile with string-thin lips, then I ascare. Because it seems so much like my life in Am'rica.
Barry López, About This Life|Up there in that room, as I see it, is the reading and the thinking-through, a theory of rivers, of trees moving, of falling light. Here on the river, as I lurch against a freshening of the current, is the practice of rivers. In navigating by the glow of the Milky Way, the practice of light. In steadying with a staff, the practice of wood.
Linda Morris, High Heat|No relationship comes with a guarantee, but I’d rather fail with you than succeed with anyone else.
TemitOpe Ibrahim|I should like one day, as some anonymous pedestrian revisiting the scenes of these memories, to follow on the heels of an attentive reader - here are some - and to relish his delight when, with this book in his pocket, he finds himself in the presence of one of the characters described, mentioned or referred to earlier on, who do exist, large as life, and wittingly or not perpetuate their legend. I’d like people to investigate, to verify. You need to be an extremely well-informed reader to identify all the ‘keys’ scattered throughout these pages. Many readers may find among them the key to their own front door.In any case, what you need to know is this: in certain areas of Paris, the supernatural is part of everyday life. Local people accept this and have some involvement with it.
Natasha Larry|Spiritual assets make us more resilient to the trauma and difficult experiences life inevitably throws at us.Since spiritual assets bring us closer to our Higher Power, we do not face the difficulties alone, and we may find a greater purpose and meaning within the stress & trauma. When we lean on our spiritual assets to get us through, the traumatic event becomes less destructive. Instead, it becomes transformative; we see the difficulties in a new light.
René Girard|The experience of death is going to get more and more painful, contrary to what many people believe. The forthcoming euthanasia will make it more rather than less painful because it will put the emphasis on personal decision in a way which was blissfully alien to the whole problem of dying in former times. It will make death even more subjectively intolerable, for people will feel responsible for their own deaths and morally obligated to rid their relatives of their unwanted presence. Euthanasia will further intensify all the problems its advocates think it will solve.
Pete Morin|I only accept and pay attention to feedback from people who are also in the arena. If you're occasionally getting your butt kicked as you respond, and if you're also figuring out how to stay open to feedback without getting pummeled by insults, I'm more likely to pay attention to your thought about my work. If, on the other hand, you're not helping, contributing, or wrestling with your own gremlins, I'm not at all interested in your commentary.
Doris Lessing, Under My Skin: Volume One of My Autobiography, to 1949|Women often get dropped from memory, and then history.
John Perry Barlow|Just as TurboTax simplified much of the tax process, so has the colossally scary legal process been reduced to a kinder, gentler series of mouse clicks and 'Continue' buttons by LegalZoom, the online leader that has become so prominent in its market that it's practically a generic.
Ringo Starr|I was never really sure what I wanted to do - I'm in awe of these people who knew at age 10 or 12 they wanted to be a brain surgeon, and they did it, and they still are.
Marisha Pessl, Night Film|I'm the hero of this story, I don't need to be saved
Ludwig von Mises, The Theory of Money and Credit|Paper money in time of war, the new notes will first go into the pockets of the war contractors. 'As a result, these persons' demands for certain articles will increase and so also the price and the sale of these articles, but especially in so far as they are luxury articles. Thus the position of the producers of these articles will be improved, their demand for other commodities will also increase, and thus the increase of prices and sales will go on, distributing itself over a constantly augmented number of articles, until at last it has reached them all.
Louis Zamperini|I desired to become a Christian, and prayed earnestly for the forgiveness of my sins. I felt a peace of mind resulting, and loved every one, feeling desirous that all should have their sins forgiven, and love Jesus as I did.
Matisyahu|Life will go on without you, because in the end it's not about you.
Neil Gaiman, Neverwhere|So the day became one of waiting, which was, he knew, a sin: moments were to be experienced; waiting was a sin against both the time that was still to come and the moments one was currently disregarding. (Quindi il giorno divenne un giorno d'attesa, cosa che era, lo sapeva bene, un peccato: i momenti devono essere sperimentati; aspettare è un peccato contro il tempo che deve ancora venire e contro gli istanti presenti che vengono trascurati.)
Michael A. Singer, The Untethered Soul: The Journey Beyond Yourself|To attain true inner freedom, you must be able to objectively watch your problems instead of being lost in them... Once you've made the commitment to free yourself of the scared person inside, you will notice that there is a clear decision point at which your growth takes place.
Seanan McGuire, Rosemary and Rue|I didn't even feel my face hitting the pond. Everything was darkness, glorious darkness and the final, perfect absence of pain. It was done, all of it, the running and the fighting, and the pain. After everything that I'd gone through, it was finally over, and this time, the water would carry me home.
Deepika Kumaaraguru, Ethereal: The Dawn of the Blue|She started naming the fish. 'Loppy, Troppy, Hoppy, Soppy, Boppy, Floppy, Moppy and Roppy.
Reynolds Price|It's difficult for me to meet women because my crowd is much older. I know that for some of the young women I do meet, a relationship with me can be envisioned as a benefit to their career.
P.G. Wodehouse, My Man Jeeves|Considering how much we are all given to discuss the characters of others, and discuss them often not in the strictest spirit of charity, it is singular how little we are inclined to think that others can speak ill-naturedly of us, and how angry and hurt we are when proof reaches us that they have done so. It is hardly too much to say that we all of us occasionally speak of our dearest friends in a manner in which those dearest friends would very little like to hear themselves mentioned, and that we nevertheless expect that our dearest friends shall invariably speak of us as though they were blind to all our faults, but keenly alive to every shade of our virtues.
Martin Luther|Preach [and live] as if Jesus was crucified yesterday, rose from the dead today, and is returning tomorrow.
Matthew Pearl, The Dante Club|If now we attend to ourselves on occasion of any transgression of duty, we shall find that we in fact do not will that our maxim should be universal law, for that is impossible for us; on the contrary, we will that the opposite should remain a universal law, only we assume the liberty of making an exception in our own favor or (just for this time only) in favor of our inclination. Consequently, if we considered all cases from one and the same point of view, namely, that of reason, we should find a contradiction in our own will, namely, that a certain principle should be objectively necessary as a universal law, and yet subjectively should not be universal, but admit of exceptions. As, however, we at one moment regard our action from the point of view of a will wholly conformed to reason, and then again look at the same action from the point of view of a will affected by inclination, there is not really any contradiction, but an antagonism of inclination to the precept of reason, whereby the universality of the principle is changed into mere generality, so that the practical principle of reason shall meet the maxim half way. Now, although this cannot be justified in our own impartial judgement, yet it proves that we do really recognize the validity of the categorical imperative and (with all respect for it) only allow ourselves a few exceptions which we think unimportant and forced from us.
Howard Zinn, You Can't Be Neutral on a Moving Train: A Personal History of Our Times|I am convinced that imprisonment is a way of pretending to solve the problem of crime. It does nothing for the victims of crime, but perpetuates the idea of retribution, thus maintaining the endless cycle of violence in our culture. It is a cruel and useless substitute for the elimination of those conditions--poverty, unemployment, homelessness, desperation, racism, greed--which are at the root of most punished crime. The crimes of the rich and powerful go mostly unpunished.It must surely be a tribute to the resilience of the human spirit that even a small number of those men and women in the hell of the prison system survive it and hold on to their humanity.
Haruki Murakami, Norwegian Wood|No, we weren't lovers, but in a way we had opened ourselves to each other even more deeply than lovers do. The thought caused me a good deal of grief. What a terrible thing it is to wound someone you really care for - and to do it so unconsciously.
Luke F.D. Marsden, Wondering, the Way is Made: A South American Odyssey|The places we visited were always richer and always more intricate than one could imagine. I loved to find out about the world, the good and the bad, in this way. For me, observing things with my own eyes was the only way. My wanderlust was also a wonderlust.
Anne Stuart, The Devil's Waltz|I lied. I do that, you know, when it suits me. I would have thought you'd realized that by now.
Simon Conway Morris|I think coldness is chic among writers, and particularly ironic coldness. What is absolutely not allowable is sadness. People will do anything rather than to acknowledge that they are sad.
Rupert Brooke|Be brave, young lovers, and follow your star.
Dean Devlin|I didn't want kabobs, Afghan music, and rules that required girls to be carefully monitored. I wanted mac and cheese, country music, and independence.
Malorie Blackman|I design for the movie and the character as well as the person wearing the costume. I show the ideas to the actor, then do fittings for shape and technical things such as movement in the costume. Once the costume in this form is on the actor, you have a sense of their connection with it. I then take it to the next level with the final fit.
Justin K. McFarlane Beau|When we limit ourselves by being the person we “should” be, we limit our aliveness. We may achieve success but not fulfillment because we are not living out all the important truths about ourselves, truths we need to slow down to excavate.
