Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Charles Stross|The rules of physics are, in some cases, suspiciously anthropic.
Elizabeth Gilbert, Eat, Pray, Love|Do not think, Oh, that I were delivered from all these afflictions and troubles here in this world! If you were, then you would have more ease yourself, but this is a way of honoring God, and manifesting the excellence of grace here, when you are in this conflict of temptation, which God shall not have from you in Heaven.
Lindy Zart|Remy shot to her feet, eyes blazing. Her hands were fisted at her sides. “Don’t be stupid, Creed.”“What did you say?” I asked slowly.“Don’t. Be. Stupid.”I opened my mouth, closed it. “Why do you even care?” I finally asked.Remy’s eyes shifted away from mine. She was hiding something. “You’re giving up.”“No.” I shook my head. “Giving up would be giving in to the darkness completely. I haven’t quite taken that step yet.”“What’s stopping you?”“What?”“If you don’t care and you want it to be over, what’s stopping you from letting the evil inside of you destroy you?”You.“You need to leave,” I told her.“I can’t.”A low rumble sounded deep in my chest.“Are you growling at me?”“Are you scared?”“No.”“You should be,” I stated, moving for her.
Mitch Albom, Tuesdays with Morrie|It doesn't matter what has happened to you, it matters what you do with what has happened to you. Life is like a poker game. You don't get to choose the cards you are dealt, but it's entirely up to you how to play the hand.
Joseph Hansen, Skinflick|Love. Passion. Belief. Duty. The lines blur sometomes. There are ove fifteen recognised mjor religions on this planet. One religion believes something different from another, and yet so often it's just the same thing with a different name, or a different form of worship, or a different headdress. But they will fight to protect what they believe in, no matter the cost. You've been here a while Jack. How many wars, how many lives squandered on religion. Then we get to science. Science versus creationism for instance. Two opposing stances on the same subject, neither of which has evidence to back it up
Erin Hunter, Mistystar's Omen|What does it say?" asked my lord."It says, `Good-night, God keep you all the night!'--just what she used to say when we were together. Every night she used to say that to me, and every morning she said, `God bless you all the day!' So you see I am quite safe all the time----
Sharon Salzberg, Real Love: The Art of Mindful Connection|When we do our best to treat others with kindness, it’s often a struggle to determine which actions best express our love and care for ourselves.
Deyth Banger|If you close your door to the world of books, the gates of the world of ignorance automatically opens and quickly pulls you inside!
Laura Busche, Powering Content: Building a Nonstop Content Marketing Machine|Scale yourself. Go beyond what you can do and what you know. Look at your content machine and make it work nonstop, seamlessly, and at scale with or without you.
Israelmore Ayivor|Ok, I see. When they say Charles Wovenu is passing by, everyone wants to see Charles Wovenu. But when they say to a child that "Bibi" is passing by, every child is hiding for "Bibi". What makes the difference is the impacts.
Jo Nesbo|I think it would collapse my heart if I was super famous. I don't have the nerve for it, I'm too anxious. I don't know how you're not obsessed with how people perceive you, because they're real people, you know? You can convince yourself that they don't really know you, and that's true, but how can it not hurt your feelings?
Katie J. Davis|I would like to say that I had all kinds of great ideas about what I wanted to do and how I wanted to do it. I would like to say my ministry was born out of a carefully thought-out plan. These things simply aren't true, though. I was walking through life one moment at a time, blown away by what God could do through me if I simply said yes.
Bill Cosby|Sometimes there is a microcosm and a macrocosm, and if you're dyslexic like me you can't tell the difference.
Guillaume Musso, Seras-tu là?|But the aspect of secrets is they leak out. If they didn't leak, they wouldn't be interesting.
Abraham Verghese|Above all, cancer is a spiritual practice that teaches me about faith and resilience.
ANIKOR Daniel|Be a solution provider to challenges or issues; the more you proffer solution, the more your circle of influence grows and the more your circle of influence grows, the more wealth you will command.
Victoria Moran|So many people say that obviously my game has changed since I arrived here and I say that it's good that it changed, otherwise it would show a lack of intelligence.
Erwin W. Lutzer, When You've Been Wronged: Moving From Bitterness to Forgiveness|Keep in mind that when sin is viewed superficially, it is dealt with superficially.
Jack Ma|As long as I have health and strength, I will gladly work all my days.
Alan Greenspan|It may sound too good to be true, but once you've seen the happiest people in your life who have nothing, you really start rethinking what the world, and society, tells us that we need to be happy.
Timothy Joshua|Hold on, and dont put us on hold
Tammy Duckworth|I don't know Hollywood very well. I've never lived in Los Angeles or New York. But what I can see in Paris, where I live, is that actresses like Catherine Deneuve, Isabelle Huppert, Charlotte Rampling, still get the chance to play strong, sexy roles even though they're not 20.
Sinclair Ross, As for Me and My House|It’s an immense night out there, wheeling and windy. The lights on the street and in the houses against the black wetness, little unilluminating glints that might be painted on it. The town seems huddled together, cowering on a high tiny perch, afraid to move lest it topple into the wind.
Alice Hoffman, The Dovekeepers|But in battle you cannot tell another when it is his time to enter the World-to-Come, nor is it possible to keep any man in this world when he wishes to leave it behind.
Bertrand Russell|The life of Man is a long march through the night, surrounded by invisible foes, tortured by weariness and pain, towards a goal that few can hope to reach, and where none may tarry long. One by one, as they march, our comrades vanish form our sight, seized by the silent orders of omnipotent Death. Very brief is the time in which we can help them, in which their happiness or misery is decided. Be it ours to shed sunshine on their path, to lighten their sorrows by the balm of sympathy, to give them the pure joy of a never-tiring affection, to strengthen failing courage, to instill faith in times of despair.
Jinat Rehana Begum, First Fires|I will always continue to love the way how the fire inside you burnt everyone around it, But took me in its arms and kept me warm.
David Arnold, Mosquitoland|People say home is where the heart is, but I think maybe home is the heart
John Green|He shook his head, just looking at me. - "What?" I asked.- "Nothing" he said.- "Why are you looking at me like that?"Augustus half smiled. "Because you`re beautiful. I enjoy looking at beautiful people, and I decided a while ago not to deny myself the simpler pleasures of existence." A brief awkward silence ensued. Augustus plowed through: "I mean, particularly given that, as you so deliciously pointed out, all of this will end in oblivion and everything."I kind of scoffed or sighed or exhaled in a way that was vaguely coughy and then said, "I`m not beau-"- "You are like a millennial Natalie Portman. Like V for Vendetta Natalie Portman."- "Never seen it."- "Really?" he asked. "Pixie-haired gorgeous girl dislikes authority and can`t help but fall for a boy she knows is trouble. It`s your autobiography, so far as I can tell."His every syllable flirted. Honestly, he kind of turned me on. I didn`t even know that guys could turn me on - not, like, in real life.
Kaiylah Muhammad, Out of the Cage|True change doesn't happen overnight; it has to happen gradually. You first have to have a change of heart, then a change of mind, and then your actions will follow.
Mindy Kaling, Why Not Me?|One of the unexpected and wonderfully fair things I have learned in my career is that if Hollywood were filled just with perfect-looking people, then soap operas would be the most-watched things in the world. But they're not. Looks are great, but they're not compelling enough. I've noticed that successful actors with long careers are usually talented actors with charismatic screen presences, and all of them exude one thing: confidence.
Ruth Ware, The Woman in Cabin 10|Was this what it was going to be like? Was I turning into someone who had panic attacks about walking home from the tube or staying the night alone in the house without their boyfriend? No, fuck that. I would not be that person.
Stewart Stafford|Every creative act, however small, enriches our species and the world around us. To find and nurture talent, is to be truly wealthy.
David Amerland, The Tribe That Discovered Trust: How Trust Is Created Lost and Regained in Commercial Interactions|Familiarity with the brand requires some experience of it (via advertising, word of mouth, internet publicity), Confidence comes with the perception of competence in the brand itself (which is why new brands really need to work hard for people to experience them first) and Trustworthiness refers to the sense of whether the brand is going to live up to its promise of reliability for the price paid.
Tamara Hughes, His Pirate Seductress|Be thankful all she did was raise her voice," Mr. Blackpool told Sarah conspiratorially. "During the ride to London, I had to talk her out of scaling up the townhouse walls, should the door go unanswered."	She had to hide her smile at the image of flamboyant Mrs. Blackpool climbing row houses like a circus monkey. "We are fortunate indeed that such measures did not prove necessary.
Alexandra Bracken, Never Fade|Also, screw you—maybe you can be all stealthy and break into their building to get the woman out, but I can getus there and back safely. I did this for months and never got a second glance from anyone, including PSFs.”“Probably because your ugly-ass face blinded them on the first look,” she muttered.
Mikita Brottman|Should he give free reign to his desires, the bibliomaniac can ruin his life along with the lives of his loved ones. He'll often take better care of his books than of his own health; he'll spend more on fiction than he does on food; he'll be more interested in his library than in his relationships, and, since few people are prepared to live in a place where every available surface is covered with piles of books, he'll often find himself alone, perhaps in the company of a neglected and malnourished cat. When he dies, all but forgotten, his body might fester for days before a curious neighbor grows concerned about the smell.
Karen Essex, Stealing Athena|Men could not have too much. Ecstasy and vulnerability belonged in the same dish. The fear the cup would be snatched away was what gave the wine its savor and as Zhirem’s cup was sure, so was his joylessness… to die is a fear, but to live is a fear, also.
Kiera Cass, The Selection|You're in America now," I said. "Our idea of diplomacy is showing up with a gun in one hand and a sandwich in the other and asking which you'd prefer.
Neil Gaiman, Stardust|Happiness consists in getting enough sleep. Just that, nothing more. All the wealthy, unhappy people you're ever met take sleeping pills; Mobile Infantrymen don't need them. Give a cap trooper a bunk and time to sack out in it and he's as happy as a worm in an apple - asleep.
C.B. Cook, Paralyzed Dreams|Any boy who'd love a sailboat-patterned, swimsuited sausage who tames rabid foxes would be wonderful. And impossible.
Robert Burton|I think you can be depressed and flourish, I think you can have cancer and flourish, I think you can be divorced and flourish. When we believed that happiness was only smiling and good mood, that wasn't very good for people like me, people in the lower half of positive affectivity.
Beta Metani' Marashi|Live and enjoy your life today, might not be tomorrow
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Without dreams, the future will remain mediocre. Stay inspired though your dreams.
Janell Rhiannon, Rise of Princes|The gods grant nothing more than life,So let us reject whatever lifts us To unbreathable heights, Eternal but flowerless.
Philip A. Fisher|Every nation can harness the energy of its citizens, either towards constructive work to generate optimism and hope, or towards tensions, unrest and war.
Adrienne Mayor|The nomads' egalitarian lifestyle astonished the Greeks, who kept their own women indoors weaving and minding children. The exotic Scythian lifestyle fueled the Greek imagination and led to an outpouring of myths about fierce Amazons, 'the equals of men.'
Francis of Assisi|You can never let anything distract you from your main objective. My only goal is to be great. That's all I want. That's all I ever aspire to be. Greatness is something nobody can ever take away from you, no matter what happens. So I put all my energy and focus into my craft.
Radhe Maa|The closer we are to God, the richer we are
Jackson Pearce|Books didn’t make me wallow in darkness, darkness made me wallow in books.
Jonathan Carroll, The Marriage of Sticks|One of the reasons why I liked living in Manhattan was that the city would share your mood the moment you walked out the door. If you were in a hurry, everything else was too, even the pigeons. You shared the same speed and sense of urgency to get wherever you were going.When you had time to kill, it was happy to give you things to look at and do that easily took up whole days. I didn't agree with people who said Manhattan was a cold, indifferent town. Sure it was gruff, but it was also playful and sometimes very funny.
Neal A. Maxwell|Be careful, fathers, when you inordinately desire things to be better for your children than they were for you. Do not, however unintentionally, make things worse by removing the requirement for reasonable work as part of their experience, thereby insulating your children from the very things that helped make you what you are.
Jonathan Kozol|I do not know very much about painting, but I know enough to know that the Art Teacher did not know much about it either and that, furthermore, she did not know or care anything at all about the way in which you can destroy a human being. Stephen, in many ways already dying, died a second and third and fourth and final death before her anger.
Pierre Louÿs, The Songs of Bilitis|I am but a firefly caught in his jar and when he looks at me, I can’t help but glow.
Victoria Kahler, Luisa Across the Bay|Politics is applied anywhere, even in heaven.
Felicity Brandon, Destination Anywhere|You love the lifestyle you live, and instead of licking your wounds and moving on, you’d rather fix your broken marriage. And I’m here to help you.” “But how?” A slow, sardonic smile unfurls across my face. “I’m going to teach you how to fuck your husband
Anna  Silver, Otherborn|A lady never shows her anger, she channels it to further her ends.
Alan Loy McGinnis, Balanced Life|Douglas, you have an incredible capacity for missing the point. Will you listen to me, just for once? The debate does not matter. It's not about the issues. Albie might have been naive or ridiculous or pompous or all of those things, but you apologized. You said you were embarassed by him. You took the side of a bunch of arms-dealers! Bloddy bastard arms-dealers against your son - our son - and that was wrong, it was the wrong thing to do, because in a fight you side with the people you love. That's just how it is.
Barun Singhania|I will follow my visions and dreams, no matter what...
Kilroy J. Oldster, Dead Toad Scrolls|Grace represents the sublime glamour of human souls, the ability of physically courageous and emotionally brave people to give part of them in order to protect other people regardless of adverse consequence that they might personally endure.
Amy Efaw, After|Devon had been so lonely, so terribly lonely, for so long. The kind of lonely that sears, that burrows its way deep inside a heart and throbs. Like a gnawing hunger.
Michael   Lewis, The Undoing Project: A Friendship That Changed Our Minds|...peel an orange. Do it lovingly--it perfect quarters like little boats...Nothing is more likely to become garbage than orange rind; but for as long as anyone looks at it in delight, it stands a million triumphant miles from the trash heap. That, you know, is why the world exists at all. it remains outside the cosmic garbage can of nothingness, not because it is such a solemn necessity that nobody can get rid of it, but because it is the orange peel hung on God's chandelier, the wishbone in His kitchen closet. He likes it; therefore, it stays. The whole marvelous collection of stones, skins, feathers, and string exists because at least one lover has never quite taken His eye off it, because the Dominus vivificans has His delight with the sons of men.
Tite Kubo|Wizards don’t believe in gods. They didn’t deny their existence, of course. They just didn’t believe. It was nothing personal; they weren’t actually rude about it. Gods were a visible part of narrativium that made things work, that gave the world its purpose. It was just that they were best avoided close up.
Anonymous|the human body is a miniature version of the universe - the eyes and ears are the sun and moon, breath is air, blood is rain.
Ambrose Bierce, Ghost Stories|His act was rather that of a harmless lunatic than an enemy. We were not so new to the country as not to know that the solitary life of many a plainsman had a tendency to develop eccentricities of conduct and character not always easily distinguishable from mental aberration. A man is like a tree: in a forest of his fellows he will grow as straight as his generic and individual nature permits; alone, in the open, he yields to the deforming stresses and tortions that environ him.
Sanober  Khan, Turquoise Silence|This winter, there will be no voices, no glimpses, no arms.only the fabric of poetry, to keep me warm.
Atalina Wright, Unbound|Give me meaning, give me soul. Give my rapture, wild, a heart that is raw. Give me a mind that thinks for itself and imagines freely.
Sarah Dessen, Just Listen|I'd still thought that everything I thought about that night-the shame, the fear-would fade in time. But that hadn't happened. Instead, the things that I remembered, these little details, seemed to grow stronger, to the point where I could feel their weight in my chest. Nothing, however stuck with me more than the memory of stepping into that dark room and what I found there, and how the light then took that nightmare and made it real.
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|Cabel felt the familiar nostalgic excitement of the endless possibilities encapsulated in a summers' night at Silver Beach. He smiled at himself as a boy and, more ruefully, at the man who now stood on the worn planks of the boardwalk. This night held no possibilities for him, though it was pleasant to remember a time when it did.
Claudia Gray, Stargazer|Eventually, I manage to cheer Mum up by allowing her to go through my wardrobe and criticize all my clothes...
Julie James, Love Irresistibly|He did not want to fail, when the Bee Master had trusted him with the home and the possessions and the occupation that were all he had of his very own, and he did not know that as the storm drew nearer, as the clouds grew blacker, as the heat waves resolved themselves into definite flashes of lightning, as the night closed down black as velvet around him, he did not realize that his moral and mental forces were rising with the tide of the storm, that all the remnants of manhood left in his shaken body were gathering together for some sort of culmination, just as presently the storm would reach its height and then subside.
Eleesha, The Soulful Pathway to Healing After Loss: Soulfully Inspiring You Whilst Mourning Loss and Working Through Grief|Many have argued with me that ambition is not the problem. Women are not less ambitious than men, they insist, but more enlightened with different and more meaningful goals. I do not dismiss or dispute this argument. There is far more to life than climbing a career ladder, including raising children, seeking personal fulfillment, contributing to society, and improving the lives of others. And there are many people who are deeply committed to their jobs but do not - and should not have to - aspire to run their organizations. Leadership roles are not the only way to have profound impact.
Richelle E. Goodrich|A truly humble apology works to part storm clouds, calm rough seas, and bring on the soft lights of dawn; it has the power to change a person's world.
Gail Carson Levine, Ella Enchanted|I had been able to break the curse myself. I'd had to have reason enough, love enough to do it, to find the will and the strength.
Alex Dimitrov|I’m interested in connecting with readers and strangers through poetry. I want to create real intimacy with my poems. Whether I do that through pulling from my personal life or using my fantasy life—or say history, whether that history is personal history or our collective histories—what’s important is that an experience is created. An experience that will hopefully matter to people and feel real. I want my poems to move people and make them want to live their lives, however complicated and impossible those lives may be. I think a poem can speak to the life you currently live but also to the lives you’ve lived before, the ones to come and also those you’ve yet to imagine. What else can do that? Not sex or money or other people.
D.H. Starr, Wrestling with Desire|All mankind is from Adam and Eve, an Arab has no superiority over a non-Arab nor a non-Arab has any superiority over an Arab; also a white has no superiority over black nor a black has any superiority over white except by piety and good action. Learn that every Muslim is a brother to every Muslim and that the Muslims constitute one brotherhood. Nothing shall be legitimate to a Muslim which belongs to a fellow Muslim unless it was given freely and willingly. Do not, therefore, do injustice to yourselves.
Jennifer Crusie, Bet Me|I'll never forget my first time with you' Min said as she edged the doughnut off her finger. 'The earth moved, and then my mother asked my father who he was going down on at lunch.
Tobeimean Peter|War was the ultimate chaos, a pounding, soul-destroying snarl, ending in blown-apart men lying unburied on the cold earth. There was nothing more cosmically chaotic than war.
Robin Jarvis|If you wanna be a writer, you must learn to paint a picture with words.
Zaeema J. Hussain, The Sky Is Purple|When they (the men, the scavengers)come for you, do not give yourselfto them so easily.Wear your strength like armour,fight like a beast.Do not let them tell you thatyou belong to them.Be fearless.Be a lion.Be like lava.Rip them apart,and burn their bones.And when you are done,tell the world that you belong to no man.That you are a lady,a warrior,a tsunami, and you belong only to yourself.
Albert Camus|Courts of law, and all the paraphernalia and folly of law cannot be found in a rational state of society.
Dominic Riccitello|You were like fine wine, but cheap wine gets you drunk faster.
Winton Porter, Just Passin' Thru: A Vintage Store, the Appalachian Trail, and a Cast of Unforgettable Characters|That's what coming face-to-face with six months in the woods will do to you: as soon as you realize you have the chance to be a different person, you become one. You can forget who you are. This is no accident when you've spent miles wondering, with every labored step, Who is this person who has decided to try this?--wondering who you are. You have nothing but time to answer the question, to give a new account of yourself. Your only witness might be a blanket of cool moss on a sunny day, or a panorama of endless mountains, or a young doe gazing by the Trail. You've yet to discover that the journey is the destination. So you lose yourself, then you find yourself again, farther along.
John Owen|We can be amazed at man not only because he is a person, not only because he's made in the image of God, but also because, by the Incarnation, human nature itself has been raised to a divine dignity.
Rohit Shetty|Advances in technology will continue to reach far into every sector of our economy. Future job and economic growth in industry, defense, transportation, agriculture, health care, and life sciences is directly related to scientific advancement.
Sherrilyn Kenyon, Styxx|Stains were a patchwork of mistakes you couldn't get rid of. They showed the world your real self, even the parts you didn't want it to see.
Emmanuel Lewis|No, my family is Russian, Georgian, via Ellis Island.
Robert Jensen, Getting Off: Pornography and the End of Masculinity|Those four effects described above—shaping a male-dominant view of sexuality, initiating victims, contributing to difficulty in separating sexual fantasy and reality, and providing a training manual for abusers—are at work just as much with men who have not engaged in activities that meet the legal definition of rape. Here we have to let go of a comforting illusion—that there is some clear line between men who rape and men who don't, between the bad guys and the good guys.
Debasish Mridha|True progress happens slowly, unnoticeable, like a flower blooms slowly and silently.
Tristan Sherwin, Love: Expressed|What if the thing that God wants us to receive most in our conversations with Him is not some alternate reality, but an assurance of a divine presence within, and a divine perspective on, our current reality – a presence and perspective that will ultimately change our response to our circumstances and lead us to be responsible within those circumstances? So prayer doesn’t just become some ‘spiritual exercise’ in order to exert our authority over the external world, it becomes a spiritually-physical relationship with a greater authority that brings transformation internally, leading to responsibility externally.
Catherynne M. Valente, The Girl Who Soared Over Fairyland and Cut the Moon in Two|It’s that I no longer know where I am. I seem to move around perfectly easily among people, to have perfectly normal relations with them. Is it possible, I ask myself, that all of them are participants in a crime of stupefying proportions? Am I fantasizing it all? I must be mad! Yet every day I see the evidences. The very people I suspect produce the evidence, exhibit it, offer it to me. Corpses. Fragments of corpses that they have bought for money.It is as if I were to visit friends, and to make some polite remark about the lamp in their living room, and they were to say, “Yes, it’s nice, isn’t it? Polish-Jewish skin it’s made of, we find that’s best, the skins of young Polish-Jewish virgins.” And then I go to the bathroom and the soap wrapper says, “Treblinka – 100% human stereate.” Am I dreaming, I say to myself? What kind of house is
Jack Newfield|I do what I can,' I said. 'When I can do more, I will. You know that.
Matt Mullenweg|My wife, my daughters, even my grandchildren are funny. You've got to keep a sense of humor because anger destroys you.
Debasish Mridha|If you love someone ever,you can't forget her never. If you love someone ever,you can't hurt her never.If you truly love someone ever,she can't leave you never. She resides in your heart forever.You can't erase her from heart never.
Betty  Smith, A Tree Grows in Brooklyn|They were all slender, frail creatures with wondering eyes and soft fluttery voices. But they were all made out of thin invisible steel.
Thomas Vilsack|If we can get people to focus on fruits and vegetables and more healthy foods, we'll be better in terms of our healthcare situation.
Ian McEwan, The Child in Time|When you're a parent you find yourself looking at the unknown that is your child, trying to find a piece of yourself inside her, because sometimes that is what it takes to claim.
Ayn Rand, The Fountainhead|And she thought, with a vicious thrill, of what these people would do if they read her mind in this moment; if they knew that she was thinking of a man in a quarry, thinking of his body with a sharp intimacy as one does not think of another’s body but only of one’s own. She smiled; the cold purity of her face prevented them from seeing the nature of that smile.
Drew Gilpin Faust|I was brought up in a family of leaders, and I think leadership is a life sentence. I like changing things that will shape the future.
Professor Quy Huy INSEAD|Our relations seemed poor to me, and I wasn't surprised that the US intelligence picture in the Horn of Africa was weak. Much of what I read consisted of recycled news headlines repackaged as intelligence. Real, valuable intelligence only came from real people, yet we hadn't done much to meet and work with the people.
Kasi Blake, Vampires Rule|He gives me the hairy eyeball, and asks me to help him find his pancreas.
Sheri L. Dew|Seventy years after China emerged from the Second World War, the greatest threat facing the nation's leadership is not imperialism but skepticism.
Laura Pritchett, Sky Bridge|I'll figure out how to be truer: to let people go if they need to be let go of, and to hold on tight if that's what's called for. I will pay attention, so I can cross each human heart that comes across my path, cross it as true as I can.
Nagendra Kumar Y|Then Treece realized a remarkable thing. He understood in a flash that everyone in the world was the same age -no one younger or older than anyone else. He could not understand it, but he knew it to be true. Was there something in the air of the world that made people appear to be old or middle-aged or young?
Charles M. Schulz|Sometimes I lie awake at night, and I ask, 'Where have I gone wrong'.Then a voice says to me, 'This is going to take more than one night.
Konrad Adenauer|Intuition enlightens and so links up with pure thought. They together become an intelligence which is not simply of the brain, which does not calculate, but feels and thinks.
Beth Revis, A Million Suns|I gaze out, to the stars. I remember the first time I saw real stars, through the hatch window. They were beautiful then, but now, seeing them here, all around me, beautiful feels like an inadequate word. I see the stars as a part of the universe, and having spent my life behind walls, suddenly having none fills me with both awe and terror. Emotion courses through my veins, choking me. I feel so insignificant, a tiny speck surrounded by a million stars.A million suns.Centuries away is Sol. Circling around it is Sol-Earth, the planet Amy came from. And one of these other stars is the Centauri binary system, where the new planet spins, waiting for us.And here we are, in the middle, surrounded by a sea of stars.Any of them could hold a planet. Any of them could hold a home.But all of them are out of reach.
Albert Camus, A Happy Death|For him, too, starting over, departures, a new life had a certain luster, but he knew that only the impotent and the lazy attach happiness to such things. Happiness implied a choice, and within that choice a concerted will, a lucid desire. He could hear Zagreus: "Not the will to renounce, but the will to happiness.
Franny Billingsley, Chime|That is one of the reasons why a man should pick a path with heart, so that he can find his laughter.
Taya Kyle|I don't think you should try to be anything you're not. If you're not smiling all the time or always happy - I don't think it matters. If you're having bad day, show you're having a bad day. Don't try to put up something that's fake.
Dave Eggers, You Shall Know Our Velocity!|Christianity got over the difficulty of combining furious opposites, by keeping them both, and keeping them both furious.
Fyodor Dostoyevsky|It is always so, when we are unhappy we feel more strongly the unhappiness of others; our feeling is not shattered, but becomes concentrated...
Vera Nazarian, The Perpetual Calendar of Inspiration|Meditation is a mysterious method of self-restoration.It involves “shutting” out the outside world, and by that means sensing the universal “presence” which is, incidentally, absolute perfect peace.It is basically an existential “time-out”—a way to “come up for a breath of air” out of the noisy clutter of the world.But don’t be afraid, there is nothing arcane or supernatural or creepy about the notion of taking a time-out. Ball players do it. Kids do it, when prompted by their parents. Heck, even your computer does it (and sometimes not when you want it to).So, why not you?A meditation can be as simple as taking a series of easy breaths, and slowly, gently counting to ten in your mind.
Michael Davidow, The Rocketdyne Commission|They were free to be what they wanted to be, and what they wanted to be was nothing.
W.B. Yeats|I said: 'A line will take us hours maybe;Yet if it does not seem a moment's thought,Our stitching and unstitching has been naught.
Alexandre Grothendieck, Récoltes et semailles: Réflexions et témoignage sur un passé de mathématicien.|And every science, when we understand it not as an instrument of power and domination but as an adventure in knowledge pursued by our species across the ages, is nothing but this harmony, more or less vast, more or less rich from one epoch to another, which unfurls over the course of generations and centuries, by the delicate counterpoint of all the themes appearing in turn, as if summoned from the void.
Olawale Daniel|Failing may not necessarily mean you're losing out - it may be your defining moment. So, dare to fail forward!
Sunday Adelaja|If you want to be prosperous, then you will have to become a seeker
Leonid Borodin, Partings|I was utterly convinced that an intellectual could never be anything but an intellectual, was simply not capable of being anything else, that his intellectuality would, sooner or later, erode his faith or erode whatever he'd masked it with . . . For example, intellectuals like to dress themselves up as peasants . . . but it never works. The intellectual's constitution is impervious to such things - it permits only one object of worship - oneself. Generally speaking, an intellectual in the contemporary version is an exceptionally resourceful and, essentially, pitiful being.
Brandi Salazar, A Warrior's Betrayal|Sitting down on the stairs, Cheyenne watched Behr through the slats in the railing. She liked what she saw. Covered in a fine sheen of perspiration, muscles swollen from what was clearly a grueling workout, Behr’s toned physique was a serious distraction from her worries, making her content to just sit and watch. Each thump of his fist into the bag resonated in her bones. Each kick of his leg thundered in her ears. Every move seemed to be in time with the harsh sounds of the music pumping through the room, until he was a frenzy of movement. It was frighteningly beautiful. Standing, Cheyenne called out to him. “Behr? Are you hungry?” She was feeling a little peckish herself, and she needed something to keep her hands busy. Between a combination of brutal punches, knee jabs and the music, Behr didn’t hear a word she said. So she decided to go to him. Winding her way through equipment and stepping over the discarded sweaty T-shirt, Cheyenne approached him. Waiting for the right moment to interrupt, she tapped him on the shoulder during a brief pause. Big mistake. Huge.
Teri Anne Stanley, Drunk on You|She’d vowed to be braver and take more risks, but this seemed out of her league. Because sometimes what you wanted the most was the one thing you were most afraid to get.
Israelmore Ayivor, The Great Hand Book of Quotes|Attitude. That is your tendency to evaluate things based on your perception. If you think you can't, that is a negative attitude parcel and opening it will reveal what you believe
P.C. Cast, Untamed|I'm bad, and that's good. I will never be good, and that's not bad. There's no one I'd rather be than me.
Glennon Doyle Melton, Love Warrior|In all my close friendships, words are the bricks I use to build bridges. To know someone I need to hear her, and to feel known, I need to be heard by her. The process of knowing and loving another person happens for me through conversation. I reveal something to help my friend understand me, she responds in a way that assures me she values my revelation, and then she adds something to help me understand her. This back-and-forth is repeated again and again as we go deeper into each other's hearts, minds, pasts, and dreams. Eventually, a friendship is built - a solid, sheltering structure that exists in the space between us - a space outside of ourselves that we can climb deep into. There is her, there is me, and then there is our friendship - this bridge we've built together.
Jane Austen, Emma|Then maybe it's not a question of how different we are. Maybe I've been in a hurry my whole life to experience all the things I've done and seen for a reason.""What reason?"His head turned toward hers. "To share them with you.
J.D. Salinger|Hole..." He grips Risa's hand tighter. "Hole, Risa, hole..." And she smiles "Yes, Connor," she says. "You're whole. You're finally whole.
Eraldo Banovac|You know, it is a little known fact that thinking is entirely overrated. The world would be a much better place if we all did a lot less of it.
Alexandra Kleeman, You Too Can Have a Body Like Mine|And all of the late, late-night talks, when you're not stoned, but you're so tired you might as well be, when you just sit there glowing with warmth, and all of those things that you really hope for come out, and you connect with each other on such deep levels that, when you think about it the next day, you wonder if it was real - if the others felt it too.
Arthur Miller, A View from the Bridge: A Play in Two Acts|Now, as the weeks passed, there was a future, there was a trouble that would not go away.
Riccardo Muti|Wisdom prepares for the worst, but folly leaves the worst for the day when it comes.
Christopher McDougall, Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen|Perhaps all our troubles - all the violence, obesity, illness, depression, and greed we can't overcome - began when we stopped living as Running People. Deny your nature, and it will erupt in some other, uglier way.
Tom Walsh|We lose our ability to live fully if we neglect or ignore our responsibility to the other people who share this planet with us. We simply cannot reach our full potential without the insights and observations that other people--our teachers--have to give us. We cannot feel whole until we are helping other people to reach for their potential and to grow as strong as they can grow. We do need down time, and we do need time to ourselves, but we very much need to acknowledge our ties to our fellow human beings and act as if those people meant more to us than our jobs or pets or cars do. They are much more important than anything material that we ever can get our hands on or strive for.
Abhijit Naskar, The Film Testament|A movie is not a movie, it is a potential nuclear furnace of inspiration, courage and conscience.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|You set the standard for how people will treat and regard you, by how you treat and regard yourself.
Nicole Peeler|The dark is generous, and it is patient, and it always wins. It always wins because it is everywhere. It is in the wood that burns in your hearth, and in the kettle on the fire; it is under your chair and under your table and under the sheets on your bed. Walk in the midday sun, and the dark is with you, attached to the soles of your feet. The brightest light casts the darkest shadow.
Eve Arnold|Really in technology, it's about the people, getting the best people, retaining them, nurturing a creative environment and helping to find a way to innovate.
