Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
Victoria H. Smith, The Crimson Hunt|That's when I caught my first glimpse of Blaine Crabtree. He was sandwiched in between two guys that were laughing at who knows what. At first I didn't notice anything but a big mop of bleached blonde hair, then he looked up from his pack of cloves and I was locked into the bluest eyes that I had ever seen. His expression didn't change, he didn't smile and didn't blink. It seemed like I was lost in his eyes, like he was using them to do the most calculated math problem, and that math problem was me.
Thomas Ades, Thomas Adès: Full of Noises: Conversations with Tom Service|Plenty of masterpieces are just one cliché after another, Mozart for example, but that's quite natural, because if you think about it, two clichés that have met one another can beget the most original and profound effect.
M.A. George, Relativity|You get a kick out of shocking the pants off me, don’t you?” I shook my head with a smirk.He just shrugged with a playful smile, his eyes momentarily flitting toward my pants before returning to meet my gaze.“It’s an expression,” I rolled my eyes. “Don’t tell me you aren’t familiar with it, Mr. Smarty Pants.”“You have quite a repertoire of ‘pants’ references, don’t you?
Raheel Farooq|Religion has clearly performed great services for human civilization. It has contributed much towards the taming of the asocial instincts. But not enough. It has ruled human society for many thousands of years and has had time to show what it can achieve. If it had succeeded in making the majority of mankind happy, in comforting them, in reconciling them to life and in making them into vehicles of civilization, no one would dream of attempting to alter the existing conditions. But what do we see instead? We see that an appallingly large number of people are dissatisfied with civilization and unhappy in it, and feel it as a yoke which must be shaken off; and that these people either do everything in their power to change that civilization, or else go so far in their hostility to it that they will have nothing to do with civilization or with a restriction of instinct. At this point it will be objected against us that this state of affairs is due to the very fact that religion has lost a part of its influence over human masses precisely because of the deplorable effect of the advances of science. We will note this admission and the reason given for it, and we shall make use of it later for our own purposes; but the objection itself has no force.It is doubtful whether men were in general happier at a time when religious doctrines held unrestricted sway; more moral they certainly were not. They have always known how to externalize the precepts of religion and thus to nullify their intentions. The priests, whose duty it was to ensure obedience to religion, met them half-way in this. God's kindness must lay a restraining hand on His justice. One sinned, and then one made a sacrifice or did penance and then one was free to sin once more. Russian introspectiveness has reached the pitch of concluding that sin is indispensable for the enjoyment of all the blessings of divine grace, so that, at bottom, sin is pleasing to God. It is no secret that the priests could only keep the masses submissive to religion by making such large concessions as these to the instinctual nature of man. Thus it was agreed: God alone is strong and good, man is weak and sinful. In every age immorality has found no less support in religion than morality has. If the achievements of religion in respect to man’s happiness, susceptibility to culture and moral control are no better than this, the question cannot but arise whether we are not overrating its necessity for mankind, and whether we do wisely in basing our cultural demands upon it.
Christine E. Schulze, The Hero of 1000 Years|Suddenly, something fluttered down from the nest to rest at Chasmira's feet. She picked it up- A phoenix father.It glistened in the sunlight, and tracing her fingers along its edges, she marveled at its soft and delicate touch.Extending it to Aaron, she said quietly, "They say a phoenix feather is a symbol of everlasting friendship.
Robert Wringham, Escape Everything!: Escape From Work. Escape From Consumerism. Escape From Despair.|Reading is important. It’s not primarily escapism (though it can be, and there’s nothing wrong with some of that in good measure) and it’s not primarily a way of passing the time. Reading is important to the good life because it stokes the furnaces of our intellect, allows us to expand our understanding of the universe, both inner and outer, for practical gain and simple pleasure. It can induce awe, inspire respect, excite, piss off, and intrigue. These are things that make life worth living.
Deeba Salim Irfan|You make the world come alive. You make the world colorful. You are the inspiration behind all that happens. You are the pillar of strength to many around you, the centrifugal force of your own little world, called family. I love being a women and celebrate being one everyday, hope you all do too!! And to all those who battle their various circumstances, the hurdles, the sacrifices and the compromises they make, wish them all inner strength! Happy Women's Day!
Penelope Fitzgerald|But time given to wishing for what can't be is not only spent, but wasted, and for all that we waste we shall be accountable.
Janet Fitch, White Oleander|The desert at night was black and a strange madder-tinted silver; the sky was black, and the great contorted cliffs, and the vast expanses of sand that stretched out in all directions. But the red moon cast a pale crimson-tinged luminescence over everything, and far above the stars were glittering points of silver.
Cornell Woolrich, The Fantastic Stories of Cornell Woolrich|Conscience, Christ, and the gift of faith make evil men uneasy in their sin. They feel that if they could drive Christ from the earth, they would be free from "moral inhibitions." They forget that it is their own nature and conscience which makes them feel that way. Being unable to drive God from the heavens, they would drive his ambassadors from the earth. In a lesser sphere, that is why many men sneer at virtue--because it makes vice uncomfortable.
Charlotte Perkins Gilman, The Yellow Wall-Paper|I am glad my case is not serious! But these nervous troubles are dreadfully depressing. John does not know how much I really suffer. He knows there is no reason to suffer, and that satisfies him.
Joel Edgerton|If someone lies, well, you had a choice to trust that person or not. I think the way my father raised me, well, he trusted everybody. And that worked for him.
Geraldine Brooks, People of the Book|You know that your church has always taken a view on these matters very different from ours, from the day that the first printing press was assembled. Your church did not want your holy scriptures in the hands of ordinary people. We felt differently. To us, printing was an avokat ha kodesh, a holy work. Some rabbis even likened the press to an altar. We call it 'writing with many pens' and saw it as furthering the spread of the word that began with Moses on Mount Sinai. So, my good father, you go and write the order to burn that book, as your church requires of you. And I will say nothing to the printing house, as my conscience requires of me. Censura praevia or censura repressiva, the effect is the same. Either way, a book is destroyed. Better you do it than have us so intellectually enslaved that we do it for you.
Judith Martin|You must pay the penalty of growing-up, Paul. You must leave fairyland behind you.
Lauren Slater, The $60,000 Dog: My Life with Animals|I didn't know then that the mind, like the earth, has several layers: a crust, a mantle, a boiling core.
Chris Matakas|One of the reasons I decided to enter this profession," one of the Riot Librarrrians wrote, "was because I'm in love with information, and the library remains one of the few spaces in our lives where information is not a commodity.... There's a subversive element to librarianship that I adore.
Willa Strayhorn, The Way We Bared Our Souls|We think we should have to work in order to feel. We want to have our cake resist us; and then we want to eat it, too.
Tom Perrotta, Little Children|To be alive was to be disappointed. You tried and failed and kept on trying, never knowing whether you'd ever get what you wanted. But sometimes we get what we need.
Beth Ditto|I am lucky to have had an attentive, curious and loving dad and heart-smart, down-to-earth, gifted mother. They changed the outlooks of their own lives and have never forgotten the people and organizations that helped them dream bigger than their circumstances should have allowed.
Stephen King, The Running Man|Valuables. That was a hot one, Richards thought, unbuttoning his shirt. He had an empty wallet with a few pictures of Sheila and Cathy, a receipt for a shoe sole he had replaced at the local cobbler's six months ago, a keyring with no keys on it except for the doorkey, a baby sock that he did not remember putting in there, and the package of Blams he had gotten from the machine.
Jean Craighead George|Then stirs the feeling infinite, so felt In solitude, where we are least alone.
Cassandra Clare, City of Bones|the fundamental question Juvenile Court was designed to ask - What's the best way to deal with this individual kid? - is often lost in the process, replaced by a point system that opens the door, or locks it, depending on the qualities of the crime, not the child.
Swami Dhyan Giten|Only if we live consciously, we can die consciously.
Marquis De Lafayette|There are two methods, or means, and only two, whereby man's needs and desires can be satisfied. One is the production and exchange of wealth; this is the economic means. The other is the uncompensated appropriation of wealth produced by others; this is the political means.
Roshan Sharma|In the external reality, an action is required for the manifestation, but in the internal reality, all you need is your presence. Just with the inner presence, things begin to unfold.
Nikita Dudani|Lack of confidence in yourself,Can allow your enemies to hurt you easily.
Unarine Ramaru|Everyone is born with an instinct of success, and ability to make it, but only the ones who think out of the box succeed.
Cassandra Clare, Welcome to Shadowhunter Academy|That stranger handed me a letter written in my beloved's tears. I opened it, and the letters faded away just like his love for me.
Judas Iscariot The Flight of the Feathered Serpent|A risk to own anything: a car, a pair of shoes, a packet of cigarettes. Not enough to go around, not enough cars, shoes, cigarettes. Too many people, too few things. What there is must go into circulation, so that everyone can have a chance to be happy for a day. That is the theory; hold to the theory and to the comforts of theory. Not human evil, just a vast circulatory system, to whose workings pity and terror are irrelevant. That is how one must see life in this country: in its schematic aspect. Otherwise one could go mad. Cars, shoes; women too. There must be some niche in the system for women and what happens to them.
Brian Greene|Here they were, on the only planetary surface on which you could walk freely, naked to the wind and the sun, and when they had a choice, they sat in boxes and stared at littler boxes, just as if they had no choice-as if they were in a space station-
Joan Miró|I try to apply colors like words that shape poems, like notes that shape music. 
Idries Shah, Sufi Thought and Action|People who cannot trust are themselves not trustworthy, and therefore cannot be entrusted with important things.
Maria V. Snyder, Outside In|That night as I lay in bed, I thought of several things I could have said and mourned the fact that my wit usually bloomed late, peaking when it no longer mattered, during the solitary hours close to midnight.
Wendell Berry|We Americans are not usually thought to be a submissive people, but of course we are. Why else would we allow our country to be destroyed? Why else would we be rewarding its destroyers? Why else would we all — by proxies we have given to greedy corporations and corrupt politicians — be participating in its destruction? Most of us are still too sane to piss in our own cistern, but we allow others to do so and we reward them for it. We reward them so well, in fact, that those who piss in our cistern are wealthier than the rest of us.How do we submit? By not being radical enough. Or by not being thorough enough, which is the same thing.
J.M. Sandler, Caspian Diary|The line between the allure of liberty and the menace of of anarchy is often blurred." From: Caspian Diary
Magan Vernon, The Only Exception|Why do you do that?” Torrin’s voice echoes in the empty hall. His hand is holding my arm gently, not at all like Derek does. I can’t have this. I can’t. I shouldn’t have ever come here with him. I draw in a shaky breath and pull my arm away.  “Do what?” “Walk away every time I ask you something personal?” I stare hard at him. “Why do you do that? He blinks. “Huh?” “Ask so many questions.” His mouth drops open and closes and five long seconds pass before he says, “It’s what people do, Quinn. When they’re getting to know each other.”  I shake my head and spin toward the door.  “You don’t want to get to know me.
Katlyn Charlesworth, Where Men Sit|As with most dreams of men, the ideal becomes just that––an ideal––and the pure rationale of existence is thrust upon the best of the dreamers.
René Descartes, Rules for the Direction of the Mind|You ask a lot of questions, don't you?" "My brother always says curiosity is my besetting sin.
Eduardo Galeano, Soccer in Sun and Shadow|The StadiumHave you ever entered an empty stadium? Try it. Stand in the middle of the field and listen. There is nothing less empty than an empty stadium. There is nothing less mute than stands bereft of spectators.At Wembley, shouts from the 1966 World Cup, which England won, still resound, and if you listen very closely you can hear groans from 1953 when England fell to the Hungarians. Montevideo’s Centenario Stadium sighs with nostalgia for the glory days of Uruguayan soccer. Maracanã is still crying over Brazil’s 1950 World Cup defeat. At Bombonera in Buenos Aires, drums boom from half a century ago. From the depths of Azteca Stadium, you can hear the ceremonial chants of the ancient Mexican ball game. The concrete terraces of Camp Nou in Barcelona speak Catalan, and the stands of San Mamés in Bilbao talk in Basque. In Milan, the ghosts of Giuseppe Meazza scores goals that shake the stadium bearing his name. The final match of the 1974 World Cup, won by Germany, is played day after day and night after night at Munich’s Olympic Stadium. King Fahd Stadium in Saudi Arabia has marble and gold boxes and carpeted stands, but it has no memory or much of anything to say.
Lailah Gifty Akita|If you dare take the challenge, you will possess the courage to conquer.
George R.R. Martin, A Game of Thrones|Pride gets no pleasure out of having something, only out of having more of it than the next man... It is the comparison that makes you proud: the pleasure of being above the rest. Once the element of competition is gone, pride is gone.
Jamie Oliver|Satan, really, is the romantic youth of Jesus re-appearing for a moment.
Craig D. Lounsbrough|If I have found my journey to be a maddening tangle of wandering ‘rabbit-trails,’ a labyrinth of incessantly circular passages to nowhere and back, and a plethora of assorted ‘dead-ends’ fraudulently disguised as paths of great promise, it can only be because I have mindlessly exchanged God’s compass for mine. Therefore, it would appear that another exchange might be in order.
Thomas Sydenham|...that the doctor being himself a mortal man, should be diligent and tender in relieving his suffering patients, inasmuch as he himself must one day be a like sufferer.
N.R. Walker, Spencer Cohen, Book One|My tattoos, like most people's, were reminders, badges of personal experiences. Yes, I might wear them on my skin for the world to see, but their meaning was a little too personal.
Carol Burnett|Humor has bailed me out of more tight situations than I can think of. If you go with your instincts and keep your humor, creativity follows. With luck, success comes, too.
J.V. Hart|I will hunt you down. I will scour the streets of Los Angeles for you. Search every street in the Republic if I have to. I will trick you and deceive you, lie, cheat and steal to find you, tempt you out of your hiding place, and chase you until you have nowhere else to run. I make you this promise: your life is mine.
Jennifer L. Armentrout, Wicked|If we die for them, Harry, I'm going to KILL YOU!
Simon Pegg, Nerd Do Well|You want to know what I believe? I believe in fate, but I also believe in free will. Meaning, there's a path, but we're free to veer away from it. The only problem is that there's no way to know whose path we're following on any given moment. Our own? Our fate's? Other people are on their on paths, too. What happens when we intersect? What happens when someone else wipes our path clean, and we're left with no road to follow? Is that fate? Is that when free will kicks in? Is the path there, but invisible?Who the hell knows?
Bradley B. Dalina|Truth is its own defense, therefore if something can’t speak for itself, it’s not truth.
Eric Samuel Timm, Static Jedi: The Art of Hearing God Through the Noise|Our bodies are simply our shells, the package for the spirit and the soul.
Joe Hill|Without her, part of my soul was missing. My heart had left with her, when she moved with Henry here, putting half the planet between us, making me wait for the rare phone calls.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|The greatest love stories are not those in which love is only spoken, but those in which it is acted upon.
Mary Elizabeth Mastrantonio|If the money we donate helps one child or can ease the pain of one parent, those funds are well spent.
Ernest Dimnet|Since we cannot know all that there is to be known about anything, we ought to know a little about everything.
Woody Allen|I love nature, I just don't want to get any of it on me.
Amy Klobuchar|I can't be a hypocrite as a coach because as a player that's what I wanted. I wanted feedback, I wanted communication from the boss. I showed up for work, you can yell at me if you want, but I want input. So that's the kind of coach I want to be.
Julian Barnes|When you are in your twenties, even if you're confused and uncertain about your aims and purposes, you have a strong sense of what life itself is, and of what you in life are, and might become. Later... later there is uncertainty, more overlapping, more backtracking, more false memories. Back then, you can remember your short life in its entirety. Later, the memory becomes a thing of shreds and patches. It's a bit like the black box airplanes carry to record what happens in a crash. If nothing goes wrong, the tape erases itself. So if you do crash, it's obvious why you did; if you don't, then the log of your journey is much less clear.
Catherine Anderson, Phantom Waltz|What was she thinking? Tarnished Silver? Brother. He probably practiced that smoldering look in the mirror so all women within a mile would fall over like nine pins when he smiled. Well, count her out. He was mouthwatering to look at, but so was cheesecake, and cheesecake was a heck of a lot safer.
Amy Harmon, From Sand and Ash|We are at war. War has a way of stripping us of perspective. War is about life and death, and it paints everything in shades of now or never.
Sam Yagan|I put my family first, and that's why for a long time, you didn't see me dating or hear about me dating or hear about me out. I had other focuses in my life, and that would be my family and my work.
Neil Armstrong|Well first of all, tell me, is there some society you know of that doesn't run on greed? You think Russia doesn't run on greed? You think China doesn't run on greed? What is greed?
Jorge Luis Borges|Reading . . . is an activity subsequent to writing: more resigned, more civil, more intellectual.
Donna Augustine, Fated|For all that my co-workers put such stock in not being a transfer, we had a definite edge in one area. As a human, you were born knowing that you were going to die.
Neil Patrick Harris|I just think that giving a child a chance and sharing what you have with a child is one of the greatest gifts you can give yourself, as well as a child.
Libbie Hawker, Daughter of Sand and Stone|Nafsha is so concerned with my virginity. I am beginning to think she would wed me herself. Alas, the only tool she might use to make me a woman is her tongue -- and it is far too sharp for me to allow it beneath my skirts.
Germaine Greer, The Female Eunuch|If you think you are emancipated, you might consider the idea of tasting your own menstrual blood - if it makes you sick, you've got a long way to go, baby.
Vladimir Nabokov|I have voices in my headI'm a slave to imaginary peopleI feel what they feelI experience what they experience I live in their world And I'm devoted to translating their storiesI'm not crazy, I'm a writer
Ayad Akhtar|I think that the thematic, formal history of the literary form ultimately harkens back to a different political system. That is to say, a feudal order: the aristocratic dispensation of leisure time, the refinements of the self. With the shift from feudal aristocracy to democracy there has been a long process of evolution. I think we’re in the throes of a kind of steep, logarithmic shift, and I think that literary forms are losing their capacity to connect people to issues, to the experiences that feel most meaningful to them.
Umberto Eco, Postscript to the Name of the Rose|In the Middle Ages, cathedrals and convents burned like tinder; imagining a medieval story without a fire is like imagining a World War II movie in the Pacific without a fighter plane shot down in flames.
Jess C. Scott, Take-Out, Part 1|He felt a little lost, after that experience. Lost as the girls on their knees. It was a never-ending story of young girls losing themselves, such that they were no longer humans with any souls or characters, but pretty girls with fat asses and nice tits.
Debasish Mridha|Dancing is a expression of desire, thoughts, and emotion in a distinctive way.
Clara Kensie, Aftermath|Something contracts in my chest. The air shifts, grows heavy and dense as mud. Alexa twists her hair around her finger and whispers, "Didn't you even try to escape, Charlotte?
Rebecca Rasmussen, The Bird Sisters|Bett didn't have any siblings because she said her father had preserved what was dead for too long to be able to create life. When Bet was younger and had begged for one, her father gave her a marmot he' stuffed for a man from Wyoming."This is your brother Christopher," he'd said, placing the marmot on Bett's pillow one night. "He doesn't talk much, so you'll have to pick up the slack there.
Garth Ennis, The Boys, Volume 9: The Big Ride|For the grace of bearing life's inevitable evils is itself agood, and makes goodness arise even from evils byopposing them or enduring them with courage.
Carol Lynn Pearson, The Ghost of Eternal Polygamy: Haunting the Hearts and Heaven of Mormon Women and Men|I suggest that the representation of women deserves a much higher consideration in our religious discourse. When words are presented as if they come directly from God, they can have monumental impact on our psyches, our spirits, our hearts, and our relationships. Women are given, in story at least, first place in the lifeboats, but often in more common circumstances we are consigned to the back of the bus.
Danny Castillones Sillada|There was a time when we used to have opinions, just humble opinions. Now everything seems to be a question of life and death. We defend, we abuse, we call names, we shout....is it because every idiot in town suddenly found a voice through social media or are intelligent people getting dumber trying to defend arguments which an idiot won't understand. I don't belong to either so I just wonder...
Vince Cable|Cuba ought to be free and independent, and the government should be turned over to the Cuban people.
Winston Groom, Forrest Gump|Let me say this: being an idiot is no box of chocolates. People laugh, lose patience, treat you shabby. Now they say folks supposed to be kind to the afflicted, but let me tell you this - it ain't always that way. Even so, I got no complaints, cause I reckon I done live a pretty interesting life, so to speak.
Lyn Ducoty, A Pocketful of Dreams|Johnathan had known he wouldn't be able to simply shut off his thoughts and go to sleep. His entire body - everything he could feel, at least - was like a tightly coiled spring.
Marilyn Vos Savant|To acquire knowledge, one must study;but to acquire wisdom, one must observe.
Pablo Neruda, Twenty Love Poems and a Song of Despair|Tonight I can write the saddest lines.To think that I do not have her. To feel that I have lost her.To hear the immense night, still more immense without her,And the verse falls to the snow like dew to the pasture.
Cornell Woolrich, Night and Fear: A Centenary Collection of Stories by Cornell Woolrich|The trouble with living alone, she had discovered-and the reason why most people she knew didn't like to be alone even for a little while-was that the longer you lived alone, the louder the voices on the right side of your brain got.
Debasish Mridha|To reveal your greatness, don’t wait for a great opportunity. Find a simple opportunity to care and share your great love.
Aysha Taryam, The Opposite of Indifference: A Collection of Commentaries|The lesson we are indebted to Egypt for, our future generations learned that in the face of oppression silence is never golden.
Gift Gugu Mona|Lewis's mental map of reality had difficulty accommodating the trauma of the Great War. Like so many, he found the settled way of looking at the world, taken for granted by many in the Edwardian age, to have been shattered by the most brutal and devastating war yet known." (51) Part (McGrath suggests) of Lewis's well-documented search for truth and meaning, that search that ultimately led him to Christianity, emerges from the desire to make sense of his traumatic experience in ways that satisfied him spiritually, emotionally, and intellectually.
John Warnock|If listeners aren't carried away to Heaven, I'm failing.
Robert Farrar Capon, Between Noon & Three: Romance, Law & the Outrage of Grace|... the proper self-knowledge and self-love of every created thing is ipso facto a participation in the knowledge and love of God. The entire universe moves by desire for the Highest Good simply because every part of it loves what God loves - namely, its own being.
Bertrand Russell|A child develops best when, like a young plant, he is left undisturbed in the same soil. Too much travel, too much variety of impressions, are not good for the young, and cause them as they grow up to become incapable of enduring fruitful monotony.
Rebecca York, Betrayed|How am I making you feel?”She considered the answer. “Like all my nerve endings are on fire. Like I want more, but I don’t exactly know how to ask for what I want.” She swallowed. “Or maybe I do.
Nev Schulman|There are three methods to gaining wisdom. The first is reflection, which is the highest. The second is limitation, which is the easiest. The third is experience, which is the bitterest.
Kirkland Ciccone, Conjuring the Infinite|I can hear clouds drifting across the sky! The worms beneath my feet…demand freedom from the darkness…the secret hopes of humankind…all of it trivial. I can see into other worlds…other universes…they’re calling out to me. They’ve always called to me! I never knew that until now, but now I know everything.
Michael Connelly|You know what I did after I wrote my first novel? I shut up and wrote twenty-three more.")
Karen Azinger, The Steel Queen|Seek Knowledge, Protect Knowledge, Share Knowledge.
Bangambiki Habyarimana, Pearls Of Eternity|Sometimes I reach the highest heights of hope, at other times I reach the deepest of despair. Sometimes I am happy, at other times I am sad. At some point I am a believer, and at some other time an unbeliever. Sometimes I love, some other times I hate. That’s what it means to be human.
Ice Cube|I was at art school that had quite a celebrated film course as well. I tried for that film course when I was 18, but they said I was too young. I tried this audio and visual design course instead. Two years later, I reapplied for that higher course, but they said I was still too young and to try in five years.
Thich Nhat Hanh, Peace Is Every Step: The Path of Mindfulness in Everyday Life|Whether we are in the city, the countryside, or the wilderness, we need to sustain ourselves by choosing our surroundings carefully and nourishing our awareness in each moment.
John Steinbeck, The Winter of Our Discontent|I will tell you something about stories . . . They aren't just entertainment. Don't be fooled. They are all we have, you see, all we have to fight off illness and death.
Zig Ziglar|When you really don't like a guy, they're all over you, and as soon as you act like you like them, they're no longer interested.
Daniel M. Gilbert|Beyond the satiation level of income, you can buy more pleasurable experiences, but you will lose some of your ability to enjoy the less expensive ones.
Will Durant, The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers|We are tossed about by external causes in many ways, and like waves driven by contrary winds, we waver and are unconscious of the issue and our fate.' We think we are most ourselves when we are most passionate, whereas it is then we are most passive, caught in some ancestral torrent of impulse or feeling, and swept on to a precipitate reaction which meets only part of the situation because without thought only part of a situation can be perceived.
Zeena Schreck|Only those few who are able to surpass their fear of death completely can fully experience the highest forms of life; not the mundane life of the mortal, but the godly life of the resurrected.
Jonathan Safran Foer|Writing's funny, it's like walking down a hall in the dark looking for the light switch, and suddenly you find it, flip it on, and then you discover the hallway you passed through is papered with the novel you've written.
Jordan MacLean, Guardian Last|Work, home, or play we should all aspire to inspire everyday.
Ian Mckellen|Even now, there are young actors who want careers as romantic leading men, and the best thing is not to reveal you're gay.
Dov Seidman, How: Why How We Do Anything Means Everything...in Business|Human beings are natural problem solvers and enjoy the challenge of puzzles. We will always invent new loopholes, and no rule can govern all the cracks.
Gillian Jacobs|I had a client who was a professional baseball player once, and he would go to clubs and dance for seven, eight, nine hours at a time. He wouldn't drink, he wouldn't take drugs - he just danced because he had so much physical energy; he was this amazing athlete.
Munia Khan|If you allow coldness to engulf you before winter, season is helpless to help you.
Khuswant Singh, Train To Pakistan|There is no crime in anyone’s blood any more than there is goodness in the blood of others. Criminals are not born. They are made by hunger, want and injustice.
Ernest Cline, Ready Player One|It suddenly occurred to me just how absurd this scene was: a guy wearing a suit of armor, standing next to an undead king, both hunched over the controls of a classic arcade game. It was the sort of surreal image you'd expect to see on the cover of an old issue of Heavy Metal or Dragon magazine.
Anthony Bourdain|I always thought I'd make a good parent, but I was single and led a solitary life for many, many years. Then I met David, and he had experience with kids and wanted to have a family, too.
P. J. O'Rourke|My mum passing away wasn't funny, but that funeral and what I went through, the things that happened, looking back at it, there were funny moments. You have to be strong enough to look back at it, to sit and assess the situation.
Anthony D. Ravenscroft, Polyamory: Roadmaps for the Clueless and Hopeful: An Introduction on Polyamory|Relationships tend to be flawed because they are made up of inherently flawed components, mere human beings.
Dora J. Arod, I Had a Dream About You|I had a dream about you. You were an escalator, and I was a flight of stairs. You thought I was a Luddite, and I thought I was as ostrich, because I hadn’t figured out how to put the fly in flight. One day you broke down, and then you saw that you and I weren’t so different after all.
Fred Nour, True Love: How to Use Science to Understand Love|If I can’t picture it, I can’t understand it.
Elyne Mitchell, Silver Brumby Kingdom|I? I am the wind,’ said Thowra. ‘I come, I pass, and I am gone.’ The strange feathers moved up and down, the strange voice said tartly: ‘And are your sons the same?’ ‘My son is the lightning that strikes through the black night. My grandson is light that pierces the dark sky at dawning.’ ‘Ah,’ said the first emu, ‘and we know your daughter is the snow that falls softly from above and clothes the world in white. You want but the rainbow — that is and was and never will be, and is yet the promise of life — and the glittering ice which is there and is gone: then you and your family will possess all magic.
A.S. Peterson, Fiddler's Green|The gods are just, and of our pleasant vicesMake instruments to plague us.
Kilroy J. Oldster, Dead Toad Scrolls|What should I feel after carving my bones? peeling off my skin? after sculpted my soul and damaging my fervour, just as the way you desire your appetite must be.Abandoned, forsaken, empty, perhaps..
Émile Zola, La Faute de l'abbé Mouret|In the cold dark days of the winter, dream about the flowers to get warmed up!
Ryan Holiday, Ego Is the Enemy|As I am defeated today, I tell you to believe what you will. Just as you believe yourself, your worst enemies believe in themselves.
Joseph Addison|Perhaps the CDC should quit spending money on things like jazzercise, urban gardening, and massage therapy and direct that money to where it's appropriate in protecting the health of the American people.
Alice Walker, The Temple of My Familiar|The life of my people is to remember forever; each head granary is full. The life of your people is to forget: your thing granaries ("museums"), and not yourselves, are full.
Adeline Yen Mah, Chinese Cinderella and the Secret Dragon Society|People with yuan fen are destined to like one another;Friendship develops even if a thousand miles apart.But should yuan fen be absent between two individuals,They will remain strangers despite sitting face-to-face
J. B. Priestley|I'm not panicking, and I'm not scared, I've been through the Gulf War, the Asia crisis, and the Russian crisis.
Deyth Banger, The Life Of One Kid|The best game ever played was in Monday 3/21/2016, 2 games were played for 40 minutes class sport and in both I win and I and my friend we were going on the 3 game, but unfortunately we didn't finished it. But from here it can be see that I'm the winner!
E.M. Forster|Mr Abrahams was a preparatory schoolmaster of the old-fashioned sort. He cared neither for work nor games, but fed his boys well and saw that they did not misbehave. The rest he left to the parents, and did not speculate how much the parents were leaving to him. Amid mutual compliments the boys passed out into a public school, healthy but backward, to receive upon undefended flesh the first blows of the world.
Marissa Meyer, Fairest|She was so stupid. Such a stupid, stupid girl.For ever thinking she could be admired, adored, or noticed. For every thinking she could be anything at all.
T.S. Eliot, The Love Song of J. Alfred Prufrock|I grow old … I grow old …	 I shall wear the bottoms of my trousers rolled.	Shall I part my hair behind? Do I dare to eat a peach?	I shall wear white flannel trousers, and walk upon the beach.	I have heard the mermaids singing, each to each.	I do not think that they will sing to me.	 I have seen them riding seaward on the waves	Combing the white hair of the waves blown back	When the wind blows the water white and black.	We have lingered in the chambers of the sea	By sea-girls wreathed with seaweed red and brown	 Till human voices wake us, and we drown.
Graham McNamee, Bonechiller|Moving into the hallway, I make the mistake of looking down. The floor seems to drop out from under me, with nothing solid to support me but my own reflection. I take a step, watching the sole of my bare left foot meet its twin rising up on the flipside. I get the weirdest sensation that I won't fall as long as I have the reversed images of my own feet to walk on.
Douglas Brunt|What I love about Thanksgiving is that it's purely about getting together with friends or family and enjoying food. It's really for everybody, and it doesn't matter where you're from.
Philip Sidney|I think it's really important for your mental health to think about the big questions, to discuss them and open your mind, in order to prepare you for both life and death.
John Rush, Entheogens and the Development of Culture: The Anthropology and Neurobiology of Ecstatic Experience|Human cultures vary widely in the plants they use to gratify the desire for a change of mind, but all cultures (save the Eskimo) sanction at least one such plant and, just as invariably, strenuously forbid certain others. Along with the temptation seems to come the taboo.
Raymond E. Feist, Honored Enemy|When Ego is in control it judges and punishes. But love forgives and heals. Surrendering, is one of the most powerful choices one can make.The doors of love only open for the person who is prepared to let his ego go. To surrender one's ego for someone else is love; to surrender one's ego for all is divine love.﻿
Alahdal A. Hussein|But the interesting cases are those where the conflict remains obstinately in place however much we ponder the problem. These are the cases where we are tempted to conclude that "intuition cannot be trusted." In these situations we need to improve our intuition, to debug it, but the pressure on us is to abandon intuition and rely on equations instead.
Gary Inbinder, The Devil in Montmartre: A Mystery in Fin de Siècle Paris|I think my life is of great importance, but I also think it is meaningless.
Gugu Mona|Wise people do not claim to know it all, they always prefer to learn from others.
J.M. Coetzee, Elizabeth Costello|Narration, after all, isn’t just a literary function. It represents the human capacity to tell stories in such a manner that they yield meaning. Television replaced this concerted quest for meaning with a frantic pursuit of wonder.
Ray Bradbury, Fahrenheit 451|Everyone must leave something behind when he dies, my grandfather said. A child or a book or a painting or a house or a wall built or a pair of shoes made. Or a garden planted. Something your hand touched some way so your soul has somewhere to go when you die, and when people look at that tree or that flower you planted, you're there. It doesn't matter what you do, he said, so long as you change something from the way it was before you touched it into something that's like you after you take your hands away. The difference between the man who just cuts lawns and a real gardener is in the touching, he said. The lawn-cutter might just as well not have been there at all; the gardener will be there a lifetime.
Craig D. Lounsbrough|If I see God as nothing more than a caricature of history or imagination I cannot do anything less than make myself my own ‘god’. And once I realize that in doing so my rendition of being a ‘god’ is embarrassingly inferior to the very caricature I am mimicking, I quickly come to realize that maybe the only thing that can be ‘god’ is a God. And if that is the case, I suddenly find myself hounded by the stunning reality that God is not a caricature.
Eiji Yoshikawa, Musashi|She needed intimacy and a sense of partaking in, not just observing, real life.
J.E.B. Spredemann|I am simply not enough in myself, but in Him I am. This surrender is not weakness, but the only true measure of strength any of us have.
