Deyth Banger|In life and love, there are no impossibilities.
Katherine Boo, Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity|Zehrunisa didn’t know Abdul’s age herself. Seventeen was what she’d said before the burning, when people asked her, but he could have been twenty-seven, for all she knew. You didn’t keep track of a child’s years when you were fighting daily to keep him from starving, as she and many other Annawadi mothers had been doing when their teenagers were young.
Lil' Kim|Some women flirt more with what they say, and some with what they do.
Byron Rufus Newton|The thing that impressed me then as now about New York… was the sharp, and at the same time immense, contrast it showed between the dull and the shrewd, the strong and the weak, the rich and the poor, the wise and the ignorant… the strong, or those who ultimately dominated, were so very strong, and the weak so very, very weak - and so very, very many.
George K. Simon Jr., In Sheep's Clothing: Understanding and Dealing with Manipulative People|Playing the victim role: Manipulator portrays him- or herself as a victim of circumstance or of someone else's behavior in order to gain pity, sympathy or evoke compassion and thereby get something from another. Caring and conscientious people cannot stand to see anyone suffering and the manipulator often finds it easy to play on sympathy to get cooperation.
Osho, The Book of Secrets|Only a blind man can easily define what light is. When you do not know, you are bold. Ignorance is always bold; knowledge hesitates. And the more you know, the more you feel that the ground underneath is dissolving. The more you know, the more you feel how ignorant you are.
Madeline L'engle|One time, when I was little more than a baby, I was taken to visit my grandmother, who was living in a cottage on a nearly uninhabited stretch of beach in northern Florida. All I remember of this visit is being picked up from my crib in what seemed the middle of the night and carried from my bedroom and out of doors, where I had my first look at the stars. “It must have been an unusually clear and beautiful night for someone to have said, “Let’s wake the baby and show her the stars.” The night sky, the constant rolling of the breakers against the shore, the stupendous light of the stars, all made an indelible impression on me. I was intuitively aware not only of a beauty I had never seen before but also that the world was far greater than the protected limits of the small child’s world which was all I had known thus far. I had a total, if not very conscious, moment of revelation: I saw creation bursting the bounds of daily restriction, and stretching out from dimension to dimension, beyond any human comprehension. I had been taught to say my prayers at night: Our Father, and a long string of God-blesses, and it was that first showing of the galaxies which gave me an awareness that the God I spoke to at bedtime was extraordinary and not just a bigger and better combination of the grownup powers of my father and mother. This early experience was freeing, rather than daunting, and since it was the first, it has been the foundation for all other such glimpses of glory. (The Irrational Season)
Grace Hudson, FERTS|God rewards a person not for the deeds he does openly, but according to the thoughts and actions he has in secret.
Hussein S. Hariri|The BFMSS [British False Memory Syndrome Society]The founder of the 'false memory' movement in Britain is an accused father. Two of his adult daughters say that Roger Scotford sexually abused them in childhood. He denied this and responded by launching a spectacular counter-attack, which enjoyed apparently unlimited and uncritical air time in the mass media and provoke Establishment institutions that had made no public utterance about abuse to pronounce on the accused adults' repudiation of it.p171-172The 'British False Memory Syndrome Society' lent a scientific aura to the allegations - the alchemy of 'falsehood' and 'memory' stirred with disease and science. The new name pathologised the accusers and drew attention away from the accused. But the so-called syndrome attacked not only the source of the stories but also the alliances between the survivors' movement and practitioners in the health, welfare, and the criminal justice system. The allies were represented no longer as credulous dupes but as malevolent agents who imported a miasma of the 'false memories' into the imaginations of distressed victims.Roger Scotford was a former naval officer turned successful property developer living in a Georgian house overlooking an uninterrupted valley in luscious middle England. He was a rich man and was able to give up everything to devote himself to the crusade.He says his family life was normal and that he had been a 'Dr Spock father'. But his first wife disagrees and his second wife, although believing him innocent, describes his children's childhood as very difficult. His daughters say they had a significantly unhappy childhood.In the autumn of 1991, his middle daughter invited him to her home to confront him with the story of her childhood. She was supported by a friend and he was invited to listen and then leave. She told him that he had abused her throughout her youth. Scotford, however, said that the daughter went to a homeopath for treatment for thrush/candida and then blamed the condition on him. He also said his daughter, who was in her twenties, had been upset during a recent trip to France to buy a property. He said he booked them into a hotel where they would share a room. This was not odd, he insisted, 'to me it was quite natural'. He told journalists and scholars the same story, in the same way, reciting the details of her allegations, drawing attention to her body and the details of what she said he had done to her. Some seemed to find the detail persuasive. Several found it spooky.p172-173
mahmoud hamdy|First love is like hearing your favorite music , regardless of how much you repeat it , every time you will enjoy all the pain.
Rem Koolhaas|Any architectural project we do takes at least four or five years, so increasingly there is a discrepancy between the acceleration of culture and the continuing slowness of architecture.
Sariah Wilson, Royal Chase|The older you get, the harder it is to lose weight because by then your body and your fat have become super good friends.
Howard Pyle, The Story of King Arthur and His Knights|And it was at this time that Sir Myles died of his hurt, for it is often so that death and misfortune befall some, whiles others laugh and sing for hope and joy, as though such grievous things as sorrow and death could never happen in the world wherein they live.
Anonymous|The rich can be "eccentric " the poor have to be considered "nuts."
Germany Kent|Don’t let the enemy try to keep you bound with fear. The devil is a liar. Stay in faith and trust the process. Be still, God has a plan!
Sean Patrick Brennan, Heaven, Hell, and the Planet in Between: Book 1: The Uniter|Almost everything you think is sacred, good and decent, is a lie and an all-out assault against truth and decency.
Lailah Gifty Akita, Think Great: Be Great!|Passion for knowledge, motivation for continuous learning.
Gena Showalter, A Mad Zombie Party|She's beauty and she's the beast, rolled into one.
Matt Haig, The Humans|Mathematics has the inhuman quality of starlight, brilliant and sharp, but cold.
Jude Morgan, Indiscretion|The glitter of the great world, you know, is only so much froth and spume: you may look in vain for happiness there.
Ntambara Sylvestre Owen Berbason|Try to lead the leaders and first never follows in whatever case may be, avoid following someone just strive for being followed by other people.
Sylvia Plath, Ariel|Dying is an art.Like everything else,I do it exceptionally well.I do it so it feels like hell.I do it so it feels real.I guess you could say I have a call.
Paolo Nutini|Where'd the days go, when all we did was play? And the stress that we were under wasn't stress at all just a run and a jump into a harmless fall
Patricia Briggs, Silver Borne|High School. Society’s bright idea to put all their aggressive, naive youth into one environment to torment and emotionally scar each other for life.
Charles Schwab|Criticism, like rain, should be gentle enough to nourish a man's growth without destroying his roots.
Teresa of Ávila, The Life of Saint Teresa of Ávila by Herself|O infinite goodness of my God! It is thus that I seem to see both myself and Thee. O Joy of the angels, how I long, when I think of this, to be wholly consumed in love for Thee! How true it is that Thou dost bear with those who cannot bear Thee to be with them! Oh, how good a Friend art Thou, my Lord! How Thou dost comfort us and suffer us and wait until our nature becomes more like Thine and meanwhile dost bear with it as it is! Thou dost remember the times when we love Thee, my Lord, and, when for a moment we repent, Thou dost forget how we offended Thee. I have seen this clearly in my own life, and I cannot conceive, my Creator, why the whole world does not strive to draw near to Thee in this intimate friendship. Those of us who are wicked, and whose nature is not like Thine, ought to draw near to Thee so that Thou mayest make them good. They should allow Thee to be with them for at least two hours each day, even though they may not be with Thee, but are perplexed, as I was, with a thousand worldly cares and thoughts. In exchange for the effort which it costs them to desire to be in such good company (for Thou knowest, Lord, that at first this is as much as they can do and sometimes they can do no more at all) Thou dost prevent the devils from assaulting them so that each day they are able to do them less harm, and Thou givest them strength to conquer. Yea, Life of all lives, Thou slayest none of those that put their trust in Thee and desire Thee for their Friend; rather dost Thou sustain their bodily life with greater health and give strength to their souls.
Toni Sorenson|Success goes to the ones who do. Get up. Show up. Throw up if you have to. Do it afraid, but do it no matter.
Friedrich Nietzsche, Thus Spoke Zarathustra|It was suffering and incapacity that created all afterworlds - this, and that brief madness of bliss which is experienced only by those who suffer deeply. Weariness that wants to reach the ultimate with one leap, with one fatal leap, a poor ignorant weariness that does not want to want any more: this created all gods and afterworlds.
Cindy Crawford|I have two Golden Boot awards at home. It would be nice to win another, but I wouldn't mind it if I didn't.
Lisa Brown Roberts, How (Not) to Fall in Love|I'm so sorry about all you're going through, but I'm not sorry that it brought you to me.
Dada Bhagwan|This world has been changing from time immemorial. But because it is “round” (subject to cycle of cause-effect), one cannot find an end to it.
Frankie Valli|To like and dislike the same things, this is what makes a solid friendship.
Mayte Garcia, The Most Beautiful: My Life with Prince|Bottom line: you never ever saw him looking wrong. Knowing this, I felt a cold shiver down my spine when I read in the Minneapolis StarTribune that when his body was found in the elevator at Paisley Park, "Prince was wearing a black shirt and pants - both were on backward - and his socks were inside out."This made no sense to me. The sheer irony of it broke my heart all over again.
Tamron Hall|A Sunday morning spent reading the paper together, maybe drinking some mimosas, alone, and talking until noon. That would be pretty amazing. Married couples with kids will understand.
Jerrie Brock, Something Taken|He had hoped to spot the flickering shadow of a murderer as he turned the file's pages, but instead it was the ghost of Lula herself who emerged, gazing up at him, as victims of violent crimes sometimes did, through the detritus of their interrupted lives.
Madison Thorne Grey, Magnificence|The new race of warriors would be their hope, their salvation, their loves' destiny. But they too could be tainted. They too could be seduced by the black forces they had been created to fight against.
Pema Chödrön, The Wisdom of No Escape: How to Love Yourself and Your World|In his talk, Suzuki Roshi says that meditation and the whole process of finding your own true nature is one continuous mistake, and that rather than that being a reason for depression or discouragement, it's actually the motivation.
Jack Johnson, Jack Johnson - Sleep Through the Static Songbook|The problem is that stepping away from Brian, leaving him standing under that pergola on Wednesday, is no longer enough to leave behind how he made me feel in that hour. I could leave him there, we could part as strangers, but God, I know that I would look for him. He would live in my peripheral vision, a ghost nudging me to turn and look behind me, only to find a spot that is emptier than empty
A.W. Tozer|But, of course, what mattered most of all was my deep-seated hatred of authority, my monstrous individualism, my lawlessness. No word in my vocabulary expressed deeper hatred than the word INTERFERENCE. But Christianity placed at the centre what then seemed to me a transcendental Interferer. If its picture were true then no sort of 'treaty with reality' could ever be possible. There was no region even in the innermost depth of one's soul (nay, there least of all) which one could surround with a barbed wire fence and guard with a notice No Admittance. And that was what I wanted; some area, however small, of which I could say to all other beings, 'This is my business and mine only.
Peter Carnavas, The Elephant|She laughed a bit at the simple beauty of it all - the white paper, the elegant arc, the soft green grass; and, beside her, the purple backpack, Grandad's golden straw hat, the sky a pale-blue umbrella embracing the whole town
Alfonso Cuaron|Revolution is a phase, a mood, like spring, and just as spring has its buds and showers, so revolution has its ebullience, its bravery, its hope, and its solidarity. Some of these things pass.
Ernest Hemingway, The Complete Short Stories|He wouldn't let his servants change the sheets on his bed because they still smelled like her, because he went to sleep dreaming that she was still lying beside him.
Philip Pullman, The Amber Spyglass|And Will knew what it was to see his dæmon. As she flew down to the sand, he felt his heart tighten and release in a way he never forgot. Sixty years and more would go by, and as an old man he would still feel some sensations as bright and fresh as ever: Lyra's fingers putting the fruit between his lips under the gold-and-silver trees; her warm mouth pressing against his; his dæmon being torn from his unsuspecting breast as they entered the world of the dead; and the sweet rightfulness of her coming back to him at the edge of the moonlight dunes.
Wernher von Braun|The typewriting machine, when played with expression, is no more annoying than the piano when played by a sister or near relation.
Maggie Stiefvater, The Raven King|His quest was a wolf, and it starved. - Gansey
Billy Graham, Billy Graham in Quotes|Christ broke the bonds of death by His resurrection, and from that moment on, Satan was a defeated foe.
Oliver Markus, Why Men And Women Can't Be Friends|We like to romanticize the wild, raw, majestic beauty of nature. But when you take a closer look, nature is really just a giant fuckfest. That beautiful bird chirping? It's a mating call. That pretty little bird is trying to get laid. And why does the peacock have such beautiful feathers? To attract females. Because he's trying to get laid.
Miguel de Cervantes|When truth is no longer free, freedom is no longer real: the truths of the police are the truths of today.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|I sense pure evil. I see a figure all dressed in black, but I can't make out the face.
Thomas Sowell, The Vision of the Anointed: Self-Congratulation as a Basis for Social Policy|The staunchest conservatives advocate a range of changes which differ in specifics, rather than in number or magnitude, from the changes advocated by those considered liberal…change, as such, is simply not a controversial issue. Yet a common practice among the anointed is to declare themselves emphatically, piously, and defiantly in favor of 'change.' Thus those who oppose their particular changes are depicted as being against change in general. It is as if opponents of the equation 2+2=7 were depicted as being against mathematics. Such a tactic might, however, be more politically effective than trying to defend the equation on its own merits. 
Major Owens|There is a difference between the stuff that people put online themselves, like pictures and their trips and flights and meals they've eaten, than the stuff that they don't realize is also going into foreign computers. Like, for example, copies of your emails or every single online search you ever do, 'cause all that is being recorded as well.
Germany Kent|Thank God for allowing you to see another day. No matter what, keep trusting, keep believing, be strong, have hope. The best is yet to come.
Sunday Adelaja|Each of us has a latent energy and we need to discover this invisible "treasure by the way of concentration
One tree hill haley james scott|Someone once said that death is not the greatest loss in life. The greatest loss is what dies inside of us while we live. I could tell you who said it, but who the hell really cares.
Mark Zuckerberg|Pop music can absorb so many peculiar talents, ranging from the completely nonmusical poseur who just uses music as a kind of springboard for a sense of style, to people who just love putting all that complicated stuff together, brick by brick, on their computers, to people like me who like playing conceptual games and being surprised.
Matt Taibbi|To err is human, but it feels divine.
Debbie Blue, Consider the Birds: A Provocative Guide to Birds of the Bible|We might like to think of ourselves as autonomous beings who get to decide who we are going to be, but we are likely much more malleable than we think. We are often defined by the structure that keeps us captive. In some ways our desires are so socially constructed that they can't rightfully be called our own.
Holly Hood, Prison of Paradise|So just let me deal with it, I can be emotionally flawed and still love you all at the same time. I’m a great multitasker.
Emily Giffin, The One & Only|Guthrie turned to see who his attacker was. And smiled when he caught her eye.He had the most devilishly wolfish look about him -- a mixture of impending payback with a snowball and something a wee bit more intimate, like a tackle in the snow. But he wouldn't. Not in front of his clansmen. Not when they weren't courting. At least, she hoped not.
Steven Pinker|Reading is a technology for perspective-taking. When someone else's thoughts are in your head, you are observing the world from that person's vantage point.
Gordon Bethune|After all, it's the future of business communication that we're looking toward.
Isidor Rabi|Wisom is inseparable from knowledge; it is knowledge plus a quality which is within the human being. Without it, knowledge is dry, almost unfit for human consumption, and dangerous to application.
William Styron, Darkness Visible: A Memoir of Madness|it has to be emphasized that if the pain were readily describable most of the countless sufferers from this ancient affliction would have been able to confidently depict for their friends and loved ones (even their physicians) some of the actual dimensions of their torment, and perhaps elicit a comprehension that has been generally lacking; such incomprehension has usually been due not to a failure of sympathy but to the basic inability of healthy people to imagine a form of torment so alien to everyday experience.
Alan Paton|Those beautiful, green-blue eyes that change colour like they're bewitched, and look deep into my soul, making me see my true self. Right now, I don't like what I see.” -Nik Driver
Aletheia Luna, Old Souls: The Sages and Mystics of Our World|We live in illusion and the appearance of things. There is a reality. We are that reality. When you understand this, you see that you are nothing, and being nothing, you are everything. That is all.
Nicholas D. Kristof and Sheryl WuDunn|[S]ex trafficking and mass rape should no more be seen as women's issues than slavery was a black issue or the Holocaust was a Jewish issue. These are all humanitarian concerns, transcending any one race, gender, or creed.
Dragos Bratasanu, Ph.D.|If we don’t express truth and love in relationships, they simply become a state of isolation with somebody (some body) still around.
David Levithan, How They Met, and Other Stories|Frantic and serene, vigilant and calm, wrung-out and fortified, explosive and sedate—love commands a vast army of moods. Hoping for victory, limping from the latest skirmish, lovers enter the arena once again. Sitting still, we are as daring as gladiators.
Greg Maddux|He who leaves nothing to chance will do few things poorly, but he will do few things.
Gayle Forman, Just One Year|If you sleep on the train, you will miss your station; if you sleep at the station, you will miss your train! You can control your fate only when you are awake!
Monica Valentinelli, The Zombie Feed, Vol. 1|I totally don't know what to do." He got up and started pacing. "Am I supposed to get you a present? Or maybe a card. I'm completely lost.
Brennan Manning, Abba's Child: The Cry of the Heart for Intimate Belonging|[The] insistence on the absolutely indiscriminate nature of compassion within the Kingdom is the dominant perspective of almost all of Jesus' teaching.What is indiscriminate compassion? 'Take a look at a rose. Is is possible for the rose to say, "I'll offer my fragrance to good people and withhold it from bad people"? Or can you imagine a lamp that withholds its rays from a wicked person who seeks to walk in its light? It could do that only be ceasing to be a lamp. And observe how helplessly and indiscriminately a tree gives its shade to everyone, good and bad, young and old, high and low; to animals and humans and every living creature -- even to the one who seeks to cut it down. This is the first quality of compassion -- its indiscriminate character.' (Anthony DeMello, The Way to Love)...What makes the Kingdom come is heartfelt compassion: a way of tenderness that knows no frontiers, no labels, no compartmentalizing, and no sectarian divisions.
Sunday Adelaja|Remember, each of us needs to be the best in our field
Jen Campbell, Weird Things Customers Say in Bookshops|CUSTOMER: If I were to, say... meet the love of my life in this bookshop, what section do you think they would be standing in?
Arnold Schwarzenegger|Calm mind brings inner strength and self-confidence, so that's very important for good health.
H.P. Lovecraft|Religion is still useful among the herd - that it helps their orderly conduct as nothing else could. The crude human animal is in-eradicably superstitious, and there is every biological reason why they should be. Take away his Christian god and saints, and he will worship something else...
Sarah J. Maas, A Court of Thorns and Roses|But before, not so long ago - my own rose from prom still OK on the mirror, dried but not a corpse - you were just Ed Slaterton, jocky hero, handsome in the student newspaper and star of a million strands of gossip. Now Annette was a person to me, standing right there, and not just an oh-my-God-have-you-heard, and I tried to put it together in my head, the print and the negative, the boyfriend and the celebrity shadow, like Theodora Sire sat next to me in history, borrowing pencils, but was still a movie star above my bed. Because as you came out of the dark to me, you were the boy I was kissing and wanted to kiss more, back to find me at a party like anybody might do, but you were Ed Slaterton too, and not the cad you are now, but just Ed Slaterton, co-captain, with a beer in your hand and Jillian Beach on your arm.
according to the Muwatta by Malik ibn Anas|There is one thing only which a Muslim can profitably learn from the west, the exact sciences in their pure and applied form. Only natural sciences and mathematics should be taught in Muslim schools, while tuition of European philosophy, literature and history should lose the position of primacy which today it holds on the curriculum.
George Eliot, Adam Bede|The opinion of the majority or the minority is of no importance! The important thing is the opinion of the Truth, of the Reason, of the Logic, of the High Intelligence!
Mehmet Murat ildan|In the long run, you see, none of that matters.I've seen Heaven, Dowling. And it's not a place where you exercise any power.In the long run, we are all three-dimensional side-effects of a two-dimensional universe existing in a multidimensional stack.
Larry Burkett|When you don't know what the answer is, you know *Who* the answer is.
1 Minuto na Palma da Mão|Valuing your LIFE, what do you believe in? In the destination or in YOU?
Pramoedya Ananta Toer|I've often heard people say, “Your country is beautiful, a virtual paradise.” When will the people of Indonesia be as beautiful as their land, with a civilization and culture that contributes to the greater beauty of humankind and no longer smothers and strangles the mind?
Scott Adams, How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life|Of the big five factors in happiness—flexible schedule, imagination, diet, exercise, and sleep—my pick for the most important is exercise.
Jen Naumann, The Day Zombies Ruined My Perfectly Boring Life|A pang of deep longing ripples through me. I’m torn between my promise to send Aydan to the Abyss and my need to keep him safe. The opposing forces fragment what remains of my mind, breaking me down once again.
Charles Kennedy|Mapping does not purport to create an idealistic vision where all teachers agree, love one another, and gather around a campfire and sing 'Curriculum Kumbaya.' What it can develop is a sense of place, of respect, and of new grounds for discussion, disputes, and direction.
Brenda H Sedgwick|Thank God it wasn’t beef jerky, or I might’ve ended up dead." "The President's Neighbor" a comedy script by Brett Bacon.
J.M. Barrie, Peter Pan|The individual has always had to struggle to keep from being overwhelmed by the tribe. To be your own man is hard business. If you try it, you will be lonely often, and sometimes frightened. But no price is too high to pay for the privilege of owning yourself.
Colson Whitehead, The Underground Railroad|Cora had heard Michael recite the Declaration of Independence back on the Randall plantation many times, his voice drifting through the village like an angry phantom. She didn't understand the words, most of them at any rate, but 'created equal' was not lost on her. The white men who wrote it didn't understand it either, if 'all men' did not truly mean all men.
C.S. Lewis, On the Incarnation|We may be sure that the characteristic blindness of the twentieth century - the blindness about which posterity will ask, "But how could they have thought that?" - lies where we have never suspected it... None of us can fully escape this blindness, but we shall certainly increase it, and weaken our guard against it, if we read only modern books. Where they are true they will give us truths which we half knew already. Where they are false they will aggravate the error with which we are already dangerously ill. The only palliative is to keep the clean sea breeze of the centuries blowing through our minds, and this can be done only by reading old books.
Ellie Williams|There should be more to writing than entertaining an already-brain-dead society and making money. If not,then you miss the point of writing.
John F. Kennedy|I never feel lonely if I've got a book - they're like old friends. Even if you're not reading them over and over again, you know they are there. And they're part of your history. They sort of tell a story about your journey through life.
Penelope Douglas, Until You|I call it the “Fuck up, own up, and get up” policy. Make a mistake, admit it, and move on. We all screw up, but a man solves his problems. He doesn’t make them worse.
Noah Webster|No white group has founded a major religion on this planet. The major religious were started in the Orient and the Middle East, not in Greece and Rome. I always knew you racists didn't have a prayer.
Pearl Zhu, Digital Valley: Five Pearls of Wisdom to Make Profound Influence|The real direction of your vision is as important as your vision. Notwithstanding how large the goal post might be, the power behind your shots least matter as its direction, for it is more of the direction that will determine the goals you shall score and the final score in the end
Amélie Nothomb, Hygiène de l'assassin|As far as you are able to gather from hints scattered through these letters, Apocryphal Power, riven by internecine battles and eluding the control of its founder, Ermes Marana, has broken into two groups: a sect of enlightened followers of the Archangel of Light and a sect of nihilist followers of the Archon of Shadow. The former are convinced that among the false books flooding the world they can track down the few that bear a truth perhaps extrahuman or extraterrestrial. The latter believe that only counterfeiting, mystification, intentional falsehood can represent absolute value in a book, a truth not contaminated by the dominant pseudo truths.
Rick Riordan, The Blood of Olympus|There's no guarantee that justice will win out or that a noble sacrifice will make any difference. But when it does, there's something that still swells my chest. There's magic in that.... It tells me that's the way things are supposed to be. 
Erin Hunter, The Last Hope|Putting his head down on the dog's neck, he vowed to himself fervently that he would always have some money on hand, no matter what became of him, so that he would be able to protect all that was truly valuable from the practical people in the world.
Roone Arledge|If you have one good idea, people will lend you twenty.
Alireza Salehi Nejad|Pride rises above and against the knowledge of God, acting as if He is unworthy to be retained in our thoughts.
Thomas Malthus|The greater the step forward in knowledge, the greater is the one taken backward in search of wisdom.
Sujit Lalwani, Life Simplified!|All have dreams, live for them, They add meaning to LIFE.The only thing that differentiates us from other beings is the fact that us can DREAM!!!
George Orwell, 1984|She thought of Aziza's stutter, and of what Aziza had said earlier about fractures and powerful collisions deep down and how sometimes all we see on the surface is a slight tremor.
Lesa Howard, Phantom's Dance|Phineas created an atmosphere in which I continued now to live, a way of sizing up the world with erratic and entirely personal reservations, letting its rocklike facts sift through and be accepted only a little at a time, only as much as he could assimilate without a sense of chaos and loss.
William Penn|A true friend unbosoms freely, advises justly, assists readily, adventures boldly, takes all patiently, defends courageously, and continues a friend unchangeably
andyoureturntome|But morning casts a harsh light over things, and the stark reality is that some things are easier to walk away from than to lose forever. But that doesn’t mean that this doesn’t hurt.
Josephine Baker|If they want peace, nations should avoid the pin-pricks that precede cannon shots.
Geoff Dyer, Out of Sheer Rage: Wrestling With D.H. Lawrence|A person who does not get attached to anything, and never forgets to do his duty, will achieve everything.
Daniel Younger, Zen and the Art of Cannibalism: A Zomedy|Little is known about the love lives of the undead. Really, past the brain-eating, reanimated corpse angle, not much is said for the zombie’s perspective. So they ate brains—big deal! Sure, they were corpses—so what? Indeed, there was the smell, but whose fault was that?At first glance they were brain-hungry cannibals, (Mmm, brains. Maybe with a little cilantro or a garlic rub—mashed potatoes and brainsloaf—brains pot pie—penne a la brains...) but in reality, zombies were not the mindless man-eaters or virus-addled lunatics jonesing for human flesh depicted in the movies. Just like everything in life—or rather, unlife—things were more complicated. Zombies were, until very recently, people. And with that came wants, desires, longings. Needs.Asher had been troubled by the zombie loneliness until Brenda, the attractive corpse he’d met in a less animated state earlier, pulled him into the cemetery, threw him down on a slab and shagged him silly.
Rick Yancey, The 5th Wave|If you don't kill all of us all at once, those who remain will not be the weak.It's the strong who remain, the bent but unbroken, like the iron rods that used to give this concrete its strength.
Maxwell Maltz, The New Psycho-Cybernetics: The Original Science of Self-Improvement and Success That Has Changed the Lives of 30 Million People|A human being always acts and feels and performs in accordance with what he imagines to be true about himself and his environment...For imagination sets the goal ‘picture’ which our automatic mechanism works on. We act, or fail to act, not because of ‘will,’ as is so commonly believed, but because of imagination.
Dada Bhagwan|When unity of the mind, speech and body occurs, God has called that the ‘foremost’ religion. If they do not remain in unison, you should maintain the intent of ‘I want to keep them in unison’; then some day it will come into fruition if this resolve is there.
Dixie Waters|You lost all interest in this world. You were disappointed and discouraged, and lost interest in everything. So you abandoned your physical body. You went to a world apart and you’re living a different kind of life there. In a world that’s inside you.
Charles   Lee, The Way To Dawn: End of Days|As I walked with my arms crossed to keep warm, I felt myself going numb. How long was I gone, I wondered. A few hours? Minutes? Days? There was no way to know. Maybe I was locked in that darkness all along and just woke from my dream... A marvelous dream.
D.H. Lawrence|Of course , if I am nothing but an ego, and woman is nothing but another ego, then there is really no vital difference between us. Two little dolls of conscious entities, squeaking when you squeeze them. And with a tiny bit of an extraneous appendage to mark which is which...
Mimi Strong, The Kissing Coach|And this is the potency a first kiss should have: it should be earned. The moments leading up to it should be as tense as a crossbow drawn back. The reader should want it as badly as the hero and heroine, and feel as satisfied and transported and transformed as the hero and heroine in the wake of it. There are different ways to use kisses in a romance, but that first kiss is so meaningful, a pinnacle, and can be more intimate than sex.
M. Fethullah Gülen, Speech and Power of Expression: On Language, Esthetics, and Belief|Poetry can be more eloquent than the most eloquent sermons, and it becomes a weapon more formidable than the sharpest of swords; whenever such a poem--which finds its correct tune and conveys the excitement of the heart--rings out, all the miserable, heaped drifts of words fly for shelter and bury themselves in ashamed silence. Whenever such a sword of poetry is drawn from its scabbard, all the false princes of words, who have set their thrones on a void, are thwarted and retreat into seclusion.
Lisa Yee, Stanford Wong Flunks Big-time|Gus and I talk about girls a lot, but we can't figure them out. They are so confusing. Like, if you look at them, they get mad. And if you don't look at them, they get mad. And if you're nice to them, they think you like them. And if you're mean to them, they think you like them. And if you do like them, they think you hate them.
Myles Munroe|Time to open up a new chapter in life, and to explore a larger centre.
Rashmi Rathi, Karma isn't such a bitch!|If one looks at it with his bare eyes then one can only see a stream of running water coming down the mountain. But, if one can verily perceive it through the eyes of wisdom then this tiny stream of water has the might of taking on any obstacles; big boulders, trees, anything that comes within its course. And why does it have the might? Because it adjusts its course when faced with any obstacles. Water just flows, naturally. It doesn’t see a challenge in the obstacles. It doesn’t say to the obstacle “You are in my way. Please move aside so that I can proceed further.” No! When faced with an obstacle, it changes its course slightly, but, never stops flowing. Its primary aim is to flow to its destination and not to get embroiled with obstacles. And all this is possible because it has been endowed with this wonderful ability to change course.
William Krystol|Reagan is described as "delivering Barry Goldwater's doctrine with John F. Kennedy's technique.
Barry B. Powell, Classical Myth|As you set out on your journey to Ithaca,pray that your journey be a long one,filled with adventure, filled with discovery.Laestrygonians and Cyclopes,the angry Poseidon--do not fear them:you'll never find such things on your wayunless your sight is set high, unless a rareexcitement stirs your spirit and your body.The Laestrygonians and Cyclopes,the savage Poseidon--you won't meet themso long as you do not admit them to your soul,as long as your soul does not set them before you.Pray that your road is a long one.May there be many summer morningswhen with what pleasure, with what joy,you enter harbors never seen before.May you stop at Phoenician stations of trade to buy fine things,mother of pearl and coral, amber and ebony,and voluptuous perfumes of every kind--buy as many voluptuous perfumes as you can.And may you go to many Egyptian citiesto learn and learn from those who know.Always keep Ithaca in your mind.You are destined to arrive there.But don't hurry your journey at all.Far better if it takes many years,and if you are old when you anchor at the island,rich with all you have gained on the way,not expecting that Ithaca will give you wealth.Ithaca has given you a beautiful journey.Without her you would never have set out.She has no more left to give you.And if you find her poor, Ithaca has not mocked you.As wise as you have become, so filled with experience,you will have understood what these Ithacas signify.
Kimberly Giles, Choosing Clarity: The Path to Fearlessness|Be a good person, do good things, learn, and love other people, but do these things because you love yourself, God, life and people, not because you fear going to hell if you don’t. Keep the commandments (or whatever tenets you believe) because you want to be happy. Do it for you. God and the universe will unconditionally love you no matter which path you choose. You can learn whatever lessons you choose for yourself. If you want to learn things the hard way and experience fear, guilt and shame that is okay. But nothing you do (or don’t do) can separate you from love.
Alex Scarrow, The Eternal War|In a world turned upside-down, where everything was wrong, bizarre, you could at least look up at the sky and see normality. Stars that shone regardless of who won a civil war, or who should or should not be a president. Their light was billions of years old. They didn't have a care...
RVM|In Life, while you must achieve and you must do your best to achieve, don’t forget to enjoy Life because the Journey will be soon over.
Zoë Heller, What Was She Thinking? [Notes on a Scandal]|A sampler of England's hottest 'chefs' would include a mostly hairless young blond lad named Jamie Oliver, who is referred to as the Naked Chef. As best as I can comprehend, he's a really rich guy who pretends he scoots around on a Vespa, hangs out in some East End cold-water flat, and cooks green curry for his 'mates'. He's a TV chef, so few actually eat his food. I've never seen him naked. I believe the 'Naked' refers to his 'simple, straightforward, unadorned' food; though I gather that a great number of matronly housewives would like to believe otherwise. Every time I watch his show, I want to go back in time and bully him at school.
