|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Donald Bradman|In the closeness of the passage, the queen could smell the other woman's perfume, a musky scent that spoke of moss and earth and wildflowers. Under it, she smelled ambition.
Chris Dee, World's Finest: Red Cape, Big City|The Batcave is a monument… to his pain. The cave is more than his war room. He might think of it that way, all the tools and resources he’s assembled for his work. But that’s not it at all. The Batcave is a monument to his pain. And this morning, the way he’s hurting, it was the last place he would come.
Jeannie Davide-Rivera, Twirling Naked in the Streets and No One Noticed: Growing Up With Undiagnosed Autism|I fear depression - intensely. It is by far the most painful ailment I have ever faced. It is the thing that slammed into me, ran me over repeatedly, and then kicked me in the head when I was down. I struggled for change, for understanding, to figure out what was "wrong" with me - no one knew. Or at least, they didn't guess correctly.
Ahmed Alibage|According to the reality, I assume that we are not going to meet again. Yet, I do believe that we have met for a reason
Mary E. Pearson, The Kiss of Deception|The fate of all things cherished and expensive, to be lost at hazard, and well before their time
Janet Evanovich, Eleven on Top|Ignore him," Heather begged. "I do. Constantly." Jean-Luc studied the coach, then turned to Heather with a wary look. "Every man in this town wants you." She laughed. "Yea, right. The old guys from the nursing home go into cardiac arrest whenever I walk by." His gaze drifted over her. "I can believe that.
Mohammed Zaki Ansari|Life is not about in what we are living , in happy or in pain,in poor or rich,but its all about how we are living ,index of human is only honesty in character and self respect, Best Thing we can do in life its honesty,honesty with Self and with others also But we Can't be honest with others if we are not with our self, Our Soul Leave our body when we die,but our soul meet with us when we on death bed.
Anne Lamott, Bird by Bird: Some Instructions on Writing and Life|Toni Morrison said, "The function of freedom is to free someone else," and if you are no longer wracked or in bondage to a person or a way of life, tell your story. Risk freeing someone else. Not everyone will be glad that you did. Members of your family and other critics may wish you had kept your secrets. Oh, well, what are you going to do? Get it all down. Let it pour out of you and onto the page. Write an incredibly shitty, self-indulgent, whiny, mewling first draft. Then take out as many of the excesses as you can.
Aria Kane, Once Upon a Darkness|Gretchen," Clint said, his voice full of the same luscious agony Gretchen felt building inside of her. "I'm going to kiss you." He was giving her one last chance to back out, to push him away. That was not going to happen.Her mouth twisted with amusement. "Not if I kiss you first.
Aditya Ajmera|Amidst all the bacchanal and confusion in your life, find something to be grateful for, even if it is the air that you breath and trust me, this will transform you in some small way. Gratitude is really really the great multiplier.
Philip K. Dick, VALIS|Fear can make you do more wrong than hate or jealousy... fear makes you always, always hold something back.
Anna Smaill, The Chimes|Darwin said if you made a list of eminent men, next of a list of eminent women, it was obvious that men were better at everything.
Shayne Silvers, Obsidian Son|Love is precious, and shouldn’t be wasted on every passing whim, or it will mean nothing by the time you truly wish to share it with someone who matters.” I said softly.Silvers, Shayne (2012-10-08). Obsidian Son: A Novel In The Nate Temple Supernatural Thriller Series (The Temple Chronicles Book 1) (p. 194). Argento Publishing. Kindle Edition.
Margaret Atwood, The Handmaid's Tale|Falling in love, we said; I fell for him. We were falling women. We believed in it, this downward motion: so lovely, like flying, and yet at the same time so dire, so extreme, so unlikely. God is love, they once said, but we reversed that, and love, like heaven, was always just around the corner. The more difficult it was to love the particular man beside us, the more we believed in Love, abstract and total. We were waiting, always, for the incarnation. That word, made flesh.And sometimes it happened, for a time. That kind of love comes and goes and is hard to remember afterwards, like pain. You would look at the man one day and you would think, I loved you, and the tense would be past, and you would be filled with a sense of wonder, because it was such an amazing and precarious and dumb thing to have done; and you would know too why your friends had been evasive about it, at the time.There is a good deal of comfort, now, in remembering this.
Hunter S. Thompson|If one has curiosity, then one stands the chance of attain a high level of scientific inquiry.
Charbel Tadros|Some people are not meant to live together, for they will destroy one another and annihilate themselves. Wolves and sheep cannot be put in the same place, for after eating the sheep, the wolves will starve to death.
Ray Bradbury, Fahrenheit 451|Words provide a voice to our deepest feelings. I tell you, words have started and stopped wars. Words have built and lost fortunes. Words have saved and taken lives. Words have won and lost great kingdoms. Even Buddha said, 'Whatever words we utter should be chosen with care, for people will hear them and be influenced by them for good or ill.
Beth Revis, The Body Electric|We are, at least in part, who we remember ourselves to be. Take away our memories, and you take away our selves.
Abhijit Naskar|Biologically speaking, you are the child of Mother Nature, and neurologically speaking, you are the heirs of immortal bliss.
David Carson|Inspiration comes from within yourself. One has to be positive. When you're positive, good things happen.
Lauren Oliver, Requiem|With the cure, relationships are all the same, and rules and expectations are defined. Without the cure, relationships must be reinvented every day, languages constantly decoded and deciphered. Freedom is exhausting.
Richard Wright, Black Boy|If I'm walking down an American street and anyone darker than a peanut shell approaches, I'll say, "Hello." This because, if I don't say it, he or she might think that I'm anxious. Which, of course, I must be, otherwise I'd walk by in silence, just as I do with my fellow Caucasians.Does this make me racist, or simply race conscious? Either way, I'm more afraid of conservatives than I am of black people.
Aisha Tyler|I've always loved video games. I played 'Ms. Pac-man' with my dad, and I Ioved 'Galaga' and 'Tempest' and grew up on the standing arcade games. Even to this day, my dad will call me if he's playing 'Ms. Pac-man' and hold the phone up to the game.
The Catholic Church, Liturgy of the Hours|Make us love and obey you so that the works of our hands may always display what your hands have done, until we gaze upon the beauty of your face.
Lois McMaster Bujold, Paladin of Souls|The wheel of Rome spins constantly. Gods rise and fall, mortals live and die, and round and round we go. We all play a part in that wheel... And I make sure the wheel never stops spinning. You see, if the wheel stops, balance is lost.
Matthew Arnold, Dover Beach and Other Poems|Ah, love, let us be true To one another! for the world, which seems To lie before us like a land of dreams, So various, so beautiful, so new, Hath really neither joy, nor love, nor light, Nor certitude, nor peace, nor help for pain; And we are here as on a darkling plain Swept with confused alarms of struggle and flight, Where ignorant armies clash by night.
Kate Chopin|What did it matter! What could love, the unsolved mystery, count for in face of this possession of self-assertion which she suddenly recognized as the strongest impulse of her being! Free! Body and soul free! She kept whispering.
Mauricio Macri|The more anxious, isolated and time-deprived we are, the more likely we are to turn to paid personal services. To finance these extra services, we work longer hours. This leaves less time to spend with family, friends and neighbors; we become less likely to call on them for help, and they on us.
Zaeema J. Hussain, The Sky Is Purple|I am no longer a writer. Just an emotion. An emotion that is unable to stay within its own body, and is therefore, trying to make its way into yours.
Richelle E. Goodrich, Making Wishes|It is an incapacitating emotion one feels upon hearing the whispered words "I still love you" after deeply hurting that soul. Forgiveness isn't weakness.It is power.
Charles S. Stamper, DAILY VICTORY: 40 Day Devotional Inspired by the United States Armed Forces|The answer is always "No" until you ask. - Ref James 4:2
William James, The Principles of Psychology, Vol 1|Metaphysics means nothing but an unusually obstinate effort to think clearly. The fundamental conceptions of psychology are practically very clear to us, but theoretically they are very confused, and one easily makes the obscurest assumptions in this science without realizing, until challenged, what internal difficulties they involve.
Jaeda DeWalt|Art invites us to become explorers and excavators of our vast internal landscapes, discovering new terrain and digging deep into the past to unearth forgotten experiences and emotion.
Angelina Jolie|Even modern English people are imperious, superior, ridden by class. All of the hypocrisy and the difficulties that are endemic in being British also make it an incredibly fertile place culturally. A brilliant place to live. Sad but true.
Richard Carmona|Accountants, machinists, medical technicians, even software writers that write the software for 'machines' are being displaced without upscaled replacement jobs. Retrain, rehire into higher paying and value-added jobs? That may be the political myth of the modern era. There aren't enough of those jobs.
Geoff Dyer, Out of Sheer Rage: Wrestling With D.H. Lawrence|My greatest urge in life is to do nothing. It's not even an absence of motivation, a lack, for I do have a strong urge: to do nothing. To down tools, to stop. Except I know that if I do that I will fall into despair, and I know that it is worth doing anything in one's power to avoid depression because from there, from being depressed, it is only an imperceptible step to despair: the last refuge of the ego.
John Shelby Spong|As he becomes self-conscious, he's no longer part of nature.
Guru Nanak, Sri Guru Granth Sahib|For each and every person, our Lord and Master provides sustenance. Why are you so afraid, O mind? The flamingos fly hundreds of miles, leaving their young ones behind. Who feeds them, and who teaches them to feed themselves? Have you ever thought of this in your mind?
Terry Pratchett|You used," he said, and then took a sharp breath, "to call me Augustus.
Pablo Picasso Infant Toddler Center|The only disability that I have, is that I'm human.
Andrew Stephen Damick, Orthodoxy and Heterodoxy: Finding the Way to Christ in a Complicated Religious Landscape|The gross national product does not allow for the health of our children, the quality of their education or the joy of their play. It does not include the beauty of our poetry or the strength of our marriages; the intelligence of our public debate or the integrity of our public officials...it measures everything, in short, except that which makes life worthwhile.
Ellie Marney, Every Breath|We live in a world full of duplicity.We are surrounded by people with duplicitous nature.They will be shooting arrows to question our honesty at every step we make.Therefore,it is our duty to protect ourselves by using our integrity as an armor and march forward, victoriously.
Jenni Rivera, Unbreakable: My Story, My Way|I vowed that I would never tell anyone of my shame. They say that when you kept a secret, it eats you up inside, but I felt it was better that way. I wanted to appear strong in front of my children and my family. I didn't want anybody to know. And I would maintain my persona as Jenni, the Rivera Rebel who had never lost a fight. But deep down inside I knew I had lost a piece of myself that I would never recover. My soul had been shattered, but to the outside world I did just as I had been taught since I was a little girl; I kept my head up and continued forward. It is, after all, the Rivera way.
Chila Woychik, On Being a Rat and Other Observations|The unrelenting grip of Soldier’s Syndrome slips finger by slow finger. The marrow’s been affected—emotional leukemia at the deepest level. Transplants of love and friendship aid healing, yet time is still key, and the clock never ticks fast enough. Eternity gains perspective when seconds feel like years. How long have I been gone? Six eternities and counting.
Epictetus, Discourses and Selected Writings|The work is at such a high level and is so well executed, it really is a matter of taste... [Source: Project Runway — but consider, applied to the theme of book reviews, it seems apropos!]
Arthur Golden, Memoirs of a Geisha|I knew even then that she was right. An en is a karmic bond lasting a lifetime. Nowadays many people seem to believe their lives are entirely a matter of choice; but in my day we viewed ourselves as pieces of clay that forever show the fingerprints of everyone who has touched them. Nobu's touch had made a deeper impression on me than most. No one could tell me whether he would be my ultimate destiny, but I had always sensed the en between us. Somewhere in the landscape of my life Nobu would always be present. But could it really be that of all the lessons I'd learned, the hardest one lay just ahead of me? Would I really have to take each of my hopes and put them away where no one would ever see them again, where not even I would ever see them?
Elon Musk|I live a fairly simple life, and that didn't change much after I sold TechCrunch in 2010. I didn't buy a new house or even a new car. The one thing I did splurge on was a boat. Nothing too fancy or large.
Arturo Pérez-Reverte, The Flanders Panel|What I feel is that if one has got to have a murder actually happening in one's house, one might as well enjoy it, if you know what I mean.
Rachel Johnson|I live in a sort of insular world. It's mostly my family, my house, staying home and working.
Samuel Johnson|Resolve not to be poor: whatever you have, spend less. Poverty is a great enemy to human happiness; it certainly destroys liberty, and it makes some virtues impracticable, and others extremely difficult.
John  Williams|You must remember what you are and what you have chosen to become, and the significance of what you are doing. There are wars and defeats and victories of human race that are not military and that are not recorded in the annals of history. Remember that while you're trying to decide what do. - Archer Sloane from the book Stoner.
Benson Bruno, A Story That Talks about Talking Is Like Chatter to Chattering Teeth, and Every Set of Dentures Can Attest to the Fact That No..|When a lack of white blood cells exposes the horizon of being, one has to make a choice. To cloister yourself away in a germ-free environment, alive but alone, or to embrace the woman you love and catch your death of cold at the marriage ceremony? What a great show. It’s inner-directed script was unmatched by any other soap opera.
Dave Cullen, Columbine|One thoughtful Evangelical pastor said he approved of using the massacre for recruitment, as long as it was truly done for God. He bristled at "spiritual headhunters, just racking up another scalp. The Bible was never meant to be a club," he said. "If I'm using it as a weapon, that's really sad.
Ellen G. White|In the Christian faith, God really puts suffering front and center. He doesn't get squeamish about it.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|If you believe in your dream with all your heart, you can achieve it.
Marcia Gay Harden|Someone once told me I'm a sore winner, and they're right. I rarely take more than a moment to enjoy a success before I'm moving on and looking for the next challenge.
Cat Stevens|Anytime I fall in love, I feel it's a first time. I have had no successful love story yet. I hope I will succeed next time when I fall in love.
Jeanette Winterson, Why Be Happy When You Could Be Normal?|I know now, after fifty years, that the finding/losing, forgetting/remembering, leaving/returning, never stops. The whole of life is about another chance, and while we are alive, till the very end, there is always another chance.
Kate Bush|I don't believe my house was haunted. I think I had an overactive imagination, and I was so convinced that those around me became convinced, too.
C. Robert Cargill, Dreams and Shadows|You know better than anyone that nothing lasts. Nothing good. Nothing bad. Everything lives. Everything dies. Sometimes cities just fall into the sea. It's not a tragedy, that's just the way it is. People look around them and see the world and say this is how the world is supposed to be. Then they fight to keep it that way. They believe that this is what was intended - whether by design or cosmic accident - and that everything exists in a tenuous balance that must be preserved. But the balance is bullshit. The only thing constant in this world is the speed at which things change. Rain falls, waters rise, shorelines erode. What is one day magnificent seaside property in ancient Greece is the next resting thirty feet below the surface. Islands rise from the sea and continents crack and part ways forever. What was once a verdant forest teeming with life is now resting one thousand feet beneath a sheet of ice in Antarctica; what was once a glorious church now rests at the bottom of a dammed-up lake in Kansas. The job of nature is to march on and keep things going; ours is to look around, appreciate it, and wonder what's next?
Susan Faludi, In the Darkroom|The camera only documented what had been there all along, a marriage whose foundations, constructed from the cheap materials of convention and fear, had been buckling for years.
Virginia Woolf, Orlando|As long as she thinks of a man, nobody objects to a woman thinking.
Dito Montiel, A Guide to Recognizing Your Saints|We were all the same. Kids from nowhere going nowhere. He always saw a light through the darkness. Knew the cracks let that light in, and that those cracks could suck you up.
Iain Banks, The Player of Games|...for all its apparent speed, the ship was almost perfectly silent, and he experienced an enervating, eerie feeling, as though the ancient warship, mothballed all those centuries, had somehow not yet fully woken up, and events within its sleek hull still moved to another, slower tempo, made half of dreams.
Aniruddha Sastikar|Oh, I have always been proud, I always wanted all or nothing! You see it was just because I am not one who will accept half a happiness, but always wanted all
David Platt, Radical: Taking Back Your Faith from the American Dream|My biggest fear, even now, is that I will hear Jesus' words and walk away, content to settle for less than radical obedience to Him. 
Lailah Gifty Akita|If we obey God, we will be happy.
Ursula K. Le Guin, The Dispossessed|You can go home again, the General Temporal Theory asserts, so long as you understand that home is a place where you have never been.
Eugene Mirman, The Will to Whatevs: A Guide to Modern Life|If things are really overwhelming and you need to talk, you can give me a call at 347-273-2044.
Michael Treanor|When I think I can’t go anymore, I go anyway.
Abraham Lincoln|Hypocrite: The man who murdered his parents, and then pleaded for mercy on the grounds that he was an orphan.
Deyth Banger|People make moves like the Pawn.(Let's go in the real world, look how they walk, from one up two max blocks they can take... so far it's sounds like the moves of pawn. People can be the king and the queen...)
Shia LaBeouf|They're very, uh, you know, I don't come from the suburbs and a jolly, Disney type of lifestyle. I come from something totally different. And they're cool and bare minimum so it's not always a money issue for me.
Joe Perry|I don't believe in having one partner for your whole life, but I hope I get married. I want to have a husband and two kids and a nice little life baking pies. I'm quite romantic. It's definitely important to have someone make you feel special.
Jeff Nichols|I think that overall, the position - on a whole host of issues - should always be toward inclusion and equality.
Norton Juster, The Phantom Tollbooth|But why do only unimportant things?" asked Milo, who suddenly remembered how much time he spent each day doing them."Think of all the trouble it saves," the man explained, and his face looked as if he'd be grinning an evil grin--if he could grin at all. "If you only do the easy and useless jobs, you'll never have to worry about the important ones which are so difficult. You just won't have the time. For there's always something to do to keep you from what you really should be doing, and if it weren't for that dreadful magic staff, you'd never know how much time you were wasting.
Mark Twain|I had everything I'd hoped for, but I wasn't being myself. So I decided to be honest about who I was. It was strange: The people who loved me for being funny suddenly didn't like me for being... me.
Harry Kane|When I'm getting a chance to do my job or make somebody's day, and be on stage where I love, and see all the fans having fun, you can't help but smile.
Annette Vaillancourt, How to Manifest Your Soulmate with Eft: Relationship as a Spiritual Path|You will be my first, will definitively be my last, perpetually my everything.
H.S. Crow, Lunora and the Monster King|Long ago, there was a dream within a dream that allowed joy to reign, but that youthful breath drifted away as swiftly as a summer rain. There was nothing left after the dawn, except for a world darkened by a King’s broken heart. Now only Morpheus induced silhouettes dance in these lightless plains. They dance in sequence to the sound of time – unmoved by existence – trapped in a single thought I hope lies within you.
Charmaine J Forde|Sometimes you don’t know what you’re looking for until you find it,” Harry answered. “It’s a methodology.
William Hazlitt, Plain Speaker|The perceiving our own weaknesses enables us to give others excellent advice, but it does not teach us to to reform ourselves.
Janett Lee Wawrzyniak, Secret Terror In Wavelengths - Wave Links|That lady has a piano.It’s nice, but it’s not the running of riversOr the murmuring trees make ..Who needs a piano?It’s better to have earsAnd love Nature.
Alyssa Hubbard|Writers are creatures of habit, as are humans, but writers aren’t necessarily human, are they?
Taona Dumisani Chiveneko, Sprout of Disruption|Graves leaned forward, eyeing me. “Hey, Dru. You were French-kissing awinged snake. Creeptastic.
Thomas Daniel Nehrer, The Illusion of "Truth": The Real Jesus Behind the Grand Myth|Yet, reality operates in a consistent way – the same physical, interactive functions are in play for every conscious human in existence. If religion reflected reality as it actually works, all religions would be the same: accurate rendering in words depicting life’s real flow
J.D. Salinger, The Catcher in the Rye|I'm not good, of course; I wouldn't give a fig to be good. So it's not vanity. It's on a far grander scale; a splendid selfishness, - authorized, too; and papa and mamma brought me up to worship beauty, -and there's the fifth commandment, you know.
Wallace Stegner, Angle of Repose|[Y]ou were too alert to the figurative possibilities of words not to see the phrase [angle of repose] as descriptive of human as well as detrital rest. As you said, it was too good for mere dirt; you tried to apply it to your own wandering and uneasy life ... I wonder if you ever reached it.
K.J. Charles|Merrick and I had both had tattoos, my magpie and his elephant and castle, imposed on us as…it’s a long story. A reward, or apology, or both, from the Dragon Head, or grand master, of one of the larger criminal organisations in China after we accidentally saved his son’s life.”“Accidentally?”“It’s a VERY long story.
Dean King, Skeletons on the Zahara: A True Story of Survival|No guile? Nay, but so strangely He moves among us. . Not this Man but Barabbas! Release to us Barabbas!
Martin Chalfie|Science has always been my preoccupation and when you think a breakthrough is possible, it is terribly exciting.
Israelmore Ayivor, The Great Hand Book of Quotes|The day you stop learning is the day you begin to die. Lack of knowledge is the fundamental principle for killing "alive and kicking" dreams.
William Shakespeare, Troilus and Cressida|Cressida: My lord, will you be true?Troilus: Who, I? Alas, it is my vice, my fault:Whiles others fish with craft for great opinion,I with great truth catch mere simplicity;Whilst some with cunning gild their copper crowns,With truth and plainness I do wear mine bare.Fear not my truth: the moral of my witIs "plain and true"; there's all the reach of it.
Hiroko Sakai|Do not keep the slanderer away,treat him with affection and honor:Body and soul, he scours all clean,babbling about this and that.
Kyoko M., The Black Parade|Obsessed with Christine to the end, his last statement as he left his cell was, 'to kill is the final possession'. But Muldowney was wrong. He had never possessed Christine; the resistance burning within her was too great.
Thomas Jefferson|‎We must make our choice between economy and liberty or confusion and servitude...If we run into such debts, we must be taxed in our meat and drink, in our necessities and comforts, in our labor and in our amusements...if we can prevent the government from wasting the labor of the people, under the pretense of caring for them, they will be happy.
James  Pratt, The Woman in the Portrait|If on thoughts of death we are fed,Thus, a coffin, became my bed.
Aguidon|If then the power of speech is as great as any that can be named,—if the origin of language is by many philosophers considered nothing short of divine—if by means of words the secrets of the heart are brought to light, pain of soul is relieved, hidden grief is carried off, sympathy conveyed, experience recorded, and wisdom perpetuated,—if by great authors the many are drawn up into unity, national character is fixed, a people speaks, the past and the future, the East and the West are brought into communication with each other,—if such men are, in a word, the spokesmen and the prophets of the human family—it will not answer to make light of Literature or to neglect its study: rather we may be sure that, in proportion as we master it in whatever language, and imbibe its spirit, we shall ourselves become in our own measure the ministers of like benefits to others—be they many or few, be they in the obscurer or the more distinguished walks of life—who are united to us by social ties, and are within the sphere of our personal influence.
Jiddu Krishnamurti, Freedom from the Known|We need a tremendous amount of energy and we dissipate it through fear but when there is this energy which comes from throwing off every form of fear, that energy itself produces the radical inward revolution.
Gary   Hopkins|Removing toxicity from your life is essential to maintaining a peaceful state of mind and an overall quality of health. This purging can and should include any detrimental habits, including negative, controlling, and abusive people. Once you start living an empowered lifestyle that supports your own higher balance, you will find it to be an easy transition from the negative to the positive in every aspect of your life
Ta-Nehisi Coates|Syria may appear to be a small country, but it is just the type of entangled conflict that can lead to a world catastrophe. It does not take much imagination to see Syria as the Sarajevo of the 21st century, leading to world war.
Saul Kripke|Never ever doubt in magic. The purest honest thoughts come from children, ask any child if they believe in magic and they will tell you the truth.
Terry Eagleton, Literary Theory: An Introduction|In South Africa, they dig for diamonds. Tons of earth are moved to find a little pebble not as large as a little fingernail. The miners are looking for the diamonds, not the dirt. They are willing to lift all the dirt in order to find the jewels. In daily life, people forget this principle and become pessimists because there is more dirt than diamonds. When trouble comes, don’t be frightened by the negatives. Look for the positives and dig them out. They are so valuable it doesn't matter if you have to handle tons of dirt.
Zack Love, Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC|The male tax?”“Yeah. The tax that men have to pay for not having to menstruate every month. Or risk getting pregnant. Or deal with the physically stronger sex in a macho world… Women have to put up with all that stuff, so the least we men can do is pay the male tax and get the tab.
Hillary Rodham Clinton|You know, to just be grossly generalistic, you could put half of Trump’s supporters into what I call the basket of deplorables. Right? The racist, sexist, homophobic, xenophobic, Islamophobic — you name it. And unfortunately there are people like that. And he has lifted them up. He has given voice to their websites that used to only have 11,000 people — now 11 million. He tweets and retweets their offensive, hateful, mean-spirited rhetoric. Now some of those folks — they are irredeemable, but thankfully they are not America.But the other basket — and I know this because I see friends from all over America here — I see friends from Florida and Georgia and South Carolina and Texas — as well as, you know, New York and California — but that other basket of people are people who feel that the government has let them down, the economy has let them down, nobody cares about them, nobody worries about what happens to their lives and their futures, and they’re just desperate for change. It doesn’t really even matter where it comes from. They don’t buy everything he says, but he seems to hold out some hope that their lives will be different. They won’t wake up and see their jobs disappear, lose a kid to heroin, feel like they’re in a dead end. Those are people we have to understand and empathize with as well.
Mandy Hale|It's not selfish to love yourself, take care of yourself, and make your happiness a priority. It's necessary.
Bram Stoker, Dracula|Euthanasia" is an excellent and comforting word! I am grateful to whoever invented it.
Arthur Schopenhauer, Studies in Pessimism: The Essays|If you want a safe compass to guide you through life, and to banish all doubt as to the right way of looking at it, you cannot do better than accustom yourself to regard this world as a penitentiary... •	If you accustom yourself to this view of life you will regulate your expectations accordingly, and cease to look upon all its disagreeable incidents, great and small, its sufferings, its worries, its misery, as anything unusual or irregular; nay, you will find that everything is as it should be, in a world where each of us pays the penalty of existence in his own peculiar way.
Elisabeth Rohm|I can see the humorous side of things and enjoy the fun when it comes; but look where I will, there seems to me always more sadness than joy in life.
Eleonora Duse|I began the study of medicine, impelled by a desire for knowledge of facts and of man. The resolution to do disciplined work tied me to both laboratory and clinic for a long time to come.
Robert Adams|I looked at the images hanging on the walls, wanting to find those things in her pictures. My favorite was directly across from me: a photo of a beaten, weathered hull of a rowboat. I knew about as much about boats as I did photography, which was next to nothing, but that boat wasn’t going anywhere near the water anytime soon unless the owner decided it would make a mediocre shipwreck to explore while scuba diving. Nevertheless, it faced the out-of-focus lake in the background, almost hopefully, as if it hadn’t yet decided its best days were gone, as if it still dreamed of bobbing peacefully on the waves.“Does that one have a name?” I asked.She smiled. “Seaworthy.
Jeffrey Eugenides, Middlesex|Tessie allowed Milton to press his clarinet to her skin and fill her body with music. At first it only tickled her. But after a while the notes spread deeper into her body. She felt the vibrations penetrate her muscles, pulsing in waves, until they rattled her bones and made her inner organs hum.
Israelmore Ayivor, The Great Hand Book of Quotes|If hard work is the source of happiness, then we can conclude that the main job of procrastination is to delay that happiness for excuses to kill.
Paulo Coelho, Warrior of the Light|The Warrior of the Light knows that it is impossible to live in a state of complete relaxation.He has learned from the archer that, in order to shoot his arrow any distance, he must hold the bow taut. He has learned from the stars that only an inner explosion allows them to shine. The Warrior notices that when a horse is about to jump over a fence, it tenses all its muscles.But he never confuses tension with anxiety.
Jamsetji Tata|Christians could agree or argue about God as much as we wanted, but it was all essentially chatter. What bound that driver and me together was the obvious thing, so plain and dumb between us we could almost ignore it: the rough wooden pallet of onions that organized our days. Feed the hungry, heal the sick, visit prisoners. We fed people.
Jason Silva|There's an ongoing competition by global companies across all areas from products, technology development and hiring talented people to patent disputes. The market is big and opportunities are wide open, so we should find out new businesses that Samsung's future will hinge on.
Bobby Jindal|The more people who are dependent on government handouts, the more votes the left can depend on for an ever-expanding welfare state.
Kilroy J. Oldster, Dead Toad Scrolls|Sati—sampajanna ("Mindfulness and clear comprehension") should be examined carefully from the point of view of the centipede who could not walk when she thought about how she moved her limbs. And also from the point of view of absorption in, say artistic creation and detached observation of it. Absorption in piano playing or painting seems to be "successful" but detached observation or enjoyment of "my playing" or "my painting" seems to have the centipede effect. What are the facts here and what is the lesson to be drawn?
Ana Claudia Antunes, A-Z of Happiness: Tips for Living and Breaking Through the Chain that Separates You from Getting That Dream Job|Don"t gaze too hard at your belly button Or you will unexpectedly hit rock bottom!
Richelle E. Goodrich, Smile Anyway|Rain is a lullaby heard through a thick, isolating blanket of clouds. It is the tinkling harp of water droplets; a moist breath whistling through willow reeds; a pattering beat background to the mourner's melody. Rain is a soft song of compassion for the brokenhearted.
Terry Pratchett, Interesting Times|My behavior last night was poor.""Poor?" Agatha coughed. "You pushed me through a window!
Mihaly Csikszentmihalyi, Flow: The Psychology of Optimal Experience|..Such practices and beliefs, which interfere with happiness, are neither inevitable nor necessary; they evolved by chance, as a result of random responses to accidental conditions. But once they become part of the norms and habits of a culture, people assume that this is how things must be; they come to believe they have no other options.
Murasaki Shikibu, The Tale of Genji|Ceaseless as the interminable voices of the bell-cricket, all night till dawn my tears flow.
Nicholas Sparks|Their fingers seemed to fit together in just the right way- effortlessly clasped,like perfect complements.
Douglas Adams, The Hitchhiker's Guide to the Galaxy|What does it matter? Science has achieved some wonderful things, of course, but I'd far rather be happy than right any day.
J.A. Redmerski, The Edge of Never|But I was starving! You know I always forget my lunch—and who expects me to concentrate on Advanced Manga Drawing Level 2 when visions of pork buns and powdered doughnuts dance in my head? Teacher Suzuki acted like it was the end of the world just because I got hungry,” --Bunny Lilka
Sherrilyn Kenyon, Infinity|Zombies are the middle children of the otherworldly family. Vampires are the oldest brother who gets to have a room in the attic, all tripped out with a disco ball and shag carpet. Werewolves are the youngest, the babies, always getting pinched and told they're cute. With all that attention stolen away from the middle child Zombie, no wonder she shuffles off grumbling, "Marsha, Marsha, Marsha.
Julian Assange|A man to carry on a successful business must have imagination. He must see things as in a vision, a dream of the whole thing.
Andrew Pettegree, Brand Luther: How an Unheralded Monk Turned His Small Town into a Center of Publishing, Made Himself the Most Famous Man in Europe—and Started the Protestant Reformation|Purify our minds that we may be "first pure, then peaceable," and fortify our souls, that our peaceableness may not lead us into cowardice and despair, when for Thy sake we are persecuted.
Neetal Parekh|People want the here and now, rather than the there and after; as most are living in the where and what.
Rana Dasgupta, Solo|Like so many Americans, she was trying to construct a life that made sense from the things she found in gift shops.
Robert Trabold, Watching the River Flow By: Selected Poems|If he needed an answer about how much he'd changed, that provided it. He didn't want Fatima Hynes or any other nameless female with vacant eyes and an ample bosom. He didn't want anyone else, ever. He wanted Evelyn Marie Ruddick—and he'd be damned if he was going to let Neckcloth Alvington have her without a fight. And if there was one thing he knew how to do better than anyone else in London, it was how to fight dirty
Debasish Mridha|When you forgive everyone, you have no one to fight.
Taylor York|What you do doesn’t define you. You can’t let your failures, or your success for that matter, dictate how you view yourself. You are loved.
Cody Horn|My dad always said, 'Don't worry what people think, because you can't change it.'
Kevin Whately|Funny thing is that the poorer people are, the more generous they seem to be.
Ted Rubin, The Age of Influence: Selling to the Digitally Connected Customer|The human body is designed in accordance with the laws of nature.The British left behind their potty which goes against these laws.It induces constipation, causes fecal stagnation, enlarges the prostate, leads to infection and weakens the muscles of the lower body.
Ken Robinson, The Element: How Finding Your Passion Changes Everything|If you're not prepared to be wrong, you'll never come up with anything original.
Paul Boggs, Freud's Mafia: Sigmund Freud's Crimes Against Christianity|The degradation of most civilizations, contain a common thread. The 'synagogue of Satan' is behind all weaponized ignorance and hate.
Lois Lowry, Number the Stars|That's all that brave means - not thinking about the dangers. Just thinking about what you must do. Of course you were frightened. I was too, today. But you kept your mind on what you had to do.
Vanessa Vescera, Le parole di una Rosa|Aveva l'animo della scrittrice pazza con tutti i suoi sbalzi d'umore, le sue insicurezze.
Bela Lugosi|Three centuries after the appearance of Franklin's 'Courant', it no longer requires a dystopic imagination to wonder who will have the dubious distinction of publishing America's last genuine newspaper. Few believe that newspapers in their current printed form will survive.
Josh Langley, Turning Inside Out - what if everything we've been taught about life is wrong?|If in doubt, cheese has been always the answer..
Sandeep Sahajpal|Excellence is sum total of three E’s - Education, Experience, and Exposure
