Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Carl Sagan, Dragons of Eden: Speculations on the Evolution of Human Intelligence|Thus, an inhibition center developed below what in humans is the temporal lobe, to turn off much of the functioning of the reptilian brain; and an activation center evolved in the pons to turn on the R-complex, but harmlessly, during sleep.
Susan Sontag, Against Interpretation and Other Essays|Nine times out of 10, criticism is a defense mechanism. We criticize in others what we don't like in ourselves.
Swami Dhyan Giten, The Silent Whisperings of the Heart - An Introduction to Giten's Approach to Life|When our heart is closed, it can create a lonely and isolated feeling together with the attitude: "Nobody loves me" or "Nobody cares about me", which can make it hard for other people to love us.
David Levithan, The Lover's Dictionary|It was a mistake," you said. But the cruel thing was, it felt like the mistake was mine, for trusting you.
Bertolt Brecht|When I was a young man and very well thought of,I couldn't ask aught that the ladies denied.I nibbled their hearts like a handful of raisins,And I never spoke love but I knew that I lied. But I said to myself, 'Ah, they none of them know The secret I shelter and savor and save I wait for the one who will see through my seeming, And I'll know when I love by the way I behave.'The years drifted over like clouds in the heavens;The ladies went by me like snow on the wind.I charmed and I cheated, deceived and dissembled,And I sinned, and I sinned, and I sinned, and I sinned. But I said to myself, 'Ah, they none of them see There's part of me pure as the whisk of a wave. My lady is late but she'll find I've been faithful, And I'll know when I love by the way I behave.'At last came a lady both knowing and tender,Saying, 'you're not at all what they take you to be.'I betrayed her before she had quite finished speaking,And she swallowed cold poison and jumped in the sea. And I say to myself when there's time for a word, As I gracefully grow more debauched and depraved, 'Ah, love may be strong, but a habit is stronger And I knew when I loved by the way I behaved.
Tegan Quin|She was telling me that I had a life of disappointment before me if I continued to love him as I did. A love that is too strong can turn poisonous and bring great unhappiness. And then, what is the remedy? Can you unlearn your heart's desire? Can you stop loving someone? Easier to drown yourself; easier to take the lover's leap.
Kay Ryan|If we have not struggled/as hard as we can/at our strongest/how will we sense/the shape of our losses/or know what sustains/us longest or name/what change costs us,/saying how strange/it is that one sector/of the self can step in/for another in trouble,/how loss activates/a latent double, how/we can feed/as upon nectar/upon need?
Lisa J. Shannon, A Thousand Sisters: My Journey into the Worst Place on Earth to Be a Woman|I don't know how to stop the atrocities. I don't know how to make people care. But looking into my sister's eyes, we seem to have carved out something between us that none of the madness can touch. Invisible threads.
Oscar Wilde|Ah! that is the great thing in life, to live the truth.
J. D. Salinger|Only bad golfers are lucky. They're the ones bouncing balls off trees, curbs, turtles and cars. Good golfers have bad luck. When you hit the ball straight, a funny bounce is bound to be unlucky.
Lao Tzu|We join spokes together in a wheel, but it is the center hole that makes the wagon move.We shape clay into a pot, but it is the emptiness insidethat holds whatever we want.We hammer wood for a house, but it is the inner spacethat makes it livable.We work with being, but non-being is what we use.
Nikola Tesla|You are unmannerly,sharp-tounged, and show no respect for your betters,which is practically everyone given your lowly ravel birth.""I am Edema Ruh to my bones.That means my blood is red.It means I breathe the free air and walk where my feet take me.I do not cringe and fawn like a dog at a man's title.That looks like pride to people who have spent their lives cultivating supple spines"-Kvothe
Ta-Nehisi Coates|When I finally did confront Mr. Arcott, after my return to Falchester, he had the cheek to try and argue that his intellectual thievery had been a compliment and a favor. After all, it meant my work was good enough to be accepted into ibn Khattusi's series -- but of course they never would have taken a submission from a woman, so he submitted it on my behalf. What I said in reply is not fit to be printed here, as by then I had spent a good deal of time in the company of sailors, and had at my disposal a vocabulary not commonly available to ladies of quality.
E.K. Dobbins|All it takes, is one leap of faith.
Oliver Butterworth, The Enormous Egg|Then I said something. I said, Suppose, just suppose, nothing had ever happened. Suppose this was for the first time. Just suppose. It doesn't hurt to suppose. Say none of the other had ever happened. You know what I mean? Then what? I said.
Rob Lowe|I love traveling and seeing new things, learning the histories of different cultures. But I've always wanted to go to the Galapagos to see the giant turtles.
Patrick Henry|By 'justice', I understand nothing more than that bond which is necessary to keep the interest of individuals united, without which men would return to their original state of barbarity. All punishments which exceed the necessity of preserving this bond are, in their nature, unjust.
James Joyce, A Portrait of the Artist as a Young Man|We live in an adolescent society, Neverland, where never growing up seems more the norm than the exception. Little boys wearing expensive suits and adult bodies should not be allowed to run big corporations. They shouldn’t be allowed to run governments, armies, religions, small businesses and charities either and just quietly, they make pretty shabby husbands and fathers too. Mankind has become Pankind and whilst “lost boys” abound, there is also an alarming increase in the number of “lost girls.
Mario Puzo, The Godfather|You cannot say 'no' to the people you love, not often. That's the secret. And then when you do, it has to sound like a 'yes'. Or you have to make them say 'no.' You have to take time and trouble.
Jenna Evans Welch, Love & Gelato|At this the Wart's eyes grew rounder and rounder, until they were about as big as the owl's who was sitting on his shoulder, and his face got redder and redder, and a breath seemed to gather itself beneath his heart.
Stephen Kinzer|The Brazilian poet Vinicius de Moraes wrote that beauty is fundamental. Well, with the poet's permission, so is courage.
Jess "Chief" Brynjulson, Highway Writings|If I just keep putting one foot in front of the other, it stands to reason that I'm going to get there.
Charles Haddon Spurgeon|The spiritual power in the gospel is denied when we augment or adjusting gospel into no gospel at all. When we doubt the message alone is the power of God for salvation we start adding or subtracting, trusting our own powers of persuasion or presentation.
Ali Shariati|No one is accountable for existing at all, or for being constituted as he is, or for living in the circumstances and surroundings in which he lives. The fatality of his nature cannot be disentangled from the fatality of all that which has been and will be. He is not the result of a special design, a will, a purpose; he is not the subject of an attempt to attain an 'ideal of man' or an 'ideal of happiness' or an 'ideal of morality'--it is absurd to want to hand over his nature to some purpose or other. We invented the concept 'purpose': in reality purpose is lacking...One is necessary, one is a piece of fate, one belongs to the whole, one is in the whole--there exists nothing which could judge, measure, compare, condemn our being, for that would be to judge, measure, condemn the whole...
George Messo, Violades & Appledown|Imagination's better half can sometimes tilt it's heavy head and wink, as if to say, "That's the way!"And I'd be off at a trot wherever it led.
Gary   Hopkins|We have come to a point in time where using common sense, speaking factual truths and asking honest questions have been deemed radical behavior. While in turn, manipulation, thoughtlessness and dishonesty is often rewarded and rules the day.
William P. Smith, Loving Well|When I realize that God makes his gifts fit each person, there's no way I can covet what you got because it just wouldn't fit me.
Peter Capaldi|In my adolescence, I think I felt very outcast; I felt lonely. I felt great loneliness, and sometimes I wouldn't partake in Christmas, and I would go off and wander in the streets of Melbourne.
Lionel Shriver, We Need to Talk About Kevin|I came to regard my body in a new light. For the first time I apprehended the little mounds on my chest as teats for the suckling of young, and their physical resemblance to udders on cows or the swinging distensions on lactating hounds was suddenly unavoidable. Funny how even women forget what breasts are for.The cleft between my legs transformed as well. It lost a certain outrageousness, an obscenity, or achieved an obscenity of a different sort. The flaps seemed to open not to a narrow, snug dead end, but to something yawning. The passageway itself became a route to somewhere else, a real place, and not merely to a darkness in my mind. The twist of flesh in front took on a devious aspect, its inclusion overtly ulterior, a tempter, a sweetener for doing the species' heavy lifting, like the lollipops I once got at the dentist.
Mahsati Abdul|I am not fake, I am just too good to be true (-:
Scott Stabile|We're not on the same page right now, but that's okay. Were still in the same story, and there's still so much more to be written. I won’t put down my pen if you won’t.
Nelson Algren|I’m now writing out of rage — and I feel a kind of Nietzschean elation. It’s tonic. I roar with laughter. I want to denounce everybody, tell everybody off. I go to my typewriter as I might go to my machine gun. But I’m safe. I don’t have to face the consequences of ‘real’ aggressivity. I’m sending out colis piégés ['booby-trapped packages'] to the world.
Victoria Helen Stone, Evelyn, After|She might have come in the gallery faking the stride of a sexual, confident, dangerous woman, but on the way out, it was all real.
J.M.  Richards, Tall, Dark Streak of Lightning|I know he’s a realist, he’s okay with being alone, and he helps people when he thinks no one is watching.
Susan Forward, When Your Lover Is a Liar: Healing the Wounds of Deception and Betrayal|MAKING THE LIE MAKE SENSE:When denial (his or ours) can no longer hold and we finally have to admit to ourselves that we’ve been lied to, we search frantically for ways to keep it from disrupting our lives. So we rationalize. We find “good reasons” to justify his lying, just as he almost always accompanies his confessions with “good reasons” for his lies. He tells us he only lied because…. We tell ourselves he only lied because…. We make excuses for him: The lying wasn’t significant/Everybody lies/He’s only human/I have no right to judge him.Allowing the lies to register in our consciousness means having to make room for any number of frightening possibilities:•	He’s not the man I thought he was.•	The relationship has spun out of control and I don’t know  what to do•	The relationship may be over. Most women will do almost anything to avoid having to face these truths. Even if we yell and scream at him when we discover that he’s lied to us, once the dust settles, most of us will opt for the comforting territory of rationalization. In fact, many of us are willing to rewire our senses, short-circuit our instincts and intelligence, and accept the seductive comfort of self-delusion.
Eleanor Catton, The Rehearsal|The saxophone does not speak that language. The saxophone speaks the language of the underground, the jaded melancholy of the half-light—grimy and sexy and sweaty and hard. It is the language of orphans and bastards and whores.
Akshay Vasu|It might not be about perfection. Rather, it may be that that which is imperfect is that which has the most character.
Jonathan Haidt, The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom|Do not allow your children to celebrate the days on which unbelief and superstition are being catered to. They are admittedly inclined to want this because they see that the children of Roman Catholic parents observe those days. Do not let them attend carnivals, observe Shrove Tuesday (Mardi Gras), see Santa Claus, or observe Twelfth Night, because they are all remnants of an idolatrous papacy. You must not keep your children out of school or from work on those days nor let them play outside or join in the amusement. The Lord has said, “After the doings of the land of Egypt, where you lived, shall ye not do: and after the doings of the land of Canaan, where I bring you, you shall not do: neither shall you walk in their ordinances” (Lev. 18:3). The Lord will punish the Reformed on account of the days of Baal (Hosea 2:12-13), and he also observes what the children do on the occasion of such idolatry (Jer. 17:18). Therefore, do not let your children receive presents on Santa Claus day, nor let them draw tickets in a raffle and such things. Pick other days on which to give them the things that amuse them, and because the days of Christmas, Easter, and Pentecost have the same character, Reformed people must keep their children away from these so-called holy days and feast days.
Sai Marie Johnson|A watched pot never boils." It's the same with success. So? Throw that burner on HIGH and just keep on cooking. Dinner will be ready soon.
Josh Stern, And That's Why I'm Single: What Good Is Having A Lucky Horseshoe Up Your Butt When The Horse Is Still Attached?|There are men who wants only the woman; such are tagged, 'real men', and there are ones who want only their bodies; such are tagged, 'fake men', and there are others who wants neither the woman, nor the body; such are tagged, 'GAY MEN
Angie karan|As I discover, everyday is an adventure...so do what ever the Spirit tells you..don't do things out of drudgery or obligation...each day will unfold as it should...stay restful and try not to be in a hurry...there are things that can wait, and things we don't really need at all...don't be a slave to the everyday routine...we've all been programmed to do things, "just so"..try to shed the programming...you will be surprised how some things that hassle our minds aren't really important at all. And most of all, go out and heal with nature
Alice Hoffman, Here on Earth|She can feel his blood, just beneath his skin; when he breathes, the air fills with smoke. He's like a dragon, ancient and fearless.
Nicole  Lyons|Cover mine eyes, O my Love! Mine eyes that are weary of bliss As of light that is poignant and strong O silence my lips with a kiss, My lips that are weary of song! Shelter my soul, O my love! My soul is bent low with the pain And the burden of love, like the grace Of a flower that is smitten with rain: O shelter my soul from thy face!
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|It ended by my almost believing (perhaps actually believing) that this was perhaps my normal condition. But at first, in the beginning, what agonies I endured in that struggle! I did not believe it was the same with other people, and all my life I hid this fact about myself as a secret. I was ashamed (even now, perhaps, I am ashamed): I got to the point of feeling a sort of secret abnormal, despicable enjoyment in returning home to my corner on some disgusting Petersburg night, acutely conscious that that day I had committed a loathsome action again, that what was done could never be undone, and secretly, inwardly gnawing, gnawing at myself for it, tearing and consuming myself till at last the bitterness turned into a sort of shameful accursed sweetness, and at last—into positive real enjoyment! Yes, into enjoyment, into enjoyment! I insist upon that. I have spoken of this because I keep wanting to know for a fact whether other people feel such enjoyment? I will explain; the enjoyment was just from the too intense consciousness of one’s own degradation; it was from feeling oneself that one had reached the last barrier, that it was horrible, but that it could not be otherwise; that there was no escape for you; that you never could become a different man; that even if time and faith were still left you to change into something different you would most likely not wish to change; or if you did wish to, even then you would do nothing; because perhaps in reality there was nothing for you to change into.And the worst of it was, and the root of it all, that it was all in accord with the normal fundamental laws of over-acute consciousness, and with the inertia that was the direct result of those laws, and that consequently one was not only unable to change but could do absolutely nothing. Thus it would follow, as the result of acute consciousness, that one is not to blame in being a scoundrel; as though that were any consolation to the scoundrel once he has come to realise that he actually is a scoundrel.
Kelly Bingham, Formerly Shark Girl|When we are conscious with morality and our duty, we become unpopular as many wish to believe in making matters to their advantage this how the world runs, we all believe in sin if you are religious Wealth without working is greater sin than many we find in Society , however there is no force stronger than convincing our own morality rest all disappears with Time.Dr.T.V.Rao MD
G.K. Chesterton|We fear men so much, because we fear God so little. One fear cures another. When man's terror scares you, turn your thoughts to the wrath of God.
Kathleen Prasad, Everything Animal Reiki: A Simple Guide to Meditating with Animals for Healing|The most important component of the system of Reiki at any level is one’s own daily personal practice, meditation and self-healing. This is the foundation from which all healing experiences with the animals willgrow.
Saeed Jones|Justice and judgement lie often a world apart."~ Emmeline Pankhurst
Paulo Coelho|I ask myself: Are Defeats necessary ?Well,necessary or not, they happen.When we first begin fighting for our dream, we've no experience and make many mistakes.The Secret of life, though,is to fall seven times and to get up eight times !
Rachel Caine, Paper and Fire|History is all around us and you, my lucky few, are living in some of it..
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Goals help you look towards the future with anticipation and excitement rather than with anxiety, and when clearly defined and broken into smaller steps, they enable you pay the price needed to achieve your dreams.
S.R. Grey, I Stand Before You|It’s a great privilege to not know where you’ll end up, just where you’re headed. It’s the only way to get there.
Laini Taylor, Strange the Dreamer|Don't look at me like that," said Ruza."Like what?""Like I'm a beautiful book you're about to open and plunder with your greedy mad eyes.
Rob Cowen, Common Ground|A hoverfly is held in a sunbeam, an insect in amber.
Lyndsay Faye, Jane Steele|And in a way I have always thought that words are alive a little, for they can whisper sweet nothings and roar dragon flame with equal efficiency.
A. Ashley Straker, Infected Connection|It was obvious from their expressions that they believed the wellbeing of R.’s inhabitants was endangered by my youth. The visit was very enjoyable, but the horror of the previous night still clung to me.
Lyndon B. Johnson|Emancipation was a proclamation, but not a fact.
Deyth Banger|Yesterday was the fucking history... the "Now" is the most vicious part of all... as for tomorrow it's the fucking mystery.
William Burton Pope|Law does, "because God said so!"; Grace does because it understands the reason God said so.
Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction|The cat uses trees, as stated, as many things but here it would not uncommon to see the oak as the marker, not the stone. Cats would spray the tree, not necessarily the rock. A rock as a further marker would be a non-essential redundancy that a cat would more or less ignore. It would be like saying one needed to ignore the law of God (written on the stone) to honour their promise to not honour foreign gods. The human reaction of obvious strangeness would begin here. If the tree is seen as an item to climb, the rendition would get more queer to the human interpretation.
Johnny Carson|It is old age, rather than death, that is to be contrasted with life. Old age is life's parody, whereas death transforms life into a destiny: in a way it preserves it by giving it the absolute dimension. Death does away with time.
Frantz Fanon, The Wretched of the Earth|You cannot have an agency that defends your property, which also has the right to violate your property rights at will. That's like hiring a bodyguard that you pay to beat you up randomly.
Arthur Koestler|...My dad, may he rest in peace, taught me many wonderful things. And one of the things he taught me was never ask a guy what you do for a living. He said "If you think about it, when you ask a guy, what do you do you do for a living," you’re saying "how may I gauge the rest of your utterances." are you smarter than I am? Are you richer than I am, poorer than I am?" So you ask a guy what do you do for a living, it’s the same thing as asking a guy, let me know what your politics are before I listen to you so I know whether or not you’re part of my herd, in which case I can nod knowingly, or part of the other herd, in which case I can wish you dead.
SIDDWIN S SHETTY|In the marathon of life, there is no finish line.
Jose Andres|I feel that in horror movies, especially, if you don't care about the characters, you've lost the audience. No one cares, and it becomes a process of watching people get killed.
Alexander McCall Smith, The World According to Bertie|No plaque reminds the passer-by of these glories, although there should be one; for those who invent biscuits bring great pleasure to many.
George R.R. Martin, A Storm of Swords|God may seem sometimes to forget for a while, whilst his justice reposes, but there always comes a moment when he remembers.
Michelle Hodkin, The Evolution of Mara Dyer|There is no truth," Stephanie said mysterously. "Only perspectives.
Nassim Nicholas Taleb, The Black Swan: The Impact of the Highly Improbable|Someone with a low degree of epistemic arrogance is not too visible, like a shy person at a cocktail party. We are not predisposed to respect humble people, those who try to suspend judgement. Now contemplate epistemic humility. Think of someone heavily introspective, tortured by the awareness of his own ignorance. He lacks the courage of the idiot, yet has the rare guts to say "I don't know." He does not mind looking like a fool or, worse, an ignoramus. He hesitates, he will not commit, and he agonizes over the consequences of being wrong. He introspects, introspects, and introspects until he reaches physical and nervous exhaustion.This does not necessarily mean he lacks confidence, only that he holds his own knowledge to be suspect. I will call such a person an epistemocrat; the province where the laws are structured with this kind of human fallibility in mind I will can an epistemocracy.
Minhal Mehdi|I wanted to let my conscience go, and see how deep I fall.I wanted to let the devil take over, and see if I survive.I love you, Mriga. And for you, I will die.Tonight.
Uray Indira|If it had attempted to strengthen then I still receive, but if that had been repeated to make me give up. So I gave up.
Mirabai Starr, Interior Castle|There is a secret place. A radiant sanctuary. As real as your own kitchen. More real than that. Constructed of the purest elements. Overflowing with the ten thousand beautiful things. Worlds within worlds. Forests, rivers. Velvet coverlets thrown over featherbeds, fountains bubbling beneath a canopy of stars. Bountiful forests, universal libraries. A wine cellar offering an intoxi cation so sweet you will never be sober again. A clarity so complete you will never again forget. This magnificent refuge is inside you. Enter. Shatter the darkness that shrouds the doorway… Believe the incredible truth that the Beloved has chosen for his dwelling place the core of your own being because that is the single most beautiful place in all of creation.
John Noble Wilford, Mars Beckons|Mars tugs at the human imagination like no other planet. With a force mightier than gravity, it attracts the eye to the shimmering red presence in the clear night sky...
Suzanne Somers|Throughout my life, I have tried to share my philosophy that getting and staying healthy doesn't have to feel like work. I don't diet or slave away in a gym - what I do is make excellent food choices.
Tina Schermer Sellers, Sex, God, and the Conservative Church: Erasing Shame from Sexual Intimacy|Mystical organizations are only a crystallization of facts which can be found, in a more diffuse and less tangible form, in all strata of people. The degree of mystical, sentimental and sadistic feelings corresponds exactly to the degree of the disturbance of natural orgastic experience. Close observation of the audience of a trashy thriller or of a boxing match teaches more about these problems than a hundred handbooks of sexology.
Dorothy Koomson, The Woman He Loved Before|Putting everything on hold to achieve the one thing you think will make you happy will actually mean that you're miserable along the way to getting there, and when you get there, you might find that the thing wanted doesn't make you as happy as you thought it would. Or worse, you've completely forgotten how to be happy.
Stedman Graham|To see your friend's dreams come true, there's really nothing that can make you happier.
Olive Schreiner|My feeling is that there is nothing in life but refraining from hurting others, and comforting those who are sad.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|All definitions are the interpretations of contrasts. What is, helps define what it is not!
Trent Franks|One: balance the budget now, not later. Two: Get Americans jobs by ending illegal immigration and making legal immigration harder. Lastly: Impose term limits.
James A. Murphy, The Waves of Life Quotes and Daily Meditations|I have always believed that women hold this world together with theirlove, passion, inspiration, hard work, vision and willingness to helpothers. Yet, increased responsibility in both our personal and professionallives – to become “superwomen” – is taking a devastating toll onour health and happiness.
Neil deGrasse Tyson|The problem, often not discovered until late in life, is that when you look for things in life like love, meaning, motivation, it implies they are sitting behind a tree or under a rock. The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation. For me, I am driven by two main philosophies, know more today about the world than I knew yesterday. And lessen the suffering of others. You'd be surprised how far that gets you.
Alex Z. Moores, Living in Water|There’s a passage in John Steinbeck’s “East of Eden” that does a pretty good job describing California’s rainfall patterns:The water came in a 30-year cycle. There would be five to six wet and wonderful years when there might be 19 to 25 inches of rain, and the land would shout with grass. Then would come six or seven pretty good years of 12 to 16 inches of rain. And then the dry years would come ...
Debasish Mridha|You born with three obligations: to love, to live, and to be happy.
Brenda Sutton Rose|I am a hoarder of words, a giver of them, too
Susanna Clarke|It may be laid down as a general rule that if a man begins to sing, no one will take any notice of his song except his fellow human beings. This is true even if his song is surpassingly beautiful. Other men may be in raptures at his skill, but the rest of creation is, by and large, unmoved. Perhaps a cat or a dog may look at him; his horse, if it is an exceptionally intelligent beast, may pause in cropping the grass, but that is the extent of it. But when the fairy sang, the whole world listened to him. Stephen felt clouds pause in their passing; he felt sleeping hills shift and murmur; he felt cold mists dance. He understood for the first time that the world is not dumb at all, but merely waiting for someone to speak to it in a language it understands. In the fairy's song the earth recognized the names by which it called itself.
Dilip Bathija, The Superhero Soul: Quest for Inspiration, Happiness, Success and Greatness|Here I stand now, with a sweet tingling feeling all over, recalling the last time I was here, and I am glad that I am here again, while wondering why I didn’t recognize it earlier. But now I have got the chance to recognize and deal with it more effectively and I know that I can visit this place as many times as I want, and take as many chances as I want, because I finally realize that I, am in total control of my life.
Jules Barbey d'Aurevilly, Les Diaboliques|He had a reputation in society as a man with a lively wit, whose gaiety was pleasant and formidable – which all gaiety must be in a society which would despise you if, while amusing it, you did not make it tremble a little. ("A Woman's Vengeance")
Oscar Niemeyer|There are moments of existence when time and space are more profound, and the awareness of existence is immensely heightened.
Nicholson Baker, The Anthologist|Although Poets are vain and ambitious, their vanity and ambition are of the purest kind attainable in this world. They are ambitious to be accepted for what they altimately are as revealed in their poetry.
Joshua Teya|As humans, it is in our nature to focus on picking ourselves up while the whole world falls apart.
Edgar Allan Poe, The Raven|Then, methought, the air grew denser, perfumed from an unseen censerSwung by Seraphim whose footfalls tinkled on the tufted floor."Wretch," I cried, "thy God hath lent thee--by these angels he hath sent thee--Respite--respite and nepenthe from thy memories of Lenore!Quaff, oh quaff this kind nepenthe, and forget this lost Lenore!"Quothe the Raven, "Nevermore.
Katherine Mansfield, The Garden Party and Other Stories|If you smile when you are alone, then you really mean it, or you're up to something.
David Levithan, The Realm of Possibility|it's not his bodythat changesright away.it's somethinginside. he sayshe wants tobe a littleweaker. i don'tunderstand.i say 'thinner?'and he says'no, i wantto be strongerin a differentway.' notbecause of me,but for me.
John Williams|No matter how much you learn in college, it never prepares you for the real world.
Louis L'Amour, Education of a Wandering Man|The city glitters past us with its sharp edges, reminding us of how tiny, how weak, how totally unimportant we are.
Val Kovalin|I do not plan my fiction any more than I normally plan woodland walks; I follow the path that seems most promising at any given point, not some itinerary decided before entry.
Thea Euryphaessa, Running Into Myself|Stories are psycho-diagnostic ― they diagnose the condition of our psyches. When we watch, read or hear a story, whatever detail jumps out reflects an issue in our psyche that requires our attention.
Marcus Tullius Cicero|My dear Scipio and Laelius. Men, of course, who have no resources in themselves for securing a good and happy life find every age burdensome. But those who look for all happiness from within can never think anything bad which Nature makes inevitable.
Christopher McDougall, Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen|There is something magical about running; after a certain distance, it transcends the body. Then a bit further, it transcends the mind. A bit further yet, and what you have before you, laid bare, is the soul.
Vee Hoffman|My mother is European and expresses her love through food and cuddling. She wasn't the type of mother who would make it to school plays or soccer games, but if you wanted to stay at home sick, she was your girl. Whenever you'd go up to her room to cuddle with her, she'd pull out a Kit Kat or Snickers bar from her night table and look at you with dancing eyes.
Rosenna Bakari, Tree Leaves: Breaking The Fall Of The Loud Silence|When there is inconsistency in belief and action (such as being violated by someone who is supposed to love you) our mind has to make an adjustment so that thought and action are aligned. So sometimes the adjustment that the mind makes is for the victim to bring her or his behavior in line with the violator, since the violator cannot be controlled by the victim. Our greatest source of survival is to adapt to our environment. So increasing emotional intimacy with a person who is forcing physical intimacy makes sense in our minds. It resolves cognitive dissonance.
Walter Kaufmann|One need not believe in Pallas Athena, the virgin goddess, to be overwhelmed by the Parthenon. Similarly, a man who rejects all dogmas, all theologies and all religious formulations of beliefs may still find Genesis the sublime book par excellence. Experiences and aspirations of which intimations may be found in Plato, Nietzsche, and Spinoza have found their most evocative expression in some sacred books. Since the Renaissance, Shakespeare, Rembrandt, Mozart, and a host of others have shown that this religious dimension can be experienced and communicated apart from any religious context. But that is no reason for closing my heart to Job's cry, or to Jeremiah's, or to the Second Isaiah. I do not read them as mere literature; rather, I read Sophocles and Shakespeare with all my being, too.
Brigitte Bardot|As men get older, the toys get more expensive.
John Steinbeck, Tortilla Flat|My entire life, I've been fascinated with stories. To everyone else, it seemed like the story itself was enough. But I wanted to know why someone told the story in the first place. Had something happened? Or were they only wishing for something to happen?
Lailah Gifty Akita|Just as a child is conceived in a womb of a woman, miraculously, so is grace freely given by God, in sacred moment of salvation.
Jam Master Jay|The human condition today is better than it's ever been, and technology is one of the reasons for that.
Zayn Malik|For cool things to happen, you have to get out of your comfort zone.
Chelsea Radojcic, The Lonely Teddy Bear: Janie's Story|If I become like you, I will have no will of my own. I will have no individuality, I will just be your puppet.’'True.’ Sio smiled thinly. 'But even a puppet may dance before its strings are drawn tight. You will dance, Cass, and the heavens will applaud you.
Raymond Benson, Metal Gear Solid 2: Sons of Liberty|The more we do to you,the less you seem to believe we are doing it.
Carl Jung|Of all the hard jobs around, one of the hardest is being a good teacher.
Thomas Hood|The smartest thing I ever said was  "Help Me!"
Jimmy Fallon|I have always been a flirt. My mother says whe I was a child, I used to stand outside the house and just smile at everyone who walked by. Like, 'Please take me with you!'
Christopher Soto|Rory said he loved me but wouldn't hold my hand in public. & he wanted so badly to end the pain, but it never went away, it stayed with the people that loved him.
Nancy Kress, Steal Across the Sky|You think intelligence and grit can succeed by themselves, but I'm telling you that's a pretty illusion.
Kenneth Patchen, Collected Poems|Any American who is prepared to run for president should automatically, by definition, be disqualified from ever doing so.
Denise Flaim, Rescue Ink: How Ten Guys Saved Countless Dogs and Cats, Twelve Horses, Five Pigs, One Duck,and a Few Turtles|He attempted to bark the order and succeeded, albeit with more of a chihuahua result than intended.
Zhuangzi, The Complete Works of Chuang Tzu|When I speak of good hearing, I do not mean listening to others; I mean simply listening to yourself. When I speak of good eyesight, I do not mean looking at others; I mean simply looking at yourself. He who does not look at himself but looks at others, who does not get hold of himself but gets hold of others, is getting what other men have got and failing to get what he himself has got. He finds joy in what brings joy to other men, but finds no joy in what would bring joy to himself.
Zelda Fitzgerald, Save Me the Waltz|David, I’ll fly for you, if you’ll love me!”“Fly, then.”“I can’t fly, but love me anyway.”“Poor wingless child!”“Is it so hard to love me?”“Do you think you are easy, my illusive possession?
Osho, The Book of Secrets|Enlightenment isn't the end but the beginning, the start of a journey that a small group of people begun while the rest sleeps.
Narendra Modi|Other lands may have their charms, and the sunny skies of other climes may be regretted, but it is with pride and gladness that the wanderer sets foot again on British soil, thanking God for the religion and the liberty which have made this weather-beaten island in a northern sea to be the light and glory of the world.
Conn Iggulden, Khan: Empire of Silver|Those who cannot conquer must bend the knee. They must find strength, or serve those of us who have. You are my generals. I will send you out: my hunting dogs, my wolves with iron teeth. When a city closes its gates in fear, you will destroy it. When they make roads and walls, you will cut them, pull down the stones. When a man raises a sword or bow against your men, you will hang him from a tree. Keep Karakorum in your minds as you go. This white city is the heart of the nation, but you are the right arm, the burning brand. Find me new lands, gentlemen. Cut a new path. Let their women weep a sea of tears and I will drink it all.
Bunny Naidu|When you reach your middle age, you see a train far away and shortly after you watch that train passing rapidly in front of you and finally the train disappears in the horizon like a streak of lightning! And that train, my dear friend, is your life!
J.K. Rowling, Harry Potter and the Chamber of Secrets|Harry — I think I've just understood something! I've got to go to the library!”And she sprinted away, up the stairs. does she understand?” said Harry distractedly, still looking around, trying to tell where the voice had come from.“Loads more than I do,” said Ron, shaking his head.“But why’s she got to go to the library?”“Because that’s what Hermione does,” said Ron, shrugging. “When in doubt, go to the library.
M.C. Frank, No Ordinary Star|So you say there is no Father Christmas,                                                                          You say there is no Santa Claus                                                                                         Reindeer cannot fly, it's all a grown-up lie...
Milan Kundera, Encounter|Art must always stand guard against stirring emotions that lie outside the aesthetic: sexual arousal, terror, disgust, shock.
A.S. Peterson, Fiddler's Green|When a man goes silent on his ways and plans, you must ponder!
P.G. Wodehouse|I mean to say, I know perfectly well that I've got, roughly speaking, half the amount of brain a normal bloke ought to possess. And when a girl comes along who has about twice the regular allowance, she too often makes a bee line for me with the love light in her eyes. I don't know how to account for it, but it is so.""It may be Nature's provision for maintaining the balance of the species, sir.
P.B.S. Pinchback|In case nobody has told you," she said, "this is the United States of America, where nobody has a right to rely on anybody else--where everybody learns to make his or her own way.
