Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Robert Armstrong|Like simple minded goldfish, we often believe the boundaries of our bowl to be the entire ocean.
Philip Pullman|I think we’re losing sight of what our ultimate goal is here,” said Genevieve. But we feared that if she was washed out, people would look right past the flyer.
Munindra Misra, Eddies of Life|2.27 THE ULTIMATEWith compassion and renunciation walking,With wants and desires ever shedding,With love within one’s heart flowing,Peace and Divinity shall never be wanting.[158]	- 2
Aberjhani, Illuminated Corners: Collected Essays and Articles Volume I.|I later heard somewhere, or read, that Malcolm X telephoned an apology to the reporter. But this was the kind of evidence which caused many close observers of the Malcolm X phenomenon to declare in absolute seriousness that he was the only Negro in America who could either start a race riot-or stop one. When I once quoted this to him, tacitly inviting his comment, he told me tartly, "I don't know if I could start one. I don't know if I'd want to stop one.
Jenny Ann Ryberg|Psychological abuse is.. the sustained, repetitive, inappropriate behavior which damages or substantially reduces the creative and developmental potential of crucially important mental faculties and mental processes of a child, including intelligence, memory, recognition, perception, attention, imagination, and moral development.
Shannon L. Alder|...those occasional people who seem to achieve some kind of happiness here like your two dead colleagues, these are the things that Hell allows to flourish in tiny, stunted bursts, to make it immeasurably worse for everyone else.
Alexandra Adornetto, Halo|They [Erasers] were bad fliers," Angel chimed in, "And in their minds, they weren't all kill the mutants, like they usually are. They were like, remember to flap!
Anne Morrow Lindbergh|When you accept the fact that your true identity includes being an overcomer, you will never settle for less than a miracle.
T.H. White, The Once and Future King|No matter how much the woman is beautiful, she will lose her womanhood if she is dumb, arrogant or liar.
Arthur Conan Doyle, Sherlock Holmes|Oh how I've missed you, Holmes.
Deyth Banger|...Nope!...Gues again, you haven't understood me right!
حجة الإسلام أبو حامد محمد الغزالي|Learn this from me. Holding anger is a poison. It eats you from inside. We think that hating is a weapon that attacks the person who harmed us. But hatred is a curved blade. And the harm we do, we do to ourselves.
Kowtham Kumar K|Every photo tells a story but remember this, there was a story teller behind the lens.
Elle Lothlorien, Alice in Wonderland|Who are you? Rabbit and Souris call you ‘Alice,’ me and Dee call you ‘Faye.’ I just didn’t know if ‘Alice’ was your poker-playing, Southern Hemisphere name or what. Hey, I’m just trying to fit in here. If I should be introducing myself as ‘Clark,’ I want to know about it sooner rather than later so I don’t embarrass myself.
Ron Garan, The Orbital Perspective: Lessons in Seeing the Big Picture from a Journey of 71 Million Miles|Keep your ears open and listen to the whispers of the universe, because they will guide you for the best.
Khaled Hosseini, A Thousand Splendid Suns|It's the whistling," Laila said to Tariq, "the damn whistling, I hate more than anything" Tariq nodded knowingly. It wasn't so much the whistling itself, Laila thought later, but the seconds between the start of it and impact. The brief and interminable time of feeling suspended. The not knowing. The waiting. Like a defendant about to hear the verdict. Often it happened at dinner, when she and Babi were at the table. When it started, their heads snapped up. They listened to the whistling, forks in mid-air, unchewed food in their mouths. Laila saw the reflection of their half-lit faces in the pitch-black window, their shadows unmoving on the wall. The whistling. Then the blast, blissfully elsewhere, followed by an expulsion of breath and the knowledge that they had been spared for now while somewhere else, amid cries and choking clouds of smoke, there was a scrambling, a barehanded frenzy of digging, of pulling from the debris, what remained of a sister, a brother, a grandchild. But the flip side of being spared was the agony of wondering who hadn't. After every rocket blast, Laila raced to the street, stammering a prayer, certain that, this time, surely this time, it was Tariq they would find buried beneath the rubble and smoke. At night, Laila lay in bed and watched the sudden white flashes reflected in her window. She listened to the rattling of automatic gunfire and counted the rockets whining overhead as the house shook and flakes of plaster rained down on her from the ceiling. Some nights, when the light of rocket fire was so bright a person could read a book by it, sleep never came. And, if it did, Laila's dreams were suffused with fire and detached limbs and the moaning of the wounded. Morning brought no relief. The muezzin's call for namaz rang out, and the Mujahideen set down their guns, faced west, and prayed. Then the rugs were folded, the guns loaded, and the mountains fired on Kabul, and Kabul fired back at the mountains, as Laila and the rest of the city watched as helpless as old Santiago watching the sharks take bites out of his prize fish.
Marissa Clarke, Love Me to Death|God, fate was a sick, twisted bitch. Doomed. He was certainly and absolutely heading straight for the fiery pits of Hell, he realized, as he lusted for his sworn enemy, the vampire.
Peter Sloterdijk, Critique of Cynical Reason|Assumptions are unopened windows that foolish birds fly into, and their broken bodies are evidence gathered too late.
Olympia Snowe|We here highly resolve that these dead shall not have died in vain - that this nation, under God, shall have a new birth of freedom - and that government of the people, by the people, for the people, shall not perish from the earth.
Thomas L. Friedman, The World Is Flat: A Brief History of the Twenty-first Century|Empowerment is the ability to refine, improve, and enhance your life without co-dependency.
Auliq-Ice|Today the world seems to be like a stagnated place, because the majority of humanity are not eager to see others rise.
Marissa Meyer, Fairest|The stars were so many and so white they looked like chips of ice, hammered through the fabric of the sky.
Walter de la Mare, The Listeners and Other Poems|Tell them I came, and no one answered,That I kept my word," he said.Never the least stir made the listeners,Though every word he spakeFell echoing through the shadowiness of the still houseFrom the one man left awake:Ay, they heard his foot upon the stirrup,And the sound of iron on stone,And how the silence surged softly backward,When the plunging hoofs were gone.
Sun Yat-sen|If someone does something in an entertainment/pop ambience, that person becomes someone who has an impact on the conduct and attitude of a huge number of people who peripherally come in contact with them.
Katie MacAlister, The Importance of Being Alice|Elliot - Elliot waved absently, making a decision right then and there. He'd take the trip that Patrick offered. A cruise down Europe's most famous rivers couldn't be any more disruptive than home, after all.Alice -I stood up shaking the laptop at nothing. "He made me think we were going to get married at the end of this trip! He had me look up the laws for Americans getting married in Budapest!""Ball-hanging is too good for him. He serves something worse. Off with his head!""I will take that trip!" I yelled at the small living room filled with boxes that I had yet to unpack. "And I will enjoy myself! A lot!
Patti Roberts, Progeny of Innocence|When I die, I want to die like my grandfather who died peacefully in his sleep. Not screaming like all the passengers in his car.
Ruth Negga|I would sing to my Beanie Babies, and I sort of created this alternate universe where I was famous, and there were thousands of people that I was singing to.
Scott Lynch, The Republic of Thieves|In other words, the more stupid one is, the more he thinks he knows.
J.A. Souders, Revelations|She met a boyand called him Stargazerbecause instead of poemshe recited the names of constellations.He said the freckles on his armswere roadmaps to the sky,and the bruises that he carriedwere supernovas in disguise."Stargazer
Saint Augustine|If you get simple beauty and naught else, you get about the best thing God invents.
Dave Holmes|It's because of my grandfather that I became a Young Avenger. But it's hard sometimes, to be a black kid carrying a name like "Patriot". I remember talking to Captain America about before he died, and he explained what Patriotism meant to him...It wasn't about blindly supporting your government. It was about knowing what your country could be, what it should be... And trying to lead it there through your example. And holding it accountable when it failed. I remember he said: "There's noting patriotic about corruption or cover-ups... or defending them. But exposing them, well, that takes a hero.
Criss Jami|You are the enemy and a vessel through which the cure flows - if Christ lives in you, then you are an embodiment of the very shot this hostile and crying world needs as it, in every waking moment, struggles belligerently to resist.
Maria Callas|You are born an artist or you are not. And you stay an artist, dear, even if your voice is less of a fireworks. The artist is always there.
Trebor Healey, A Horse Named Sorrow|We make a fatal mistake when we try to force Scripture to offer redemption to those who want to go to heaven but who don't want a relationship with the living God. By trying to offer some minimal standard of conduct that will allow them to qualify for salvation while continuing to to pursue their own agendas, we distort the gospel and destroy its power, and we concoct legalistic games to give them a false sense of security.
Nnedi Okorafor|All the teaching I had ever received had failed to make me apply such intelligence as I was possessed of, directly and vividly: there had never been any sunshine, as regards language, in the earlier grey days of learning, for the sky had always pelted with gerunds and optatives.
Sherrilyn Kenyon, Born of Betrayal|Life is all about change. If it were static, think about how boring it would be. You can't be afraid of it, and you can't worry that you'll mess things up.
Ian Fleming|Women are systematically degraded by receiving the trivial attentions which men think it manly to pay to the sex, when, in fact, men are insultingly supporting their own superiority.
Alicia Kobishop, The Fine Line|We're a symphony--our limbs and lips and skin making up the instruments, working together to create a beautiful piece of music.
Paulo Coelho, The Alchemist|I had a dream, and I met with a king. I sold crystal and crossed the desert. And, because the tribes declared war, I went to the well, seeking the alchemist. So, I love you because the entire universe conspired to help me find you.
Kevis Hendrickson|Magic is a dangerous thing, child. It isn’t something to use lightly.
Aleksandr Solzhenitsyn, Warning to the West|Everybody knows that the dice are loadedEverybody rolls with their fingers crossedEverybody knows the war is overEverybody knows the good guys lostEverybody knows the fight was fixedThe poor stay poor, the rich get richThat's how it goesEverybody knows
Jess Row, The Empties|Country’s friggin’ dying, man, you have to triage the motherfucker.
Lailah Gifty Akita|When face with any problem, do not panic, but pray. You will find the peace to overcome the pain.
Yotam Ottolenghi|I know the true meaning of getting by by the skin of my teeth; I do. It doesn't matter whether you've got money or you haven't, whether you're famous or not. This is the case for all women, actually; you have to carry on. You always have to carry on. And you can, because you have to.
Baruch Spinoza, Ethics|You can lie in any language on earth, and body language is no exception.
Catherine Bailey, The Secret Rooms: A True Gothic Mystery|They say older folks need less sleep, so I must not be old yet.
Karl Marx, The German Ideology|Psycholinguists argue about whether language reflects our perception of reality or helps create them. I am in the latter camp. Take the names we give the animals we eat. The Patagonian toothfish is a prehistoric-looking creature with teeth like needles and bulging yellowish eyes that lives in deep waters off the coast of South America. It did not catch on with sophisticated foodies until an enterprising Los Angeles importer renamed it the considerably more palatable "Chilean sea bass.
Kevyn Aucoin|From the first opening of our eyes, it is the light that attracts us. We clutch aimlessly with our baby fingers at the gossamer-motes in the sunbeam, and we die reaching out after an ineffable blending of earthly and heavenly beauty which we shall never fully comprehend.
Michele Bardsley, Don't Talk Back To Your Vampire|I had always turned to books, to knowledge, to help me get through everything in my life—and,sometimes, to escape it. But grief was a journey through a forest of razor blades. I walked through everypainful inch of it—no shortcuts and no anesthesia.
Claire North, The First Fifteen Lives of Harry August|And certainly I know I have the capacity within me to be all of that again, to feel all of that again, and know that, while the door may be currently locked, there is a black pit in the bottom of my soul that has no limit to its falling.
Hermann Hesse, The Glass Bead Game|The old man slowly raised himself from the piano stool, fixed those cheerful blue eyes piercingly and at the same time with unimaginable friendliness upon him, and said: "Making music together is the best way for two people to become friends. There is none easier. That is a fine thing. I hope you and I shall remain friends. Perhaps you too will learn how to make fugues, Joseph.
China Miéville, Embassytown|There are limits to human beings and science, and fiction is one way to expose those limits. --Ono Norihiro
Elizabeth Gilbert, Eat, Pray, Love|True wisdom gives the only possible answer at any given moment, and that night, going back to bed was the only possible answer.
Patrick Modiano|I am a fading phantasmagoria. Time has left me in partial glory."--Fidelis O Mkparu
Charles de Leusse|When everything all in a moment comes together, surprisingly perfect, it doesn’t prove there’s a loving God; but if there is, isn’t it perfect when all in a moment, God proves how surprisingly He loves?
Michelle Geaney|And like a colorful bloom of temporary lights in the sky, you will shine.
Odille Rault|When you change what you believe, you change what you do... which changes what you get.
Levon Peter Poe|Wise people do not claim to know it all, they always choose to learn from others.
Chrissy Metz|'Arrival' talks very little about language and how to precisely dissect a foreign language. It's more a film on intuition and communication by intuition, the language of intuition.
Lailah Gifty Akita|Whatever a man sow, shall he reap.
Jodi Thomas, When a Texan Gambles|He was a drool-worthy, panty-drenching, yummy work of masculine art.
Florence Welch|Trust is important in any relationship, not just a romantic one.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|A fast is not necessarily something we offer God, but it assists us in offering ourselves
Denise Baer|No wonder Sleeping Beauty looked so good...she took long naps, never got old, and didn't have to do anything but snore to get her Prince Charming.
Sheila Jeffreys, Gender Hurts: A Feminist Analysis of the Politics of Transgenderism|--As I must therefore conclude that you are not serious in your rejection of me, I shall choose to attribute it to your wish of increasing my love by suspense, according to the usual practice of elegant females." --"I do assure you, sir, that I have no pretensions whatever to that kind of elegance which consists in tormenting a respectable man. I would rather be paid the compliment of being believed sincere.
Lailah Gifty Akita, Think Great: Be Great!|We are strengthening by different experiences in life;Sad times, happy moments.Poverty, riches.Failure, success.Troubles, good times.Losing, winning.
Paul Gibbons, The Science of Successful Organizational Change: How Leaders Set Strategy, Change Behavior, and Create an Agile Culture|Compared to ecosystems and some species, corporations are very fragile entities indeed.
E. Mellyberry, I Won't Break|Because when you finally find the one against all odds, you give him your best and let the magic of the world carry the rest.
Ernst Jünger, Storm of Steel|In a curious failure of comprehension, I looked alertly about me for possible targets for all this artillery fire, not, apparently, realizing that it was actually ourselves that the enemy gunners were trying for all they were worth to hit.
Dani Harper, First Bite|eriously, Drew. What kind of Vampire are you? You spend most of your eternal life pretending to be human - and miserably, I might add, while constantly being ashamed of what you really are. Okay, I get it. I moaned for over a decade when I was turned, but I got over it. You are one of the most gifted of our kind, and in spite of that, You are the most stupid Vamp I know, because you've just revealed what you are and all of us in fact, to a human.
L.J. Shen, Ruckus|Stars also symbolize the cycle of life, solitude and gravity. They glow in the dark energy that’s the majority of space, and remind us that even in the pitch black, there’s always something that can shine.
Debasish Mridha|Anxiety does not take away stress; it just enhances it. If you accept changes with optimism and love, anxiety will melt away.
Sadegh M. Angha, Padidehaye Fekr: Manifestations of Thought|Quit worrying about hell or dreaming about heaven as they are both present inside this very moment. Why worry so much about the aftermath, an imaginary future, when this very moment is the only time we can truly and fully experience the presence and absence of God in our lives? Motivated by neither the fear of punishment nor the desire to be rewarded in heaven, Sufis love God simply because they love him.
Michael Jay, Dog Water Free, A Memoir: A coming-of-age story about an improbable journey to find emotional truth|BARRY GIFFORD, Author of "Wild at Heart" on DANGEROUS ODDS by Marisa Lankester:"Marisa Lankester's unique chronicle of high crimes and low company is as wild a ride as any reader is likely to be taken on. She was the lone woman in the eye of a predatory hurricane that blew across continents and devastated countless lives. That she survived is testament to her brains and bravery. The old-timers who invented violence as a second language contended that nothing is deadlier than the female, to cross her was to buck dangerous odds, and this book tells you why." Film "Wild at Heart" won Palme D’Or at the Cannes Film Festival, Film by David Lynch
Paul Kearney|When we love and respect people, revealing to them their value, they can begin to come out from behind the walls that protect them.
Amanda Weaver|Busted," she said. "You pretend to be all rough and tough, but on the inside you're a big softie."	"I guarantee you there is nothing soft---
Miguel Syjuco, Ilustrado|Angst is not the human condition, it’s the purgatory between what we have and what we want but can’t get.
Brian Andreas|Among those whom I like or admire, I can find no common denominator, but among those whom I love, I can; all of them make me laugh.
Joanna Brandow|I have a RAGING SEA inside of me, trying to break free from ALL of me.
Alexander Frater, Chasing the Monsoon|minorityhood is a state of mind, Mr. Diggs. It is a sense of powerlessness, of being out of the mainstream, of being here on sufferance. I refuse to let others define me that way. I tell my fellow Muslims: No one can make you a minority without your consent.
Storm Jameson|Happiness is a sunbeam which may pass through a thousand bosoms without losing a particle of its original ray; nay, when it strikes on a kindred heart, like the converged light on a mirror, it reflects itself with redoubled brightness. It is not perfected till it is shared.
Cheyanne Ratnam|I guess pencil crayons are like life; we hope to gain wisdom through our experiences, and sadly many of us learn important lessons later in life - however all that colour we scratched and pressed into our canvases create stories for our children, and grandchildren - things to laugh at as we look back, and hopefully things others can use as examples of lessons of caution, and tales of overcoming negative situations despite the overwhelming odds stacked up against us. Tales of past likes and loves, lessons learned, and the stories about how you met the right person and how you ended up with them - often a winding tale until there's an 'AH-HA' moment of enlightenment, lol. Tales of raw adversity...because rawness is beautiful, and learned wisdom which proves showing weakness is actual bravery. That not everyone you lose is a loss, and that in life, a situation will keep repeating itself until one learns their lesson. As sad as it is to see these pencils being shortened, and the way one tries to preserve what's left as they get shorter and shorter... the new box of crayons which will eventually be bought will continue the storytelling of the old, and add new stories until they themselves expire.
Walker Percy, The Moviegoer|One of the most interesting accomplishments of the film community, it seems to me, is that it has made real for America the exquisite beauty of incompatibility. Divorce among the gods possesses the sweet, holy sadness that has long been associated with marriage among the mortals. There is something infinitely tender about the inability of an actor to get along with an actress. When it is all over, and the decree is final, the two are even more attentive to each other, are seen oftener together, than ever before.
Jonathan L. Howard, The Fear Institute|No churchmen, I notice. Of course not. What use have they for a world without irrational fear?
Shilpa Menon|Healing is not a process, it is a choice. Nothing can heal your scars until you decide to.
Stephen King, Nightmares and Dreamscapes|What about reality, you ask? Well, as far as I'm concerned, reality can go take a flying fuck at a rolling doughnut. I've never held much of a brief for reality, at least in my written work. All too often it is to the imagination what ash stakes are to vampires.
Rebecca West, Black Lamb and Grey Falcon|I will be­lieve that the bat­tle of fem­i­nism is over, and that the fe­male has reached a po­si­tion of equal­ity with the male, when I hear that a coun­try has al­lowed it­self to be turned up­side-down and led to the brink of war by its pas­sion for a to­tally bald woman writer.
|Anyone can make a living, but it takes an extraordinary person to make a living while creating a strong positive impact.
Patrick Ness, The Rest of Us Just Live Here|We stay watching the fire, which probably is just a fire, but we watch it together. Me and my friends. And there'll be a tomorrow, of course there will, when it all begins again, but right now is almost a kind of loop for me, something to feel on the inside of, but this time it's good. It's a loop with my friends that would even be a pretty damn good forever.
Hannah Whitall Smith|There's comfort in a life lived in circles and its careful, sloping lines.
Amy Tan, The Valley of Amazement|I now lived in an invisible place made of my own dwindling breath, and because no one else could see it, they could not yank me out of it.
Jayma Mays|I went to elementary like any other kid, but I was just always a little different. I had that sparkle, and everyone told my mom, 'She needs to be on TV, acting.'
Rick Riordan, The Last Olympian|Poseidon raised his eyebrows as they shook hands. “Blowfish, did you say?”"Ah, no. Blofis, actually.”"Oh, I see,” Poseidon said. “A shame. I quite like blowfish. I am Poseidon.”"Poseidon? That’s an interesting name.”"Yes, I like it. I’ve gone by other names, but I do prefer Poseidon.”"Like the god of the sea.”"Very much like that, yes.
Stephen D. Levitt Stephen J. Dubner|In our society, if someone wants to be a hairstylist or a kickboxer or a hunting guide -or a schoolteacher- he or she must be trained and licensed by a state agency. No such requirement is necessary for parenthood. Anyone with a set of reproductive organs is free to create a child, no questions asked, and raise them as they see fit, so long as there are no visible bruises- and then turn that child over to the school system so the teachers can work their magic. Maybe we are asking too much of the schools and too little of our parents and kids?.
M. James Airey|Entrepreneur, noun: someone who takes calculated risks to add value to wider society with the hope of making money and building wealth
Ashton Applewhite, This Chair Rocks: A Manifesto Against Ageism|I fall in love with human beings based on who they are, not based on what they do or what sex they are.
Bob Thurber|You are going to feel like hell if you never write the stuff that is tugging on the sleeves in your heart--your stories, visions, memories, songs: your truth, your version of things, in your voice. That is really all you have to offer us, and it's why you were born.
Scott Turow|There is an attitude that we should be able to have everything. No, you shouldn't be able to have anything. I'd like a helicopter, but I can't afford a helicopter, so I don't buy one. People are buying stuff they can't afford on credit. I bought my Ford hybrid with cash.
Charlie Fey, Easy "A"|Lactose intolerant milk?! KISS, MY, DICK!
Sachin Panwar|Digital fit” should be first defined as “mind fit,” and then following with attitude fit and behavior fit.
Kirt J. Boyd, The Last Stop|In the eleventh century obese English king William the Conqueror took to bed and consumed nothing but alcohol to shed pounds, a practice many of his countrymen seem to continue to this day.
P.D. James, Time To Be In Earnest: A Fragment Of Autobiography|I’m an immortal. But I don’t want to be one anymore. Or rather, I don’t want to be an immortal stuck in a mortal world anymore. There is something greater out there for me, but in order to get it I need someone to put an end to my life in this world.
Stjepan Varesevac Cobets, When the Moon Takes Over the Dream: "Love Poetry"|We all have our state of mind-		happy or sad,sources of both are so relatable.Despite showing someone’s faults & flaws we need to cherish them. cause, we all are into an 	e n d l e s s l o o p.
Isabel Ruiz Lucero|We feel like acting like a Christian, following the steps of Christ, is much more important than following a doctrine.
Ernst Jünger, Eumeswil|Its impossible to initiate a rational dialogue with some one about beliefs and concepts if he has not acquired them through reason. It doesn't matter whether we are looking at God, race, or national pride.
Erich Fromm, Man for Himself: An Inquiry into the Psychology of Ethics|My friend, you had horses, and deed of arms, and the free fields; but she, being born in the body of a maid, had a spirit and courage at least the match of yours. Yet she was doomed to wait upon an old man, whom she loved as a father, and watch him falling into a mean dishonoured dotage; and her part seemed to her more ignoble than that of the staff he leaned on.-Gandalf to Eomer, of Eowyn
Maggie Stiefvater, Shiver|Sam laughed, a funny, self-deprecating laugh. "You did read a lot. And spent too much time just inside the kitchen window, where I couldn't see you very well.""And not enough time mostly naked in front of my bedroom window?" I teased. Sam turned bright red. "That," he said, "is so not the point of this conversation.
Thomas A. Edison|Study, along the lines which the theologies have mapped, will never lead us to discovery of the fundamental facts of our existence. That goal must be attained by means of exact science and can only be achieved by such means. The fact that man, for ages, has superstitiously believed in what he calls a God does not prove at all that his theory has been right. There have been many gods – all makeshifts, born of inability to fathom the deep fundamental truth. There must be something at the bottom of existence, and man, in ignorance, being unable to discover what it is through reason, because his reason has been so imperfect, undeveloped, has used, instead, imagination, and created figments, of one kind or another, which, according to the country he was born in, the suggestions of his environment, satisfied him for the time being. Not one of all the gods of all the various theologies has ever really been proved. We accept no ordinary scientific fact without the final proof; why should we, then, be satisfied in this most mighty of all matters, with a mere theory?Destruction of false theories will not decrease the sum of human happiness in future, any more than it has in the past... The days of miracles have passed. I do not believe, of course, that there was ever any day of actual miracles. I cannot understand that there were ever any miracles at all. My guide must be my reason, and at thought of miracles my reason is rebellious. Personally, I do not believe that Christ laid claim to doing miracles, or asserted that he had miraculous power...Our intelligence is the aggregate intelligence of the cells which make us up. There is no soul, distinct from mind, and what we speak of as the mind is just the aggregate intelligence of cells. It is fallacious to declare that we have souls apart from animal intelligence, apart from brains. It is the brain that keeps us going. There is nothing beyond that.Life goes on endlessly, but no more in human beings than in other animals, or, for that matter, than in vegetables. Life, collectively, must be immortal, human beings, individually, cannot be, as I see it, for they are not the individuals – they are mere aggregates of cells.There is no supernatural. We are continually learning new things. There are powers within us which have not yet been developed and they will develop. We shall learn things of ourselves, which will be full of wonders, but none of them will be beyond the natural.]
Bille August|Socialism is practical, in the best sense of the term; a living, vital force of inestimable value to society.
John Wilmot, The Complete Poems|Community, then, is an indispensable term in any discussion of the connection between people and land. A healthy community is a form that includes all the local things that are connected by the larger, ultimately mysterious form of the Creation. In speaking of community, then, we are speaking of a complex connection not only among human beings or between humans and their homeland but also between human economy and nature, between forest or prairie and field or orchard, and between troublesome creatures and pleasant ones. All neighbors are included. (pg. 202-203, Conservation and Local Economy)
Xaviera Hollander|Something is wrong here: sex has been with us since the human race began its existence, yet I would estimate that 90 percent of human beings still suffer enormous inhibitions in this area.
Rachel Morgan|Aren’t faeries supposed to be, like, really tiny? With wings and a wand and faerie dust?”“I’m not Tinker Bell!
Janet Fitch|Making love is, simply put, poetry in motion.
Morrie Schwartz|When our bodies are sick and people extend their sympathy, bring us soup, offer up solutions. When our minds are sick, people tend to shy away from you, be afraid, or call you outright crazy. I'm fascinated by the way society and individuals view mental illness, and most of my shorts comment on that.
Nick Hornby|It takes a long time for a country to build a strong base in science, but only a short time to destroy it. Germany was a sad example. It was a world leader in the sciences for more than a century, until its science base was demolished during the Nazi era, and the country ceded its position to the United States.
Dale Carnegie|When two partners always agree, one of them is not necessary." If there is some point you haven't thought about, be thankful if it is brought to your attention.
Nikki Rowe|My experience of chaotic lessons has humbled me enough to know, I could have it worse than I do I now and positive enough to know I can be where I want to be, someday.
Harold S. Kushner, When Bad Things Happen to Good People|The ending to this scene, I know it. Sirix will fail to return and Serena will still continue to wait. Even though this is repeated multiple times, Sirix will still fail to return. Even though this is repeated multiple times, Serena will still have to wait. I know....History won't change.
Look Im A Cat|When People Say How Can you Watch that, I reply Saying It Seems Your Imagination is Not as Good as mine Then Leave.
Neil Postman, Amusing Ourselves to Death: Public Discourse in the Age of Show Business|Ignorance is a virus. Once it starts spreading, it can only be cured by reason. For the sake of humanity, we must be that cure.
Alice Sebold, Lucky|I forgive you," I said. I said what I had to. I would die by pieces to save myself from real death.
Violet Cross, Survivors: Secrets|The things that kept them awake in the middle of the night, the things they did underneath the cover of darkness, both dreadful and beautiful, both attractive and repulsive, were revealed in stark clarity to their minds. A harsh reality that intensified sensations with each gust of wind. They shrank from it with frightened whimpers. The setting in each house would have fit perfectly into a post-apocalyptic tale of nuclear holocausts. Shell-shocked expressions gazed into the nothingness. Blankets over faces, silent prayers to the heavens. No curious eyes at the windows, or storm watchers dared to partake. The mere thought of looking out was too much to be borne.
D.H. Lawrence, Lady Chatterley's Lover|Perhaps only people who are capable of real togetherness have that look of being alone in the universe. The others have a certain stickiness, they stick to the mass.
Billy Graham, Billy Graham in Quotes|No matter how dark and hopeless a situation might seem, never stop praying.
Ron Baratono, The Writings of Ron Baratono|If we think about each other’s feelings, then we’re never alone.
Ernest Agyemang Yeboah|We all do have a vision in life and we all wish to achieve something in life. We all ought to note that vision is there for everyone but, achievement is there for someone!
Eli Pariser|Even in developing markets, we're seeing the growth of digital communication is proceeding at a very rapid pace.
Neal Patterson|There is no question that managed care is managed cost, and the idea is that you can save a lot of money and make health care costs less if you ration it.
Billy Marshall Stoneking|My godfather sad that story was abut taking the chaotic jigsaw of life, making it into a picture and putting a frame around it so that we could look at it, have control over it. Story and art are the humanizing elements of us.
Tahir Shah, In Arabian Nights: A Caravan of Moroccan Dreams|Stories are a kind of thing, too. Stories and objects share something, a patina. I thought I had this clear, two years ago before I started, but I am no longer sure how this works. Perhaps a patina is a process of rubbing back so that the essential is revealed, the way that a striated stone tumbled in a river feels irreducible, the way that this netsuke of a fox has become little more than a memory of a nose and a tail. But it also seems additive, in the way that a piece of oak furniture gains over years and years of polishing, and the way the leaves of my medlar shine.
Mark Helprin, Winter's Tale|I was thinking, that when my time comes, I should be sorry if the only plea I had to offer was that of justice. Because it might mean that only justice would be meted out to me.
Fay Godwin|My life motto is basically to lower your standards and expectations so you're never disappointed and never put any trust in anything, and I try to prepare for the day that I wake up, and everyone I know is like, 'LOL JK best long-running practical joke ever', so I've never really let myself freak out or get too excited about anything.
Ron Brackin|If we internalize every disappointing setback with contempt and self-loathing, a life of solitary confinement and discontentment awaits us. It’s a verdict indicted by a prosecution, deliberated by a jury and condemned by a judge…all three being you. We imprison ourselves when we allow outside negative circumstances and people dictate who we are. You can dwell in that cell…but only you can exonerate you. ~Jason Versey
Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction|The answers lie in not just hard science or philosophical rhetoric but in experiments of the imagination as well. Human perspective must be re-examined through an almost whimsical fount of imagination of species, magic, and clear creative thinking.
David Ebershoff, The 19th Wife|The agony of martyrdom is almost too much to bear. In the early hours, when the loss is fresh, there is no comfort in knowing Glory will live on. We speak of the martyrs in History but we cannot know the actual pain they suffered in their final living hours. They enter the realm of the mythic, but we must never forget these were men like ourselves. When their flesh is torn, they cry out. They suffer as you or I would suffer, although more bravely. Remember Christ. Although I am now an enemy to Joseph's legacy, I shudder when recalling his pain.
Nina Fedoroff|If you live in a ghetto and really want not to just change your life and your family's life but change your ghetto's life, make your ghetto a good neighbourhood, learn science; try to be like Mark Zuckerberg, Bill Gates and Steve Jobs.
Virginia Woolf, Orlando|A woman knows very well that, though a wit sends her his poems, praises her judgment, solicits her criticism, and drinks her tea, this by no means signifies that he respects her opinions, admires her understanding, or will refuse, though the rapier is denied him, to run through the body with his pen.
E. Jamie, The Betrayal|Not…” Bree struggled for the right words. “All my life, I’ve just wanted someone to put me first. I thought Alessandro was that man. But even after everything Bernardo has done, I mean, Arturo wouldn’t have ever shot Alessandro if Bernardo hadn’t raised him to be a monster, even knowing that, Alessandro refuses to cut his ties with his father. So…yeah, I guess I do blame Alessandro for getting shot. God, that sounds so horrible.” Bree covered her face with her hands again.
Tim Tebow, Shaken: Discovering Your True Identity in the Midst of Life's Storms|It’s important to take God’s love personally, though it may not be an easy thing to do. Sure, God loves the world, but he also loves each one of us individually.
Anthony Liccione|Fly (poem from the book Blue Bridge)Delicate, / butterfly winged, / we vainly push against the sky, / each trying to find our place.Yes, we are going to die, / let's not beat about the bush. / Maybe today, maybe tomorrow, / maybe even years from now. Meanwhile, / we have someone who loves us, / someone to love. / Surely there is no need to hesitate.
Margaret Peterson Haddix, Among the Enemy|Dan, I'm not a Republic serial villain. Do you seriously think I'd explain my master-stroke if there remained the slightest chance of you affecting its outcome? I did it thirty-five minutes ago.
Tamara Rose Blodgett, The Reflective|You may love, honor, and care for her, but someone else is doing what she needs.
Nicholas Day, Baby Meets World: Suck, Smile, Touch, Toddle|I've hated some of them too. Most of them sometimes. And they do think differently, but that's a good thing, isn't it? A hand isn't a f-foot, but I need them both to hunt.
