Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Thomas Ligotti, The Conspiracy Against the Human Race|This is the great lesson the depressive learns: Nothing in the world is inherently compelling. Whatever may be really “out there” cannot project itself as an affective experience. It is all a vacuous affair with only a chemical prestige. Nothing is either good or bad, desirable or undesirable, or anything else except that it is made so by laboratories inside us producing the emotions on which we live. And to live on our emotions is to live arbitrarily, inaccurately—imparting meaning to what has none of its own. Yet what other way is there to live? Without the ever-clanking machinery of emotion, everything would come to a standstill. There would be nothing to do, nowhere to go, nothing to be, and no one to know. The alternatives are clear: to live falsely as pawns of affect, or to live factually as depressives, or as individuals who know what is known to the depressive. How advantageous that we are not coerced into choosing one or the other, neither choice being excellent. One look at human existence is proof enough that our species will not be released from the stranglehold of emotionalism that anchors it to hallucinations. That may be no way to live, but to opt for depression would be to opt out of existence as we consciously know it.
J. Devau, Theory of the Atheist: Record One of the Alias Wars|I was not alone in my success, only in my failure.
Patrick W. Corrigan|Pathological dissociation is characterized by profound, functional amnesias and significant alterations in identity; normal dissociation is expressed primarily in the form of intense absorption with internal stimuli (e.g., daydreams) or external stimuli (e.g., a fascinating book or television program).
Nikki Rowe|Our love douses us in flames. It's terrible and deep and wingless, but I'll burn here if you burn here too.
Lauren DeStefano, Sever|He talks softly, patiently, as I sit on the window ledge and watch boats with colorful triangles for sails scratch the ocean.
Brett Favre|I thank God, Jesus, and my Grandmother for being able to support myself and my family.
Mehmet Murat ildan|Twilight is a court; when the sun sets we are put on trial in this dusky court! All things we have done throughout the day are interrogated by our conscience, the invisible judge of our minds!
Sherrilyn Kenyon, Styxx|When someone is drowning and you try to save them, they're more likely to drown you before you pull them out.
Thomas Love Peacock, Nightmare Abbey|[On hearing that 86% of gay teens have experienced harassment] Eighty-six percent? Eighty-six per-fuckin-cent WERE harassed?! That means fourteen per-fuckin-cent WEREN'T harassed? WHAT?!At MY school a hundred percent of the children - gay, straight, transgendered, bi, sell... or trade - WERE harassed. She's saying that fourteen percent of the gay students were NOT harassed? That seems impossible.At MY school any one of us would have sucked Elton John's COCK at a mandatory school assembly for a fourteen percent chance of NOT being harassed.
Craig D. Lounsbrough|With this in mind, Ava tells herself to be present and celebrate the holiday instead of wishing it was over. After all, one is given only a certain number of Christmases in one's life.
Ken Robinson|Bottom line is, I didn't return to Apple to make a fortune. I've been very lucky in my life and already have one. When I was 25, my net worth was $100 million or so. I decided then that I wasn't going to let it ruin my life. There's no way you could ever spend it all, and I don't view wealth as something that validates my intelligence.
Rafaa Khiari|If your Ipad can do it better than you, then it is not a skill.
Tilicia Haridat|Everybody's got their opinion on who they think you are or how strong or how weak you are, but at the end of the day all that matters is who you know you are, don't ever forget that.
Tony Hillerman, The Ghostway|Everything is connected. The wing of the corn beetle affects the direction of the wind, the way the sand drifts, the way the light reflects into the eye of man beholding his reality. All is part of totality, and in this totality man finds his hozro, his way of walking in harmony, with beauty all around him.
Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow|You are the custodian of your own happiness. What other people say, do or think does not create a basis for your happiness. It is you who decides your own happiness, just like forgiveness.
J.R.R. Tolkien, The Fellowship of the Ring|For a while the hobbits continued to talk and think of the past journey and of the perils that lay ahead; but such was the virtue of the land of Rivendell that soon all fear and anxiety was lifted from their minds. The future, good or ill, was not forgotten, but ceased to have any power over the present. Health and hope grew strong in them, and they were content with each good day as it came, taking pleasure in every meal, and in every word and song.
Swami Dhyan Giten|The reason that people start wars is because they still believe in their separation from life. But when you experience the wholeness with all living beings, you understand that hurting somebody else is just hurting yourself as we are all one on the spiritual level.
Patrick Süskind, Perfume: The Story of a Murderer|As he took possession of it, he was overcome by a sense of something like sacred awe. He carefully spread his horse blanket on the ground as if dressing an altar and lay down on it. He felt blessedly wonderful. He was lying a hundred and fifty feet below the earth, inside the loneliest mountain in France - as if in his own grave. Never in his life had he felt so secure, certainly not in his mother's belly. The world could go up on flames out there, but he would not even notice it here. He even began to cry softly. He did not know who to thank for such good fortune.
William Shakespeare|Hamlet' dwarfs 'Hamilton' - it dwarfs pretty much everything - but there's a revealing similarity between them. Shakespeare's longest play leaves its audience in the dark about some basic and seemingly crucial facts. It's not as if the Bard forgot, in the course of all those words, to tell us whether Hamlet was crazy or only pretending: He wanted us to wonder. He forces us to work on a puzzle that has no definite answer. And this mysteriousness is one reason why we find the play irresistible. 'Hamilton' is riddled with question marks. The first act begins with a question, and so does the second. The entire relationship between Hamilton and Burr is based on a mutual and explicit lack of comprehension: 'I will never understand you,' says Hamilton, and Burr wonders, 'What it is like in his shoes?' Again and again, Lin distinguishes characters by what they wish they knew. 'What'd I miss?' asks Jefferson in the song that introduces him. 'Would that be enough?' asks Eliza in the song that defines her. 'Why do you write like you're running out of time?' asks everybody in a song that marvels at Hamilton's drive, and all but declares that there's no way to explain it. 'Hamilton', like 'Hamlet', gives an audience the chance to watch a bunch of conspicuously intelligent and well-spoken characters fill the stage with 'words, words, words,' only to discover, again and again, the limits to what they can comprehend.
Karl  Schmidt, Tiny Thoughts for Personal Transformation: change your thoughts change your life|Once you awaken, you will have no interest in judging those who sleep.
James Balog|The term 'alpha female' originated in my field of animal behavior, but has acquired new meaning. It refers to women who are in charge, for example, by flirting and dating on their own terms. It is also used maliciously for a loud-mouthed, controlling woman who has no patience with deviating opinions.
David James Duncan, The River Why|Everyday brought me further away from other people, I had been placed out of the world's sight, as if in a cupboard, and I hoped it would stay that way. I developed a yearning for being alone, unkempt, untended.
|Rise to the challenge and become the captain of your own thoughts, beliefs, decisions and actions. Have faith in God. Walk with courage and keep your positive mental imagination alive. Whenever you fall, waste no time in getting back up. It is only a matter of time until something miraculous happens in your life.
Albert Barnes|I was successful materially, but I know life is much more than worldly success. I saw all these blessings God had given me. The way to give thanks is obedience to God.
Gloria Steinem|I think beauty is not just about what we put on our heads or on our faces or what we wear: it's deeper than that, and if we can celebrate that, celebrate the women, not just the superficiality... I think it would be really gorgeous.
Jack Kerouac|I think that just sitting down and having casual conversation is the hardest stuff to do. But the extremes? I know what it feels like to come racing around the corner at 90 miles an hour, sliding the car sideways. I know what gear I'm hitting it in when I'm coming around the corner and where I need to downshift. So to me, that's the fun stuff.
Mensah Oteh|Gratitude must come from a place of true sincerity to be effective. Without sincerity, the experience is incomplete.
ME :)|History is for everyone, but the memories of it is for those who experienced it.
Steven Wright|When everything is coming your way, you're in the wrong lane.
Tim Burton|I don't want to criticize any other designers, but I have to say that many of the people involved in this industry - directors and producers - are trying to make their games more like movies. They are longing to make movies rather than making videogames.
Rick Riordan|Fortunately, we did most of our athletic stuff inside, so we didn't have to jog through Tribeca looking like a bunch of boot-camp hippie children.
Jasper Fforde|Mr. McGregor's a nasty piece of work, isn't he? Quite the Darth Vader of children's literature.
Henry Ford|The best career advice given to the young ... is "Find out what you like doing best and get someone to pay you for doing it."
Andrew Barrett, The Third Rule - The Complete Story|She smiled as though someone had just offered her, the oldest virgin in town, a fully functioning Kingsize Vibro vibrator and a deluxe inhibition bypass.
Kate Mullane Robertson|She wept a river of tears holy water, sent to soften the sharp edges of sorrow a gentle hollowing out, carving new chambers in her hearta hallowed vessel for holding sacred, the tears of others...
Roy Blount, Jr.|When I was in high school, the genders were so separate from each other. If you weren't 'dating' somebody, you couldn't just be friends with somebody.
Voltaire, Candide|Martin in particular concluded that man was born to live either in the convulsions of misery, or in the lethargy of boredom.
J. I. Packer|My breakthrough was when I began to write during my commute, at first taking notes on my Palm Pilot, and then moving on to writing full prose on the tiny QWERTY keyboard of my iPaq smartphone. I got so fast that I was averaging 400 words during the 35 minutes or so I spent on the subway each way, or 800 words round trip.
Sarah Jio, The Last Camellia|Dad says there are more than three thousand letters in the Japanese alphabet, which could pose a problem. There are only twenty-six letters in the English alphabet, and I get into enough trouble with them as it is.
Morrissey|What I do is what I like; if I'm not as famous as I'd like to be, I've done it to myself.
Phillip Andrew Bennett Low, Indecision Now! A Libertarian Rage|She lifted me back into the seat with a wicked grin, and breathed, 'Just don’t stop talking. Whatever you do, just don’t stop talking,' and swallowed my manhood. I scrambled desperately through the darkened corners of my memory until I couldn’t take it anymore. I grabbed her by the hair and said, 'Now bend over, and I’ll do to you what the Organization of Petroleum Exporting Countries wants to keep the Federal government from doing to the state of Alaska.
Orson Scott Card, Ender's Shadow|Bean was tired of talking about this. She looked so happy when she talked about God, but he hadn't figured it out yet, what God even was. It was like, she wanted to give God credit for every good thing, but when it was bad, then she either didn't mention God or had some reason why it was a good thing after all. As far as bean could see, though, the dead kids would rather have been alive, just with more food. If God loved them so much and he could do whatever he wanted, then why wasn't there more food for these kids? And if God just wanted them dead, why didn't he let them die sooner or not even be born at all, so they didn't have to go to so much trouble and get all excited about trying to be alive when he was just going to take them to his heart. None of it made any sense to Bean, and the more Sister Carlotta explained it, the less he understood it. Because if there was somebody in charge, then he ought to be fair, and if he wasn't fair, then why should Sister Carlotta be so happy that he was in charge?
Jill Shalvis, Instant Attraction|I want you to know, chickens aren’t sexy. Not to me.”This was met with silence.“Are you there?” She was slurring her words now, which was embarrassing, so she took a deep breath. “Cam? Can you hear me?”“Yes, chickens aren’t sexy. Uh…I don’t think they’re meant to be.
Ayn Rand, The Fountainhead|A house can have integrity, just like a person,' said Roark, 'and just as seldom.
Ruth Ahmed, When Ali Met Honour|Unfortunately for humanity, God is patient enough to actually enjoy watching the grass grow.
Abhijit Naskar|Progress of the human society is predicated upon the proper functioning of a key element of the human mind, that is reasoning.
John Mackey|In general, when you travel, you get into a different reality and are able to more accurately reflect on your ordinary life. Hiking does that for me.
Wumen Huikai, The Gateless Gate|The earth is black in front of the cliff, and no orchids grow.Creepers crawl in the brown mud by the path.Where did the birds of yesterday fly?To what other mountain did the animals go?Leopards and pythons dislike this ruined spot;Cranes and snakes avoid the desolation.My criminal thoughts of those days pastBrought on the disaster of today.
Kjersti Annesdatter Skomsvold, The Faster I Walk, The Smaller I Am|And there were times where I missed everyone I missed everything and everyone to the bone, I missed younger years where days were easy and everything was so innocently cheesy, I missed myself and my friends and the persons we used to be.
John Steinbeck, Travels with Charley: In Search of America|In long-range planning for a trip, I think there is a private conviction that it won’t happen. As the day approached, my warm bed and comfortable house grew increasingly desirable and my dear wife incalculably precious. To give these up for three months for the terrors of the uncomfortable and unknown seemed crazy. I didn’t want to go. Something had to happen to forbid my going, but it didn’t.
P. J. O'Rourke|Our educational system is not preparing people for the 21st Century. Failure is an essential part of entrepreneurship. If you work hard, you can get an 'A' pretty much guaranteed, but in entrepreneurship, that's not how it works.
Neetal Parekh, 51 Questions on Social Entrepreneurship|We are, none of us, pillars of strength. We use our moments of strength to carry us through our moments of weakness.
Luci Shaw|I think of these desert years of mine, not of my choosing. Maybe if it were all smooth and comfortable, if my pride and professionalism were defining life for me, God's steel-quiet, penetrating word would have been lost in the babble and sheen of success.
Robert  Black, The Control Sickness|The old face, crinkled and dented with canals running every which way, pushed and shoved up against itself for a while, till a big old smile busted out from beneath 'em all, and his grey eyes fairly glowed. It was the first time I ever saw him smile free. A true smile. It was like looking at the face of God. And I knowed then, for the first time, that him being the person to lead the colored to freedom weren't no lunacy. It was something he knowed true inside him. I saw it clear for the first time. I knowed then, too, that he knowed what I was - from the very first.
Louisa May Alcott, Little Women|Time after time, I have seen secrets tear people apart.
Mark Haddon, The Curious Incident of the Dog in the Night-Time|Prime numbers are what is left when you have taken all the patterns away. I think prime numbers are like life. They are very logical but you could never work out the rules, even if you spent all your time thinking about them.
James Rennell|The human brain has a natural ability, inherent in its mechanism, to work on many levels, in a process of constant promptings, in a type of self-preservation.If only humans understood...Most ignore it.
Herman Melville, Moby-Dick or, The Whale|Would you tell me, please, which way I ought to go from here?""That depends a good deal on where you want to get to.""I don't much care where –""Then it doesn't matter which way you go.
Sambal Chaulagain|everything thing in life goes really really very very deep and ally you have to show the world is ,its just on the SURFACE
Mike White|I never considered Miles Davis a perfectionist; I always considered him as an excellence-ist, where deviation is actually kind of cool.
Marcelo Gleiser, The Dancing Universe: From Creation Myths to the Big Bang|There were no witnesses to what was about to happen. 'Happen' didn't yet exist. Reality was timeless. Space also didn't exist. The distance between two points was immeasurable. The points themselves could be anywhere, hovering and bouncing. Infinity tangled into itself. There was no here and now. Only Being.
Gwendoline Riley|Writing to you like this is the same as saying your name when I've woken up late, feeling sick, tasting rot. It's pointless, but it happens.
Sara  Miles, Take This Bread: A Radical Conversion|I'd gone to Central America because I didn't think politics was simply a matter of opinion. It wasn't about having the right "line," having an ideologically pure analysis. It had to be incarnate. And now I was seeing the same thing with faith. It couldn't be about wrangling over the Bible to find justification for your convictions. Like politics, faith had to be about action.
Dietrich Bonhoeffer, The Cost of Discipleship|An image needs a living object, and a copy can only be formed from a model. Either man models himself on the god of his own invention, or the true and living God moulds the human form in his image. There must be a complete transformation, a 'metamorphosis' (Rom. 12:2; 2 Cor. 3:18), if man is to be restored to the image of God.
Auliq Ice|Through the eyes of the brave, the future makes past tense perfect sense.
William Shakespeare|If this be magic, let it be an art lawful as eating.
Criss Jami, Healology|I suspect that 'Kindness and Cruelty' and 'Mercy and Justice' all have secret affairs, as though they rendezvous only within certain sophisticated souls: those who hate being offensive, but love telling the truth.
Henry David Thoreau|Goal..., let's see this year how far I can reach... and the year which is comming it will be a number above the goal number.
San Juan de la Cruz, Dark Night of the Soul|Ossa autem alia quae sunt infra basilare non bene ad sensum apparent nisi ossa illa decoquantur, sed propter peccatum dimitiere consuevi. [The bones which are below the os basilare cannot be well seen unless they are removed and boiled, but owing to the sin involved in this I am accustomed to pass them by.]
John Ruskin|The historical experience of socialist countries has sadly demonstrated that collectivism does not do away with alienation but rather increases it, adding to it a lack of basic necessities and economic inefficiency.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.
J.D. Stark|Through the "Strength" of one and his simple existence, there will be a transformation over time that will affect many because of just one life, while the "Survival" of many more will suddenly and triumphantly become much more than just a possibility.
Samuel Adams|No people will tamely surrender their Liberties, nor can any be easily subdued, when knowledge is diffused and virtue is preserved. On the Contrary, when People are universally ignorant, and debauched in their Manners, they will sink under their own weight without the Aid of foreign Invaders.
John Wesley|In our quest for peace, we should constantly ask ourselves what we should do to create conditions in which peace can prosper.
Fanny Lee Savage, In the Shadow of Angels|Where do you prefer to sit, Sir?" (Lady Alexandra to William, the Duke, during her mail-order bride interview.)
David  Holdsworth, Angelos|He advocated that all who follow Jesus are priests, not just the official clergy. Much of what he said made sense, as did his kind manner. But why was he here now? Had this persecuted recluse emerged just to speak to me?
Desmond Tutu|This society cannot go forward, the way we have been going forward, where the gap between the rich and the poor keeps growing. It's not politically viable; it's not morally right; it's just not going to happen.
Oliver Wendell Holmes, Jr.|Well, you have to keep your faith in the fact that there are a lot of intelligent people who are actively looking for something interesting, people who have been disappointed so many times.
Christie Cote, Rain|I’m not fragile,” I teased and kissed him harder. I supposed my bruise would say otherwise, but I didn’t want to be treated like I was going to shatter if someone touched me.
Hugh MacLeod|Your idea doesn't have to be big. It just has to be yours alone. The more the idea is yours alone, the more freedom you have to do something really amazing. The more amazing, the more people will click with your idea. The more people click with your idea, the more it will change the world.
Shannan Jacoby|The light of love is the brightest, because it shines into those who contact it and purify their soul. It is also dangerous in the fact that when you come into contact with it just once, you can't truly live life if it is to leave.
Abraham Hicks|If you want to know what you are attracting, look around you!
Elif Shafak, The Forty Rules of Love|Don’t go,” said Cedric. “Murder has made you practically one of the family.
Al Ritter|Politicians obfuscate. It gets them re-elected. If no-one can understand what is going on, then the perception is that we need someone to guide us through the fog. Many people want to be led. A few people even think that they need to be led.
Rainbow Rowell, Landline|Daa-r'uu Wee-z'oo."-Ettie the Explorer
Paul Farmer|Anywhere you have extreme poverty and no national health insurance, no promise of health care regardless of social standing, that's where you see the sharp limitations of market-based health care. 
David Ogilvy|I don't know the rules of grammar. If you're trying to persuade people to do something, or buy something, it seems to me you should use their language.
Abhijit Naskar|Keep walking on the path of bravery. Keep walking on the path of your passion. Keep walking, and do not stop until you reach your goal.
Richelle E. Goodrich, Smile Anyway|Thoughts, quotes, and philosophies—good or bad—cause us to evaluate ourselves. And that is good.
Bernadette Devlin|In Canada, women's rights are a vital part of our effort to build a society of real equality - not just for some, but for all Canadians. A society in which women no longer encounter discrimination nor are shut out from opportunities open to others.
Wild Bill Hickok|Women are about the best lovers of nature, after all; at least of nature in her milder and more familiar forms. The feminine character, the feminine perceptions, intuitions, delicacy, sympathy, quickness, are more responsive to natural forms and influences than is the masculine mind.
Michael Punke|Fate didn't stand in the way. Rather, they themselves were their own worst enemies.
Stephen King, On Writing: A Memoir of the Craft|If you expect to succeed as a writer, rudeness should be the second-to-least of your concerns. The least of all should be polite society and what it expects. If you intend to write as truthfully as you can, your days as a member of polite society are numbered, anyway.
Niall Williams, History of the Rain|I’m begging you, for the love of all that’s filthy and wrong in this world, have a good time with tall, dark, and raspy, okay?
Isaac Asimov|The spread of computers and the Internet will put jobs in two categories. People who tell computers what to do, and people who are told by computers what to do.
Victoria Beckham|When I got the job on 'Lost,' I was a broke university student living in the crappiest part of town, with a duct-taped back window on a broken-down car. I existed on peanut butter and tea.
Auliq Ice|When life becomes hard, you will never like what your life is to be in the next day unless you love yourself for real.
Robert G. Ingersoll|Exoneration of Jesus Christ If Christ was in fact God, he knew all the future.Before Him like a panorama moved the history yet to be. He knew how his words would be interpreted.He knew what crimes, what horrors, what infamies, would be committed in his name. He knew that the hungry flames of persecution would climb around the limbs of countless martyrs. He knew that thousands and thousands of brave men and women would languish in dungeons in darkness, filled with pain.He knew that his church would invent and use instruments of torture; that his followers would appeal to whip and fagot, to chain and rack. He saw the horizon of the future lurid with the flames of the auto da fe.He knew what creeds would spring like poisonous fungi from every text. He saw the ignorant sects waging war against each other.He saw thousands of men, under the orders of priests, building prisons for their fellow-men. He saw thousands of scaffolds dripping with the best and bravest blood. He saw his followers using the instruments of pain. He heard the groans—saw the faces white with agony.He heard the shrieks and sobs and cries of all the moaning, martyred multitudes. He knew that commentaries would be written on his words with swords, to be read by the light of fagots. He knew that the Inquisition would be born of the teachings attributed to him. He saw the interpolations and falsehoods that hypocrisy would write and tell. He saw all wars that would be waged, and-he knew that above these fields of death, these dungeons, these rackings, these burnings, these executions, for a thousand years would float the dripping banner of the cross.He knew that hypocrisy would be robed and crowned—that cruelty and credulity would rule the world; knew that liberty would perish from the earth; knew that popes and kings in his name would enslave the souls and bodies of men; knew that they would persecute and destroy the discoverers, thinkers and inventors; knew that his church would extinguish reason’s holy light and leave the world without a star.He saw his disciples extinguishing the eyes of men, flaying them alive, cutting out their tongues, searching for all the nerves of pain.He knew that in his name his followers would trade in human flesh; that cradles would be robbed and women’s breasts unbabed for gold.And yet he died with voiceless lips.Why did he fail to speak? Why did he not tell his disciples, and through them the world: “You shall not burn, imprison and torture in my name. You shall not persecute your fellow-men.”Why did he not plainly say: “I am the Son of God,” or, “I am God”? Why did he not explain the Trinity? Why did he not tell the mode of baptism that was pleasing to him? Why did he not write a creed? Why did he not break the chains of slaves? Why did he not say that the Old Testament was or was not the inspired word of God? Why did he not write the New Testament himself?Why did he leave his words to ignorance, hypocrisy and chance? Why did he not say something positive, definite and satisfactory about another world? Why did he not turn the tear-stained hope of heaven into the glad knowledge of another life? Why did he not tell us something of the rights of man, of the liberty of hand and brain?Why did he go dumbly to his death, leaving the world to misery and to doubt?I will tell you why. He was a man, and did not know.
Kris Harte|The incessant witless repetition of advertisers' moron-fodder has become so much a part of life that, if we are not careful, we forget to be insulted by it.
Jay McLean, More Than This|The only way around it is to stay with one guy forever." But does forever have a built-in ending...?
BJ the Chicago Kid|You've got to know how to hustle. I got a lot of inspiration from my parents. My father was definitely a hustler. With six kids in the house, you always got to be hustling. And my mom, she's got sick work ethic.
Pia Juul, The Murder of Halland|Don't strive for perfection. There are so many changes you can make, there are so many tips you can choose to incorporate--start with ones that aren't going to diminish joy.
Paul Celan, Glottal Stop|rush of pine scent (once upon a time),the unlicensed convictionthere ought to be another wayof sayingthis.
Samuel Beckett, Molloy|This emperor was arbiter of the whole world at nineteen, and yet would have a man to be thirty before he could be fit to determine a dispute about a gutter.
Maurice Sendak|When I got into junior high school, that's when my mom let me dress how I wanted to dress. Up to that point I wore suits to school all the time.
John McGraw|Nature's music is never over; her silences are pauses, not conclusions.
Luhraw|He was already beginning, as always happens at a respectable age, to take a firm stand for Raphael and the old masters––not because he was fully convinced of their lofty merit, but so as to shove them in the faces of young artists.
Leo Tolstoy, War and Peace|There is no greatness where there is not simplicity, goodness, and truth.
Rossana Condoleo|BE OPEN TO new thoughts, to new people, to new principles, to new ideas, to new experiences. "NEW" MAKES US GROW
Suresh Raina|Sports have always been a really important part of how I energize myself, as well as how I relax. I spend a lot of my spare time with my family playing tennis, biking and rollerblading.
Cheryl R Cowtan, Girl Desecrated|With her, and only with her, the dead in me is alive.
Adolf Loos|He had become, after all, her home.
Brad Feld|Prince was one of the best people I've met. He didn't care about the big system. I was always like, at any time, Prince could write a No. 1 song because he's that talented, but he chooses to do what he wants. I respect that. He actually helped me through a lot of situations with his knowledge.
David Paul Kikrpatrick|We don’t read the Bible, the Bible reads us.
Subhajit Ganguly, Poems of Darkness|My beloved isn't dazzling light, Darkness is my beloved – The reason I'm so fond of her…
John Green, Looking for Alaska|People, I thought, wanted security. They couldn't bear the idea of death being a big black nothing, couldn't bear the thought of their loved ones not existing, and couldn't even imagine themselves not existing. I finally decided that people believed in an afterlife because they couldn't bear not to.
Stefan Kiesbye, Next Door Lived a Girl|Farrell had seen pure white drunkenness before, but not often enough to recognize it at sight. He knew the thing itself, however--the freight train rattling and lurching comically from hilarity to slobbering sorrow, picking up speed as it passed through wild, aimless anger straight on into wild sickness; and then, running smoothly and almost silently now, into a dark place of shaking and sweating and crying, and out again with no warning to where a dazzling snowy light made everything very still.
Captain Beefheart|I'm an optimist in the sense that I believe humans are noble and honorable, and some of them are really smart. I have a very optimistic view of individuals.
Leo Tolstoy, Anna Karenina|Without knowledge of what I am and why I am here, it is impossible to live, and since I cannot know that, I cannot live either. In an infinity of time, in an infinity of matter, and an infinity of space a bubble-organism emerges while will exist for a little time and then burst, and that bubble am I.
Elizabeth Gaskell, Cranford|Miss Jenkyns wore a cravat, and a little bonnet like a jockey-cap, and altogether had the appearance of a strong-minded woman; although she would have despised the modern idea of women being equal to men. Equal, indeed! she knew they were superior.
Jane Austen, Persuasion|She left me, offended at my want of sympathy, and thinking, no doubt, that I envied her. I did not - at least, I firmly believed I did not.
J.R.R. Tolkien, The Return of the King|Out of doubt, out of dark to the day's risingI came singing into the sun, sword unsheathing.To hope's end I rode and to heart's breaking:Now for wrath, now for ruin and a red nightfall! 
Mizuki Nomura, Book Girl and the Wayfarer's Lamentation|I love you!" he shouted, his eyes glowing laser green."I love you, okay? I'm not some hopeless retard you pull along behind you because you feel sorry for him! I love you and I'm going to prove it!
Nadège Richards, 5 Miles|It was such a strange tormenting feeling when your daemon was pulling at the link between you; part physical pain deep in the chest, part intense sadness and love. Everyone tested it when they were growing up: seeing how far they could pull apart, coming back with intense relief.
Seamus Heaney|The experiment of poetry, as far as I am concerned, happens when the poem carries you beyond where you could have reasonably expected to go.
Robert Kirkman, The Walking Dead, Vol. 19: March to War|Even though I seem not human, a mute shelfof glucose, bottled blood, machineryto swell the lung and pump the heart—even so,do not put out my life. Let me still glow.
Jim George|The right path and easy path are usually two different things, and when it’s time to choose, always choose the right path over the easy.
Irina Serban, Full Circle|Look at these cliffs! Some are abrupt and unpredictable. Some other are soft and with smooth slopes. Yet, they all have the same purpose: either to lure you and bring you down or to teach you how to stand up, firmly, on their rims while contemplating the horizon. Here, you have the perfect vision of the abyss beneath. the majesty of the skies above, or the endlessness of the horizon in front; but you can't see what's behind, and that's how it should be! What's the point in contemplating something that you already know and lived? Haven't your coming here made you know the paths on which you walked? That's why, what belongs to the past should remain there. The past gives us the lessons. We do not need a heavier luggage than this!
Somaly Mam, The Road of Lost Innocence: The True Story of a Cambodian Heroine|She was eight years old, with the body of a child, but her spirit was weighed down by an adult suffering.
Victor Hugo, Les Misérables|In all Thénardier's outpourings, the words and gestures, the fury blazing in his eyes, this explosion of an evil nature brazenly exposed, the mixture of bravado and abjectness, arrogance, pettiness, rage, absurdity; the hodgepodge of genuine distress, and lying sentiment, the shamelessness of a vicious man rejoicing in viciousness, the bare crudity of an ugly soul -- in this eruption of all suffering and hatred there was something which was hideous as evil itself and still as poignant as truth.
Alin Sav|We do not preach against people, we preach against sin.
Angela Carter, Heroes and Villains|And you came back to Lyrian?" Galloran said in disbelief."Believe it or not, I came through the same hippopotamus that brought me here the first time. Jumped into the tank on purpose. I wanted to keep others from wasting their time pursuing the Word. And I couldn't ditch Rachel."Galloran smiled. "Truly, you are possessed by that species of madness that begets heroism.
Michelle Trachtenberg|I think the worst and most insidious procrastination for me is research. I will be looking for some bit of fact or figure to include in the novel, and before I know, I've wasted an entire morning delving into that subject matter without a word written.
Amit Kalantri|So many love affairs doesn't survive, because the couple has been very loving to each other but with the time they stop respecting each other.
Philip K. Dick, Do Androids Dream of Electric Sheep?|What about -- not sex -- but love?''Love is another name for sex.''Like love of country,' Rick said. 'Love of music.
Carlos Fuentes, Myself with Others: Selected Essays|The contract between the author and the reader is a game. And the game . . . is one of the greatest invetions of Western civilization: the game of telling stories, inventing characters, and creating the imaginary paradise of the individual, from whence no one can be expelled because, in a novel, no one owns the truth and everyone has the right to be heard and understood.
Pope Benedict XVI|How many winds of doctrine we have known in recent decades, how many ideological currents, how many ways of thinking. The small boat of thought of many Christians has often been tossed about by these waves - thrown from one extreme to the other: from Marxism to liberalism, even to libertinism; from collectivism to radical individualism; from atheism to a vague religious mysticism; from agnosticism to syncretism, and so forth. Every day new sects are created and what Saint Paul says about human trickery comes true, with cunning which tries to draw those into error (cf Ephesians 4, 14). Having a clear Faith, based on the Creed of the Church, is often labeled today as a fundamentalism. Whereas, relativism, which is letting oneself be tossed and 'swept along by every wind of teaching', looks like the only attitude acceptable to today's standards. We are moving towards a dictatorship of relativism which does not recognize anything as certain and which has as its highest goal one's own ego and one's own desires. However, we have a different goal: the Son of God, true man. He is the measure of true humanism. Being an 'Adult' means having a faith which does not follow the waves of today's fashions or the latest novelties. A faith which is deeply rooted in friendship with Christ is adult and mature. It is this friendship which opens us up to all that is good and gives us the knowledge to judge true from false, and deceit from truth.
Jim Butcher, Cold Days|People's most common regret was living the life others expected of them, rather than having the courage to live a life true to themselves, and realising some dreams had gone unfulfilled as a result.
Larry McMurtry, Lonesome Dove| One of the purest souls ever to live on this fallen planet was Nicholas Herman, known as Brother Lawrence. He wrote very little, but what he wrote has seemed to several generations of Christians to be so rare and so beautiful as to deserve a place near the top among the world's great books of devotion. The writings of Brother Lawrence are the ultimate in simplicity; ideas woven like costly threads to make a pattern of great beauty. 
Rainbow Rowell, Eleanor & Park|Her upbringing had given her an independence of mind that made her more like a girl of today than one of her own time - which was why she had walked out, and why she was not daunted by the prospect of being alone.
John Stuart Mill|A leader in the Democratic Party is a boss, in the Republican Party he is a leader.
Robert M. Pirsig|The assertion that 'all men are created equal' was of no practical use in effecting our separation from Great Britain and it was placed in the Declaration not for that, but for future use.
Harrish Sairaman|When what you believe, intend, feel and act comes in alignment ‘Magic’ happens!
Phil Mitchell, A Bright New Morning: An American Story|God is good only when everything is good. When everything is bad, the devil takes control; god reappears when everything is in order once again. That's what my pastor taught me.
Katie Reus, Hunted by Darkness|Drake, her sexy mate, just lifted a big shoulder. "Bo clearly does not know how to act around his female. Once he figures out how to, they will be mated soon."	"No doubt," Finn murmured.
David James Duncan, The Brothers K|Unlike 'other' religious belief systems in competition with Christianity, we have not been called to become 'absorbed' into the deity but rather brought into communion with God through union with Christ thereby maintaining our unique individuality and personal identity
