Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Dada Bhagwan|When the ‘right belief’ occurs, the world will appear quite different. ‘Right belief’ will take one towards the Eternal (Self), and the ‘wrong belief’ will take one towards the worldly life.
Bruce Springsteen|We are drowning in information, while starving for wisdom. The world henceforth will be run by synthesizers, people able to put together the right information at the right time, think critically about it, and make important choices wisely.
Nityananda Das, Divine Union|It takes great courage to accept the constant changes of the emotions within ourselves, and even more audacity to express them whenever they occur and without filter or delay.
Hanya Yanagihara, The People in the Trees|I found myself thinking that perhaps there was something inexorable about the way events unfolded, as if my life--which had begun to seem something not my own but rather something into which I found myself blindly toppling--was indeed something living, that existed without my knowledge but that pulled me along in its strong, insistent undertow.
Danielle Valenilla, Fun Dip & Other Misfortunes|One day the world will be so badly wounded that those who try to repair it will only be called "close-minded.
Gillian Flynn, Gone Girl|But you will come to regret this, Abigail. This won’t be like one of the memories that fritters away into nothing when you come out of that game. This will leave a stain. You’ll carry for it for ever, when you could have had a few more years of blissful innocence. Are you sure, now?
Téa Obreht, The Tiger's Wife|Sometimes it's the smallest secrets that hold the most hope, the most fun, the most danger.
Sophie Jordan, Firelight|His hand glides down my arm, folds over my hand. His fingers lace with mine, palms kissing. I can feel the fast thud of his heart through this single touch.
Patricia Fripp|Gammy used to say  "Too much scrubbing takes the life right out of things."
Holly Elissa Bruno, The Comfort of Little Things: An Educator's Guide to Second Chances|Sure, life as we know it is enough. But life as we don’t know it? That’s where the magic awaits. That’s where second chances abound.
Abby Fabiaschi, I Liked My Life|You don't always get to know what happened, or why things happened a certain way, but it always, always, goes deeper than any one thing.
Maria Bamford|My voice has always been kind of distinct - even when I was four years old, my mom told me that people would be like, 'Why does your daughter always sound like a chain smoker?' I've always had this deep, raspy voice.
Cassandra Clare, Lord of Shadows|There is truth in stories. There is truth in one of your paintings, boy, or in a sunset or a couplet from Homer. Fiction is truth, even if it is not fact. If you believe only facts and forget stories, your brain will live, but your heart will die.
Yukako Kabei, Kieli, Volume 7: As the Deep Ravine's Wind Howls|We are still on our journey, still suffering and still laughing together. But I feel like the tide has turned, and I think we will have our happy ending yet. Even if it doesn’t look like what we were expecting.
Kristian Goldmund Aumann|Thou shalt not search with desire; because the real treasures, they, will remain forever hidden from you.
Michael Chabon|A story begins with this nebulous feeling that’s hard to get a hold of and you’re testing your feelings and assumptions, testing what you believe. They end up turning into keepsakes and mementos—like amber in which a memory gets trapped.
J.I. Willett, Affairs of the Heart - God's Messages to the World|The desire to remake that shrinking expanse of life they were still allotted, to make use of it, to fill it up with possibility. Oh please: one more transformation.
Tara Estacaan|His eyes were like galaxies, and everyone could get lost in them. How many stars flickered there, no one knew, but every time he glanced upon someone, a new star ignited, a new star was caught in the gravity of his stare.
Margaret George, Elizabeth I|Perhaps life is like an hour glass, with dear ones the sand that slips from the upper glass--the earth--into the second--eternity.
W.E.B. Du Bois, The Souls of Black Folk|Herein lies the tragedy of the age: not that men are poor, — all men know something of poverty; not that men are wicked, — who is good? not that men are ignorant, — what is Truth? Nay, but that men know so little of men.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Using titles such as Mr., Mrs., Miss, Dr., etc. demonstrates respect. In previous generations, it was a social necessity and simply good manners. One would consider you rude and uncultured if you were so presumptuous as to go straight to a “first name basis.” First names can imply an intimacy that does not exist and it may offend a new person until they know you better. Be wary of making assumptions.
Kristin Gore|Whether you're an obstetrician or a third-grade teacher or a real estate agent, you know when you're doing good work. You're passionate about it.
Erin Forbes, Fire & Ice: The Elementals|It would seem very silly to start a conversation with a common hedgehog. They are not at all like cats, who surely understand the human language.
Percy Bysshe Shelley, The Major Works|His face was like a law of nature—a thing one could not question, alter or implore. It had high cheekbones over gaunt, hollow cheeks; gray eyes, cold and steady; a contemptuous mouth, shut tight, the mouth of an executioner or a saint.
April WIlliams, What You Should Know About Network Marketing Before Investing Your Time, Energy and Money|Do you to the best of your ability with love, passion and purpose. The right tribe of people will fall into your life.
Seung Heun Lee, Healing Society: A Prescription for Global Enlightenment|Since we human beings are the cause of the environmental problems that we face today, we can also be the solution. We just need a shift in our thinking. We just need to move away from the paradigm of competition and domination. Then this world will not end. In fact, the world will prosper and return to its original place as the cradle of self-discovery and the advancement of human spirituality. And such a world is a true democracy.
Jon Meacham, Thomas Jefferson: The Art of Power|Curiosity is a terrible thing, he was thinking. How is it possible to stop oneself from needing to know?
Nivin Pauly|It's easy to write a short story and frighten people for five pages, but to work at length, when you do it as in 'The Turn Of The Screw' or 'A Christmas Carol,' it's different; you have to build it and build it.
Tony DiTerlizzi, A Hero For WondLa|As you discover what strength you can draw from your community in this world from which it stands apart, look outward as well as inward. Build bridges instead of walls.
Michael Phillip Cash|Every person should have the right to practice and believe what they want, as long as it does not infringe on another person’s freedom.
Peter Kreeft|God is love, and music is the language of love; therefore, music is the language of God. Music is a language more profound than words. How often have you heard a great piece of music and felt that? Great music does not just make you feel good; great music suggests some profound truth or mysterious meaning that is objectively true but not translatable into words.
Mokokoma Mokhonoana|Most people who are would each not be in love with their partner, if they did not have the kind of genitals they have.
Holly Bourne, How Hard Can Love Be?|In real life, when emotions and sentiments are involved and the very continuity of life is at stake, there are no quantitative theories, linear programming, and applied mechanics available to solve those problems.
Forest Whitaker|Everybody knows that love is better than hate, and peace is better than war.
Ernest Hemingway, For Whom the Bell Tolls|Are you a communist?""No I am an anti-fascist""For a long time?""Since I have understood fascism.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|Plunged up to the ears in work, good friend!" thought Oblomov as he watched him depart. "Yes, and blind and deaf and dumb to everything else in the world! Yet by going into society and, at the same time, busying yourself about your affairs you will yet win distinction and promotion. Such is what they call 'a career'! Yet of how little use is a man like that! His intellect, his will, his feelings--what do they avail him? So many luxuries is what they are--nothing more.Such an individual lives out his little span without achieving a single thing worth mentioning; and meanwhile he works in an office from morning till night--yes, from morning till night, poor wretch!
W. L. George|In our fast-forward culture, we have lost the art of eating well. Food is often little more than fuel to pour down the hatch while doing other stuff - surfing the Web, driving, walking along the street. Dining al desko is now the norm in many workplaces. All of this speed takes a toll. Obesity, eating disorders and poor nutrition are rife.
Mehmet Murat ildan|In the New Year, never forget to thank to your past years because they enabled you to reach today! Without the stairs of the past, you cannot arrive at the future!
Anton Chekhov, The Three Sisters|MASHA. Just think, I am already beginning to forget her face. People will not remember us either. They will forget.VERSHININ. Yes. They will forget. That is our fate, you can't do anything about it. The things which to us seem serious, significant, very important, - the time will come - they will be forgotten or they will seem of no consequence.
JUVENALIUS|What's it like for a young teen of barely 14, trying to cope with all the normal problems of adolescence, and wrestling with the realization that he's gay on top of all that? Juvenalius struggles with accepting himself and with the idea of coming out, as well as trying to find a boy who he can love and be loved back in return. Narrated by him, find out how he deals with it all and how those important to his life help.
Zadie Smith, White Teeth|Welcome and embrace closed doors, as they are gateways to new opportunities.
Sergei Dovlatov, The Suitcase|If Hemingway is to believed, poverty is an invaluable school for a writer. Poverty makes a man clear-sighted. And so on. It's interesting that Hemingway realized this only when he became rich.
Gina Sheridan, I Work at a Public Library: A Collection of Crazy Stories from the Stacks|I have always imagined that paradise will be some kind of library. - Jorge Luis Borges, “Poems of the Gifts
Tom Robbins, Fierce Invalids Home from Hot Climates|Now and again, one could detect in a childless woman of a certain age the various characteristics of all the children she had never issued. Her body was haunted by the ghost of souls who hadn't lived yet. Premature ghosts. Half-ghosts. X's without Y's. Y's without X's. They applied at her womb and were denied, but, meant for her and no one else, they wouldn't go away. Like tiny ectoplasmic gophers, they hunkered in her tear ducts. They shone through her sighs. Often to her chagrin, they would soften the voice she used in the marketplace. When she spilled wine, it was their playful antics that jostled the glass. They called out her name in the bath or when she passed real children in the street. The spirit babies were everywhere her companions, and everywhere they left her lonesome - yet they no more bore her resentment than a seed resents uneaten fruit. Like pet gnats, like phosphorescence, like sighs on a string, they would follow her into eternity.
Josh Blatter|The best investors are visionaries—they look beyond the present. By the same token, vision remains vision until you focus, do the work, and bring it down to earth where it will do some good.
Peter Ackroyd, Hawksmoor|But here we see the peace of God is not the absence of negative thoughts, it is the presence of God himself.
Joshua Edward Smith, Duality|The Revenge and the Vengeance makes you to go forward and forward to do your work... This which was taken, you should take it from them.
Karen Kincy, Clockwork Menagerie|God forbid we should both go to heaven. Its endlessness would make us hate each other. Better for you to be in heaven and me in hell. We would long for each other, dream of each other, idealize each other. You would rail against God, since he was keeping you from consummating your love. I would send smoke signals from my pit of brimstone - love letters that smelled like sulfur and made you choke. Maybe we would even try to sneak off to purgatory for illicit rendezvous.
Sukant Ratnakar, Open The Windows: To the World around You|We have to learn to apply wisdom in every situation and not "spiritualize" every temptation. Sometimes we need to overcome temptation by prayer and receiving grace; other times we need to put on some cheery music, open the curtains, and make a pot of coffee. God has given us the blessing of food when we are hungry, Advil when we have a headache, and Starbucks when we need a serious perk-up. We should avail ourselves of these blessings with gratitude to God our Creator, and not think we are somehow being unspiritual if we look to His creation for help and comfort.
Dorothy L. Sayers, Unnatural Death|Miss Climpson," said Lord Peter, "is a manifestation of the wasteful way in which this country is run. Look at electricity, Look at water-power. Look at the tides. Look at the sun. Millions of power units being given off into space every minute. Thousands of old maids, simply bursting with useful energy, forced by our stupid social system into hydros and hotels and communities and hostels and posts as companions, where their magnificent gossip-powers and units of inquisitiveness are allowed to dissipate themselves or even become harmful to the community, while the ratepayers' money is spent on getting work for which these women are providentially fitted, inefficiently carried out by ill-equipped policemen like you.
Debasish Mridha|If anyone hurts you, love him; it is the greatest revenge.
Lorii Myers, No Excuses, The Fit Mind-Fit Body Strategy Book|When you don't know where you are going in life (No Clear Destination), you don't need direction... you need Divine Revelation
Joyram|Do not fear the conflict, and do not flee from it; where there is no struggle, there is no Virtue.
Francis Darwin|Science fiction writers, I am sorry to say, really do not know anything. We can't talk about science, because our knowledge of it is limited and unofficial, and usually our fiction is dreadful.
Thomas Pynchon, Inherent Vice|Can't say it often enough - change your hair, change your life.
Chris Lester, Things Unseen|Misty bit her lip — or at least that was what it looked like with the glamour. Kate could only imagine what she was doing with that mouth full of fangs. 'How do I know I can trust him? Or you?'Kate rose to her feet. 'You don’t. You never do, with people. Some things, you have to take on faith.' She turned and headed for the door, then paused and looked back. 'I don’t know how much you know about humans. I’m just guessing here, but we probably seem like a bunch of violent, paranoid, back-stabbing monkeys. ‘Cause we are. But the thing is … sooner or later, we all find ways to trust each other, even though we might get burned doing it.'Misty’s lip curled into a sneer. 'Because deep down inside, humans are all noble creatures that want to rise above their natures, right?''Oh, hell no,' Kate said. 'It’s just better than facing the darkness alone.'Then she turned and walked out, leaving the dumbstruck Misty behind her.
Jessica Mitford, Hons and Rebels|My darling goddaughter, Olivia, was the little girl of my friends, Max and Jeff. She was turning four, and it was time to transition her from her shortened toddler bed to a full-size big girl bed. It would be the bed where she'd have her childhood dreams and her teenage angst. I wanted it strong enough to tolerate her little girl bouncing and her teenage flouncing.It had to be perfect.
Ken Robinson|Human resources are like natural resources; they're often buried deep. You have to go looking for them, they're not just lying around on the surface. You have to create the circumstances where they show themselves.
Issey Miyake|I am going to design... a Station after my own fancy; that is, with engineering roofs, etc.
Darnell Lamont Walker|When we continue to hate, we continue to lose. When we amplify mutual respect and love, we have a lot to gain. Quite simply, there is more for us to gain through love than hate.
Katy Elizabeth|There are two kinds of people in this world: givers and takers. I came to know that takers eat better, and the givers sleep better. So I want to be both. Because I want to eat and sleep both better for good health.
Anthony Liccione|If you are reading this, be sure to count this on your blessings list.
V.S. Carnes|He watched her for her reaction, or possibly watched her just to watch, his eyes hooded by his lashes and his mouth impassive. A faceless man—such as the one she had dreamed of since she was a child—his identity not obscured by mist or flying sand or swirling dust, but by a mask he readily employed whenever he wished. As a shutter closed against a gale. Closed against her, no matter the impact of his words. He seemed to speak them against his will, just as he seemed to care for her against his will.
Neil Velez|You don't need great faith to move mountains, you only need to use the poor faith you say you have.
Gail Carson Levine, The Two Princesses of Bamarre|Drualt took Freya's warm hand,Her strong hand,Her sword hand,And pressed it to his lips,Pressed it to his heart.Come with me,' he said.Come with me to battle,My love. Tarry at my side.Stay with meWhen battle is done.Tarry at my side.Laugh with me,And walk with meThe long, long way.Tarry with me,My love, at my side.
Christina Engela, High Steaks|She thought of the city at night, of cities at night. Discarded constellations of old stars, fallen from the sky, rearranged on Earth in patterns and pathways and towers. Invaded by weevils that have learned to walk upright.
Elif Shafak, The Forty Rules of Love|You are too timid for me. You care too much about what other people think. But you know what? Because you are so desperate to win the approval of others, you'll never get rid of their criticisms, no matter how hard you try. You say you want to travel the path, but you don't want to sacrifice anything to that end. Money, fame, power, lavishness, or carnal pleasure - whatever it is that one holds most dear in life, one should dispose of that first.
Asa Don Brown|As I’m beginning to find out, parenting is no child’s play, it couldSometimes determine whether couples continue to live together orgo their separate ways.
Toba Beta, Master of Stupidity|To believe, man needs no full reasoning.Without reasoning, it turns into myophia.
Richelle E. Goodrich, Smile Anyway|My knight may not wear a coat of shining armor, but his code of glowing honor will never fail to protect us both from evils far worse than any fire-breathing dragon.
Karel Čapek, The Absolute at Large|Everyone has the best of feelings towards mankind in general, but not towards the individual man. We'll kill men, but we want to save mankind. And that isn't right, your Reverence. The world will be an evil place as long as people don't believe in other people.
Libba Bray, Beauty Queens|Because the pure girls get rescued." Mary Lou felt something she didn't let herself feel often. She was well and truly pissed off. "Why do girls have to be all pure and innocent and good? Why don't guys have to be?
Erik Larson|I think you have to be willing to take a bullet for somebody if you're going to stand up there, take your vows, and be married to them for the rest of your life.
Christopher Dines, Mindfulness Burnout Prevention: An 8-Week Course for Professionals|The power of the bleeding love of God is stronger than the power of Caesar, of the law, of Mars, Mammon, Aphrodite and the rest. This is the point that Paul grasped. And that is the reason for the Colossians' gratitude. The battle has been won.
Rose Tremain|In the planning stage of a book, don't plan the ending. It has to be earned by all that will go before it.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Keep moving, no matter how slow you move, you will definitely arrive at your destination.
AainaA-Ridtz, The Sacred Key — Transcending Humanity|Quoting Father Seraphim:Our life hangs only by a breath. It is the thread that links you to the Father, the Source, which brought you into being. Be conscious of this thread, and go where you will. (27)
Della Reese|Well, number one I like dancing. Number two I knew it would be challenging because I had never done this type of dance before. I always wanted to and I happened to have the courage to go out there and give it my best shot.
John Barth, The End of the Road|When a man showed up you didn't want to look at his face and he didn't want to look at his face and he didn't want to look at yours, because it's painful to see somebody so clear that it's like looking inside him, but then neither did you want to to look away and lose him completely. You had a choice: you could either strain and look at things that appeared in front of you in the fog, painful as it may be, or you could relax and lose yourself.
François Poullain de la Barre, De l'égalité des deux sexes , discours physique et moral où l'on voit l'importance de se défaire des préjugez|Be all this as it may, men should not have to depend upon physical strength for distinction, otherwise animals would have the advantage over them, as would the physically strongest among us.
Douglas Adams|Now, the invention of the scientific method and science is, I'm sure we'll all agree, the most powerful intellectual idea, the most powerful framework for thinking and investigating and understanding and challenging the world around us that there is, and that it rests on the premise that any idea is there to be attacked and if it withstands the attack then it lives to fight another day and if it doesn't withstand the attack then down it goes. Religion doesn't seem to work like that; it has certain ideas at the heart of it which we call sacred or holy or whatever. That's an idea we're so familiar with, whether we subscribe to it or not, that it's kind of odd to think what it actually means, because really what it means is 'Here is an idea or a notion that you're not allowed to say anything bad about; you're just not. Why not? - because you're not!
Stephen King|So in that sense, I and my fellow horror writers are absorbing and defusing all your fears and anxieties and insecurities and taking them upon ourselves. We’re sitting in the darkness beyond the flickering warmth of your fire, cackling into our caldrons and spitting out spider webs of words, all the time sucking the sickness from your minds and spewing it out into the night.
C. JoyBell C.|The downfall of the attempts of governments and leaders to unite mankind is found in this- in the wrong message that we should see everyone as the same. This is the root of the failure of harmony. Because the truth is, we should not all see everyone as the same! We are not the same! We are made of different colours and we have different cultures. We are all different! But the key to this door is to look at these differences, respect these differences, learn from and about these differences, and grow in and with these differences. We are all different. We are not the same. But that's beautiful. And that's okay.In the quest for unity and peace, we cannot blind ourselves and expect to be all the same. Because in this, we all have an underlying belief that everyone should be the same as us at some point. We are not on a journey to become the same or to be the same. But we are on a journey to see that in all of our differences, that is what makes us beautiful as a human race, and if we are ever to grow, we ought to learn and always learn some more.
René Descartes, Passions of the Soul|If someone treads on my hand accidentally, while trying to help me, the pain may be no less acute than if he treads on it in contemptuous disregard of my existence or with a malevolent wish to injure me. But I shall generally feel in the second case a kind and degree of resentment that I shall not feel in the first. If someone's actions help me to some benefit I desire, then I am benefited in any case; but if he intended them so to benefit me because of his general goodwill towards me, I shall reasonably feel a gratitude which I should not feel at all if the benefit was an accidental consequence unintended or even regretted by him, of some plan of action with a different aim.
Muriel Barbery|There are days when I feel I have been able to grasp all there is to know in one single gaze, as if invisible branches suddenly spring out of nowhere, weaving together all the disparate strands of my reading--and then suddenly the meaning escapes, the essence evaporates, and no matter how often I reread the same lines, they seem to flee ever further with each subsequent reading...
Nalini Singh, Branded by Fire|Don't pull any shit because you want to show off.” “Wait a second.” She looked down then back up. “Nope, I haven't grown a cock in the last few minutes. I have no need to prove whose is bigger.
Confucius, The Analects of Confucius|If names be not correct, language is not in accordance with the truth of things.
Alexandra Bracken, Never Fade|I was looped in on your little romantic quest. The only way to get me out without it looking suspicious was to suggest that I come after you dumb asses, since I supposedly know your crappy personality so well.
Brooklyn Ann, Bite at First Sight|Rafe pulled Cassandra into his arms. "At first, I wanted my arm back to feel whole again and to not appear weak before my enemies. Now I only want it to hold you.
Anthony T. Hincks|Only poor people are corrupt. If you don't believe me, just go and ask a rich person.
Melody Jackson, The Dragon Within|The past marks on your slate only live on in your memory, if you allow them to remain. They can't affect your future if they're no longer there.
Ralph Waldo Emerson|The key to every man is his thought. Sturdy and defying though he look, he has a helm which he obeys, which is the idea after which all his facts are classified. He can only be reformed by showing him a new idea which commands his own.
Tomoko Yamashita, 恋の話がしたい [Koi no Hanashi ga Shitai]|Somewhere on the world was the Emperor's palace, set amid one hundred square miles of natural soil, rainbowed with flowers.
Rick Riordan, The Blood of Olympus|Could an Olympian parent turn against his half-blood child? Would it sometimes be easier just to let them die? If there were ever any half-bloods who needed to worry about that, it was Thalia and me. I wondered if maybe I should've sent Poseidon that seashell pattern tie for Father's Day after all.
Israelmore Ayivor, Daily Drive 365|Let God direct your steps. The main reason why many steps fail is that people know God is an expert in directing steps, but they don’t want to give him the contract.
Jamie McGuire, Beautiful Redemption|Life is many things, but if you don't try to control it, it will take hold of you and ruin you.
Amit Kalantri|Think like magician, present like magician and perform like magician.
Aldous Huxley, Brave New World|This concern with the basic condition of freedom -- the absence of physical constraint -- is unquestionably necessary, but is not all that is necessary. It is perfectly possible for a man to be out of prison and yet not free -- to be under no physical constraint and yet to be a psychological captive, compelled to think, feel and act as the representatives of the national State, or of some private interest within the nation, want him to think, feel and act.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Start with a brand new good-morning. To your husband or your wife. To your kids. To those you work with - and don't work with. What's the harm? How difficult is it? And it isn't, and you know it. So do it.
Zack Love, Stories and Scripts: an Anthology|Are you a Christian? she said.I answered:I am a Christian, I am a Jew, I am a Catholic, I am Muslim.I am each and everyone of you, look into the mirror and you will see me,as i see you..
Christopher Moore|Science, you don't know, looks like magic.
K. Martin Beckner, A Million Doorways|That scream left her mouth and entered my head, where it's been ever since, sometimes waking me up at night.
Suzanne Hayes, I'll Be Seeing You|New ideas leave the old ones shaking in their shoes, don't they?
Sue Monk Kidd, God's Joyful Surprise: Finding Yourself Loved|How do we accomplish this matter of gathering life together in God? We must begin primarily by refocusing our attention keeping our minds and hearts directed toward God. The essence of the centered life is attention to God in all we think, say and do. It is the growing realization of His presence in our most down-to-earth living.
Toba Beta, My Ancestor Was an Ancient Astronaut|Sin is the handle by which I get Christ,...
Kilroy J. Oldster, Dead Toad Scrolls|There are diverse styles of learning, problem solving, and a range of methodologies that a person can draw from in order to structure their thoughts or intentionally revise ingrained personal habits including both systematic and unsystematic approaches. Problems solving styles are reflective of personal differences in the manner that people prefer to position themselves in respect to the phenomena in the world and efficiently react to alterations in the external environment. Problem solving strategies encompass numerous variances in what manner a person approaches new concepts, how they manage their daily affairs, and respond effectively to new opportunities and complex challenges.
Ruta Sepetys, Between Shades of Gray|Mother, why are you breaking your beautiful things?' I asked...'Because I love them so much.
Gautam Gambhir|I think a captain is someone who captains on the cricket field but, most of the leadership that happens is off the cricket field. It's very easy to captain people on the cricket field, but if you can start leading them off the cricket field, and show them that trust, what you have in them.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Out of one hundred random thoughts that pass through your mind, ninety-five are your brain's indirect responses (positive & negative) to what you believe others think of you.
Patricia Storace, The Book of Heaven: A Novel|Souraya thought those days that she knew so many songs about the misery of love because pain kept love within the boundaries of time, and knowable, whereas what she was experiencing passed beyond the horizon of birth and death; it was like the eternal life the prophets spoke of. A gesture, a kiss, a task, a sentence had a golden elemental endlessness, like the scenes in the murals painted in the island houses.
Nina D'Angelo, Nowhere to Run|They say in moments of great fear or desperation, a man will always make a choice—either to flee or face his enemy, but choice requires thought, and in the moment when you know for certain that death is stalking you with strides you cannot outrun, there is no time for thought. You do not choose. Like Betto, or Malchus, or Valens, you act, doing either one thing or the other.
Thomas Rhett|At the start of each week, I generally cook a box of quinoa, and while it's simmering, I saute onions, garlic and any veggies I have on hand in a separate pan. I season the vegetables with Spike, a seasoning blend my mom always used when I was growing up, or a little Bragg Liquid Aminos. I always add crushed red pepper and chopped fresh herbs.
Guy Kawasaki, The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything|Successful entrepreneurship begins and ends with customer wants and needs, not what you want and need.
Efrat Cybulkiewicz|Careful! The kraken is wagging its tentacle, again.
Deyth Banger|... I want to feel alive... so I don't have any thoughts on so far to ending my life. I still like people's impressions and expressions, I can't stop do that moreover to watch that.... Interesting face... once upon a time a girl asked me "How do I feel"... I said "Not okay"... and that was all... - Pretty confusing!
Francis de Sales|If you have firm trust in God, the success that comes to you will always be that which is most useful for you whether it appears good or bad in your private judgment.
Emma Cline, The Girls|Among your farewells, see you soon, now I have no time and stormy silences, I met someone....that someone, is me.
E.J. Stevens|My heart, always so strong in the past, was like the fishnet stockings that clung to my legs—torn, shredded, and full of gaping holes.
Shlomo Sand, The Invention of the Jewish People|Liberals tend to view traditions, policies, and morals of past generations as arbitrary designs put in place by less enlightened people. Because of this, liberals don't pay much attention to why traditions developed or wonder about possible ramifications of their social engineering.
Amie Kaufman, This Shattered World|Portia followed after, a smirk on her face, and Syc hissed as he passed.Donegan waited till they were gone, then swung round to Gracious."He hissed at me.""He hissed at you.""Should I hiss back?""It's a bit late.""He could still hear.""Not unless you run after him.""Do you think I should?""Probably not.""I think I should.""It'd be a bit weird.""You might be right." Donegan pursed his lips, then shook his fist at the doorway."That showed him," said Gracious.Donegan nodded. "He'll think twice about hissing at me again.
Lisa Unger, Beautiful Lies|It's strange how memory gets twisted and pulled like taffy in its retelling, how a single event can mean something different to everyone present.
Julia Roberts|The things that make me happiest in the whole world are going on the occasional picnic, either with my children or with my partner; big family gatherings; and being able to go to the grocery store - if I can get those things in, I'm doing good.
Melanie Rawn, The Ruins of Ambrai|If she could find a man who could feel and laugh as well as desire, she might even think about thinking about marriage.
Regina Brett|Giving kids whatever they ask for is disastrous parenting. There's no sense of something earned. I'm sorry, but when you're 12, you don't need a new cell phone every few months just because a new one comes out.
Ronald Rolheiser, The Holy Longing: The Search for a Christian Spirituality|Sharing is just like spending, we give or spend for others while hoping them to be happy and better. At this way we can accept and find in our hearts the happiness that we want.
Jill Soloway|I don't know what 'famous' is, really.
Denis Johnson, Angels|It was all right to be who he was, but others would probably think it was terrible. A couple of times in the past he'd reached this absolute zero of the truth, and without fear or bitterness he realized now that somewhere inside it there was a move he could make to change his life, to become another person, but he'd never be able to guess what it was.
D.M. Enslin, Wielding Crimson|Philip obliged, opening his left hand, palm upwards, and forcing his energy into the creation of an orb of light, formed, tangible, and alive. The small suns Philip could create out of nothing, were miniatures of the original, with molten plasma lying almost invisible at their cores, obscured by the bright rays of light emitted from them, making them seem harmless.
Alex Prud'Homme, My Life in France|What impressed me most was how hard [Julia Child] worked, how devoted she was to the "rules" of la cuisine française while keeping herself open to creative exploration, and how determined she was to persevere in the face of setbacks. Julia never lost her sense of wonder and inquisitiveness. She was, and is, a great inspiration.
Deepak Chopra|Today I want to belong. I want to feel safe and at home. I want to be aware of what it is like simply to be, without defenses or desires. I will appreciate the flow of life for what it is-my own true self. I will notice those moments of intimacy with myself, when I feel that “I am” is enough to sustain me forever. I will lie on the grass at one with nature, expanding until my being fades into the infinite.
Joshua Mohr, Termite Parade|As the new Adam, it might be said, his final act was to cast the Apple of Knowledge into the deep blue sea.
Geraldine Brooks, The Secret Chord|He was driven to use the prerogatives of his profession, to act the parson.
Voltaire|Start from here, now is all you have, there will never be a better place or time and by tomorrow you would have lost more time.
M. Fethullah Gülen, Speech and Power of Expression: On Language, Esthetics, and Belief|True poetry is composed of metaphors and symbols which are born in the heart, rise like clouds, and assume a celestial form; verses formed otherwise are not poetry, but only artificial words, each of which contradicts the feelings inside. The utterances and words that have not been formed in a person’s soul as the voice of conscience are all hollow, no matter how embellished they are or how dazzling they seem to be.
Tom Morello|I'm not trying to pull the rug out from under anybody, but the music really does tell you where to go.
Elana Johnson, Elevated|I thought three minutes and twelve seconds would undo me. Now I’m trapped. I cannot survive in this elevator. Not with him, Not for much longer Another second.
Mehmet Murat ildan|The day you forget about the poors, you become the poorest of the poor!
Hock G. Tjoa, Agamemnon Must Die|One needs to be beyond love and above humanity to wield power, or so I sometimes think.
Jean Piaget|What interests me is whatever it is that allows the heart to continue to yearn for something the intelligence knows is impossible to have: a lost love, a shelter from life's blows, the return of a time past, even a connection to the dead.
Nick Cave|All of our days are numbered; we cannot afford to be idle. To act on a bad idea is better than to not act at all because the worth of the idea never becomes apparent until you do it. Sometimes this idea can be the smallest thing in the world, a little flame that you hunch over and cup with your hand and pray will not be extinguished by all the storm that howls about it. If you can hold on to that flame great things can be constructed around it that are massive and powerful and world changing – all held up by the tinniest of ideas.
Michael Holbrook, Dear You, Live! Love, Life|We are leashed by societal norms, defined by our willingness to conform, but limited only by our imagination.
Allan Dare Pearce, Hitler Burns Detroit|The only person you can fiercely hate is the person you have loved once fiercely, with your whole heart.
|If u are still alive and in your right senses, you are still destined to win greatly in life.
Dorothy L. Sayers, Strong Poison|Such is the imperfect nature of man! such spots are there on the disc of the clearest planet; and eyes like Miss Scatcherd's can only see those minute defects, and are blind to the full brightness of the orb.
Stuart Hill, The Cry of the Icemark|Everybody in my family believed in ghosts, and my grandma said it wasn't just bad people who turned into them, it was bad deeds too.
Claire Kent, Escorted|Here is a piece of advice. Never pay attention to what a man says when he comes. Anything might be blurted out at that moment, and it rarely means anything.
Brandon Sanderson, The Way of Kings|I’ll admit, Jasnah, that I empathize with your skepticism, but I don’t agree with it. I just think you've been looking for God in the wrong plac
Bill Schutt|After drinking the blood I feel inches closer to death, but resolved to live. I've drunk blood. I can do anything. I'm the vampire girl. I crawl close to the fox and press myself against it. It's still warm. That's how sleep takes me, with blood on my face, holding close to the fading warmth.
Diane Duane, Deep Wizardry|They sang the words in unison, yet somehow created a web of sounds with their voices. It was like hearing a piece of fabric woven with all the colors of a rainbow. I did not know that such beauty could be formed by the human mouth. I had never heard harmony before.
Thomas Malory, Le Morte d'Arthur: King Arthur and the Legends of the Round Table|This funny thing happens when you graduate college. You hear so much about being an adult that you start to feel like you have to become a different person overnight, that growing up means being not you. And you concentrate so hard on living up to the term "adult" that you forget growing up happens by living, not by sheer force of will.
