Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Karen Marshall, Amongst Ourselves: A Self-Help Guide to Living with Dissociative Identity Disorder|Today I feel no wish to demonstrate that sanity is impossible. On the contrary, though I remain no less sadly certain than in the past that sanity is a rather rare phenomenon, I am convinced that it can be achieved and would like to see more of it.
Regis Philbin|I have had wrinkles on my forehead and my smile line since I was a kid. I see them in my own kids. I know what they're going to look like. So it's kind of like that's my personality. I feel the older you get, too, the more confident you become just in your own skin.
Adam Christopher|The phonograph and kinetoscope may some day seize and perpetuate all save the magnetic touch, but that weird, illusive, indefinable yet wonderfully real power by which the orator subdues may never be caught by science or preserved for the cruel dissecting knife of the critic.
Laura Marling|Most things look better from a distance...And as a matter of fact, so do most people. - The Spook, pg 435
Diane Chamberlain, The Silent Sister|Growing up in a household where something is terribly wrong, you feel the weight of that mysterious something even though it's unspoken. It eats at you. Confuses you. It leaves you wondering if your view of the world will ever make sense.
Sue Fitzmaurice|How can I possibly find the right one, if the one that I have right now couldn't let me go?
Israelmore Ayivor, The Great Hand Book of Quotes|Integrity involves the ability to stand straight when you tell your truth, and still stand straight when the other person comes to talk!
Emily R. King, The Hundredth Queen|Why croak with dishonesty when your target subject discovers, listens, and witnesses beyond the veil of your duplicity?Your proliferation of misinformation, disinformation, gossips, polemics, planted intrigues, lies, calumny, misjudgement, and all other forms of smear campaign, may deceive gullible hearts but you cannot destroy the unparalleled truth which is in the hands of your target victim. ~ Angelica Hopes, K.H. Trilogy
Neil Gaiman, Trigger Warning: Short Fictions and Disturbances|The heart is greater than the universe, for it can find pity in it for everything in the universe, and the universe itself can feel no pity. The heart is greater than a King, because a heart can know a King for what he is, and still love him. And once you give your heart, you cannot take it back.
Zadie Smith, White Teeth|Not taking the Bible (or other texts based on 'revealed truths') literally leaves it up to the reader to cherry-pick elements for belief. There exists no guide for such cherry-picking, and zero religious sanction for it.
Aravind Adiga, The White Tiger|He shook his head, but I kept flattering him, telling him how fine his beard was, how fair his skin was (ha!), how it was obvious from his nose and forehead that he wasn't some pig herd who had converted, but a true-blue Muslim who had flown here on a magic carpet all the way from Mecca, and he grunted with satisfaction
Nia Vardalos|On the publicity tour of 'My Big Fat Greek Wedding,' I was asked over and over again, if, as the writer, I felt it was a fair depiction of real life to have someone of my er, below average looks, hook up with hottie John Corbett.
Connie Willis, To Say Nothing of the Dog|I hate cats."Death's face became a little stiffer, if that were possible. The blue glow in his eye sockets flickered red for an instant."I SEE," he said. The tone suggested that death was too good for cat haters.
Danielle Monsch, The Rooftop: A Story of Fallon and Reign|Before her lay the enemy. The only end guaranteed if she forgot that fact? Death - or worse. "Strangely enough, approval from those who don't even bother to introduce themselves before commenting on my shortcomings...tends not to make much of an impression on me.
Bill Watterson, There's Treasure Everywhere: A Calvin and Hobbes Collection|Answers? Ha, he would say that. More like riddles, mazes, labyrinths. If there's some power trying to show me the way, it should give better directions.
Kamand Kojouri|The hardest thing in the world is to let go of who you once thought you were and to manifest your true self, at the risk of being unloved. This is self-actualization.
Elle Lothlorien, Alice in Wonderland|You know what Munny said to me, right before we left? She said, ‘Watching someone die is hard work. Go to Australia and watch Faye fall in love with some dude named Rabbit. That should be fun.
L.M. Montgomery, Anne of Green Gables|...Isn't it splendid to think of all the things there are to find out about? It just makes me feel glad to be alive--it's such an interesting world. It wouldn't be half so interesting if we knew all about everything, would it? There'd be no scope for imagination then, would there?
Chuck Palahniuk, Survivor|To be poor and be without trees, is to be the most starved human being in the world. To be poor and have trees, is to be completely rich in ways that money can never buy.
Heather Vogel Frederick, The Education of Patience Goodspeed|Your body and spirit, subconscious and conscious—every portion of you recognizes home.  That is why on the moment of arrival, your entire being relaxes into a contented puddle of joy.
Erica Jong|Take your life in your own hands, and what happens? A terrible thing: no one to blame.
Saji Ijiyemi|The oak tree is inside the acorn seed, but the acorn seed will never become the oak tree unless it is willing to grow and develop
Eeva Lancaster, You're Getting Married Soon... Now What?|True Love… it’s the most wonderful human emotion and one of the most elusive. We search for it, trying to find that one person in the whole world worthy enough to spend our lives with. When you look at the trail of broken hearts, the rivers of tears and the broken dreams, it’s quite obvious that it’s not an easy dream to achieve. Don’t we rightly call it the Quest for Love? That’s why when we think we’ve found the right person, we are giddy with happiness and relief. Finally! The answer to our prayers has come after such a long wait. We are safe. We are loved.A lot of women view marriage this way and I blame that on all the Walt Disney cartoons we watched as little girls. There’s this beautiful helpless princess locked away in a castle and here comes this handsome prince to save her from her miserable life. Classic. Then, after the grand wedding ball, the movie ends with:“And They Lived Happily Ever After.”That’s it? What happened afterwards? Nothing’s mentioned about that. We are made to think that it all ends there, that the couple’s happiness is secured and a given. They love each other, right? They went through all that trouble just to be together. So they’ll be happy. End of story.
Israelmore Ayivor, Daily Drive 365|When searching for help, look for the one that will push, not the one that will pull! Your machinery needs a pusher; just avoid every puller and you’ll keep going forward!
Dr. Jacinta Mpalyenkana, Ph.D, MBA|Lately, I've been leaning towards kindness.- Camille Preaker
Keith Ferrazzi, Never Eat Alone: And Other Secrets to Success, One Relationship at a Time|There is only one way to get anybody to do anything do you know what it is? This is far from a trivial question. Business is, after all, the ability to motivate a group of individuals to move an idea from concept to reality; to take a theory and make it a practice; to gain the buy-in of your employees and colleagues; to encourage others to execute your plans
Susan Egan|It's not the teaching, it's the learning.
Akinwale Musa Oluseun|My wife is a lovely leathery green, the blue-tongued lizard said;Her eyes are as red as bulldog ants, lurking in holes in her head;Her body is made of the speckled grass, a violet grows on her tongue,And I could watch her for fifty years if nobody blundered along.
Michael Benzehabe|The dean put a finger to his chin as he studied this great and troubling mystery. The applicant’s response reeked of insincerity, like, “Have a nice day!” with all the friendly burned off. “Okay, Mr. Darlington. I’ll just be a minute.
Mokokoma Mokhonoana|With regard to things such as independence, mental capabilities, and sexuality, a very old man is nothing but a gigantic infant with white hair and wrinkles.
Namrata Kumari|It needs strength to stay silent, but it needs courage to confide in somebody.
Jon Kabat-Zinn|The journey towards success is more like a traveller lost in a desert, desperate to find an oasis, desperate to quench his thirst. But it is not about how grave the thirst is but about how long he chooses to walk thirsty.
Quentin Bryce|Paul McCartney had a baby when he was 61; Rod Stewart was 66; Rupert Murdoch was a stunning 72. Not only does that mean they'll have less stamina than the average dad, that means they'll, well, check out a lot sooner too.
Vikram Seth|How rarely these few years, as work keeps up aloof,Or fares, or one thing or another,How we had days to spend under our parents' roof;Myself, my sister, and my brother.All five of us will die; to reckon from the pastThis flesh and blood is unforgiving.What's hard is that just one of us will be the lastTo bear it all and go on living.
Zora Neale Hurston|There are real consequences when women speak out. It's really dangerous, and it takes real courage. We are still speaking out against a white male majority. Forget the glass ceiling. We haven't even broken the glass floor!
Mark Z. Danielewski, House of Leaves|My dear girl, is it that you are so lonely that you had to create this?
Rick Riordan, The Last Olympian|Tell me when it's over " Thalia said. Her eyes were shut tight. The statue was holding on to us so we couldn't fall but still Thalia clutched his arm like it was the most important thing in the world. "Everything's fine " I promised. "Are... are we very high " I looked down. Below us a range of snowy mountains zipped by. I stretched out my foot and kicked snow off one of the peaks. "Nah " I said. "Not that high.
Lloyd Alexander, The Book of Three|No, no," said Taran slowly, "It would be folly to think of attacking them." He smiled quickly at Fflewddur. "The bards would sing of us," he admitted, "but we'd be in no position to appreciate it.
Elinor Florence|A new novel awaits my arrival, prepares for my careful inspection. Yet a novel is always a long dream that lives in me for years before I know where to go to hunt it out.
Charles de Leusse|I want to be near the ocean, Lincoln, the ocean! I want to feel the tides. And i want mountains, too, at least one mountain. Is that too much to ask? And trees. Not a whole forest, necessarily. I'd settle for a thicket. Scenery. I want scenery!
Oli Hille, Creating the Perfect Lifestyle|You only get one body; it is the temple of your soul. Even God is willing to dwell there. If you truly treat your body like a temple, it will serve you well for decades. If you abuse it you must be prepared for poor health and a lack of energy.
Martin Heidegger|The ‘I’ is a bare consciousness, accompanying all concepts. In the ‘I’, ‘nothing more is represented than a transcendental subject of thoughts’. ‘Consciousness in itself (is) not so much a representation…as it is a form of representation in general.’ The ‘I think’ is ‘the form of apperception, which clings to every experience and precedes it.’Kant grasps the phenomenal content of the ‘I’ correctly in the expression ‘I think’, or—if one also pays heed to including the ‘practical person’ when one speaks of ‘intelligence’—in the expression ‘I take action’. In Kant’s sense we must take saying “I” as saying “I think.” Kant tries to establish the phenomenal content of the “I” as *res cogitans*. If in doing so he calls this “I” a ‘logical subject’, that does not mean that the “I” in general is a concept obtained merely by way of logic. The “I” is rather the subject of logical behavior, of binding together. ‘I think’ means ‘I bind together’. All binding together is an ‘*I* bind together’. In any taking-together or relating, the “I” always underlies—the ὑποκείμενον [hypokeimenon; subjectum; subject]. The *subjectum* is therefore ‘consciousness in itself’, not a representation but rather the ‘form’ of representation. That is to say, the “I think” is not something represented, but the formal structure of representing as such, and this formal structure alone makes it possible for anything to have been represented. When we speak of the “form” of representation, we have in view neither a framework nor a universal concept, but that which, as εἶδος [eidos], makes every representing and everything represented be what it is. If the “I” is understood as the form of representation, this amounts to saying that it is the ‘logical subject’.Kant’s analysis has two positive aspects. For one thing, he sees the impossibility of ontically reducing the “I” to a substance; for another thing, he holds fast to the “I” as ‘I think’. Nevertheless, he takes this “I” as subject again, and he does so in a sense which is ontologically inappropriate. For the ontological concept of the subject *characterizes not the Selfhood of the “I” qua Self, but the self-sameness and steadiness of something that is always present-at-hand*. To define the “I” ontologically as “*subject*” means to regard it as something always present-at-hand. The Being of the “I” is understood as the Reality of the *res cogitans*."―from_Being and Time_. Translated by John Macquarrie & Edward Robinson, pp. 366-367
Tim Lilburn, Moosewood Sandhills|Dry snow coming down in the hills. Magpies hair-triggered and thuggish in worn trees. A wall has started to fall in you, it will take years to land.
Mary Mihalic, Made to Make It|… but I believe the divine ones will send other great masters to preach the truth to mankind, and that mankind will always receive them with the cross and the fire and the stones
Rachel Caine, Kiss of Death|My dad used to say that life's a journey, but somebody screwed up and lost the map.
Aldous Huxley, The Doors of Perception & Heaven and Hell|But, then, the truest perceptions of life, for me at least, have always proved to be the most elusive and the most shortlived
David Barik|Life is too minuscule to waste any proportion of time on wondering what other people think about you. In the introductory place, if they had desirable things going on in their lives, they wouldn't have the time to sit around and talk about you. What's important to me is not others' opinions of me, but what's important to me is my opinion of myself. That is why the forlorn people on this planet, are those who circumspect the most about what other people think.
Debasish Mridha|Happiness is there when you have great imagination and vision, when you take relentless action and love your creation.
Nicky Charles, The Mating|Elise hid her face in his shoulder, embarassed, "Kane! What will they think?" She whispered against his neck."That we're newly bonded and I can't keep my hands off of my lovely mate." And sure enough, the good natured calls that accompanied them across the yard left her in no doubt that the others were thinking exactly that.
John Green, The Fault in Our Stars|There is nothing like fear to complicate one's consciousness, inducing previously unknown levels of reflection
Adam D'Angelo|Negative thinking patterns can be immensely deceptive and persuasive, and change is rarely easy. But with patience and persistence, I believe that nearly all individuals suffering from depression can improve and experience a sense of joy and self-esteem once again.
Mark Twain, The Innocents Abroad|One must travel, to learn. Every day, now, old Scriptural phrases that never possessed any significance for me before, take to themselves a meaning.
Craig D. Lounsbrough, Flecks of Gold on a Path of Stone: Simple Truths for Profound Living|Ignorance might be bliss, but it also has teeth.
Martin Heidegger|free fall to your quite smile to capture you and you propel me to death, all that we write destroys then heals
H. Jackson Brown Jr.|I've learned that it doesn't matter how your husband squeezes the toothpaste, the important thing is how he squeezes you.
Marianne Wiggins|I was a little troublemaker. Always trying to get in trouble, always mischief, like throwing rocks at cars when I was younger, all that kind of stuff.
Sandy Hyatt-James|The moment you stop chasing happiness, you become happy.
S.M. Parker, The Girl Who Fell|Words have power, and sometimes, they stay withyou for life. It’s up to you to allow those words to define who you become.
Ellen Hopkins, Perfect|A winner has more skills than a loser," Vor said, "no matter how you define the competition.
Jack Canfield|Find a place inside where there's joy, and the joy will burn out the pain.
Whitney K.E., What Happens in Ireland|For the briefest of moments his eyes sparkled before dimming again. “However much I would love to get into a discussion about chastity belts, now is not the time. The people we were fighting were not human in the strictest sense of the word.
Nell Stevens, Bleaker House: Chasing My Novel to the End of the World|Hi Guys , i have a job for my website ayamjuve.com , can u join with me , and get more backlink .. poker
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Love me or hate me, both are in my favour. If you love me, I'll always be in your heart... If you hate me, I'll always be in your mind.
Joel Osteen|Marriage brings one into fatal connection with custom and tradition, and traditions and customs are like the wind and weather, altogether incalculable.
Ali Smith, There but for the|It is important to know the stories and histories of things, even if all we know is that we don't know.
Jon Kabat-Zinn, Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life|You know," Cecily said, "you really didn't have to throw that man through the window.""He wasn't a man," Gabriel said, scowling. "He was an Unseelie Court faerie. One of the nasty ones.""Is that why you chased him down the street?""He had no business showing images like that to a lady," Gabriel muttered, though it had to be admitted that the lady in question had hardly turned a hair, and seemed more annoyed with Gabriel for his reaction than impressed by his chivalry."And I do think it was excessive to hurl him into the canal.""He'll float."The corners of Cecily's mouth twitched. "It was very wrong.
Alphonsus Liguori|These are all voluntary resources which help parents sort out the choices without infringing on the artists' rights to free speech, which is something that we respect.
Bob Kahn|I've tried word processors, but I think I'm too old a dog to use one.
George Clooney|Americans admire a people who can scratch a desert and produce a garden. The Israelis have shown qualities that Americans identify with: guts, patriotism, idealism, a passion for freedom. I have seen it. I know. I believe that.
Bob Dylan|When you've got nothing, you've got nothing to loose.
Alisa Harris, Raised Right: How I Untangled My Faith from Politics|These questions are difficult. The answers are not obvious, and so there should be some pausing, some angst, some honest uncertainty as people struggle to decide the best course of action. But I see none of this in the press releases and reports I read. Instead I see both sides telling us that to be uncertain, to dialogue instead of rail, is to betray the cause.
Mehmet Murat ildan|That’s the moon,’ I said.‘Gran likes it like that,’ said Lettie Hempstock.‘But it was a crescent moon yesterday. And now it’s full. And it was raining. It is raining. But now it’s not.’‘Gran likes the full moon to shine on this side of the house. She says it’s restful, and it reminds her of when she was a girl,’ said Lettie. ‘And you don’t trip on the stairs.
Jonas Armstrong|Seven years into writing a novel, I started to lose my mind. My thirty-seventh birthday had just come and gone, the end of 2008 was approaching, and I was constantly aware of how little I had managed to accomplish.
Katha Pollitt|For a novelist, no matter what, it's a complete work, even if it's not published. But if you write a screenplay, and it's not performed, then it's a sad and frustrating experience.
C.G. Jung|‎"...the sole purpose of human existence is to kindle a light in the darkness of mere being.
Søren Kierkegaard|The function of prayer is not to influence God, but rather to change the nature of the one who prays.
Ray Bradbury|Any man who keeps working is not a failure. He may not be a great writer, but if he applies the old-fashioned virtues of hard, constant labor, he'll eventually make some kind of career for himself as writer."]
Henry James|Barret thinks- he thinks, briefly- of turning around and leaving the park; of being, this time, the vanisher, the man who leaves you wondering, who offers no explanation, not even the sour satisfaction of a real fight; who simply drifts away, because (it seems) there's affection and there's sex but there's no urgency, no little hooks clasping little eyes; no binding, no dogged devotions, no prayers for mercy, not when mercy can be so easily self-administered. What would it be like, Barrett wonders, to be the other, the man who's had the modest portion he thinks of as enough, who slips away before the mess sets in, before he's available to accusation and recrimination, before the authorities start demanding of him When, and Why, and With Whom
Ilona Andrews, Clean Sweep|This club is for members only. But once you join, membership lasts for an eternity.
A.H. Septimius, Crowns Of Amara: The Return Of The Oracle|The cold surface somehow enabled him to remain calm; he kept his eyes upon the summit, awaiting the arrival of reinforcements. The pace of his breathing remained steady, as did his pulse; it was in such moments men came of age; ‘the night is ours, the night is ours’, Jelani whispered.
|You must be willing to go through some tough tests, if you wish to witness a future full of great testimonies.
Guy Winch|Race prejudice is not only a shadow over the colored — it is a shadow over all of us, and the shadow is darkest over those who feel it least and allow its evil effects to go on.
Debasish Mridha|It's not true that we lose our creative genius when we grow older, but we grow older because we forget to use our creative genius.
Neal Shusterman, Challenger Deep|You see demons in the eyes of the world, and the world sees a bottomless pit in yours.
Jerry Spinelli|Mom, is the world coming to an end?" Jonny asked, picking up the plate of cookies and ramming one into his mouth."No, it isn'T," Mom said, folding her lawn chair and carrying it to the front of the house. "And yes, you do have to go to school tomorrow.
Dreamer|Peace is normally a great good, and normally it coincides with righteousness, but it is righteousness and not peace which should bind the conscience of a nation as it should bind the conscience of an individual; and neither a nation nor an individual can surrender conscience to another's keeping.
Anna Breslaw, Scarlett Epstein Hates It Here|It's amazing how the more you read, the less you know.
Mira Monroe, Magick|You can be proud of your country and culture and, at the same time, recognize that there is something that's wrong that needs to be changed.
Ngaio Marsh, Ngaio Marsh: A Life|We do not wait for inspiration. We work because we've jolly well got to. But when all is said and done, we toil at this particular job because it's turned out to be our particular job, and in a weird sort of way I suppose we may be said to like it.
Melody  Lee, Moon Gypsy|I want your scars, your darkness, your secrets. I want to see the interior of your soul.
Toni Morrison|Well, love is insanity. The ancient Greeks knew that. It is the taking over of a rational and lucid mind by delusion and self-destruction. You lose yourself, you have no power over yourself, you can't even think straight.
Veronica Roth, Allegiant|I was angry with him before. I’m not really sure why. Maybe I was just angry that the world had become such a complicated place, that I have never known even a fraction of the truth about it. Or that I allowed myself to grieve for someone who was never really gone, the same way I grieved for my mother all the years I thought she was dead. Tricking someone into grief is one of the cruelest tricks a person can play, and it’s been played on me twice.
Isaac Asimov|Meet everyone with utmost respect and heartfelt love. Sir Kristian Goldmund Aumann, POET 2013– Sir Kristian Goldmund Aumann
Michael Morpurgo, Toto: The Dog-Gone Amazing Story of the Wizard of Oz|Magic obeys only the heart of the one who uses it. Your magic would always be a kind magic, because you are kind, I can tell. Please stay and help us.
Buck Brannaman, The Faraway Horses: The Adventures and Wisdom of One of America's Most Renowned Horsemen|In practice we always base our preparations against an enemy on the assumption that his plans are good; indeed, it is right to rest our hopes not on a belief in his blunders, but on the soundness of our provisions. Nor ought we to believe that there is much difference between man and man, but to think that the superiority lies with him who is reared in the severest school.
Idries Shah, The Book of the Book|An intelligent enemy,' he would say, stroking his beard as if it were a bristly pet, 'rather than a foolish friend.' Or, 'He learnt the language of pigeons, and forgot his own.' Or, the favourite of Jan Fishan Khan: 'Nothing is what it seems.
M.F.K. Fisher, The Art of Eating|Perhaps they should feel this safe sand blow away so that their heads are uncovered for a time, so that they will have to taste not only the solid honesty of my red borscht, but the new flavor of the changing world.
Lailah Gifty Akita|With craziness of mind, I have courage to live as I wish.
Ernest Agyemang Yeboahg Yeboah|Always be ready for criticism for there shall always be people who shall be ready always to criticize you. The positive lesson you learn from your critics, is the most important thing which matter and not just the matter!
Betty Friedan, The Feminine Mystique|A woman today who has no goal, no purpose, no ambition patterning her days into the future, making her stretch and grow beyond that small score of years in which her body can fill its biological function, is committing a kind of suicide.
Bernadette Devlin McAliskey, The Price of my Soul|To gain that which is worth having,it may be necessary to lose everything else.
Andy Weir, The Martian|As with most of life's problems, this one can be solved by a box of pure radiation.
Natalie Brenner, This Undeserved Life: Uncovering The Gifts of Grief and The Fullness of Life|Loss of any sort should stir up emotion; if it doesn’t, it’s because we’ve trained ourselves to be numb. We’ve bought into the great societal lie that emotional and sensitive is bad, is shameful, is weak, and worse yet is unlike Him.
Ross Cheit|How can it be that Jane is with me, and says she loves me? Will she not depart as suddenly as she came? To-morrow, I fear I shall find her no more.
Steve Jobs|You’ve got to find what you love. And that is as true for your work as it is for your lovers. Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven’t found it yet, keep looking. Don’t settle. As with all matters of the heart, you’ll know when you find it. And, like any great relationship, it just gets better and better as the years roll on. So keep looking until you find it. Don’t settle…Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma — which is living with the results of other people’s thinking. Don’t let the noise of others’ opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition. They somehow already know what you truly want to become. Everything else is secondary.
Debasish Mridha|When you empower others to be great, you become a great leader.
Calvin W. Allison, Shadows Over February|My time has is here, my mission has failed, but in spite of my limitations i will never loose faith. life is just a process, some do good while some do bad, i thank God for salvation because in times like these i could be careless working on my own defensive violating plans..
Ernst Haeckel, The History of Creation V1: Or the Development of the Earth and Its Inhabitants by the Action of Natural Causes|Where faith commences, science ends. Both these arts of the human mind must be strictly kept apart from each other. Faith has its origin in the poetic imagination; knowledge, on the other hand, originates in the reasoning intelligence of man. Science has to pluck the blessed fruits from the tree of knowledge, unconcerned whether these conquests trench upon the poetical imaginings of faith or not.
Stephen R.C. Hicks, Explaining Postmodernism: Skepticism and Socialism from Rousseau to Foucault|This is that moment in the hangover in which you discover that your keys are in your hat, the cat is in the sink, and you attempted late the previous night to make stew out of a pot holder. Things are in the wrong place. Religion is in the box where science used to be. Politics is on the shelf where you thought you left science the previous afternoon. Entertainment seems to have been knocked over and spilled on everything.
Milton Friedman|Self-interest is not myopic selfishness. It is whatever it is that interests the participants, whatever they value, whatever goals they pursue. The scientist seeking to advance the frontiers of his discipline, the missionary seeking to convert infidels to the true faith, the philanthropist seeking to bring comfort to the needy - all are pursuing their interests, as they see them, as they judge them by their own values.
John Stoker, Overcoming Fake Talk: How to Hold Real Conversations That Create Respect, Build Relationships, and Get Results|True communication is communion- the realization of oneness, which is love.
Dana Reinhardt, Harmless|Sam, there comes a time when the world no longer needs heroes. And then the true hero knows to walk away.
Steve Alten, The Loch|I've known how to control my anger, but that doesn't mean I don't feel it. Page 190
Alan Brown|You know Americans...Self-improvement. No matter who or what we are, we're always working on ways to become somebody else.
Mary-Jean Harris, Wrestling with Gods|Toulouse then felt a cool touch on his right hand as something wound around his wrist. It was the Lucefate snake, slowly coiling around him, winding tightly, but not enough to leave more than a slight impression afterwards. Toulouse flinched at first, yet forced himself to remain still and calm. It was Nature’s first commandment to humans: remain still and calm until you understand, until you have seen, heard, smelled, tasted, and felt all that was needed before acting.
Taylor Swift, Taylor Swift: Fearless|Regrets are useless, " the Fool replied. "All you can do is start from where you are.
Pauline Clarke, The Return of the Twelves|It did not seem odd to Max that what he had imagined about Stumps was really true, because this was exactly how games you made up worked. Of course they were true. In your mind.
M.F. Moonzajer|When you see something wrong and fail to do anything about it, even in the smallest effort, you accept the wrong.
Diane Chamberlain, Conduct Unbecoming: Rape, Torture, and Post Traumatic Stress Disorder from Military Commanders|In this miasma of forgotten wars, torture and the war on terror, there are no easy answers, especially in the face of a very real terrorism. But I can live my questions. As a humanitarian, I can act from a feeling of shared vulnerability with the victims of preventable suffering. I have a responsibility to bear witness publicly to the plight of those I seek to assist and to insist on independent humanitarian action and respect for international humanitarian law. As a citizen, I can assume my responsibility for the public world - the world of politics - not as a spectator, but as a participant who engages and shapes it. The larger force that can push back against the wrong use of power can be the force of a citizen's politics that openly debates the right use of power and the reasoned pursuit of justice. Catherine Lu, a political philosopher and my friend, has described justice as a boundary over which we must not go, a bond of common humanity between us, a balance among people of equal worth and dignity. I fight not for a utopian ideal, but each day I make a choice, against nihilism and towards justice.
Katy Kauffman, 2 Timothy: Winning the Victory|I have established my throne in heaven, and my kingdom rules over all. The day is mine, and mine also the night; I established the sun and moon. I set all the boundaries of the earth; I made both summer and winter. The earth is mine, and everything in it, the world, and all who live in it. All things are from me and through me and to me.
John Green, The Fault in Our Stars|I'm afraid that we all make mistakes. One of the things that defines our character is how we handle mistakes. If we lie about having made a mistake, then it can't be corrected and it festers. On the other hand, if we give up just because we made a mistake, even a big mistake, none of us would get far in life.
Lecrea|If i believe my truth is true and you believe your truth is true,what if my truth says yours is a lie.is it still true?
Jessica Chastain|I'm a morning person, so rising at 4-something on weekends is not a huge challenge for me. I am not, however, much of a morning eater - not at that hour, at least.
Oscar Bimpong|Poverty is a mindset: It creates that sense of scarcity. You then become accustomed to it such that your life is hinged on protecting the scarce resources that you have. However, you can only create a mindset of abundance by investing what you have and not savings. Savings only becomes significant if it's done with a motive to invest.
Liz Stephens, The Days Are Gods|You can’t forget how important coming together is, whether it be a mom and a son, a dad and a daughter, whether the family be ten people, or twenty people, or a million people. Dinnertime is the perfect time for that. Dinnertime is the perfect time when you can sit down, you can offer thanks to your kids for making you laugh, or to your parents for supporting you, or to a god for looking out for you, or to whomever you want. You can just close your eyes and open them again and realize that you have the opportunity everyday to change your life, or change someone else’s. Dinnertime is a great time to think about that.		~ Dillon, age 22 From Dinnertimes: Stories of American Life, 1912 to 2012
Bodhidharma|Buddha means awareness, the awareness of body and mind that prevents evil from arising in either.
Terry Pratchett, Guards! Guards!|Perhaps the magic would last, perhaps it wouldn't. But then again, what does?
Thiruvalluvar, Kural|It is compassion, the most gracious of virtues,Which moves the world.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|You may not understand issues that do not pertain to the heart, but be a master in areas that do. Nobody knows everything, and nobody can be a master of everything. Nobody was created perfect, and nobody should be measured according to perfection. It is the weight of your heart that matters the most in the end. All else is irrelevant.
Ann Voskamp|Who would ever know the greater graces of comfort and perserverance, mercy and forgiveness, patience and courage, if no shadows fell over a life?
Donna Tartt, The Goldfinch|It's not about outward appearances but inward significance. A grandeur in the world, but not of the world, a grandeur that the world doesn't understand. That first glimpse of pure otherness, in whose presence you bloom out and out and out.A self one does not want. A heart one cannot help.
Christina Engela, All That Remains|Some children are threatened with loss of privileges such as money, cell phones, cars or even eviction from home if they do not 'toe-the-line' and 'act straight'. I don't think parents who do such things consider for a moment the kind of emotional damage they are doing to their children - or thinking beyond their own feelings about the situation - which will not change or go away simply because of their denial.
Philip K. Dick|Everybody looks a little crazy if you're looking close enough and if you can't look that close, then you don't really love them.
Daniel Craig|Now, I learned soon enough, that among the three, two don't trust the third one - the third one is the government. Both industry and unions feel the government is a talking organization and a spending organization.
Haruki Murakami, Colorless Tsukuru Tazaki and His Years of Pilgrimage|The feeling of the wind, the sound of rushing water, the sense of sunlight breaking through the clouds, the colors of flowers as the seasons changed - everything around him felt changed, as if they had all been recast.
Pablo Neruda|I don't want to go on being a root in the dark,vacillating, stretched out, shivering with sleep,downward, in the soaked guts of the earth,absorbing and thinking, eating each day.
Pet Torres, Leione's Diary: How Everything Should Have Been|When he comes back, I'm sticking to him like moss to a stone. You're going to have to cut me off with a knife to get us separated.
Mehmet Murat ildan|-What is your contribution to society?-I mind my own business and I always know when to shut the fuck up.”*Gets Nobel Prize*If two people are happy together, just leave them alone.
Jason Alexander|When people ask me do I believe in feminism - well, I didn't even know I was a feminist. I was the top of the bill; I've always been the top of the bill. So I don't know what equality is.
Luis Camnitzer|Passing from legality to subversion, the need of finding a minimum stimulus with a maximum effect appears—an effect that through its impact justifies the risk taken and pays for it. During certain historical periods, at the level of the object, this meant dealing with and creating mysteries. At the level of situations, and in this case, it means the change of social structure.
Guy Sajer, The Forgotten Soldier|What happened next? I retain nothing from those terrible minutes except indistinct memories which flash into my mind with sudden brutality, like apparitions, among bursts and scenes and visions that are scarcely imaginable. It is difficult even to even to try to remember moments during which nothing is considered, foreseen, or understood, when there is nothing under a steel helmet but an astonishingly empty head and a pair of eyes which translate nothing more than would the eyes of an animal facing mortal danger. There is nothing but the rhythm of explosions, more or less distant, more or less violent, and the cries of madmen, to be classified later, according to the outcome of the battle, as the cries of heroes or of murderers. And there are the cries of the wounded, of the agonizingly dying, shrieking as they stare at a part of their body reduced to pulp, the cries of men touched by the shock of battle before everybody else, who run in any and every direction, howling like banshees. There are the tragic, unbelievable visions, which carry from one moment of nausea to another: guts splattered across the rubble and sprayed from one dying man to another; tightly riveted machines ripped like the belly of a cow which has just been sliced open, flaming and groaning; trees broken into tiny fragments; gaping windows pouring out torrents of billowing dust, dispersing into oblivion all that remains of a comfortable parlor...
Robin Williams|If you want something said, ask a man; if you want something done, ask a woman.
Beth Kery, Because You Are Mine: The Complete Novel|Life will never be perfect, so we must learn how to make the imperfections work for us.
Lisa Murkowski|We must respect the interior laws of creation, of this Earth, to learn these laws and obey them if we want to survive.
Teresa of Ávila|If this is how you treat your friends, no wonder you have so many enemies.
Jennifer Senior, All Joy and No Fun: The Paradox of Modern Parenthood|As a father, we need to actively listen.
