Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Peter Jelen|The day when two army corps can annihilate each other in one second, all civilized nations, it is to be hoped, will recoil from war and discharge their troops.
Buddhadasa Bhikkhu|What it takes to do a job will not be learned from management courses. It is principally a matter of experience, the proper attitude, and common sense — none of which can be taught in a classroom... Human experience shows that people, not organizations or management systems, get things done.
Nick Drake|The future says:Dear mortals;I know you are busy with your colourful lives;I have no wish to waste the little time that remainsOn arguments and heated debates;But before I can appearPlease, close your eyes, sit stillAnd listen carefullyTo what I am about to say;I haven't happened yet, but I will.I can't pretend it's going to beBusiness as usual.Things are going to change.I'm going to be unrecognisable.Please, don't open your eyes, not yet.I'm not trying to frighten you.All I ask is that you think of meNot as a wish or a nightmare, but as a storyYou have to tell yourselves -Not with an endingIn which everyone lives happily ever after,Or a B-movie apocalypse,But maybe starting with the line'To be continued...'And see what happens next.Remember this; I am notWritten in stoneBut in time - So please don't shrug and sayWhat can we do?It's too late, etc, etc, etc.Dear mortals,You are such strange creaturesWith your greed and your kindness,And your hearts like broken toys;You carry fear with you everywhereLike a tiny godIn its box of shadows.You love festivals and musicAnd good food.You lie to yourselvesBecause you're afraid of the dark.But the truth is: you are in my handsAnd I am in yours.We are in this together,Face to face and eye to eye;We're made for each other.Now those of you who are still here;Open your eyes and tell me what you see.
Ayn Rand, Anthem|We alone, of the thousands who walk this earth, we alone in this hour are doing a work which has no purpose save that we wish to do it.
Judy Penz Sheluk, Bake, Love, Write: 105 Authors Share Dessert Recipes and Advice on Love and Writing|When it comes to writing, clarity trumps all rules.
Debasish Mridha|You don’t want to be a rich businessman, a renowned artist, or whatsoever profession you choose to be into. What you really want is to be happy with what you do and to bring happiness in the lives of the people whom you love and who love you.
Arunima Sinha, Born Again on the Mountain: a story of losing everything and finding it back|The real flight of this hawk is impending.Still,this bird is yet to be tested for real.Though I have leaped over the seas,well,the entire sky is still remaining to fly.And make sure that ,i am gonna do it with all my heart and all my soul.#loveyoourlife #liveyourlife #hvFUN
Sunday Adelaja|Stopping, sitting down and finding time for reflection are considered to be the most essential action related to fulfilling a human’s destination
Bandile M Matsenjwa|I wish I could be a kid againIt's foolish I know,but I can't stand this painI'm Imprisoned by my conscience,im captivated with grudge chainsThe feelings i have,makes the bearer of my own suffer from heartachesLike a most wanted criminal,I think im on the chaseLife is compliacated they say,in my heart its not the caseI just want someone to touch my heart at the baseTruth is,love is boring without wishes,aggressions and hurts
Jack Harbaugh|Making the Australian team is the hardest part, and going to the Olympics is the easy part. You're there representing your country - you're representing every single person in it, strangers you don't know - and there's a lot of positive energy, but you have to know to channel it the right way.
Gemma Malley, The Resistance|I think you must make a few [mistakes]. Of you don't, you're probably thinking too much. That's the worst mistake you can make.
Rachel Held Evans, Searching for Sunday: Loving, Leaving, and Finding the Church|Faith is something you take a day at a time, not something you figured out at the start
Kelly Cutrone, If You Have to Cry, Go Outside: And Other Things Your Mother Never Told You|When you see a heron eating an innocent rabbit, what comes to your mind? Do you say ‘What a great order God has created?’ or you say ‘What a devilish horror is going on here!’ Question your beliefs! If the strong eats the weak, there is absolutely nothing divine in here, but there is only injustice and nightmare!
Caitlin Moran|At fifteen, I have taken up the burdens of a woman, and have come to feel I am one. Furthermore, I am glad of it. For I now no longer have the time to fall into such sins as I committed as a girl, when hours that were my own to spend spread before me like a gift.
Tim Berners-Lee|Once computers can program, they basically take over technological progress because already, today, the majority of technological progress is run by software, by programming.
Sophocles, The Complete Greek Tragedies|JOCASTA:So clear in this case were the oracles,so clear and false. Give them no heed, I say;what God discovers need of, easilyhe shows to us himself.
Thomas Merton|I have my own way to walk and for some reason or other Zen is right in the middle of it wherever I go. So there it is, with all its beautiful purposelessness, and it has become very familiar to me though I do not know "what it is." Or even if it is an "it." Not to be foolish and multiply words, I'll say simply that it seems to me that Zen is the very atmosphere of the Gospels, and the Gospels are bursting with it. It is the proper climate for any monk, no matter what kind of monk he may be. If I could not breathe Zen I would probably die of spiritual asphyxiation.
Arthur Schopenhauer, Essays and Aphorisms|To come up with one great sentence, one needs to serve a life sentence.
Maya Angelou, Wouldn't Take Nothing for My Journey Now|That knowledge humbles me, melts my bones, closes my ears, and makes my teeth rock loosely in their gums. And it also liberates me. I am a big bird winging over high mountains, down into serene valleys. I am ripples of waves on silver seas. I'm a spring leaf trembling in anticipation.
Tracie Peterson|Merrill Krause - You mentioned God's will for me. How will I know what that is, Father?Bogart Krause - I've always believed it to start with prayer. The Good Book says that if a man wants wisdom, he just has to ask. I would imagine it works the same way for womenfolk. If you want to know what God's plan is -- then I would ask Him. Couldn't hurt to search the Scriptures, too. And listen to what He is telling you inside. Even when you don't think you're hearing anything, keep listening.
Bill Loguidice Matt Barton|What a forced lifestyle our technology, our inventions imposed on our lives when we tried to live synonymously with computers; when we stepped inside their world, we left the natural one behind.
Reid A. Ashbaucher, Made in the Image of God: Understanding the Nature of God and Mankind in a Changing World|No matter how you arrive at the awareness and belief that you've lived before and will live again, the most lasting healing benefit will be the change in your attitude. You are creating your future lives right at this moment, and every moment of decision-making.
Scott Stabile|If people aren't able to see your magnificence that's their loss, not yours.
Sharon Salzberg, Real Happiness: The Power of Meditation|Because the development of inner calm & energy happens completely within & isn’t dependent on another person or a particular situation, we begin to feel a resourcefulness and independence that is quite beautiful—and a huge relief.
Alexandra Katehakis, Mirror of Intimacy: Daily Reflections on Emotional and Erotic Intelligence|Never look directly at the sun. Instead, look at the sunflower.
Joyce Meyer, Approval Addiction: Overcoming Your Need to Please Everyone|The seeker embarks on a journey to find what he wants and discovers, along the way, what he needs.
Rin Chupeco, The Suffering|Listen,listen with your eyes,and your lips.Listen with your skin, and your blood.Can you hear us,at the edges?
Debasish Mridha|Time is on its eternal journey at the same time it is motionless, emotionless and standing still.
Laura Kaye, Hard to Be Good|In that hurry to achieve, I've left little time for self-reflection. And I'm not sure I'm ready for it.
Cassandra Giovanni, Flawed Perfection|Though the trials of life are never easy, someone to stand with you and help you with your burdens is one of the true essences of living. It is well that two should join together to face life as friends as well as lovers.
Haruki Murakami, Norwegian Wood|One of the things I know about writing is this: spend it all, shoot it, play it, lose it, all, right away, every time. Do not hoard what seems good for a later place in the book or for another book; give it, give it all, give it now. The impulse to save something good for a better place later is the signal to spend it now. Something more will arise for later, something better. These things fill from behind, from beneath, like well water. Similarly, the impulse to keep to yourself what you have learned is not only shameful, it is destructive. Anything you do not give freely and abundantly becomes lost to you. You open your safe and find ashes.
VicDo|A metamorphosis had come over us. It was something internal, an electrical pulse in the brain, some slight variation in the aortic rhythm that had forever altered our states, transformed our external structures. We were not who we had been, nor yet what we would become.
Vera Nazarian, The Perpetual Calendar of Inspiration|When you reach for the stars, you are reaching for the farthest thing out there. When you reach deep into yourself, it is the same thing, but in the opposite direction. If you reach in both directions, you will have spanned the universe.
Rabindranath Tagore, Lover's Gift|The young student sits with his head bent over his books, and his mind straying in youth's dreamland; where prose is prowling on the desk and poetry hiding in the heart.
Clint Diffie|I do not believe in karma. However, I practice it everyday because it tricks me into being a better person!
Erik Pevernagie|The dialectic case of the 'things we do', the 'things we have done' and the 'things we are going to do' has been haunting present and earlier generations. For ages people have been confronted with the soul-searching question how should I interpret the past and how do I move forward. Linguistic sayings, which were inherited from century to century, gave us a good deal of remarkable advice and moral guidance in this field : " Do what is right and let come what come may ", " Do well and fear not ", " Do well and dread no shame ".Erik Pevernagie, Never looking back again
D. Martyn Lloyd-Jones|There is but one path of safety to the Latter-day Saints, and that is the path of duty. It is not testimony, it is not marvelous manifestations, it is not knowing that the Gospel of Jesus Christ is true, . . . it is not actually knowing that the Savior is the Redeemer, and that Joseph Smith was His prophet, that will save you and me, but it is the keeping of the commandments of God, the living the life of a Latter-day Saint. [Heber J. Grant, Improvement Era, November 1936, p. 659] Quoted in “Waiting Upon the Lord” By Henry B. Eyring, BYU Speeches, 30 Sept 1990
Nancy Gibbs|Logically, harmony must come from the heart... Harmony very much based on trust. As soon as use force, creates fear. Fear and trust cannot go together.
Mel Ballew, ShameLess|Who am I to deny my Master pleasure, simply because it is not at the hands of myself? He is free to do as he will, because of the life that he has given me. I am thankful for him, for the fact that out of all of us, I am the one that he chooses to keep and care for as his own.
Lalah Delia|Hold onto who loves and honor you.Not everyone will know how to.Some souls don't even know how to love and honor themselves, let alone you.
Leo Buscaglia, Loving Each Other|Definition of a relationship - an enduring, mutually-agreed upon connection or union, which fulfills certain needs of the individuals involved and the society in which they live.
Goitsemang Sandra Mvula|As you release a belief that doesn’t serve you, you want to lock in a new belief that is powerful.
Aysha Taryam, The Opposite of Indifference: A Collection of Commentaries|The world believes it was built by love but reading Shah Jahan’s own words on the Taj, one could say it was grief that built the Taj Mahal and it was sorrow that saw it through sixteen years till completion.
Archibald Marwizi, Making Success Deliberate|A hygienic environment, proper waste and sewer disposal, clean water and all efforts that destroy disease-carriers like flies and mosquitoes will reduce the spread of disease and promote good health. My home challenge for a hygienic environment is that we should be responsible enough to make sure we are safe and comfortable eating apples in the toilet and bathroom!
Vasily Grossman, Life and Fate|Before the war Sofya Levinton had once said to Yevgenia Nikolaevna Shaposhnikova, 'If one man is fated to be killed by another, it would be interesting to trace the gradual convergence of their paths. At the start they might be miles away from one another – I might be in Pamir picking alpine roses and clicking my camera, while this other man, my death, might be eight thousand miles away, fishing for ruff in a little stream after school. I might be getting ready to go to a concert and he might be at the railway station buying a ticket to go and visit his mother-in-law – and yet eventually we are bound to meet, we can't avoid it...
John Cage, M: Writings '67-'72|Remove God from the world of ideas. Remove government, politics from society. Keep sex, humor, utilities. Let private property go.
H.G. Wells, The Wife of Sir Isaac Harman|But by that time Lady Harman had acquired the habit of reading and the habit of thinking over what she read, and from that it is an easy step to thinking over oneself and the circumstances of one's own life. The one thing trains for the other.
Kiesza|Rock 'n' Roll, no roses or gardening.
Thomas Traherne, Centuries of Meditations|They hugged, tight and warm and full of the promise he’d made upon waking up.
Ed Lee|The work is challenging, interesting and an important part of our legal system.
Jim Clyburn|Anywhere you have extreme poverty and no national health insurance, no promise of health care regardless of social standing, that's where you see the sharp limitations of market-based health care.
Florentijn Hofman|Grilling is an easy tradition to start at any age! To get started, one only needs a modest investment in equipment and a little bit of outdoor space.
Julian Barnes, A History of the World in 10½  Chapters|Speech, tennis, music, skiing, manners, love- you try them waking and perhaps balk at the jump, and then you're over. You've caught the rhythm of them once and for all, in your sleep at night. The city, of course, can wreck it. So much insomnia. So many rhythms collide. The salesgirl, the landlord, the guests, the bystanders, sixteen varieties of social circumstance in a day. Everyone has the power to call your whole life into question here. Too many people have access to your state of mind. Some people are indifferent to dislike, even relish it. Hardly anyone I know.
Leslie Kate, Falling for Boston|Of course. Anyway, do you want to get together sometime this week? I haven’t seen your face in a few days; I’m starting to forget what you look like.” She snorted. “What a tragedy.” “I’m serious, let’s do something.” “You mean, like a date?” she asked skeptically. “Well I wasn’t going to give it an official title, but sure.” “I don’t know how to date.” This time, I snorted. “It’s easy, we decide on something to do, set a place and time, and then….we follow through with it. Sometimes food is involved.” “I like the sound of food.” “I thought you might. So, what do you say? Will you go on a date with me?” She had paused a few seconds before she spoke and for a second I actually thought she’d say no. “Okay, I will go on a date with you. But I expect food.
Debasish Mridha|To dream your wildest dream, find your deepest desire.
Robert Frost|The work of art, just like any fragment of human life considered in its deepest meaning, seems to me devoid of value if it does not offer the hardness, the rigidity, the regularity, the luster on every interior and exterior facet, of the crystal.
Anthon St. Maarten, Divine Living: The Essential Guide To Your True Destiny|You are heir to a heavenly fortune, the sole beneficiary of an infinite spiritual trust fund, a proverbial goldmine of sacred abundance beyond all common measure or human comprehension. But until you assert your rightful inheritance of this blessed gift, it will remain unclaimed and forever beyond your reach.
Fela Durotoye|God has given you a gift, why not open it?!
Miyuki Miyabe, The Gate of Sorrows|Above a certain size and level of prosperity, regional cities in Japan look alike. To discover what makes each one different, one has to sample the food and the sake, and stay long enough to see the patterns of life under the surface. Otherwise it can be hard to tell them apart. Wealth tends to smooth out the differences in the way people live. Life becomes standardized.Only in nature, in the mountains and valleys beyond the hand of man, are the real differences, the real uniqueness, preserved. There is something about the air in Hokkaido, a kind of richness that will never change. For better or worse, the only thing that really changes is people.
Auliq Ice|Not everything you believe that you can achieve, can be achieved but that won't stop you from trying.
Glen Duncan, I, Lucifer|Don't be afraid," Elisha answered, "We have more on our side than they have on theirs." (2 Kings 6:15 GNT)
Neil Gaiman, The Ocean at the End of the Lane|Words save our lives, sometimes.
John C. Maxwell.|Its not a question of whether we have or not, nor is-it about whether i am or you are, but this address is with respect to the fact that we need leaders who dread/desist from satisfying the rich and powerful man for political gain at the expense of their respective nations!
Rick Riordan, The Last Olympian|She whirled when the monster was almost on top of her. I thought the thing in her hands was an umbrella until she cranked the pump and the shotgun blast blew the giant twenty feet backwards, right into Nico's sword. "Nice one," Paul said. "When did you learn to fire a shotgun?" I demanded. My mom blew the hair out of her face. "About two seconds ago. Percy, we'll be fine. Go!
Shimon Peres|I trust every single person around me, and if I feel even a whiff of uncertainty I won't have that person around me.
Geraldine Brooks, The Secret Chord|If soldiering did not interest him, the soldiers themselves were another matter. He loved to sit with the men and draw out their first-hand stories of past campaigns.
Sloane Crosley|Mama grizzlies mate later than other bears. They have two cubs instead of four. They wait four years - about twice as long as other bears - between having cubs. And after they're pregnant, if winter is hard or their health is not good or the food supply is uncertain, they re-absorb the embryo into their body.
Robert Farrar Capon|What it leads to is the mischief of confusing liturgy with magic -- of imagining there are only a handful of properly effective formulas for conjuring up the mystery, when in fact the mystery is always at work, independent of any formula whatsoever.
Lex Luger|In the history of mankind there are recorded two great Inversions. The first, set forth by the Nazarene to the effect that love is a greater power and more real than vengeance. The second proclaimed the earth to be a sphere revolving in its course around the sun. These affirmations were made in the face of all evidence sacred to the contrary.
Muhammad Ali Jinnah|No nation can ever be worthy of its existence that cannot take its women along with the men. No struggle can ever succeed without women participating side by side with men. There are two powers in the world; one is the sword and the other is the pen. There is a great competition and rivalry between the two. There is a third power stronger than both, that of the women.
Maya Angelou, I Know Why the Caged Bird Sings|Muoth was right. On growing old, one becomes more contented than in one's youth, which I will not therefore revile, for in all my dreams I hear my youth like a wonderful song which now sounds more harmonious than it did in reality, and even sweeter
Angie karan|Firefly, it is an act of bravery to feel your feelings. Oh, Meg would've loved that. It's an act of bravery to feel your feelings, even if your feelings are telling you to die.
George Lyman|Falling is not hard to do just take your feet from under you but do you want to risk something that could hurt you, life is like that choose to fall and fall choose success and acomplish
John Darnielle|When we dropped 'Toot It And Boot It,' Mustard didn't even do beats, and now he's killin' it. So it's just cool to see all of my bros taking over.
Josh McDowell|I place an enormous premium on loyalty. If someone betrays me, I can forgive them rationally, but emotionally I have found it impossible to do so.
Marianne Faithfull|You can't be a strong or cool woman and be represented except in a harsh way, looking mean and cold and hard. It's like reverse sexism.
Dennis Prager, A Dark Time in America|If your parents bring you no shame, be very grateful. If you're proud of them, celebrate.
Matshona Dhliwayo|If a lion turned every time small dogs barked at it, it would be the laughing stock of the jungle.
Theodore Roosevelt|It's the action, not the fruit of the action, that's important. You have to do the right thing. It may not be in your power, may not be in your time, that there'll be any fruit. But that doesn't mean you stop doing the right thing. You may never know what results come from your action. But if you do nothing, there will be no result.
eBoxeditions|Try the best to do the best of what you do, and you may find yourself doing the best of what you do best.
Jeanne Ryan, Nerve|I need to use my mind in a way that slows the out-of-control beating in my chest. The darkness around us could be anywhere, anytime. I could be alive or dead. Okay, I choose alive. While I’m at it, I choose the darkness to be a gentle blanket on a moonless night, where I rest a few feet from a boy who’s warm and sweet. When he holds me, his heart beats strong with what I tell myself is passion, not fear.
Touaxia Vang|I know it's painful growing,I bet the changes was painful too.But nothing is as painful as being somewhere you don't belong. Obviously.
F. Scott Fitzgerald|I think that the media and its influencers send out a negative message to young girls these days, when it comes to the relationship between power and money. The message that young girls receive these days, from watching reality t.v. shows and such, is that the more money you spend, the more powerful you are. But I'd like young girls everywhere to know that it's not about the money that you spend; but what it's really about is the money that you have! Financial power lies in actually having money and your intelligence is determined by how you spend it. And it's not even about buying only what you need, because we should have the things that we want, too, not only the things that we need! But it's more about knowing the value of material things because without the knowledge of the value, things aren't going to make you happy, because there's always something more that you can buy! So you've got to know how to buy what's really going to make you happy and not just buy things for the sake of spending.
Glenn Beck, The Christmas Sweater|Unless we make Christmas an occasion to share our blessings, all the snow in Alaska won't make it 'white'.
Terry Pratchett, Making Money|I glanced back to Yanni to see him smiling at us. "You two can stop being so cute now." "Well, Spencer can," Andrew deadpanned. "I, unfortunately, am cute all the time." I laughed. "It's true. He is.
Steven Magee|you have to live by fighting each other, it's the law, the only way that things areworth while but it hurts
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|Think long and hard whether you have reached that mature stage of selflessness for this one you think you love so much. The love you enjoy will be the best thing that ever happened to you, but it will cost you your independence.... The responsibility of marriage and family demands time, and when we cheat on that, we rob ourselves of the investment returns.
Joshua Oppenheimer|I see people around me with very unhappy love lives, who may have held out for that perfect somebody. And the failure to achieve that brings along a lot of bitterness which is very unattractive; therefore they're probably less likely to achieve it.
Latika Teotia|We all are busy in our lives handling our homes, work, various issues, ailments and so on… sometimes we don’t have a second to spare even for our own selves, so caught up with life we are…But, despite our problems, despite the pressure of anything, despite all kinds of challenges we face in our daily lives, if we can still just pause and stop to look at someone else’s problems, if we can just smile at the other person, believe me, we would have not only made someone’s day but will also feel that our own burden has become lesser and our problems may not appear to be that big after all! That’s the beauty of caring for others. Have you noticed how much at peace those people are who walk up to a perfect stranger and lend a helping hand, without being asked to and without expecting anything in return? That is what unconditional caring for others and helping others do to you. That is what service, good deeds and kindness do; they help the receiver as well as the giver.
James Rozoff|Technology has not made humanity any wiser, it has only made us more dangerous.
Unknown British Biologist|As we delight in the strange and exotic beauty of orchid flowers, it is salutary to reflect that we are, in essence, looking at their genitalia.
Nikki Rowe|Your voice is yours, how dare you let another speak for you.Your heart is yours, how dare you give it away, so freely to another you hardly know. Your soul is yours, how dare you ignore its instinctual truth. Your mind is yours, don't let the world make it negative.You are the master of your fate, you are the creator of your destiny, don't hand the keys to anyone, rather open the door and welcome them to taste your paradise within.
Anne Perry, Execution Dock|Past and future are the same, and we cannot change either, only know them more fully. My journey to the past had changed nothing, but what I had learned had changed everything, and I understood that it could not have been otherwise. If our lives are tales that Allah tells, then we are the audience as well as the players, and it is by living these tales that we receive their lessons.
Jeanette Winterson, Sexing the Cherry|Whenever you're called on to make up your mind,and you're hampered by not having any,the best way to solve the dilemma, you'll find, is simply by spinning a penny.No - not so that chance shall decide the affairwhile you're passively standing there moping; but the moment the penny is up in the air,you suddenly know what you're hoping. 
Alan Moore, V for Vendetta|Equality and freedom are not luxuries to lightly cast aside. Without them, order cannot long endure before approaching depths beyond imagining.
Seth Gordon|When I first joined the Irvine Company, I realized that less than 11,000 acres were designated as open space in the original master plan, and that just didn't seem adequate to me. So, I began the lengthy process working with public and community organizations to add more open space.
Corrie ten Boom|Forgiveness is an act of the will, and the will can function regardless of the temperature of the heart.
Rick Warren, The Daniel Plan: 40 Days to a Healthier Life|The undulating terrain was cloaked in lush abundance, the vineyards like garlands of deep green and yellow, orchards and farms sprouting here and there, hillocks of dry golden grass crowned by beautiful sun-gilt houses, barns and silos. And overhead was the bluest sky she'd ever seen, as bright and hard polished as marble.There was something about the landscape that caught at her emotions. It was both lush and intimidating, its beauty so abundant. Far from the bustle of the city, she was a complete stranger here, like Dorothy stepping out of her whirling house into the land of Oz. Farm stands overflowing with local produce marked the long driveways into farms with whimsical names- Almost Paradise, One Bad Apple, Toad Hollow. Boxes and bushels were displayed on long, weathered tables. Between the farms, brushy tangles of berries and towering old oak trees lined the roadway.
Maurice Gibb|After a number of years dating, we decided we were good partners.
Thomm Quackenbush, A Creature Was Stirring|I felt just the way I imagine the shade of poor old Samuel must have felt when the witch dragged him up from Sheol. "Why hast thou disquieted me, to bring me up?" In fact, I had spent the morning darkness praying for the wisdom to do well by John Ames Boughton, and then when he woke me, I was immediately aware that my sullen old reptilian self would have handed him over to the Philistines for the sake of a few more minutes' sleep.
Deyth Banger|I never liked telling war stories. Some men love to tell them. Hell, some men need to. They need to convince themselves that the war is over. But I'm not one of them.
Grover Norquist|While democracy in the long run is the most stable form of government, in the short run, it is among the most fragile.
Yixing Zhang|There is another apt Latin expression: Materiam superabat opus. (The workmanship is better than the material.) The material we've been given genetically, emotionally, financially, that's where we begin. We don't control that. We do control what we make of that material, and whether we squander it.
H.G. Wells, Joan And Peter|Just about everything in this life is treacherous, ready to twist and shape-shift at any second; it seemed to me that the whole world would be a different place if you had someone you were certain of, certain to the bone, or if you could be that to someone else.
Anne Rice, The Witching Hour|He’ll take from your mind the answer best suited to lead you on, to enthrall you. He’ll weave a web of deceits so thick you won’t see the world through it. He wants your strength and he’ll say what he must say to get it. Break the chain, child! You’re the strongest of them all! Break the chain and he’ll go backto hell for he has no other place to go in all the wide world to find strength like yours. Don’t you see?He’s created it. Bred sister to brother, and uncle to niece, and son to mother, yes, that too, when he hadto do it, to make an ever more powerful witch, only faltering now and then, and gaining what he lost in one generation by even greater strength in the next. What was the cost of Antha and Deirdre if he could have a Rowan!
|The ones who love you would never judge you, but those who would, obviously don't love you. So why worry about what people think and say about you?
Charles Lambert, The Children's Home|Rooms are never alone," said the Doctor with a laugh. "Only the people who live them can be alone.
Matshona Dhliwayo|A bird that sings too much will only lose its voice, but a bird that does not sing at all will lose its symphonies.
Kōbō Abe, The Box Man|If I were just in trousers, somehow I could go out into the world. It would make no difference whether I was naked from the waist up and my feet bare just as long as I had trousers on. Otherwise if you go walking around the streets without trousers, no matter how new your shoes and how elegant your coat, it’s enough to raise a big hue and cry. Enlightened society is a kind of trouser society.
Christopher Barzak|When actors encounter a mishap during a stage performance,they transform it for good purpose by employing a technique called,“use the difficulty.” How can you “use the difficulty” in your life?
Rafael Sabatini, Scaramouche|To me, patriotism means dedication to the principles on which the country was founded and a willingness to stand firm and fight for these principles regardless of what the government says or does
Ajit Panicker|Make it large', life is a canvas. You can paint it to be 'a dot' or masterpiece it to be 'the universe
Anthony Bourdain, Kitchen Confidential: Adventures in the Culinary Underbelly|Great restaurants are, of course, nothing but mouth-brothels. There is no point in going to them if one intends to keep one's belt buckled.
Chris Lester, Huntress|In its timeless capacity to embody the human condition, the vampire is a poignant metaphor describing the psychosocial experience of the pariah - the outsider. The vampire is the Other that used to be human. The diseased, the mentally challenged, the homeless and hungry, ......are all vampires in a way; the other who used to be human, the invisible who casts no reflection among us.
Rona V. Flynn, Star's Awakening|Of all the great and minor faiths as religions that have evolved over the ages with humanity. Many had their birth at the death or near death of another religious faith. One day the anthropological phenomena of our predominant faiths may become naturally forgotten, demonized, if notmorph into another religious tradition altogether. What we historically call as mythology is for Ancient Greece,Persia, or Mayan cultures were the Almighty religions of their age. So it will be again with our Epoch from today our renowned and accomplished heirs of thousands of years intoour combined futures. That will have regarded our present day Abrahamic traditions of Judaism, Christianity, and Islam as mythologies of their own future anthropological understanding.
Lauren Bacall|Here is a test to find out whether your mission in life is complete. If you’re alive, it isn’t.
Augustine of Hippo, Confessions|For you [God] are infinite and never change. In you 'today' never comes to an end: and yet our 'today' does come to an end in you, because time, as well as everything else, exists in you. If it did not, it would have no means of passing. And since your years never come to an end, for you they are simply 'today'...But you yourself are eternally the same. In your 'today' you will make all that is to exist tomorrow and thereafter, and in your 'today' you have made all that existed yesterday and for ever before.
Lysander Spooner|If there be such a principle as justice, or natural law, it is the principle, or law, that tells us what rights were given to every human being at his birth; what rights are, therefore, inherent in him as a human being, necessarily remain with him during life; and, however capable of being trampled upon, are incapable of being blotted out, extinguished, annihilated, or separated or eliminated from his nature as a human being, or deprived of their inherent authority or obligation.
Brie Larson|No one is alone, and each change here brings about another change there.
Debasish Mridha|When we will learn to live in harmony with nature,we will learn to live in peace with each other.
Jon Morrison, Life Hacks: Nine Ideas That Will Change How You Do Everything|God’s will for you is to make you more like Jesus. Christlikeness is your target, your goal, your vision, and the reason you were created. You are set apart to be like Jesus. That goal will take the rest of your life to accomplish." (Life Hacks, p.61)
Manoj Vaz|Fiction has to be well researched, properly conceived and logically presented.Reality needs none of the above.
Lia Davis, Death's Storm|Hands on hips, she cast him a narrowed-eye gaze. “Move.”“You’re not leaving.”“And you’re not stopping me.
RVM|In the journey of life, we pass pleasures & pain. There will be sunshine and rain; there will be loss and gain. But we must learn to smile again and again.
Fran Lebowitz, Metropolitan Life/Social Studies|If you are of the opinion that the contemplation of suicide is sufficient evidence of a poetic nature, do not forget that actions speak louder than words.
Nigel Barley, The Innocent Anthropologist: Notes from a Mud Hut|Much has been written on the excellence of bats' navigation equipment. It is all false. Tropical bats spend their entire time flying into obstacles with a horrible thudding noise. They specialize in slamming into walls and falling, fluttering onto your face. As my own 'piece of equipment essential for the field' I would strongly recommend a tennis racket; it is devastatingly effective in clearing a room of bats.
Kentetsu Takamori|How wonderful it would be if people did all they could for one other without seeking anything in return! One should never remember a kindness done, and never forget a kindness received.
Truth Devour, Unrequited|She always, She always wanted to express herself but no one cared,So she stopped,She was crushed,Stiff & lifeless,Like everything else.
Helen Oyeyemi, Boy, Snow, Bird|But also . . . I have plenty of people around me to talk to, and no one to be honest with.
Kaitlin Bevis|The reading eye must do the work to make them live, and so it did, again and again, never the same life twice, as the artist had intended.
Debasish Mridha|When we become conscious of love, our hearts dance with joy.
Anton du Beke|It may sound strange to say it of someone so famous, but I think Leonardo DiCaprio is underrated, particularly from an awards perspective. He is a very versatile actor. He started very young, and 'What's Eating Gilbert Grape?' is one of my favourite films.
Lon L. Fuller, The Morality of Law|Put great car and value into what you do, and that value grows far more valuable as it spreads out beyond.
Orrin Woodward|The limiting factor on your success is not the size of the obstacles, but the size of your dream.
Ludwig Feuerbach, The Essence of Christianity|More than Iran's enemies need artillery, guns, and so forth, they need to spread cultural values that lead to moral corruption... a senior official in an important American political center said: 'Instead of bombs, send them miniskirts.' He is right. If they arouse sexual desires in any given country, if they spread unrestrained mixing of men and women, and if they lead youth to behavior to which they are naturally inclined by instincts, there will no longer be any need for artillery and guns against that nation.
Russell S. Bonds, Stealing the General: The Great Locomotive Chase and the First Medal of Honor|I know these are only dreams. I know these days are long past. I wake to a dream in which Hammer’s breath has stopped, and mine with it, and hearts have gone to a quiet sunny meadow with the sweetest little cottage in the middle, with a millwheel and a stream. Our bodies will lie tangled until they become earth, like roses twining so closely there is no beginning and no end, and only the shades of beauty that were their growing.Every dream I ever had as a child has come true, simply because Hammer loved me. Perhaps this one will too.
Gary "Gunz" Govich, Career Criminal: My Life in the Russian Mob Until the Day I Died|Another deputy threw down a clear plastic trash bag with my orange jumpsuit. I reached for the bag and was knocked down to the floor with an overhead right, another shove, and I was inside the 4X6 room. The heavy white door was already closing behind me. The walls here were made of hard white rubber. There was a small shower head towards the back of the tiny cell and a grated hole in the middle of the floor | I assumed that the hold would be my toilet. The cell reeked of anguish.
Lauren Oliver, Before I Fall|My point is: maybe you can afford to wait. Maybe for you there's a tomorrow. Maybe for you there's one thousand tomorrows, or three thousand, or ten, so much time you can bathe in it, roll around it, let it slide like coins through your fingers. So much time you can waste it.But for some of us there's only today. And the truth is, you never really know.
Praveen Chenna|If future frightens you, Let me tell you, neither it is sure - nor it is relevant. But for sure, you are wasting your present which is certain! Live Life Day @ Time
Jorge Luis Borges, Ficciones|I imagined a labyrinth of labyrinths, a maze of mazes, a twisting, turning, ever-widening labyrinth that contained both past and future and somehow implied the stars. Absorbed in those illusory imaginings, I forgot that I was a pursued man; I felt myself, for an indefinite while, the abstract perceiver of the world. The vague, living countryside, the moon, the remains of the day did their work in me; so did the gently downward road, which forestalled all possibility of weariness. The evening was near, yet infinite.
