Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Rhys Bowen, Naughty in Nice|Peter will love Lara Jean with all his heart, always.
Brittany Gibbons, Fat Girl Walking: Sex, Food, Love, and Being Comfortable in Your Skin...Every Inch of It|If the problem of the twentieth century was, in W. E. B. Du Bois’s famous words, “the problem of the color line,” then the problem of the twenty-first century is the problem of colorblindness, the refusal to acknowledge the causes and consequences of enduring racial stratification.
Billy Eichner|When I was a kid, we would get McDonalds on Christmas Eve, and that was a big deal because the closest one to the south side of Chicago was a 35 minute drive away. I remember opening the bag and smelling those fries, and even now when I smell them, it reminds me of Christmas Eve.
Paul Evdokimov, Orthodoxy|The ascetic remembrance of death is opposed to akedia, to anxiety, to depression, and becomes a powerful reminder of eternity, its joyful nostalgia.
Merrill Markoe|But with exquisite breathing you smile, with satisfaction of love, And I touch you again as you tick in the silence and settle in sleep.
Aminatta Forna|And afterwards, if you had asked any of the survivors how they had managed it, they would not have been able to tell you. It was as if those days in the forest, the escape to the city, had passed in a trance. The mind creates an alternative state.
Annie Dillard, The Abundance: Narrative Essays Old and New|Your culture is your limit; if you can’t go beyond it, you will remain as a frog of your little lake!
RVM|Tranquility is a Choice. So is Anxiety. The entire world around us may be in Turmoil. But if we want to be Peaceful within, WE CAN.
Jennifer E. Smith, The Statistical Probability of Love at First Sight|Perfect!" Wrath bellowed. "And this is a doctor saying it -- I mean, she went to medical school."..."And Dr. Sam told me she's delivered over fifteen thousand babies over the course of her career -- ""See!" Wrath yelled. "She knows these things. My son is perfect!
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|A relationship is not just about sex – it is much more than that. Sex is only a tool in love, not love itself.
Thomas Aquinas|If you could choose any mask to wear right now, what would it be?” Anne lay down her yarn. “I suppose if, as you say, I would grow into this mask, then I would make it of my own face . . . but a braver, better version of myself.” “And what would this braver Anne do?” The answer came quickly, as if it had been there all along. I’d save them, she thought.
Eva Ibbotson, A Company of Swans|There are those who dance the notes, and those who dance the music.
Clarissa Pinkola Estés, Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype|While I do not in any way mean to say that a woman should throw herself into a torturous or abusive situation, I do mean she must set for herself something in life that she is willing to reach for and therefore take risks for.
|Be careful with the kind of company you keep, because behaviors and habits are very contagious.
J.R.R. Tolkien, The Return of the King|I feel like spring after winter, and sun on the leaves; and like trumpets and harps and all the songs I have ever heard!
Nargis Fakhri|My goal in my career is to inspire people, is to get my music out there and have people enjoy it, and have people think of me as an inspirational artist.
Thomas  Moore, Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life|In the fifteenth century, Marsilio Ficino put it as simply as possible. The mind, he said, tends to go off on its own so that it seems to have no relevance to the physical world. At the same time, the materialistic life can be so absorbing that we get caught in it and forget about spirituality. What we need, he said, is soul, in the middle, holding together mind and body, ideas and life, spirituality and the world.
Stefan Molyneux|Blessed are the peacemakers? Billed are the warmongers, and then you shall have peace.
James Scott, Senior Fellow, Institute for Critical Infrastructure Technology|You'll have the right to be angry about Vault 7 only after you boycott dragnet surveillance data providers like Google, Microsoft, Skype, Facebook and LinkedIn. The true threat is coming from the private sector surveillance profiteers.
Craig D. Lounsbrough|The spiritual path is an inward journey. On the spiritual path, the external life remains the same, but you begin the inward journey towards the truth.
Naomi Wolf, The Beauty Myth|Women are mere “beauties” in men’s culture so that culture can be kept male. When women in culture show character, they are not desirable, as opposed to the desirable, artless ingenue.
David McCandless|You cannot design shoes if you only think about fashion; it's too realistic. When I design, I dream.
The Subject Tonight Is Love: 60 Wild and Sweet Poems of Hafiz|For a day, just for one day,Talk about that which disturbs no oneAnd bring some peace into yourBeautiful eyes.
Sudesh Abrol|Conscience, the divine nature within us, sees everything as connected, what’s good for all is always its priority.
Robert A. Heinlein, Stranger in a Strange Land|It's up to the artist to use language that can be understood, not hide it in some private code. Most of these jokers don't even want to use language you and I know or can learn . . . they would rather sneer at us and be smug, because we 'fail' to see what they are driving at. If indeed they are driving at anything--obscurity is usually the refuge of incompetence.
Paulo Freire, Pedagogy of the Oppressed|As long as I fight, I am moved by hope; and if I fight with hope, then I can wait.
Victoria Denault, Game On|He knocked politely and entered the principal’s office with his dad face in full effect. He put his hand on my shoulder in a way that came off as both stern and proud. He was dad-ing it up for the principal, which I was actually a little grateful for, but it also made me mad.
Michel Onfray, Atheist Manifesto: The Case Against Christianity, Judaism, and Islam|The three monotheism share a series of identical forms of aversion: hatred of reason and intelligence; hatred of freedom; hatred of all books in the name of one book alone; hatred of sexuality, women,and pleasure; hatred of feminine; hatred of body, of desires, of drives. Instead Judaism, Christianity, and Islam extol faith and belief, obedience and submission, taste for death and longing for the beyond, the asexual angel and chastity, virginity and monogamous love, wife and mother, soul and spirit. In other words, life crucified and nothingness exalted.
Nicki Minaj|As technology advances, it reverses the characteristics of every situation again and again. The age of automation is going to be the age of 'do it yourself.'
Ernest Hemingway, Death in the Afternoon|I was trying to write then and I found the greatest difficulty, aside from knowing what you really felt, rather that what you were supposed to feel, and had been taught to feel, was to put down what really happened in action; what the actual things which produced the emotion that you experienced...
David Millar, Racing Through the Dark|Look, girls. It is important to all of us that we win this game, right? Well, when it comes to athletics, boys are simply better suited than girls. It’s a fact of nature that no one can change. I’m sorry, but maybe you can play next time when it’s less crucial.
Brennan Manning|Social media has given us this idea that we should all have a posse of friends when in reality, if we have one or two really good friends, we are lucky.
Diyar Harraz, After the Storm|Success has nothing to do with what we accomplish for ourselves, but the amount of hard works we put forward to others
Ward Churchill|If the U.S. foreign policy results in massive death and destruction abroad, they cannot feign innocence when some of that destruction is returned. On 9/11/2001, Americans noticed that payback can be a real motherfucker.
Arina Tanemura|Please, no one touch my heart. Don't touch it. Don't notice anything. No one has to know what my heart is feeling. I decided that I wouldn't turn back. That's why I threw everything away. So, don't you ever say, "I'm lonely.
Cormac McCarthy|You know we talked about where people go when they die. I just believe you go someplace and I seen her layin there and I thought maybe she wouldn't go to heaven because, you know, I thought she wouldn't and I thought about God forgivin people and I thought about if I could ask God to forgive me for killin that son of a bitch because you and me both know I ain't sorry for it and I reckon this sounds ignorant but I didn't want to be forgiven if she wasn't. I didn't want to do or be nothin that she wasn't like going to heaven or anything like that.
Robin Sacredfire|Unfortunately, the main problem of the world isn't on money, as it might seem at first sight, but on the mind of those that either use it, create it, maintain it, capitalize on it, or simply, ignore it. What use would science have if people didn't have problems needing a solution? What use would art have if people didn't have a need to escape their reality? What use would reading have if there was no desire to aspire to? What use would dreams have if life was perfect? And so, I’m not saying that money is necessary. but that our mind is what makes it valuable. And once you understand this, you actually master it. The solution lays on the fundamental laws of duality. The more you disregard money, the more it becomes a fundamental part of your world. Those that love it, however, don't even need to touch it or worry about it. And how convenient that we tend to ask questions about the things we refuse to learn about.
Edward Snowden|When you're in the heat of the moment, you need guys you can trust and who have been there for you.
Paul H. Magid, Lifting the Wheel of Karma|I learned that one person hurting another really is like a hand curling into a fist to smash the foot. And that all that really matters is family and other people. And that the purpose of life is to find the Light of God, but not the light from some old guy with a beard sitting up there judging us. The light is the love we give each other on our way back home. And that God wouldn’t mind if we spent a little less time telling him how great he is and a little more time loving each other, and not just the people we’re supposed to love, but everyone.
Beverly L. Anderson, Stolen Innocence|Normal is a societal construct that is created by us. There is no consistency across civilizations. What is normal to one person is not to another. It once was normal to own slaves and be prejudiced against people of color like you and others. It was once normal to make women wear dresses and cover themselves. And long before that it was normal to cut off someone’s hand for stealing instead of putting them in jail. Eventually, all societal constructs fall to new ideas. Normal is one of them. (Varick Jaeger to Kieran Sung)
Lynne Sharon Schwartz, Not Now, Voyager: A Memoir|The stillness and stasis of bed are the perfect opposite of travel: inertia is what I've come to consider the default mode, existentially and electronically speaking. Bed, its utter inactivity, offers a glimpse of eternity, without the drawback of being dead.
Huntley Fitzpatrick, My Life Next Door|Right. Because if you have trouble putting ketchup and mustard on a hot dog, you should totally move on to saving lives.
Susan Elizabeth Phillips, Natural Born Charmer|Life sure is easier when you're rich.""And a natural born charmer. Don't forget that part.""How could I?" she retorted. "It's the only thing we have in common.
|The moment one discovers one's true purpose in life, one will never dare to live one's life trying to impress others or worrying about what others think.
Diane Hammond, Hannah's Dream|The divorce has lasted way longer than the marriage, but finally it's over.Enough about that.The point is that for a long time, the fact that I was divorced was the most important thing about me.And now it's not.
Ashley Sanders|I write to be a part of something - a world made up of words and ideas, which are sometimes painfully criticized, gratefully loved and can never be destroyed.
Janvier Chando, The Union Moujik|At the end of the day, what matters is our faith in humanity...
Haruki Murakami, South of the Border, West of the Sun|For a while" is a phrase whose length can't be measured.At least by the person who's waiting.
Cassandra Clare, City of Heavenly Fire|We find in our children our own selves again, who might be made better than we are.
John Locke, Second Treatise of Government|What presents itself to us as bourgeois legality is nothing but the violence of the ruling class, a violence raised to an obligatory norm from the outset.
Morgan Freeman|The next time some academics tell you how important diversity is, ask how many Republicans there are in their sociology department.
Kevin Plank|I'd always need a creative outlet. But sometimes, I do fantasize what my life would be like if I weren't famous.
Joyce G. Baldwin|Is it a time for you, you I say, to dwell in your roofed-in houses?' (Haggai 1:4). The reply might have been that it was unreasonable to expect anyone to live in a roofless house, but the question made its point. What worth did they set on their God, when they left His Temple in ruins?
Shannon L. Alder|When you forgive those that hurt you, they no longer have control over your future happiness. Their anger keeps them a prisoner to your past, while you enjoy the present.
Ernest Agyemang Yeboah|Never ever seek for gratefulness from mankind, you shall always see ungratefulness. Do what you must do as a solemn duty and that is what you have to do!
Ankit Rawat|Truth is very simple in nature, people just manipulate to make it fancy and complex...
Avery Flynn, Bang|Just dinner?"	If there was a God in heaven, no was the answer to that.	"Whatever else is up to you and that little voice inside you telling you to jump my bones like a trampoline, darlin'."	This time she did roll her eyes. "How charming."	"Trust me, my charm isn't what the ladies love most about me.
Judy Garland|'The Lake of Dreams' grew gradually, over many years, elements and ideas accruing until they gained enough critical mass to become a novel.
Emily Giffin, Baby Proof|Why do I need to have reasons? When someone decides to have a baby, people don't go around asking what her reasons are.
Joanna Going|I am more interested in revolutionary beauty than in the great beauty, to be honest. Italian cinema is now mostly a bureau for tourism. We have given up that revolution of the contemporary.
Van Morrison|I never wanted to be a celebrity; I never wanted to be famous. And in my daily life, I work really hard to not trade on it in any way.
Tom Stoppard, Rosencrantz and Guildenstern Are Dead|GUIL: It [Hamlet's madness] really boils down to symptoms. Pregnant replies, mystic allusions, mistaken identities, arguing his father is his mother, that sort of thing; intimations of suicide, forgoing of exercise, loss of mirth, hints of claustrophobia not to say delusions of imprisonment; invocations of camels, chameleons, capons, whales, weasels, hawks, handsaws -- riddles, quibbles and evasions; amnesia, paranoia, myopia; day-dreaming, hallucinations; stabbing his elders, abusing his parents, insulting his lover, and appearing hatless in public -- knock-kneed, droop-stockinged and sighing like a love-sick schoolboy, which at his age is coming on a bit strong.ROS: And talking to himself.GUIL: And talking to himself.
Samuel J. Palmisano|The only thing that I'd rather own than Windows is English, because then I could charge you two hundred and forty-nine dollars for the right to speak it.
Diane Setterfield, The Thirteenth Tale|When you read a manuscript that has been damaged by water, fire, light or just the passing of the years, your eye needs to study not just the shape of the letters but other marks of production. The speed of the pen. The pressure of the hand on the page. Breaks and releases in the flow. You must relax. Think of nothing. Until you wake into a dream where you are at once a pen flying of vellum and the vellum itself with the touch of ink tickling your surface. Then you can read it. The intention of the writer, his thoughts, his hesitations, his longings and his meaning. You can read as clearly as if you were the very candlelight illuminating the page as the pen speeds over it.
Linda Alfiori, The Art of Loving Again: How to More Intelligently Start Again After a Breakup, Divorce and the Death of a Loved One|Trust is very hard to earn, yet very easily to lose. So, if you want people to perceive you as trust worthy make sure you always behave that way.
Louise Blackwick, Vivian Amberville - The Weaver of Odds|As the Weaver, so is the Thread
Craig D. Lounsbrough|At the end, a journey based on my imagination will leave me imagining that I should have engaged the very thing I used my imagination to avoid.
Tim Farrington, The Monk Upstairs: A Novel|If there is a heaven we will find each other again, for there is no heaven without you.
Tim Farrington, The Monk Downstairs|We are born to love as we are born to die, and between the heartbeats of those two great mysteries lies all the tangled undergrowth of our tiny lives. There is nowhere to go but through. And so we walk on, lost, and lost again, in the mapless wilderness of love.
Sara Wolf, Lovely Vicious|She can go places we cannot, associate with people we cannot, understand things about society types and women that we never can. (Why Mr. Burke hires Violet Strange.)
Mensah Oteh|Never start a day or activity without a plan. Learn to plan your work, and then work your plan.
M. Scott Peck, The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth|When we love someone our love becomes demonstrable or real only through our exertion - through the fact that for that someone (or for ourself) we take an extra step or walk an extra mile. Love is not effortless. To the contrary, love is effortful.
Michael Grant, Gone|You’re supposed to be the big boss.”Sam said nothing. The crowd hushed, ready to watch this one-on-one confrontation.“You’re the big boss of the freaks,” Zil yelled. “But you can’t do anything. You can shoot laser beams out of your hands, but you can’t get enough food, and you can’t keep the power on, and you won’t do anything about that murderer Hunter, who killed my best friend.” He paused to fill his lungs for a final, furious cry. “You shouldn’t be in charge.”“You want to be in charge, Zil? Last night you were running around trying to get a lynch mob together. And let’s not even pretend that wasn’t you responsible for graffiti I saw driving into town just now.”“So what?” Zil demanded. “So what? So I said what everyone who isn’t a freak is thinking.”He spit the word “freak,” making it an insult, making it an accusation.“You really think what we need right now is to divide up between freaks and normals?” Sam asked. “You figure that will get the lights turned back on? That will put food on people’s tables?
Isabel Allende, La suma de los días|This was a matter of some small group of guerrillas in some distant caves, a primitive, fanatical, and desperate people who didn't have the resources to intimidate the United States.
Lil Wayne|There are people who can achieve huge success in life, while adding a bit of fun and a splash of colour to this increasingly grey world.
Marty Rubin|You can spit on a rose, but it's still a rose.
Dalai Lama XIV|I found, as every teacher does, that there is nothing like teaching to help one learn.
Brian Spellman|False humility is a form of psychosis which was imprinted on most of us since birth. It is a mental illness because it locks us in a victim state of keeping our light turned down, denying who we really are and silently begging for permission to simply show up as ourselves in the world. But there is good news. This is a jail whose lock is broken. We can walk free whenever we know the truth, and by so doing we show others an example of an end to madness. An example of freedom.
Michele Jennae|It is the people who innovate that inspire, and innovation is not born of the status quo.
Lois Lowry, A Summer to Die|I told her that saying goodbye didn't matter, not a bit. What mattered were all the days you were together before that, all the things you remembered.
Krista Alasti, Taming Shadows|So what did you do, drug me, stuff me in the trunk, then dump me like a sacrificial offering into that vampire’s coffin? - Shella
James Dashner, The Scorch Trials|We're a team like tea and milk, or cake and custard, or pork and apple.
Louis Kahn|I acquired an admiration for Japanese culture, art, and architecture, and learned of the existence of the game of GO, which I still play.
Steven Weinberg|The effort to understand the universe is one of the very few things that lifts human life a little above the level of farce, and gives it some of the grace of tragedy. 
A.J. Compton, This Old Heart of Mine|I don't know which end is up. One minute I want to kiss the life out of her, and the next she frustrates the hell out of me. I don't know if I should scratch my watch or wind my ass.""Welcome to the club, Ronan." Gavin laughed and clapped his brother on the shoulder. "That sure sounds like love to me.
Robert McCammon, Boy's Life|We who choose to surround ourselveswith lives even more temporary than ourown, live within a fragile circle;easily and often breached.Unable to accept its awful gaps,we would still live no other way.We cherish memory as the onlycertain immortality, never fullyunderstanding the necessary plan.
Ripley Patton, Ghost Hand|Marcus looked down. “Ah, man! This was my favorite shirt. Who tore it?” he asked, trying to pull the ragged edges together.
Irvine Welsh|Maybe her husband was right: maybe change didn't necessarily mean disaster. Maybe the mess of life was the very thing she was supposed to enjoy instead of always fighting it, trying to impose order. The universe was trying to tell her something - was it, perhaps, to let go?
Jennifer Senior, All Joy and No Fun: The Paradox of Modern Parenthood|More than almost anything else, the experience of parenthood exposes the gulf between our experiencing and remembering selves. Our experiencing selves tell researchers that we prefer doing the dishes -- or napping, or shopping, or answering emails -- to spending time with our kids. (I am very specifically referring here to Kahneman's study of 909 Texas women.) But our remembering selves tell researchers that no one -- and nothing -- provides us with so much joy as our children. It may not be the happiness we live day to day, but it's the happiness we think about, the happiness we summon and remember, the stuff that makes up our life-tales.
D.M. Murdock, The Origins of Christianity and the Quest for the Historical Jesus Christ|If this is the will of God, it takes a strange and terrible shape. I did not know that the God of Battles was vile like this. I never knew that a saint could summon torment like this.
Dana Marton, Broslin Bride: Gone and Done it|He stepped closer with an intense, thoughtful look on his face. "We shouldn't do this."	Her heart gave a hard thud.	"You probably can't kiss." Another step closer. "What does the doctor say?"	"We never kissed," she deadpanned. "Dr. Pratt and I are not interested in each other that way."	The sound of his deep laughter broke the tension between them. He moved a little closer still.	"Dr. Pratt says intimacy is all right, unless the other person is sick." She couldn't believe she just said that. Why not put a neon sign on her forehead? DESPERATE FOR SEX.	"This isn't going to work." He leaned his forehead against hers, the skin-to-skin contact jolting. "This isn't the right time for either of us." His hands slid up her arms. "I shouldn't kiss you," he said.	And then he did.	Holy heaven.
Andrew Neff, The Mind Game Company: The Players|5-4-10 Tuesday 8:00 A.M. Made a large batch of chili and spaghetti to freeze yesterday. And some walnut fudge! Relieved the electricity is still on.  It’s another beautiful sunny day with fluffy white clouds drifting by. The last cloud bank looked like a dog with nursing pups. I open the window and let in some fresh air filled with the scent of apple and plum blossoms and flowering lilacs. Feels like it’s close to 70 degrees. There’s a boy on a skate board being pulled along by his St. Bernard, who keeps turning around to see if his young friend is still on board. I’m thinking of a scene still vividly displayed in my memory. I was nine years old. I cut through the country club on my way home from school and followed a narrow stream, sucking on a jawbreaker from Ben Franklins, and I had some cherry and strawberry pixie straws, and banana and vanilla taffy inside my coat pocket. The temperature was in the fifties so it almost felt like spring. There were still large patches of snow on the fairways in the shadows and the ground was soggy from the melt off. Enthralled with the multi-layers of ice, thin sheets and tiny ice sickles gleaming under the afternoon sun, dripping, streaming into the pristine water below, running over the ribbons of green grass, forming miniature rapids and gently flowing rippling waves and all the reflections of a crystal cathedral, merging with the hidden world of a child. Seemingly endless natural sculptures. Then the hollow percussion sounds of the ice thudding, crackling under my feet, breaking off little ice flows carried away into a snow-covered cavern and out the other side of the tunnel. And I followed it all the way to bridge under Maple Road as if I didn't have a care in the world.
Robert Edison Fulton Jr., One Man Caravan|...all the disadvantages of good roads: high speed, and almost total lack of that inspiring factor in travel -- the welcoming hand of the interested stranger.
Lillian Hellman|In the military, you learn the essence of people. You see so many examples of self-sacrifice and moral courage. In the rest of life, you don't get that many opportunities to be sure of your friends.
Bill Holm, The Heart Can Be Filled Anywhere on Earth|The romanticism of struggle is over. What remains are the utterly naked facts. The cult of personality and its collapse. Rethinking of everything. The masks are off (the mask of religion, the mask of heroism…).
John  Stephens, The Fire Chronicle|The idea of fairyland fascinates me because it's one of those things, like mermaids and dragons, that doesn't really exist, but everyone knows about it anyway. Fairyland lies only in the eye of the beholder who is usually a fabricator of fantasy. So what good is it, this enchanted, fickle land which in some tales bodes little good to humans and, in others, is the land of peace and perpetual summer where everyone longs to be? Perhaps it's just a glimpse of our deepest wishes and greatest fears, the farthest boundaries of our imaginations. We go there because we can; we come back because we must. What we see there becomes our tales.
Jennifer L. Armentrout, The Power|She wasn’t the only one who was overjoyed.Deacon had launched himself at Aiden—Aiden saintly St. Delphi—nearly knocking him backward, over a fallen pure. The brothers hugged, oblivious to those fighting around them. Other than their eyes, they absolutely had nothing in common.Which was why I liked Deacon.
Sharon Salzberg, Real Love: The Art of Mindful Connection|When we respond to our pain and suffering with love, understanding, and acceptance—for ourselves, as well as others— over time, we can let go of our anger, even when we’ve been hurt to the core. But that doesn’t mean we ever forget.
Samuel Butler|Autumn is the mellower season, and what we lose in flowers we more than gain in fruits.
Susan J. Tweit, Walking Nature Home: A Life's Journey|Stories nurture our connection to place and to each other. They show us where we have been and where we can go. They remind us of how to be human, how to live alongside the other lives that animate this planet. ... When we lose stories, our understanding of the world is less rich, less true.
Helen Keller, The Story of My Life|Music, oh, how faint, how weak,Language fades before thy spell!Why should Feeling ever speak,When thou canst breathe her soul so well?
N.R. Walker, Spencer Cohen, Book Three|She decided to make his life as terrible, tragic and complicated as possible, so that some day Percy Jackson would have a really hard time writing about it.
Kahlil Gibran|For the sight of the angry weather saddens my soul and the sight of the town, sitting like a bereaved mother beneath layers of ice, oppresses my heart.
Lauren Baratz-Logsted, Crazy Beautiful|...that you should be nice to everyone until a person gives you reason not to be, and sometimes even then.
Richard Adams, Watership Down|The full moon, well risen in a cloudless eastern sky, covered the high solitude with its light. We are not conscious of daylight as that which displaces darkness. Daylight, even when the sun is clear of clouds, seems to us simply the natural condition of the earth and air. When we think of the downs, we think of the downs in daylight, as with think of a rabbit with its fur on. Stubbs may have envisaged the skeleton inside the horse, but most of us do not: and we do not usually envisage the downs without daylight, even though the light is not a part of the down itself as the hide is part of the horse itself. We take daylight for granted. But moonlight is another matter. It is inconstant. The full moon wanes and returns again. Clouds may obscure it to an extent to which they cannot obscure daylight. Water is necessary to us, but a waterfall is not. Where it is to be found it is something extra, a beautiful ornament. We need daylight and to that extent it us utilitarian, but moonlight we do not need. When it comes, it serves no necessity. It transforms. It falls upon the banks and the grass, separating one long blade from another; turning a drift of brown, frosted leaves from a single heap to innumerable flashing fragments; or glimmering lengthways along wet twigs as though light itself were ductile. Its long beams pour, white and sharp, between the trunks of trees, their clarity fading as they recede into the powdery, misty distance of beech woods at night. In moonlight, two acres of coarse bent grass, undulant and ankle deep, tumbled and rough as a horse's mane, appear like a bay of waves, all shadowy troughs and hollows. The growth is so thick and matted that event the wind does not move it, but it is the moonlight that seems to confer stillness upon it. We do not take moonlight for granted. It is like snow, or like the dew on a July morning. It does not reveal but changes what it covers. And its low intensity---so much lower than that of daylight---makes us conscious that it is something added to the down, to give it, for only a little time, a singular and marvelous quality that we should admire while we can, for soon it will be gone again.
Sue Whitaker, Remember Remember 2nd Edition|I would need an awful lot of willpower to fight my way through the ups and downs of the road to recovery, and there might be times when I may feel a bit down and depressed, but there would be counsellors that I could talk to about how I was feeling.
Elbert Hubbard|Less than a decade after the Great Exhibition, iron as a structural material was finished—which makes it slightly odd that the most iconic structure of the entire century, about to rise over Paris, was made of that doomed material. I refer of course to the soaring wonder of the age known as the Eiffel Tower. Never in history has a structure been more technologically advanced, materially obsolescent, and gloriously pointless all at the same time.
Swami Vivekananda|If she took Po as her husband, she would be making promises about a future she couldn't yet see. For once she became his wife, she would be his forever. And, no matter how much freedom Po gave her, she would always know that it was a gift. Her freedom would be not be her own; it would be Po's to give or to withhold. That he never would withhold it made no difference. If it did not come from her, it was not really hers.
V.S. Carnes|I remember every good thing about you. Every sweet and perfect thing. And nothing else.” He touched her chin, tipped it up to look into her wet brown eyes. Even smudged, they were gorgeous. The dawning light in them filled his heart, and healed it. “Nothing else.
Vladimir Nabokov, Lolita|Lolita, light of my life, fire of my loins.My sin, my soul. Lo-lee-ta: the tip of the tongue taking a trip of three steps down the palate to tap, at three, on the teeth.Lo. Lee. Ta. She was Lo, plain Lo, in the morning, standing four feet ten in one sock. She was Lola in slacks. She was Dolly at school.She was Dolores on the dotted line. But in my arms she was always Lolita.
Janet Fitch|I hadn’t understood at the time. If sinners were so unhappy,why would they prefer their suffering? But now I knew why.Without my wounds, who was I? My scars were my face, my pastwas my life.
Munindra Misra, Eddies of Life|Do not ever fear your enemies, who attack you relentlessly, But do ever be afraid of the friends who flatter you habitually.[231]	- 4 (Thoughts)
John Henrik Clarke|Swimming has its educational value - mental, moral, and physical - in giving you a sense of mastery over an element, and of power of saving life, and in the development of wind and limb.
Julian Barnes|If anything needs to get fixed in society, it's people's consumption of other people's problems.
Lucas|My second crush,don’t know, who you are,by thinking of you,my day pass.The things, the things, the things changed,forgot the first, second begins.The second crush,my second crush,don’t know who you are,but, by thinking of you,my day pass.Who you are, i don’t know,but seeing you shed tears.My feelings drop, water stops,in my eyes.The things, the things, the things changed.I fall in love, are you goddess or what.As i came near you,my heart beat rise.Want to stop my legs,but they attracts.Like your tears attract the sand,when they are falling on land.My heart, my heart, my heart beat rise,you came, you came, you are closer to my eyes.I see tears fallen on the ground,my love rotating around you round and round.Now, you are the first,you are the last,that i told you my sweet heart.When i see you first time,it was my last time,to fall in love, my dear valentine.The second crush,my second crush,don’t know who you are,but, by thinking of you,my day pass.The things, the things, the things changed.Now, crush end,time spend,love start,now, you are my life part.:-)
Karen A. Baquiran|Listen to your intuition. When you're at a crossroad, the little voice is always talking to you. You just have to pay attention.
Andrew Hussie|Also, SKULLS. Gosh you love SKULLS. There is a good SKULL at the heart of any mystery, haunting its EVERY PAGE. That is what you always say. Or at least, it is what you always HOPE.
Mike A. Lancaster, 1.4|She was only saying what I already knew in my heart, but hearing the words spoken made it seem all the more true, all the more terrifying.Words gave concepts power. Once they were released, there was no choice but to understand them, no matter how painful they might be.
Bethany Brookbank, Write like no one is reading|I think for a time I was unsure what love meant. And now at least I AM sure that a very big part of it involves caring about someone SO much, that you find yourself using Your energy to make their life the BEST it can possibly be. And in turn they do the same for you. Until you both are strong enough to overcome whatever struggles you might have battled on your own, and also struggles you still have yet to face.
Rachel Van Dyken, The Consequence of Revenge|Midnight's the only time where you can be both in the past, present, and future.
Robert Prisig|What sort of future is coming up from behind I don't really know. But the past, spread out ahead, dominates everything in sight.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Wholehearted acceptance is a basic element of love, starting with love for ourselves, and a gateway to joy. Through the practices of loving kindness and self-compassion, we can learn to love our flawed and imperfect selves. And in those moments of vulnerability, we open our hearts to connect with each other, as well. We are not perfect, but we are enough.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Stop listening to people who don’t experience happiness, success, peace, and fulfillment themselves. Don't let them tell you what is right and wrong!
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Once you accept your circumstances and decide to take action, you can welcome change. Change is an opportunity to form new habits and become who you are meant to be.
Kayla Severson, Nature's 1st Gem Is Green|Regardless of what path we take through space and through life, it’s important to remember that we don’t need all the answers; we just need to keep questioning… questioning everything, from the ground beneath our carpet, the carpet beneath our feet, the sky above our head, and space above the sky.
Douglas Adams, The Hitchhiker's Guide to the Galaxy|My capacity for happiness," he added, "you could fit into a matchbox without taking out the matches first
James     Baldwin|Freedom is not something that anybody can be given. Freedom is something people take, and people are as free as they want to be
Michelle Hughes, Tears of Crimson|Welcome to Tears of Crimson, the New Orleans Vampire Bar.
Nadège Richards, Deceiving Destiny|An angel kissed my strings, while I slept last night. And her rhythm broke my hunger. And I died a little less.
K.M. Golland, Discovering Stella|Maybe I am the eye candy on the team, but the only mouth I plan on melting in is hers.
Thomas Szasz|I have not lived as a woman. I have lived as a man. I've just done what I damn well wanted to, and I've made enough money to support myself, and ain't afraid of being alone.
Booboo Stewart|Linguistics is a good way of defining the culture of a brand. The vocabulary used by sports and lifestyle brands - running, fitness, training, motorsports - is all about functionality, whereas the vocabulary of the luxury business - handbags, ready-to-wear - is all about the product.
Julie Barton, Dog Medicine|One of the biggest myths debunked by science is that dogs see only in black and white. Contrary to that popular belief, dogs have dichromatic vision, meaning that they can see shades of yellow and blue.
Val Uchendu|Your purpose naturally is as unclear as your divine nature. To discover your purpose, you must reintroduce yourself to your divine nature. When you do, you'll begin to hear silent whispers directing you to your purpose.
Sun Tzu|You must not fight too often with one enemy, or you will teach him all your art of war.
Cate Blanchett|I'm a huge animal lover - I love animals to death. I've got tortoises and three dogs, and I've had a million animals in the past. I just think that we should do all we can to take care of them.
Holly Black, The Coldest Girl in Coldtown|Be careful," Aidan called from the bed. "You don't know what he might do." "We all know what you'd do, though, don't we?
James     Baldwin, The Fire Next Time|Perhaps the whole root of our trouble, the human trouble, is that we will sacrifice all the beauty of our lives, will imprison ourselves in totems, taboos, crosses, blood sacrifices, steeples, mosques, races, armies, flags, nations, in order to deny the fact of death, which is the only fact we have.
Shannon L. Alder|God doesn't hand you an easy life because you will grow in it. He hands you a dream with hurdles, obstacles, setbacks, battles and challenges because he knows the real you is at the finishing line.
