Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
Francine Rivers, Redeeming Love|I'm only a tool, beloved. Not your Savior
Mr. Depravity|The vampire could woo any woman with his charisma and his charm, but he only wishes to romance her.. for eternity.
Lois Greiman, Unmanned|What if there's no such thing as PMS, and this is just my personality?
Elizabeth von Arnim, The Enchanted April|He had no idea that he never went out of the house without her blessing going with him too, hovering, like a little echo of finished love, round that once dear head
Kay Whitley, Out Loud: A collection of spoken word poetry|Dreams can exist but not come trueAnd if you don't believe me just ask yourselfHow can the universe know what you want,If it never hears it from you
Richard Sax|People have been cooking and eating for thousands of years, so if you are the very first to have thought of adding lime juice to scalloped potatoes try to understand there must be a reason for this.
Michael Meade|The real education is when you awaken and nourish and guide the inner spirit, this inner genius. The community grows from the giving of the gifts of the people in it, which is really giving from the genius.
Francis Bacon|I dress for the image. Not for myself, not for the public, not for fashion, not for men.
Meghan O'Brien, The Muse|Tex’ forearm twitched before he snarled again; “Lay…the…fuck…off.” Each word dripped with venom.“We will but first I want to make sure you take my meaning – take it as gospel. Play your little game, fuck her bow-legged but when it comes down to a choice between you or her getting hurt, I’ll put a bullet in her pretty little head so fast you’ll think you imagined her.” With that, he walked off. Cy following behind. They tipped their hats to Elena as they passed her.
Stephenie Meyer, New Moon|You could hear the wind in the leaves, and on that wind traveled the screams of the kids on the playground in the distance, little kids figuring out how to be alive, how to navigate a world that wasn't made for them by navigating a playground that was.
John Greenleaf Whittier, Complete poetical works|So all night long the storm roared on:The morning broke without a sun;In tiny spherule traced with linesOf Nature’s geometric signs,In starry flake, and pellicle,All day the hoary meteor fell;And, when the second morning shone,We looked upon a world unknown,On nothing we could call our own.Around the glistening wonder bentThe blue walls of the firmament,No cloud above, no earth below,—A universe of sky and snow!
George Lucas, A New Hope|We’re a couple of shooting stars, Biggs, and we’ll never be stopped.
Cate Tiernan, Book of Shadows|Anytime you feel love for anything, be it stone, tree, lover, or child, you are touched by the Goddess's magick...
Max Stirner|Before the sacred, people lost all sense of power and all confidence; they occupy a powerless and humble attitude toward it. And yet no thing is sacred of itself, but by declaring it sacred, by my declaration, my judgment, my bending the knee; in short, by my - conscience.
D.H. Lawrence, Lady Chatterley's Lover|Men don’t think, high and low-alike, they take what a woman does for them for granted.
Nikki Sex, Bound and Freed Boxed Set|If parents don’t want to hear the truth, children learn not to speak it.
Debasish Mridha|Fill yourself with love and happiness, but never give up the desire to love more.
Rachel Caine, Fade Out|Claire found herself staring at his feet, which were in bunny slippers. Myrnin looked down. "What?" he asked. "They're quite comfortable." He lifted on to look at it, and the ears wobbled in the air. "Of course they are," she said. Just when she thought Myrnin was getting his mental act together, he'd do something like that. Or maybe he was just messing with her. He liked to do that, and his dark eyes were fixed on her now, assessing just how weirded-out she was.  Which, on the grade scale of zero to Myrnin, wasn't much.
2Pac|And since we all came from a woman Got our name from a woman and our game from a woman I wonder why we take from our women Why we rape our women, do we hate our women? I think it's time to kill for our women Time to heal our women, be real to our women And if we don't we'll have a race of babies That will hate the ladies, that make the babies And since a man can't make one He has no right to tell a woman when and where to create one So will the real men get up I know you're fed up ladies, but keep your head up
Edward Frenkel, Love and Math: The Heart of Hidden Reality|In adolescence, I hated life and was continually on the verge of suicide, from which, however, I was restrained by the desire to know more mathematics.
Christopher Bram, Eminent Outlaws: The Gay Writers Who Changed America|Dutton, the home of Winnie the Pooh, would find a second identity as a home for gay fiction.
Lisa Kleypas, Mine Till Midnight|He'd missed matching wits with her. "Shall we duel with our lips?" "You may find yourself eating grass for breakfast.
Michael Schumacher|In the early nineties, I was a cub reporter on a city newspaper in Limerick, and assigned to the courthouse there. One day, an old detective sergeant came and whispered to me in the press pit. He pointed out a young offender, a teenager who was up for stealing a car or something relatively minor, and said, 'See this kid? He'll kill.'
Merlin Stone, When God Was a Woman|Many questions come to mind. How influenced by contemporary religions were many of the scholars who wrote the texts available today? How many scholars have simply assumed that males have always played the dominant role in leadership and creative invention and projected this assumption into their analysis of ancient cultures? Why do so many people educated in this century think of classical Greece as the first major culture when written language was in use and great cities built at least twenty-five centuries before that time? And perhaps most important, why is it continually inferred that the age of the "pagan" religions, the time of the worship of female deities (if mentioned at all), was dark and chaotic, mysterious and evil, without the light of order and reason that supposedly accompanied the later male religions, when it has been archaeologically confirmed that the earliest law, government, medicine, agriculture, architecture, metallurgy, wheeled vehicles, ceramics, textiles and written language were initially developed in societies that worshiped the Goddess? We may find ourselves wondering about the reasons for the lack of easily available information on societies who, for thousands of years, worshiped the ancient Creatress of the Universe.
Sue Whitaker, Remember Remember 2nd Edition|I wished that I had died, it would have been better for everyone
Carlo Rovelli, Seven Brief Lessons on Physics|I still don't have all the answers, but I'm no longer afraid to confront the questions.
Horace Walpole|In science, mistakes always precede the truth.
Meghnad Desai|Bill C-9 was supposed to be a budget bill, but it came with innumerable measures that had little or nothing to do with the nation's finances. It was, as critics put it, the advance of the Harper agenda by stealth, yet another abuse of the democratic process. The bill was a behemoth. It was 904 pages, with 23 separate sections and 2,208 individual clauses....As a Reform MP, [Stephen Harper] .... said of one piece of legislation that 'the subject matter of the bill is so diverse that a single vote on the content would put members in conflict with their own principles.' The bill he referred to was 21 page long -- or 883 pages shorter than the one he was now putting before Parliament.
Jon Morrison, Clear Minds & Dirty Feet: A Reason to Hope, a Message to Share|The Christian belief is that Jesus, as God, is the only one who can bring humanity back to God. He was the only person in history with such a pedigree. 1 Timothy 2:5 tells us plainly, “There is one God, and there is one mediator between God and men, the man Christ Jesus.” As a man, he could represent humanity. He was tempted in every way, and yet he never sinned. Jesus is our proverbial “best foot forward” as far as humanity goes. Jesus is also God. As such he is able to serve as a “middle man” and usher us into the very presence of God.The amazing thing is that Jesus offers his righteousness to anyone who will receive it. Rather than being receptive to this offer, we complain there are not other ways to God. While it is incredibly gracious that God would offer any way back to him, people complain that he did not provide ten ways. The offer for salvation is available to all. Instead of being exclusive, Christianity is actually very inclusive. Everyone is welcome to come to Jesus. It does not matter who they are, or what they have done. The Bible tells us, “…whoever believes in him shall have eternal life” (John 3:16). Whether they be Jew, Hindu, Sikh, Greek, Canadian, African, athlete, entrepreneur, lawyer, or academic, the offer is there — come to Jesus.
Toby Barlow, Babayaga|Even the pious Scots, locked throughout history in a long-drawn-out battle with their arch-enemies the Scots, managed a few burnings to while away the long winter evenings.
Edward Gorey, The Unstrung Harp|Mr Earbrass was virtually asleep when several lines of verse passed through his mind and left it hopelessly awake. Here was the perfect epigraph for TUH:A horrid ?monster has been [something] delay'dBy your/their indiff'rence in the dank brown shadeBelow the garden...His mind's eye sees them quoted on the bottom third of a right-hand page in a (possibly) olive-bound book he read at least five years ago. When he does find them, it will be a great nuisance if no clue is given to their authorship.
Lon Milo DuQuette, Low Magick: It's All in Your Head ... You Just Have No Idea How Big Your Head Is|I'd rather face mythological creatures or prarnormal beings then to deal with my own demons. Nothing's scarier than being alone with your thoughts.Fuck the bump in the night BS, it's the silence that does it for me.
Lang Leav, Lullabies|He deftly dealt his swiftest blow--I fell further than, I was meant to go.
Cassandra Clare, Nothing but Shadows|And what do you like to do, little man?" "I like-books," James had said. While standing in the bookshop, with a parcel of books under his arm. The lady had given him a pitying look. "I read-erm-rather a lot," James went on, dreary master of the obvious. King of the obvious. Emperor of the obvious.
Alin Sav|If you can`t listen to people, they hardly will follow you.
Henry Van Dyke|He that planteth a tree is a servant of God, he provideth a kindness for many generations, and faces that he hath not seen shall bless him.
Ryan Eggold|I believe the world is one big family, and we need to help each other.
Susan Cain, Quiet: The Power of Introverts in a World That Can't Stop Talking|The longer you pause to process surprising or negative feedback, the more likely you are to learn from it.
Sebastian Faulks|Levade had told her one day that there was no such thing as a coherent personality. When you are forty you have no cell in your body that you had at eighteen. It was the same, he said, with your character. Memory is the only thing that binds you to earlier selves; for the rest, you become an entirely different being every decade or so, sloughing off the old persona, renewing and moving on. You are not who you were, he told her, nor who you will be.
Criss Jami|Of course, if one does not fully trust the promise of God's Kingdom, he will have a hard time taking risks and making sacrifices in this life. A gospel centered around the temporal self - fleeting happiness, earthly success, vain prosperity, things such as these - is the primary ambition of the half-hearted Christian; the one who somewhat believes he is subject to an eternal death; the one who just might believe in men before God, who morbidly fears seeming less than anyone else. The man of this school feels deeply that he has but one life to live, that this must be his only chance, and therefore must have it all in his favor - from glory to comfort to riches - and have it right this instant. He is but hinting that he is overcome because he insists always that he must overcome, that his judgment comes now and by the persons around him. The point is, however, in this sense, that by grace the Christian is indeed free, but only for as long as he wants to be free - the practicality of true freedom: that of God which offers not so much freedom to be like the world as it does freedom from the pressures of having to be like the world. For Divine Law is based solely on love and freedom; whereas secular law, pressure and imitation.
Mindy McGinnis, The Female of the Species|When animals make a stupid mistake, you laugh at them. A cat misjudges a leap. A dog looks overly quizzical about a simple object. These are funny things. But when a person doesn’t understand something, if they miscalculate and hit the brakes too late, blame is assigned. They are stupid. They are wrong. Teachers and cops are there to sort it out, with a trail of paperwork to illustrate the stupidity. The faults. The evidence and incidents of these things. We have entire systems in place to help decide who is what. Sometimes the systems don’t work. Families spend their weekend afternoons at animal shelters, even when they’re not looking for a pet. They come to see the unwanted and unloved. The cats and dogs who don’t understand why they are these things. They are petted and combed, walked and fed, cooed over and kissed. Then they go back in their cages and sometimes tears are shed. Fuzzy faces peering through bars can be unbearable for many. Change the face to a human one and the reaction changes. The reason why is because people should know better. But our logic is skewed in this respect. A dog that bites is a dead dog. First day at the shelter and I already saw one put to sleep, which in itself is a misleading phrase. Sleep implies that you have the option of waking up. Once their bodies pass unconsciousness to something deeper where systems start to fail, they revolt a little bit, put up a fight on a molecular level. They kick. They cry. They don’t want to go. And this happens because their jaws closed over a human hand, ever so briefly. Maybe even just the once. But people, they get chances. They get the benefit of the doubt. Even though they have the higher logic functioning and they knew when they did it THEY KNEW it was a bad thing.
S.L. Wallace|Oh, I wonder if there's another way.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|Of Course you can attract someone by Beautiful body ,but if you don't have beautiful soul than they will be with you only until they enjoy your body in Bed
Robert Conklin|You had no right to be born; for you make no use of life. Instead of living for, in, and with yourself, as a reasonable being ought, you seek only to fasten your feebleness on some other person's strength.
C. JoyBell C.|I will love you as a thief loves a gallery and as a crow loves a murder, as a cloud loves bats and as a range loves braes. I will love you as misfortune loves orphans, as fire loves innocence, and as justice loves to sit and watch while everything goes wrong.
Amy Tan, The Opposite of Fate: Memories of a Writing Life|Thanks to my mother, I was raised to have a morbid imagination. When I was a child, she often talked about death as warning, as an unavoidable matter of fact. Little Debbie's mom down the block might say, 'Honey, look both ways before crossing the street.' My mother's version: 'You don't look, you get smash flat like sand dab.' (Sand dabs were the cheap fish we bought live in the market, distinguished in my mind by their two eyes affixed on one side of their woebegone cartoon faces.)The warnings grew worse, depending on the danger at hand. Sex education, for example, consisted of the following advice: 'Don't ever let boy kiss you. You do, you can't stop. Then you have baby. You put baby in garbage can. Police find you, put you in jail, then you life over, better just kill youself.
Klaus Lackner|I believe that it is impossible to stop people from using the fossil fuels, so we need to develop technologies which allow us to use them without creating environmental havoc on the planet.
A.R. Braun, Horrorbook: twenty-two tales of terror|The day had begun like any other ordinary day for Barnabas Crackle. That is to say, as extra-ordinarily as his days typically began, which were the usual for our faithful protagonist.
Victor Kiam|Notice the difference between what happens when a man says to himself, I have failed three times, and what happens when he says, I am a failure.
Richelle Mead|ARE YOU CRAZY?" I ASKED. He gave me the same wordless look he always did when I asked that question.
Jay Asher|And it feels strange, almost sad, to walk through ther empty halls. Each step I take sounds so lonely.
Jenny Han, To All the Boys I've Loved Before|I don't think relationships are just physicality. There are ways to show you care about someone, not just using your lips... Or any other body part.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|I was always a stranger at home, in all the places I ever lived.
Nicholas Sparks, The Notebook|Sometimes I'm real cool, but sometimes I could be a real asshole. I think everyone is like that.
Kate Perry, Perfect for You|So if someone is thinking about me, then that's the place I go ?
Alan F. Chalmers, What Is This Thing Called Science?|Here march the eaters of earth, the swallowers of rain.
Pope Leo XIII, Libertas: On the Nature of Human Liberty|The entire Nazi war machine was only possible because of past, present and future violations of the non aggression principle (achievable only through government).
Sanhita Baruah|I asked myself only when he needed my help, "How will the broken heal the wounded?
Cathryn Fox, Hands On|Jack, please,” she whispered, even though she had no idea what it is she was begging for.“You want sex, I’ll give you sex.” His low, deep voice embodied control, and did the strangest things to her body. “But before I put my cock inside you, I want to touch and taste every inch of you.
Kathleen Glasgow, Girl in Pieces|What a fucking destiny is that... or fate or whaatever is it?...COme on isn't it kinda of life irony seeing the girl with which I should conversation.,.. but the problem is that I can't... not because I don't want... but I can't......It's just difficult!
Anna Kavan|Most are inclined to recline into a reclining position, in order to enjoy the decline.
Becki Newton|My healthiest habit is eating a healthy breakfast every morning. I never miss breakfast. As a busy mom, there will be days when I'm cruisin' along and I'll look at the clock and I haven't eaten lunch. And I'll run downstairs, and I'll start shovelin' stuff down the pie hole, and I'll think, 'That was no lunch at all.'
John Gaver|No writing is effortless. I’m not saying you can’t have a good day where the words just kind of flow, but even those words have to be edited. Probably more than once. And I’m not saying a character hasn’t somehow gone in a different direction that I wanted her to go, but that was me, not her. I let her get away from me. I let her roam free and nine times out of ten, the result is not good. I have to go back and start over because she veered off the path of my book. She changed the vision. And I did that. Not her.
Billy Graham, Billy Graham in Quotes|Pride consists not in wanting to be rich, but in wanting to be richer than your neighbor. It is not in wanting to be noticed but in wanting to be the most noticed. It is not in wanting to have things but in wanting more things than others.
Sarah Shahi|You know, my mum's always encouraged me and never made my gender an issue, I guess. She brought me up to believe in equality, as opposed to feminism or sexism - so it just meant that my gender was not relevant to what I was capable of achieving.
Debasish Mridha|To create a positive and beautiful life, you have to focus on the positive side of life.
WISDOM KWASHIE MENSAH (WKM)|There's joy in every circumstance. The beginning is bitter, but in between, there are valuable lessons that bring joy.
Cyrus the Great|All men have their frailties; and whoever looks for a friend without imperfections, will never find what he seeks.
Olivia Wilde|When my mother took her turn to sit in a gown at her graduation, she thought she only had two career options: nursing and teaching. She raised me and my sister to believe that we could do anything, and we believed her.
Kina Grannis|Respect for ourselves guides our morals, respect for others guides our manners.
Phil Thersby|My intellect tells me "read between the lines.. No need to humor something that is what it is and is not what it was.
Andrew Root, Unlocking Mission and Eschatology in Youth Ministry|As salvation is personal, so also is the territory every individual has to possess.
Shari Arison|I can relate to having those people in your life that you feel are moving on to this great, big, normal life and you're like, 'What's wrong with me?'
Elizabeth George, A Woman's Daily Walk with God|The game never changes, you must be in the secret before you are shown to the public.
John Wyndham, The Seeds of Time|Fred always goes with Daphne and Shaggy always sticks with Velma.""Well then, in that case, I'm Scooby.
Jane Cousins, To Trap A Temptress|Your head is incredibly hard…you’ll be fine.”“So much for bedside manner. You didn’t think about cushioning my fall before I hit the ground?”“Please, would you jump in front of an oak tree to stop it falling?”“You’re comparing me to a falling tree?
Laura Anderson Kurk, Perfect Glass|Dinner was served on mismatched plates with paper napkins and silverware that looked like it had been stolen from a school cafeteria. The spaghetti was from a box that was still poking out of the garbage pail, the sauce from a jar that was sitting beside the sink. I got the definite impression that he chose to make dinner because he couldn't afford to take me out.
Tamora Pierce, Emperor Mage|No more is your master a god, Nobility, but he wants offerings from all. When Black God claims us, who will be punished for giving worship and power to a false god? The prince? Or Banjiku?
Dennis Lehane, The Given Day|he'd never believed that power, in any shape or form, was anything more than the intemperate protrusion on the egomaniacal heart. Since all egomaniacs were insecure to their frightened cores, they this weilded "power" barbarically so the world would not find them out
نزار قباني|Don't love deeply, till you make sure that the other part loves you with the same depth, because the depth of your love today, is the depth of your wound tomorrow.
Wataru Watari|You mustn't force images on things.Only gods were what you should expect perfection from.You mustn't demand an ideal from anyone.That is weakness. It is an evil that must be hated. It is negligence that must be punished. It spoils not only yourself, but those around you.You are allowed to be disappointed with only yourself. You should hurt only yourself. Hate yourself for not following your ideal.The only one you must not forgive is yourself.
Erik Pevernagie|A living together becomes a living apart, when the pineal gland has not been able to create a luster of spiritual togetherness and emotional attachment. (“I wonder what went wrong.” )
Sharon Kendrick, The Housekeeper's Awakening|If you don’t like your appearance, then change it, but don’t keep doing nothing and then complaining about it, because it’s bo
Marlene Banks, Son of a Preacherman|People often say that abortion is a woman's choice, and they're right;they choose life the moment they have sex.
Charlotte Perkins Gilman, Herland|it is only in social relations that we are human...to be human women must share in the totality of humanity's common life. Women, forced to lead restricted lives, retard all human progress. Growth of organism, the individual or social body requires use of all of our powers in four areas: physical, intellectual, spiritual and social
W.B. Yeats, The Collected Poems of W.B. Yeats|The Wolf trots to and fro,The world lies deep in snow,The raven from the birch tree flies,But nowhere a hare, nowhere a roe,The roe -she is so dear, so sweet -If such a thing I might surpriseIn my embrace, my teeth would meet,What else is there beneath the skies?The lovely creature I would so treasure,And feast myself deep on her tender thigh,I would drink of her red blood full measure,Then howl till the night went by.Even a hare I would not despise;Sweet enough its warm flesh in the night.Is everything to be deniedThat could make life a little bright?The hair on my brush is getting grey.The sight is failing from my eyes.Years ago my dear mate died.And now I trot and dream of a roe.I trot and dream of a hare.I hear the wind of midnight howl.I cool with the snow my burning jowl,And on to the devil my wretched soul I bear.
Ambrose Bierce, The Unabridged Devil's Dictionary|ARMOR, n. The kind of clothing worn by a man whose tailor is a blacksmith.
Louise Erdrich|As if we'd fall for an obvious trap like that," said Happy. "We're not going to fall for an obvious trap like that, are we? Oh shit, we are. I want to go home.
Oprah Winfrey|I am grateful for the blessings of wealth, but it hasn't changed who I am. My feet are still on the ground. I'm just wearing better shoes.
Victor Manuel Rivera, En Busca de La Verdadera Libertad|La libertad nos mantiene volando alto, pero la contienda destruye nuestra habilidad de volar.
Diana, Princess of Wales|Everyone of us needs to show how much we care for each other and, in the process, care for ourselves.
Craig Kilborn|I'm not for gratuitous nudity, but if there's humor, I don't have a problem.
Vladimir Nabokov, Lolita|I am very much concerned that American Negroes achieve their freedom here in the United States. But I am also concerned for their dignity, for the health of their souls, and must oppose any attempt that Negroes may make to do to others what has been done to them.
Michael Bassey Johnson|Maybe it’s the quiet,” Aedan resumed. “Let’s me think, or maybe it’s the opposite of normal thinking, more like untangling. I’m comfortable in those spots.
Jennifer E. Smith, The Statistical Probability of Love at First Sight|Being tough isn’t in and of itself a bad thing. Looking back on it, though, I can see I was too used to being strong, and never tried to understand those who were weak. I was too used to being fortunate, and didn’t try to understand those less fortunate. Too used to being healthy, and didn’t try to understand the pain of those who weren’t. Whenever I saw a person in trouble, somebody paralyzed by events, I decided it was entirely his fault––he just wasn’t trying hard enough. People who complained were just plain lazy. My outlook on life was unshakable, and practical, but lacked any human warmth. And not a single person around me pointed this out.’” - Miu
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|You would be surprised how even the simplest of smiles can ease a social situation, encourage another, remove barriers, and dissolve differences. It is not only a gift to the recipient, but you will receive affirming returns on your investment.
Julianne Donaldson|Falling in love is not a spur of the moment thing. There wasn't love at first sight as I always believed there to be. It crept and overpowered me. Once I was in its power, it was the most amazing feeling in the world.
Brigham Young|Education is the power to think clearly, the power to act well in the world's work, and the power to appreciate life.
Steve Martin, Born Standing Up: A Comic's Life|Perhaps [he had] persevered for too long, in the face of too many obstacles, his hair proof of his tenacity - the stark black streaked with white or, in certain light, stark white shot through with black, each strand of white attributable to the jungle fever (so cold it burned, his skin glacial), each strand of black a testament to being alive afterwards.
Martin Parr|Fashion pictures show people looking glamorous. Travel pictures show a place looking at its best, nothing to do with the reality. In the cookery pages, the food always looks amazing, right? Most of the pictures we consume are propaganda.
Chelsea Handler, My Horizontal Life: A Collection of One-Night Stands|My relationship with my father had been on the proverbial fritz since the time I was fifteen and called the police to report him for child molesting. He had never molested me, but I wanted to have a party that weekend and needed him out of the house.
Shannon Tanner, Worthy: The POWER of Wholeness|We are all creative, from the mother adding an extra pinch of garlic to her meal, to the entrepreneur launching a brand new product, to the business consultant who creates a more effective way for corporate departments to communicate. The call requires creativity.
Paulo Coelho, The Zahir|I believe in signs....what we need to learn is always there before us, we just have to look around us with respect & attention to discover where God is leading us and which step we should take. When we are on the right path, we follow the signs, and if we occasionally stumble, the Divine comes to our aid, preventing us from making mistakes.
John Ruskin|Istanbul is inspiring because it has its own code of architecture, literature, poetry, music.
Aaron Copland|I think it is the weak and the young and the minorities that you need to look after to get a healthy creative environment - to get a lot of choices, a lot of different styles of music, a lot experimental stuff that everyone else feeds off.
Lao Tzu|Ist eine Lehre zur Satzung erstarrt, hat sie geendet.
Frank Pakenham|In 1969 I published a small book on Humility. It was a pioneering work which has not, to my knowledge, been superceded.
Rollo May, The Courage to Create|For an artist, there's nothing better than having the opportunity to create a world that doesn't- but could- exist.
Tamara Hughes, Beauty's Curse|Charity followed the pirate. To salvation or to hell, she would soon find out.
|It's one thing to know the things you seek are within your reach, but another to confidently and courageously move forward and seize them.
Charles M. Heyworth|Friendship is Divine; think anything, get everything. (10 Alone; Vikrmn)
Ray Kurzweil|From computers to information technology to airplanes, it has been America's unique blend of republican government and free-market capitalism that has allowed us to surpass all other nations in history.
Noam Chomsky, Government in the Future|I think maybe the classic formulation was by David Hume in "Of the First Principles of Government," where he pointed out that "Force is always on the side of the governed." Whether it's a military society, a partially free society, or what we - not he - would call a totalitarian state, it's the governed who have the power. And the rulers have to find ways to keep them from using their power. Force has its limits, so they have to use persuasion. They have to somehow find ways to convince people to accept authority. If they aren't able to do that, the whole thing is going to collapse.
Jill Shalvis|Trying to cool his jets, trying to let her stay in charge, he attempted to hold back, but she let out this breathy little whimper like he was the best thing she’d ever tasted.
Santosh Kalwar, Quote Me Everyday|Trust yourself, you will start to trust others.
Tarif Naaz, Mayhem In Paradise|My girl was mad and I loved her. Upon a night, she read my poetry; and kissing me madly she cried, ‘You are a genius, my love!’ To which I replied, ‘My girl,’ whispering, ‘Every doctor in this land with a prescription pad is more of a genius than I.
C. JoyBell C.|This is the key to life: To expect everything to be given to you from above, yet to be genuinely surprised and forever grateful, when they are. Expecting all good things to be yours, while not knowing how to take anything for granted. If there may be a key in life, this is the key.
Pope Benedict XVI|The apostle only commands that each action and ceremony of God's worship be decently and orderly performed, but gives us no leave to excogitate [contrive] or devise new ceremonies, which have not been instituted before. He has spoken in that chapter of assembling in the church, prophesying and preaching, praying and praising there. Now let all these things, and every other action of God's worship, ceremonies and all, be done decently and in order.
Ash Gray, The Suns of Anarchy|I mean: if you’re going outside to look for your sister, I get it.” Max goes silent. Maybe Mirjam’s death is hitting him now, maybe his voice will choke—but he goes on. “But if you’re going outside to help your mother . . .” He gestures helplessly at my injured arm. His fingers stop a centimeter away, hovering in midair. “Don’t risk it. Don’t risk you.”“She’s my mother.”“The captain will never let her on if she doesn’t even try. Not when there are so many people who haven’t had thechance to try. People we can use on the ship. People who have been on that waiting list forever.”There are a dozen things I want to say. But she’s mymother—as though that means as much as people pretend it does.She is trying, just in a different way—as though I’m convincing myself.I wasn’t on that waiting list, either.I might not be someone the ship can use, as much as I’m trying to be.
Richard F. Thomas|Oceans recede and coastlines wither and crack. Nations lapse; others soon swagger in their places. Mountains crumble to dust, rains vanish into the sea, winds return whence they came, and every city men build has but a jumble of bones for its foundation. What is your need to me? I am the Watcher in the Dark.
Melody Carlson, Damaged: A Violated Trust|Even though your words hurt the most, I still want to hear them everyday.
Steve Harvey|They succeed, because they think they can.
Catherine Carrigan, Unlimited Intuition NOW|You may not be given the whole story when you ask for guidance, only the part you are psychologically equipped to handle.
Sophia Rose, Liquid Me: Poetry and Prose|I am a black bird, a Raven, I am Raven. I know and I am knowing—I know and see life and death, expansion and contraction and I do not shiver and cry—I am unafraid.I am Raven. I am black as liquid night with wings and my eyes are stars to see by.The light within me leads the way and it is revealed through my eyes and I am what lies between the dark and light.I am the balance between.
Raymond Chandler, Nevada-Gas|I like games of chance, including women.
Kirsten Olson, Wounded by School: Recapturing the Joy in Learning and Standing Up to Old School Culture|In addition to labeling kids who learn differently as problematic, sometimes defective, most schools classify, track, and categorize students from very early ages. As an abundance of research studies confirm, these classifications tend to become self-perpetuating and self-confirming. My interviewees illuminate the ways in which grades, tests, and opportunities to learn are often arbitrary or related to class, race, and gender. In the supposed meritocracy of schooling, these markers and estimations have profound impact, not just structuring how we fit into the learning hierarchy of an individual classroom, but who we are who whom we believe we will become.
Jorge Luis Borges, Seven Nights|The gods weave misfortunes for men, so that the generations to come will have something to sing about.” Mallarmé repeats, less beautifully, what Homer said; “tout aboutit en un livre,” everything ends up in a book. The Greeks speak of generations that will sing; Mallarmé speaks of an object, of a thing among things, a book. But the idea is the same; the idea that we are made for art, we are made for memory, we are made for poetry, or perhaps we are made for oblivion. But something remains, and that something is history or poetry, which are not essentially different.
Federico García Lorca|Look at the longing, the anguish of a sad fossil world / that cannot find the accent of its first sob.
Arthur Conan Doyle, The Return of Sherlock Holmes|There is a reward structure in science that is very interesting: Our highest honors go to those who disprove the findings of the most revered among us. So Einstein is revered not just because he made so many fundamental contributions to science, but because he found an imperfection in the fundamental contribution of Isaac Newton.
Diane Messidoro, How to Keep a Boy as a Pet|So Nikki came aboard as Jaqueline's spare cat, presumably in case our prime cat, Eliza, goes on vacation, takes industrial action, or requests a personal day.
Johannes Kepler|Sky-bound was the mind, Earth-bound the body rests
John Ruskin|I always wanted to go into the military or something like that - my whole family, all my friends are either Air Force, Navy, or Marines.
Marjane Satrapi|People, I guess, generally come to see me do stand-up with a working knowledge of my broad sense of humor on 'The Daily Show'... I don't think anyone would mistake me as an actual anchor.
Stephen M. Irwin, The Dead Path|But a smell shivered him awake.It was a scent as old as the world. It was a hundred aromas of a thousand places. It was the tang of pine needles. It was the musk of sex. It was the muscular rot of mushrooms. It was the spice of oak. Meaty and redolent of soil and bark and herb. It was bats and husks and burrows and moss. It was solid and alive - so alive! And it was close.The vapors invaded Nicholas' nostrils and his hair rose to their roots. His eyes were as heavy as manhole covers, but he opened them. Through the dying calm inside him snaked a tremble of fear.The trees themselves seemed tense, waiting. The moonlight was a hard shell, sharp and ready to ready be struck and to ring like steel.A shadow moved.It poured like oil from between the tall trees and flowed across dark sandy dirt, lengthening into the middle of the ring. Trees seem to bend toward it, spellbound. A long, long shadow...
Gavin Extence|Turning things over and over in isolation had led me to a certain point, but I knew that to get any further I'd have to voice some ideas aloud, just to see how they sounded. But I certainly didn't go to Ellie expecting any kind of constructive input on her part. It was more that I'd hit a wall and needed someone to talk around the subject with - like when you come up against a problem that's just immune to normal logic.
Elmar Hussein|what is right and what is wrong are simply different ways of understanding our relationships with the others, not that which we have with ourselves
Frank Herbert, Chapterhouse: Dune|But oh, the perils of leadership in a species so anxious to be told what to do. How little they knew of what they created by their demands. Leaders made mistakes. And those mistakes, amplified by the numbers who followed without questioning, moved inevitably toward great disasters.
BinYamin Gulzar|The difference between having a job and having a vocation is that a job is some unpleasant work you do in order to make money, with the sole purpose of making money. There are plenty of jobs because there is still a certain amount of dirty work that nobody wants to do, and that therefore they will pay someone to do it. There is essentially less and less of that kind of work because of mechanisation. If you do a job with the sole purpose of making money, you are absurd, because if money becomes the goal–and it does if you work that way–you begin increasingly to confuse it with happiness or with pleasure. Yes, one can take a handful of crisp one dollar bills and practically water your mouth over it, but this is a kind of person who is confused like a Pavlov dog, who salivates on the wrong bell.
Sara Sheridan|People have seen that I intend to sweep away everything we have been taught to consider - without question - as grace and beauty; but have overlooked my work to substitute a vaster beauty, touching all objects and beings, not excluding the most despised - and because of that, all the more exhilarating.... I would like people to look at my work as an enterprise for the rehabilitation of scorned values, and, in any case, make no mistake, a work of ardent celebration.... I am convinced that any table can be for each of us a landscape as inexhaustible as the whole Andes range... I am struck by the high value, for a man, of a simple permanent fact, like the miserable vista on which the window of his room opens daily, that comes, with the passing of time, to have an important role in his life. I often think that the highest destination at which a work of art can aim is to take on that function in someone's life.
