Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Mike Yaconelli|Remember that failure is an event, not a person.
Ernest Hemingway, For Whom the Bell Tolls|I had an inheritance from my father,It was the moon and the sun.And though I roam all over the world,The spending of it’s never done.
Janet Fitch|When you have no future, you live in the past.
Kendall Jenner|I always liked to write and had fun writing, but I didn't have any pretensions about being a writer. I liked to read and liked to putz around and write little stories or poems, but my thing was sports.
Pushkar Saraf|How Ironic, when you do business you create exceptions to create new opportunities, when you write code (do a job) you handle exception to make it clean.
Oswald Mosley|The greatest power is not money power, but political power.
Lemony Snicket, The Bad Beginning|As one judge said to another judge: be just. And if you can’t be just, be arbitrary
C. JoyBell C.|I know from the bottom of my heart and with all of it, that it doesn't matter if at the end of your life you can say that you shared the best of yourself with the rest of the world and it doesn't matter if everyone in the world remembers you as wonderful; but what matters is if at the end of your life you can say that you shared the best of yourself with the handful of people who are around you, that you gave the wonderful in you, to the people you love and who love you. Happiness never has and never will come from fame.
Jennifer Megan Varnadore|This is days and days and months and years and all the minutes in between, just you me.
Molly Wizenberg|The minute you land in New Orleans, something wet and dark leaps on you and starts humping you like a swamp dog in heat, and the only way to get that aspect of New Orleans off you is to eat it off. That means beignets and crayfish bisque and jambalaya, it means shrimp remoulade, pecan pie, and red beans with rice, it means elegant pompano au papillote, funky file z'herbes, and raw oysters by the dozen, it means grillades for breakfast, a po' boy with chowchow at bedtime, and tubs of gumbo in between. It is not unusual for a visitor to the city to gain fifteen pounds in a week--yet the alternative is a whole lot worse. If you don't eat day and night, if you don't constantly funnel the indigenous flavors into your bloodstream, then the mystery beast will go right on humping you, and you will feel its sordid presence rubbing against you long after you have left town. In fact, like any sex offender, it can leave permanent psychological scars.
Sunday Adelaja|For a large majority of youth raised in church, the church has become irrelevant to their goals and pursuits in life
Sam Cooke|Well that's very kind of you, but voices ought not be measured by how pretty they are. Instead they matter only if they convince you that they are telling the truth.
Tahereh Mafi, Unravel Me|Loneliness is a strange sort of thing.It creeps up on you, quiet and still, sits by your side in the dark, strokes your hair as you sleep. It wraps itself around your bones,squeezing so tight you almost can’t breathe. It leaves lies in your heart, lies next to you at night, leaches the light out from every corner.It’s a constant companion, clasping your hand only to yank you down when you’re struggling to stand up.You wake up in the morning and wonder who you are. You fail to fall asleep at night and tremble in your skin.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Palm Reading 101•	Palm Up— Conveys openness, service, humility, and sympathy.•	Palm Down—Demonstrates authority, superiority, and control.•	Palm Vertical—Shows you are meeting on equal terms with a mutually respectful greeting.•	Palm Wet, Cold, or Clammy—Ick! The "dead fish" is creepy. Make your hands warm and dry before reaching out to touch someone, please! It can also be conveyed as being nervous or over-excited.•	Palm Perfect—This is my favorite. Better known as the "hand hug." While you are shaking hands with your right hand, place your left hand on top, wrapping both people in warmth and trust. This two-handed shake illustrates affection, caring, or concern, especially when you then reach up to grasp their arm or shoulder.
Lailah Gifty Akita|If you follow your heart, you will be happy.
Banana Yoshimoto, Asleep|It didn't matter whether he was nearby or far away. His image would drift up into your mind just when you least expected it, shocking you, making your chest pound. Making your heart ache.
DaShanne Stokes|If you voted for a man who said "Grab em by the pussy," you have zero room to claim to protect anyone in bathrooms.
E.A. Bucchianeri, Brushstrokes of a Gadfly|Poor God, how often He is blamed for all the suffering in theworld. It’s like praising Satan for allowing all the good that happens.
Amy Purdy|The story of life is quicker than the blink of an eye, the story of love is hello, goodbye.
Pierangelo Isernia|The moon was just starting to rise above the Tetons, shining
Lailah Gifty Akita, Think Great: Be Great!|Without an anchor, we can be drifted to any shore.
G.S. Jennsen, Dissonance|The universe is not ordered, and it will not become so simply because one wishes it. The universe is chaos made manifest. The military does a fine job of creating an illusion of structure, of dependable rules to provide an answer for every situation. “But it is only an illusion, one which on its best days holds the chaos at bay.
Natalie Goldberg, Wild Mind: Living the Writer's Life|After you have finished a piece of work, the work is then none of your business. Go on and do something else.
Richelle Mead, Frostbite|Dimitri's voice snapped my attention back to him. "That's Adrian Ivashkov." He said the name the same way everyone else did. "Yeah, I know.""This is the second time I've seen you with him.""Yeah," I replied glibly. "We hang out sometimes."Dimitri arched an eyebrow, then jerked his head back toward where we'd come from. "You hang out in his room a lot?"Several retorts popped into my head, and then a golden one took precedence. "What happens between him and me is none of your business." I managed a tone very similar to the one he'd used on me when making a similar comment about him and Tasha. "Actually, as long as you're at the Academy, what you do is my business.""Not my personal life. You don't have any say in that.
Alan Bennett|They fuck you up, your mum and dad', and if you're planning on writing that's probably a good thing. But if you are planning on writing and they haven't fucked you up, well, you've got nothing to go on, so then they've fucked you up good and proper.
Anaïs Nin|The dream was always running ahead of me. To catch up, to live for a moment in unison, was the miracle.
Sage Steadman, Upon Destiny's Song|They looked to each other for support, for strength, and at times, motivation, to remember why and for whom they lived.
Anne Sullivan Macy|Eventually our whole world, every culture, will explode and we'll all just be fucking cosmic dust. We'll all dissipate. We'll all be nothing and everything. What's more spiritual than that?
Torry Martin, Of Moose and Men: Lost and Found in Alaska|Life is a series of deaths and resurrections, losses and gains, pain and joy.
Tom McDonough, The Situationists and the City: A Reader|The city's all brightnessand shadow, deckle-edged, bluer than air-there's no help anywhere-you no longer know how to listen.
Joyce Meyer|It is a truism that almost any sect, cult, or religion will legislate its creed into law if it acquires the political power to do so.
Laura Esquivel, Malinche|If men were equal in America, all these Poles and English and Czechs and blacks, then they were equal everywhere, and there was really no such thing as foreigner; there were only free men and slaves.
Mouloud Benzadi|humans without humanity, a war-torn world for eternity
Roberto Cavalli|If somebody for some reason, for music or for movie, becomes famous, it's because they have something, something special.
Tom Robbins, Skinny Legs and All|But these words people threw around - humans, monsters, heroes, villains - to Victor it was all just a matter of semantics. Someone could call themselves a hero and still walk around killing dozens. Someone else could be labeled a villain for trying to stop them. Plenty of humans were monstrous, and plenty of monsters knew how to play at being human.
Hermione Lee, Virginia Woolf|Wherever he went he left footprints so firm that nobody could later efface or blur them, not even he himself, when on rare occasions he was tempted to do so.
Elisa Marie Hopkins, A Diamond in the Rough|Idk what the fuck just happened to us. We used to talk like hell pelhay but now days we act like as if we don't know each other and there's some kinda fight between us. I still want you to stay in my life, as a friend and even more than that but the only thing that I want from you is your acceptance. You think that I don't talk to you or stuff and I'm trying to ignore you but trust me I never tried to ignore. You know what I just can't ignore even when I want too. And if you still think that I'm the only one who have changed and etc so I'm really sorry and honestly I just can not stay away from you. Love you
Malcolm Gladwell, Blink: The Power of Thinking Without Thinking|In everything, depend upon yourself, but work in harmony with all things. Do not depend even upon the Infinite, but learn to work and live in harmony with the Infinite. The highest teachings of the Christ reveal most clearly the principle that no soul was created to be a mere helpless instrument in the hands of Supreme Power, but that every soul should act and live in perfect oneness with that Power. And the promise is that we all are not only to do the things that Christ did, but even greater things.
Steve Maraboli|Mindset matters... always. The difference found between the victorious and the envious, the successful and the haters; is mindset.
Marilyn Sewell, Raw Faith: Following the Thread|[V]alue your dreams but . . . be wary of them also, . . . look for integrity in unusual places.
Elizabeth Debicki|I mean, we must act with intelligence. We must work on this framework, so that immigration becomes an asset to both nations. Believe me, what - just the Mayor Bloomberg said here in New York, that this city would be stopped, totally stopped if it were not by the immigrants working here.
Miguel de Cervantes Saavedra, Don Quixote|After the gratifications of brutish appetites are past, the greatest pleasure then is to get rid of that which entertained it.
Megan Whalen Turner, The Queen of Attolia|Oda once said that when you speak excessively, it isn't necessarily communicating,” Jimmi says as he hunches over, resting his elbows on his knees. He yawns and doesn't cover his mouth.“What does that mean?”“It means that you can shut your mouth and still say what you need to say using the other gifts the gods gave us.
Aileen Rose, Girl In The Woods|His voice is hoarse. "I am going to make love to you now." He says, "So if you want me to stop, tell me."I shake my head frantically. If he stops at this point, I'll probably die.
John Paul II, Love and Responsibility|Take away from love the fullness of self surrender, the completeness of personal commitment, and what remains will be a total denial and negation of it.
Francine Rivers, Her Mother's Hope|And if it (life) were easier, would i have given my heart so fully to God? Put your hope in Him, and you won't be disappointed by what life offers
Kindle Alexander, Always|Sarah turned around and there standing just a few feet from her was the legend himself, and he was far from disappointing.
Catherynne M. Valente, In the Night Garden|Children make prayers so thoughtlessly, building them up like sand castles—and they are always surprised when suddenly the castle becomes real, and the iron gate grinds shut.
Rowan Williams|I eat really healthy, and if I'm tired, I take a nap.
Kaza Kingsley, The Secret of Ashona|I asked, how is knowledge found? 'You must learn how to read, little sister,' he said.
Roy T. Bennett, The Light in the Heart|The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.
Mehmet Murat ildan|Avoid the man without compassion, because he ain’t a man surely!
Holly Madison|I was dating my first boyfriend in high school for a long time, and we broke up before prom. I hadn't met anyone else that I really wanted to go with, and my friends have always been amazing. So I went with my friends and got a million photos with them!
Bill Maher, When You Ride Alone You Ride With Bin Laden: What the Government Should Be Telling Us to Help Fight the War on Terrorism|In giving freedom to the slave, we assure freedom to the free -- honorable alike in what we give, and what we preserve. We shall nobly save, or meanly lose, the last best hope of earth
A.W. Tozer, The Knowledge of the Holy|For this reason the gravest question before the Church is always God Himself, and the most portentous fact about any man is not what he at a given time may say or do, but what he in his deep heart conceives God to be like. We tend by a secret law of the soul to move toward our mental image of God.
Craig Sager|As a young boy, I had the usual hobbies - sports, baseball cards, model airplanes and trains. But I always had a distinct fascination with trains.
Eraldo Banovac|Only a clear, focused, and common mission can hold the organization together and enable it to produce results.
Honore de Balzac|Whenever we have thanked these men and women for what they have done for us, without exception they have expressed gratitude for having the chance to help - because they grew as they served.
Richard Avedon|I'm the most communal person that exists and a very solitary person. So I think writing is a form of getting to the community and being alone, and it's the best of both possible worlds.
Dale McGowan, Parenting Beyond Belief: On Raising Ethical, Caring Kids Without Religion|Ought we not to love dearly the neighbor, who truly represents to us the sacred Person of our Master? And is this not one of the most powerful motives we could have for loving each other with an ardently burning love?
Jane Olson, Counting Calories: A True Story From An Average Jane Who Lost Over 120 Pounds In Less Than 6 Months|Having low self-esteem and a shield of lard are not guarantees of safety. Having a warrior spirit, high self worth (most people are assaulted by someone they know, so if you think you're only worthy of hanging out with controlling low-life's, that's who you'll attract into your circle) and the ability to run, hit, kick and holler loudly are far more effective weapons against victimization.
Peter Orullian, Unfettered|Know what’s worse than cold turkey? Just a little bump. One tiny sip to take the edge off. The edges never went away, they only got sharper. Every addict would tell you. Gray areas couldn’t exist in a sober environment.
Arne Jacobsen|Architecture tends to consume everything else, it has become one's entire life.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Live life, love life.
Suzi Quatro|Is there any purpose to translating poetry? A poem does not contain information of importance, like a signpost or a warning notice.
Anita Diamant, The Red Tent|I can speak of our baby like this to no one else. Who but his father would linger over the exact width of his gummy little smile or the blueness of his eyes, or the sweetness of his little lick of tawny hair on his forehead?
Terry Pratchett, Hogfather|Continuing to play the victim is a self-fulfilling prophecy. Blaming others for your station in life will indeed make you a victim but the perpetrator will be your own self, not life or those around you.
Marco Tulliio Cicerone|If a man should ascend alone into heaven and behold clearly the structure of the universe and the beauty of the stars, there would be no pleasure for him in the awe-inspiring sight, which would have filled him with delight if he had had someone to whom he could describe what he had seen. Nature abhors solitude.
Hank Bracker, The Exciting Story of Cuba: Understanding Cuba's Present by Knowing Its Past|Flights to Santiago de CubaSantiago de Cuba has the Antonio Maceo Airport (MUCU/SCU), which was home to the Cuban Revolutionary Armed Forces. The airport is essentially a turboprop hub, however it can also accommodate mid-sized jet aircraft. There are about twenty international flights each week, but most arrivals are by domestic airlines. The eastern location and the international status of MUCU/SCU has spurred the interest of foreign airlines as a promising future destination. All in all, Cuba now has ten international airports, capable of serving long range flights. “Santiago de Cuba has the Antonio Maceo Airport (MUCU/SCU), which was home to the Cuban Revolutionary Armed Forces. The airport is essentially a turboprop hub, however it can also accommodate mid-sized jet aircraft. There are about twenty international flights each week, but most arrivals are by domestic airlines. The eastern location and the international status of MUCU/SCU has spurred the interest of foreign airlines as a promising future destination. All in all, Cuba now has ten international airports, capable of serving long range flights.
John Green, The Fault in Our Stars|Headline?" he asked."'Swing Set Needs Home,'" I said."'Desperately Lonely Swing Set Needs Loving Home,'" he said."'Lonely, Vaguely Pedophilic Swing Set Seeks the Butts of Children,'" I said.
Juliet Marillier, Son of the Shadows|Dawn will come,’ I told him quietly. ‘The night can be very dark; but I’ll stay by you until the sun rises. These shadows cannot touch you while I am here. Soon we’ll see the first hint of grey in the sky, the color of a pigeon’s coat, then the smallest touch of the sun’s finger, and one bird will be bold enough to wake first and sing of tall trees and open skies and freedom. Then all will brighten and color will wash across the earth and it will be a new day. I will stay with you, until then.
Jen Knox, After the Gazebo|Beware, then, of the long word that's no better than the short word: "assistance" (help), "numerous" (many), "facilitate" (ease), "Individual" (man or woman), "remainder" (rest), "initial" (first), "implement" (do), "sufficient" (enough), "attempt" (try), "referred to as" (called), and hundreds more. Beware of all the slippery new fad words: paradigm and parameter, prioritize and potentialize. They are all weeds that will smother what you write. Don't dialogue with someone you can talk to. Don't interface with anybody.
Andrew Shaffer, Fifty-one Shades: A Parody|Most times, my mind is just an ongoing, present-tense, first-person monologue. It's like I'm writing a novel, constantly, but only in my brain.
Mary Steenburgen|I guess, growing up at Australia Zoo and getting to travel all over the world, I have this great outlook on life, and that's what I hope I inspire other kids to have.
Chris Cooper|I have a lot of objects in my space, little things, reminders, memories.
Samuel Beckett|One day we were born, one day we shall die, the same day, the same second.
Jazz Feylynn|Meetings were an important means of Communist control. They left people no free time, and eliminated the private sphere. The pettiness which dominated them was justified on the grounds that prying into personal details was a way of ensuring thorough soul-cleansing. In fact, pettiness was a fundamental characteristic of a revolution in which intrusiveness and ignorance were celebrated, and envy was incorporated into the system of control.
Avina Celeste|I have always waited for the perfect tools to carve a statue, little did I realize that tools were never the issue, It's my carving skills which needed an upgrade and improvement.
Bryant McGill, Voice of Reason|You have to let go of those feelings, Ra. Anger, fear, regret. It’s the only way you can forgive yourself and love again.
Daniel Bell|You can understand nothing about art, particularly modern art, if you do not understand that imagination is a value in itself.
Mehmet Murat ildan|If people fully understand you, they will think of you as a normal, if they half understand you, will think of you as a genius, and when they can't understand, will certainly think of you a stupid.
Joss Whedon|Teagan - "What is it?"Garreth - "No one's ever prayed for me before. I've always heard your prayers. You prayed for me to come to you when you had a bad dream. I even heard you pray for a perfect, selfless, superwonderful boy to fall in love with. But I've never heard you pray for me.
Billy Graham, Billy Graham in Quotes|Peace conferences are held almost daily by governments, civic organizations, and churches. But the Scripture teaches that peace and safety will not come in any lasting way until the Prince of Peace, the Messiah, Jesus Christ, comes and rules and reigns in our world.
Jennifer Niven, All The Bright Places|The cicadas buzzing, I can hear them through the window. Buzzing louder and louder. Just like the night I sat by the window in the dark, gasping for air, feeling the riddle wriggling in my chest, hearing the monster's heavy footsteps in my ears. And suddenly I know. What they do all those years living in the ground. The nymphs who are to become cicadas. Maybe they don’t know it themselves, but they are writing their song. Collecting the notes in the dark earth. The song rising to the sky, this is how it is, this is how it always is. The song floating toward the sky comes from the underworld.
Logan Pearsall Smith, Trivia|One late winter afternoon in Oxford Street, amid the noise of vehicles and voices that filled that dusky thoroughfare, as I was borne onward with the crowd past the great electric-lighted shops, a holy Indifference filled my thoughts. Illusion had faded from me; I was not touched by any desire for the goods displayed in those golden windows, nor had I the smallest share in the appetites and fears of all those moving and anxious faces. And as I listened with Asiatic detachment to the London traffic, its sound changed into something ancient and dissonant and sad—into the turbid flow of that stream of Craving which sweeps men onward through the meaningless cycles of Existence, blind and enslaved forever. But I had reached the farther shore, the Harbour of Deliverance, the Holy City; the Great Peace beyond all this turmoil and fret compassed me around. Om Mani padme hum—I murmured the sacred syllables, smiling with the pitying smile of the Enlightened One on his heavenly lotus.Then, in a shop-window, I saw a neatly fitted suit-case. I liked that suit-case; I desired to possess it. Immediately I was enveloped by the mists of Illusion, chained once more to the Wheel of Existence, whirled onward along Oxford Street in that turbid stream of wrong-belief, and lust, and sorrow, and anger.
Dean Koontz, A Big Little Life:  A Memoir of a Joyful Dog|It was an ancient policy with her to be on good terms with anything that outweighed her and had so many teeth, so she broke the bacon in two and gave him the smaller piece. He was a dog. He would not realize he had been slighted.
Michael  Anthony, Civilianized: A Young Veteran's Memoir|Gunner shook his head; he wasn't in the mood. He stared down at his bottle as he spoke. "Yeah, and what if I do go after it and what if I find no one, and I'm alone for the next sixty years? What then? Huh? Friends and family will get married. I'll be stuck buying gifts. Years pass: children, birthday parties. At dinner parties, I'll be odd man out, forcing people to arrange five chairs around a table instead of four or six. Or, okay, let's say maybe twenty years down the line I meet someone nice and I've already given up on ever finding true love. Let's say the girl is a few pounds overweight, has fizzy hair and an annoying laugh, but at this point, I'm also a few pounds overweight and my hair is thinning and my laughter is annoying. Maybe then the two of us get married, and both our groups of friends will say, 'See I told you that you'd find true love. It just took a while.' And we'll smile, but we'll both know it's a lie--
Susanna Kaysen, Girl, Interrupted|Details that could throw doubt on your interpretation must be given, if you know them. You must do the best you can—if you know anything at all wrong, or possibly wrong—to explain it. If you make a theory, for example, and advertise it, or put it out, then you must also put down all the facts that disagree with it, as well as those that agree with it. There is also a more subtle problem. When you have put a lot of ideas together to make an elaborate theory, you want to make sure, when explaining what it fits, that those things it fits are not just the things that gave you the idea for the theory; but that the finished theory makes something else come out right, in addition.
Pamela Meyer|As with any actor and any collaborator, it's about forming a trusting relationship. And that's not that you have to get him to trust you so you can get him to do what you want. Especially with a little kid, it's about making them feel really safe, and getting to know and not treating them as a puppet to be moved around.
Søren Kierkegaard|Although I am still far from this kind of interior understanding of myself, with profound respect for its significance I have sought to preserve my individuality―worshipped the unknown God. With a premature anxiety I have tried to avoid coming in close contact with those things whose force of attraction might be too powerful for me. I have sought to appropriate much from them, studied their distinctive characteristics and meaning in human life, but at the same time guarded against coming, like the moth, too close to the flame. I have had little to win or to lose in association with the ordinary run of men, partly because what they do―so-called practical life―does not interest me much, partly because their coldness and indifference to the spiritual and deeper currents in man alienate me even more from them. With few exceptions my companions have had no special influence upon me. A life that has not arrived at clarity about itself must necessarily exhibit an uneven side-surface; confronted by certain facts [*Facta*] and their apparent disharmony, they simply halted there, for, as I see it, they did not have sufficient interest to seek a resolution in a higher harmony or to recognize the necessity of it. Their opinion of me was always one-sided, and I have vacillated between putting too much or too little weight on what they said. I have now withdrawn from their influence and the potential variations of my life's compass resulting from it. Thus I am again standing at the point where I must begin again in another way. I shall now calmly attempt to look at myself and begin to initiate inner action; for only thus will I be able, like a child calling itself "I" in its first consciously undertaken act, be able to call myself "I" in a profounder sense.But that takes stamina, and it is not possible to harvest immediately what one has sown. I will remember that philosopher's method of having his disciples keep silent for three years; then I dare say it will come. Just as one does not begin a feast at sunrise but at sundown, just so in the spiritual world one must first work forward for some time before the sun really shines for us and rises in all its glory; for although it is true as it says that God lets his sun shine upon the good and the evil and lets the rain fall on the just and the unjust, it is not so in the spiritual world. So let the die be cast―I am crossing the Rubicon! No doubt this road takes me into battle, but I will not renounce it. I will not lament the past―why lament? I will work energetically and not waste time in regrets, like the person stuck in a bog and first calculating how far he has sunk without recognizing that during the time he spends on that he is sinking still deeper. I will hurry along the path I have found and shout to everyone I meet: Do not look back as Lot's wife did, but remember that we are struggling up a hill."―from_Journals_, (The Search for Personal Meaning)
Charles M. Blow|I once called a guy into his own office and spun around in his own chair to greet him. That kind of thing may be why I quit, before I got into serious trouble. I would smile and the person would get so upset. But you do a thousand of those things, and it makes you weird.
Matshona Dhliwayo|If the sky was the limit, stars would not light our way to the edge of the universe.
Haruki Murakami, South of the Border, West of the Sun|What we have here is a war—the war of matter and spirit. In the classical era, spirit was in harmony with matter. Matter used to condense spirit. What was unseen—the ghost of Hamlet’s father—was seen—in the conscience of the king. The spirit was trapped in the matter of theater. The theater made the unseen, seen. In the Romantic era, spirit overwhelms matter. The glass of champagne can’t contain the bubbles. But never in the history of humanity has spirit been at war with matter. And that is what we have today. The war of banks and religion. It’s what I wrote in Prayers of the Dawn, that in New York City, banks tower over cathedrals. Banks are the temples of America. This is a holy war. Our economy is our religion. When I came back to midtown a week after the attack—I mourned—but not in a personal way—it was a cosmic mourning—something that I could not specify because I didn’t know any of the dead. I felt grief without knowing its origin. Maybe it was the grief of being an immigrant and of not having roots. Not being able to participate in the whole affair as a family member but as a foreigner, as a stranger—estranged in myself and confused—I saw the windows of Bergdorf and Saks—what a theater of the unexpected—my mother would have cried—there were only black curtains, black drapes—showing the mourning of the stores—no mannequins, just veils—black veils. When the mannequins appeared again weeks later—none of them had blond hair. I don’t know if it was because of the mourning rituals or whether the mannequins were afraid to be blond—targets of terrorists. Even they didn’t want to look American. They were out of fashion after the Twin Towers fell. To the point, that even though I had just dyed my hair blond because I was writing Hamlet and Hamlet is blond, I went back to my coiffeur immediately and told him—dye my hair black. It was a matter of life and death, why look like an American. When naturally I look like an Arab and walk like an Egyptian.
Elizabeth Scott, The Unwritten Rule|Okay, let's see if I got this straight. The butt is the new breast, and the lower back is the new ankle. Now if only we could figure out where the brain has moved.
David Levithan, How They Met, and Other Stories|It is a sound like loneliness—enough to let you know you’re there, but not enough to fill you with life.
Sarah Monette, The Mirador|The real problem has to do with the inability by people to admit that a position they've held a long time might be wrong. That's all. Not that it is. Just that it might be. I don't know why it is, but we tend to fall in love with things we believe, Threaten them, and you threaten us.
Zorica Savron, Only for You, My Love: Love Poetry|...Morning takes youagain to the placeof no return...I don’t have the timeto tell you,how much I wantyou to be here…
Mark Twain, The Mysterious Stranger|He pointed to the money, and said:"The love of it is the root of all evil. There it lies, the ancient tempter, newly red with the shame of its latest victory--the dishonor of a priest of God and his two poor juvenile helpers in crime. If it could but speak, let us hope that it would be constrained to confess that of all its conquests this was the basest and the most pathetic.
E.L. James|Instinct of love toward an object demands a mastery to obtain it, and if a person feels they can't control the object or feel threatened by it, they act negatively toward it.
D. Elton Trueblood|As your faith is strengthened you will find that there is no longer the need to have a sense of control, that things will flow as they will, and that you will flow with them, to your great delight and benefit.
Wilhelm Reich, Listen, Little Man!|Behind every mask there is a face, and behind that a story.
Fulton J. Sheen|Oh, they don't allow the Bible in Heaven, Miss Mary...It contains far too much sex and violence.
Melissa de la Cruz, Alex and Eliza|He had written her reams and reams of letters, as well as a poem that she kept folded in a locket around her neck. Her letters were full of love and anticipation, matching his for enthusiasm and tenderness. He was the luckiest man in the world.
Cynthia Sax, He Watches Me|Rodrigo tried to draw a deep breath, but his chest was too filled with anguish, rage and guilt. He kissed his ash-coated fingers. “I love you,” he whispered. “I love you more than life itself.” Curling his fingers into his fist, he pressed it against his chest. So, I will surely see you soon…and then, my love, we shall be together in our forever now.
Harrish Sairaman|If you cannot learn from a child, teaching a child might be useless!!!!
Georgia Byng|Now, we all have stories of how we got here, and prob-probably some of you feel angry who whoever it is who's left you here. But you must try and remember that they were like that because that's how they were taught to be. You m-must try to forgive them. Baby cuckoos can't unlearn their bad habits. But we should try to, and because what you learn as a ch-child you will pass on to people around you, from now on this house is going to be a house of happiness. From this evening on every single one of us is going to consider other people's feelings.
Seth Godin, The Icarus Deception: How High Will You Fly?|Do What You Want; these are the 4 most frightening words brought to us by the Connection Revolution. If you want to sing, sing. If you want to lead, lead. If you want touch, connect, describe, disrupt, give, support, build, question—Do It. You will not be picked. But, if you want to pick yourself—go for it. The cost is that you own the results.
Billy Graham, Billy Graham in Quotes|Can we overcome our anger, instead of constantly being overcome by it? Yes—with God’s help. Peter’s anger was channeled into boldness for Christ. Paul’s anger against Christians was replaced with a burning passion to spread the Gospel. Is this your goal?
Louis-Ferdinand Céline, Normance|...apparently "London" gave out my address! that's what they're saying...not just London, though! Brazzaville, too!...and said that I'm a dirty pornographer...a letch besides being the most despicable traitor of the century!...I'd make a urinal blush! that what we need is to cleanse France and the French language of this smut-writing, demoralizing, grammaclast who's sullying our sacred homeland and its literary heritage!
Victoria Moran|Cyclops, that's like this primal fear. I had dreams for years that the Cyclops was a small creature living in our huge fish tank at home, and at night, it was going to grow to full size and come after me.
Kat Lahr, Anatomy Of Illumination|It is our ultimate purpose to continually evolve as a species both physically and emotionally, as change is the mechanism for growth and development, and if we fear change we stunt our own growth and with it, human evolution.
Dorothy Parker, The Portable Dorothy Parker|My love runs by like a day in June, And he makes no friends of sorrows. He'll tread his galloping rigadoon In the pathway of the morrows. He'll live his days where the sunbeams start, Nor could storm or wind uproot him. My own dear love, he is all my heart, -- And I wish somebody'd shoot him.
F. Scott Fitzgerald, The Great Gatsby|I was under the librarians' protection. Civil servants and servants of civility, they had my back. They would be whatever they needed to be that day: information professionals, teachers, police, community organizers, computer technicians, historians, confidantes, clerks, social workers, storytellers, or, in this case, guardians of my peace.
Michelle Franklin|The point is that everyone needs some exposure to the various ways of life. People buy things out of catalogues too much. They see in Time magazine that they're suppose to be feeling in such and such a way, and they dash off a check and buy that life-style sight unseen. A pig in a poke if there ever was one, for once you've bought the thing there's no refund. We ought to be able to try things before we sign up for them. Used to be you could listen to the records in a record store before you bought them. Now they're sealed, for your protection, they say. Bullshit! It's for their goddamned protection, not ours. We don't need to be protected. We need to be allowed to get a taste of something before we accept it.
Elizabeth Berrien, Creative Grieving: A Hip Chick's Path from Loss to Hope|It is important to recognize when you have been detached from life for too long. The fact is you are still alive, and I can only imagine that your loved one would want you to go on living. I highly doubt they would have said to you, "When or if I die before you, I want you to spend the rest of your life sitting on a couch staring at the wall. Please fulfill this important task for me.
Nelson Rockefeller|An Edwardian lady in full dress was a wonder to behold, and her preparations for viewing were awesome.
Marisha Pessl, Night Film|When it was daylight, we'd been sitting on a stoop watching the street get light. She mentioned the light took eight minutes to leave the sun and reach us. You couldn't help but love that light traveling so far through the loneliest of spaces to get here, to come so far. It was like we were the only two people in the world.
Michelle Sutton, Out of Time|You could not bribe honest people, but bad people would accept bribery.
Virginia Woolf|Don't talk to strangers. Don't do drugs. Don't smoke. Don't drink and drive. Don't have sex. Wear a condom. Wear sunblock. Wear a seat belt. Wear a helmet. If you see something, say something. Just say no. Stop, drop, and roll. Stop, look, and listen. Look both ways before you cross the street...Safety is an illusion. Bad things can happen to anyone at any time, whether you follow the rules or not. You can check left, check right, check left again before you step off the curb and into the crosswalk, but that won't stop an anonymous asshole in his shitty pickup from putting you in intensive care...
Tara Brach|I say to the young, be happy that you were born in Italy because of the beauty of the human capital, both masculine and feminine, of this country... No other country has such human capital.
Elizabeth Esguerra Castillo|To be truly free is to liberate yourself from worries. To have peace despite chaos engulfing your world, to let go and let God. To live one day at a time and to embrace the winds of change and not to chase what is not meant to be yours. To just wait patiently for God's Divine Timing and to savor the moment each day has to offer.
Charlie Sheen|The best way to not get your heart broken, is pretending you don't have one.
Hazrat Ali Ibn Abu-Talib A.S|Courtesy costs nothing, but buys everything.
Manoj Arora, Dream On|We are all born equal, and even if we are not, the future is still in our hands.
Ellen Ochoa|Every night when I go to bed, I hope that I may never wake again, and every morning renews my grief.
Stephanie Witter, Patch Up|Okay, be serious. Aren't you ever afraid of anything?""Plenty of time," he said softly."Even when what you're afraid of defies all logic?""Especially then. It's been my experience that fear doesn't have a set of parameters. We can't turn it off just by realizing we shouldn't be afraid.
Anne Brontë, The Tenant of Wildfell Hall|My life has been like a battlefield, a war that could never be won unless I had her with me, and the day she died my battlefront stepped down and threw away their shields, allowing the gunshots to slip through the second her heart stopped beating. From that moment onwards I was left wounded, and for those seventeen years without her my wounds bled-wounds no stitch could ever repair.
Jane Austen, Persuasion|You make me love books and the words inside them, because they talk about you. I know they do, they tell me that I love you, not as cliché as I write it, but in the warmest, deepest, calmest words I could ever read. I love you, like the books say it. And I'll find a better way to say it one day.
Jim Morrison|Every happening, great and small, is a parable whereby God speaks to us, and the art of life is to get the message.
Cynthia Heald, Becoming a Woman of Freedom|It has been observed that "none are free indeed but those whom Christ makes free.
