Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Amy Harmon, The Song of David|Saying something is “meant to be” is a cop out. It’s a way for people to deal when they screw up or when life hands them a bowl of shit stew. The things that are meant to be are the things we can’t control, the things we don’t cause, the things that happen regardless of who or what we are. Like sunsets and snow-fall and natural disasters. I’ve never believed hardship or suffering was meant to be. I’ve never believed relationships were meant to be. We choose. In large part, we choose. We create, we make mistakes, we burn bridges, we build new ones.
Misty Lee|I can make you feel, and I can scare you for real.-Misty Lee
Maureen Johnson|My final word: don't follow your dreams . . . chase them. With a stick, or a shovel, or whatever you have handy. Get that [bleep]ing dream!
Marisa Miller|Dear Lord, I'm so grateful I'm still loved.
Avery Flynn, His Undercover Princess|I am debating about you, totally stumped between boxers and briefs." She winked.	He shot her his sexiest look. "Let me know when you're ready for the big reveal.
Helen Hodgman, Jack and Jill|Silence is not only golden, it is seldom misquoted.
Steve Maraboli|Different skin color and same blood color is something that most people don't know, they don't know because arrogance make them racist and ignorant.
Chris Kraus, I Love Dick|...to understand infatuation, how the loved person can become a holding pattern for all the tattered ends of memory, experience and thought you've ever had.
Marie Lu|I dropped out of high school when I was 16, after I had a huge argument with my English teacher over the meaning of the word 'existentialism.'
Christopher Paolini, Inheritance|Unlike the majority of people, he did not hate or fear the wilderness; as harsh as the empty lands were, they possessed a grace and a beauty that no artifice could compete with and that he found restorative.
Wodke Hawkinson, Zeke|You just couldn't give it a rest, could you, Sue? Had to keep badgering me. Snooping and poking around. I hope you're satisfied, now that you've ripped my guts out.
Patricia Briggs, Cry Wolf|Silence has its own language and in that silence he found words within himself; words for her, words for him and words for them.
Angela Parkhurst, The Forgotten Fairytales|Think of the cafeteria as a road map to where you belong.” Danielle pointed to the beautiful people in one corner. “Princesses and Princes over here. Then you have Heroes—leading ladies and gents that aren’t royalty—Sidekicks, Villains, Pirates, Faeries, Future Animal Friends, and the ones scattered are extras—not too important but important enough to be here. Like I said, everyone sticks to their own kind.”“Who are you?” “Cinderella of course,” Danielle giggled.
Alan Ryan, On Politics: A New History of Political Philosophy|Ingo was a fever, and so far she hadn't found the antidote.
Walter Isaacson, Steve Jobs|I believe we are powerful, but we don't use our minds to full capacity. Your mind is powerful enough to help you attain whatever you want.
Tom DeMarco, Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency|Do not tend to hire only people who see what you see. Such a tendency may lead to a decline in operating profit, and even bankruptcy.
Witold Gombrowicz, Diary|You think that I am naive, but it is you who are naive. You have no idea what is happening inside of you when you look at a painting. You think that you are getting close to art voluntarily, enticed by its beauty, that this intimacy is taking place in an atmosphere of freedom and that delight is being born in you spontaneously, lured by the divine rod of Beauty. In truth, a hand has grabbed you by the scruff of the neck, led you to this painting and has thrown you to your knees. A will mightier than your own told you to attempt to experience the appropriate emotions. Whose hand and whose will? That hand is not the hand of a single man, the will is collective, born in an interhuman dimension, quite alien to you. So you do not admire at all, you merely try to admire.
David Baldacci|Pender laughed. "Verify? In this day and age? Who cares about verifying anything? It's all about the speed. Who gets there first defines the truth. You know that as well as any man living.
Afton Rorvik, Storm Sisters: Friends Though All Seasons|When storms come, we naturally want to run. What might happen in your friendships if you learned instead to stay put when storms hit?
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|It's not your knowledge, skill, status & good look that enable you to do great things. It's your trustworthiness. But, you've to EARN it...
Markus Zusak, The Book Thief|I wanted to tell the book thief many things, about beauty and brutality. But what couldI tell her about those things that she didn't already know? I wanted to explain that I am constantly overestimating and underestimating the human race - that rarely do I ever simply estimate it. I wanted to ask her how the same thing could be so ugly and so glorious, and its words and stories so damning and brilliant.None of those things, however, came out of my mouth.All I was able to do was turn to Liesel Meminger and tell her the only truth I truly know. I said it to the book thief and I say it now to you.I am haunted by humans.
Petra Hermans|I have itwhen I do not want, it.Petra Hermans
Lindy Zart, Charmed|He was talking. I tried not to think of how he looked and instead of what he was telling me. Once I accomplished that, my brain couldn’t get past the ‘running’ part. “I don’t run.” I walked the mile run at school. True story. I abhorred any kind of physical exercise. I wasn’t good at it. I was skinny, but I was soft; had absolutely no muscle mass at all. That’s the way I liked it. Who was he to try to change that, change me? I wouldn’t let him. No way, no how. One half of his mouth lifted. He seemed to be enjoying this a little too much. “You do now. You have to be fit, you have to be strong, Taryn, if you’re to stand any chance of surviving this. Come on, we’ll start with stretching.” He forced me to twist my body into unimaginable positions. I even had to touch my toes. The agony. Luke took pleasure from my pain; even laughing as I moaned and groaned through it all. Then, the worst came about. He. Made. Me. Run.
Lily James|Seriously I suspected I was a good actor, though I didn't know it during 'Monsoon Wedding.' Now I realize the more I learn, the less I know about acting... and life.
Meg Wolitzer, The Interestings|You are looking outside, and that is what you should most avoid right now. No one can advise or help you - no one. There is only one thing you should do. Go into yourself. Find out the reason that commands you to write see whether it has spread its roots into the very depths of your heart; confess to yourself whether you would have to die if you were forbidden to write. This most of all: ask yourself in the most silent hour of your night: must I write? Dig into yourself for a deep answer. And if this answer rings out in assent, if you meet this solemn question with a strong, simple "I must," then build your life in accordance with this necessity; your whole life, even into its humblest and most indifferent hour, must become a sign and witness to this impulse...go into yourself and see how deep the place is from which your life flows; at its source you will find the answer to, the question of whether you must create. Accept that answer, just as it is given to you, without trying to interpret it. Perhaps you will discover that you are called to be an artist. Then take that destiny upon yourself, and bear it, its burden and its greatness, without ever asking what reward might come from outside.
Nadia Bolz-Weber, Pastrix: The Cranky, Beautiful Faith of a Sinner & Saint|The way we saw things, it didn’t matter that God had created the heavens and the earth—he did not want us excited about living here. A good fundamentalist worth his weight in guilt was quick to remind any skeptic that the world was going to hell in a handbasket.
Maggie Stiefvater|One of my biggest pet peeves is when a guy's wearing flip-flop sandals, which I don't understand. Men's feet are disgusting to begin with, but now they're on display when I try to go out for a nice steak at a restaurant, and I have to sit there and look at some guy's hoof? I don't get it. I don't understand it.
Charles Grandison Finney|When God has specially promised the thing, we are bound to believe we shall recieve it when we pray for it. You have no right to put in an 'if', and say, 'Lord, if it be thy will..." This is to insult God. To put an 'if' in God's promise when God has put none there, is tantamount to charging God with being insincere.
Jean-Dominique Bauby, The Diving Bell and the Butterfly|I could spend whole days at Cinecittà. There, I am the greatest director of all time. On the town side, I reshoot the close-ups for Touch of Evil. Down at the beach, I rework the dolly shots for Stagecoach, and offshore I re-create the storm rocking the smugglers of Moonfleet.
Marty Rubin|Am I too much for the world, or is the world too much for me?
Aditya Ajmera|The mind which is reluctant to change or alter is "ME and I". The mind which is ready to get empty and altered is "BUDDHA".
Jim Butcher, Blood Rites|A succubus on the set. Strike that, the health-conscious kid sister made it two… succubuses. Succubusees? Succubi? Stupid Latin correspondence course.
Alice Walker|No person is your friend who demands your silence, or denies your right to grow.
Erin Merryn, Living for Today: From Incest and Molestation to Fearlessness and Forgiveness|I tried very hard not to ponder the horrible irony that I was too ugly to love, and too ugly not to violate.
Robert Penn Warren|Historical sense and poetic sense should not, in the end, be contradictory, for if poetry is the little myth we make, history is the big myth we live, and in our living, constantly remake.
Honore de Balzac|In my brief sojourn in college, my favorite classes were political science because I loved the idea of systems we can set up that benefit society - rules we can put in place that sometimes you run against, sometimes they're painful, but ultimately they benefit the world.
Sarah Rees Brennan, Untold|If my life were a fragrance, it would smell like the sea.
Robert G. Ingersoll, The Liberty of Man, Woman and Child|Instead of fleeing God scrutiny, David welcomed it. It's like he was saying, "Look God, since I can't hide from you, since you know my very thoughts before I think them, I want you to fully know me. Be in the very core, the essence of my being. If you're going to know me, then know everything about me!
Chrys Fey, 30 Seconds|If she’d thought cutting ties with Galen would help her get on with her life, Harper knew that after today, she’d never, ever get him out of her system. He was a drug she couldn’t kick, an addiction she was willing to die for. And as he drew her clit into his mouth and sucked gently, Harper reasoned that there were much, much worse ways to die.
Alan W. Watts|Through our eyes, the universe is perceiving itself. Through our ears, the universe is listening to its harmonies. We are the witnesses through which the universe becomes conscious of its glory, of its magnificence.
Suzanne Collins, Mockingjay|People of Panem, we fight, we dare, we end our hunger for justice!” There‘s dead silence on the set. It goes on. And on. Finally, the intercom crackles and Haymitch‘s acerbic laugh fills the studio. He contains himself just long enough to say, “And that, my friends, is how a revolution dies.
Joyce Meyer|How can a society that exists on instant mashed potatoes, packaged cake mixes, frozen dinners, and instant cameras teach patience to its young?
Kate Bush|When I first started YouTubeing, the idea was, 'Oh, YouTube is going to be a stepping stone to get to other places,' and I just totally don't agree with that. I think YouTube is amazing. The digital space is amazing.
Kathryn Jean Lopez|I am so sorry. That we cannot go back to that moment and get you the help you needed, the information you wanted, the hope and love you craved. I am so sorry about what you’re learning now, what you’re seeing, what you’re reliving. Our culture didn’t let you mourn—we pretend you weren’t a parent, that you’re not. What’s hidden is laid bare. Know you’re loved and not judged. I’m so sorry the law let this happen. I’m so sorry we let this happen.
Charlotte Brontë, Jane Eyre|I knew, you would do me good, in some way, at some time;- I saw it in your eyes when I first beheld you: their expression and smile did not- (again he stopped)- did not (he proceeded hastily) strike delight to my very inmost heart so for nothing. 
Jaeda DeWalt|Pain is a predator when we run from it, it will inevitably chase us down and catch us in its clutches. The goal isn't to wallow in the pain or to avoid it, but rather, to move through it. Pain only holds us hostage when we get stuck in it or try to repress it. Pain is a part of the human experience. Life is a bittersweet journey. Developing the ability to learn from our pain and to cope with it, effectively, is one of the most empowering gifts we can give ourselves.
Jay Woodman|NAMING THE EARTH(a poem of light for national poetry day)And the world will be born againin circles of steaming breathand beams of lightas each one of us directsour inner eyeupon its name.Hear the cry of wings,the sigh of leaves and grass,smell the new sweet mist risingas the pathway is cleared at last.Stones stand ready -they have knownsince ages and ages agothat they were not alone.Water carries the planet's energyinto skies and down to earth and bones.The cold parts steadily as we come together,bodies and hearts warm,hands tingling.We are silentbut our eyes are singing.We look, we feel, we know,we trust each other's souls,we have no need to speak.Not now, but later,when the time is right,the name will ringwithin the iron coreof each other's listening -and the very earth's being.Every creature, every plant,will hear it calling,tolling like a bell -a sound we've always feltbut never dared to hopeto hear reverberating -true at last, at every levelof existence.The poets come togetherto open the intimate centre.Believein life and air -breathe the light itself,for these are the energiesand rhythms that we needto see, to touch, to reach,to identify, to say, the NAME.Colours on your skinfuse and dissolve -leave the river cleanfor pure space and timeto enter and flow in.We all become one fluid streamof stillness and motion,of flaring thoughtpulses discoveringweird pools and twists withinwhere darkness hidesfrom the flames in our eyesbut will not snare us.We probe deeper still,journeying towards a unitywhich will be more rawand yet also more formedthan anything writtenor spoken before.Our fragile bodiesfall away -and the trees, and the roots of trees,guide us -lead us awayfrom the faces we rememberseeing each day in the mirror -into an oceanof dreamsseething with warmth,love,where the beginningis real,ripe, evolving.And the world is born againin circles of steaming breathand beams of light.An ache - a signal -a trembling moment -and the time is rightto say the name.We sing as one wholevoice of the universal -all the words, the namesof every tiny thirsting thing,and they ring out togetheras one sound,one energy, one sense,one vibration, one breath.And the world listens,beats, shines, glows -IS -Exists!
Charles Dickens, Great Expectations|A lot of childhood effort, worry, and whispering goes into cracking the codes of adult life. Children have to be accomplished spies.
Chris     Murray, The Extremely Successful Salesman's Club|Moving continuously forward doesn’t necessarily get us to where we want to be, just somewhere other than where we started.
E. Lockhart, We Were Liars|They know that tragedy is not glamorous. They know it doesn't play out in life as it does on a stage or between the pages of a book. It is neither a punishment meted out nor a lesson conferred. Its horrors are not attributable to one single person. Tragedy is ugly and tangled, stupid and confusing.
Benjamin Franklin|Be studious in your profession, and you will be learned. Be industrious and frugal, and you will be rich. Be sober and temperate, and you will be healthy. Be in general virtuous, and you will be happy. At least you will, by such conduct, stand the be.
Tanya Masse|If you can find a cause that touches your soul it will make you a better person, it will show you the power of helping others and ultimately the biggest winner is us. Giving to others helps us to grow, to have a different outlook in life, to appreciate what we have and to be more positive.
Leo Babauta|The way I define happiness is being the creator of your experience, choosing to take pleasure in what you have, right now, regardless of the circumstances, while being the best you that you can be.
Richard C. Lewontin, Biology as Ideology: The Doctrine of DNA|Biological databases impose particular limitations on how biological objects can be related to one another. In other words, the structure of a database predetermines the sorts of biological relationships that can be 'discovered'. To use the language of Bowker and Star, the database 'torques,' or twists, objects into particular conformations with respect to one another. The creation of a database generates a particular and rigid structure of relationships between biological objects, and these relationships guide biologists in thinking about how living systems work. The evolution of GenBank from flat-file to relational to federated database paralleled biologists' moves from gene-centric to alignment-centric to multielement views of biological action.
Tim Reed, Melody's Room|Little did they suspect that the years would end by wearing away the disharmony.Little did they suspect that La Mancha and Montiel and the knight's frail figure would be, for the future, no less poetic than Sinbad's haunts or Ariosto's vast geographies.For myth is at the beginning of literature, and also at its end.
Milan Kundera, Encounter|Such are the Splendors and Miseries of memory: it is proud of its ability to keep truthful track of the logical sequence of past events; but when it comes to how we experienced them at the time, memory feels no obligation to truth.
Siddhartha Mukherjee, The Emperor of All Maladies: A Biography of Cancer|You don’t need to be someone you’re not. Haven’t you learned that? Stop being scared and face the world. I know you’re not in remission yet, but who can say they have been through cancer twice and beat it? Confront the world, Aundrea. You’re alive. Be proud of the strong woman you are and stop hiding behind your wig.
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|Ani saw herself clearly in that moment, as a face in darkness gains sudden dimensions in a flash of lightning - a young girl, a silly thing, a lapdog, a broken mare.
Shay Leigh, Sins Within|And when I feelthe masks beneathcrumble and fade withtime I build new onesto replace the old."Masks"- Sins Within
Sterling Lord, Lord of Publishing: A Memoir|A writer who’s a pro can take on almost any assignment, but if he or she doesn’t much care about the subject, I try to dissuade the writer, as in that case the book can be just plain hard labor.
Jorge P. Guerrero|Sometimes, you need to downgrade your dreams to upgrade your reality.
Cassandra Clare|The point is, there is no feasible excuse for what are, for what we have made of ourselves. We have chosen to put profits before people, money before morality, dividends before decency, fanaticism before fairness, and our own trivial comforts before the unspeakable agonies of others
Madison Thorne Grey, Magnificence|Bitterness filled his heart, and he learned to love the feel of its magic.(Darius)
Lyle Lovett|I believe that fitness needs to come from within you. You need to respect your body. Only then will you have the zeal to maintain it. For me, keeping fit is a part of my lifestyle.
Craig D. Lounsbrough|Today I must look in the mirror and be thankful for the person who I find staring back at me. For although the reflection is terribly imperfect, and I know that full well, God created it with enough room that one day it would be perfect. And if there is nothing else I can find to be thankful for, let me begin here.
Natalia Marx, Fireheart|With a blade at your throat, a well-connected uncle or a wealthy mother could not save you. Only you could save yourself.
Debasish Mridha|For success, focus on possibilities not problems.
Robin S. Sharma|Leadership offers an opportunity to make a difference in someone's life, no matter what the project.
Socrates|The hour of departure has arrived, and we go our separate ways, I to die, and you to live. Which of these two is better only God knows.
Jean-Michel Jarre|We have all met people that act 'old' or think a number makes them old, and I truly don't believe that is the case. If you have a good attitude toward aging, and you do what you can to live healthy and take care of yourself, I don't think the number matters.
T.F. Hodge|A practice of giving [it] your best, means you don't just have to hope for it.
Violet Haberdasher, The Secret Prince|It is a good man who stands up for his friends, but an honorable man who stands up for his enemies.
John Geiger|Ellie: "What was your favourite food before root beer floats were invented?"Will: "I dont know. Food was terrible before people started putting lots of chemicals and artifiacal flavours into it to make it taste better. I guess Ive always like carrots a lot."Ellie: "Carrots?" "Your other favourite food is carrots? What is wrong with you?
Steve Voake, The Web of Fire|Samuel, safety is my watchword. Rest assured that proper procedures will be followed at all times."Skipper giggled. "Tell me, Mump. What ARE proper procedures exactly?""Simple," said Mump. "One: cause maximum chaos in the shortest possible time. Two: try not to get your head blown off.
Haruki Murakami, Hard-Boiled Wonderland and the End of the World|Kindness and a caring mind are two separate qualities. Kindness is manners. It is superficial custom, an acquired practice. Not so the mind. The mind is deeper, stronger, and, I believe, it is far more inconstant.
Felicia Hemans|What do you think of Christmas?""I like it," she said. "I think we should have it every year.
Simone de Beauvoir, Memoirs of a Dutiful Daughter|Alone: for the first time I understood the terrible significance of that word. Alone without a witness, without anyone to speak to, without refuge. The breath in my body, the blood in my veins, all this hurly-burly in my head existed for nobody.
Anna Akhmatova, Poems of Akhmatova|I like how you smile and how you laugh. I like how you love and defend your family and I like how you're trying to love mine. I love how you trust. But mostly, Emily, I love you.
Jonathan Haidt, The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom|This cultural, technological, and meritocratic environment hasn't made us a race of depraved barbarians. But it has made us less morally articulate. Many of us have instincts about right and wrong, about how goodness and character are built, but everything is fuzzy. Many of us have no clear idea how to build character, no rigorous way to think about such things. We are clear about external, professional things but unclear about internal, moral ones. What the Victorians were to sex, we are to morality: everything is covered in euphemism.
Matshona Dhliwayo|If a lion invites you to dinner, turn down the offer, no matter how hungry you are.
Jorge Amado, Home is the Sailor|The purpose of this pamphlet is to explain how local currencies work. Alone they cannot solve all the multiple financial, social and environmental crises we face, but they are an increasingly important part of the answer.
Yann Martel, Beatrice and Virgil|If blue helmeted UN peacekeepers show up in your town or village and offer to protect you, run.
Jolee Bindo|Yes,” Lisa said with the usual blank honestly. She frowned. “Was that a sincere question? Or a scolding rhetorical question akin to Harilotecca’s speech patterns?
Rupert Everett|Working with food was fraught with anxiety when I was a girl. Like all farmers, we were at the mercy of the weather, and we lived in fear of crop failure.
Norman Davies|He might be better considered as an exponent of Tartar financial, military, and political methods, who used the shifting alliances of khans and princes to replace the Tartar yoke with a Muscovite one. In his struggle with the Golden Horde, whose hegemony he definitively rejected after 1480, his closest ally was the Khan of the Crimea, who helped him to attack the autonomy of his fellow Christian principalities to a degree that the Tartars had never attempted. From the Muscovite point of view, which later enjoyed a monopoly, ‘Ivan the Great’ was the restorer of ‘Russian’ hegemony. From the viewpoint of the Novgorodians or the Pskovians he was the Antichrist, the destroyer of Russia’s best traditions. When he came to write his will, he described himself, as his father had done, as ‘the much-sinning slave of God’.
Isabella Carter, Dragon Slayer|To be honest, Briec doesn’tconsider fights with humans as battles. I think he sees that more ashunting. Or a snack that runs.
Rachel Joyce, The Unlikely Pilgrimage of Harold Fry|I miss her all the time. I know in my head that she has gone. The only difference is that I am getting used to the pain. It's like discovering a great hole in the ground. To begin with, you forget it's there and keep falling in. After a while, it's still there, but you learn to walk round it.
Gordon Brown|Bullying is something every kid in public, parochial, or private school has witnessed by graduation. While unfortunate, it is part of growing up.
John Hartung|Mine would be, "We will stand together, he and I. One in victory, one in shame. Only then can I truly own the power of Halla. How sweet the moment of revelation will be, when he learns that he handed it to me." -SD the Pilgrims of Rayne
John Lubbock, The Pleasures of Life|A wise system of education will at least teach us how little man yet knows, how much he has still to learn.
Elizabeth Warren|The way you think, the way you behave, the way you eat, can influence your life by 30 to 50 years.
Serena Jade, Marriage: For the Ego or Soul?|The feeling was less like chemical intoxication than being drunk on life. Spinning round and round, he experienced absolute bliss— unadulterated and unconfined—in which he transcended his own personality and became one with everything he perceived.
Leigh Bardugo, The Language of Thorns: Midnight Tales and Dangerous Magic|You see, some people are born with a piece of night inside, and that hollow place can never be filled - not with all the good food or sunshine in the world. That emptiness cannot be banished, and so some days we wake with the feeling of the wind blowing through, and we must simply endure it as the boy did.
Archibald Marwizi, Making Success Deliberate|Whilst your memory is as sharp as the most reliable computer, it is always wiser to write things down. Pre-meditation helps the refining process, taking out the undesirable elements from a dream or vision, even mounting the courage to face and overcome challenges before they appear in reality.
Antoine Predock|I'd love to go back to space, I don't know any astronaut who doesn't want to.
CeeLo Green|I guess a psychiatrist would say there's some good to the venting process, but it does also promote an attitude of saying, 'Hey there's nothing wrong with being filled with hate; there's so much of it around.' I don't like that.
Lauren Oliver, Before I Fall|The more I get to know him, the more I can feel my heart opening without my control. I always wanted a man to look at me as if I were a miracle, but I didn't realise I would oneday see a man just as grande
Søren Kierkegaard|Marry, and you will regret it; don’t marry, you will also regret it; marry or don’t marry, you will regret it either way. Laugh at the world’s foolishness, you will regret it; weep over it, you will regret that too; laugh at the world’s foolishness or weep over it, you will regret both. Believe a woman, you will regret it; believe her not, you will also regret it… Hang yourself, you will regret it; do not hang yourself, and you will regret that too; hang yourself or don’t hang yourself, you’ll regret it either way; whether you hang yourself or do not hang yourself, you will regret both. This, gentlemen, is the essence of all philosophy.
Sue-Ellen Welfonder, To Love A Highlander|You make me burn with life, and yearn to set aside my cold and distant, solitary ways.
George Washington Carver|How far you go in life depends on your being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and strong. Because someday in your life you will have been all of these.
Billy Graham, Billy Graham in Quotes|The Bible is God’s gift to us. It came from God, and it points us to God.
Anne Michaels, The Winter Vault|And she knew for the first time that someone can wire your skin in a single evening, and that love arrives not by accumulating to a moment, like a drop of water focused on the tip of a branch - it is not the moment of bringing your whole life to another - but rather, it is everything you leave behind. At that moment.Even that night, the night he touched one inch of her in the dark, how simply Avery seemed to accept the facts - that they were on the edge of lifelong happiness and, therefore, inescapable sorrow. It was as if, long ago, a part of him had broken off inside, and now finally, he recognised the dangerous fragment that had been floating in his system, causing him intermittent pain over the years. As if he could now say of that ache: "Ah. It was you.
Veronica Rossi, Under the Never Sky|She’d fallen into a deep silence once, when the sun appeared, and it was then he’d wondered most what she was thinking.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|Passion is a catalyst for action and provides you with the emotional stamina to stick with it, regardless of the obstacles.
Orhan Pamuk, The Museum of Innocence|After all, a woman who doesn't love cats is never going to be make a man happy.
Glenn Greenwald|What I try to get beyond is playing music at people and, instead, to play music with people because audience members are constantly part of the experience. What they say in their body language, what they say in their eyes, what they sing with me... it's an 'us,' and there's a communication that's like... it's like church, man.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|You know there's got to be a better way of life - somewhere, sometime, somehow - but you're not exactly sure what better is.
AainaA-Ridtz|Well," he said, "I think we've found our way in. We just wait until they're duking it out, but trust me, these Humans First types don't have a lot of staying power or they'd have been at the gym with me before. I doubt Grandma Kent there is going to do a lot of damage." He pointed at a gray-haired, hunched lady in a shawl, carrying what looked liked a gardening tool. "It's like Plants Versus Zombies, and I'm not rooting for the zombies, weirdly enough.
James Rozoff|There is no unstoppable force but time, no impenetrable object except that which separates us from the past.
Meister Eckhart|I may err but I am not a heretic, for the first has to do with the mind and the second with the will!
M.F. Moonzajer|You don't need sex to make love, but you need love to make sex.
Alan Keyes|To seek understanding before taking action, yet to trust my instincts when action is called for. Never to avoid danger from fear, never to seek out danger for its own sake. Never to conform to fashion from fear of eccentricity, never to be eccentric from fear of conformity.
Lynn Coady|Whenever I start a new book, I think, 'This is the most interesting subject of all time. It's sad, I'll never enjoy writing another book as much as I enjoy this one.' Every time, I'm convinced. And then I change my mind when I start the next book.
Jacob Nordby, Pearls of Wisdom: 30 Inspirational Ideas to live your best life now|Blessed are the weird people: poets, misfits, writersmystics, painters, troubadoursfor they teach us to see the world through different eyes.
Taranpreet Singh|We need to consciously remember that we have an unprecedented responsibility to protect our planet, because without it we have nowhere else to live.
Marquis de Lafayette|Until we command the exact same salary as every male counterpart, I feel a political desire to stand by other women. If we don't stand together, that equality will never be fully realized, and that bothers me.
Michel Faber|Proof, once again, that reality was not objective, but always waiting to be reshaped and redefined by one's attitude.
Tom Hodgkinson, The Freedom Manifesto: How to Free Yourself from Anxiety, Fear, Mortgages, Money, Guilt, Debt, Government, Boredom, Supermarkets, Bills, Melancholy, Pain, Depression, Work, and Waste|Pain will never leave us. Instead of putting energy into destroying pain, we need to put energy into creating pleasure.
Marilyn Monroe|Hand in hand they whispered for a while. The girl nodded and the bear laughed. Together, they made their way down the corridor and to the foot of the stairs.
Helen Oyeyemi, What is Not Yours is Not Yours|She retained the opinions of trees: one of them being that it was best not to have anything to do with human folk. "Firstly, they cut us down," Rowan said. "Secondly they're all insane, though I suppose they can't help that, being rooted in water instead of earth.
Joely Fisher|I didn't have the same fitness or ability as the other girls, so I had to beat them with my mind.
N K Jemisin|Nothing is more evident than that modern capitalism is just as subversive as Marxism. The materialistic view of life on which both systems are based is identical; both of their ideals are qualitatively identical, including the premises connected to a world the centre of which is constituted of technology, science, production, "productivity," and "consumption." And as long as we only talk about economic classes, profit, salaries, and production, and as long as we believe that real human progress is determined by a particular system of distribution of wealth and goods, and that, generally speaking, human progress is measured by the degree of wealth or indigence—then we are not even close to what is essential...
Stacey Field, The Life and Afterlife of Charlie Brackwood|Don't get me wrong, it's a good thing to be remembered. But everyday their memories get fewer, less intense. Certain aspects of the memory will become dishevelled, twisted into a form unrecognisable. Until finally the person still at the centre of your world moves on and all you can do is watch
Michael Bassey Johnson|There's poverty in wealth. If a man is wealthy without good health, is he not poor? If a man is wealthy without children, is he not poor? If a man is wealthy without God, is he not poor? If a man is wealthy without giving alms, is he not poor? If a man is wealthy without wisdom, is he not poor? Then there's a great lack in riches.
Thomas Haden Church|In school, we learn that mistakes translate into bad grades. This unfortunate lesson gets burned into our brains, and we go through life shunning challenges that might end in failure.
R.C. Sproul, The Holiness of God|You sanctimonious philistines, who scoff at me!What has your politics fed onsince you've been ruling the world?On butchery and murder!
April Adams, Drawing the Dragon|Being a good communicator Patch, begins with listening, and listening to yourself first.
Austin Cochran, Totem Lake|Never talk to strangers. If someone ever tries to take you, fight with everything you have. Scream as loud as you can. (He'd never told her what to do if the man was too strong and there was no one to hear her screaming.)
Cindi Madsen, An Officer and a Rebel|Kelsey flopped next to him, propping her elbow on the back of the couch so she was facing him. "Do you have something against happiness?""Yes. Don't tell anyone, but I moonlight as the Grinch.
Ezekiel Emanuel|To be idle is a short road to death and to be diligent is a way of life; foolish people are idle, wise people are diligent.
Jenny Shipley|When we create out of our experiences, as feminists of color, women of color, we have to develop those structures that will present and circulate our culture.
Leslie Deaton, A Marked Past|I'm too old to be ignorant as I am." --Twelve-year-old Gabriella to the general, who does not want her to know about Emmett Till and the world's brutality.
Veronica Roth, Divergent|My bad luck got tangled up with my bad decisions, and I'm paying for it.
Debasish Mridha|To create a kind society, be kind to all.
Stephanie Lahart|Replace the word can’t with can. Know that you can, believe that you can, and know with ALL of your heart that you will. You will succeed in spite of any obstacles that may try to hinder you! There’s so much power in having a positive attitude, positive mindset, and positive outlook.
Craig Greenfield, Living Mission: The Vision and Voices of New Friars|However, do you know what? I am convinced that fellows like me who live in dark cellars must be kept under restraint. They may be able to live in their dark cellars for forty years and never open their mouths, but the moment they get into the light of day and break out they may talk and talk and talk...
David J. Chalmers|The concept of country, homeland, dwelling place becomes simplified as "the environment" -- that is, what surrounds us, we have already made a profound division between it an ourselves. We have given up the understanding -- dropped it out of our language and so out of our thought -- that we and our country create one another, depend on one another, are literally part of one another; that our land passes in and out of our bodies just as our bodies pass in and out of our land; that as we and our land are part of one another, so all who are living as neighbors here, human and plant and animal, are part of one another, and so cannot possibly flourish alone; that, therefore, our culture must be our response to our place, our culture and our place are images of each other and inseparable from each other, and so neither can be better than they other.
Stephen L. Carter, Back Channel|He had been around politicians for a long time, and he was prepared for some outburst.
Katherine McIntyre, Scrying for Summer|Now that little problem of yours, this business of not knowing good men from bad men and villains from heroes and so forth...There's still plenty for you to do. And you'll do it. And when you fall in love and have a mistress or a wife and children to look after, it will all seem easier." He opened the door but stopped on the threshold. "Surround yourself with human beings, my dear. They are easier to fight for than principles." He laughed. "But don't let me down and become human yourself. We would lose such a wonderful machine." With a wave of his hand he shut the door.
Mark F. LaMoure|You tend to become like that, what you want most. Its up to you to make it happen. Expect the best and work for the best. Dedicate yourself and make a successful life happen.
Patricia Briggs, River Marked|The closer you got to someone, the more it would destroy you when they were inevitably gone.
Pastor Adelaja Sunday|its size, the House was an environment in which, as one observer put it, members “could be dealt with only in bodies and droves.
Jiddu Krishnamurti|I want to question my belief, so that what is left after I have questioned it, will be even stronger.
David Halberstam|. . . I should wish you to think more deeply, to look further, and aim higher than you do.
E.L. Todd, Tuesday|This is the dysfunction talking. This is the disease talking. This is how much I miss you talking. This is the deepest blue, talking, talking, always talking to you.
Philip K. Dick, Galactic Pot-Healer|Real love is always chaotic. You lose control; you lose perspective. You lose the ability to protect yourself. The greater the love, the greater the chaos. It’s a given and that’s the secret.
