Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Debasish Mridha|When you are seeing a person, you are not really seeing him. You are seeing his reflection through the mirror of your mind.
David Cameron|The Federal government does not have any information about extraterrestrial life to conceal, and there are no secret projects for me to investigate.
Dan Brown, Angels & Demons|When you're a black woman, her mother said, ain't no hiding what you are. Day you try, is the day you die. Stand tall, smile bright, and let 'em wonder what secret's making you laugh.
David Graeber, The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy|Power makes you lazy. Insofar as our earlier theoretical discussion of structural violence revealed anything, it was this: that while those in situations of power and privilege often feel it as a terrible burden of responsibility, in most ways, most of the time, power is all about what you don't have to worry about, don't have to know about, and don't have to do.
Christina Engela, The Time Saving Agency|A library at night is full of sounds: the unread books can't stand it any longer and announce their contents, some boasting, some shy, some devious.
Ilchi Lee, Change: Realizing Your Greatest Potential|We cannot change outcomes, but we can change causes
Oscar Wilde, The Picture of Dorian Gray|There were opium-dens, where one could buy oblivion, dens of horror where the memory of old sins could be destroyed by the madness of sins that were new.
Sulari Gentill, Chasing Odysseus|To live the life the gods have given you, you must clutch wisely, then run. Run like the houds of hell on a sinner's scent!
Brandon Sanderson, The Well of Ascension|Those who take lightly promises they make to those they love are people who find little lasting satisfaction in life. This is not an easy time in which to live. That does not mean that it has to be a difficult time to love, but it does mean that you will find unusual stresses upon your lives and your relationship.
Frances Beinecke|Investing in women and girls may once have been considered a radical notion or even a waste of resources, but in most places in the world today, women and girls are increasingly recognized as a critical link to greater prosperity, political stability, better health and public policy.
Elizabeth Eulberg, Better off Friends|We switch to another language-- not our invented language or the language we've learned from our lives. As we walk further up the mountain, we speak the language of silence. This language gives us time to think and move. We can be here and elsewhere at the same time.
Philip Appleman|GERTRUDEGertrude Appleman, 1901-1976God is all-knowing, all-present, and almighty. --A Catechism of Christian DoctrineI wish that all the peoplewho peddle Godcould watch my mother die:could see the skin andgristle weighing onlyseventy-nine, every stubbornpound of flesh a smalldeath.I wish the people who peddle Godcould see her young,lovely in gardens andbeautiful in kitchens, and could watchthe hand of God slowlytwisting her knees and fingerstill they gnarled and knotted, settling infor thirty years of pain.I wish the people who peddle Godcould see the lightningof His cancer stabbingher, that small frametensing at every shock,her sweet contralto scratchy withthe Lord’s infection: Philip,I want to die.I wish I had them gathered round,those preachers, popes, rabbis,imams, priests – everypious shill on God’s payroll – and Iwould pull the sheets from my mother’s brittle body,and they would fall on their knees at her bedsideto be forgiven all theirfaith.
James     Baldwin, The Fire Next Time|I have known both of you all your lives, have carried your Daddy in my arms and on my shoulders, kissed and spanked him and watched him learn to walk. I don’t know if you’ve known anybody from that far back; if you’ve loved anybody that long, first as an infant, then as a child, then as a man, you gain a strange perspective on time and human pain and effort. Other people cannot see what I see whenever I look into your father’s face, for behind your father’s face as it is today are all those other faces which were his. Let him laugh and I see a cellar your father does not remember and a house he does not remember and I hear in his present laughter his laughter as a child. Let him curse and I remember him falling down the cellar steps, and howling, and I remember, with pain, his tears, which my hand or your grandmother’s so easily wiped away. But no one’s hand can wipe away those tears he sheds invisibly today, which one hears in his laughter and in his speech and in his songs.
David Harvey, A Companion to Marx's Capital|The childhood sexual abuse taught me that my value came from sex. In adulthood, I was driven to have sex since I always felt worthless. I felt important and desired until it was over and then I felt like garbage—the same way I did after the abuse. I desperately needed to feel valued again, which led to more sex. My sex addiction only stopped when I believed that I’m valuable apart from anything I do.
Carina Aguilar|Don't ask me to define love, for love cannot be explained. It can only be felt.
Adam Selzer, I Kissed a Zombie, and I Liked It|The story goes that one day Socrates stood gazing at a stall that sold allkinds of wares. Finally he said, “What a lot of things I don’t need!
Charlotte Brontë|Swifts, on a fine morning in May, flying this way, that way, sailing around at a great hight, perfectly happily. Then, one leaps onto the back of another, grasps tightly and forgetting to fly they both sink down and down, in a great dying fall, fathom after fathom, until the female utters a loud, piercing cry of ecstasy.
Anita Shreve, The Last Time They Met|When she leaned forward to mess with the AC vents, her hair brushed against my leg and it was really soft. It made remember all over again. It made it hard to stay pissed and keep her at arm's length the way I'd planned. It was pretty near damn impossible. When I was near her, I just wanted to grab her and hold her and kiss the shit out of her. Maybe then she'd forget about my asshole of a brother.
Paul Russell, The Coming Storm|I'd believed mine was the greatest of all the arts, the noblest of all the lies, the creation of hope. I thought hope could overcome everything, but I was wrong. Hope cannot overcome truth. Hope and truth cannot co-exist. Truth destroys hope. The most savage cruelties man inflicts on man are committed in the pursuit of truth. My last lie had been the most honest, the most honorable of them all, for there is an art greater even than the creation of hope. The greatest art of all is the destruction of truth.
George Orwell, 1984|However she redefined herself, that part of one that made for the core of the self, that part that we think of as the ultimate, inner being—that was ineradicable Scottish. That part spoke with a Scottish voice; that part looked out through Scottish eyes; and it was that part that now welled within her as she gazed out through the window of the descending plane and saw below her the rolling Borders hills…
David Graeber, Fragments of an Anarchist Anthropology|In a democracy, people always vote for their alike! Pig for the pig, raven for the raven! Dull for the dull, wise for the wise!
Mara|We’re giving Our Book to Earth so that All Earth Souls will Open up to the Universe and be aware of Our Existence.Through this awareness Earth Souls can Progress more and gain a clearer Understanding of Life after Death.There are too many Closed Minds on the Earth Plane. We are asking Earth Souls to Open Their Minds and Souls. That’s the only way they will Progress back to the Universe.In the Universe, Progress, and Learning never stop. It is Eternal.Growth and Development in the Universe is far more rewarding than any rewards found on the Earth Plane – as long as the Soul is willing to Work.The Pyramids are Very Spiritual, and they represent the Universe’s Triad.The Pyramids were given to Earth by the Universe, and Thought Power built them.The Pyramids were built for the whole Earth to use to help all find themselves in their own Inner Soul.This Power was taken away from them because greed and selfishness took over the people on the Earth Plane without leaving room for even a bit of love.
Jeanne Safer Jeanne Safer Ph.D.|When you look in the mirror, your difficult sibling always looks back, though the image is distorted. In the shadows lurk parts of yourself and your past that you don't want to notice. Behind the reflection, silently influencing the interaction, stand your parents, your grandparents, and all their siblings.
Peter Rushforth, Kindergarten|Larger than life character; a couple of hundred years ago he would have been a pirate. "When in evil company, try to blend in" - that was one of his.
DeBorrah K. Ogans, The Enchanting Legends Of Shiloh Mansion: The Young King|We are forever becoming! We never arrive, as long as we are on this side of Heaven there is more to learn.
Craig Groeschel, Weird: Because Normal Isn't Working|When you give, you will be blessed. When you give, it will be given back to you.
Mehmet Murat ildan|Nothing in this universe is able to complete its travel on the road of infinity! Because the road is very very long, travellers eventually get tired and turn into autumn leaves!
M.B. Dallocchio, The Desert Warrior|Whether it’s an Iraqi widow mourning her dead loved ones standing helplessly in the rubble of her former home or a dying soldier in an Iraqi city street asking, “Why, God? Why is this happening? Where are you?” I can’t help but wonder the same. You realize that there is no justice, no karmic retribution swift enough, and that happy endings are a terrible, terrible lie. We are all subject to the same blind boot stomp and our luck is merely where we happen to be standing when death inevitably comes roaring down upon us.
Abdulazeez Henry Musa|Once you beat yourself,you will beat the world.
Ufuoma Apoki|For every decision a 'man' makes, he makes it with the best of the depth of knowledge he possess at that particular instant and the quality of experiences he's passed through. It's not an excuse though for mediocrity, but an avenue to learn, rise, and conquer your inefficient self. By inference, beyond an extreme line, there might not necessarily be a qualification of a choice as wrong or right, but an avenue to grow depending on how the intricacies of such a choice and its consequences are handled.
Chris Murray, The Extremely Successful Salesman's Club|Few ever found enlightenment in haste, and nobody will ever discover it in gibberish
Jeh Johnson|In my view, targeted lethal force is at its least controversial when it is on its strongest, most traditional legal foundation. The essential mission of the U.S. military is to capture or kill an enemy. Armies have been doing this for thousands of years. As part of a congressionally authorized armed conflict, the foundation is even stronger.
Lord Byron|Teach your children poetry; it opens the mind, lends grace to wisdom and makes the heroic virtues hereditary.
Hugh Grant|By working in the morning, I find a sense of peace; it's isolated peace, but I can definitely be in touch with my feelings, and then I just start.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Be Brave. Bravery takes fortitude—put yourself on the line, even if you risk failing, falling, being embarrassed, or looking stupid—if being brave were easy, more people would be. Just try it!
Patricia A. McKillip, Firebirds Rising: An Anthology of Original Science Fiction and Fantasy|Orma moved a pile of books off a stool for me but seated himself directly on another stack. This habit of his never ceased to amuse me. Dragons no longer hoarded gold; Comonot's reforms had outlawed it. For Orma and his generation, knowledge was treasure. As dragons through the ages had done, he gathered it and then he sat on it.
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|It's not what you have on the outside that glitters in light, it's what you have on the inside that shines in the dark.
ShahenshahHK|This hinted at something that no one had ever suspected -- that the brain tracks moving things more easily that still things. We have a built-in bias toward detecting action. Why? Because it's probably more critical for animals to spot moving things (predators, prey, falling trees) than static things, which can wait. In fact, our vision is so biased toward movement that we don't technically see stationary objects at all. To see something stationary, our brains have to scribble our eyes subtly over its surface. Experiments have even proven that if you artificially stabilize an image on the retina with a combination of special contact lenses and microelectronics, the image will vanish.
Rollo May|At the end of our time on earth  if we have lived fully  we will not be able to say  "I was always happy." Hopefully  we will be able to say  "I have experienced a lifetime of real moments  and many of them were happy moments."
Franco Santoro|Life is a relentless expulsion from where we come from and an ongoing deportation to alien realms. We are in exile and our greatest dream is to return to the lost land. It is the greatest dream because no matter how long our exile is going to last, the dream will remain. It is the greatest dream because when we finally care only for this dream, then our exile will be over.
Khang Kijarro Nguyen|You don't mean to say that Hogan has turned into a woman? Why, yes, that's him all right, you can recognize him by the fact that he has two legs, two arms, and an indecipherable face. Man, woman, what difference does it make? Are they not all exactly the same, these little black insects with their rhythmic movements, the same eyes, the same thoughts?
C.S. Lewis, The Collected Letters of C.S. Lewis, Volume 3: Narnia, Cambridge, and Joy, 1950 - 1963|Remember He is the artist and you are only the picture. You can't see it. So quietly submit to be painted---i.e., keep fulfilling all the obvious duties of your station (you really know quite well enough what they are!), asking forgiveness for each failure and then leaving it alone.You are in the right way. Walk---don't keep on looking at it.
Robert Hand|The better you feel about yourself, the less you feel the need to show off.
Sam Harris|We read the Golden Rule and judge it to be a brilliant distillation of many of our ethical impulses. And then we come across another of God’s teachings on morality: if a man discovers on his wedding night that his bride is not a virgin, he must stone her to death on her father’s doorstep (Deuteronomy 22:13-21).
Carl-John X. Veraja|Addicts don't like when you tell them they are all the same. Of course not. Who would? But to me, addicts are like actresses, who all audition for the same role in a horror movie. It doesn't matter how they got to the audition. It doesn't matter how or where they grew up, once they get to the audition, all the actresses act in the same way and read the same lines. They all become the same character.
Jim Carrey|Skydiving is special because it's almost the closest to an out-of-body experience you can have. We live in such a stimulated, connected, busy world - to be up in the air with nothing but yourself and the landscape is incredibly peaceful.
Elon Musk|America isn't Congress. America isn't Washington. America is the striving immigrant who starts a business, or the mom who works two low-wage jobs to give her kid a better life. America is the union leader and the CEO who put aside their differences to make the economy stronger.
Mehmet Murat ildan|To understand fully the importance of music, you must try to imagine a world without music! Such a world would be a world of hopelessness and boredom!
Leon Panetta|Becoming an author changes your attitude too. Once you see where books come from, and how they're made, they never seem quite as sacred again.
M.A. George, Relativity|And you’re okay with this?...” I studied his calm expression, my own features anything but calm.“Noooo…” Aeron drew the word out lazily with a slow, deliberate shake of his head. His face remained strangely composed.“Then can I please have some of whatever sedative you took…because this,” I waved my hand, motioning from his head to his feet, “is way too cool under pressure.
Michelle Hodkin, The Retribution of Mara Dyer|I was just cleaning up my own mess, Baz. Like, no one would call you a hero for cleaning up your own vomit.
William Lane Craig, Reasonable Faith|‎"If there is no God, then man and the universe are doomed. Like prisoners condemned to death, we await our unavoidable execution. There is no God, and there is no immortality. And what is the consequence of this? It means that life itself is absurd. It means that the life we have is without ultimate significance, value, or purpose.
Audrey Hepburn|I finished my first book seventy-six years ago. I offered it to every publisher on the English-speaking earth I had ever heard of. Their refusals were unanimous: and it did not get into print until, fifty years later; publishers would publish anything that had my name on it.
Avijeet Das|You can't take love for granted! You need to be patient. And just as flowers take time to blossom, love will one day blossom in your heart!
Alexis de Tocqueville, Democracy in America|In my opinion the main evil of the present democratic institutions of the United States does not arise, as is often asserted in Europe, from their weakness, but from their overpowering strength; and I am not so much alarmed at the excessive liberty which reigns in that country as at the very inadequate securities which exist against tyranny.
Tsai Ing-wen|Countries with higher levels of gender equality have higher economic growth. Companies with more women on their boards have higher returns. Peace agreements that include women are more successful. Parliaments with more women take up a wider range of issues - including health, education, anti-discrimination, and child support.
Mark Twain|The trade of critic, in literature, music, and the drama, is the most degraded of all trades.
Sally Clarkson, The Mission of Motherhood: Touching Your Child's Heart for Eternity|As a young father it's important to remember that, when you're at the beach, there's a BIG difference between telling your five year old son to just go pee in the ocean and telling him to get in the water at least waist deep and then pee in the ocean.
Jill Bolte Taylor, My Stroke of Insight: A Brain Scientist's Personal Journey|Our cells stimulate our pain receptors in order to get our brain to focus and pay attention. Once my brain acknowledges the existence of the pain, then it has served its purpose and either lightens up in intensity, or goes away.
Ryan Reynolds|I've always really been a romantic at heart, and I have always wanted kids, and I think the idea of sharing your life with the right person is amazing, actually.
Eden Butler, Infinite Us|Narrow-minded historians will say there's no proof that [Meriwether] Lewis was dude-loving. Another telling indication was that his Newfoundland dog was named "Seaman". Talk about a Freudian slip. What straight man like to go around saying "Seaman, come! Seaman, come!" amid a group of strapping beefcake?
Brenda Shaughnessy, Our Andromeda|In most families, care-giving becomes the woman's responsibility. While care-giving can enrich you, it can also deplete you if you don't have support or make time for self care.
Yahtzee Croshaw|Well we've left behind the 200X's, and we move onto the 20XX's. Maybe that will finally make us feel like we're living in the future, rather than a media controlled slave state where an iPhone is worth substantially more than a human life. Happy new year.
William Moulton Marston|The only hope for civilization is the greater freedom, development and equality of women.
Steven Magee|If you think that your partner has been cheating, then take a look at their will. If a past lover is in there, then it is probable that some form of infidelity has occurred.
Cassandra Clare, The Bane Chronicles|Not many get to see this side of him. So, if you do, know that you’re lucky.
Jessica Khoury, The Forbidden Wish|I never see a ship sailing out of the channel, or a gull soaring over the sand-bar, without wishing I were on board the ship or had wings, not like a dove 'to fly away and be at rest,’ but like a gull, to sweep out into the very heart of the storm.
Khaled Hosseini|there is a God, there always has been. I see him here, in the eyes of the people in this [hospital] corridor of desperation. This is the real house of God, this is where those who have lost God will find Him... there is a God, there has to be, and now I will pray, I will pray that He will forgive that I have neglected Him all of these years, forgive that I have betrayed, lied, and sinned with impunity only to turn to Him now in my hour of need. I pray that He is as merciful, benevolent, and gracious as His book says He is.
Dave Pelzer|On any given day, my father wasn't likely to return from work before I was asleep for the night. I saw that a man's work was important, that he must pursue it tirelessly, and that it might require certain sacrifices, like being away from the warmth and comfort of home.
Diana Lanham, House of Aegea|Without us here to witness, the universe is just pointless physics unfolding.
Jamie Canosa, Temptation|A persons soul reflects more than just their actions. It reflects their thoughts and feelings, their emotions and desires. It reflected all of who you are.
Jack Thanatos, The Gods of Chaos: Dreaming|There is a majesty to lucid dreaming that is almost beyond words. To find yourself present and aware in another world, a universe within your own mind, is simply so far removed from our daily "normal" experiences that it can quite literally take your breath away.
John Green, Looking for Alaska|Cemeteries can be creepy, creepy, ‘specially at night.
Daniel Keyes, Flowers for Algernon|The process is important, regardless of the outcome, just ask Schacter.(...)mental health... is not a destination but a process. It's about how you drive, not where you're going. The therapist is like a driving instuctor, not a chauffeur.
Tom Robbins, Jitterbug Perfume|When you're unhappy, you get to pay a lot of attention to yourself. And you get to take yourself oh so very seriously. Your truly happy people, which is to say, your people who truly like themselves, they don't think about themselves very much. Your unhappy person resents it when you try to cheer him up, because that means he has to stop dwellin' on himself and start payin' attention to the universe. Unhappiness is the ultimate form of self-indulgence.
Jimmy Buffett|Being happy isn't necessarily about getting there, it's how you get there.
Ash Gray, The Seaglass Stair|Parmida had never believed in unicorns, not until a stroll through the forests of Sunneth Dol convinced her otherwise. She was a young human woman living in a world where magick was dead and magickal creatures a myth. Elves and fae and magickal beasts had long ago shed their skin and left their bones. It was a world where humans alone now existed, walking in the dark of night, always looking over their shoulder for their inevitable extinction, as if nature were waiting to absorb them next back into her soil.
Rosamund Lupton, Sister|If language naturally evolves to serve the needs of tiny rodents with tiny rodent brains, then what's unique about language isn't the brilliant humans who invented it to communicate high-level abstract thoughts. What's unique about language is that the creatures who develop it are highly vulnerable to being eaten.
Rey Mysterio|I was a filmy kid. I was two when I faced the camera for the first time. My parents realised it pretty early, and I'm really thankful to them for their support and help.
Nick Hornby, High Fidelity|This time, something different happens, though. It’s the daydreaming that does it. I’m doing the usualthing—imagining in tiny detail the entire course of the relationship, from first kiss, to bed, to moving intogether, to getting married (in the past I have even organized the track listing of the party tapes), to howpretty she’ll look when she’s pregnant, to names of children—until suddenly I realize that there’snothing left to actually, like, happen. I’ve done it all, lived through the whole relationship in my head.I’ve watched the film on fast-forward; I know the whole plot, the ending, all the good bit. Now I’ve gotto rewind and watch it all over again in real time, and where’s the fun in that?And fucking … when’s it all going to fucking stop? I’m going to jump from rock to rock for the rest ofmy life until there aren’t any rocks left? I’m going to run each time I get itchy feet? Because I get themabout once a quarter, along with the utilities bills. More than that, even, during British Summer Time.I’ve been thinking with my guts since I was fourteen years old, and frankly speaking, between you andme, I have come to the conclusion that my guts have shit for brains.
Jacqueline Carey, Kushiel's Dart|Yes my lord, but questions are dangerous, for they have answers
Douglas Alexander|Of all the questions I get asked as an undocumented immigrant in the United States, there are two - asked in various permutations via email, social media or in person - that chill me to the bone: 'Why don't you just make yourself legal?' And: 'Why don't you get in the back of the line?'
Russell Anthony Gibbs, The Six Principles of Enlightenment and Meaning of Life|When facts give way to faith, then and only then have you unlocked the possibilities within!
Ngina Otiende, The Wedding Night: Embracing Sexual Intimacy as New Bride|Sexual intimacy is a relationship, not just body parts coming together. The more comfortable you are with each other outside the bedroom; the easier it is to relax and the sweeter the intimacy!
Henry Cloud, Changes That Heal: How to Understand the Past to Ensure a Healthier Future|From: bluegreen118@gmail.com To: hourtohour.notetonote@gmail.comDate: Jan 7 at 7:23 AMSubject: Re: Really?On the Tumblr-you mean creeksecrets? .....But I really don't think I'm wrong. Jacques a dit. Right?-BlueSo, Yeah, I've been careless. I guess I left a trail of clues. and I shouldn't be surprised that Blue put them together. Maybe I kind of wanted him to.Jacques a dit is "Simon Says" in French, by the way, And it's obviously not as clever as I thought it was.
Alexandra Engellmann, Sky Ghosts: All for One|Is there a club for bitchiness management, like Alcoholics Anonymous? Because, seriously, I think you should visit it.
Thomm Quackenbush, Find What You Love and Let It Kill You|Evil, let it never be mistaken, is real. But it is inferior. It is parasitic. It is incomplete. The moment we take counsel from it, become overwhelmed by it, or put it on an equal footing with the Good of God, it will have become something entirely more dangerous. It becomes an idol.
Heather     James, Fire|That’s when I realized it. I liked this girl. A lot. I liked her super-moist double chocolate chip cupcakes. I liked how kind and patient she was with the guests, the way her forehead crinkled when she was thinking about a problem. I liked her low, soft voice and that long ribbon of platinum-blond hair. I liked the way she looked at the world, as if it were an okay place, where good things were actually possible. 
Heather Simmons, Reinventing Dell|Nobody thought the direct business model would work. But work it did, and spectacularly. Until it didn’t. And therein lies the tale.
Ralph Waldo Emerson|The moment you are there You know but the moment cannot be explained for it is beyond language and expression. It is a moment of silence, joy, bliss, void, crying, dancing but nothing confirms to normal.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|In these times, a great leader must be extremely brave. Their leadership must be steered only by their conscience, not a bribe.
Chuck Palahniuk, Invisible Monsters|Begin by asking yourself if you are currently showing up to your life, your business, and your relationships in a way that is cultivating an extraordinary life.
Ernest Agyemang Yeboah|Jesus Christ has already come to suffer in the hands of men and He shall least entertain anyone who will disturb Him in eternal eternity in the Kingdom of God! If you want to join Him, ponder!
Alexander Pope|Reason is a supple nymph, and slippery as a fish by nature. She had as leave give her kiss to an absurdity any day, as to syllogistic truth. The absurdity may turn out truer.
Mario Stinger, Destined for Oblivion: As Nature Intended|Billions of years ago God was creating universes and life; thousands of years ago he was creating angry floods, sin-saving human sacrifices and audible burning bushes. Today he occasionally appears on a piece of toast. To state that God has become reclusive over the years would be an overwhelming understatement.
Michael Oher|Rude contact with facts chased my visions and dreams quickly away, and in their stead I beheld the horrors, the corruption, the evils and hypocrisy of society, and as I stood among them, a young wife, a great wail of agony went out from my soul.
Harrish Sairaman|If you have to slog your ass everyday to achieve your goals, you are not doing something RIGHT!!!
Shania Twain|The prevailing - and foolish - attitude is that a good manager can be a good manager anywhere, with no special knowledge of the production process he's managing. A man with a financial background may know nothing about manufacturing shoes or cars, but he's put in charge anyway.
Edna St. Vincent Millay, The Selected Poetry|The sunrise was the colour of bad blood. It leaked out of the east and stained the dark sky red, marked the scraps of the cloud with stolen gold. Underneath it the road twisted up the mountainside towards the fortress of Fontezarmo - a cluster of sharp towers, ash-black again the wounded heavens. The sunrise was red, black and gold.The colours of their profession.
Tamara L. Chilver|I LOVE homeschooling and want others who have been led to do it to love it, too.
Victor Shamas, The Chanters Guide: Sacred Chanting as a Shamanic Practice|Acceptance is an important part of serenity. It is not enough, however, simply to accept the things we cannot change. For me, serenity comes from not having any investment in the outcome. If I am genuinely serene, then it will not matter to me whether things change or stay the same. Either way, I choose to be happy.
Bono|I'm happy when I have, like, one fan, but the fact that I'm getting fans from different places and different communities, it's really amazing.
Liz    Moore, Heft|...this idea I had of an oversoul of loneliness. A connectedness among the world's lonely that I could turn to when I was very low. There was a delicious romance in being utterly alone, & I told myself I was nobler for it, & that there was a purpose to my solitude, O there must be.
Ayn Rand, Anthem|Their eyes were dark and hard and glowing, with no fear in them, no kindness and no guilt.
Warren Rudman|Italy in the first years got food, for the first year or the first periods got food. Then we got raw materials and then we got tool machines, let's say, instruments for working.
Kyle Massey|Through consciousness, our minds have the power to change our planet and ourselves. It is time we heed the wisdom of the ancient indigenous people and channel our consciousness and spirit to tend the garden and not destroy it.
Carl von Clausewitz, On War: Volume 1|If the mind is to emerge unscathed from this relentless struggle with the unforeseen, two qualities are indispensable: first, an intellect that, even in the darkest hour, retains some glimmerings of the inner light which leads to truth; and second, the courage to follow this faint light wherever it may lead.
Anne Fadiman, Ex Libris: Confessions of a Common Reader|When the corpses of [Sir John] Franklin's officers and crew were later discovered, miles from their ships, the men were found to have left behind their guns but to have lugged such essentials as monogrammed silver cutlery, a backgammon board, a cigar case, a clothes brush, a tin of button polish, and a copy of "The Vicar of Wakefield." These men may have been incompetent bunglers, but, by God, they were gentlemen.
Grace Slick|When I was a kid, my father didn't really have much hope for me. He thought I was a dreamer; he didn't think I would amount to anything. My mother also.
Billy Graham, Billy Graham in Quotes|The Bible lists in Hebrews 11 the heroes of the faith . . .who were tortured, imprisoned, stoned, torn apart, and killed by the sword. They didn’t wear designer jeans but went about in animal skins, destitute and tormented.
Billy Graham, Billy Graham in Quotes|Your salvation is a free gift, made possible only because God planned it . . .Christ paid for it . . . and the Holy Spirit assures you of it.
Douglas Adams, Life, the Universe and Everything|Just believe everything I tell you, and it will all be very, very simple.""Ah, well, I'm not sure I believe that.
Sara Wolf, Lovely Vicious|It ain’t whatcha write, it’s the way atcha write it.
|One of the problems with not having gratitude in life is that heaven and earth could be given to one, yet one would still be unhappy.
William Shakespeare|It's sad to know I'm done. But looking back, I've got a lot of great memories.
Wayne Dyer|Space exploration promised us alien life, lucrative planetary mining, and fabulous lunar colonies. News flash, ladies and gents: Space is nearly empty. It's a sterile vacuum, filled mostly with the junk we put up there.
Sami Abouzid|When you’re scared to death to lose her, know it for sure, you will.
John Gardner, The Art of Fiction: Notes on Craft for Young Writers|The instruction here is not for every kind of writer - not for the writer of nurse books or thrillers or porno or the cheaper sort of sci-fi - though it is true that what holds for the most serious kind of fiction will generally hold for junk fiction as well. (Not everyone is capable of writing junk fiction: It requires an authentic junk mind. Most creative-writing teachers have had the experience of occasionally helping to produce, by accident, a pornographer. The most elegant techniques in the world, filtered through a junk mind, become elegant junk techniques.)
J.R. Moehringer, Sutton|It was about the way a moment, a single moment, could change things and make you decide to try to be someone different.
Bryant McGill|Knowledge is that possession that no misfortune can destroy, no authority can revoke, and no enemy can control. This makes knowledge the greatest of all freedoms.
Igor Eliseev, One-Two|And now, it turns out that our mother’s name means benevolence and generosity to people as objects of love! This is both a unique and beautiful name, Charity. “It was one of life’s cruel ironies,” I thought, “that a midwife, or whoever filled in the documents, must have known our mom’s name. I suppose she had a lot of fun naming us Hope and Faith! Or, on the contrary, she sympathized.
Arundhati Bhattacharya|Your insurance broker has your telephone number, but your insurance broker doesn't have your Facebook ID. I think they are very different modes of communication. Commingling them can come with risk and peril.
Lil' Kim|You don't choose your family. They are God's gift to you, as you are to them.
Kilroy J. Oldster, Dead Toad Scrolls|A human beings’ perception of reality emanates from viewing the universe, which is in a constant state of creation and destruction. The universe in which we move and work in outlasts human interests, hopes, expectations, and joy, and all forms of aversion, effort, pain, and humiliation. The world outlasts our dreams, love songs, bouts of inanity and anxiety, it outlast regrets, remorse, and shame.
Joseph Alleine, An Alarm to the Unconverted|As it happens I don't think it was God- the woman who saved me, she doesn't look like she's had much to do with angels, Perhaps the Devil was behind me all the time.
Joan Didion, South and West: From a Notebook|Some kind of philosophy undergirds every movie, commercial, lecture, or book. Everything we take into our minds is trying to teach us something about how we should think the world is. (Life Hacks, p.83)
L.G. Abell, A Mother's Book of Traditional Househould Skills|Anyone who prays for the death of his enemy must consider who tempted Jesus Christ, the persecution of the apostles and the Psalm 23 of David
Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness|We throw away real people searching for the "perfect" person the same way that we throw ourselves away searching for our "perfect" self.
Siddhartha Mukherjee, The Gene: An Intimate History|Without equality, he argued, eugenics would degenerate into yet another mechanism by which the powerful could control the weak.
David Nicholls, One Day|This is me.’" He handed her the precious scrap of paper. ‘Call me or I’ll call you, but one of us will call, yes? What I mean is it’s not a competition. You don’t lose if you phone first.
baeconandeggs, Animae Sine Amore Immortales|Do you think it's really the Boogeyman that killed Brent? You think it's back?""I sincerely hope not.""When you say things like that, I start to cry a little on the inside.
Kenya Wright, Escape|Some people dream of becoming doctors or artists or veterinarians or teachers. I dream of the day Shaye laughs without stopping, and when she does, it will be only to take a breath before starting over again.
Brom, The Child Thief|If you don't learn to laugh at life it'll surely kill you, that I know.
Carson McCullers, The Ballad of the Sad Café and Other Stories|But the hearts of small children are delicate organs. A cruel beginning in this world can twist them into curious shapes. The heart of a hurt child can shrink so that forever afterward it is hard and pitted as the seed of a peach. Or again, the heart of such a child may fester and swell until it is a misery to carry within the body, easily chafed and hurt by the most ordinary things.
Jane Wilson-Howarth, Your Child's Health Abroad: A Manual for Traveling Parents|To some, having children may seem as conducive to travelling as having your feet set in concrete.
Steve Goodier|Happiness is corny. It is a word you do not find in Dorland's medical dictionary. When people are feeling tops, really at peace with themselves and others, they are not happy. In the medical sense, in that condition they are thought of not as happy, they are "euphoric," which, loosely translated, means slap-happy.
Robert Leckie|Our muddy machine gun pits were transformed into Courage Clubs when bombs fell or Japanese warships pounded us from the sea. There was protocol to be observed, too, and it was natural that the poor fellow who might break into momentary terror should cause pained silence and embarrassed coughs. Everyone looked the other way, like millionaires confronted by the horrifying sight of a club member borrowing five dollars from the waiter.
Lionel Suggs|I didn't know the value of creation until I did it. Once I tasted imagination, I knew that I was trapped. I knew that I could never look back. At this point in my life, reality simply isn't enough for me. Dreams simply aren't enough for me. I need something more. I need to live in imagination. I need to become imagination.
Donald Thomas, Villains' Paradise: A History of Britain's Underworld|The importance of setting a date, as in choosing a colour, is a matter of selection. Orange may be seen equally well as 'the decline and fall of red' or 'the rise and triumph of yellow'.
Elizabeth George|The more time you spend with God, the more you will resemble Him.
Sam Killermann|If you can do nothing else, do whatever is in your power to make the people in your life feel completely unashamed of who they are.
