Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Boris Kovalík|.be happy now, not when..
Anthony T. Hincks|We go from one war to another; we go from one terrorist group to another and we go from one calamity to another, but there is a pattern there if you know where to look.It's amazing how one when one war is about to end, another miraculously pops its head up.Coincidence? Hmmm...I'm highly skeptical.However, a lot of money seems to go into these 'wars' and there always seems to be little change left at the end of it.Like I said in my other quote..."War! Someone's making a hell of a lot of money!
Lao Tzu|The voice of the intellect is a soft one, but it does not rest until it has gained a hearing.
Jeanne Robert Foster|Love is a poem that keeps on writing itself, sweeping us along.
H. Kirk Rainer, A Once and Always Father|I acknowledge that a wife does (and should) exercise a degree of control in the family and home; but what I present is not a constructive form aimed at supporting a healthy relationship, but a destructive form that—whether intended or not—destroys a relationship through the invocation of fear and flight rather than love and commitment. I also propose that this method or “device” (as I have called it) was learned in part from a very young age from her parents.
Chuck Palahniuk, Stranger than Fiction|At least with pets, and for all I know, people too, intelligence and quick-wittedness have nothing to do with a talent for being loved, or being kind, nothing at all, less than nothing.
Marcus Samuelsson|What I felt was, if you spend your life just writing fiction, you are going to falsify your material. And the fictional form was going to force you to do things with the material, to dramatize it in a certain way. I thought nonfiction gave one a chance to explore the world, the other world, the world that one didn't know fully.
Charlotte Brontë, Jane Eyre|When criticism doesn't make sense, it is usually coming from a different place.
Douglas Adams, The Salmon of Doubt|We have one real candidate for changing the rules; this is string theory. In string theory the one-dimensional trajectory of a particle in spacetime is replaced by a two-dimensional orbit of a string. Such strings can be of any size, but under ordinary circumstances they are quite tiny, ... a value determined by comparing the predictions of the theory for Newton's constant and the fine structure constant to experimental values.
Viktor E. Frankl, Man's Search for Meaning|Freedom, however, is not the last word. Freedom is only part of the story and half of the truth. Freedom is but the negative aspect of the whole phenomenon whose positive aspect is responsibleness. In fact, freedom is in danger of degenerating into mere arbitrariness unless it is lived in terms of responsibleness. That is why I recommend that the Statue of Liberty on the East Coast be supplemented by a Statue of Responsibility on the West Coast.
Cybill Cain, Poker Face|You know nothing says love like a man holding a bucket, waiting for you to hurl into it.""No, offense, you start hurling and I'm going to be needed immediately downstairs in the casino ... I guarantee it."She glared at him with only her one eye open. "That's not very roma
Tahir Shah, In Arabian Nights: A Caravan of Moroccan Dreams|Look around you, he says, waving a hand at the surrounding tables. Not a one of them even has an inkling of the things that are possible in this world, and what's worse is that none of them would listen if you attempted to enlighten them. They want to believe that magic is nothing but clever deception, because to think it real would keep them up at night, afraid of their own existence.
Stephen R. Covey, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change|churchgoing is not synonymous with personal spirituality. There are some people who get so busy in church worship and projects that they become insensitive to the pressing human needs that sourround them, contradicting the very precepts they profess to believe deeply.
Phillipa Soo|Tell me what you eat, and I will tell you who you are.
Edgar Allan Poe, Berenice|There is practically no activity that cannot be enhanced or replaced by knitting, if you really want to get obsessive about it.
Stephen Richards, NAPS: Discover The Power Of Night Audio Programs|Conscious thinking is something we do naturally, and any type of manifesting from this part of the mind shows up in all facets of our lives if we realize it or not.
Theodore Roosevelt|There were all kinds of things I was afraid of at first, ranging from grizzly bears to ‘mean’ horses and gun-fighters; but by acting as if I was not afraid I gradually ceased to be afraid.
Sarah Grimm, Wrecked|Do you know how many people would give anything for what you have? Not the fame or wealth—the opportunity to wake up tomorrow healthy, pain free and with a future stretching out before them?
Charlotte Brontë, Jane Eyre|Laws and principles are not for the times when there is no temptation: they are for such moments as this, when body and soul rise in mutiny against their rigour ... If at my convenience I might break them, what would be their worth?
Gail Carriger, Poison or Protect|Not one of us, even after last night, can say the word "ghost" without a littleinvoluntary smile. No, the menace of the supernatural is that it attacks wheremodern minds are weakest, where we have abandoned our protective armor ofsuperstition and have no substitute defense.
Jim Butcher, Storm Front|You're supposed to be a spirit of intellect. I don't understand why you're obsessed with sex."Bob's voice got defensive. "It's an academic interest, Harry.""Oh yeah? Well maybe I don't think it's fair to let your academia go peeping in other people's ho
Mary Butts, The Taverner Novels: Armed with Madness and Death of Felicity Taverner|That will be so amusing! You will have five hundred million little bells,and I shall have five hundred million springs of fresh water...
Roy  Bennett|Success, like happiness, is a by-product, not a goal.
Charbel Tadros|The universe does not carry debts, it always  returns back to you what you gave it.
Ikechukwu Izuakor, Great Reflections on Success|Don't cheat the foundation of a house because you want to save for the roofing for at the end, you will have only roofed rubbles.
Robert David Steele, The Open-Source Everything Manifesto: Transparency, Truth, and Trust|Democracy can't work. Mathematicians, peasants, and animals, that's all there is-- so democracy, a theory based on the assumption that mathematicians and peasants are equal, can never work. Wisdom is not additive; its maximum is that of the wisest man in a given group.
Allison Brennan|He had to get out, get some space between him and the world, just to breathe.
Cherise Wolas, The Resurrection of Joan Ashby|One of the single most important things a writer must do, besides writing, is reading ...... and drinking coffee.
Albert Camus|When a man has learned how to remain alone with his suffering, how to overcome his longing to flee, then he has little left to learn.
John Kuypers, What's Important Now: Shedding The Past So You Can Live In The Present|When you are present, you are not needy.
José Luís Peixoto, The Implacable Order of Things|You know what feels really fucking awesome? Loving someone so much that it's all consuming. Telling that person you love them, even though they refuse to say it back. And then finally hearing them say that they do love you, but to someone else. To someone they have slept with. Someone that isn't you. I want to forget I heard those three words. I want to dissolve the images I have in my heard of her with him. I think I'm going to throw up.
Ford Madox Ford, Parade's End|Upon my soul!' Tietjens said to himself, 'that girl down there is the only intelligent living soul I've met for years.' A little pronounced in manner sometimes; faulty in reasoning naturally, but quite intelligent, with a touch of wrong accent now and then. But if she was wanted anywhere, there she'd be! Of good stock, of course: on both sides! But positively, she and Sylvia were the only two human beings he had met for years whom he could respect: the one for sheer efficiency in killing; the other for having the constructive desire and knowing how to set about it. Kill or cure! The two functions of man. If you wanted something killed you'd go to Sylvia Tietjens in sure faith that she would kill it: emotion, hope, ideal; kill it quick and sure. If you wanted something kept alive you'd go to Valentine: she's find something to do for it. . . . The two types of mind: remorseless enemy, sure screen, dagger ... sheath!Perhaps the future of the world then was to women? Why not? He hand't in years met a man that he hadn't to talk down to - as you talk down to a child, as he had talked down to General Campion or to Mr. Waterhouse ... as he always talked down to Macmaster. All good fellows in their way ...
Sayed Kashua|Modeling isn't really a tough job. Acting is much harder: so much prep and changing your look and mannerisms. It's a more difficult lifestyle being a model. I traveled all the time. Although, now I wonder, because I travel all the time for acting, too. So they both have their difficulties.
Christina Engela, Dead Man's Hammer|Same time as every day, Fyl..." she fussed, the rest of the bridge crew seeming to hold their breaths. "TWELVE THIRTY!" came the chorus. The next hour dragged by, in about the same way as the hour before that. At twelve twenty-five, Commander Ortez found himself stepping out of an elevator into an equally mundane grey steel corridor on his way to the mess hall. Turning a corner, he met with a stream of crewmen milling around between shifts. Some off-duty personnel were lounging around in civvies, which consisted mostly of re-revamped 60's hippy fashions. Of all the places on the ship, the mess was the most spacious, (i.e.: it was a big mess.) The command officer’s balcony overhung the rest of the crew dining area. Ortez sat at his usual place, wincing as he remembered to get someone to fix the springs in his chair. An ensign, 3rd class dressed in chef’s white, served him with a plate of what either ended up feeding the chefs latest pet - or strangling it. Marnetti, Barnum and the sciences officer Commander Jaris Skotchdopole filed in, not necessarily in that order, and found seats. After a few bites, Marnetti -- who was the first officer and navigator, put up a hand and signalled a waiter. The lad approached fearfully, appreciating the highlight of his day.
Winston Churchill|Human evolution relies on cooperation, which is why identity politics feels so backward.
Stephen Fry, Paperweight|I like to think of this little [newspaper] column as a brassière, or do I mean brasserie? Brazier, possibly. All three! A column that lifts, separates, supports, serves excellent cappuccino and crackles merrily with sweet-smelling old chestnuts.
Nevil Shute, Ruined City|You did not die when you were drawing public assistance money, but you certainly did not remain alive.
Patience Johnson, Why Does an Orderly God Allow Disorder|Your mouth can correct what is wrong. Your eyes can see evil and your mouth can speak righteousness. Your body can say I am sick while your mouth can say I am healed. Your eyes can say I am blind but your mouth can say I can see, Your pocket can say I am empty while your mouth can say I am swimming in abundance. Your Doctor can say that you are HIV Postive and Cancer but your mouth can say my body is a holy temple of God and by His stripes I am healed. Your womb can say that you are barren while your mouth can say "Behold, children are a gift of the LORD, The fruit of the womb is a reward." Don´t live by sight, live by faith. Put it in practice.
Rick Riordan, The Titan's Curse|You are okay?" he asked. "Not eaten by monsters?""Not even a little bit." I showed him that I still had both arms and both legs, and Tyson clapped happily."Yay!" he said. "Now we can eat peanut butter sandwiches and ride fish ponies! We can fight monsters and see Annabeth and make things go BOOM!"I hoped he didn't mean all at the same time, but I told him absolutely, we'd have a lot of fun this summer.
Laurie R. King, The Beekeeper's Apprentice|Tell me about yourself, Miss Russel."I started to give him the obligatory response, first the demurral and then the reluctant flat autobiography, but some slight air of polite inattention in his manner stopped me. Instead, I found myself grinning at him."Why don't you tell me about myself, Mr. Holmes?
Peach-Pit, Shugo Chara!, Vol. 2: Friends in Need|A thin grey fog hung over the city, and the streets were very cold; for summer was in England.
Alin Sav|Leadership means welcoming the truth, that there might be a more skilled one than you.
Nikola Tesla|I mean, maybe I am crazy. I mean, maybe. But if this is all there is, then I don't want to be sane.
M.R. Carey, The Girl with All the Gifts|The problem is not the misunderstanding we have, but the understanding we have missed. We must come to come to a certain understanding; to understand understanding, we need to understand understanding and we must understand with understanding!
Robert Leland Taylor, Holy Toledo and the Virgin Shirley|The eeriness of the weeping moss from the trees, reminding me of shrouds covering the faces of mourners. There are people coming home from work, families going out to dinner, couples walking through the squares. My wish is that none of them are ever touched by the darkness I see.
J.K. Rowling|Every TODAY has a better version, called TOMORROW.
Elle Lothlorien, Alice in Wonderland|Don’t take this the wrong way, but Australians have a LOT of bitches on their cashola.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|The big miracle you await will likely first appear in a small encounter or chance event. So always be aware and open, you never know what today will bring.
George Eliot, Impressions of Theophrastus Such|As happens sometimes, a moment settled and hovered and remained for much more than a moment. And sound stopped and movement stopped for much, much more than a moment.
Richard Rogers|Washington, D.C., has everything that Rome, Paris and London have in the way of great architecture - great power bases. Washington has obelisks and pyramids and underground tunnels and great art and a whole shadow world that we really don't see.
Jenny Hubbard, Paper Covers Rock|You have to stop and freeze the moment," he told me I had told her. "You have to make yourself remember by repeating it in your head over and over. You have to write to preserve your sanity.
Steven Pinker|I must say, when I reread myself, it's the poetry I tend to look at. It's the most exciting to write, and it's over the quickest.
Julia Green, Breathing Underwater|You're the most important person in my life," I whispered. "You're the only man I ever let in.""But I'm not in, Stace. I'm standing on the porch in the pouring rain, waiting for you to open the door. I've been waiting ever since you left after graduation, ever since you came back last year. Even now, you've let me into your bed, but not into your heart. I'm still waiting.
Justin K. McFarlane Beau|In business, ruthlessness is righteousness.Seldom are there those, whom are ruthlessly righteous.Listen to these people, before the Earth repents of mankind.
Sommer Marsden, Learning to Drown|No running. Watch her come. Can you see how close she is, Sophie? Lucein rocked his cock into her hand against her backside.See how pink she is. Christ... Lucein whispered.You're even more beautiful, Sophie.
Viswanathan Anand|The pilgrims on the Mayflower landed at Plymouth Rock. To my knowledge, they didn't wait around for a return trip to Europe. You settle some place with a purpose. If you don't want to do that, stay home. You avoid an awful lot of risks by not venturing outward.
Tim O'Brien, The Things They Carried|What stories can do, I guess, is make things present.I can look at things I never looked at. I can attach faces to grief and love and pity and God. I can be brave. I can make myself feel again.
Patti Scialfa|I love a good laugh as well, I think that's so important in life, which is probably why I've dabbled in comedy writing as well as horror. I think if you can make someone laugh or smile it's the most special thing in the world.
Ernest Agyemang Yeboah|Diligence and Application have their due Encouragement, even in the remotest Parts of the World, and that no Case can be so low, so despicable, or so empty of Prospect, but that an unwearied Industry will go a great way to deliver us from it, will in time raise the meanest Creature to appear again in the World, and give him a new Case for his Life.
Mark Twain, Собрание сочинений в восьми томах|The usual fiction – that the war would involve precision targeting and the careful avoidance of civilian deaths – was stated by Tony Blair at the beginning of the war. After similar bombing campaigns against Yugoslavia and Iraq, Blair was by now acting as virtual White House spokesperson, providing the pretence of an 'international coalition' in what was clearly a US war. This role was more important than Britain's military contribution, which in the early days of the bombing campaign was token and probably of no military value. The British army did later prove useful, however, when it was...
Lao Tzu|Indeed, this life is a test. It is a test of many things - of our convictions and priorities, our faith and our faithfulness, our patience and our resilience, and in the end, our ultimate desires.
Isaac Asimov, Foundation and Earth|Every day we are challenged by events, people and situations that are extremely frustrating and anger producing.
Jon Stewart|We are all serving a life sentence, and good behavior is our only hope for a pardon.
James Wan|While the sciences are hugely important, let us not leave behind a child's imagination.
Kris Vallotton|Nothing you did could have changed anything. And that being angry and blaming yourself for not being able to control the past or the future is only going to hurt worse. If you keep thinking like this, you will only be re-inventing pain.Heaven would tell you that it’s just a little rain. And it’s not the rain that kills you, it’s the pain of wanting to control the sun.
Stephen Richards, Harry's Fight: Harry Marsden - From Catholic Care Home Abuse To Gangster To Good Fellow|I dived out of the office and I was gone … hitting these fields like a mad March hare. This wasn’t Born Free, it was RUN FREE!
Marlee Matlin|Yeah, to me, acting is very therapeutic. I get out a lot of anger and frustration.
Avis J. Williams|You cannot change the past, but you can make a difference now
Billy Collins|He wouldn't perform without a recording now, she was certain, like a poet working in the oral tradition who had been contaminated by the advent of the recording device and so insisted that all improvisations be saved for posterity.
Alberto Manguel, The Library at Night|Every reader has found charms by which to secure possession of a page that, by magic, becomes as if never read before, fresh and immaculate.
Henry David Thoreau, Walden|This mountain, the arched back of the earth risen before us, it made me feel humble, like a beggar, just lucky to be here at all, even briefly.
Paolo Giordano|Those who refuse to grow, those who only finish school and call it quits regret through life.
Donald McCaig|Once they become AKC registered, the newspapers will become flooded with ads for them. And you'll see Border collies in pet stores and animal shelters.
George Santayana|Everything in nature is lyrical in its ideal essence, tragic in its fate, and comic in its existence.
Lailah Gifty Akita|If you thought of it, don't be fooled into thinking it is a dumb Idea.
J.R. Ward, The King|I sense that you won’t let the world push you into a life you don’t want. Maybe I’m wrong so let me at least say this: Fight, America. You might not want to fight for the things that most others would fight for, like money or notoriety, but fight all the same. Whatever it is that you want, America, go after it with all that you have in you. If you can keep from letting fear make you settle for second best, then I can’t ask for anything more from you. Live your life. Be as happy as you can be, let go of the things that don’t matter, and fight.
Thomm Quackenbush, We Shadows|Private moments held not a candle to coitus, not even the expensive kind of candle that made the whole room smell of far off seasons.
Debbie Ford, The Best Year of Your Life: Dream It, Plan It, Live It|There is one art, no more, no less, to do all things with artlessness.
Carl Jung|As human beings we do change, grow, adapt, perhaps even learn and become wiser.
Michael  Grant, Light|But then had come the voice that said, Come on, you little freak, wherever the hell you are, whatever the hell you are, let’s get this done with.
Benjamin Lotter|if you rest at work, you will work at rest
K.M. Randall, Fractured Dream|Yeah, but what we need are some fighters who know how to take down a wolf. I know three.""If you are going to get the Pigs, you'll need backup. They're not to be trifled with.
Ernest Agyemang Yeboah|Since in fact liturgical traditions, vestments, church vessels, etc., were immediately removed wherever Calvinism infiltrated or Reformed ideas even gained influence in the church's polity, the reaction which it caused in Lutheran areas was a conscious propensity for ceremonies. Henceforth, therefore, the celebration of an emphatically liturgical service was among the visible signs by which the Lutheran character of confession was demonstrated outwardly.
Lea Seydoux|For me, public service is an honor, and I have the ultimate respect for the rule of law.
Abraham Ruiz|It can be hard to write a skillfully entertaining fiction, but a great book wants to be more, and wants more from us.
Danielle Esplin, Give It Back|I hate reading poems—school made me hate them. I’d spend hours interpreting one, just to read the memorandum and realize I’d be fucked during exams. I remember making a little asterisk next to every question I struggled with, and at the end of the paper, I’d realize I was looking at the fucking Milky Way.
Tao Lin, Bed|Until one morning, one of the coldest mornings of the year, when I came in with the book cart and found Jean Hollis Clark, a fellow librarian, standing dead still in the middle of the staff room."I heard a noise from the drop box," Jean said."What kind of noise?""I think it's an animal.""A what?""An animal," Jean said. "I think there's an animal in the drop box."That was when I heard it, a low rumble from under the metal cover. It didn't sound like an animal. It sounded like an old man clearing his throat.Gurr-gug-gug. Gurr-gug-gug.But the opening at the top of the chute was only a few inches wide, so that would be quite a squeeze for an old man. It had to be an animal. But what kind? I got down on my knees, reached over the lid, and hoped for a chipmunk.What I got instead was a blast of freezing air. The night before, the temperature had reached minus fifteen degrees, and that didn't take into account the wind, which cut under your coat and squeezed your bones. And on that night, of all nights, someone had jammed a book into return slot, wedging it open. It was as cold in the box as it was outside, maybe colder, since the box was lined with metal. It was the kind of cold that made it almost painful to breathe.I was still catching my breath, in fact, when I saw the kitten huddled in the front left corner of the box. It was tucked up in a little space underneath a book, so all I could see at first was its head. It looked grey in the shadows, almost like a little rock, and I could tell its fur was dirty and tangled. Carefully, I lifted the book. The kitten looked up at me, slowly and sadly, and for a second I looked straight into its huge golden eyes. The it lowered its head and sank back down into its hole.At that moment, I lost every bone in my body and just melted.
Dwight D. Eisenhower|The first lesson is that you can't lose a war if you have command of the air, and you can't win a war if you haven't.
Aminta Arrington, Unsavory Elements: Stories of Foreigners on the Loose in China|Bedtime makes you realize how completely incapable you are of being in charge of another human being. My children act like they've never been to sleep before. "Bed? What's that? No, I'm not doing that." They never want to go to bed. This is is another thing that I will never have in common with my children.
Ludwig von Mises, The Theory of Money and Credit|As a rule, however, an increase in the value of money spreads only gradually. The first of those who have to content themselves with lower prices than before for the commodities they sell, while they still have to pay the old higher prices for the commodities they buy, are those who are injured by the increase in the value of money. Those, however, who are the last to have to reduce the prices of the commodities they sell, and have meanwhile been able to take advantage of the fall in the prices of other things, are those who profit by the change.
Ayelet Waldman|In Australia, even the darkest subject matter has a little pinch of humor. A little sweet to make the sour go down.
Darrin Grimwood, Destroy All Robots|When you took a man's job away from him, his ability to feed and clothe his family, that man was going to get angry.
Jerry Spinelli, Love, Stargirl|Do not follow me! Let's just be fabulously where we are and who we are. You be you and I'll be me, today and today and today, and let's trust the future to tommorrow. Let the stars keep track of us. Let us ride our own orbits and trust that they will meet. May our reunion be not a finding but a sweet collision of destinies!
Dr Stephen McKenzie and Dr Craig Hassed|The beauty of mindful-life-breath meditation is that you are not restricted to having to sit in the lotus position to be present. Whether you are on a busy train, driving a car or walking down a crowded high-street, you can easily remind yourself to focus on your breathing. Appreciate the subtle sensation of oxygen flowing in and out of your nostrils.
Vicki Courtney, Five Conversations You Must Have with Your Daughter|If you can give your son or daughet only one gift, let it be enthusiasm.
Dalai Lama XIV|Now there are many, many people in the world, but relatively few with whom we interact, and even fewer who cause us problems. So when you come across such a chance for practicing patience and tolerance, you should treat it with gratitude. It is rare. Just as having unexpectedly found a treasure in your own house, you should be happy and grateful toward your enemy for providing you that precious opportunity. Because if you are ever to be successful in your practice of patience and tolerance, which are critical factors in counteracting negative emotions, it is due to your own efforts and also the opportunity provided by your enemy.
Jo M. Sekimonyo, l'enfer c'est lui|Souvenez-vous toujours que dans la vie, la passion sans vision est une perte d’énergie, et que la vision sans passion est une impasse.
Carlos Fuentes, The Good Conscience|Cristo quería a los justos, habitaba las buenas conciencias, pertenecía a los hombres de bien, a la gente decente, a las buenas reputaciones. ¡Que cargara el diablo con los humildes, con los pecadores, con los abandonados, con los rebeldes, con los miserables, con los que quedaban al margen del orden aceptado!
Michelle M. Pillow, Love Potions|For your next act, please don't pull any rabbits out of my... well, hat."....He licked playfully at her mouth. "And ya can't call my manhood 'rabbit'.At least give it a manly name I can brag about.
Chris Riddell|When you read a comic book, there's a space between what's happening on the panel and what you have to literally see in your mind. That's not true of movies, where you see everything.
Mary Weber|but wouldn't it be easier to let go?" she whispered brokenly, desperately."would it be easy to carve out a piece of my heart?" he shook his head. "no, you are a part of me now, and whether or not you are in this world, know that i will forever carry a piece of you with me.
Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction|Freedom and wildness, that which we were born into, is a grand mystery and miracle that creates a openness reserved not for barring us in but for keeping us out of cages. It is our ability to find the truth that has been a survival tool for our species both individually and corporately.
George Orwell, Why I Write|It is bound to be a failure, every book is a failure, but I do know with some clarity what kind of book I want to write.
John Ruskin|No changing of place at a hundred miles an hour will make us one whit stronger, or happier, or wiser. There was always more in the world than man could see, walked they ever so slowly; they will see it no better for going fast. The really precious things are thought and sight, not pace. It does a bullet no good to go fast; and a man, if he be truly a man, no harm to go slow; for his glory is not at all in going, but in being.
Val Uchendu|Love is everything, love is God in us. Love what you do, those you do it for, love others and yourself. Love is the key to success, prosperity and happiness. Give love always and you'll never lack love.
Yakov Smirnoff|Every man who rises above the common level has received two educations: the first from his teachers; the second, more personal and important, from himself.
Anna Kendrick|The real important things are kindness and a sense of humor. I've been fortunate to have dated and could have easily married women who have those qualities, and time and circumstances didn't work out. Timing plays a big part.
Krista Tippett, Becoming Wise: An Inquiry into the Mystery and Art of Living|Spiritual humility is not about getting small, not about debasing oneself, but about approaching everything and everyone else with a readiness to see goodness and to be surprised. This is the humility of a child, which Jesus lauded. It is the humility of the scientist and the mystic. It has a lightness of step, not a heaviness of heart. That lightness is the surest litmus test I know for recognizing wisdom when you see it in the world or feel its stirrings in yourself. The questions that can lead us are already alive in our midst, waiting to be summoned and made real. It is a joy to name them. It is a gift to plant them in our senses, our bodies, the places we inhabit, the part of the world we can see and touch and help to heal. It is a relief to claim our love of each other and take that on as an adventure, a calling. It is a pleasure to wonder at the mystery we are and find delight in the vastness of reality that is embedded in our beings. It is a privilege to hold something robust and resilient called hope, which has the power to shift the world on its axis.
Margot Lee Shetterly, Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race|If race disappears as a category of official division, as it has in most of the world, this will facilitate the emergence of a plural racial order where the groups exist in practice but are not official recognized - and anyone trying to address racial division is likely to be chided for racializing the population.
Adelaide Crapsey, Verse by Adelaide Crapsey|If itWere lighter touchThan petal of flower restingOn grass, oh still too heavy it were,Too heavy!
Michele L. Rivera, Never the Same|Ultimately, classroom teachers are the targets of this anger, as they are the public face of the education system. As a group, teachers work very hard with limited resources. They are called upon to equalize the inequities our society creates, and to offer not just equal educational opportunities, but equal educational outcomes to all children.
Toni Morrison, Beloved|Paul D did not answer because she didn't expect or want him to, but he did know what she meant. Listening to the doves in Alfred, Georgia, and having neither the right nor the permission to enjoy it because in that place mist, doves, sunlight, copper dirt, moon - everything belonged to the men who had the guns. Little men, some of them, big men too, each one of whom he could snap like a twig if he wanted to. Men who knew that their manhood lay in their guns and were not even embarrassed by the knowledge that without fox would laugh at them. And these "men" who made even vixen laugh could, if you let them, stop you from hearing doves or loving moonlight. So you protected yourself and loved small. Picked the tiniest stars out of the sky to own; lay down with head twisted in order to see the loved one over the rim of the trench before you slept. Stole shy glances at her between the trees at chain-up. Glass blades, salamanders, spiders, woodpeckers, beetles, a kingdom of ants. Anything bigger wouldn't do. A woman, a child, a brother - a big love like that would split you wide open in Alfred, Georgia. He knew exactly what she meant: to get to a place where you could love anything you chose - not to need permission for desire - well now, THAT was freedom.
Northern Adams, Mickey and the Gargoyle|True friends never turn you away when all you need is someone to talk to. Ever. It's not the only thing that helps, but it's the only thing that works. Real friends never walk away, letting you slip deeper into the pit of despair.
Ingrid Betancourt, Even Silence Has an End: My Six Years of Captivity in the Colombian Jungle|He spoke in hard and angry earnest, if a man ever did," replied the girl, shaking her head. "He is an earnest man when his hatred is up. I know many who do worse things; but I'd rather listen to them all a dozen times, than to that Monks once.
Pastor Steve Bainbridge|The most tragic thing anyone could ever say to us is “Oh – you're a Christian? I had no idea!” It is not who we say we are, but how we are recognized. Let's remember, “In Antioch the disciples were first called Christians “ and By this all people will know that you are my disciples, if you have love for one another.” Dear brothers and sisters, let our walk match our talk and be doers of the word...
L. Frank Baum, The Wonderful Wizard of Oz|If I ever go looking for my heart's desire again, I won't look any further than my own back yard. Because if it isn't there, I never really lost it to begin with.
Katherine Ramsland, The Science of Vampires|Max raised the mallet. He stared into her face and wished he could say he was sorry, that he didn't want to do it. When he slammed the mallet down, with an echoing bang, he heard a high, piercing scream and almost screamed himself, believing for an instant it was her, still somehow alive; then realized it was Rudy. Max was powerfully built, with his, deep water-buffalo chest and Dutch farmer's shoulders. With the first blow he had driven the stake over two-thirds of the way in. He only needed to bring the mallet down once more. The blood that squelched up around the wood was cold and had a sticky, viscous consistency.Max swayed, his head light. His father took his arm.'Goot,' Abraham whispered into his ear, his arms around him, squeezing him so tightly his ribs creaked. Max felt a little thrill of pleasure - an automatic reaction to the intense, unmistakable affection of his father's embrace - and was sickened by it. 'To do offense to the house of the human spirit, even after its tenant depart, is no easy thing, I know.'("Abraham's Boys")
Said Elias Dawlabani, MEMEnomics: The Next-Generation Economic System|Coitus can scarcely be said to take place in a vacuum; although of itself it appears a biological and physical activity, it is set so deeply within the larger context of human affairs that it serves as a charged microcosm of the variety of attitudes and values to which culture subscribes. Among other things, it may serve as a model of sexual politics on an individual or personal plane.
Ian Doescher|I gave you all!" screeched Lear, waving a palsied claw at Regan."And you took your bloody time giving it, too, you senile old fuck," said Regan.
Andy Stanley, Fields Of Gold|God prospers me not to raise my standard of living, but to raise my standard of giving.
Charlotte Perkins Gilman|It is in the compelling zest of high adventure and of victory, and in creative action, that man finds his supreme joys.
Mark W. Boyer|After reading some of my stories, I once had a friend say to me, "I'd love to spend five minutes in your head to see what's going on in there." I warned them, "If you spent five seconds in my mind you'd probably run out screaming and never speak to me again.
Portugas D. Ace|Be What You Want To Be,Not Who Others Wants To See
Anton Chekhov|Medicine is my lawful wife, and literature is my mistress. When I get fed up with one, I spend the night with the other. Though it is irregular, it is less boring this way, and besides, neither of them loses anything through my infidelity.
Saga Valsalan|The world around you know only that reflects on you, that is the success of a joker too.
Theodore J. Kaczynski, Industrial Society and Its Future: The Unabomber Manifesto|73. ...There is no law that says we have to go to work every day and follow our employer’s orders. Legally there is nothing to prevent us from going to live in the wild like primitive people or from going into business for ourselves. But in practice there is very little wild country left, and there is room in the economy for only a limited number of small business owners. Hence most of us can survive only as someone else’s employee.
Thea Harrison, Shadow's End|London was littered with social clubs and houses of chance, but Malfeasance was not just any gaming hell. It was located in the most notorious part of London and, Graydon had heard, was run by a pariah Djinn named Malphas.
Christine Fonseca, Transcend|I press my lips hard against hers, tasting her desire, her pain, her love, her confusion. At once I’m in two lives, two worlds, two places.
Guru Nanak|There is but One God, His name is Truth, He is the Creator, He fears none, he is without hate, He never dies, He is beyond the cycle of births and death, He is self illuminated, He is realized by the kindness of the True Guru. He was True in the beginning, He was True when the ages commenced and has ever been True, He is also True now.
Tillie Olsen|What then is time? If no one asks me, I know what it is. If I wish to explain it to him who asks, I do not know.
Maurice Maeterlinck, The Treasure of the humble|… it is that such of us as have loved deeply have learnt many secrets that are unknown to others; for thousands and thousands of things quiver in silence on the lips of true friendship and love, that are not to be found in the silence of other lips, to which friendship and love are unknown. …
Leonard Cohen|I loved you when you opened like a lily to the heat; you see I’m just another snowman standing in the rain and sleet who loved you with his frozen love, his second hand physique, with all he is and all he was a thousand kisses deep.
Stacey Turis, Here's to Not Catching Our Hair on Fire: An Absent-Minded Tale of Life with Giftedness and Attention Deficit - Oh Look! A Chicken!|Resentment is the act of stabbing yourself repeatedly in the heart with a knife, hoping the other person dies.
Andy Garcia|Everybody, even me, sometimes had to compromise on something, doing things we know to be wrong, and this happens doing whatever job in the world. But a singer must have the courage of saying no.
Banani Ray, Awakening Inner Guru|Life is a song made of the musical rhythm of the body, words of the mind and the melodious silence of the soul.
Lisa Mischelle Wood, Just Believe: A Collection of Christian Poetry|A feeling that He's right here with you or that you're miles apart, is the difference of a prayer with love, or with an absence of the heart.
John Berger|There are poets,there are philosophers, there are spiritualists and me. I try to foot the bill of these mighty three.
Hermann Hesse|Without words, without writing and without books there would be no history, there could be no concept of humanity.
Whitney Otto, How to Make an American Quilt|The truly terrible thing about this life, was not knowing what you want, but only able to recognize what you do not want. You have to spend so much time and energy trying to find it out, time that other people spent in pursuing of their desires.
Kamand Kojouri|When, at last, I ceased to be myself, I came to be.
