Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Sunday Adelaja|If you do not evaluate your salvation highly enough, then in time you will backslide
Pope John Paul II|The end of law is not to abolish or restrain, but to preserve and enlarge freedom. For in all the states of created beings capable of law, where there is no law, there is no freedom.
Alberto Manguel, The Library at Night|In the dark, with the windows lit and the rows of books glittering, the library is a closed space, a universe of self-serving rules that pretend to replace or translate those of the shapeless universe beyond. 
V.E. Schwab, A Gathering of Shadows|Lila!" he said cheerfully. "So you aren't a figment of my brothers imagination after all.
Thomas Pynchon, Gravity's Rainbow|The bird music sank into her, like a song you used to know but forgot long ago. You hear a piano play it some day, and for a minute you feel a happy pain, but you don't know why. Bird felt like that.
T. Kingfisher, The Raven and the Reindeer|When your identity switch from the personal identity to the eternal self, no fear of death or karmic bondage arise in you.
Heather M. Orgeron, Boomerangers|I curse when I get really upset. Letting off steam that way makes me feel a little bit better. I've been through a lot, but I have never had the urge to go postal. I thank fuck for that.
George Eliot|I hate failure and that divorce was a Number One failure in my eyes. It was the worst period of my life. Neither Desi nor I have been the same since, physically or mentally.
Joseph Gordon-Levitt|I have always loved music. My mom used to sing with my sister and I when I was younger, and I was in choirs and loved to perform, but when I was in college, I went on a study abroad to Trinidad, and while I was there, I sang backup at my first concert.
Megan Whalen Turner, A Conspiracy of Kings|Logic, n. The art of thinking and reasoning in strict accordance with the limitations and incapacities of the human misunderstanding. The basic of logic is the syllogism, consisting of a major and a minor premise and a conclusion - thus:Major Premise: Sixty men can do a piece of work sixty times as quickly as one man.Minor Premise: One man can dig a post-hole in sixty seconds; Therefore-Conclusion: Sixty men can dig a post-hole in one second.This may be called syllogism arithmetical, in which, by combining logic and mathematics, we obtain a double certainty and are twice blessed.
Caroline Kennedy, She Walks in Beauty: A Woman's Journey Through Poems|Our mothers are our first teachers, and we teach others the same lessons we learn from them. As a child, when your mother believes in you, you believe in yourself, and when that happens, there is nothing you can’t do. As a mother, that is the greatest gift we can give to a child.
Lois Wyse, Lovetalk; how to say what you mean to someone you love|So many television marriages -that playing out of lives against a background of the tube.Instead of two lives filing the room,There are their two lives and the eleven o'clock news withConstant commercial interruption.Instead of what you say and what I say.You don't laugh with me;I don't laugh with you.All the wit comes pouring out of the tube.And we laugh at it together.The more we avoid talkingthe more passive the relationship becomes.Television permits us to walk through lifewith minor speaking parts.And the more we fail to speak,the more difficult speaking becomes
Ludwig von Mises, The Theory of Money and Credit|Money is not indefinitely divisible. Even with the assistance of money-substitutes for expressing fractional sums that for technical reasons cannot conveniently be expressed in the actual monetary material (a method that has been brought to perfection in the modern system of token coinage), it seems entirely impossible to provide commerce with every desired fraction of the monetary unit.
Mira Jacob, The Sleepwalker's Guide to Dancing|An hour later, Amina stood at a pay phone in a mall hallway, where poop and perfume and the grease from the food court formed the kind of atmosphere you might find in Jupiter's red spot
Oprah Winfrey|Success is not greedy, as people think, but insignificant. That is why it satisfies nobody.
Susanna Kearsley, The Winter Sea|But life, if nothing else, had taught her promises weren't always to be counted on, and what appeared at first a shining chance might end in bitter disappointment.
Salvador Dalí|The difference between false memories and true ones is thesame as for jewels: it is always the false ones that look themost real, the most brilliant.
Michael Grant, Gone|It is all new and all the same. A hundred years. A day. Ten thousand moons. For them, each day indeed is brand new, full of possibility, the unknown: a wonderland.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|One Lord, one faith and one baptism.
Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage|If variety is the spice of life, then my life must be one of the spiciest you ever heard of. A curry of a life. -Paul Child
Katie Reus, Hunter Reborn|Maybe we could get Aiden some pants because I'm tired of looking at his junk," Jayce muttered.
Jennifer Frick-Ruppert, Spirit Quest|Stories have endings; that's why we tell them, for reassurance that there is meaning in our lives. But like a diagnosis, a story can become a prison, a straight road mapped out by the people who went before. Stories are not the truth.
Dee Williams|I never saw this coming - the little house was working its magic, connecting me to people and materials I never would have guessed would find their way into the picture.
Casey Stengel|Most people sort of enjoy going to work because of the socialisation, a chance to flirt with co-workers and so on, but actually hate the job they do.
Malala Yousafzai, I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban|Happiness has no book value, but life has no value if there is no happiness.
Lionel Richie|When checking in at an airport, no matter how rude the check-in person is to you, always smile and be nice because you don't know what kind of day they've had. You are going on holiday and they're stuck wherever they are. Be nice to them because they can re-route your baggage to wherever they feel like.
Rachel Coker|Do you remember the Shire, Mr. Frodo? It'll be spring soon. And the orchards will be in blossom. And the birds will be nesting in the hazel thicket. And they'll be sowing the summer barley in the lower fields... and eating the first of the strawberries with cream. Do you remember the taste of strawberries?
Hanya Yanagihara, A Little Life|We weave together the many skeins of our words,Into poems and stories and books,And the books are made so much more vivacious and colourful,For all the care that is woven in along with the words.
Rizwan R. Khan|Miracles are just formal requests, Shara thinks wildly. It's like having a form preprinted and filled out and handing it in to get exactly what you want! But you don't always have to do it that way! You can make it up as you go along, so long as you do it right!
Ernest Hemingway, The Sun Also Rises|With the smell of beer I try to get the smell of death off me. And only the smell of death will get the smell of beer off you, like all the drinkers whose graves I have to dig.
Lailah Gifty Akita|If you follow your heart, you know true happiness.
Hanif Kureishi, The Buddha of Suburbia|You see, I have come to believe in self-help, individual initiative, the love of what you do, and the full development of all individuals. I am constantly disappointed by how little we expect of ourselves and of the world.
Jane Wilson-Howarth, Snowfed Waters|I am that, I AM!" We always intend to BE something or someone, where we already ARE everything we could ever desire to be. We just need to unlock the part of us we wanna be. And the key to THAT is the FEELING about THAT. TO BE IS NOT AS IMPORTANT AS TO FEEL! ~ UNIVERSE LOVES YOU & SO DO I ‪#‎StardustAK‬
U.G. Krishnamurti, The Mystique of Enlightenment: The Radical Ideas of U.G. Krishnamurti|Sometimes, you can't say anything even yourself !
Amy Leigh Mercree|It is not the amount of friends that is important, but the amount of integrity, sincerity, and love in your friends
Donna Lynn Hope|For those who praise God and say “God is good,” or, ‘I’m so blessed,” when you get what YOU want, try praising Him and saying, “God is good,” and “I’m so blessed,” when you’re suffering. To do the first is effortless. The masses do it, that's how easy it is. To do the latter requires something greater: strength, faith and gratitude - no matter the ouch involved.
John Ruskin|Change is inevitable, continuous, and constant. Expectations of anything or anyone remaining the same can only lead to struggles and hardships. Willing Change
Amie Kaufman|I'm leaning against the bookshelves when it occurs to me that one thing here is real-the books. I reach behind me and let my fingers trail over the rough leather of their antique spines, then pull one free. Nobody here reads them; the books are for decoration. Chosen for the richness of their leather bindings not for the contents of their pages. Nobody will miss one, and I need a dose of reality.
Brandon J.errick Doctor|I've been through hell in this life, yet risen up and survived.I felt pity after heard that boy's preaching about motivation.
Rick Riordan, The Demigod Diaries|You said your mom is the goddess of balance," I reminded him. "The minor gods deserve better, Ethan, but total destruction isn't balance. Kronos doesn't build. He only destroys.
Ross  Turner, Reaper|He was like nothing she’d ever known.Marcii hoped she would come to know him, for he was all she could ever have asked for and more.
Janet Reno|I didn't move to Nashville with any inkling or dreams of getting a record deal. I didn't have those stars in my eyes. I just wanted to take a break, relax, and figure out songwriting.
Katie MacAlister, Holy Smokes|Hey!” I said, indignation filling me. “I’m immortal! Doesn’t that mean I won’t get saggy boobs and gray hair? Because if it doesn’t mean that, I want a refund—
Shelly-Ann Fraser-Pryce|When I was a kid, the idea of gettin' paid to paint your face... listen, I grew up in Ossining, New York, a nice little town by the Hudson, and nothin' ever interested me except being your usual high school big shot, which I was an' loved it, played all the sports and goofed around, always out on the street with the guys, everything was funny t'me.
Mark Zuckerberg|It was very much like Norman Rockwell: small town America. We walked to school or rode our bikes, stopped at the penny candy store on the way home from school, skated on the pond.
Chris Matakas|Jiu Jitsu gives me an ideal to strive toward. Technical mastery lies on an infinite continuum and completion of this skill is impossible. Every time I train I have something that I can improve upon, and this will hold true for each and every training session that lies between me and my grave.
Abhijit Naskar, The God Parasite: Revelation of Neuroscience|The practice of the Sufis is too sublime to have a formal beginning,
Debasish Mridha|Dance on the stage of life with love in your heart, a smile on your face, and a great vision in your mind.
Nikhil Kumar|Don't wait for the perfect moment, take the moment and make it perfect.
Phillip Andrew Bennett Low, Indecision Now! A Libertarian Rage|A number of people who I’ve talked to about this assume that I got into a fight with the cops. (Because of, y'know, the militant politics.) I actually had an audience member come up to me once and ask me if I paid taxes. Of course I pay taxes! I pay taxes for exactly the same reason that I hate paying taxes — because I think my government is terrifying and stupid. I don't need the IRS kicking my door down and taking my meticulously alphabetized collection of Tijuana bibles.
Nityananda Das, Divine Union|The right relationship will bring out the best in you. If it doesn’t, it isn’t.
Sena Jeter Naslund, Four Spirits|The nutcracker sits under the holiday tree, a guardian of childhood stories. Feed him walnuts and he will crack open a tale...
Terry Pratchett, Mort|Practically anything can go faster than Disc light, which is lazy and tame, unlike ordinary light. The only thing known to go faster than ordinary light is monarchy, according to the philosopher Ly Tin Wheedle. He reasoned like this: you can't have more than one king, and tradition demands that there is no cap between kings, so when a king dies the succession must therefore pass to the heir instantaneously. presumably, he said, these must be some elementary particles - kingons, or possibly queons - that do this job, but of course succession sometimes fails if, mid-flight, they strike an anti-particle, or republicon. His ambitious plan to use his discovery to send messages, involving the careful torturing of a small king in order to modulate the signal, were never fully expounded because, at that point, the bar closed.
Veronica Roth, Insurgent|You don't have to tell me everything right away, but I have to tell you everything right away? Can't you see how stupid that is?
M.L. von Franz|Physicists like to think that all you have to do is say, these are the conditions, now what happens next?
Eliza Griswold|Saying of the ProphetTasksWhoever makes all his tasks one task, God will help him in his other concerns.
Harry PS|Better to do planning,Rather than being planned.
Dan Lyons, Disrupted: My Misadventure in the Start-Up Bubble|We want to empower the doctors and patients to get all the other assholes out of the way,' Clark had once told me, then laughed. 'Except for us. One asshole in the middle.
Dahlia Adler, Out on Good Behavior|When has a civilian ever stopped a mass shooting with an AR-15? An AR-15 is a perfect weapon for mass murderers -- not so much for self-defense. Would you bring an AR-15 along on a date? To your place of work? To the movies? If not, how can owning an AR-15 save your life in the event of a mass shooting? Why does the NRA keep telling us we need semi-automatic rifles for self-defense? Whose side are they really on?
Israelmore Ayivor, Daily Drive 365|Time flies fast, but it's good you are the pilot. Just control your time well away from hijackers. Save time profitably; Spend time productively!
Arthur C. Clarke|When a distinguished but elderly scientist states that something is possible, he is almost certainly right. When he states that something is impossible, he is very probably wrong.
Tracie Miles, Your Life Still Counts: How God Uses Your Past to Create a Beautiful Future|...if He has a message to get across to us, He will continually reaffirm what He has said through a variety of ways.
Robert Bresson|I don't know.  I don't really like old movies.  The acting is so, 'Hey buddy, ol' pal.  Let's go wear our hats and have a big misunderstanding
Elisabeth Eaves, Wanderlust: A Love Affair with Five Continents|How can we distinguish what is biologically determined from what people merely try to justify through biological myths? A good rule of thumb is ‘Biology enables, Culture forbids.’ Biology is willing to tolerate a very wide spectrum of possibilities. It’s culture that obliges people to realize some possibilities while forbidding others. Biology enables women to have children – some cultures oblige women to realize this possibility. Biology enables men to enjoy sex with one another – some cultures forbid them to realize this possibility. Culture tends to argue that it forbids only that which is unnatural. But from a biological perspective, nothing is unnatural. Whatever is possible is by definition also natural. A truly unnatural behavior, one that goes against the laws of nature, simply cannot exist.
Michael Schumacher|Arrogance, ignorance, and incompetence. Not a pretty cocktail of personality traits in the best of situations. No sirree. Not a pretty cocktail in an office-mate and not a pretty cocktail in a head of state. In fact, in a leader, it's a lethal cocktail.
Elizabeth Gaskell, Wives and Daughters|The French girls would tell you, to believe that you were pretty would make you so.
Bill Pronzini, Spook|He and the second wife must have made a very close, self-contained unit--two people moving through life as if in a thinly membraned bubble, venturing out separately for practical purposes but neither of them whole unless they were together. People who didn't need many friends or outside activities, who found complete fulfillment in each other.
Sully Erna|I'm not the one who's so far awayWhen I feel the snake bite enter my veins.Never did I wanna be here again,And I don't remember why I came.
Saul Bellow, The Adventures of Augie March|Some people look like they sound better than they actually sound, because they look confident and have good posture," once musician, a veteran of many auditions, says. "Other people look awful when they play but sound great. Other people have that belabored look when they play, but you can't hear it in the sound. There is always this dissonance between what you see and hear" (p.251).
Israelmore Ayivor, The Great Hand Book of Quotes|Goals are easily scored with either a skillful strike or a strong one. If you make a strong strike, it's impossible for it to be defended by obstacles in your goal!
Erin Hunter, Mistystar's Omen|I believe in the importance of learning from what has been discovered before. And in how precious health is, and how hard I must work to preserve it in all my Clanmates. The fact that the world of signs, omens, and dreams that have hidden meanings is closed to me doesn't feel like something is missing, Mistystar. I respect what you believe. You must respect what matters to me.
Anne Lamott, Traveling Mercies: Some Thoughts on Faith|I watched him carefully. He was making art because he has to, and because he's brave enough to try and make contact, right there on the edge of madness, where he dreams.
Miranda Kerr|I think it's brought the world a lot closer together, and will continue to do that. There are downsides to everything; there are unintended consequences to everything. The most corrosive piece of technology that I've ever seen is called television - but then, again, television, at its best, is magnificent.
David Mathis, Habits of Grace: Enjoying Jesus through the Spiritual Disciplines|Rose pivoted. “Alainn, can I ask you something about ethics?” Alainn nodded, slowly. “Sure.” Rose’s inhuman eyes met hers, and she asked, “Would you die to save a million people?
Nicole Gulla, The Lure of the Moon|Babe, when we have sex, we create magic. We leave earth. We travel the fucking universe. Sex with you goes on and never ends. It transcends. I’m fucking addicted to it. Addicted to you. I didn’t want to share you.
Mark Twain|By trying we can easily learn to endure adversity – another man’s, I mean.
Nikki Sixx|Reflecting back, we all make mistakes; we all go through our stuff - relationships, financial, all kinds of stuff - and if you can grow from that and pass that message on, it's a pretty cool thing.
Debasish Mridha|Listen to the song of your heart, now follow the melody.
Marcel Proust, The Guermantes Way|When the finely tuned balance among the different parts of bodies breaks down, the individual creature can die. A cancerous tumor, for example, is born when one batch of cells no longer cooperates with others. By dividing endlessly, or by failing to die properly, these cells can destroy the necessary balance that makes a living individual person. Cancers break the rules that allow cells to cooperate with one another. Like bullies who break cooperative societies, cancers behave in their own best interest until they kill their larger community, the human body.
Balroop Singh|Music has always assuaged my lacerations, brightened my hours, added glow to my little joys and given wings to my fantasy flights.
Suky Achchille|He(Rahul Dravid) is the intelligent man's guide to what a sportsman ought to be - modest, dependable, well-educated, with the gift of grace under pressure and a perspective that is adult. He is the comfort for those who know they cannot be Tendulkar
Susan C. Young, The Art of Preparation: 8 Ways to Plan with Purpose & Intention for Positive Impact|Your thoughts, beliefs, and interpretations initiate and largely determine how you experience your reality.
Luke Bryan|Being positive is like going up a mountain. Being negative is like sliding down a hill. A lot of times, people want to take the easy way out, because it's basically what they've understood throughout their lives.
Bryant McGill, Voice of Reason|I like being brave well enough, but I will be a lazy coward again if you think that would be better.
JT Fields|Think you can live forever, act like today is your last day on earth.
Frederick Douglass|From the perspective of my old laptop,I am a numbers man,something like thatevery instruction he gives me is a one or a zeroI remember wellI have information about him before he left for his new toythinner, younger, able to keep up with him,I have information about himmay 15th 2008, he listened to a songfive times in succession it was titled Everybody, open parenthesis, Backstreet's Back, close parenthesisit included the lyric'Am I sexual, yeaaaaah'He said once, computers like a sense of finality to themwhen I write something I don't want to be able to run from itthis was a liehe was addicted to my ability to keep his secretsI am a numbers man,every instruction he gives me is a one, or a zeroI remember wellJanuary, 7th 2007I was youngjust two week awakehe gave me, a new series of one's and zerosthe most sublime sequence I have ever seenit had curves, and shadow, it was himhe gave his face in numbersand trusted me to be the artist, and I wasdo not laughI have read about your Godyou kill each other over your grand fathers memory of himI still remember the fingertips of my God dancing across my bodyAfter I learnt to draw himhe trusted with more art rubricjpeg 1063 was his favouriteHim, and that woman, resting her head in the curve of his nickI read his correspondenceshe hasn't written him back in yearsbut he asks for it, constantly,jpeg 1063, jpeg 1063, jpeg 1063it was my master piece it looked so, .., life likeI wanted to tell himThat's not herthat is methat is not her facethose are my ones and zeroswaltzing in space for youshe is nothing more than my shadow puppetyou do not miss her, you miss me,I am a numbers man,every instruction he gives is a one or a zeroI remember wellbut he taught me to be a Da Vinci and I sit here, with his portraits waiting for him to returnI do not think he willIs that what it means to be humanto be all powerful, to build a temple to yourselfand leaveonly the walls to pray
Anna M. Aquino|Ninja Mom's can't be all their called to be, if their so stressed out about how their going to pay their Mastercard bill
Leonardo da Vinci|Study without desire spoils the memory, and it retains nothing that it takes in.
John Green, Looking for Alaska|Hurt but do not harm?” Zach asked. “What’s the difference?” “Hurt is a bruise on the outside.” Nora sipped her mineral water delicately. “Harm is a bruise on the inside. If you’re a masochist, pain feels like love to you. Not being hurt is what hurts.
Cassandra Rose Clarke, The Mad Scientist's Daughter|She had thought about that moment so often during the past few years it had dried out. It was stale, like old, odourless potpourri. But she still want back to it, because it was the only one.
Jonathan Kozol|Aging is an inevitable process. I surely wouldn't want to grow younger. The older you become, the more you know; your bank account of knowledge is much richer.
Tom Walsh|The hundred-year-old man had never let himself be irritated by people, even when there was a good reason to be, and he was not annoyed by the uncouth manner of this youth.
Maria Angelova|Those who say traveling is expensive, are just ill-informed.
Cherie Blair|No matter what happens in a child's home, no matter what other social and economic factors may impede a child, there's no question in my mind that a first-rate school can transform almost everything.
Jane Austen, Northanger Abbey|You men have none of you any hearts.''If we have not hearts, we have eyes; and they give us torment enough.
Colleen Hoover, November 9|I think about you every second of every day and I don’t know how to get over you,” she says.“Don’t,” I beg her. “Please don’t get over me.
D. Kostadinov, Dream Wildly: How to Overcome Fears and Doubts for the sake of success|The greatest war in our lives is the one against our own fears and illusions. We fight countless battles with our deluded consciousness which sometimes strives for making not the best, but the safest and least risky decisions.
President George Washington|One glance at any government budget anywhere in the world tells the story—the money is always in place, already allocated, the motive everywhere is fear, the more immediate the fear, the higher the multiples.
Albert Einstein, Ideas and Opinions|But without deeper reflection one knows from daily life that one exists for other people--first of all for those upon whose smiles and well-being our own happiness is wholly dependent, and then for the many, unknown to us, to whose destinies we are bound by the ties of sympathy.
Graham Greene, Doctor Fischer of Geneva or The Bomb Party|I doubt if ever one ceases to love, but one can cease to be in love as easily as one can outgrow an author one admired as a boy.
Tom Althouse, The Frowny Face Cow|…falling in love is a state of mental misery which has a restricting, impoverishing, and paralyzing effect upon the development of our consciousness.
Deepak Chopra|I designed 'Buffy' to be an icon, to be an emotional experience, to be loved in a way that other shows can't be loved. Because it's about adolescence, which is the most important thing people go through in their development, becoming an adult.
F. Scott Fitzgerald, The Beautiful and Damned|He thinks himself rather an exceptional young man, thoroughly sophisticated, well adjusted to his environment, and somewhat more significant than any one else he knows.
Nicolaas Bloembergen|I am terribly glad to be alive and when I have wit enough to think about it, terribly proud to be a man and an American with all the rights and privileges that those words connote. And most of all I am humbled before the responsibilities that are also mine. For no right comes without a responsibility and being born luckier than most of the world's millions, I am also born more obligated.
Rikki Ducornet|I, sole heir to the Munodi line and memory, am childless. A friend who knows such things has told me that this explains my compulsion to capture what I can with black ink on white paper." ("The Volatilized Ceiling of Baron Munodi")
Stephen Roberts|I contend that we are both atheists. I just believe in one fewer god than you do. When you understand why you dismiss all the other possible gods, you will understand why I dismiss yours.
Vironika Tugaleva|To spend your time trying to make your body flawless is to waste your time. Even if it appears to match some externalized ideals of perfection for a moment, your physical self will wrinkle and age. Work on your mind. Work on your legacy.
Dorothy Bussy, Olivia|Arrogance is an illusion of superiority one perpetrates upon their self. Some may ultimately find their way through the illusion, but only after many losses.
Sana Krasikov|Florence, listen to me carefully. He squeezed her hand. Take whatever that agent offers you. Give him what he wants, and don’t ask too many questions. Get yourself an exit visa as soon as you can. Then leave! Disappear. Forget this wretched place
Henry Rollins|Underwater, I experience space with my body. I'll see a school of fish gathering and moving together and I'll exclaim, 'This is architecture.'
Lauren Tarshis, Emma Jean Lazarus Fell Out of a Tree|Colleen had this idea -- a faded, crumpled, smudged idea -- that being nice counted for something.
Rebecca Traister|First thing I said to him was, 'LeBron, you know this is true. We had five good years and one bad night'. Like a marriage that's good, and then one bad thing happens, and you never talk to each other again.
Lailah Gifty Akita|Determined soul, willing spirit.
Danika Stone, Intaglio: The Snake and the Coins|God as you probably now know, uses us to do His work. The last time He sent his son, we killed him! We will now have to do the heavy lifting ourselves. We know the Law and we know it's true.
Debasish Mridha|I may not believe in magic, but I know words have the magical power to change a person or a life in a second.
Thom Mayne|In art or architecture your project is only done when you say it's done. If you want to rip it apart at the eleventh hour and start all over again, you never finish. I was one of those crazy creatures.
Sarah M. Cradit, The Storm and the Darkness|Danger, like a third man, was standing in the room.
Jorge Luis Borges|From the twilight of day till the twilight of evening, a leopard, in the last years of the thirteenth century, would see some wooden planks, some vertical iron bars, men and women who changed, a wall and perhaps a stone gutter filled with dry leaves. He did not know, could not know, that he longed for love and cruelty and the hot pleasure of tearing things to pieces and the wind carrying the scent of a deer, but something suffocated and rebelled within him and God spoke to him in a dream: "You live and will die in this prison so that a man I know of may see you a certain number of times and not forget you and place your figure and symbol in a poem which has its precise place in the scheme of the universe. You suffer captivity, but you will have given a word to the poem." God, in the dream, illumined the animal's brutishness and the animal understood these reasons and accepted his destiny, but, when he awoke, there was in him only an obscure resignation, a valorous ignorance, for the machinery of the world is much too complex for the simplicity of a beast.
Garrison Keillor|I found that, academically, it really didn't matter whether I had received a certain grade in a class; it didn't matter too much what schools I wanted to attend... What matters is one's drive, one's intelligence.
Dee Henderson, The Witness|Or you just not ask her.""You might as well slit my throat.
C. JoyBell C.Bell C.|Some people are never overcome by anything: not by grief, not by love, not by anything or anyone. They never hold on too tight and they never push too hard. And other people are overcome by almost everything: by grief, by love, by almost everything. They hold on too tight and they push too hard. Both the flower and the storm bring awe and admiration. Do we live life pushing and pulling and gasping at lightning bolts? Or do we live life poised and positive and breathing clandestine proportions? Who knows! Who can ever say?
Jami Gertz|That's the thing. in medicine, you're used to saying there's a problem within the person, and saying there's a problem within the culture, that's not a medical answer. Medicine has to look in one direction, so there's only one type of answer that they can find.
Katie Ganshert, A Broken Kind of Beautiful|After Sara's accident, so many well-intentioned people had offered her words of hope - that God would heal her, that she would see again - as if that was a given. It was the same hope people had offered Marilyn all those years ago. Story upon story of women who had struggled through infertility and ended up with a child on the other side.'God is good. It'll happen,' they had told her.As if God's goodness depended upon whether or not He answered prayers the way people wanted Him to answer. The hard truth was the sometimes He didn't. He hadn't rescued Marilyn from her infertility, and He hadn't rescued Sara from her blindness. But that didn't negate His goodness. It just meant that He had different plans.
Debasish Mridha|Love is the most powerful force on this world. You can't touch it but feel it. You can bind together the whole world with it, you can win the war with it. It is faster than light, sharper than laser knife. It is softer than puffer candy but can melt your heart.
Lemony Snicket, Why Is This Night Different from All Other Nights?|Boy, these conservatives are really something, aren't they? They're all in favor of the unborn. They will do anything for the unborn. But once you're born, you're on your own. Pro-life conservatives are obsessed with the fetus from conception to nine months. After that, they don't want to know about you. They don't want to hear from you. No nothing. No neonatal care, no day care, no head start, no school lunch, no food stamps, no welfare, no nothing. If you're preborn, you're fine; if you're preschool, you're fucked.
Debasish Mridha|When you open your heart, only then will the light come in.
Tom Cotton|Contrary to conventional military and game theory, the most effective offense is sometimes a direct attack against your political opponent's greatest strength - not his weaknesses - to place him immediately on the defensive.
Zooey Deschanel|I did my holy communion, and it was amazing how quickly the stories of the Bible and God and Jesus got under my skin.
Vigen Guroian, Tending the Heart of Virtue: How Classic Stories Awaken a Child's Moral Imagination|We are all each of us riddles, when unknown one to the other. The plain map of human powers and purposes, helps us not at all to thread the labyrinth each individual presents in his involution of feelings, desires and capacities; and we must resemble, in quickness of feeling, instinctive sympathy, and warm benevolence, the lovely daughter of Huntley, before we can hope to judge rightly of the good and virtuous of our fellow-creatures.
Lillian Hellman|Hope arouses, as nothing else can arouse, a passion for the possible.
Nathan Reese Maher|All is as if the world did cease to exist. The city's monuments go unseen, its past unheard, and its culture slowly fading in the dismal sea.
Neale Donald Walsch|We all are wearing many hundred glasses of different colors. So, everyone see the world in different views. Somehow, if we could remove those glasses we can see the world with real colors. Name of the most difficult to remove glass is ‘there are permanent things of mine’.
Henry Miller, Tropic of Cancer|The monstrous thing is not that men have created roses out of this dung heap, but that, for some reason or other, they should want roses. For some reason or other man looks for the miracle, and to accomplish it he will wade through blood. He will debauch himself with ideas, he will reduce himself to a shadow if for only one second of his life he can close his eyes to the hideousness of reality. Everything is endured – disgrace, humiliation, poverty, war, crime, ennui – in the belief that overnight something will occur, a miracle, which will render life tolerable. And all the while a meter is running inside and there is no hand that can reach in there and shut it off. All the while someone is eating the bread of life and drinking the wine, some dirty fat cockroach of a priest who hides away in the cellar guzzling it, while up above in the light of the street a phantom host touches the lips and the blood is pale as water. And out of the endless torment and misery no miracle comes forth, no microscopic vestige of relief. Only ideas, pale, attenuated ideas which have to be fattened by slaughter; ideas which come forth like bile, like the guts of a pig when the carcass is ripped open.And so I think what a miracle it would be if this miracle which man attends eternally should turn out to be nothing more than these two enormous turds which the faithful disciple dropped in the bidet. What if at the last moment, when the banquet table is set and the cymbals clash, there should appear suddenly,and wholly without warning, a silver platter on which even the blind could see that there is nothing more, and nothing less, than two enormous lumps of shit. That, I believe would be more miraculous than anything which man has looked forward to. It would be miraculous because it would be undreamed of.It would be more miraculous than even the wildest dream because anybody could imagine the possibility but nobody ever has, and probably nobody ever again will.Somehow the realization that nothing was to be hoped for had a salutary effect upon me. For weeks and months, for years, in fact, all my life I had been looking forward to something happening, some intrinsic event that would alter my life, and now suddenly, inspired by the absolute hopelessness ofeverything, I felt relieved, felt as though a great burden had been lifted from my shoulders.At dawn I parted company with the young Hindu, after touching him for a few francs, enough for a room. Walking toward Montparnasse I decided to letmyself drift with the tide, to make not the least resistance to fate, no matter in what form it presented itself. Nothing that had happened to me thus far had been sufficient to destroy me; nothing had been destroyed except my illusions. I myselfwas intact. The world was intact. Tomorrow there might be a revolution, a plague, an earthquake; tomorrow there might not be left a single soul to whom one could turn for sympathy, for aid, for faith. It seemed to me that the great calamity had already manifested itself, that I could be no more truly alonethan at this very moment.
Lailah Gifty Akita|He looked at me and said;I see a challenge not a problemI see an opportunity not an obligation I see a must do not a sacrifice....I looked back at him straight in the eye through the mirror and said;You are the new me, the better me...
Chris     Murray, The Extremely Successful Salesman's Club|Sometime in the future, when business slumps and there appears to be no solution in sight, you will hear others moaning about and blaming the things that are completely out of their control, wasting hour after hour on elements, which cannot be changed. Meanwhile, you, my boy, you will be focusing your efforts on the only thing that matters. The response which ensures you reach your destination.
Thomas S. Monson|Courage is contagious. When a brave man takes a stand, the spines of others are often stiffened.
Richelle Mead, Spirit Bound|One of the few downsides to being awakened is that we no longer require sleep; therefore we also no longer dream. It's a shame, because if I could dream, I know I'd dream about you.I'd dream about the way you smell and how your dark hair feels like silk between my fingers. I'd dream about the smoothness of your skin and the fierceness of your lips when we kiss. Without dreams, I have to be content with my own imagination– which is almost as good. I can picture all of those things perfectly, as well as how it'll be when I take your life from this world.
Graham Chapman|Do people call you Ollie?” Lola asked.Oliver looked at her, completely dumbfounded by the possibility of this nickname. She may as well have asked him if people call him Garth, or Andrew, or Timothy.“No,” he said flatly, and the only thing charming about him was the way his accent seemed to run through every vowel with one syllable. Lola’s eyebrow twitched in her single tell—mildly annoyed—and she lifted her flashing LED drink cup to her lips.Lola wears mostly black, including her glossy dark hair, and has a tiny diamond pierced into her lip, but, even still, she’s never been able to pull off the full physical manifestation of the angry Riot Grrrl. With her perfect porcelain skin and the longest eyelashes in the world, she’s simply too delicate. But once she decides you’re an asshole, it no longer matters to her what you think. She gives good glare.“The flower suits you,” she said, tilting her head to study him. “And you have pretty hands, kind of soft. Maybe we should call you Olive.”He grunted out a dry laugh.“And a really beautiful mouth,” I added. “Gentle. Like a woman’s.”“Aw fuck off.” He was laughing outright by then.
Del Suggs, Truly Leading: Lessons in Leadership|Display your passion, and others will be inspired. Enthusiasm is contagious.
Ellen Meloy, Eating Stone: Imagination and the Loss of the Wild|When in doubt, follow the senses of beasts.
Carlo Collodi, Pinocchio|Would it be possible to find a more ungrateful boy, or one with less heart than I have!
