Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
S.A. Tawks, Misadventurous|It seemed, at that point, my greed and cunningness were being rewarded.
Woodrow Wilson|The constant talking didn't bother her, for cats use their voices to say 'here I am, where are you?' and this seemed to be the primary intention of most human conversation.
Aaron Copland|So long as the human spirit thrives on this planet, music in some living form will accompany and sustain it and give it expressive meaning.
Savielly Tartakower|In politics, nothing good ever comes from the unexpected.
Jordan Finneseth, Manual for the Soul: A Beginner's Guide. Awaken to Your Enlightenment in Millennium 2.1|Even in that 'now' moment at which you feel you reach some form of "enlightenment", it will still be a 'moment'. There will still be more life afterward, and changes will still occur.
Sharon Kay Penman, The Reckoning|The war was about vanity, he said. It was about old men who couldn't look in the mirror anymore and so they sent the young out to die. Was was a get-together of the vain. They wanted it simple--hate your enemy, know nothing of him.
Virchand Gandhi, The Monist|Finally, this being America, there is the constant possibility of murder.
Errol Flynn|Entrepreneurs are risk takers, willing to roll the dice with their money or reputation on the line in support of an idea or enterprise. They willingly assume responsibility for the success or failure of a venture and are answerable for all its facets.
J.D. Salinger, The Catcher in the Rye|when you're not looking, somebody'll sneak up and write "Fuck you" right under your nose.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|When a moral man speaks, listen. But when immoral men speak, toss away their words like bad fruit. Truth will never shine from a heart filled with corruption and lies.
Pauline Kael, Going Steady: Film Writings, 1968-1969|The problem with a popular art form is that those who want something more are in a hopeless minority compared with the millions who are always seeing it for the first time, or for the reassurance and gratification of seeing the conventions fulfilled again.
Neil Abramson, Unsaid|I've seen too much sacrifice to believe that God is behind all of it, and I've seen sacrifice that has no indicia of the hand of God at all. Loss is not always part of some greater plan explainable by reference to the actions of a divine being with a divine purpose.
Dalai Lama|I'm very happy being me, although sometimes I'd love to be a bird so that I could fly.
Tom Perrotta, The Leftovers|If I asked you to do something for me, I don't suppose you'd listen?" When he had my attention, he continued, "I'm going to take you home. Try to forget tonight happened. Try to act normal, especially around Hank. Don't mention my name."By way of an answer, I shot him a black look and swung out of the Tahoe. He followed suit, coming around to my side. "What kind of answer is that?" He asked, but his voice wasn't nearly so gruff.
Brandon Sanderson, The Way of Kings|It is not the destination that matters, but how one arrives there.
Doug MacLeod|I’m not scared any more,’ said Midge. ‘Thank you, Kevin. Sometimes you can be very kind.’‘Yes,’ said Kevin. ‘And if you tell that to any of the other trolls I will pull off your nose and feed it to a bear.
Charles de Lint|We're all made of stories. When they finally put us underground, the stories are what will go on. Not forever, perhaps, but for a time. It's a kind of immortality, I suppose, bounded by limits, it's true, but then so's everything.
Douglas Adams, The Restaurant at the End of the Universe|Life is worth more than man will ever know. Each of our choices open up the possibility of a different world. Every time we wake up, the universe puts itself in our hands. So many paths. So many choices. Our discernment is the only way to tell which one leads to happiness.
Billy Graham, Billy Graham in Quotes|Any work done by a follower of Christ to the glory of God is “gold, silver, precious stones.” But if any follower of Christ works with any self-interest or personal ambition involved, it will be “wood, hay, and stubble” and will be burned.
Richard Ford, The Sportswriter|They may already know too much about their mother and father--nothing being more factual than divorce, where so much has to be explained and worked through intelligently (though they have tried to stay equable). I've noticed this is often the time when children begin calling their parents by their first names, becoming little ironists after their parents' faults. What could be lonelier for a parent than to be criticized by his child on a first-name basis?
Arlene J. Chai, Eating Fire and Drinking Water|It's a funny thing about Americans, we love to bitch about paying too much for the things we really need and are really a bargain, like gas and postage stamps, but we willingly shell out outrageous amounts for unnecessary crap like gourmet coffee and soap to make your crotch smell good. Two dollars a gallon to go ten miles is too much, but five to the parking valet to go ten feet is okay.
S.G. Holster, Terrible Lies|Perception in the eye of vengeance becomes blurred. Ren was in need of a slap on the face, but I knew what was coming and that it would do the job properly.
Mark Sundeen, The Man Who Quit Money|The person with the least worry over the compromises he must make is, of course, the person who doesn't compromise.
Lynna Merrill, The Seekers of Fire|Call it "a wonder" or "a mystery" and you have an excuse to never try understanding it - an excuse to not take responsibility for it. People knew about love no more than they knew about Science, but at least most did not jump into Science headstrong, with the hope that they would figure it out as they went, or that some "mysterious" inborn trait would take care of it.
Jodi Picoult, Keeping Faith|King Drowden has given his men instructions to infiltrate the town, bribe townspeople for the secrets of their neighbors, steal the neighbors’ hidden treasures. Much more subtle than Drowden’s usual smash and burn technique. We do hope Drowden isn’t growing a brain.
Billy Graham, Billy Graham in Quotes|God has given us a message that is not only for past times and this time, but for all time.
Richard Baxter, The Saints' Everlasting Rest|Either paganish unbelief of the truth of that eternal blessedness, and of the truth of the Scripture which doth promise it to us; or, at least, a doubting of our own interest; or most usually most sensible of the latter, and therefore complain most against it, yet I am apt to suspect the former to be the main, radical master-sin, and of greatest force in this business. Oh! If we did but verily believe that the promise of the glory is the word of God, and that God doth truly mean as he speaks, and is fully resolved to make it good; if we did verily believe that there is, indeed, such blessedness prepared for believers as the scripture mentioneth ; sure we should be as impatient of living as we are now fearful of dying, and should think every day a year till our last day should come. We should as hardly refrain from laying violent hands on ourselves, or from the neglecting of the means of our health and life, as we do now from over-much carefulness and seeking of life by unlawful means. . . . Is it possible that we can truly believe that death will remove us fro misery to such glory, and yet be loth to die(465-6)?It appears we are little weary of sinning, when we are so unwilling to be freed by dying(467).
Monica Bellucci|If I have made an appointment with you, I owe you punctuality, I have no right to throw away your time, if I do my own.
Robin Hobb, Fool's Errand|Reader, you must know that an interesting fate (sometimes involving rats, sometimes not) awaits almost everyone, mouse or man, who does not conform.
Neil Gaiman, The Ocean at the End of the Lane|Children, as I have said, use back ways and hidden paths, while adults take roads and official paths
Eraldo Banovac|Older people sometimes talk about the good old days when life was better. In fact, they talk nostalgically about their own youth that was irretrievably gone. The past century has made enormous progress in all fields. The standard of living, work environment, health care quality and mobility, and the availability of cultural programs, recreational activities and information – all that clearly speaks in favor of nowadays.
Chad Michael Murray|A closing team is so important in the NBA. The last seven minutes is what you are always coaching to get to. Now you have your team set, you have the match-ups you want, you have your time-outs, your chance to finish the game, and that's my job, to get us to that position during the course of the game.
Bruce Sterling|In a world so redolent with wonder, how can we allow ourselves to conduct our daily lives with so little insight, such absence of dignity?
Lucy Alibar|The preparation, commitment and desire to win will be no less than the last time I drove a grand prix car in anger.
Salman Rushdie|A poet's work . . . to name the unnamable, to point at frauds, to take sides, start arguments, shape the world and stop it from going to sleep.
Preeth Nambiar|Seek me not in your richness, O dear, search not amidst the words talkative. Find me in the moments of loneliness, in the silence of your mighty soul. Within the void of intimate being this is me, the majestic blue - the cessation of all; and here your are in the celestial path.
Debasish Mridha|I never can imagine that a woman can do anything wrong, if they do then man made her to do it.
Tara Sivec, A Beautiful Lie|How can you say that so casually? You're talking about the possible death of hundreds of people, yourself included."He gave a negligent shrug. "Wrong place, wrong time. Life sucks.
Larry Tanner|Once when I was young-maybe more than once-when I was extremely disrespectful to my mother, my father angrily called me "garbage" in our native Hokkien dialect. It worked really well. I felt terrible and deeply ashamed of what I had done. But it didn't damage my self esteem or anything like that. I knew exactly how highly he thought of me. I didn't actually think I was worthless or feel like a piece of garbage. As an adult, I once did the same thing to Sophie, calling her garbage in English when she acted extremely disrespectful toward me. When I mentioned I had done this at a dinner party, I was immediately ostracized. One guest named Marcy got so upset she broke down in tears and had to leave early. My friend Susan, the host, tried to rehabilitate me with the remaining guests. "Oh dear, it's just a misunderstanding. Amy was speaking metaphorically-right, Amy? you didn't actually call Sophie 'garbage.'""Um, yes I did. But it's all in the context," I tried to explain. "It's a Chinese immigrant thing.
Kristen Middleton, Blur|I turned on the television and watched a movie about a girl who’d fallen in love with both a vampire and a werewolf. I’d already seen it a million times, so my eyelids grew heavy, fairly quickly. Ten minutes later I was out cold in my bed and dreaming of Duncan, who turned into a werewolf and was trying to kill my own vampire boyfriend. Every time I tried to see the vampire’s face, however, it was a blur.
Brian D. Anderson, Of Gods and Elves|You cannot be betrayed by your enemies, only your friends.
Archibald Marwizi, Making Success Deliberate|Benchmark against the top performing movers and shakers in your game. What are the skills required to achieve excellence in your area of specialty as a leader? How are you managing your vision and mission? Do you demonstrate a life lived with clear goals and targets? How are you providing direction, influence and developing others to lead? What is the evidence of the good leadership of your team?
Cesare Pavese, The Burning Brand: Diaries, 1935-1950|We do not remember days, we remember moments. The richness of life lies in memories we have forgotten
Abraham Grace Merritt, The Moon Pool|And he wallowed in disgust and loathing, and his hair stood on end at the delicious horror.
Matthew Woodring Stover, Caine Black Knife|Obligation is a more effective weapon against the Will than any penalty, threat or act of force.
Audre Lorde|A heart is not judged by how much you love, but by how much you are loved by others.
Banana Yoshimoto, Kitchen|i hate that its my favorite thing to watch her, because it shouldn't be. It triggers all these what-ifs in my head, and my mind begins imagining things it shouldn't be imagining...
Suketu Mehta|You told me how much you hate me when yesterday you told me how much you love me, what happen?
Winston Graham, Ross Poldark|Monthly, out of common courtesy, he went to inquire after the invalid Charles, who refused either to die or get better.
Mark Hyman|The very fact that we are having a national conversation about what we should eat, that we are struggling with the question about what the best diet is, is symptomatic of how far we have strayed from the natural conditions that gave rise to our species, from the simple act of eating real, whole, fresh food.
Orson Scott Card, Children of the Mind|I’m in no hurry. What for?The sun and moon aren’t in a hurry: they’re right.Hurrying is believing people can get past their legs,Or that, jumping, they can land past their shadow.No; I don’t know how to hurry.
Lily Cole|Any saxophone player will have those influences come through in their music in a very different way. I can listen to the same 10 sax players as someone else for my entire life, and we'll both play completely differently. That's the beauty of being a musician.
Roxane Gay, Bad Feminist|Life, apparently, requires a trigger warning.This is the uncomfortable truth: everything is a trigger for someone. There are things you cannot tell just by looking at someone.We all have history. You can think you're over your history. You can think the past is the past. And then something happens, often innocuous, that shows you how far you are from over it. The past is always with you. Some people want to be protected from this truth.
Marie Curie|Certein bodies... become luminous when heated. Their luminosity disappears after some time, but the capacity of becoming luminous afresh through heat is restored to them by the action of a spark, and also by the action of radium.
R.D. Blackmore, Complete Collection of R. D. Blackmore|Either love me not at all, or as I love you, for ever.
Colbie Caillat|A good song should life your heart, warm the soul and make you feel good.
Kamand Kojouri|To live, to truly live, one must consider each and every thing a blessing.
Auliq Ice|The truth, when it matches with what we want, think, or believe already, we love it. But, when it doesn't, we either hate it or ignore it, or both.
Theodore Roosevelt, Theodore Roosevelt's Letters to His Children|There is quite enough sorrow and shame and suffering and baseness in real life and there is no need for meeting it unnecessarily in fiction. As Police Commissioner it was my duty to deal with all kinds of squalid misery and hideous and unspeakable infamy, and I should have been worse than a coward if I had shrunk from doing what was necessary; but there would have been no use whatever in my reading novels detailing all this misery and squalor and crime, or at least in reading them as a steady thing. Now and then there is a powerful but sad story which really is interesting and which really does good; but normally the books which do good and the books which healthy people find interesting are those which are not in the least of the sugar-candy variety, but which, while portraying foulness and suffering when they must be portrayed, yet have a joyous as well as a noble side.
James Franck|Troops are everywhere in their modern, digital camouflage, designed to blend in anywhere at any time. Yet at night we wear bright yellow reflective belts.
John McEnroe|My mom wouldn't let me buy clothes she didn't like, so I dressed like a middle-aged woman in high school.
Ralph Waldo Emerson|I'm an incurable optimist, and I'm a great believer in never looking back. Life is too short, and new challenges are exciting.
Kim Holden, So Much More|But some mistakes can never be righted and the guilt eats away at the soul. Of all the emotions we have, I have learnt that guilt is the most corrosive. Anger passes quickly, and hatred mellows with age and learning, but guilt endures.
Orhan Pamuk, Snow|The modern hero is a person who does something everyone thinks they could do if they were a little stronger, a little faster, a little smarter, or a little more generous. Heroes in ancient times were the link between men and perfect beings, gods. Heroes in modern times are the link between man as he is and man as he could be.
Monique Reza|Is there a definition of a truly good person? .... Many say that "Nice guys finish last", that "kindness is weakness", and so on. To those of you who are told "Your too nice" or you tell yourself that. That is something to hold on to! So many people say "screw it" I can't be walked on or treated this way. So they become what they think is "tough" ,"smarter" or it's just easier. It's really not. Because even though you think you get "respect" you had to sacrifice the good part of who you are for it.
Lailah Gifty Akita, Think Great: Be Great!|The inspired words, which flush my mind, come from a higher power!
Robin Sloan, Mr. Penumbra's 24-Hour Bookstore|The mechanism of natural selection depends on the survival, not of the strongest, nor the most intelligent, but of the most adaptable.
Isaac Bashevis Singer|If you keep on saying things are going to be bad, you have a good chance of being a prophet.
Craig D. Lounsbrough|To get he had tried,yet his store was still meager.To a wise man he cried,in a voice keen and eager;Pray tell me how I may successfully live?And the wise man replied,"To get you must give."As to giving he said,"What have I to give?"I've scarce enough bread,and of course one must live;But I would partake of Life's bountifulstore. Came the wise man's response;"Then you must give more."The lesson he learned;to get was forgotten,Toward mankind he turnedwith a love new begotten.As he gave of himself in useful living,Then joy crowned his days,for he grew rich in giving.
L.A. Gilbert, Witness|Aw, come on, admit it—you feel like Cinderella, don’t you?” “No, Darren, I don’t. And do you know why?” “No, sugar, you tell me why.” “Because I’m a man. I’ve got a big fat one and I like to fuck other guys.” Darren was laughing over the phone now, and it made Reece grin. “And Ben isn’t a prince, he’s a cop. A big, sexy cop who fucks like a machine. He’s a man. I’m a man. We’re men.” He nodded sharply. “Now fuck off. I’m arranging flowers.
Matthew Quick|Why would god allow the Holocaust to happen? If god made everything, why did he invent sin to trick us and then hold our sins against us? Why are there so many religions in the world if god created the world and wants us to be Christian? Why does god allow people to fight wars over him? What if you were born in a different culture and never even heard of Jesus Christ—would god send you to hell for not being Christian? And if so, do you believe that's fair? Why are men always the leaders in your church? Aren't women capable of leading too? Isn't such a patriarchal system sexist in this day and age? Why do so many babies die? Why are there so many poor people in the world? Did Jesus visit any other planets in distant unknown universes?
Keegan Allen, life.love.beauty|Sometimes, all you can take are memoriesBut if you’re lucky enough to capture the moment,it lives forever, immortally fixed.
Anita Valle, Maelyn|Ten minutes of careful searching later, Maelyn faced the dismal truth - she was bookless.
Melina Marchetta, On the Jellicoe Road|...But wondering takes time, and most of the people of the neighborhood were hard-working people, and so they gradually began to forget.
Israelmore Ayivor, Shaping the dream|Trial and error” is not bad, but not the best. If you don’t know where the crowd is going, don’t follow it. Get set.
T.W. Grim, 99  Brief Scenes From The End Of The World|In the scriptures there is no such thing as righteous pride—it is always considered a sin. Therefore, no matter how the world uses the term, we must understand how God uses the term so we can understand the language of holy writ and profit thereby.
Hubert H. Humphrey|True freedom requires the rule of law and justice, and a judicial system in which the rights of some are not secured by the denial of rights to others.
Ben Shapiro|I'm doing 'Rock of Ages' one day, making out with Russell Brand. Soon after that, I'm advocating with Jesse Tyler Ferguson and Cynthia Nixon for marriage equality.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|Christmas is such a time of struggle anyway, crammed with busy and hurry and the expectation that you will be joyful, no matter what. Then, if you’re like me, when you just sit quietly, just be, and let yourself feel what you feel, the guilt creeps in. Because you’re alive and the world is big, and you should be feeling some freakin’ Christmas spirit.
Charles Duhigg, The Power of Habit: Why We Do What We Do in Life and Business|Reform is usually possible only once a sense of crisis takes hold.... In fact, crises are such valuable opportunities that a wise leader often prolongs a sense of emergency on purpose.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Watch out, every day miraculous encounter with you and God!
Fyodor Dostoyevsky, Notes from Underground|The world needs them - the ones who absorb the emotions of others, which diminishes their pain and disquietude and the world also uses them as a repository for confessions, secrets, grudges and indignation. They will leave these uncommon and intuitive individuals feeling unburdened themselves while the unusual individual will be weighed down by having taken on those burdens in addition to their own. The world needs them but what they need is something as aberrant as themselves, and that is silence, stillness and rest.
Michael S. Roth, Beyond the University: Why Liberal Education Matters|Education, from Addams' perspective, must not merely make us more adept at defending ourselves against those with different agendas. Education should increase our powers of empathy and our ability to act in concert with others.
Tina Yothers|I know that some endeavor to throw the mantle of romance over the subject and treat woman like some ideal existence, not liable to the ills of life. Let those deal in fancy who have nothing better to deal in; we have to do with sober, sad realities, with stubborn facts.
Stephen Greenblatt, The Swerve: How the World Became Modern|I always got a bit pissed off with those broadsheet sceptics who make their living being passionately angry about homeopathy, God, synchronicity or whatever, because it's as if they can't get past their emotions, and in their rage they become as faith-driven as the beliefs they criticise. I always said they give scientists a bad name. After all, science has to be about asking unthinkable questions, not closing down debate.
Amos Gideon Buba|Resources don't last forever. They must either be USED, MANAGED or they will be WASTED.
Robert Pinsky|A sentence is like a tune. A memorable sentence gives its emotion a melodic shape. You want to hear it again, say it—in a way, to hum it to yourself. You desire, if only in the sound studio of your imagination, to repeat the physical experience of that sentence. That craving, emotional and intellectual but beginning in the body with a certain gesture of sound, is near the heart of poetry. 
Juliette Cross, The Deepest Well|If God thought it necessary to offer rewards for love, your God must be immoral.
Abhijit Naskar|That is surely childhood's end, when you look at a thing like a rabbit needing skinned and have to say: "Nobody else is going to do this.
Richard Eyre, The Entitlement Trap: How to Rescue Your Child with a New Family System of Choosing, Earning, and Ownership|Resolution, like responsibility, is a product of ownership, and kids can't resolve a conflict until they figure out how they contributed to it.
M.J. McGuire, Meme Myself and Jesus|You're boring me, M'Ordant. Go away." V'Aidan"You can't be bored." M'Ordant"And a good thing, too, since I'd no doubt perish from it while in your company." V'Aidan
Daniel Dennett|It is better for a woman to compete impersonally in society, as men do, than to compete for dominance in her own home with her husband, compete with her neighbors for empty status, and so smother her son that he cannot compete at all.
Ashleigh Z., Under The Cypress Tree|I just can’t do it anymore. It’s too painful. It doesn’t mean I’m over you, it means I’m not going to waste the rest of my life being haunted by your memory.
Truman Capote|The only obligation any artist can have is to himself. His works means nothing, otherwise. It has no meaning.
Jessica Day George, Princess of the Silver Woods|God doesn't want you to be happy, He wants you to be strong.
Mehmet Murat ildan|The more we respect other creatures, the more respect our humanity will get!
Ernest Agyemang Yeboah|In reality, the world is not an arena of comfort but comfort that works! Comfort that makes impact! Yes, comfort that changes lives and leaves a distinctive footprint! Truly, comfort that does not work is only discomfort at work in silence. So many people shall dwell in comfort without working with it only to meet discomfort one day and remember comfort!
Lailah Gifty Akita, Think Great: Be Great!|Don’t take to heart, any negative criticism. Focus on positive thoughts
Adam Kinzinger|The future, like everything else, is not what it used to be.
Jay Cross, Informal Learning: Rediscovering the Natural Pathways That Inspire Innovation and Performance|Formal learning is like riding a bus: the driver decides where the bus is going; the passengers are along for the ride. Informal learning is like riding a bike: the rider chooses the destination, the speed, and the route.
Stephanie Hudson, The Triple Goddess|What was it about this man that one minute had me wanting to throw myself at him, climb him like a cat to rub up against and the next, wanting to scratch his eyes out while I was up there?
Jill Nelson, Sexual Healing|I think: perhaps the sky is a huge sea of fresh water and we, instead of walking under it, walk on top of it; perhaps we see everything upside down and the earth is a kind of sky, so that when we die, when we die, we fall and sink into the sky.
Rick Steves|I will be the first to admit that I am a pessimist by nature. It is, after all, the wisest way to be. We pessimists have everything to gain, whereas optimists have a fifty-fifty chance of being disappointed.
Charles Bukowski|I write poetry, worry, smile,laughsleepcontinue for a whilejust like most of usjust like all of us;sometimes I want to hug allMankind on earthand say,god damn all this that they've brought down upon us,we are brave and goodeven though we are selfishand kill each other andkill ourselves,we are the peopleborn to kill and die and weep in dark roomsand love in dark rooms,and wait, andwait and wait and wait.we are the people.we are nothingmore.
Jacqueline Carey, Naamah's Blessing|Jehanne said that it would always be like this. That I would always be young and beautiful in her memory, and she in mine. That I would never grow resentful, never be tempted to betray her. That she would never grow restless and fickle, and see to replace me. So you see, not exactly the sentiments of a great and terrible love affair.
Julio Cortázar, Around the Day in Eighty Worlds|The archive of supposed photocopies (I.E. memory) actually offers up strange creatures; the green paradise of childhood loves that Baudelaire recalled is for many a future in reverse, an obverse of hope in the face of the gray purgatory of adult loves.
Jonny Oates, Wisdom for My Son and Daughter: A Man Takes a Philosophical Reflection on Life to Help, Guide, and Inspire Society and His Children|YOUR LIFE IS WHAT YOU CHOOSE IT TO BE FROM EVERY MOMENT ONWARDS, WITHIN THE LIMITS OF YOUR CONTROL. AT TIMES YOU WILL HAVE TO REGROUP AND ADAPT DUE TO ISSUES OUTSIDE OF YOUR CONTROL. BUT MANY OF LIFE’S OUTCOMES ARE DETERMINED BY ITS CHIEF MASTER: YOU!
Henry David Thoreau|To read well, that is, to read true books in a true spirit, is a noble exercise, and one that will task the reader more than any exercise which the customs of the day esteem. It requires a training such as the athletes underwent, the steady intention almost of the whole life to this object. Books must be read as deliberately and reservedly as they were written. It is not enough even to be able to speak the language of that nation by which they are written, for there is a memorable interval between the spoken and the written language, the language heard and the language read.
Markus Zusak, The Book Thief|A halo surrounded the grim reaper nun, Sister Maria. (By the way-I like this human idea of the grim reaper. I like the scythe. It amuses me.)
Michael Thomas Sunnarborg, Balancing Work, Relationships & Life in Three Simple Steps|Self-mastery involves a studious account of all aspects of human life and developing a comprehensive philosophy for living without fear or anxiety throughout the remaining years of a person’s life. A person must live within the limits of the human condition, which does not justify giving into all of our destructive impulses or living a pleasurable and guiltless life. Self-mastery does not require a person to live a life without passion; rather, it entails channeling vibrant personal passions into living in a virtuous manner of created beings.
Kevin Breel, Boy Meets Depression: Or Life Sucks and Then You Live|The thing about people though, I think, is that our hearts tend to do a great job holding on to the horrible stuff and a horrible job holding on to the good. Or at least we're like that until we learn how to not be like that.
Anaïs Nin, Henry and June: From "A Journal of Love"--The Unexpurgated Diary of Anaïs Nin|And sometimes I believe your relentless analysis of June leaves something out, which is your feeling for her beyond knowledge, or in spite of knowledge. I often see how you sob over what you destroy, how you want to stop and just worship; and you do stop, and then a moment later you are at it again with a knife, like a surgeon.What will you do after you have revealed all there is to know about June? Truth. What ferocity in your quest of it. You destroy and you suffer. In some strange way I am not with you, I am against you. We are destined to hold two truths. I love you and I fight you. And you, the same. We will be stronger for it, each of us, stronger with our love and our hate. When you caricature and nail down and tear apart, I hate you. I want to answer you, not with weak or stupid poetry but with a wonder as strong as your reality. I want to fight your surgical knife with all the occult and magical forces of the world.
Anthony Liccione|You may not be able to change the world for the better, but the world is able to change you for the worst, don't give them the rock you stand on.
Alexis Herman|I dropped out of school for a semester, transferred to another college, switched to an art major, graduated, got married, and for a while worked as a graphic designer.
Shane L. Koyczan|Try. The tiniest dream that you try to make happen, is worth more than the biggest dream you never attempt.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|To conquer frustration, one must remain intensely focused on the outcome, not the obstacles.
Kilroy J. Oldster, Dead Toad Scrolls|Each generation searches their memories for time lost, feels the urgent exigencies of the present, and worries about the uncertainty of the future. Akin to preceding generations, how we live, the choices we make for surviving and loving, is our story.
Philip K. Dick, Do Androids Dream of Electric Sheep?|If Darwin had seen in life what Dostoevsky saw, he would not have talked of the law of the preservation of species, but of its destruction.
Ron Baratono|Constant thoughts of money, possession, and control are a personal prison. Thoughts of God, family, and happiness are freedom.
Rick Riordan, The Blood of Olympus|So,’ Nico said, ‘since we’re going to be spending at least a year seeing each other at camp, I think I should clear the air.’ Percy’s smile wavered. ‘What do you mean?
Rainbow Rowell, Fangirl|When anxiety comes knocking on your door, don't invite it in.
Jason Calacanis|To build a great company, which is a CEO's job, sometimes you have to stand up against conventional wisdom.
Mensah Oteh|Your purpose lies where your passion, wisdom and gifts meet and complement each other.
Rosamunde Pilcher, Wild Mountain Thyme|Elliot Rawley was a drinker, Cy’s mother had been right. And he was a poor drinker. One that let the demons of the bottle into his head when he tipped it back, demons that went about unloosing all the trouble they could find stashed in the catacombs of his mind. Every tragic thing that had ever happened, every self-doubt, every delusion, freed itself from bondage and revisited him when he drank.
Clarice Lispector|Ah, so that must have been her mystery: she had discovered a trail into the forest. Surely that was where she went during her absences. Returning with her eyes filled with gentleness & ignorance, eyes made whole. An ignorance so vast that inside it all the world's wisdom could be contained & lost.
Hippocrates|When you get older, your health becomes important to you, things start breaking down, you've always got a different ache or pain.
Patience Johnson, Why Does an Orderly God Allow Disorder|Has God Given You a Vision?‘Write the vision and make it plain … that he may run who reads it.’Habakkuk 2:2When God gives you a vision for your life, write it down, keep it before you at all times and run with it. You say, ‘But I see no way for it to come to pass.’ The Bible says, ‘The vision is yet for an appointed time … wait for it; because it will surely come’ (Habakuk 2 v. 3 NKJV). You may not know how to get from where you are right now to where the vision will ultimately take you - but God does. So ask Him to reveal the next step to you. Whether you’re in prison like Joseph, in a soup kitchen in the inner city, or at home taking care of small children, God will fulfil the vision He placed in your heart. The more you see yourself leading in the boardroom, launching your own business, serving in ministry, writing your first book, or helping others through your gifts, the sooner it’ll become a reality.
Anne Lamott, Bird by Bird: Some Instructions on Writing and Life|Hell, in my opinion, is never finding your true self and never living your own life or knowing who you are.
Eric Liddell|If, in the quiet of your heart, you feel something should be done, stop and consider whether it is in line with the character and teaching of Jesus. If so, obey that impulse to do it, and in doing so you will find it was God guiding you.
SueEllen Campbell|I suppose that, after the passion of love, water rights have caused more trouble than anything else to the human species.
Henry Johnson Jr|All scornful descriptions of American landscapes with ruined tenements, automobile dumps, polluted rivers, jerry-built ranch houses, abandoned miniature golf links, cinder deserts, ugly hoardings, unsightly oil derricks, diseased elm trees, eroded farmlands, gaudy and fanciful gas stations, unclean motels, candlelit tearooms, and streams paved with beer cans, for these are not, as they might seem to be, the ruins of our civilization but are the temporary encampments and outposts of the civilization that we – you and I – shall build.
Janette Oke|I'm not saying that suffering is our fault. I believe we suffer because sin has taken hold of the world. And with sin comes selfishness and heartlessness and wickedness. But I also think there will be a day of reckoning, Nick, when God lays out all we've done and judges our actions. That's not as popular to talk about anymore, I suppose. We all like to hear about a God who loves and forgives rewards. But He isn't holy and just if He doesn't deal with all those wrongs. I would never want to stand before God without having done everything in my power to extend His mercy to the people around me whenever I could.
Henrietta Newton Martin|Wealth earned may disappear, beauty will fade, honor may recede and fame diminish; all that shall remain, is a soul that is humane within that would leave a trail in the thoughts of your loved ones;And even if that fails,your God in heaven above will never fail you or fail to rejoice in a life you've managed to live worthy of His praise.
Dominic Riccitello|What if I were to wish upon a blood moon that I could have you standing here and I standing there? And when it happens to arrive in eighteen years, that you’ll be there, waiting for me like I’ll be waiting for you. As we did on the night where the moon shined down and I saw you standing in white with eyes that could ignite and a fire which couldn’t quite die.
Ken Ilgunas, Walden on Wheels: On the Open Road from Debt to Freedom|Perhaps there’s no better act of simplification than climbing a mountain. For an afternoon, a day, or a week, it’s a way of reducing a complicated life into a simple goal. All you have to do is take one step at a time, place one foot in front of the other, and refuse to turn back until you’ve given everything you have.
Azim Premji|Through devotion, your family cares become more peaceful, mutual love between husband and wife becomes more sincere, the service we owe to the prince more faithful, and our work, no matter what it is, becomes more pleasant and agreeable.
Beth Revis, The Body Electric|As soon as I say the words, I know they were the right ones. My eyes dip down to Dad’s memorial plaque. Truth doesn’t lie in the heart of fortune… it’s under Triumph Towers, where the labs are.
Ottilie Weber, Beneath the Scars|They say time heals all, But time is our only enemy; breathe deep and find strength to smile tonight, for the morning may never come
Donald Johanson|When you don't have access to a subject, and all you have is ex-members and critics, there is this gravitational pull toward telling a certain version of events. Scientology would say this, and they have a point, that it's like doing a portrait of a marriage in which you're only hearing from the ex-wife and not the ex-husband.
Kim Stanley Robinson, Blue Mars|Divine open doors are not for the arrogant, adulterers and wasters, they are only meant for the humble that will be wise with the opportunity and blessing that comes from them.
Laurence B. Brown, The Eighth Scroll|The Earth Speaks, clearly, distinctly, and, in many of the realms of Nature, loudly, to William Jennings Bryan, but he fails to hear a single sound. The earth speaks from the remotest periods in its wonderful life history in the Archaeozoic Age, when it reveals only a few tissues of its primitive plants. Fifty million years ago it begins to speak as 'the waters bring forth abundantly the moving creatures that hath life.' In successive eons of time the various kinds of animals leave their remains in the rocks which compose the deeper layers of the earth, and when the rocks are laid bare by wind, frost, and storm we find wondrous lines of ascent invariably following the principles of creative evolution, whereby the simpler and more lowly forms always precede the higher and more specialized forms.The earth speaks not of a succession of distinct creations but of a continuous ascent, in which, as the millions of years roll by, increasing perfection of structure and beauty of form are found; out of the water-breathing fish arises the air-breathing amphibian; out of the land-living amphibian arises the land-living, air-breathing reptile, these two kinds of creeping things resembling each other closely. The earth speaks loudly and clearly of the ascent of the bird from one kind of reptile and of the mammal from another kind of reptile.
