Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Ralph Waldo Emerson|Practically every fella that breaks the law has a danged good reason, to his own way of thinking, which makes every case exceptional, not just one or two. Take you, for example.
Jodi Picoult|My mother always says when you fight destiny, destiny fights back. Some things, they're just written in the stars. You can try but you can never escape what's meant to be.
Dr DLN, Science, Religion & Spirituality|when you look to some one, That moment you looked away from yourself.
Arundhati Roy, The Checkbook and the Cruise Missile: Conversations with Arundhati Roy|What made such a plan seem workable was that for the early pluralists and their multicultural descendants society would have fewer and fewer traditional groups. The kind of pluralist society that Dewey and Kallen envisaged would go beyond rooted ethnic communities. It would become the evolving creation of “free” individual participants, setting goals under scientiﬁc direction and having their material interests monitored by a “conductor state.” The world as conceived by pluralists was there to be managed and to be made culturally safe for its framers: Eastern and Central European Jews fearful of traditional Gentile mores and the uprooted descendants of New England Calvinists looking for the New Jerusalem under scientiﬁc management.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Doubt, fear and regret are the three villains of success. However, if you close the door on the first two, you will never have to worry about meeting the third.
Harshit Walia|A criminal mind needs consideration rather than the criminal itself. In truth, there are more criminals than those who committed a crime.
Susan Wingate, Drowning|[When asked about Writing Conferences]"You meet people that will change your life.
Anastasia Bolinder|Let us runaway to the aspirations we dream of in our childish moments, where magic is real and we are unstoppable.
Jim Ryun|The day when a sportsman stops thinking above all else of the happiness in his own effort and the intoxication of the power and physical balance he derives from it, the day when he lets considerations of vanity or interest take over, on this day his ideal will die.
Michael Ignatieff, Human Rights as Politics and Idolatry|...our species is one, and each of the individuals who compose it are entitled to equal moral consideration.
Sabrina Jeffries, How the Scoundrel Seduces|Any friend of my cousin's is a friend of mine, sir. How exactly do you know Lady Zoe?"Before Tristan could answer, Zoe jumped in. "We met at some party, did we not, Mr. Bonnaud?""Yes." Tristan forced a smile. "Clearly a very dull one, since neither of us can remember which one it was.
Donald Miller, A Million Miles in a Thousand Years: What I Learned While Editing My Life|Your tale, sir, would cure deafness.
Victor Hugo, Les Misérables|When there’s a vacuum of public input, lobbyists usually fill it. But when there’s public input, the people usually win.
Rick Riordan, The Blood of Olympus|Ah, Senor Zhang," Leo said, "you know how you're always saying, 'Leo, you are the only true genius among demigods'?""I'm pretty sure I never said that.
Hugh MacLeod, Evil Plans: Having Fun on the Road to World Domination|..The stuff you learn beforehand will never be one-tenth as useful as the stuff you learn the hard way, on the job.
Charles Stross, Saturn's Children|Although I am unconvinced that I desire life, I am not yet ready to embrace death.
Sophia Newtown|Man needs only a small patch of earth for his pleasures, and a smaller one still to rest beneath.
Elizabeth David, An Omelette and a Glass of Wine|Cookery means…English thoroughness, French art, and Arabian hospitality; it means the knowledge of all fruits and herbs and balms and spices; it means carefulness, inventiveness, and watchfulness.
Andrew S. Grove|I am aware always that the powers that be are so strong, we can not go headlong to pit our forces, it would be suicidal, so we had that position. Which Lenin himself said that 'it is not only foolish to launch an armed revolution but it is a leftist criminal adventurism when the people are not ready to support it.' The people are not ready, they don't even understand what we are talking about.. . . Yes, even socialism is not yet understood by people, much less communism. And the rich are very afraid of communism because it means confiscation of their wealth and liquidation of their lives.
Brad Paisley|I feel like when you have an unauthorized police badge and something that looks like it could be a concealed weapon in the small of your back that when you, someone crosses you, pisses you off, road rage, I think just the slight badge and the little moving away of the jacket and not losing eye contact does amazing things.
Annalee Newitz, Autonomous|How many times had Paladin looked into this human face, its features animated by neurological impulse alone? He did not know. Even if he were to sort through his video memories and count them up one by one, he still didn't think he would have the right answer. But after today's mission, human faces would always look different to him. They would remind him of what it felt like to suffer, and to be relieved of suffering.
Amit Kalantri|In the matter of spirit follow the Gods, in the matter of work follow the heroes.
Geoffrey Wood|Worst persons of the world those easily take lie wear of their child,For a sec they don't feel hesitation to put child life on risk for self.So how you can call them Human if even they Don't love their own child
Laurell K. Hamilton, Blood Noir|Isabelle!" he called again. "Let down your raven hair!'"Oh my God," Clary muttered. "There was something in that blood Raphael gave you, wasn't there? I'm going to kill him.
Mackenzie Herbert, Chasing Trains|Being in love changes a person…a modest touch changes one’s mind, a lone thought one’s reasoning, but a kiss my friend, well that changes one’s existences.
Jaachynma N.E. Agu|When your thought is right, your imaginations will be colourful; you will then dream and not have nightmares!
João Cabral de Melo Neto|Instead of the final judgement, what worries me is the final dream.
Rodney Dangerfield|What a kid I got, I told him about the birds and the bees and he told me about the butcher and my wife.
Matshona Dhliwayo|Count your summers, not your winters.
John Green, The Fault in Our Stars|I’m in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we’re all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we’ll ever have, and I am in love with you.
Annie Johnson Flint|Deep the waves may be and cold, But Jehovah is our refuge, And His promise is our hold; For the Lord Himself hath said it, He, the faithful God and true: "When thou comest to the waters Thou shalt not go down, BUT THROUGH." Seas of sorrow, seas of trial, Bitterest anguish, fiercest pain, Rolling surges of temptation Sweeping over heart and brain They shall never overflow us For we know His word is true; All His waves and all His billows He will lead us safely through. Threatening breakers of destruction, Doubt's insidious undertow, Shall not sink us, shall not drag us Out to ocean depths of woe; For His promise shall sustain us, Praise the Lord, whose Word is true! We shall not go down, or under, For He saith, "Thou passest THROUGH
Sengcan, Hsin Hsin Ming|When mind exists undisturbed in the Way, nothing in the world can offend, and when a thing can no longer offend it ceases to exist in the old way. When no discriminating thoughts arise, the old mind ceases to exist.
Nikki Rowe|Spiritual dating is your ticket to a happy, fulfilling love life.
Lailah Gifty Akita|What we think, we act.
Carroll Bryant, Last Flight Out|You know," Kavita begins, "I think I can pick out my own furniture. I am an artist after all. I do have some taste.""No you don't." Nick plainly states. "No man has taste. Besides, I didn't pick it out, she did. Wives are good for things like that.
Maureen Corrigan, Leave Me Alone, I'm Reading: Finding and Losing Myself in Books|I don't care much whether I ever get to know anything - but I want to work out something in figures - something that hasn't got to do with human beings. I don't want people particularly. In some ways, Henry, I'm a humbug - I mean, I'm not what you all take me for. I'm not domestic, or very practical or sensible, really.And if I could calculate things, and use a telescope, and have to work out figures, and know to a fraction where I was wrong, I should be perfectly happy, and I believe I should give William all he wants.
Jim Butcher, Changes|I'm not a Wiccan. I'm not big on churches of any kind, despite the fact that I've spoken, face-to-face, with an archangel of the Almighty.But there were some things I believed in. Some things I had faith in. And faith isn't about perfect attendance to services, or how much money you put on the little plate. It isn't about going skyclad to the Holy Rites, or meditating each day upon the divine.Faith is about what you do. It's about aspiring to be better and nobler and kinder than you are. It's about making sacrifices for the good of others--even when there's not going to be anyone telling you what a hero you are.Faith is a power of its own, and one even more elusive and difficult to define than magic.
Oksana Rus|My everlasting Summer fills heart with laughter like a blooming flower... Her diverse sounds is nature's symphony, sprinkle delight, with comfort of ocean breeze which needs no attest.. The unique every moment of soul's revival and its sun to shine...
Michael Richard Stosic, Thirty-Nine Days|My spiritual journey really started when I was a sophomore in High School. I came home from basketball practice one rainy evening and a friend of the family was waiting in the living room for me. He said he just wanted to talk to me for a minute or two. We went down stairs and he posed this question to me; “Michael, If you were to die tonight and to stand before God, why should He let you into heaven?
Laurel Thatcher Ulrich|An androgynous mind was not a male mind. It was a mind attuned to the full range of human experience, including the invisible lives of women.
Bruce Springsteen, Born to Run|There is no evidence of the soul except in tis sudden absence. A nothingness enters, taking the place where something was before. A night without stars falls and for a moment covers everything in the room.
William Pollard|Everything is a learning process: any time you fall over, it's just teaching you to stand up the next time.
Dean Koontz, Deeply Odd|To believe in coincidences, to believe in fate— it ties into the spiritual realm, to the idea that there is something universal out there, something looking out for you, watching over you, guiding you.
Jellis Vaes|In Nature, the purpose of life is to achieve a goal. In human terms, it is called happiness.
Avery Flynn, Brazen|I promise it'll only hurt half as much as I wish it would." The words came out as smooth and sweet as if she'd just told him that mint chocolate chip was the best flavor ice cream ever.
W. C. Fields|"Mommy  we're not going to be poor again  are we?" "Not as long as you have that rare blood type."
Ryan Holiday, Trust Me, I'm Lying: Confessions of a Media Manipulator|Today's media zoom their cameras in on and dedicate endless column inches to wars, disasters, famines, scandals, tragedies, and every form of evil. Things beautiful, wholesome and good, however, are less photogenic, so the works of God and His servants are rarely noticed.
Marilyn Monroe|If you can make a woman laugh, you can make her do anything.
Felix O. Hartmann, Dark Age|Sometimes we hold the world in our hands, but in our greed for more let it fall, losing everything that we once had.
Timur Vermes, Er ist wieder da|It was a country life, a precious existence.
Pico Iyer|I'm really not the party type. I more like to have friends over at the house and chill. I've never been the super party type. But for the 18th birthday, you got to party. And then 21 is going to be even bigger.
Tatsuhiko Takimoto, Welcome to the N.H.K.|Being alone is best. I mean, it's true, isn't it? In the end you'll be absolutely alone; therefore, being alone is natural. If you accept that, nothing bad can happen. That's why I shut myself away in my six-mat one-room apartment.
Milan Kundera, The Joke|It is easy, when you are young, to believe that what you desire is no less than what you deserve, to assume that if you want something badly enough, it is your God-given right to have it.
John Green, The Fault in Our Stars|Any thought which brings with it fear, worry, anxiety etc. should be immediately banished from the mind by replacing such thoughts with self-assuring, positive and energizing thoughts. This is called 'Quantum Mind' and it can work miracles in your life.
Florence Welch|If I can inspire people by showing that following a dream by working hard and being determined is possible, it's amazing.
Edgar Allan Poe|From childhood's hour I have not been. As others were, I have not seen. As others saw, I could not awaken. My heart to joy at the same tone. And all I loved, I loved alone.
Azim Premji|Mindsets, skills and leadership, experience and access, and critical consciousness - we need all four of these things for our students to be the leaders, people and citizens we want them to be.
Osho|The moment you become miserly you are closed to the basic phenomenon of life: expansion, sharing. The moment you start clinging to things, you have missed the target--you have missed. Because things are not the target, you, your innermost being, is the target--not a beautiful house, but a beautiful you; not much money, but a rich you; not many things, but an open being, available to millions of things.
Jean Webster, Daddy-Long-Legs|... in spite of being happier than I ever dreamed I could be, I'm also soberer. The fear that something may happen to you rests like a shadow on my heart. Always before I could be frivolous and carefree and unconcerned, because I had nothing precious to lose. But now -- I shall have a Great Big Worry all the rest of my life. Whenever you are away from me I shall be thinking of all the automobiles that can run over you, or the signboards that can fall on your head or the dreadful, squirmy germs that you may be swallowing.
Mohsin Hamid|I feel like a lot of the female relationships I see on TV or in movies are in some way free of the kind of jealousy and anxiety and posturing that has been such a huge part of my female friendships, which I hope lessens a little bit with age.
Israelmore Ayivor|And a young prince must be prudent like that,giving freely while his father livesso that afterwards, in age when fighting startssteadfast companions will stand by himand hold the line.
C.J. Mahaney, Living the Cross Centered Life: Keeping the Gospel the Main Thing|The personal desolation Christ is experiencing on the cross is what you and I should be experiencing--but instead, Jesus is bearing it, and bearing it all alone.Why alone?He's alone so that we might never be alone.
Michelle Hodkin, The Evolution of Mara Dyer|They lie, you know. It's not easier to ask for forgiveness. Not even a little.
Simon Higgins|Every day we all make little MISTAKES in life, but that doesn't mean we have to pay for them for the rest of our lives.Sometimes GOOD people make BAD choices, but that doesn't mean we are BAD people...It just means we are HUMAN!
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|Think of the principle as that precise moment you recall everything that makes you love that person: the number of times your partner makes you smile, comforts and supports you. During those times dig deep and shift your focus from whatever bad is happening today, at this minute, and appreciate every other day, hour and second that person spends being “the one.
Richelle E. Goodrich|A guilty conscience pushed me to try harder—which I did for what seemed like a tremendous amount of wasted time, staring bug-eyed at uncooperative pencils. What was missing? The answer seemed obvious—intense emotional incentive. But at the moment I didn’t feel desperate or angry or afraid. Just severely bored out of my mind and guilt-ridden for feeling so mind-numbingly b
Kitty Jose|Nurture the inside burn, for that is the key to your bliss,Bestow ecstasy to the neighbouring, get drunk in your freedom.Waltz away to life’s symphony, Breathe Free.
C.K. Walker, The Afterlife Experiment|When I awoke I was laying on the floor in a darkened room. The rope, like the very core of myself, had turned from snow white to a hot, unfamiliar red.
Lailah Gifty Akita, Think Great: Be Great!|Without a clear vision, you can be drifted to any shore.
Tasos Livaditis|You leave behind your fine poems.You leave behind your beautiful flowers. And the earth that was only leant to you. You ascend into the Light, O Quechomitl, you leave behind the flowers and the singing and the earth. Safe journey, O friend.
Carole Cummings|Malick to Jacin: "There is no trade anymore, you're not nothing, you didn't kill Caidi, you're going to be the most beautiful-dangerous Incendiary the gods have ever seen, and I fucking love you. Deal with it.
Ja Rule|I met Bill Clinton; he's a very nice guy. Yeah, Bill Clinton's cool.
Rick Riordan, The Sea of Monsters|Yeah, well,” Nico said, “not giving people a second thought…that can be dangerous.
Ramana Pemmaraju|Call it Irony or destiny of life, but the fact is I failed to make a living from what 'I loved doing the most' nor did I justify for what I was paid for!
Megan Fox|Few women, I fear, have had such reason as I have to think the long sad years of youth were worth living for the sake of middle age.
Anthony T. Hincks|When people wind you up, just remind them what happens to a piece of elastic.
Edward Fahey, Entertaining Naked People|Broken hearts show us we’ve grown out of one stage, by ripping us wide open for the next.We’re forced to choose what we do with all that pain: turn it against ourselves, aim it at someone else, or tap all that power and reach higher.
Bryan Stevenson, Just Mercy: A Story of Justice and Redemption|Unfortunately, mental health is so misunderstood that some people think you have to be crazy to need to speak to a therapist.
Euripides, Medea|Aleksar Greene was a boy I used to play with, he was my imaginary friend.
Demosthenes|My father described this tall lady who stands in the middle of the New York harbor, holding high a torch to welcome people seeking freedom in America. I instantly fell in love.
Sandra Lee|If I'm going to eat fast food, I'm going to McDonald's. I don't need to pretend.
Stephen R. Lawhead, Hood|It may be possible for each to think too much of his own potential glory hereafter; it is hardly possible for him to think too often or too deeply about that of his neighbor. The load, or weight, or burden of my neighbor's glory should be laid daily on my back, a load so heavy that only humility can carry it, and the backs of the proud will be broken. ... "It is in light of these overwhelming possibilities, it is with the awe and the circumspection proper to them, that we should conduct all our dealings with one another, all friendships, all loves, all play, all politics. There are no ordinary people. You have never talked to a mere mortal. Nations, cultures, arts, civilizations -- these are mortal, and their life is to ours as the life of a gnat. But it is immortals whom we joke with, work with, marry, snub and exploit. ... Next to the Blessed Sacrament itself, your neighbor is the holiest object presented to your senses.
Ben Kingsley|One is still what one is going to cease to be and already what one is going to become. One lives one's death, one dies one's life.
Suze Orman|You must recognize, embrace, and be honest about what is real for you today and allow that understanding to inform the choices you make. Only then will you be able to build the future of your dreams.
Alia Bhatt|I followed the same diet for 20 years, eliminating starches, living on salads, lean meat, and small portions.
Alex Turner|There's a hysterical, tired sense of humor that comes after working 14 hours a day, six days a week. I like those things because they take the pressure off the constant stress.
Tituss Burgess|To discuss a Martin Amis book, you must first discuss the orchestrated release of a Martin Amis book. In London, which rightly prides itself on the vibrancy of its literary cottage industry, Amis is the Steve Jobs of book promoters, and his product rollouts are as carefully managed as anything Apple dreams up.
Milton Friedman, Free to Choose: A Personal Statement|The ICC [Interstate Commerce Commission] illustrates what might be called the natural history of government intervention. A real or fancied evil leads to demands to do something about it. A political coalition forms consisting of sincere, high-minded reformers and equally sincere interested parties. The incompatible objectives of the members of the coalition (e.g., low prices to consumers and high prices to producers) are glossed over by fine rhetoric about “the public interest,” “fair competition,” and the like. The coalition succeeds in getting Congress (or a state legislature) to pass a law. The preamble to the law pays lip service to the rhetoric and the body of the law grants power to government officials to “do something.” The high-minded reformers experience a glow of triumph and turn their attention to new causes. The interested parties go to work to make sure that the power is used for their benefit. They generally succeed. Success breeds its problems, which are met by broadening the scope of intervention. Bureaucracy takes its toll so that even the initial special interests no longer benefit. In the end the effects are precisely the opposite of the objectives of the reformers and generally do not even achieve the objectives of the special interests. Yet the activity is so firmly established and so many vested interests are connected with it that repeal of the initial legislation is nearly inconceivable. Instead, new government legislation is called for to cope with the problems produced by the earlier legislation and a new cycle begins.
Miss Read, Village Diary|How lucky country children are in these natural delights that lie ready to their hand! Every season and every plant offers changing joys. As they meander along the lane that leads to our school all kinds of natural toys present themselves for their diversion. The seedpods of stitchwort hang ready for delightful popping between thumb and finger, and later the bladder campion offers a larger, if less crisp, globe to burst. In the autumn, acorns, beechnuts, and conkers bedizen their path, with all their manifold possibilities of fun. In the summer, there is an assortment of honeys to be sucked from bindweed flowers, held fragile and fragrant to hungry lips, and the tiny funnels of honeysuckle and clover blossoms to taste.
Luuvie Ajayi|Uncoincidentally, Instagram was also the first social-media platform to which the only sane reaction was hate.
|If you don't choose your daily words wisely, negative words wouldn't hesitate to choose a painful future for you.
Ava|keep following your heart.it won't always be easy, but it'll be the most important thing you'll do.
John Graves|-not only did he deplore the waste of words, he detested the moral lassitude with which they were wasted. To him, in whose throat the bone of displacement was forever stuck, it was wrong to talk about nothing when there was a perpetual shortage of words for all the horrible things that happened in the world. It was better to be silent than to say what didn't matter.
Leo Tolstoy, War and Peace|One must try to make one's life as pleasant as possible. I'm alive and it's not my fault, which means I must somehow go on living the best I can, without bothering anybody, until I die.''But what makes you live? With such thoughts, you'll sit without moving, without undertaking anything...''Life won't leave one alone as it is.
Joe R. Lansdale|Sir Mark Turner," he said. "I speak with the tongues of a thousand angels. Butterflies follow me wherever I go. Birds sing when I take a breath.
Molly Harper, Nice Girls Don’t Sign a Lease Without a Wedding Ring|Not one word about proposals, no matter how much she pushes,” I told my friends. “No matter what she says or how loud she cries, don’t try to throw that up as a distraction.”Gabriel’s lips twitched. “I don’t think it’s going to be that bad. It’s one woman against five supernatural creatures... And Zeb.”“You laugh because you haven’t heard my mother’s thirty-minute verbal dissertation on appropriate seasonal flower choices. We’re better off letting her yell at us for being dirty, premarital fornicators.
Orhan Pamuk|There's the argument that you can relate to someone who's completely unrelatable. In the way that a director shows you his imagination on a film, then I get to show you my imagination in a big dumb character.
Neil Cross|The Booker thing was a catalyst for me in a bizarre way. It’s perceived as an accolade to be published as a ‘literary’ writer, but, actually, it’s pompous and it’s fake. Literary fiction is often nothing more than a genre in itself. I’d always read omnivorously and often thought much literary fiction is read by young men and women in their 20s, as substitutes for experience.
AKA|Maybe it was clear that he cared about me, that he couldn't handle another risk, but in that moment the only thing that made sense was my anger. I might have even hated him for what he said about Grace, because hating him was so much easier than understanding him. He obviously felt the same way.
Anthony Liccione|A smile will go the mile, while a frown will take you down.
Lisa St. Aubin de Terán, The Palace the Palace|Like poetry, in times of intense emotion the image returns to me. Like poetry, it stroked my soul and, by turns, lulled and stoked my senses.
Barbara Kingsolver, Prodigal Summer|I hate all electronic toys: cell phones, e-mail, PalmPilots, handheld Global Positioning System equipment, and the whole raft of gadgets that intrude on solitude.When I was a kid I used to disappear into the woods all day. Now I can walk in the wilderness without wasting my valuable time. As I hike along I can call anyone in the world, schedule an appointment, take a picture of me standing next to a tree and then send the person a map so he or she can join me there. Solitude has been snuffed out.
John Burnside, A Lie About My Father: A Memoir|There are days when that dark face is something I can think of as a friend – a primal energy that carries me forward when nothing else will – but more often than not I am face-to-face with a stranger, a companion to something I recognise as myself, sure enough, but one who knows more than I do, thinks less of danger and propriety than I ever have or will, feels a cool and amused contempt for the rules and rituals by which I live, the duties I too readily accept, the compromises I too willingly allow (p. 262)
Poppet, Ryan|Now more than ever I wish I had a cup of oblivion. But there is no mercy for the people who have left the darkness for the light. The darkness lingers until you stand naked in the light and let it fill you up, in every corner of your soul.
Holly Hood|He pulled the gun from his waist, running it along my cheek and back down to my lips. I blinked back the tears at sick game. He finally stopped the gun at my temple, my pulse fighting against the pressure of the cold metal of the gun.“Do you think you are a good person, Kendall?”“No, not at all,” I said, swallowing down the misery of my honest answer.“Really?” he asked, one eyebrow lifting in confusion. “Are you afraid to die?”I wished I could spit in his face for making everything so hard. I wished he would just pull the trigger and end it already. But a small part of me was begging and pleading internally that he wouldn’t shoot me.“No, I’m not afraid to die,” I admitted, I closed my eyes and the tears fell quickly. “I’m not afraid of much in life. I’ve seen too much to be scared.”He let out a sigh. I opened my eyes. He pulled the gun away from me.“Well, damn. How the hell am I supposed to kill someone so miserable?”I looked away. Even in death I was pitiful.
Philippe Grimbert, Memory|...stories break silence and nourish those who work, feel, and dream.From Costa Rica: A Traveler's Literary Companion
Hermann Hesse, Siddhartha|He was pleased with everything that he did and learned and the days and months passed quickly. But he learned more from the river than Vasudeva could teach him. He learned from it continually. Above all, he learned from it how to listen, to listen with a still heart, with a waiting, open soul, without passion, without desire, without judgment, without opinions.
George R.R. Martin, A Dance with Dragons|The moon knows,” is what he says, breath colored in liquor and a smile.Louis stares at him.“What are you talking about?”Another manic grin from Harry, and then he pulls him in again, his hand travelling to the side of Louis’ face, cradling his cheek.“The moon knows that we’re in love.
Auberon Herbert|To eliminate statism is not to physically subdue the rulers, but to mentally liberate the ruled.
Hillary Rodham Clinton|In the bible it says you have to forgive seventy times seven. I want you all to know, I'm keeping a chart.
Tracy Brogan, Love Me Sweet|All he wanted was a long, hot shower and a long, deep sleep.	Meaning that whoever this pissed-off brunette was, whatever deal she'd arranged with his flaky mother, they could talk about it after he'd scrubbed the jungle from his skin and rinsed the shampoo from his hair.	"What do you mean it belongs to you? It can't belong to you. I just rented it," said the girl aiming that pink blow-dryer right at his heart.	If he wasn't so damn exhausted, he might find that funny. She was holding the thing as if it would protect her. It was a blow-dryer! He nodded at it. "What do you plan to do with that thing, honey? Style me to death?
Tom Giaquinto|If you wait for the perfect moment when all is safe and assured, it may never arrive. Mountains will not be climbed, races won, or lasting happiness achieved.
Tim Tebow, Through My Eyes|If I didn't work as hard as I could, then I think it would be a bit like saying, 'God, thanks for giving me this ability, but I don't really care about it. I'm going to do something else, and I'm not going to work quite as hard.
|Celebrate every new day you are alive to witness, because being among the living is a blessing that often disappoints some of the people who deserve it the most.
Charlotte Perkins Gilman, Herland|Woman" in the abstract is young, and, we assume, charming. As they get older they pass off the stage, somehow, into private ownership mostly, or out of it altogether.
Glenn Danzig|When I realized that my big dream was going to come true - 'Night Shift' was a success, 'Splash' was a success, I got the job to do 'Cocoon' - suddenly, I was underway. And I knew my name was rising up the lists. I was going to have a career. I was going to be able to direct movies until I screwed it up.
Lorna Jane Cook, Outside Wonderland|It was early in my career, and I had been seeing Mary, a shy, lonely, and physically collapsed young woman, for about three months in weekly psychotherapy, dealing with the ravages of her terrible history of early abuse. One day I opened the door to my waiting room and saw her standing there provocatively, dressed in a miniskirt, her hair dyed flaming red, with a cup of coffee in one hand and a snarl on her face. “You must be Dr. van der Kolk,” she said. “My name is Jane, and I came to warn you not to believe any the lies that Mary has been telling you. Can I come in and tell you about her?” I was stunned but fortunately kept myself from confronting “Jane” and instead heard her out. Over the course of our session I met not only Jane but also a hurt little girl and an angry male adolescent. That was the beginning of a long and productive treatment.
Mitch Kynock|We look wishfully to emergencies, to eventful, revolutionary times...and think how easy to have taken our part when the drum was rolling and the house was burning over our heads. -Ralph Waldo Emerson
Leonard Susskind, The Black Hole War: My Battle with Stephen Hawking to Make the World Safe for Quantum Mechanics|There is a philosophy that says that if something is unobservable -- unobservable in principle -- it is not part of science. If there is no way to falsify or confirm a hypothesis, it belongs to the realm of metaphysical speculation, together with astrology and spiritualism. By that standard, most of the universe has no scientific reality -- it's just a figment of our imaginations.
Frances Mayes, Under Magnolia: A Southern Memoir|Memory is capricious. I can look back and see decadence, old bigots, the constant racial slurs, the bores, the wild cards, the bighearted, the family album of alcoholics, the saints, the old aunt propped in a chair saying only "da-da," the slow-motion suicides, but at four, six, ten, they loomed, powerful, not as types but as themselves. Among them, logic takes wing." (pg. 31)
Isabel Allende, Portrait in Sepia|write with honesty and don't worry about the feelings of others, because no matter what you say, they'll hate you anyway.
Sherman Alexie, The Absolutely True Diary of a Part-Time Indian|There are all kinds of addicts, I guess. We all have pain. And we all look for ways to make the pain go away. (107)
Brian Staveley, The Last Mortal Bond|Her anger, so useful just moments before, was getting the better of her now. She could hear it; she was too loud. Nira had counseled her again and again on the importance of holding her tongue and her peace. Ironic, given the source, but good advice all the same.
Isaac Bashevis Singer, The Collected Stories of Isaac Bashevis Singer|If one knew the truth how could there be freedom? If hell and paradise were in the middle of the marketplace, everyone would be a saint.
Nick Hornby, The Polysyllabic Spree|Clockers" asks--almost in passing, and there's a lot more to it than this--a pretty interesting question: if you choose to work for the minimum wage when everyone around you is pocketing thousands from drug deals, then what does that do to you, to your head and to your heart? (Hornby's thoughts after reading "Clockers" by Richard Price)
Alice Jamieson, Today I'm Alice: Nine Personalities, One Tortured Mind|We have a mental health system that is dominated by political and hidden forces that keep us stagnated and unable to see real, lasting change.
George Bernard Shaw|Patriotism is, fundamentally, a conviction that a particular country is the best in the world because you were born in it....
Doug Ducey|When the players go home, I can't tell them what to do, so you need to create an atmosphere of trust. I don't want to think, 'What are they doing now? Do I need to call them?'
John Glenn|The first time I saw nitroglycerine was in the beginning of the Crimean War. Professor Zinin in St. Petersburg exhibited some to my father and me, and struck some on an anvil to show that only the part touched by the hammer exploded without spreading.
Friedrich Nietzsche, Thus Spoke Zarathustra|There's only one thing you can do: Toss your pebble in the river, watch it ripple, and know you have moved the ocean.
Eric Bana|It took me six months to redeem myself at least to have another chance to at least have her get to know me and let her know I was at least a decent guy and to give me a shot. And here we are, we've been married seven years.
Clint Eastwood|Harmony, liberal intercourse with all nations, are recommended by policy, humanity, and interest.
Lisa Kessler, Ice Moon|Once we were on the road, I glanced at my passenger. “If you’ve got any ideas about how I can get this shit storm cleared up, I’m all ears.”Tank snorted, sneezed, and lay down on the bench seat, plopping his head on my leg. I rested my hand on his back, eyes glued to the winding two-lane highway. “Yeah, I don’t have a goddamn clue either.
Mark Sanborn, Fred 2.0: New Ideas on How to Keep Delivering Extraordinary Results|Better is the most important step to becoming your best. If you want to be your best, you need to start by getting better. Start doing better. Good, better, best. That's how it works.
Robert Ferrigno, Sins of the Assassin|It is very annoying, when people notice your weak moments but never see your strong ones.
Lauren Lola, An Absolute Mind|Lay out your options, dismiss the ones that are of zero appeal, and focus on those that not only excite you, but make sense to you.
Usher|All cities do face similar, significant trends in the future... most importantly global warming and climate change.
Joshilyn Jackson, The Opposite of Everyone|I could feel the ghosts of all the girls I'd been behind me in the alleyway, creeping in my wake. I could almost hear my own footsteps as an echo. For a moment it was so real that I spooked myself. I stopped and turned to look. There was only silence and darkness. I walked on.
Taylor Rhodes, Sixteenth Notes: The Breaking of the Rose-Colored Glasses|It wasn't love, not quite, but it was almost there and it was desperate and I didn't know how to put it into words. It was the back and forth of him, the hot and cold, it made me crazy, made me feel crazy, and sanity never felt more pointless than when I was with him.
Steve Jobs|Whether religion is man-made is a question for philosophers or theologians. But the forms are man-made. They are a human response to something. As a historian of religions, I am interested in those expressions.
Charles G. Finney, The Circus of Dr. Lao|Whatsa mattah allee time talkee talk bear business? Me no savvee bear business. You no like this Gloddam show, you go somewhere else.
Stanley Elkin|Poverty, hatred, war, police-criminals, bureaucracy, insanity, all symptoms of The Human Virus.
Diane Duane, My Enemy, My Ally|Nobody played poker with Mike Walsh--at least, not twice--but people fought to get aboard Constellation. Her command record since Mike took her was almost the equal of Enterprise's for danger, daring, and success not only snatched from the jaws of failure, but afterward used to beat failure over the head.
Russell M. Nelson|It's a mystery. That's the first thing that interests me about the idea of God. If there is one, it's mysterious and powerful and awesome to even consider the concept, and you have to take it seriously.
Lora Leigh, Maverick|She couldn't turn away from the eyes that held her. Eyes as deep, as Dark as the night, yet there was something that sparked with warmth, that kept those eyes from being cold.
Galileo Galilei|Our body is a machine for living. It is organized for that, it is its nature. Let life go on in it unhindered and let it defend itself.
Melanie Jackson, Impression of Bones|(A middle-class child's) parents didn't just give him money. They passed down habits, knowledge, and cognitive traits.
Erica Alex|WOw, wow... so we are the same!?...Let's stop here as moment taken from your goldy life.
Peter David, Sir Apropos of Nothing|There are some for whom the good of mankind is their primary concern, and others who basically put their own considerations before everyone else. I was among the latter.
Lisa Brown Roberts, How (Not) to Fall in Love|Somewhere between right and wrong lies a garden surrounded by thorns, and I have met you there.
