Rand Olson, Children of Promise: The Ultimate Guide to Raising Healthy Kids|To enjoy true, vibrant health, increased awareness, effort, and focus are required.
Lailah Gifty Akita, Think Great: Be Great!|Great spirit, great-self.
Charles B. Handy|The moment will arrive when you are comfortable with who you are, and what you are– bald or old or fat or poor, successful or struggling- when you don't feel the need to apologize for anything or to deny anything. To be comfortable in your own skin is the beginning of strength.
David Pietrusza, 1960--LBJ vs. JFK vs. Nixon: The Epic Campaign That Forged Three Presidencies|Eleanor Roosevelt on the changes in John F. Kennedy that led her to drop her opposition to his nomination for president: "He has the qualities of a scholar, and a sense of history. I had the feeling that he was the man who can learn. I like him better than I ever had before because he seemed so little caulk-sure, and I think he has a mind that is open to new ideas.
Akilnathan Logeswaran|To weaken the body, remove blood. To weaken the character, remove struggle.
Diane Setterfield, The Thirteenth Tale|There’s an organic grocery store just off the highway exit. I can’t remember the last time I went shopping for food.” A smile glittered in his eyes. “I might have gone overboard.”I walked into the kitchen, with gleaming stainless-steel appliances, black granite countertops, and walnut cabinetry. Very masculine, very sleek. I went for the fridge first. Water bottles, spinach and arugula, mushrooms, gingerroot, Gorgonzola and feta cheeses, natural peanut butter, and milk on one side. Hot dogs, cold cuts, Coke, chocolate pudding cups, and canned whipped cream on the other. I tried to picture Patch pushing a shopping cart down the aisle, tossing in food as it pleased him. It was all I could do to keep a straight face.
Mark  Lawrence, Prince of Thorns|Tell me, tutor,' I said. 'Is revenge a science, or an art?
Marina Keegan, The Opposite of Loneliness: Essays and Stories|But it became clear very quickly that I'd underestimated how much I liked him. Not him, perhaps, but the fact that I had someone on the other end of an invisible line. Someone to update and get updates from, to inform of a comic discovery, to imagine while dancing in a lonely basement, and to return to, finally, when the music stopped.
Richard Matheson, What Dreams May Come|Not only did I rediscover every experience of my life, I had to live each unfulfilled desire as well—as though they’d been fulfilled. I saw that what transpires in the mind is just as real as any flesh and blood occurrence. What had only been imagination in life, now became tangible, each fantasy a full reality. I lived them all—while, at the same time, standing to the side, a witness to their, often, intimate squalor. A witness cursed with total objectivity.
Laura Miller, The Magician's Book: A Skeptic's Adventures in Narnia|A long time ago, I opened a book, and this is what I found inside: a whole new world. It isn't the world I live in, although sometimes it looks a lot like it. Sometimes, though, it feels closest to my world when it doesn't look like it at all. That world is enormous, yet it all fits inside an everyday object. I don't have to keep everything I find there, but what I choose to take with me is more precious than anything I own, and there is always more where that came from. The world I found was inside a book, and then that world turned out to be made of even more books, each of which led to yet another world. It goes on forever and ever. At nine I thought I must get to Narnia or die. It would be a long time before I understood that I was already there.
Vitruvius|Ask yourself, if there was to be no blame, and if there was to be no praise, who would I be then?
Matthew Quick, The Silver Linings Playbook|Of course I began to see Nikki, which was strange because I was staring into Danny's eyes, and Danny is a six-foot-three black man who looks nothing like my ex-wife.
M.T. Dismuke|The Zen Monk Kyō Has Changed His Name to Mujū Dōryū. I Wrote This Verse to Celebrate The Great Prospects That Lie Before HimUnwillingness to remain in the ruts of former Buddha patriarchs Unsurpassed aspiration and fierce passion to achieve the Way These are precisely the qualities found in a true Zen monk Attained the very moment you "have been there and back.
Albert Einstein|Basically, to lead without a title is to derive your power within the organisation not from your position but from your competence, effectiveness, relationships, excellence, innovation and ethics.
Frederick Weisel, Teller|Of course, when you fall out of love, it’s rarely about just one failure or one betrayal, is it? . . . How does it happen? All those things you once loved about each other are replaced by other things that remind you of something you hate until you’re always setting each other off, and what you share is a battleground. In the end, the failure turns out to be less about sex—which surprises most men—and more about loss of respect. One morning your partner looks at you across the bed and wonders at the waywardness of her own heart—how, she asks herself, can she feel such disdain for someone she once felt such love?
Janet Frame, Faces in the Water|Centering, however, is easier said than done. This I learned from a ceramics class I once took. The teacher made throwing a pot look easy, but the thing is, it takes lots of precision and skill. You slam the ball of clay down in the absolute center of the pottery wheel, and with steady hands you push your thumb into the middle of it, spreading it wider a fraction of an inch at a time. But every single time I tried to do it, I only got so far before my pot warped out of balance, and every attempt to fix it just made it worse, until the lip shredded, the sides collapsed, and I was left with what the teacher called “a mystery ashtray,” which got hurled back into the clay bucket. So what happens when your universe begins to get off balance, and you don’t have any experience with bringing it back to center? All you can do is fight a losing battle, waiting for those walls to collapse, and your life to become one huge mystery ashtray.
Bianca Giovanni, Revealed|So damn pigheaded. I’ve studied you, not to report you, Caspar, but because I want a relationship with you.
E.A. Bucchianeri|... The Book is more important than your plans for it. You have to go with what works for The Book ~ if your ideas appear hollow or forced when they are put on paper, chop them, erase them, pulverise them and start again. Don't whine when things are not going your way, because they are going the right way for The Book, which is more important. The show must go on, and so must The Book.
Mehmet Murat ildan, Galileo Galilei|The ‘stream’ we call science always flows forward; sometimes reactionary beavers block its flow, but the stream is never defeated by this; it accumulates, gathers strength; its waters get over the barrage and continue on their course. The advancement of science is the advancement of God, for science is nothing but human intelligence, and human intelligence is the most valuable treasure God has bequeathed us.
|You have to get busy with taking consistent actions instead of always living in fears and doubting your abilities. There is absolutely nothing less about you, so why dare to settle for less?
Theresa Lewis|Writing is Amazing!When I write I am empowered by my thoughts, entertained by my imagination, and enlightened by my wisdom.
Anamika Mishra, VoiceMates - A Novel|There's something about each of my books that I'm really proud of, and there's something about each of my books that I cringe over.
Jan Morris, Wales: The First Place|Why only one song, one speech, one text at a time?" - "When Our Lips Speak Together
Craig D. Lounsbrough|Rights’ are ‘privileges,’ and if I am arrogant enough to demand the former without respecting the latter I will lose both.
Molly Caldwell Crosby, The American Plague: The Untold Story of Yellow Fever, the Epidemic that Shaped Our History|Old age is catching up with me, or am I catching up with it?
Shannon L. Alder, 300 Questions to Ask Your Parents Before It's Too Late|It is not what you leave to your children that matters, but what you leave in them.
NeNe Leakes|Whatever success I may have attained is due to the fact that since I was old enough to work at all, my ambition has never deserted me.
Ray Kurzweil|In effect, the Internet is a global connection of interconnected computers. It has been described as truly a peer-to-peer system with many distributed nodes and no central point of control architecture.
Arjun Rampal|In mainstream romantic comedies, I'm usually tearing my hair out. It's just a devastatingly difficult genre for me.
Andrew Solomon, Far from the Tree: Parents, Children, and the Search for Identity|I've found what makes children happy doesn't always prepare them to be courageous, engaged adults.
Chanda Hahn, The Silver Siren|Just as I’m about to pull him closer to deepen the kiss, he breaks away. “I shouldn’t kiss you when you’ve been crying.” “Yes, you should.” “Yes, I should.
Aditya Ajmera|In success, people see only the product. But they do not know the details of the process.
Cristen Rodgers|Solitude is an unmarked place beyond the borders of the map, a place where most fear to tread. It’s no surprise, then, that this is where the greatest secrets and most valuable treasures are hidden.
Katee Sackhoff|Let me put it this way: when I read, I learned the world was not as small as my house. And that everybody in my home town was not representative of the way people in the world were raised. And that was what saved me.
Timi Nadela, Get To The Top|Success doesn't happen overnight. It takes hard work, dedication and keep your eyes on the prize. Don't look back.
John Flanagan, The Emperor of Nihon-Ja|I believe everything you say," Tessa said with a smile, her hands creeping down from his waist to his weapons belt. Her fingers closed on the hilt of a dagger, and she yanked it from the belt, smiling as he looked down at her in surprise. She kissed his cheek and stepped back. "After all," she said, "you weren't lying about that tattoo of the dragon of Wales, were you?
Brooke Hayward, Haywire|I can turn every "is" into "ought ".
Emma Richler, Be My Wolff|Love. Yes. That’s what I feel for you. Your smile makes me happy and your pain makes me hurt with you. Your unhappiness makes me unhappy. Your body makes me ache and you make me hard with need to be inside you. You are always on my mind and when I am not with you, I want you with me.
Daniil Kharms, Today I Wrote Nothing: The Selected Writings|There lived a redheaded man who had no eyes or ears. He didn’t have hair either, so he was called a redhead arbitrarily. He couldn’t talk because he had no mouth. He had no nose either. He didn’t even have arms or legs. He had no stomach, he had no back, he had no spine, and he had no innards at all. He didn’t have anything. So we don’t even know who we’re talking about. It’s better that we don’t talk about him any more.
Michael  Grant, Fear|Hi, Albert,” Quinn called back. He seemed distracted. And Albert was sure that he’d seen Quinn motion for someone to stay down.“How long is this supposed to go on?” Albert asked.“Until we get justice,” Quinn said.“Justice? People have been waiting for justice since the dinosaurs.”Quinn said nothing and Albert cursed himself for indulging in sarcasm. “What is it you want, Quinn? I mean in practical terms.”“We want Penny gone,” Quinn said.“I can’t afford to pay you any more,” Albert shouted back.“I didn’t say anything about money,” Quinn said, sounding puzzled.“Yeah, I know: justice. Usually what people really want is money. So why don’t we get down to it?”“Penny,” Quinn said. “She leaves town. She stays gone. When that happens we fish. Until it happens, we sit.” He sat down as if to emphasize his point.
Jim Caple|In sport the mind serves as the acolyte and apprentice of the body. Nothing interferes with the flow of the game more than the athlete who obsesses about his every move on the court. You move, you react, you recover, you drive, and the thinking is seamless and invisible in the secret codes of your game.
W. Somerset Maugham, Of Human Bondage|I know that I shall die struggling for breath, and I know that I shall be horribly afraid. I know that I shall not be able to keep myself from regretting bitterly the life that has brought me to such a pass; but I disown that regret. I now, weak, old, diseased, poor, dying, hold still my soul in my hands, and I regret nothing.
Bidemi Mark-Mordi|Guilt, fear, sin, doubt. Guilt, fear, sin, doubt. Guilt, fear, sin, doubt. That’s what religion is all about.
Addison Killebrew|We cherish reprobates, not for their cruelty, but for their little show of patronage.
Rusted Root|I'm a super hero, too, underneath my sweater.
Carolyn Lee Adams, Ruthless|When he unleashes on her everything falls together. Like a crick in the neck snapped into place, the boy's brain pops and is put right. It is a beautiful undoing, a beautiful becoming. He doesn't stop to think about it when the punches follow her down to the ground. He doesn't stop to notice when she goes still or when the pool of blood under her head pillows out into a great, liquid heart. He doesn't stop until he's pulled off her and he doesn't start to think again until that night, when he's back at home. For hours and hours his brain stays beautifully popped into place.
Robert Goddard|Photographs don’t discriminate between the living and the dead. In the fragments of time and shards of light that compose them, everyone is equal. Now you see us; now you don’t. It doesn’t matter whether you look through a camera lens and press the shutter. It doesn’t even matter whether you open your eyes or close them. The pictures are always there. And so are the people in them.
Brad Thor|I'm actually a perpetual 13-year-old. I've never advanced beyond 13. Every day, tomorrow is my 14th birthday. That's my kind of humor.
Renee Ahdieh, The Wrath and the Dawn|In what world did you think you could get away with this?" Jalal seethed. "To my cousin? To my family?" His gleaming hilt continued its punishing onslaught.
Craig D. Lounsbrough|Humility is the greatest shaper of souls and crafter of character, for it wipes away all the grandiose things that we spend so much of our lives pretending to be, so that we can spend all of our lives being the exceptional person that we were actually created to be.
Anne Rampling, Belinda|Thank you for letting me hijack your wish', I said.'Thank you for wearing that dress which is like whoa," he said.
N.R. Walker, Spencer Cohen, Book Two|And without my consent, with my defences in ruins, while my brain was sleeping, my stupid heart went and fell headfirst into love.
C.F.W. Walther, Law & Gospel: How to Read and Apply the Bible: A Reader's Edition|...according to God's Word, we should not give a singe drop of evangelical consolation to those who are still living in sin. ON THE OTHER HAND, we should not address the slightest threat or rebuke to the broken hearted--but only promises delivering consolation and grace, forgiveness of sin and righteousness. Life and salvation.
Bryant McGill|With God, all things are possible- including, dominating adulthood, swimming upstream for life, and living in light of eternity in a world that tells you all you can do is live for the moment.
Michael Bassey Johnson|You think it's all obvious and straightforward, this world. But really, it's all in who is doing the looking.
Charles Simic, The World Doesn't End|I love America," he'd tell us. We were going to make a million dollars manufacturing objects we had seen in dreams that night.
Jeaniene Frost, Halfway to the Grave|You’d better not be messing with me. I like you, but if you’re feeding me a load of shit just to get some action, I’m going to plug a big silver stake right through your heart.(Cat)
Dietrich Bonhoeffer|...do we realize that this cheap grace has turned back upon us like a boomerang? The price we are having to pay today in the shape of the collapse of the organized Church is only the inevitable consequence of our policy of making grace available to all at too low a cost. We gave away the word and sacraments wholesale, we baptized, confirmed, and absolved a whole nation unasked and without condition. Our humanitarian sentiment made us give that which was holy to the scornful and unbelieving. We poured forth unending streams of grace. But the call to follow Jesus in the narrow way was hardly ever heard. Where were those truths which impelled the early Church to institute the catechumenate, which enabled a strict watch to be kept over the frontier between the Church and the world, and afforded adequate protection for costly grace? What had happened to all those warnings of Luther's against preaching the gospel in such a manner as to make men rest secure in their ungodly living? Was there ever a more terrible or disastrous instance of the Christianizing of the world than this? What are those three thousand Saxons put to death by Charlemagne compared with the millions of spiritual corpses in our country today? With us it has been abundantly proved that the sins of the fathers are visited upon the children unto the third and fourth generations. Cheap grace has turned out to be utterly merciless to our Evangelical church.
Carrie Underwood|If you're looking to be loved for a part, it's great and enticing to be adorable in a romantic comedy. But then, as an actor, you get stuck.
Rachel Kushner|I do have a responsibility, but I would make the most boring films in the world if I woke up every morning worrying about my social responsibility.
Velma Wallis, Two Old Women: An Alaskan Legend of Betrayal, Courage and Survival|There were two choices in life. Survive or succumb. And most people weren’t even conscious of the path they chose. Because they chose for all the wrong reasons. Love, principles, dreams, desire. The world hadn’t changed. It had always been survival of the fittest.
Trey Songz|After Apollo 17, America stopped looking towards the next horizon. The United States had become a space-faring nation, but threw it away. We have sacrificed space exploration for space exploitation, which is interesting but scarcely visionary.
C. JoyBell C.|I am my own biggest critic. Before anyone else has criticized me, I have already criticized myself. But for the rest of my life, I am going to be with me and I don't want to spend my life with someone who is always critical. So I am going to stop being my own critic. It's high time that I accept all the great things about me.
Muddy Waters|When I was five years old, my parents gave me a drum set for Christmas. My mom played the piano, and Dad played the saxophone badly. But that Christmas morning, I remember we all played together, and I thought it was the greatest day ever.
Jamie Dimon|We designed a number of features from the ground up, like custom display and optics technology with very high refresh rates and pixel density. We added integrated 3-D audio, a built-in microphone so you can speak to friends inside virtual worlds, and precise mechanical adjustment systems.
Catherynne M. Valente, Under in the Mere|Abram: .. One [Sentient] often believes it best to choose the higher path over the companionship of another. But, this circumstance draws to mind a point which Seers might forget to easily.Lily: What's
Ashwin Sanghi|Yes, 'Aagadu' was a failure. I was dejected for a couple of months, since there was a lot at stake.
Domonique Bertolucci, The Happiness Code: Ten Keys to Being the Best You Can Be|Most of the things that go wrongin life don’t have a lasting impact.Remind yourself that if it won’tmatter in ten years’ time,it doesn’t matter today.
Steve Earle|Country music especially can get very formulaic - you know, you have to have your verses and a bridge and a chorus, and a lot of the songs are written as just plain and simple poetry on the road.
Peter Carlaftes|Life was messy, filled with countless worries, questions—what ifs. The real question was not how a person conquered the what ifs, but how one learned to live in spite of them—even when faced with the reality that the answers weren’t always pretty.
Parker J. Palmer, The Courage to Teach: Exploring the Inner Landscape of a Teacher's Life|Science requires an engagement with the world, a live encounter between the knower and the known.
Gediminas T. Jankunas, The Dictatorship of Relativism: Pope Benedict XVI's Response|I am a Jewish mother. My dying words will be, “Put a jumper on
Joann I. Martin Sowles|He wondered if perhaps, subconsciously, he was trying to sabotage her efforts by setting the bar too high, trying to keep her with him longer; but surely his subconscious wasn't that stupid?
Margaret Mitchell|This is what happens when you look back to happiness, this pain, this heart-break, this discontent
Danu Morrigan, You're Not Crazy - It's Your Mother! Understanding and Healing for Daughters of Narcissistic Mothers|When you‟re taught from birth that you don‟t matter in any way, that your wants and even needs are irrelevant, then of course you‟ll struggle to value yourself.
Hilary Duff|People are going to say what they want to say and think what they want to think, and I can't change their minds.
Richelle E. Goodrich, Smile Anyway|We always feel the brunt of the blow dealt to us, but hardly ever do we feel the impact we have on others. Why is that?
Adam Smith|A multicultural society does not reject the culture of the other but is prepared to listen, to see, to dialogue and, in the final analysis, to possibly accept the other's culture without compromising its own.
Keri Wyatt Kent, Deeper into the Word: Reflections on 100 Words From the New Testament|But in every church there are people who, for reasons which seem sufficient to them, do not approve of their pastor and seek to harry him and bully him into some condition pleasing to themselves. The democracy which the Reformation brought into the Christian Church rages in their bosoms like a fire; they would deny that they regard their clergyman as their spiritual hired hand, whom they boss and oversee for his own good, but that is certainly the impression they give to observers.
Philip K. Dick, Radio Free Albemuth|They’re only askin’ you to do one thing. From what Rogue says, you ain’t exactly reluctant.”“F**k myself into a coma. Sure, I can do that. Then what?”“Uh, wait an hour?
Kathleen Norris, The Quotidian Mysteries: Laundry, Liturgy and Women's Work|What we perceive as dejection over the futility of life is sometimes greed, which the monastic tradition perceives as rooted in a fear of being vulnerable in a future old age, so that one hoards possessions in the present. But most often our depression is unexpressed anger, and it manifests itself as the sloth of disobedience, a refusal to keep up the daily practices that would keep us in good relationship to God and to each other. For when people allow anger to build up inside, they begin to perform daily tasks resentfully, focusing on the others as the source of their troubles. Instead of looking inward to find the true reason for their sadness - with me , it is usually a fear of losing an illusory control - they direct it outward, barreling through the world, impatient and even brutal with those they encounter, especially those who are closest to them.
Alice Walker, Horses Make a Landscape Look More Beautiful: Poems|If this were a courageous country,it would ask Gloria to lead itsince she is sane and funny and beautiful and smartand the National Leaders we've always hadare not.When I listen to her talk about women's rightschildren's rightsmen's rightsI think of the long line of Americans who should have been president, but weren't.Imagine Crazy Horse as president. Sojourner Truth.John Brown. Harriet Tubman. Black Elk or Geronimo.Imagine President Martin Luther King confrontingthe youthful "Oppie" Oppenheimer. Imagine PresidentMalcolm X going after the Klan. Imagine President StevieWonder dealing with the "Truly Needy."Imagine President Shirley Chisholm, Ron Dellums, orSweet Honey in the Rockdealing with Anything.It is imagining to make us weep with frustration,as we languish under real estate dealers, killers, and bad actors.
Joyce Meyer|Are you living up to your potential? God made you with potential - potential for greatness! If you do what you can do, and trust Him to do what you can't, you will grow into the person He gave you the potential to be!
Mani S. Sivasubramanian, How To Focus - Stop Procrastinating, Improve Your Concentration & Get Things Done - Easily!|Sure, zombies can “be a metaphor.” They can represent the oppressed, as in Land of the Dead, or humanity’s feral nature, as in 28 Days. Or racial politics or fear of contagion or even the consumer unconscious (Night of the Living Dead, Resident Evil, Dawn of the Dead). We could play this game all night.But really, zombies are not “supposed to be metaphors.” They’re supposed to be friggin’ zombies. They follow the Zombie Rules: they rise from death to eat the flesh of the living, they shuffle in slow pursuit (or should, anyway), and most important, they multiply exponentially. They bring civilization down, taking all but the most resourceful, lucky and well-armed among us, whom they save for last. They make us the hunted; all of us.That’s the stuff zombies are supposed to do. Yes, they make excellent symbols, and metaphors, and have kick-ass mythopoeic resonance to boot. But their main job is to follow genre conventions, to play with and expand the Zombie Rules, to make us begin to see the world as a place colored by our own zombie contingency plans.
G. Ernest Smith|There's a lot going on in Marquis' book, as the author smartly builds off a solid premise...A fresh concept and protagonist that breathe life into a conventional but exciting actioner."--Kirkus Reviews
Mary E. DeMuth, Everything: What You Give and What You Gain to Become Like Jesus|We don’t like death. We’d rather produce seeds another way. But death to ourselves, our agendas, our expectations, our hopes is necessary to find deep joy that comes when we fully relinquish ourselves to the gospel.
Kate Kerrigan, Recipes for a Perfect Marriage|Realistically, it's a risk, I suppose, but in this day and age, you almost have to choose between freedom, which can devolve into chaos, and security, which can become a pair of shackles.
Rhonda Hughe St. John, Soul Chaser: In the Mortal and Immortal Souls Series 1|When we surrender completely to our Higher Self and we remember that we are Divine Beings, that we are Human Angels, the illusion of having limits vanishes and everything, including miracles, becomes possible in the name of Love.
Ashlee Simpson|The more one does and sees and feels, the more one is able to do, and the more genuine may be one's appreciation of fundamental things like home, and love, and understanding companionship.
Robert Pinsky|I've always written. There's a journal which I kept from about 9 years old. The man who gave it to me lived across the street from the store and kept it when my grandmother's papers were destroyed. I'd written some essays. I loved poetry, still do. But I really, really loved it then.
Libba Bray, Going Bovine|It is our suffering that brings us together. It is not love. Love does not obey the mind, and turns to hate when forced. The bond that binds us is beyond choice. We are brothers. We are brothers in what we share. In pain, which each of us must suffer alone, in hunger, in poverty, in hope, we know our brotherhood. We know it, because we have had to learn it. We know that there is no help for us but from one another, that no hand will save us if we do not reach out our hand. And the hand that you reach out is empty, as mine is. You have nothing. You possess nothing. You own nothing. You are free. All you have is what you are, and what you give.
Sarah Addison Allen, The Peach Keeper|Maybe he was overwhelmed, like I am overwhelmed, by that mysterious intersection where love meets luck, where fate meets will. Because he'd been waiting for her. And there she was.
Jennifer DeLucy|It occurred to me to look up and around at the stars in the clear sky, at the trees in the dark, at the half moon. I was missing them because I was caught in my head. I wasn't living right now. I was thinking to the future, to the past. I wasn't present. This is one of my greatest weaknesses, and one I have a greater realization of, only because I allowed some of my past to die so that my present could rush in to fill it.
Lenny Bruce|The only honest art form is laughter, comedy. You can't fake it...try to fake three laughs in an hour -- ha ha ha ha ha -- they'll take you away, man. You can't.
Tayyab Nawaz Sulehri|your wealth and so called status can not earn real respect for you in the society , if you are characterless (have no purity).
Glenda Millard, A Small Free Kiss in the Dark|I’m lonely, and he can see it. Maybe everyone can see it.
John Jakes|What you say and how you look does not define who you are,because some of the most beautiful people do the ugliest things.You owe it to the people who hate you, who disrespect you and who put you down,because they’re the ones who have made you who you are today,for keeping your head up and not breaking down when they want you to.
Atal Bihari Vajpayee|There is a mutual interest between Israel and the United States of America. It is more than friendship - it is friendship plus mutual interest, and it is bipartisan.
Cheryl Barker, Mother of the Bride: Refreshment and Wisdom for the Mother of the Bride|You’ve spent her whole life holding her. Whether cradled in your arms as a baby or wrapped in your embrace as a young woman, she’s been yours to have and to hold, Mother of the Bride—until now. Now the time has come to let her go, to let herbegin her own family and pledge her allegiance to another.
Baba Tunde Ojo-Olubiyo|I'm lazy, I like to do it right the first time.
Isabel Allende, Portrait in Sepia|Mediante la fotografía y la palabra escrita intento desesperadamente vencer la condición fugaz de mi existencia, atrapar los momentos antes de que se desvanezcan, despejar la confusión de mi pasado.
V.C. Andrews, Flowers in the Attic|We all have to love you, and believe inyou, and think you are looking out for our best interests. But look at us, Momma, and really see us.
Levon Peter Poe|It is in difficult times we must remember that whatever burden we carry,it can make us stronger and build more character in us.We don’t grow from an easy life. Ease makes us like cattle sitting in the field and grazing.Existing without purpose or drive or desire.When pain or complications come to us, that is when we must become ALIVE.Our intellects begin to function at full power.We have desire and drive and acquire the power to CREATE solutions to these complications.We are no longer cattle. We stand up and become MEN of action!
G.K. Chesterton, Orthodoxy|To the Buddhist or the eastern fatalist, existence is a science or a plan, which must end up in a certain way. But to a Christian, existence is a STORY, which may end up in any way. In a thrilling novel (that purely Christian product) the hero is not eaten by cannibals; but it is essential to the existence of the thrill that he MIGHT be eaten by cannibals. The hero must (so to speak) be an eatable hero. So Christian morals have always said to the man, not that he would lose his soul, but that he must take care that he didn't. In Christian morals, in short, it is wicked to call a man "damned": but it is strictly religious and philosophic to call him damnable.All Christianity concentrates on the man at the cross-roads. The vast and shallow philosophies, the huge syntheses of humbug, all talk about ages and evolution and ultimate developments. The true philosophy is concerned with the instant. Will a man take this road or that? - that is the only thing to think about, if you enjoy thinking.
|It is impossible not to live miserably if one chooses to frequently focus on one's disappointments, mistakes, failures, weaknesses, difficulties, and people's negative opinions.
Timothy J. Keller, The Reason for God: Belief in an Age of Skepticism|Like it or not, it's the society we live in. Even the standard of right and wrong has been subdivided, made sophisticated. Within good, there's fashionable good and unfashionable good, and ditto for bad. Within fashionable good, there's formal and then there's casual; there's hip, there's cool, there's trendy, there's snobbish. Mix 'n' match.
Armin Navabi, Why There Is No God: Simple Responses to 20 Common Arguments for the Existence of God|Scriptures may have grains of historical truth within them, but there is also ample hyperbole, speculation and mythology.
Molly Friedenfeld, The Book of Simple Human Truths|If we could all love each and every person that crosses our path a little bit more, we could attain inner peace with the knowledge that many people on this planet would be hurting a whole lot less.
Ludwig von Mises, Liberalism|Against what is stupid, nonsensical, erroneous, and evil, [classical] liberalism fights with the weapons of the mind, and not with brute force and repression.
William Shakespeare, The Tempest|We are such stuff as dreams are made on, and our little life is rounded with a sleep.
Zlata Filipović, Stolen Voices: Young People's War Diaries, from World War I to Iraq|It (politician) wants to separate them. And to do so it has chosen the worst, blackest pencil of all - the pencil of war, which spells only misery and death.
Karen A. Baquiran|There is a deeper reason why the café was so precious to this town. And this deeper reason has to do with a certain pride that had not hitherto been known in these parts. To understand this new pride the cheapness of human life must be kept in mind. There were always plenty of people clustered around a mill – but it was seldom that every family had enough meal, garments, and fat back to go the rounds. Life could become one long dim scramble just to get the things needed to keep alive. And the confusing point is this: All useful things have a price, and are bought only with money, as that is the way the world is run. You know without having to reason about it the price of a bale of cotton, or a quart of molasses. But no value has been put on human life; it is given to us free and taken without being paid for. What is it worth? If you look around, at times the value may seem to be little or nothing at all. Often after you have sweated and tried and things are not better for you, there comes a feeling deep down in the soul that you are not worth much.
Lailah Gifty Akita, Think Great: Be Great!|No one can foretell the details in a day, we can only hope.
Robyn Davidson|If you know your life chances are greatly reduced, should you be in a position to take out life insurance if that knowledge is not available to the insurers?
Casi McLean|The greatest thing about dreams is they don’t expire. They can lay dormant for years and when you pull them out and dust them off, they shine like new.
Gift Gugu Mona|One day I asked God to move the mountain ahead of me, but he said no because he wanted me to experience the joy of being on a mountain top.
Pat Robertson|Animals, in their generation, are wiser than the sons of men; but their wisdom is confined to a few particulars, and lies in a very narrow compass.
Roshan Sharma|Everything that you wish to know, or desire for life, exists in you. All you have to do is take your attention inward and begin your search within.
Flannery O'Connor, Mystery and Manners: Occasional Prose|It is when the individual's faith is weak, not strong, that he will be afraid of an honest fictional representation of life; and when there is a tendency to compartmentalize the spiritual and make it resident in a certain type of life only, the supernatural is apt gradually to be lost.
Ashraf Barhom|Mass communication, radio, and especially television, have attempted, not without success, to annihilate every possibility of solitude and reflection.
Thomas Mann, Doctor Faustus|This old, folkish layer survives in us all, and to speak as I really think, I do not consider religion the most adequate means of keeping it under lock and key. For that, literature alone avails, humanistic science, the ideal of the free and beautiful human being.
Barack Obama, Dreams from My Father: A Story of Race and Inheritance|Now get the fuck up off the ground so I can put you in it... like a coffin. Because you'll be fucking dead after I kill you, you fucking asshole.
Jean Elson, Gross Misbehavior and Wickedness: A Notorious Divorce in Early Twentieth-Century America|Nina could scarcely believe a house could be as quiet as the one on Washington Street. Although there were moments when she missed her children, her main response to living apart from her husband was relief…[H]er current solitude was not just a respite, it was a time to contemplate her future options. Nina marveled that she had choices to consider.
Carrie Ann Ryan, Prowled Darkness|He kissed her softly. "I think we both need time to get to know one another before we make love again. I don't want to rush things.""But mating us so we're connected for all eternity isn't rushing things?
Tamara L. Chilver|[Put] on your oxygen mask first. We cannot give our children something we don't have ourselves. I encourage you to make a commitment to having a quiet time with God every day. This may involve some sacrifices, such as waking up ten minutes earlier, turning off the morning news for a few minutes, or finding time alone, but I can promise that the results will be worth it.
Adyashanti, The Way of Liberation|Experience is a master teacher, even when it’s not our own.
B. Dave Walters|I'm not saying it's going to be easy; I'm saying it's going to be worth it. If it was easy, you would've done it by now
James B. Stockdale|Aw, you goddammed bastards! They're shootin' him while he's down! Son of a bitch!"The ship stopped moving, and Alex said in a quiet voice, "Suck on this, asshole."The ship vibrated for half a second, then paused before continuing toward the lock."Point defense cannons?" Holden asked."Summary roadside justice," Alex grunted back.
Roger Schank|Certain things need to be done again and again in life, but those things can be learned only in context, not as an abstraction. Different contexts must be provided in order to motivate students and to provide real world skills that will be remembered, not because they were studied and tested but because they were practicied again and again.
Kilroy J. Oldster, Dead Toad Scrolls|A person devoted to attaining self-realization would be foolish to ignore the well-intended advice of people whom care about them. Although it is essential for each of us to seek individual growth, other people can offer astute personal observations that might otherwise elude us.
Lydia Zinovieva-Annibal, The Silver Age of Russian Culture: An Anthology|It's good to be mad for someone, but that's great if you are made for same one.
Ellen J. Barrier|People who like their job will give it their best. Those who don't, show it by a poor performance.
Margot Robbie|I'm very happy to be part of a generation where you don't have to say that you're gay. It's just like, 'I'm dating a dude,' or, 'I'm dating a girl,' and I love it. I think it's a great time.
Vicki Pettersson, The Taken|It's a very old word, it means 'to breathe into.' That's how it works: An angel breathes into men and shows us what to play, what to draw. How to find the truth of who we are and why we are here.
Rachel Caine, Fade Out|Sure,” she said, and hugged the laptop bag closer. “What could go wrong?”Michael’s eyes flashed to meet hers in the rearview mirror.Besides everything, I mean,” she said.
Rati Tsiteladze|Turning your back on nothing and walking away is not disloyal, it's self respect.
