Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
Ana Claudia Antunes|? Reviews are for readers AND authors. It’s a good way of learning from what people think about the work. Being it good or bad. A book might as well be hurt by a bad, poorly written review. That’s such a pity. Some people don’t know how to express themselves, and maybe that’s why they are just readers and not writers, others read a book like chewing a cupcake. That’s too bad. If that was not your cup of tea, leave it there, untouched. Don’t go bash the author for that. But if you really hate the book, why bother telling others. It’s your problem after all. You can give constructive opinions but don’t blame the author for your different tastes and views. Also authors shouldn’t comment on reviews, it sounds unprofessional, even silly. Some busy writers don’t even have time to read what other people say about their work. If someone enjoyed your book, or not, that is irrelevant. If you will continue or not to write something else it doesn´t add to the plate.. Besides, why bother commenting on a review, just read it and shut up. Being it good or bad. So my opinions about authors commenting on reviews is just my opinions after all!
Susan C. Young|The importance of reviewing is apparent and proven. However, the majority of people do not do it in their own lives. Do you want to live your best life now? Take deliberate action and begin to REVIEW where you have been, where you are now, and where you would like to be.
Craig D. Lounsbrough|Either we are running ‘from’ what we fear, or running ‘to’ what we fear. The former is a choice driven by fear, the latter is an action inspired by it.
Debasish Mridha|Expect success, abundance, and happiness. You will attract only that which you expect.
A. Zavarelli, Stutter|Don’t deny me what’s mine, Brighton.
David Hieatt, Do Purpose: Why Brands with a Purpose Do Better and Matter More|In simple terms, the success of a business is calculated in numbers. The more you expose your ideologies, products and services to the world, the more you are likely to get potential clients. Hence expose your business to the world now and build an audience that will lead to potential buyers.
Anthony Marais, Delusionism|Love should never be too much or too less, yet it cannot be measured.
Aron Ra|Another problem with the view that you don’t need God to believe that murder is wrong is that a lot of people haven’t shared your view. And you don’t have to go back very far in history to prove this. In the twentieth century millions of people in Communist societies and under Nazism killed about one hundred million people—and that doesn’t count a single soldier killed in war. So, don’t get too confident about people’s ability to figure out right from wrong without a Higher Authority.
Amelia Earhart|Since you haven’t got a name,” he said. “I guess you can pick one for yourself. Would you like to pick one for me to write down?”She stopped rocking and looked at him. “I can do that? It’s legal and everything?”He smiled. “It’s a free country again,” he said. “At least in theory.”She nodded. “And when I pick a name it can be any name I want?”He nodded.“What’s your name?”“Victor,” he said. “Vic, for short.”“Okay,” she said, leaning forward and taking the pad from under his large thing hands. “How do you spell that?”He spelled it and she wrote it down. Her handwriting was perfectly small and legible. “Can I be Victor, too?” she said, looking up from the pad.He smirked. “It’s a boy’s name,” he said. “You’re a girl. You have to add an i and an a to the end if you want to make it a girl’s name.”She looked down at the name she had written and added the letters i and a to the end. “Victoria,” she said, passing the notepad back to the cop.“Hello, Victoria,” he said, smiling, taking the pad and pen back and presenting his hand for a shake. “It’s nice to meet you, officially.
John Gardner, On Becoming a Novelist|When a chap is passionate, the readership can sense it.
Victoria Schwab, This Savage Song|You wanted to feel alive, right? It doesn't matter if you're monster or human. Living hurts.
Tom Conrad, Depressed|I am not depressed; my life is just shit. As a consequence of my not being depressed, I am not like them. You need to know this from the very off. You need to know I, Arch Fry, will not allow myself to be neatly pigeonholed, erroneously labelled or closed off in some tidy little box - one to be shelved away and conveniently forgotten about. No, I am not depressed: NOT. DEPRESSED.You see, I’m just not stuck in some deep unassailable chasm like all the rest, like all these other poor fuckers who’ve so readily accepted that noose of a word.
Debra Anastasia, Poughkeepsie|True love, the kind that lasts forever, is very rare indeed. It takes compromise, continued growth, and trust.
Yann Martel, Life of Pi|Hindus, in their capacity for love, are indeed hairless Christians, just as Muslims, in the way they see God in everything, are bearded Hindus, and Christians, in their devotion to God, are hat wearing Muslims.
Charles Haddon Spurgeon, Barbed Arrows From the Quiver of C.H. Spurgeon|There are enough in the novelty business without us; and we have something better to do. We have to give an account unto our God of what we do and say, and if we have been murderers of souls, it will be no excuse that we flourished the dagger well, or that when we gave them poison we mixed the draught cleverly, and presented it with poetical phrases.
Thomas Hardy, Tess of the D'Urbervilles|My eyes were dazed by you for a little, and that was all.
Adele          Rose, Shattered|Well…it’s whether you want to face certain death by taking a risk on the other route or almost certain death by scaling the walls?” she replied. “Therefore, for me, considering our options, it’s a no brainer.
Kathleen Bittner Roth, Alanna|Sometimes love cut so deep it causes terrible pain, or crossed paths with the joy of his present experiences.
Ama H. Vanniarachchy|Humanity need not be taught in schools, it is a gift and skill one should master.
Benny Bellamacina, Piddly Poems for Children|Always walk as if you’re running late, it’s healthier.
Robert Louis Stevenson, Treasure Island|Adventure, like beauty, is very much in the eye of the beholder.
Tim Crawshaw, So, You Want to Be Rich... But Jesus Doesn't.|The meaning of life in western secular society is to be successful. So many people are success mad and they are encouraged to reach for something and have so called "worthwhile goals". Money, fame, power, good looks, possessions are the indicators of success and the media and advertising companies exploit this. People are conditioned to believe that they can only feel happy or good about themselves if they have these things. This of course is not true.
Ofra Haza|Once every lunar eclipse, you should be able to see me smile!
Tim Fargo|Your friends will believe in your potential, your enemies will make you live up to it.
Kurt Elling|Just because you're married doesn't mean that you have to spend 24/7 together and can't have separate interests and hobbies. In a healthy relationship, you both understand - and respect - that you need time apart doing what you want to do.
John Zakour, The Flaxen Femme Fatale|HARV, can you help at all here?” I asked, spinning downward.“I am writing your obituary. Well, not so much writing it as updating it,” HARV told me.If I lived, I was going to kill HARV.
Diane Paulus|How can we educators claim credit for understanding, let alone teaching, the 'global mind' without a single course on the impact of religion on every day life?
Lynn D. Ahbonbon|Gen Y's work best in groups, collaboratively, transparently, interactively and entrepreneurially - and have already created positive change in many local communities and around the world.
Tracy Hickman, War of the Twins|Keep your heart infinitesimally small and sorrow will never spy it, never plunge, never flap away with your heart in her claws.
Brad Meltzer, The Inner Circle|In this world, there was nothing scarier than trusting someone. But there was also nothing more rewarding.
Marilynne Robinson, Gilead|There is more beauty than our eyes can bear, precious things have been put into our hands and to do nothing to honor them is to do great harm.
J.S.B. Morse, Chaos and Kingdom: A Financial Thriller|You eat the wealthy, sir, and it will be your last meal.
Eka Kurniawan, Beauty Is a Wound|Heaven. You. Your beauty and peace. In all small details. From which, I bite with hunger, small seconds revealed...on this Earth. You Heaven. I am longing after you continously, with so much hunger, with so much missing...craving after you and full with the hope and the desire to get more seconds from you Today. Next hour. Next minute. You...Heaven. The love and beauty and everything that addresses you with everything. You...Heaven.
Alain de Botton|Loneliness makes us more capable of true intimacy if ever better opportunities do come along. We might be isolated for now, but we'll be capable of far closer, more interesting bonds with anyone we do eventually locate. 
Lydia Millet, How the Dead Dream|Hi! handsome hunting manFire your little gun.Bang! Now the animalis dead and dumb and done.Nevermore to peep again, creep again, leap again,Eat or sleep or drink again. Oh, what fun!
Deborah Sandella|The head is in charge of thinking; the heart is in charge of feeling; and the spirit realizes the creative, infinitely thriving power of life while imagination acts as translator and synthesizer.
Voltaire, Philosophical Dictionary|Tolerance. In all my years of debating politics and religion no mind was changed with derision and no thought convicted by way of harshness. You have no right to demand tolerance while deriding others and their beliefs in the process. Want tolerance? Extend it. You’ll be surprised because given it, people will actually listen.
Nevea Lane|To write is to stand at the edge of a bottomless well, unafraid of falling in.
Rahul Bodkhe|Be tuned with song of your life, and that song must be beyond the reality
Debasish Mridha|Love is the only asset, when you give it away you feel happy and when you receive it back you feel happy.
Hazel Gaynor, The Cottingley Secret|With the rumble of the waterfall in the distance, I slipped into sleep and dreamed of a red-haired girl holding a posy of white flowers. The words of Mr. Noyes's poem crept from the pages of my picture book and tiptoed into my mind. "Then you blow your magic vial, / Shape it like a crescent moon, / Set it up and make your trial, / Singing, 'Fairies, ah, come soon!
Evelyn Waugh, Decline and Fall|Oh, why did nobody warn me?" cried Grimes in agony. "I should have been told. They should have told me in so many words. They should have warned me about Flossie, not about the fires of hell. I've risked them, and I don't mind risking them again, but they should have told me about marriage. They should have told me that at the end of that gay journey and flower-strewn path were the hideous lights of home and the voices of children.
Dorothy Parker, The Complete Poems of Dorothy Parker|In youth, it was a way I had,To do my best to please.And change, with every passing ladTo suit his theories.But now I know the things I knowAnd do the things I do,And if you do not like me so,To hell, my love, with you.
Robin S. Sharma|In the conversation about women in leadership, male voices are noticeably absent.
Tate Flynn|If I had one wish,for who I could be,I would be a fishafloat in the sea...
G.K. Chesterton|Until we consider animal life to be worthy of the consideration and reverence we bestow upon old books and pictures and historic monuments, there will always be the animal refugee living a precarious life on the edge of extermination, dependent for existence on the charity of a few human beings.
David Byrne|I never was that boy who loved gangster films, but when I was growing up, I was obsessed with the detective Dick Tracy. It was one of my favourite movies as a kid, and he really inspired me. I would have loved to be part of that golden age of Hollywood in the 1940s. It made me want to become an actor.
Khang Kijarro Nguyen|The future is simple. The future is simple, I can hold it i the palm of my hand; and the present is just a matter of endurance, detachment, and a sense of humor.
Dada Vaswani|We do not create marriage from scratch. Instead, in the elegant language of the marriage ceremony, we 'enter into the holy estate of matrimony.'
Rick Hanson, Buddha's Brain: The Practical Neuroscience of Happiness, Love, and Wisdom|Mindfulness gives us the power to understand our deep connection with the trees, flowers, stars, sun and the moon.
Robert Thier, In the Eye of the Storm|He grabbed my chin, pulling me towards him. 'In my dreams,' he told me, his voice still as hard and cold as an iceberg, 'more interesting things happen. Things that involve the two of us'.
Chris Prentiss, Be Who You Want, Have What You Want: Change Your Thinking, Change Your Life|The world actually is a mirror, and as you change, you will see everything around you changing as well as mirroring your changes.
Patrick Rothfuss, The Wise Man's Fear|What about falling?' I asked. 'If you fall, you fall.' Elodin shrugged. 'Sometimes falling teaches us things too. In dreams you often fall before you wake.
Upasana Saraf|For children, parents are a yardstick for normalcy.
Robert Doisneau|Well I guess I like variety pretty much, but I do enjoy this work very much. Particularly with Buddy on the gig, we get a chance to knock each other out It'just wonderful.
Max Brooks, World War Z: An Oral History of the Zombie War|In bad times, a king or a queen can be a rock for the waters to crash against, so those less strong are not washed away. I will be such a rock. Only give me a chance, sweet Zoria, and I will be a rock for my people.
Israelmore Ayivor, Daily Drive 365|Stop punishing yourself for things not accomplish yet in life. As long as there is life, there is hope. It is important for you to value who you are by the grace of God. Now, get set to improve that value!
Amy Jarecki, Highland Knight of Rapture|Love was like a stock, Lizzie realized. You gambled on its paying off in the long run—but it could just as easily cost you everything.
R. Buckminster Fuller|When I am working on a problem, I never think about beauty........ but when I have finished, if the solution is not beautiful, I know it is wrong.
Mark Cuban|We need to revise our economic thinking to give full value to our natural resources. This revised economics will stabilize both the theory and the practice of free-market capitalism. It will provide business and public policy with a powerful new tool for economic development, profitability, and the promotion of the public good.
Ifeanyi Enoch Onuoha|As the leaves randomly fell, she contemplated how they sacrificially gave up their essence to sustain new life. Or was it the tree’s sacrifice? Each leaf was a part of Gaia’s play. Their final act: to decompose so a new level of soil could be made, an earthen writing tablet for the next layer of history to be recorded. One generation became the groundwork for the next. Ashes to ashes, dust to dust. Nothing was exempt, not even the leaves.
Shiv Khera, You Can Win: A Step by Step Tool for Top Achievers|Schools are a fountain of knowledge: some students come to drink , some to sip and others just to gargle.
Mohit Chauhan|We all know how we can be turned around by a magic place; that's why we travel, often. And yet we all know, too, that the change cannot be guaranteed. Travel is a fool's paradise, Emerson reminded us, if we think that we can find anything far off that we could not find at home.
Sarah Benamer, Trauma and Attachment|And I knew then that there would be no telling me what he saw. I understand somehow that certain images, certain sounds, could not be shared and could not be lost.
Lisa Gardner, Live to Tell|She swung her fist at Nicolae’s head. He raised an arm to block the blow, and she delivered a killing stab with her wooden dagger.Nicolae laughed, staggering dramatically to the ground. “Dead, again, at the hands of the ugliest girl in creation.” He stuck out his tongue, face contorted in a grimace.Lada kicked him in the stomach. “I am no girl. Who is next?”The other Janissaries, gathered in a loose circle around Lada and Nicolae, shuffled their feet and avoided eye contact. Nicolae pushed himself up on an elbow. “Really? Cowards!”“I still have bruises from the last time.”“I cannot sit without pain.”“She fights dirty.”Ivan did not even respond, having never forgiven Lada for besting him when they were introduced. He refused to fight her and rarely acknowledged her presence.Lada laughed, showing all her sharp teeth. “Because when you are on the battlefield, honor will mean so much. You will die with a blade between your ribs, secure in the knowledge that you fought with manners.” She picked up her dull practice sword, abandoned on the edge of the circle, and swung it through the air, sweeping it across the line of the Janissaries’ collective throats.
Neal Shusterman, Challenger Deep|When he touches a wall the ooze grows thicker, drawn to his and as if he's become a gravity well for the darkness - and it occurs to me that the dark must be in love with the light. Yet one must always kill the other.
Alex Honnold|My mom is my biggest support and critic. I've tried to be a good son, and I don't think I've given her a single day of grief. I want her to know she has my unconditional love.
Tony Thomson, Eat Your Heart Out, Ho Chi Minh: Or Things You Won't Learn at Yale|I felt ridiculously self-conscious, like the stick of celery at a luxurious buffet.
Mahalia Jackson|Throughout history, Hanukkah was a relatively minor festival, but it's become very popular in America due to its proximity to Christmas.
Françoise Sagan|I have loved to the point of madness; that which is called madness, that which to me, is the only sensible way to love.
Brooke McKinley, Shades of Gray|I worry about setting myself up to fail, about letting people down. If I don’t try for a better life, then I don’t have to worry about disappointing anybody. […] You’d be disappointing yourself, though, wouldn’t you, by not taking the chance?
Billy Graham, Billy Graham in Quotes|Will a loving God send a man to hell? The answer from Jesus and His teachings of the Bible is, clearly, “Yes!” He does not send man willingly, but man condemns himself to eternal hell because . . .he refuses God’s way of salvation and the hope of eternal life with Him.
Jonathan Franzen, How to Be Alone|She has never understood, nor been able to relate to a herd mentality. She doesn't get along with followers and avoids the bandwagon. She marches to her own tune and does it alone. She's despised by the weak-minded and respected by the strong. She ruffles the feathers of the flock because she champion's the defenseless and pick's on the mob. Does she wish she could not give a damn and live an ordinary life surrounded by nodding and needy ordinary people? At times...but she'd be bored out of her mind when she's never bored alone, and because of that she's patient because a couple of times in a lifetime she's lucky enough to come across a memorable, magnetic and remarkable person - one worth knowing, even if just for the brevity of a conversation.
Mensah Oteh, The Good Life: Transform your life through one good day|For long-term success, invest 5-10% of your time each day and 5-10% of your income each month in increasing your wisdom.
Fred Durst|I believe music should reflect yourself in some way and not just yourself at the given time. I feel that when you die or when you're going, someone's supposed to listen to that music and know everything about you. And I just try to get that across.
Jacqueline Carey, Kushiel's Chosen|Well, I was living it, but a shared dream half-lived is a hollow thing
Denise Hildreth Jones, Secrets Over Sweet Tea|I have only known you about five months. But you know every piece of my life, all the ugly details. Now I'm asking you to trust me with yours—not because I want to know your stuff, but because I want to know you. What made you this amazing woman that you are, this woman that I've grown to admire and love. I want to know her story.
Kim Dotcom|I was in art school, and we had all these random classes. We'd listen to a lot of Bollywood. I'd listen to Spanish music - and I don't even speak Spanish, but Hector Lavoe is amazing - we listened to French music like Edith Piaf. She's tight. I like cool vocal inflections; I like cool sounds. I pretty much listen to anything I think is good.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Embrace wisdom and relentlessly pursue joy, and you can live agelessly.
Bangambiki Habyarimana, Pearls Of Eternity|When something or someone you dearly love is snatched away from you, something of you go with it. You become emotionally amputated
Jack D. Zipes, The Irresistible Fairy Tale: The Cultural and Social History of a Genre|The human mind is like a fertile ground were seed are continually being planted. The seeds are opinions, ideas, and concepts. You plant a seed, a thought grows, and it grows. The word is like a seed and the human mind is so fertile!
Tony Robbins|As time goes by and you're getting older and stuff like that - getting older sucks. You know, I hear all this crap about, 'Oh, you can age with dignity.' Really?
Akiko Busch, Geography of Home: Writings on Where We Live|Home was truly the best place he could possibly be, but, alas, was not an available option.
Jennifer Lopez|Adoptive parents are taking on enormous responsibility, both emotionally and financially. Quite frankly, they need as much disclosure as possible about the child's background and health to assure the best fit and be prepared.
Ilona Andrews, Clean Sweep|…Late at night, when the hour is none, I dream the dreams of the damned.
Brandon Sanderson, Steelheart|I know, better than anyone else, that there are no heroes coming to save us. There are no good Epics. None of them protect us. Power corrupts, and absolute power corrupts absolutely.
Stephen L. Carter, Back Channel|In spite of his Cold War credentials, Kennedy still believed in the power of words.
Miguel de Unamuno|Faith which does not doubt is dead faith. -Miguel de Unamuno, philosopher and writer (1864-1936)
Mizuki Mizushiro, サイコメ 1 殺人鬼と死春期を|Most of his face had been hidden by long, greasy bangs, and he mumbled in a low voice that made him difficult to understand. From what little Kyosuke had been able to make out, Usami had killed one person, but he mostly spent his time at the podium reciting strange names that Kyousuke didn't recognize like Jeffrey Dahmer and Ed Gein... Maybe they're actors?
Aleksandar Hemon, The Lazarus Project|When I look at my old pictures, all I can see is what I used to be but am no longer. I think: What I can see is what I am not.
Ali Benjamin, The Thing About Jellyfish|A jellyfish, if you watch it long enough, begins to look like a heart beating. It doesn't matter what kind: the blooded Atolla with its flashing siren lights, the frilly flower hat variety, or the near-transparent moon jelly, Aurelia aurita. It's their pulse, the way they contract swiftly, than release. Like a ghost heart-- a heart you can see right through, right into some other world where everything you ever lost as gone to hide. Jellyfish don't even have hearts, of course-- no heart, no brain, no bone, no blood. But watch them for a while. You will see them beating.
J.A. Konrath, The List|I think guns are just a symbolic substitute for male genitalia, and I’m okay in that respect.” “Fine. If they get in the house, you can whack them with your genitals.
Jasper Fforde, The Eyre Affair|If there is any hell more unprincipled than our rulers, and we, the ruled, I feel curious to see it.
Sun Tzu, The Art of War|5,6. The Moral Law causes the people to be in complete accord with their ruler, so that they will follow him regardless of their lives, undismayed by any danger.
Lynne Olson, Citizens of London: The Americans who Stood with Britain in its Darkest, Finest Hour|The further you go, the more you're going to need the people you started with.
Arthur Wing Pinero|The future is only the past again, entered through another gate.
Criss Jami|We are not as some people like to assume nowadays 'just being real' by embracing passively the sinful, fallen versions of ourselves. Quite the opposite really: our true selves were, from the beginning, intended to resemble the example which was then set by Christ Jesus; hence God wants to restore us to how we would have been had original sin never once befell.
Patty Hearst|We should see the leadership from the White House setting dates certain for certain goals of achieving greater alliance on alternative and renewable energy sources, but we are not.
Roshan Sharma|The deep Feminine, the mystery of consciousness, She who is life, is longing for our transformation as much as we are. She holds back, allowing us free reign to choose, nudging us occasionally with synchronicities, illness, births and deaths… But when we make space for Her, she rushes into all the gaps, engulfing us with her desire for life and expression. This is what She longs for, this is what we are for: experiencing the Feminine through ourselves. We simply need to slow down, and find where to put our conscious attention. And it is this, this willingness to look again, this willingness to put consciousness onto our places of unconscious, to express what we have always avoided, which starts the process of unblocking, so that She may flow through.
Kami Garcia, Beautiful Creatures|A complex world of intrigues and power play among couples hascombined to deny young people the love and attention they trulydeserve, more and more teenagers are leaving home to peer up withbad influence which eventually lands them in jail for the lucky onesand six feet under for the not so lucky.
Margaret Sanger|I've reached a point in my life where it's the little things that matter... I was always a rebel and probably could have got much farther had I changed my attitude. But when you think about it, I got pretty far without changing attitudes. I'm happier with that.
Paul LePage|I've learned that most of gay America is coupled up, or looking to be. No wonder gay marriage has such traction. So many of us are already in it, so of course we want the legal benefits.
Winston Groom, Forrest Gump|Bullets an stuff be flying all over. It is something I simply cannot understand - why in hell is we doing all this, anyway? Playing football is one thing. But this, I do not know why. Goddamn.
Julius Evola, Revolt Against the Modern World|America's health care system is second only to Japan, Canada, Sweden, Great Britain, well ... all of Europe. But you can thank your lucky starts we don't live in Paraguay!
John Mark Green|Who was it that hurt you,stole light out of your eyes?Cut a hole in your heartand let the love drain dry?Who was so damn careless,to leave you with such scars?Where will you find healing?Right here, within my arms.
Donald L. Hicks, Look into the stillness|I am telling you now: I might be young, but I am good. I work hard, and I'm a good person. I know what's right. I know what's wrong. And if you give me this chance-- if you just give me one shot to show you how good I can be, how hard I work, how much I believe in doing the right thing -- I won't let you down. I promise.
German Proverb|If we have any role at all, I think it’s the role of optimism, not blind or stupid optimism, but the kind which is meaningful, one that is rather close to that notion of the world which is not perfect, but which can be improved. In other words, we don’t just sit and hope that things will work out; we have a role to play to make that come about.
Archibald Marwizi, Making Success Deliberate|You are in obscurity when you are still needed but no one cares a lot what you say or think, or even where you are working from. You have no voice or presence that makes you relevant. Grow your voice.
Hillel F. Damron, Very Narrow Bridge|Good literature boils down to two things: How interesting is the story you are telling, and how interesting is your telling.
Dove Cameron|It's easy to forget, as a leader, that when employees don't get the wide view, not only does the point of their work escape them, but it can also lead to real frustration. It's hard to feel pride and ownership when you don't understand where things are going.
Jennifer Kacey, Zeke’s Surprise|Luminet males had definite differences from human ones. They were taller, generally bigger, their bones were denser, but the really big difference was the ability to elongate their tongues. She'd heard about it even before Aeron, but actually feeling it...
Farshad Asl|I'm an expert at failure. That's how I succeeded. Failure fuels success, as long as you fail forward.
L. Sydney Fisher, The Haunting of Natalie Bradford|Gavin tried not to stare at the lobster. He decided not to inquire further. Whatever Jack's reasoning, best to accept that crustaceans were necessary to his view of the world.
George Carlin|If you try to fail, and succeed, which have you done?
Eva Rice, The Lost Art of Keeping Secrets|Men, I thought, were more trouble than they were worth. Really, one should stick to books where one sees the hero coming a mile off.
Archibald Marwizi, Making Success Deliberate|When you have pictured and defined your desired legacy, allow your present life activities and efforts to begin reflecting the future you desire. Begin to do what you want to see, become involved in the causes you want to be a part of. Show your legatees how you want and expect things to be done after you are gone. This will enable them to fit the vision into their own as they make their own individual unique mark.
Ezra Taft Benson|If you wish to reach the highest, begin at the lowest.
Dani Shapiro, Still Writing: The Perils and Pleasures of a Creative Life|To some people, there is no noise on earth as exciting as the sound of three or four big fan-jet engines rising in pitch, as the plane they are sitting in swivels at the end of the runway and, straining against its brakes, prepares for takeoff. The very danger in the situation is inseparable from the exhilaration it yields. You are strapped into your seat now, there is no way back, you have delivered yourself into the power of modern technology. You might as well lie back and enjoy it.
Ruth Klüger, Still Alive: A Holocaust Girlhood Remembered|I fell on my feet and found my bearings because of these. I could talk to them. They listened and answered, for or against, but always weighing what they had heard, unlike my mother, who used language for manipulation, not to express an opinion or state a fact. What sounded like a fact might be a lie, and every opinion was tailored for the moment.
Yuval Noah Harari, קיצור תולדות האנושות|The capitalist and consumerist ethics are two sides of the same coin, a merger of two commandments. The supreme commandment of the rich is ‘Invest!’ The supreme commandment of the rest of us is ‘Buy!’ The capitalist–consumerist ethic is revolutionary in another respect. Most previous ethical systems presented people with a pretty tough deal. They were promised paradise, but only if they cultivated compassion and tolerance, overcame craving and anger, and restrained their selfish interests. This was too tough for most. The history of ethics is a sad tale of wonderful ideals that nobody can live up to. Most Christians did not imitate Christ, most Buddhists failed to follow Buddha, and most Confucians would have caused Confucius a temper tantrum. In contrast, most people today successfully live up to the capitalist–consumerist ideal. The new ethic promises paradise on condition that the rich remain greedy and spend their time making more money and that the masses give free reign to their cravings and passions and buy more and more. This is the first religion in history whose followers actually do what they are asked to do. How though do we know that we'll really get paradise in return? We've seen it on television.
Anthony Powell, A Dance to the Music of Time: 1st Movement|The more a man judges, the less he loves
Leonie Swann, Three Bags Full|Man can't handle the chaos. Oh, you can understand it in the abstract, as long as you don't think about it too hard. But at the core of it, whenever humans come against chaos, they deal with it in one of three ways. ... Faced with chaos you will either ignore it, dance around it, or you will go mad.
Jaeda DeWalt|I was not brought up to know the Earth in intimate detail. No one I can remember from my childhood ever suggested that the land I lived on and was surrounded by contained anything important to me. My sense of kinship was connected to my house, my bedroom (my one almost personal space), my family, and my friends. I had no conscious sense of connection to the wild; the closest I came was that I deeply loved the trees in our small suburban backyard.
William Petty|It's not that I don't value my life. It's just that I love taking chances, testing myself, stepping over the line.
Jenna Blum, Those Who Save Us|A true home is one of the most sacred of places. It is a sanctuary into which men flee from the world’s perils and alarms. It is a resting-place to which at close of day the weary retire to gather new strength for the battle and toils of tomorrow. It is the place where love learns its lessons, where life is schooled into discipline and strength, where character is molded.Few things we can do in this world are so well worth doing as the making of a beautiful and happy home. He who does this builds a sanctuary for God and opens a fountain of blessing for men.Far more than we know, do the strength and beauty of our lives depend upon the home in which we dwell. He who goes forth in the morning from a happy, loving, prayerful home, into the world’s strife, temptation, struggle, and duty, is strong--inspired for noble and victorious living. The children who are brought up in a true home go out trained and equipped for life’s battles and tasks, carrying in their hearts a secret of strength which will make them brave and loyal to God, and will keep them pure in the world’s severest temptations.
Ella Dominguez, Continental Life|Above her like this, he was a warrior god, hot and hard, demanding complete submission.
Shannon L. Alder|It wasn’t because you weren’t beautiful, talented, funny, creative or had everything in common. It was because some men prefer plain vanilla ice cream. It’s predictable and a safe choice. Confident and adventurous men prefer the complexity and layers of a sundae, even the ones sprinkled with a little bit of nuts on top.
Billy Graham, Billy Graham in Quotes|God promises no easy life or days without troubles, trials, difficulties, and temptations. He never promises that life will be perfect. He does not call His children to a playground, but to a battleground.
J.D.  Jordan, Calamity: Being an Account of Calamity Jane and Her Gunslinging Green Man|I was the luckiest girl. Don’t you think because I didn’t have no proper man or husband I was anything else. Wasn’t no place I’d rather be than right there. Even now, I pine for that uncomfortable rock. Because he was watching over me and loneliness was some far off thing, echoing off the Rock from other folks. Wasn’t nothing could ruin it for me.
J.K. Rowling, Harry Potter and the Order of the Phoenix|Yeah, Quirrell was a great teacher. There was just that minor drawback of him having Lord Voldemort sticking out of the back of his head!
Becca Ann, Reasons I Fell for the Funny Fat Friend|I had been so mad at him when I left, I'd given them back. All except for the one that stuck to the bottom of the jar.He smiled. "They're at home, waiting.""For what?"His eyes glittered. "That, I cannot say.
Hanns Eisler|Music is the doorway that has led me to drawing, photography, and writing.
Deborah Grace Staley, What The Heart Wants|After Arthur sent me away for my own good, it' like my life switched from color to black and white--like the ending of The Wizard of Oz.
Debasish Mridha|Love, compassion, and patience bring peace.
William Shakespeare, Hamlet|Where love is great, the littlest doubts are fear; Where little fears grow great, great love grows there.
Bono|Now that virtually every career is an option for ambitious girls, it can no longer be considered regressive or reactionary to reintroduce discussion of marriage and motherhood to primary education. We certainly do not want to return to the simplistic duality of home economics classes for girls and wood shop for boys.
Madeleine L'Engle, A Circle of Quiet|The creative impulse can be killed, but it cannot be taught...What a teacher can do...in working with children, is to give the flame enough oxygen so that it can burn. As far as I'm concerned, this providing of oxygen is one of the noblest of all vocations.
Amelia C. Gormley, Saugatuck Summer|I shrugged uncomfortably, leaning my head against hers, almost forgetting Mr. Gardner’s presence as Mo and I fell into that sort of exclusionary, near-telepathic best-friends communion. She knew that I would argue that I wasn’t ashamed, but that I hadn’t quite figured out how to truly mean it when I held my head up high. My entire life, people had been telling me to keep it down and stop being an embarrassment. So, I was still in that “fake it ’til you make it” stage, hoping genuine pride would come if I pretended confidence long enough. For now, I was relying on bravado and a complete lack of give-a-fuck to carry me through.
Alexa Land, Against the Wall|Every Friendship in my life is as a Gift and have more value then every Pearl in this World, money is for to use, but a human in a Friendship is a treasure to take care and to be Proud, many go for money and never meet the value of life.
Christina Rossetti|See, winners embrace hard work.
Azar Nafisi, Things I've Been Silent About: Memories|All our lives my brother and I were caught by the fictions my parents told us—fictions about themselves as well as others. Each wanted us to judge the other in his or her favor. Sometimes I felt cheated, as if they never allowed us to have a story of our own. It is only now that I understand how much their story was also mine.
Raymond D. Longoria Jr.|In having compassion for another's Spiritual blindness, I can learn to Forgive myself.
Stebby Julionatan|Love does not only need a taste, but it also needs a present.
Jeremy Goldman, Going Social: Excite Customers, Generate Buzz, and Energize Your Brand with the Power of Social Media|‎What color is a chameleon placed on a mirror?...The chameleon responding to its own shifting image is an apt analog of the human world of fashion. Taken as a whole, what are fads but the response of a hive mind to its own reflection?In a 21st-century society wired into instantaneous networks, marketing is the mirror; the collective consumer is the chameleon.
Lynne McTaggart, The Field: The Quest for the Secret Force of the Universe|Integrity is the recognition of the fact that you cannot fake your consciousness, just as honesty is the recognition of the fact that you cannot fake existence.
Counting Crows|Monday is the day of silence, day of the whole white mung bean, which is sacred to the moon.
Shaeri Richards, Dancing with Your Dragon: The Art of Loving Your Unlovable Self|I like the feeling of hunger for it reminds me of all those hundreds of months without you.Missing you, thinking of you, like a friendly lonely thin tiger smelling the slip of a season into a new season.
Patience Johnson, Why Does an Orderly God Allow Disorder|Stop telling God what you want to have , He is going to use what you have left to give you what you need.
Walter Tevis, The Man Who Fell to Earth|Do you realize that you will not only wreck your civilization, such as it is, and kill most of your people; but that you will also poison the fish in your rivers, the squirrels in your trees, the flocks of birds, the soil, the water? There are times when you seem, to us, like apes loose in a museum, carrying knives, slashing the canvases, breaking the statuary with hammers.
