Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Scott Weiland|You just have to be prepared because in the Premier League, you are not always going to have more than once chance to score. When it comes your way, you have to be ready to take that chance. If you're not calm, you know it might not come again.
David Josiah Brewer|One of my favorite places I've visited is Havana, Cuba. On my way home from Costa Rica, I did a week in Havana. The colors, the music, the beautiful men and the cars! I love vintage and antique cars and own a couple myself.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Just as a prism refracts light differently when you change its angle, each experience of love illuminates love in new ways, drawing from an infinite palette of patterns and hues.
Maggie Stiefvater, The Dream Thieves|You don't have to do this," Ronan said."There isn't anything else, man.""There's reality."Kavinsky laughed the word. "Reality! Reality's what other people dream for you.""Reality's where other people are," Ronan replied. He stretched out his arms. "What's here, K? Nothing! No one!""Jus
Candace Bushnell, Sex and the City|There are worse things than being thirty-five, single, and female in New York. Like: Being twenty-five, singled, and female in New York. It's a rite of passage few women would want to repeat. It's about sleeping with the wrong men, wearing the wrong clothes, having the wrong roommate, saying the wrong thing, being ignored, getting fired, not being taken seriously, and generally being treated like shit. But it's necessary.
Lailah Gifty Akita|Many a mess, but greater the grace of mercy.
Rollo May, The Courage to Create|Poets may be delightful creatures in the meadow or the garret, but they are menaces on the assembly line.
Albert Einstein|Harry — I think I've just understood something! I've got to go to the library!”And she sprinted away, up the s
Christopher Bond|If the childhood obesity epidemic remains unchecked, it will condemn many of our kids to shorter lives, as well as the emotional and financial burdens of poor health.
Sanhita Baruah|It will be foolish not to get your heart broken, even once.For having a broken heart makes you realize the immense capability it possesses to mend and heal itself and to love far more intensely,with every affixed piece of it that was once broken and torn apart..
James S.A. Corey, The Butcher of Anderson Station|Thirty paces, twenty, and you can see the eyes of the men who will try to kill you, and see the spear-blades, and the instinct is to stop, to straighten the shields. We cringe from battle, fear claws at us, time seems to stop, there is silence though a thousand men shout, and at that moment, when terror savages the heart like a trapped beast, you must hurl yourself into the horror.Because the enemy feels the same.And you have come to kill him. You are the beast from his nightmares.
Non Pratt, Trouble|For my mum, to whom I'd turn in a heartbeat.
Maurice Sendak|Women respond to comfort and a sense of humor. I was always able to make them laugh, so that helps a lot.
Erik Pevernagie|We do not want to old to be sharper than we. It is bad enough that they were there first, and got the best things.
Bill Clinton|If one candidate is appealing to your fears, and the other one's appealing to your hopes, you’d better vote for the person who wants you to think and hope!
Ellen Schreiber, Love Bites|Library? That sounded reasonable. As my thoughts revolved around my days surrounded by books, something miraculous happened. My anger subsided. It ebbed away as the thoughts of books, pages, and comfort entered my head.
Don Cheadle|From the very first, it has been the educated and intelligent of the Negro people that have led and elevated the mass, and the sole obstacles that nullified and retarded their efforts were slavery and race prejudice; for what is slavery but the legalized survival of the unfit and the nullification of the work of natural internal leadership?
Kele Moon, Finding Eden|Pet, so far we've been playing at this. I'm going to take you a bit further. A play spanking can be erotic but I am going to take you flying, so high you'll never have felt anything like it." He paused and strolled around the kneeling boy. Damian pulled his hands together behind his back and linked the D rings on the cuffs. "Feel how helpless you are, on your knees to me, waiting for me to decide what to do to you?
Fatema Mernissi|She will at least be decently clothed as she waits. Tomorrow I shall find her a brush and powder and whatever else a woman of her dignity requires.” Fin rolled her eyes. “Is ‘dignity’ what you call it?” Jeannot offered her his hand. Fin took it and pulled herself up from the deck. She was barefoot and her pants and shirt were stained with everything from blood to oakum to lampblack. She stretched her shirt out between her hands and considered its mottle of stains. “I’m not dignified?” she asked. When Fin looked up, Jeannot had an eyebrow cocked high and one side of his mouth was curled in amusement. “Where you are concerned, much requires redefinition.
Lisa Kleypas, Devil in Winter|If you're the one whom i looking for from many years, then the beautiful end has come !!
Chris Matakas, My Mastery: Learning to Live through Jiu Jitsu|It was gratitude; gratitude, not merelyfor having once loved her, but for loving her still well enough to forgive all the petulance and acrimony of her manner in rejecting him.
Ada Huang & Anonymous|Feelings are murky, contrived and confusing. And the worst thing about them is no matter how hard you try, you can never sort them. They tangle more and more with thinking.
Auberon Herbert|Don't let the doubt in, because when it does it ruins everything.
Arthur Potts Dawson|Revenge is barren of itself: it is the dreadful food it feeds on; its delight is murder, and its end is despair.
Jen Hatmaker|Even when the truth is in fact simple, simplicity is still relative.
Charles Krauthammer|I use the music to vent, and a lot of the stuff that I am writing about or was writing about contained a lot of anger and anxiety, stress and depression, so that's how the album came out so dark.
Sebastian Rotella|A man who serves language, however imperfectly, should always serve truth.
Janet M. Tavakoli, Archangels: Rise of the Jesuits|I find it appalling that the Church claims Mary consented at the age of thirteen to become the mother of God.”“But she did,” James said. “There is ample evidence to show she consented.”“Isn’t that the classic defense of the pedophile?” Helena asked. “In Christ’s time and even today in some countries in the Middle East and India, child marriages are customary. But that doesn’t make it right. In Europe and the U.S. we prosecute adults for preying on children. God would be arrested for impregnating a girl below the age of consent.”“People didn’t live as long then,” James said.Helena would not back down. “But human biology hasn’t changed. My point is she was too young to consent. The brain of a young teenager isn’t fully developed.”“The mysteries of the faith require us to have faith.” “Don’t hide behind that nonsense. What kind of message is the Church sending to women? Only virgin children are pure? Experienced mothers are impure and unfit to raise Christ? It’s creepy and insulting when you think about it, but you would have me suspend rational judgment and just accept something I would tear your eyes out for thinking about my underage sister?
Sheri   Fink|Always be open to inspiration. You never know where it may come from. Begin with an open mind, end with an inspired heart.
Neil Leckman|A bird in the hand is worth two in the bush, unless it is the burning bush, in that case the value of your bird just went up!!
Melina Marchetta, Quintana of Charyn|In the games of queens and kings, we leave our dreams at the door and we make do with what we have. Sometimes if we’re fortunate, we still manage to have a good life.
Amie Kaufman, These Broken Stars|Whoa, whoa! Hold up, there, kid. She lives in Forks, remember? So she gets rained on.
Cornelius Elmore Addison, Tom Thorneval: Dream Merchant Extraordinaire|Being a samurai is all about selfless service and if the lord abuses the servant, it is no longer a situation of service; it becomes the situation of a victim. It is never acceptable for a samurai to be a victim. It is never acceptable to allow a lord to abuse you or rob you of your dignity. In such a situation, it is acceptable to walk away.
Akiroq Brost|Just as we use speech and gestures to communicate, so we use touch. Words can say, ‘I love you’, but touch can also say how and how much, and, at the same time, ‘I respect you’, ‘I need you’, and ‘thank you’. For a long time, scientists somehow thought that touch served merely to emphasize a verbal message. But now it is clear even to them that touch can be the message, and that it can be more nuanced and sophisticated than either speech or gestures, and more economical to boot. What’s more, touch is a two-way street; and a person’s reaction to our touch can tell us much more than their words ever could. Finally, while words can lie, or be taken for granted, primal touch is difficult to either ignore or discount.
The Silver Elves, Living the Personal Myth: Making the Magic of Faerie Real in One's Own Life|If you do not have the courage to be yourself, what will you be?
Robertson Davies|Pessimism is a very easy way out when you’re considering what life really is, because pessimism is a short view of life. If you look at what is happening around us today and what has happened just since you were born, you can’t help but feel that life is a terrible complexity of problems and illnesses of one sort or another. But if you look back a few thousand years, you realize that we have advanced fantastically from the day when the first amoeba crawled out of the slime and made its adventure on land. If you take a long view, I do not see how you can be pessimistic about the future of man or the future of the world.
Margaret Atwood, The Heart Goes Last|I'm going to remember this, I told myself sternly. I'm going to remember how awful they made me feel today. So when I'm scared and alone and whatever else is going to happen to me starts to happen, I'm going to remember that nothing could be as bad as being stuck here. Nothing.
Neil Abramson, Unsaid|Sometimes events that lead us bereft of anything but grief just happen for no reason other than happenstance--a car turns left instead of right, a train is missed, a call comes too late--and the real test of our humanness is whether, in light of that knowledge, we are ever able to recover. When we again find our way despite the inability to manufacture a deeper meaning in our suffering, that I think is when God smiles upon us, proud of the strength of his creation.
Donavan Nelson Butler, Master Sergeant US Army|You have a nearly a 0% chance of affecting change in others attitudes, behaviors, and skullduggery. However, you have a 100% chance of affecting your own attitude, behavior, resiliency, and reaction to all things within your direct ability to shape the outcome.
Craig D. Lounsbrough|No dream, no journey planed, no goals to dream for and achieve
Jacob Grimm, The Singing, Springing Lark|I shall eat anyone who tries to steal my singing, springing lark!
Whitney Houston|I've been left alone, even by the paparazzi, because what sells is sex and scandal. Absent that, they really don't have much interest in you. I'm still married, still working, still happy.
Qasim Habib|I guess its because we all want to believe that what we do is very important, that people hang on to our very word, that they care what we think. The truth is, you should consider yourself lucky if you even occasionally get to make someone-anyone-feel a little better.
|Enjoy life while you still have it. No one knows their time of departure from the face of this earth. Therefore, be sure to always seize every moment that comes to you, and make it very memorable.
Daniel J. Levitin, The World in Six Songs: How the Musical Brain Created Human Nature|No one alive today has a single ancestor in his or her past who died in infancy. We are the champions, my friend!
Irving Babbitt|I think romance is anything honest. As long as it's honest, it's so disarming.
Pico Iyer|Serendipity was my tour guide, assisted by caprice
F. Scott Fitzgerald, Gatsby Girls|If you teach success, you will taste success!
Haruki Murakami, Hard-Boiled Wonderland and the End of the World|You're wrong. The mind is not like raindrops. It does not fall from the skies, it does not lose itself among other things. If you believe in me at all, then believe this: I promise you I will find it. Everything depends on this." "I believe you," she whispers after a moment. "Please find my mind.
Richelle E. Goodrich, Eena, The Two Sisters|I like bubbles in everything. I respect the power of silence. In cold or warm weather I favor a mug of hot cocoa. I admire cats―their autonomy, grace, and mystery. I awe at the fiery colors in a sunset. I believe in deity. I hear most often with my eyes, and I will trust a facial expression before any accompanying comment. I invent rules, words, adventures, and imaginary friends. I pretend something wonderful every day. I will never quit pretending.
Stephen Richards, Cosmic Ordering Guide|There are no absolutes, and your way is neither the only way nor the right way.
Debasish Mridha|In this complex modern world, it is impossible to be simple.
Lenore Kandel, Collected Poems of Lenore Kandel|Not speaking and speaking are both human ways of being in the world, and there are kinds and grades of each. There is the dumb silence of slumber or apathy; the sober silence that goes with a solemn animal face; the fertile silence of awareness, pasturing the soul, whence emerge new thoughts; the alive silence of alert perception, ready to say, “This… this…”; the musical silence that accompanies absorbed activity; the silence of listening to another speak, catching the drift and helping him be clear; the noisy silence of resentment and self-recrimination, loud and subvocal speech but sullen to say it; baffled silence; the silence of peaceful accord with other persons or communion with the cosmos.
Kim Edwards, The Lake of Dreams|... the Iroquois take dreams very seriously. They see them as the secret wishes of the soul--the heart's desire, so to speak. Not all dreams, maybe, but the important ones. [p.254]
Cory Booker|A man can fail many times, but he isn't a failure until he begins to blame somebody else.
Anonymous, Holy Bible: New International Version|What, then, shall we say in response to this? If God is for us, who can be against us? (Romans 8:31 NIV)
Joss Whedon|I also felt that Ron and Hermione would have gotten divorced. I'm sorry, I just do. The end of Harry Potter did feel ultimately to me...just the fact everybody had married everybody. The books were so real and so grounded in what things are really like when you're that age, she nailed that so beautifully. And then there was this slightly fantastical ending. I know that was there for her to say, 'Really, I mean it, no more books,' but you do sort of go, people who were in a war are different from people who haven't been, and how does it affect them? But am I going to second-guess my favorite writer? I think not.
Friedrich Nietzsche|Truth is a mobile army of metaphors, metonyms, anthropomorphisms, in short a sum of human relations which have been subjected to poetic and rhetorical intensification, translation and decoration […]; truths are illusions of which we have forgotten that they are illusions, metaphors which have become worn by frequent use and have lost all sensuous vigour […]. Yet we still do not know where the drive to truth comes from, for so far we have only heard about the obligation to be truthful which society imposes in order to exist"from, "On Truth and Lying in a Non-Moral Sense".
Elizabeth Gilbert, Eat, Pray, Love|We are set in our ways, bound by our perspectives and stuck in our thinking.
Kathleen Glasgow, Girl in Pieces|I know you want her back, kid. And I know that people saying things like 'there are plenty more fish in the sea' is only going to make you hurt more. And I could tell you all about the science of what your brain is going through right now. How it's processing a pain as intense as hitting a nerve in your tooth, but it can't find a source for that pain, so you kind of feel it everywhere. I could tell you that when you fall for someone, the bits of your brain that light up are the same as when you're hungry or thirsty. And I could tell you that when the person you love leaves you, you starve for them, you crave them, Heartbreak is a science, like love. So trust me when I say this: you're wounded right now, but you'll heal.
Jodi Picoult, Lone Wolf|You know, he told me once, completely exasperated, you've got one glass of water inside your head, with all the tears for a lifetime. If you waste them over nothing, then you won't be able to cry for real when you need to.
Andres Segovia|Music is God's gift to man, the only art of Heaven given to earth, the only art of earth we take to Heaven.
Gina Marinello-Sweeney, The Rose and the Sword|Yes, it is,” I whispered, “and one day the spell will not cause you to forget it.
Plato, Timaeus|We are not alone!Everything has been orchestrated.If you think that the meteor that killed of the dinosaurs was natural. Think again!What use would a world of greed be if we had to worry about getting eaten by dinosaurs every minute of the day?It wouldn't be good for the economy, now would it?Think about it!
Lauren Willig|I manage through a sense of humor. We all work hard, and work has to be a really interesting, fun place. And that has to start at the top.
Elizabeth Wurtzel, Bitch: In Praise of Difficult Women|After all, as it says on a needlepoint sampler or throw pillow or the occasional bumper sticker: Good girls go to heaven, but bad girls go everywhere. In high heels. Or mules by Manolo Blahnik, the strappy, tangly kind that give you blisters. And when their feet start to hurt, they bitch about it a lot, until someone agrees to carry them home. Bad girls understand that there is no point in being good and suffering in silence. What good has good ever done? We women still only make seventy-one cents, on average, for every man's dollar. We still have to listen to studies telling us that a single woman over the age of 35 had best avoid airplanes because she is more likely to die in a terrorist attack than get married.
Mel Odom, The Quest for the Trilogy: A Rover Novel of Three Adventures|We're all blessed and we're all blighted, Chief Inspector," said Finney. "Everyday each of us does our sums. The question is, what do we count?
Matthew Klingle, Emerald City: An Environmental History of Seattle|We need a new ethic of place, one that has room for salmon and skyscrapers, suburbs and wilderness, Mount Rainier and the Space Needle, one grounded in history.
Sandra L. Schneider|Author describes one character's optimism as, that quiet well-being which perhaps you and I have felt on a sunny afternoon when, in our brightest youth and health, life has opened a new vista for us, and long to-morrows of activity have stretched before us like a lovely plain which there was no need for hurrying to look at, because it was all our own.
Alain de Botton, The Pleasures and Sorrows of Work|Yet our world of abundance, with seas of wine and alps of bread, has hardly turned out to be the ebullient place dreamt of by our ancestors in the famine-stricken years of the Middle Ages. The brightest minds spend their working lives simplifying or accelerating functions of unreasonable banality. Engineers write theses on the velocities of scanning machines and consultants devote their careers to implementing minor economies in the movements of shelf-stackers and forklift operators. The alcohol-inspired fights that break out in market towns on Saturday evenings are predictable symptoms of fury at our incarceration. They are a reminder of the price we pay for our daily submission at the altars of prudence and order - and of the rage that silently accumulates beneath a uniquely law-abiding and compliant surface.
Bill Bryson, A Walk in the Woods|I know a man who drives 600 yards to work. I know a woman who gets in her car to go a quarter of a mile to a college gymnasium to walk on a treadmill, then complains passionately about the difficulty of finding a parking space. When I asked her once why she didn't walk to the gym and do five minutes less on the treadmill, she looked at me as if I were being willfully provocative. 'Because I have a program for the treadmill,' she explained. 'It records my distance and speed, and I can adjust it for degree of difficulty.' It hadn't occurred to me how thoughtlessly deficient nature is in this regard.
Miguel de Cervantes Saavedra, Don Quixote|But it is obvious that absurdism hereby admits that human life is the only necessary good since it is precisely life that makes this encounter possible and since, without life, the absurdist wager would have no basis. To say that life is absurd, the conscience must be alive.
Taylor Swift|Daily Reminders1) Never compare myself to other people. It is comparing my behind the scenes to their highlight reel.2) Stay here, now. I will not think to far forward or back.3) It's okay to not be fine.4) Taylor need's me so I'm going to take care of myself.
Orrin Woodward|I believe that liberty is the only genuinely valuable thing that men have invented, at least in the field of government, in a thousand years. I believe that it is better to be free than to be not free, even when the former is dangerous and the latter safe. I believe that the finest qualities of man can flourish only in free air—that progress made under the shadow of the policeman’s club is false progress, and of no permanent value. I believe that any man who takes the liberty of another into his keeping is bound to become a tyrant, and that any man who yields up his liberty, in however slight the measure, is bound to become a slave. . . .In any dispute between a citizen and the government, it is my instinct to side with the citizen . . . I am against all efforts to make men virtuous by law.
Stalina Goodwin, Dear Beautiful: 31 Days of Affirmations for Women|Somewhere someone else’s break-through is hinging on you simply knowing that you matter. So please, remind yourself of this truth every single day.
Aleksandra Ninkovic, Write like no one is reading|At the age of eight, John Quincy Adams was made the man of his house while his father, John Adams, was off doing important John Adams things for America. This would be a lot of terrifying responsibility at any time in American history, but it just so happens that, when Adams was eight years old, the *Revolutionary freaking War* was happening right outside his house. He watched the Battle of Bunker Hill from his front porch, according to his diary, worried that he might be 'butchered in cold blood, or taken and carried ... as hostages by any foraging or marauding detachment of British soldiers.' I don't have the diary I kept at age eight, but I think the only things I worried about was whether or not they'd have corndogs in school the next day and if I had the wherewithal and clarity of purpose to collect all of the Pokemon. John Q, on the other hand, guarded his house, mother, and siblings during wartime.This isn't to imply that eight-year-old John Quincy Adams could have beaten eight-year-old you in a fight, but to imply that eight-year-old John Quincy Adams could beat you *as an adult*.
Charles Robert Maturin, Melmoth the Wanderer|To be proud of virtue, is to poison yourself with the Antidote.
Peter Zumthor|In our culture we have such respect for musical instruments, they are like part of God.
Robert A. Heinlein, Stranger in a Strange Land|Anybody can look at a pretty girl and see a pretty girl. An artist can look at a pretty girl and see the old woman she will become. A better artist can look at an old woman and see the pretty girl that she used to be. But a great artist--a master--and that is what Auguste Rodin was--can look at an old woman, portray her exactly as she is . . . and force the viewer to see the pretty girl she used to be . . . and more than that, he can make anyone with the sensitivity of an armadillo, or even you, see that this lovely young girl is still alive, not old and ugly at all, but simply prisoned inside her ruined body.
Thomas Paine, The Age of Reason|I have always strenuously supported the right of every man to his own opinion, however different that opinion might be to mine. He who denies to another this right, makes a slave of himself to his present opinion, because he precludes himself the right of changing it.
Jerome K. Jerome|I have found that when you are deeply troubled, there are things you get from the silent devoted companionship of a dog that you can get from no other source.
Scarlett Dawn, King Cave|He's not feeling well," Clary said, catching at Simon's wrist. "We're going.""No," Simon said. "No, I — I need to talk to him. To the Inquisitor."Robert reached into his jacket and drew out a crucifix. Clary stared in shock as he held it up between himself and Simon. "I speak to the Night’s Children Council representative, or to the head of the New York clan," he said. "Not to any vampire who comes to knock at my door—"Simon reached out and plucked the cross out of Robert's hand. "Wrong religion," he said.
Neil  Hayes, When the Game Stands Tall, Special Movie Edition: The Story of the De La Salle Spartans and Football's Longest Winning Streak|Baseball is a public trust. Players turn over, owners turn over and certain commissioners turn over. But baseball goes on. 
Mark W Boyer|If you have something standing between you and your goals, don't wait for it to move... go around it.
Alfred de Vigny, Stello|I have a private theory, Sir, that there are no heroes and no monsters in this world. Only children should be allowed to use these words
Jimi Hendrix|The story of life is quicker than the wink of an eye, the story of love is hello and goodbye...until we meet again
Richelle E. Goodrich, Smile Anyway|No misery compares to staring at a clear night's sky with arms stretched toward a coveted star, wishing on what is forever out of reach.
Kate Alcott, The Dressmaker|You have to humor them you know." Lucile sighed lightly as the door closed. "Men can be boring, but they are necessary. One needs to learn to work around them. Don't you think so?
Sally Lloyd-Jones, The Jesus Storybook Bible: Every Story Whispers His Name|And one day, God would send another baby, a baby promised to a girl who didn't even have a husband. But this baby would bring laughter to the whole world. This baby would be everyone's dream come true.
Mahatma Gandhi|There are people in the world so hungry, that God cannot appear to them except in the form of bread.
Melissa Cutler, Tempted into Danger|Hot damn, Diego Santero looked fine soaking wet. Everything about him radiated potent masculinity, from the slick, dark hair that drew emphasis to the angles of his cheeks and jaw, to the water beading off his forearms and the soaked black shirt and cargo pants that clung to every curve of muscle and flesh below.
Gena Showalter, The One You Want|We shoot our heroes and enjoy peripeteia as a spectacle akin to sport and perhaps harshly disavowing the past protects us from the disappointment of our outsized hopes--who knows, really, but shifts in taste don't fully account for the phenomenon. At any rate, nearly everything urgent and alive becomes doo-wop down the road, at least in this country's pop culture, and along the way a somewhat self-hating irony lays waste not only to the work but to the desires it once carried. It's like we die into adulthood.
Robert Bolt, A Man for All Seasons|What if I turned out to be a great kisser, and suddenly, girls everywhere wanted to kiss me? Did I really want to risk losing my free time to watch people so I could kiss every girl in town?
Bret Easton Ellis, American Psycho|I don't do 'black music,' I don't do 'white music'...I make fight music, for high school kids.
Steve Hockensmith, Dawn of the Dreadfuls|What humans want most of all, is to be right. Even if we're being right about our own doom. If we believe there are monsters around the next corner ready to tear us apart, we would literally prefer to be right about the monsters, than to be shown to be wrong in the eyes of others and made to look foolish.
Carl Bernstein, Bob Woodward|Bernstein was impressed by Sloan's thoughtfulness. Sloan seemed convinced that the President, whom he very much wanted to see re-elected, had known nothing of what happened before June 17; but he was as sure that Nixon had been ill-served by his surrogates before the bugging and had been put in increasing jeopardy by them ever since. Sloan believed that the prosecutors were honest men, determined to learn the truth, but there were obstacles they had been unable to overcome. He couldn't tell whether the FBI had been merely sloppy or under pressure to follow procedures that would impede an effective investigation. He believed the press was doing its job, but, in the absence of candor from the committee, it had reached unfair conclusions about some people. Sloan himself was a prime example. He was not bitter, just disillusioned. All he wanted now was to clean up his legal obligations - testimony in the trial and in the civil suit - and leave Washington forever. He was looking for a job in industry, a management position, but it was difficult. His name had been in the papers often. He would not work for the White House again even if asked to come back. He wished he were in Bernstein's place, wished he could write. Maybe then he could express what had been going through his mind. Not the cold, hard facts of Watergate necessarily - that wasn't really what was important. But what it was like for young men and women to come to Washington because they believed in something and then to be inside and see how things worked and watch their own ideals disintegrate.
John Cho|It is mind-boggling to me that there are so few movies about female friendship, considering women make up half the movie-going population.
Fiona Thrust, Naked and Sexual|He was the kind of man I wanted: wild, hot, horny, and losing control. And it all pointed back to me, about how much I felt in control of him, with the power of my body.
Akhil Sharma|Madison Square Garden, November 1984. I don't recall taking too much fear into the ring. I knew I could fight. But I got a big shock. They put me in with this rough, tough veteran called Lionel Byarm. He tested me to the limit. But I fought my heart out and, in the end, I prevailed. The story of my life, in my very first fight.
Omar Khayyám, Quatrains|As far as you can avoid it, do not give grief to anyone. Never inflict your rage on another. If you hope for eternal rest, feel the pain yourself; but don’t hurt others.
Louis Farrakhan|It was great. I mean, it's a blast directing underwater stuff.
Charlotte Eriksson|I get so god damn lonely and sad and filled with regrets some days. It overwhelms me as I’m sitting on the bus; watching the golden leaves from a window; a sudden burst of realisation in the middle of the night. I can’t help it and I can’t stop it. I’m alone as I’ve always been and sometimes it hurts…. but I’m learning to breathe deep through it and keep walking. I’m learning to make things nice for myself. To comfort my own heart when I wake up sad. To find small bits of friendship in a crowd full of strangers. To find a small moment of joy in a blue sky, in a trip somewhere not so far away, a long walk an early morning in December, or a handwritten letter to an old friend simply saying ”I thought of you. I hope you’re well.”No one will come and save you. No one will come riding on a white horse and take all your worries away. You have to save yourself, little by little, day by day. Build yourself a home. Take care of your body. Find something to work on. Something that makes you excited, something you want to learn. Get yourself some books and learn them by heart. Get to know the author, where he grew up, what books he read himself. Take yourself out for dinner. Dress up for no one but you and simply feel nice. it’s a lovely feeling, to feel pretty. You don’t need anyone to confirm it.I get so god damn lonely and sad and filled with regrets some days, but I’m learning to breathe deep through it and keep walking. I’m learning to make things nice for myself. Slowly building myself a home with things I like. Colors that calm me down, a plan to follow when things get dark, a few people I try to treat right. I don’t sometimes, but it’s my intent to do so. I’m learning.I’m learning to make things nice for myself. I’m learning to save myself.I’m trying, as I always will.
David Livingstone|God, send me anywhere, only go with me. Lay any burden on me, only sustain me. And sever any tie in my heart except the tie that binds my heart to Yours.
Watch Tower Bible and Tract Society, Benefit From Theocratic Ministry School Education|In order to benefit fully from the education provided in the Theocratic Ministry School, you, the student, must make a personal effort.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|I love the optimism on the shores of youth, where time hasn't yet eroded faith.
Scott Westerfeld, Pretties|Maybe human beings are programmed … to help one another, even to fall in love. But just because it's human nature doesn't make it bad, Tally. Besides, we had a whole city of pretties to choose from, and we chose each other.
Jodi Picoult|Outside the drizzling rain had begun again. It pattered around the house, and on the roofs and eaves, like a million, tiny, stealthy feet: softly, as though the night were teeming with a host of minute, dark beings.
Nenia Campbell, Cloak and Dagger|It seemed so good when it started.I gave my trust to you.I came to you open-hearted,Hoping it was true.Now I've gotten smart.Now I've learned some things.Now I know that what once was a start,Is just an ending.The longest good-byeI ever knew,The longest good-byeWas the dayI said hello to you.
Chrystia Freeland|I think, as athletes, we've been given a platform, and we can use it in a lot of different ways. We can use it for negative. We can use it for positive. We can be indifferent. But if you've been given a platform, I think God is pleased when you share... His truth in love.
H. Alazhar, City of Paradise|When a friend of mine boasted about living in a gated community, I thought he meant Folsom, and I wondered whether he knew Charles Manson.
Paul Pogba|My mum was very conscious about fashion, and my dad was born into the tailoring tradition, so fashion has always been my life, although now, really, I wear the same thing - just in different weights - light and heavy cashmere in winter and cotton in summer. And jeans.
Dada Bhagwan|Ambalal Muljibhai’ (Dada’s relative self) is under the control of worldly interactions, and ‘we’ (The Gnani Purush) are in the control of nischaya (realm of the Self). Worldly interaction should not be scorned at, at all.
Soman Chainani, The Last Ever After|If my goal is simply to survive the journey, then I’m not on the journey in the first place.
Lotte Roy, Lotus-eating Japan: Who is this man I hardly know?|Confounding though it seems, to acknowledge our dilemma, that we are no different from any animal coexisting on this planet, ironic really when through the ages, we have struggled with such pretense of something greater.
Malcolm Gladwell, Blink: The Power of Thinking Without Thinking|I have that hypocrisy of a parent in that I'm like,'Come on, you've got to toughen up at the same time let me take care of that for you.
Maria Bartiromo|The idea that we should write towards the unknown aspects of our experience was totally groundbreaking for me. It gave me the license I needed to try to write outside myself. This attitude has deeply informed my approach to fiction, emboldening me to write characters with voices or situations that are vastly different from my own.
Robert Winston|I started practicing yoga. I started learning some hands-on healing stuff. And I found really good chiropractors, really good massage therapists, and what I found is I've been able to actually peel off layers of trauma on my body and actually move better now than I did.
Karen Bohlin, Teaching Character Education Through Literature: Awakening the Moral Imagination in Secondary Classrooms|...there is a danger of churning out students who are rapid processors of information but may not necessarily be more reflective, thoughtful, and able to give sustained consideration to the information that matters most.
Kerrelyn Sparks, A Very Vampy Christmas|What's the matter with you?" I hissed at her as we followed Kieran and Solange inside.'She's royalty!'"And a vampire, remember?"'Oh yeah,' Chloe paused. 'Nope, princess trumps vampire.
Debasish Mridha|Don't try to hurt anyone, you will not succeed because you can hurt only yourself.
Sunday Adelaja|To know your purpose, you must identify yourself in the world and know who you are in the world
Dave Gahan|I spend a lot of time thinking about this business of letting go - letting go of the children God gives to us for such a brief time before they go off on their own; letting go of old homes, old friends, old places and old dreams.
Richard D. Wolff|Economic development is something much wider and deeper than economics, let alone econometrics. Its roots lie outside the economic sphere, in education, organisation, discipline and, beyond that, in political independence and a national consciousness of self-reliance.
Daniel Tammet|There's no training for the business, no credentials necessary to enter... It's all about entrepreneurs, innate street intelligence, and instincts. It's a business which encourages people with dreams. That's the essence of Hollywood.
Tirumalai S. Srivatsan|That is what a shadow is, and empty space, a hole in the light. Evil is this - a hole in the goodness of God.
Larry Ellison|What matters is hard work, and emotional intelligence.
Steven Spielberg|In the night of death, hope sees a star, and listening love can hear the rustle of a wing.
Janet Fitch, White Oleander|Always learn poems by heart,' she said. 'They have to become the marrow in your bones. Like fluoride in the water, they'll make your soul impervious to the world's soft decay.
James A. Michener|Public libraries have been a mainstay of my life. They represent an individual's right to acquire knowledge; they are the sinews that bind civilized societies the world over. Without libraries, I would be a pauper, intellectually and spiritually.
Jay Caspian Kang, The Dead Do Not Improve|The worst have scraped out the mantle of the best and wear it around as something real. It takes no genius to see that. But I moved to San Francisco because the masquerade of kindly gestures is, at least, kind. And it remains kind. And all the people who would sit back and comment on the garishness of the costumes, the hollowness of the dialogue, the lack of divine conviction, well, all those people are either dead or fifteen years old.
Bushra Khanum|It's hard to be content with your life, when you know the world has so much more to offer.
Thomas M. Disch, The Brave Little Toaster|But the toaster was quite satisfied with itself, thank you. Though it knew from magazines that there were toasters who could toast four slices at a time, it didn't think that the master, who lived alone and seemed to have few friends, would have wanted a toaster of such institutional proportions. With toast, it's quality that matters, not quantity.
Auliq-Ice|We know of the pain, the difficulty, the loneliness, the feeling of being abandoned. So we are more likely to reach out to those similarly struggling.
