Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
John Sandford, Storm Prey|The carriage could only clop along at about ten miles per hour, which only accentuated Imogene’s excitement. She urged it onward: "Fly, horse, fly!
Fennel Hudson, A Meaningful Life - Fennel's Journal - No. 1|A field which feeds you, a river which gives you water are much holier than all other so-called holy places!
Kurt Vonnegut Jr.|Who is more to be pitied, a writer bound and gagged by policemen or one living in perfect freedom who has nothing more to say?
Mea McMahon, Observation on Christianity|Safety" and "fairness" are the preoccupation of the wounded. "Being" and "joy" are the unconscious realities of the free and living.
Rachel Carson|The winds, the sea, and the moving tides are what they are. If there is wonder and beauty and majesty in them, science will discover these qualities... If there is poetry in my book about the sea, it is not because I deliberately put it there, but because no one could write truthfully about the sea and leave out the poetry.
Nikki Reed|I should be learning another language and working out more, but I'm just always saying, 'Ah, I could get hit by a bus tomorrow.'
George Orwell, Animal Farm|Sometimes, inflexibility creates a callus, scarring over all the bitterness and disappointment improperly, and there is no honest way to break that silence or that infinite distance, not even in death, not even in memory.
Gerald O. McCulloh, Man's Faith and Freedom: The Theological Influence of Jacobus Arminius|Arminius, appealing to Lactantius, held that: 'To recommend faith to others, we must make it the subject of persuasion, and not of compulsion'. He insisted that the true religion from Christ does not deteriorate into dissention. In the exercise of Christian liberty there will be sincere and honest differences. These differences cannot and should not be stamped out by means of coercion. In confronting the Scripture, Christians should be able to agree on what is necessary for salvation. But when mutual consent and agreement cannot be obtained on some articles, 'then the right hand of fellowship should be extended by both parties'. Each party should 'acknowledge the other for partakers of the same faith and fellow-heirs of the same salvation, although they may hold different sentiments concerning the nature of faith and the manner of salvation'.
Ted Kooser, Delights and Shadows|Mother (fragment)...You asked me if I would be sad when it happenedand I am sad. But the iris I moved from your housenow hold in the dusty dry fists of their rootsgreen knives and forks as if waiting for dinner,as if spring were a feast. I thank you for that.Were it not for the way you taught me to lookat the world, to see the life at play in everything, I would have to be lonely forever.
Sarah Bessey, Jesus Feminist: An Invitation to Revisit the Bible’s View of Women|But again, this is not a list of rules; we are not reading an impossible standard—no. This describes our Jesus. This! This is our Abba. This is our Holy Spirit. He never gives up, and he takes pleasure in the flowering of truth. And when we are following in the ways of Jesus, when we are abiding in the Vine, these become our characteristics, and we become signposts, tastes, movements of the Kingdom to the North, a glimpse of true Love.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Nothing is as unique as sex in nature; it is full of enjoyment, pleasure and happiness. There is no discrimination, no exclusion, no inequality and no racism.
Marcel Theroux, Strange Bodies|But what defines insanity , really !? Is it your mind or the mind of the person making the judgment !? Because all of us , no matter who you are , can go insane sometimes ! There are times when we either know too little or too much. The unknown can be scary place , but the known can be even more frightening
Anita B. Sulser PhD, We Are One|o not preoccupy yourself with wants or expectations. The world won't abide by the standards, you set in any case, whether you set them too low or too high. It will break them every time for the simple fact that our true essence has no desire, hope or expectation for anything. It has no selfish inclinations of any kind. Everything, it experiences, is a passing phase, not its real identity.
Gerald Brenan|So many people prefer to live in drama because it's comfortable. It's like someone staying in a bad marriage or relationship - it's actually easier to stay because they know what to expect every day, versus leaving and not knowing what to expect.
Craig D. Lounsbrough|My worth is not based on the ‘work of my hands’ despite how feverishly I might work and how audaciously successful I might be. Rather, my worth is based exclusively on the astonishing fact that I am the ‘work of God’s hands.
Will Advise, Nothing is here...|Dark alleys, like social networks, are romantic, because you never know what might happen while I perform there every Caturday night. Cats do know, but won't tell. So don’t even ask.
Emm Cole, Keeping Merminia|What matters most, is not how my end happens, or if it happens now. What I care about in this instant, is that she knows how much I love her—that I lived long enough to have her love me back.
Jean Monahan|& besides, I don’tdesign my smiles to be nets because I’m not fishing
Qwana Reynolds-Frasier, Friend In Your Pocket Conversations Session One|DON'T BE SO PREPARED FOR THE BATTLE,TO THE POINT YOU FIND YOURSELF UNPREPARED FOR THE VICTORY!WHEN YOU TRULY BELIEVE IN YOURSELF, YOU PREPARE FOR IT ALL!
Darrel Ray, Sex & God: How Religion Distorts Sexuality|Love is not the middle ear from which the voice resounds, but rather the voice itself; in our bodies a body of emanations.
Teresa Lo, The Other Side: a Collection of Short Stories|Hugh refused to leave the scene of the action. He seated himself on the top stair in the hall, banged his head against the railing a few times, just by way of uncorking the vials of his wrath, and then subsided into gloomy silence, waiting to declare war if more “first girl babies” were thrust upon a family already surfeited with that unnecessary article.
Jesse McCartney|I think that kids aren't even exploring the option of sports anymore, and they don't even know what they could do.
Charlaine Harris, Dead in the Family|Pam. Listen.''The phone is pressed to my ear. Speak.''Appius Livius Ocella just dropped in.''Fuck a zombie!'- Sookie & Pam, Dead in the Family, Charlaine Harris
Everett Dirksen|Money, not morality, is the principle commerce of civilized nations.
Erik Christian Haugaard, The Samurai's Tale|Those soldiers belonging to the victorious side whose blood has oozed into the ground and whose hearts have ceased beating, have they partaken in the triumph as well as those who are unscarred and busy draining cups of sake to each other's glorious deeds? I rather think they belong instead to the defeated."..."You mean that those who are killed all belong to the defeated, regardless of which side they were on?
Adam Thirlwell, Politics|When a clandestine couple kisses, it is much more likely that sex will immediately follow. This is because there is much more risk. Once you have kissed secretly, it is very difficult not to have sex. It would be impolite not to have sex. You have to show that you are serious about each other.
Ransom Riggs, Miss Peregrine’s Home for Peculiar Children|I love you too, I wanted to say with as much hurtful sarcasm as I could muster, but she hadn't seen me, and I kept quiet. I did love her, of course, but mostly just because loving your mother is mandatory, not because she's someone I think I'd like very much if I met her walking down the street. Which she wouldn't be anyway; walking is for poor people
Whoopi Goldberg, Book|Art is long, life is short. Unless your funding is f%$ked, in which case all our days are numbered.
George MacDonald, The Marquis' Secret|It is just the old way--that of obedience. If you have ever seen the Lord, if only from afar--if you have any vaguest suspicion that the Jew Jesus, who professed to have come from God, was a better man, a different man--one of your first duties must be to open your ears to His words and see whether they seem to you to be true. Then, if they do, to obey them with your whole strength and might. This is the way of life, which will lead a man out of its miseries into life indeed.
Arthur Erickson|A child raised on a desert island, alone, without social interaction, without language, and thus lacking empathy, is still a sentient being.
Kilroy J. Oldster, Dead Toad Scrolls|Respect and humility go together. Humility is not meekness, but the opposite of arrogance. A wise old Indian man once said, "Empty drums make the loudest noise." Grandfather often repeated this phrase to indicate that those with the least understanding are the most arrogant.
Chet Atkins|A long apprenticeship is the most logical way to success. The only alternative is overnight stardom, but I can't give you a formula for that. 
John Steinbeck, Travels with Charley: In Search of America|When we get these thruways across the whole country, as we will and must, it will be possible to drive from New York to California without seeing a single thing.
Terry Pratchett, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|one day Satan himself visits, along with his great-grandmother—who is, not surprisingly, a total fucking bitch.
Sarah Silverman, The Bedwetter: Stories of Courage, Redemption, and Pee|My stepfather, John O'Hara, was the goodest man there was. He was not a man of many words, but of carefully chosen ones. He was the one parent who didn't try to fix me. One night I sat on his lap in his chair by the woodstove, sobbing. He just held me quietly and then asked only, "What does it feel like?" It was the first time I was prompted to articulate it. I thought about it, then said, "I feel homesick." That still feels like the most accurate description - I felt homesick, but I was home.
Matt Abrams, She's Toxic|Disappointment was never a thing you looked for, but it had a wonderful way of clearing the mind.
Kim Cormack, Sweet Sleep|I've spent a large portion of the last 40 years hunting Dragons because of you. Be flattered, disturbed... Whatever floats your boat.Tiberius of Triad C.O.A series
Lionel Suggs|Physical reality is one of the biggest horror movies of all, and you know how we love horror movies.
Arthur Schopenhauer, The World as Will and Representation, Vol 1|It is easy to understand that in the dreary middle ages the Aristotelian logic would be very acceptable to the controversial spirit of the schoolmen, which, in the absence of all real knowledge, spent its energy upon mere formulas and words, and that it would be eagerly adopted even in its mutilated Arabian form, and presently established as the centre of all knowledge.
William Strunk Jr.|Remember, it is no sign of weakness or defeat that your manuscript ends up in need of major surgery. This is a common occurrence in all writing, and among the best writers.
Isaac Marion, Boarded Window|I’m alone, stumbling through the city in the dark, trying not to let the night freeze my blood.
Tanzy Sayadi, Better to be able to love than to be loveable|One has to commit a painting,' said Degas,'the way one commits a crime.
Toba Beta, Master of Stupidity|God Hates divorce.""He hates cruelty even more."Caring For Eleanor
Nancy Kress, Characters, Emotion & Viewpoint: Techniques and Exercises for Crafting Dynamic Characters and Effective Viewpoints|I’ve had situations when I’ve actually encouraged authors to self-publish because their book was poor. Now one would conclude that I’m asking them to self-publish because their book was poor and the self-publishing warehouse is where all the poor books belong. But no, it’s because “poor” is only my opinion, and I’m just one in millions of readers.
Livy, The Early History of Rome:|By exiling human judgment in the last few decades, modern law changed role from useful tool to brainless tyrant. This legal regime will never be up to the job, any more than the Soviet system of central planning was, because ti can't think. The comedy of law's sterile logic--large POISON signs warning against common sand, spending twenty-two years on pesticide review and deciding next to nothing, allowing fifty-year-old white men to sue for discrimination--is all too reminiscent of the old jokes we used to hear about life in the Eastern bloc. Judgement is to law as water is to crops. It should not be surprising that law has become brittle, and society along with it.
Debasish Mridha|Like the fragrance of a flower, our actions reveal the beauty of your life.
Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock|...I am, in short, a rationalist and believe only that which reason tells me is so. Mind you, this isn’t easy. We are so surrounded by tales of the supernatural, by the thunders of the powers to be who attempt with all their might to convince us of the existence of the supernatural, that the strongest among us may feel himself swaying.Something like that happened to me recently. In January 1990, I was lying in a hospital bed one afternoon and my dear wife, Janet, was not with me, but had gone home for a few hours to take care of some necessary chores. I was sleeping, and a finger jabbed at me. I woke, of course, and looked blearily to see who had awakened me and for what purpose.My room, however, had a lock, and the lock was firmly closed and there was a chain across the door too. Sunlight filled the room and it was clearly empty. So were the closet and the bathroom. Rationalist though I am, there was no way in which I could refrain from thinking that some supernatural influence had interfered to tell me that something had happened to Janet (naturally, my ultimate fear). I hesitated for a moment, trying to fight it off, and for anyone but Janet I would have. So I phoned her at home. She answered immediately and said she was perfectly well.Relieved, I hung up the phone and settled down to consider the problem of who or what had poked me. Was it simply a dream, a sensory hallucination? Perhaps, but it had seemed absolutely real. I considered.When I sleep alone, I often wrap myself up in my own arms. I also know that when I am sleeping lightly, my muscles twitch. I assumed my sleeping position and imagined my muscles twitching. It was clear that my own finger had poked into my shoulder and that was it.Now suppose that at the precise moment I had poked myself, Janet, through some utterly meaningless coincidence, had tripped and skinned her knee. And suppose I had called and she had groaned and said, "I just hurt myself".Would I have been able to resist the thought of supernatural interference? I hope so. However, I can't be sure. It's the world we live in. It would corrupt the strongest, and I don't imagine I'm in the strongest.
Thomas Jefferson|I have indeed two great measures at heart, without which no republic can maintain itself in strength: 1. That of general education, to enable every man to judge for himself what will secure or endanger his freedom. 2. To divide every county into hundreds, of such size that all the children of each will be within reach of a central school in it
Roxane Gay, Bad Feminist|We all have the capacity to do hurtful things, but we differ from one another in terms of scale-how much we can hurt others, how far we will go to make a statement about our beliefs, how remorseful we might feel in the aftermath of committing a terrible act.
Jennifer L. Lane, Faith Adventures: Stories of Learning with an Unseen God|Don't treat your husband the way he deserves, but as Christ expects.
Lajos Kossuth|The poet's spoken discourse often depends on a mystique, on the spiritual freedom that finds itself enslaved on earth.
Dalai Lama XIV|Great compassion is the root of altruistic action, the object of amazement to the world;there is no greater source of help and happiness.
Haruki Murakami, Norwegian Wood|What happens when people open their hearts?""They get better.
Dean Koontz, Dean Koontz: Key to Midnight / Shattered / House of Thunder|My only regret is that no one told me at the beginning of my journey what I'm telling you now: there will be an end to your pain. And once you've released all those pent-up emotions, you will experience a lightness and buoyancy you haven't felt since you were a very young child. The past will no longer feel like a lode of radioactive ore contaminating the present, and you will be able to respond appropriately to present-day events. You will feel angry when someone infringes on your territory, but you won't overreact. You will feel sad when something bad happens to you, but you won't sink into despair. You will feel joy when you have a good day, and your happiness won't be clouded with guilt. You, too, will have succeeded in making history, history.
Paul Silway, Heaven I - Paradise: The City and Throne|People sometimes cling to the strangest beliefs. On the one hand, they believe in an all loving God, but on the other hand they believe He will give you cancer to test or mature you.
R.C. Robertson-Glasgow|Might-have-been are insidious, aren't they, in the way they don't ever quite lie still or go away.
David S. Bell|In God's strength I could battle the giants. Alone, I was just a grasshopper.S
Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza|If you dread ending up in the bunker, practice these tricky out-of-the-sand shots until you master them. Think of it as insurance—we all have learned that, once you know you can make that shot easily, you will seldom need to!
Virginia Nelson, Clothing Optional|Maybe I shouldn't trust him after all, just like he doesn't seem to trust me fully. Shit, is it always so hard to get close to someone?
Andrew Solomon, The Noonday Demon: An Atlas of Depression|While people argue with one another about the specifics of Freud's work and blame him for the prejudices of his time, they overlook the fundamental truth of his writing, his grand humility: that we frequently do not know our own motivations in life and are prisoners to what we cannot understand. We can recognize only a small fragment of our own, and an even smaller fragment of anyone else's, impetus.
Ann-Marie MacDonald, The Way the Crow Flies|Afterwards, in bed with a book, the spell of television feels remote compared to the journey into the page. To be in a book. To slip into the crease where two pages meet, to live in the place where your eyes alight upon the words to ignite a world of smoke and peril, colour and serene delight. That is a journey no one can end with the change of a channel. Enduring magic.
Nina Garcia|I mean, I think about it, but I don't design my record to get a certain public response.
Billy Graham, Billy Graham in Quotes|[God] holds in His omnipotent hand the priceless, precious, eternal gift of salvation, and He bids you to take it without money and without price.
Eliot Spitzer|In the end, the real wisdom of menopause may be in questioning how fun or even sane this chore wheel called modern life actually is.
Ron Rash, Serena|When the average American says, “I’m starving,” it is a prelude to a midnight raid on a well-stocked refrigerator or a sudden trip to the nearest fast food restaurant.
Karen Marie Moning, The Immortal Highlander|Raphael lifted a finger, tracing it over her cheekbone. She flinched. Not because he was hurting her. The opposite. The places he touched ... it was as if he had a direct line to the hottest, most feminine part of her. A single stroke and she was embarrassingly damp. But she refused to pull away, refused to give in." (page 33 , Gollancz edition)
Stasia Ward Kehoe, Audition|Ian's eyes settled on him, his expression grim. He bypassed everything, coming to a stop in front of the nervous young male. “I want all of your medicines to relieve fever, including liquids and capsules. Plus, I want a thermometer, the best one you have, and make sure it's not rectal.” He narrowed his eyes at the wide-eyed clerk in front of him. “I don't do rectal, and I won't use anything that involves an ass.
Rebecca Scherm, Unbecoming|God doesn't always bring you the entire truth. He sometimes gives it to you in pieces, in order to learn. Regardless, it is the piece that you got today that will renew your faith for tomorrow.
Ruth St. Denis|Growing up in the '60s and early '70s, with the space flight and the Apollo program, I always loved planes. I always loved rockets and I always loved space travel.
de Lint Charles Vess Charles|You need to remember, he told her, that you don't have another life in the bank. You got to make the most of the one you're living right now. - Old Man Crow
E.M. Forster, Howard's End|Margaret had often wondered at the disturbance that takes place in the world's waters when Love, who seems so tiny a pebble, slips in. Whom does Love concern beyond the beloved and the lover? Yet his impact deluges a hundred shores,
Joseph Heller, Joseph Heller's Catch-22|...You know, one good apple can spoil the rest,” Colonel Korn concluded with conscious irony.
Henry Edward Armstrong|Teaching is a Creative profession, it is our duty as School Leaders and Education Influencers to offer the right climate to foster innovation and support Innovative Teaching practices within our schools, and that's what will make our students succeed in the 21st century
William Eardley IV|Always remember that striving and struggle precede success, even in the dictionary.
Yogi Bhajan|Alone within the vast tribunal that is the stormy sky, the pilot is in contention for his mailbags with three elemental divinities: mountain, sea and storm.
Elizabeth Gilbert|Step forward out of your own lingering residual sense of smallness, take up every inch of life that is your blessed inheritance, and DO YOUR THING.
Friedrich Nietzsche|However novel it may appear, I shall venture the assertion, that, until women assume the place in society which good sense and good feeling alike assign to them, human improvement must advance but feebly.
Caroline Paul|Some people keep God in a Sunday morning box and say, 'Hey, I did my religious duty.' That's fine, but the scripture says to pray without ceasing. And I think that means all through the day you're talking to God. Even if it's in your thoughts.
George Orwell, 1984|She's beautiful,' he murmured.'She's a metre across the hips, easily,' said Julia.'That is her style of beauty,' said Winston.
Dana Christy, A Heart's Salvation|Everything is falling into place perfectly. We have four dirty DEA agents working with a terrorist group and killing Americans on American soil. The headlines are going to write themselves and we're going to get our candidate into the White House. When that happens, we'll get the war we want. The war we can win.
Guy Gavriel Kay, Tigana|Tigana, let my memory ofyou be like a blade in mysoul.
Siobhan Davis, Destiny Rising|No matter how many times I've thought that the worst is behind us, something else always happens to remind me that the worst is yet to come.
Carol K. Carr, India Black and the Shadows of Anarchy|Yes, women have always had secrets and always will. I'm afraid men would be very distressed to learn what their darlings were thinking. Frankly, I don't think men are strong enough to bear the shock.
Brigitte Gabriel, Because They Hate: A Survivor of Islamic Terror Warns America|America has always prided itself on its multiculturalism and its multireligious communities, just as Lebanon prided itself on its multicultural, open-minded, and multireligious society. Today America’s lack of sufficient immigration and border control, like Lebanon’s, is allowing terrorists and other hostile individuals to come into our country at will. People who want to hurt us are mixed in with other Muslims who have no intention of becoming a part of our nation but are actually working to make America a part of their radical Islamic agenda. Muslims have become a sensitive issue in our American society, with demands and expectations, and a group to watch out for and be careful with. There are barely 6 million Muslims in America today out of a total U.S. population of 300 million, yet their presence has been seen and felt throughout every state in America. Stories of Islamic terrorist cells, Islamic charities linked to funding terrorism, Islamic mosques, and Muslims demanding more rights and acknowledgment are beginning to dominate the news. Islamic communities are harboring terrorist cells within. Their mosques are teaching hate against infidels both Christian and Jewish.
Mehmet Murat ildan|Might I not be able to love God in the ways that Katie was loving me? A desire to be close, to be in touch, to receive strokes and caresses from the Eternal, to feel warm and safe and comfortable with God? Was this not exactly what I longed for -- the experience of stretching out, so to speak, on the breast of God, purring in contentment, safely supported by the everlasting arms?
Dee Dee Myers|There's no right or wrong, success or failure.
Andrei Tarkovsky|Man is born unto the trouble as the sparks fly upwards.' In other words suffering is germane to our existence; indeed, how without it, should we be able to 'fly upwards
J. R. R. Tolkien|If love means that one person absorbs the other, then no real relationship exists any more. Love evaporates; there is nothing left to love. The integrity of self is gone.
Drexel Deal, The Fight of My Life is Wrapped Up in My Father|I felt utterly stripped of safety and love. And so, what tormented me most as I shook through August of 1988 wasn’t the nausea and chills but the recurring fear that I’d never have lasting comfort or joy again.
Erica Ridley, The Viscount's Christmas Temptation|She clenched her fists. "I believe, milord, that I have endured my full limit of male tyranny." "I am afraid, milady, that you will have to become accustomed to it. It is the way of things, here in the world beyond your cloister." He turned her forward and nudged her to continue down the stairs. "This world would fall into chaos if women were allowed to do whatever they wished.
Samuel Johnson, The Life of Samuel Johnson, Vol 2|Don't, Sir, accustom yourself to use big words for little matters.
Kevin Roose, The Unlikely Disciple: A Sinner's Semester at America's Holiest University|When I have too much information or too many choices, I often get confused.•	When one wants to encourage another to learn what ”I know that you don’t know,” encourage them to engage in deep thought on a topic you suggest. Deep thought is a positive activity that doesn’t blame and results in both a thinking process and outputs/outcomes that are positive.
Jack Kerouac|When leaders throughout an organization take an active, genuine interest in the people they manage, when they invest real time to understand employees at a fundamental level, they create a climate for greater morale, loyalty, and, yes, growth.
Moonshine Noire|we met one strange summerin a regular tangle of sticky websyou had the air of angels sweet but I--drowned with the damned spiritsin lava oceans fearing your--foreign static frequency and grey-green eyes(I swear they are even if you--think otherwise): stormscalm ones, calmer than my--raging coals, empty and deadyou speak of souls like you believealways an optimist in pessimisticskin of ivory and titanium mesh...
Simon the Zealot|We all grow up. Hopefully, we get wiser. Age brings wisdom, and fatherhood changes one's life completely.
Stephen Sondheim, Sunday in the Park With George|After twenty years of unbelief, doubt had become a habit. Doubting was easy, routine; it was my natural, instinctive reaction. Somewhere along the line I had stopped considering any other options. Doubt was my default. So choosing the blessing, the miracle, over coincidence had to be a conscious choice. I had to dismiss doubt as the crutch that it was, dismiss my gut instinct and embrace the more challenging alternative.
Greg  Gordon|Jesus teaches us to bless our enemies (Matthew 5:44) To bless those who curse us (Luke 6:28). To “never avenge yourselves” (Romans 12:19). When we truly forgive someone, we need to come to the place where we can bless them and desire God’s blessing also on their lives.
Thabo Katlholo, The Mud Hut I Grew Upon|When we are able to do something so easily, we regard such thing as simple; but simplicity is complexity. Withing the things which are simple lay the things which are complex and within the things which are complex, lay the things which are simple
Michael Bassey Johnson|...if anyone who speaks up to criticise something obviously evil is punished merely for speaking, civilisation will be in a bad way.
Carrie Jones, Need|When Henry handed her a cup of punch she whispered, "If you want to go on with the seniors or anything I'll be alright."Henry smiled at her. "You're my date, Scout.
Rosa Parks|You can have more than one home. You can carry your roots with you, and decide where they grow.
Mira Bartok, The Memory Palace|There are certain things in a man's past which he does not divulge to everybody but, perhaps, only to his friends. Again there are certain things he will not divulge even to his friends; he will divulge them perhaps only to himself, and that, too, as a secret. But, finally, there are things which he is afraid to divulge even to himself, and every decent man has quite an accumulation of such things in his mind. I can put it even this way: the more decent a man is, the larger will the number of such things be.
Ted Chiang, Stories of Your Life and Others|Life is about information, not about something else who knows the most he always wins.
Fredric Brown|Behind every great hatred is a love story. For I am a man who has known and tasted love. I say “a man” because that is how I know myself. Look at me, and what do you see? Do I not take the form of a man? Do I not feel as you do, suffer as you do, love as you do, mourn as you do? What is the essence of a man, if not these things?
David Duchovny|I lived in Dallas, and it's a big city, but you can jump on any freeway and drive in any direction for about 30 minutes and you are in the country - open space, wide open, very open, nothin' around.
Maggie Stiefvater, The Dream Thieves|You know what I mean. I'm telling you I was stupid over it. I thought it was about trying so hard to survive that you didn't have the time to be a good parent. Obviously, that's not it. Because you and I, we're both...wealthy in love.
Marcel Proust, Sodom and Gomorrah|Boredom is the very opposite of beauty and truth. Life has been sacrificed to profit, and the result is boredom on a massive scale.
Amalia Mesa-Bains, Homegrown: Engaged Cultural Criticism|He thought: that's certainly how it starts. One day a person puts his legs up on a bench, then night comes and he falls asleep. That's how it happens that one fine day a person joins the tramps and turns into one of them.
Patricia Briggs, Iron Kissed|He stepped back with exaggerated courtesy. But when I walked past him, he swatted my rump. Hard enough to sting.“You need to be more careful,” he growled. “Keep interfering in my business and you might get hurt.”I said sweetly as I continued to Jesse's room, “The last man who swatted me like that is rotting in his grave.”“I have no doubt about it.” His voice was more satisfied then contrite.
Orson Scott Card, Ender in Exile|In philosophy class I think we finally decided that 'good' is an infinitely recursive term - it can't be defined except in terms of itself. Good is good because it's better than bad, though why it's better to be good than bad depends on how you define good, and on and on.
Jim Butcher, Ghost Story|Courage is about learning how to function despite the fear, to put aside your instincts to run or give in completely to the anger born from fear. Courage is about using your brain and your heart when every cell of your body is screaming at your to fight or flee - and then following through on what you believe is the right thing to do.
Jon Kabat-Zinn|Symptoms of illness and distress, plus your feelings about them, can be viewed as messengers coming to tell you something important about your body or about your mind. In the old days, if a king didn't like the message he was given, he would sometimes have the messenger killed. This is tantamount to suppressing your symptoms or your feelings because they are unwanted. Killing the messenger and denying the message or raging against it are not intelligent ways of approaching healing. The one thing we don't want to do is to ignore or rupture the essential connections that can complete relevant feedback loops and restore self-regulation and balance. Our real challenge when we have symptoms is to see if we can listen to their message and really hear them and take them to heart, that is, make the connection fully.
Toni Morrison|You're the medium Weed and I use to communicate, that's all, this set of holes, pleasantly framed, this little femme scampering back and forth with scented messages tucked in her little secret places."She was too young then to understand what he thought he was offering her, a secret about power in the world. That's what he thought it was. Brock was young then too. She only took it as some parable about his feelings for her, one she didn't exactly understand but covered for with the wide invincible gaze practiced by many sixties children, meaning nearly anything at all, useful in a lot of situations, including ignorance.
Heidi Julavits, The Vanishers|These days, all I ask Fate is that the people she hurls into my life, whether they are evil or good, or morally bipolar, should be amusing to one degree or another.
Dancer|Music is the most abstract of the arts; dance, the most concrete.
Marty Rubin|Artists, by their free expressions, encourage others to be free. This is the quality that makes works of art enduring.
Anaïs Nin|I see a world on the edge of a blade. Without balance, it will fall.
Sunday Adelaja|Always be in control, do not allow money to possess your heart which should belong to God
Andrew Johnson|I've led a school whose faculty and students examine and discuss and debate every aspect of our law and legal system. And what I've learned most is that no one has a monopoly on truth or wisdom. I've learned that we make progress by listening to each other, across every apparent political or ideological divide.
Mehmet Murat ildan|The robb'd that smiles, steals something from the thief.
Anthony Weiner|Sticking with a marriage. That's true grit, man.
Kierra C.T. Banks|You embody the strength of 10,000 moons and your life will be a testament of it. Ase
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|I realized the universe had consumed my whole entity with its divine sensation of eternal bliss. All I could consciously perceive in that state of mind was absolute oneness. I felt being one with the banyan tree, under which I was sitting. I felt one with the corns in the field. I felt one with the sky and the clouds in it. As if everything was me, and I was everything. I didn’t have any perception of time or space. All that there was, was an all- pervading eternity – a state of non-dualism.
Jerry Bridges, The Discipline of Grace: God's Role and Our Role in the Pursuit of Holiness|A pastor struggled for years with sexual addiction, eventually becoming so despondent that hospitalized himself. He joined an inpatient group and was mostly silent as others shared.When he decided not to come one day, the leader found he had fallen back into his addiction the previous night. Against every fiber of his instinct, he came back to the group. He shared how much he despised himself and his hypocritical behavior. When he saw that others wept for him, the weight of the secret that piled on the shame was broken. As Ortberg puts it, the man was able to taste the grace he taught about.
J. Loren Norris|Authority to dream is not given, it is taken. Take it. Do not let the judgment of others be the final word. Without a doubt, if there is a one-word, one-step cure for bad peg moments, that word is perseverance. Let that be your final word.
Lawrence M. Krauss, A Universe from Nothing: Why There Is Something Rather Than Nothing|[I]n science we have to be particularly cautious about 'why' questions. When we ask, 'Why?' we usually mean 'How?' If we can answer the latter, that generally suffices for our purposes. For example, we might ask: 'Why is the Earth 93 million miles from the Sun?' but what we really probably mean is, 'How is the Earth 93 million miles from the Sun?' That is, we are interested in what physical processes led to the Earth ending up in its present position. 'Why' implicitly suggests purpose, and when we try to understand the solar system in scientific terms, we do not generally ascribe purpose to it.
William S. Burroughs, The Cat Inside|When Rome burned, the emperor's cats still expected to be fed on time.
John Bellamy Foster, The Endless Crisis: How Monopoly-Finance Capital Produces Stagnation and Upheaval from the USA to China|It is time someone put in a good word for the petite bourgeoise. Unlike the working class and capitalists, who have never lack for spokespersons, the petite bourgeoise rarely, if ever, speaks for itself.
Meg Jay|Shoulds can masquerade as high standards or lofty goals, but they are not the same. Goals direct us from the inside, but shoulds are paralyzing judgments from the outside. Goals feel like authentic dreams while shoulds feel like oppressive obligations. Shoulds set up a false dichotomy between either meeting an ideal or being a failure, between perfection or settling. The tyranny of the should even pits us against our own best interests.
E. Journey, Welcome, Reluctant Stranger|Most races have a finish line, but some racists are running races where since they never hit the finish line, they never finish lying.
Samuel Taylor Coleridge|In the flush of love's light, we dare be brave. And suddenly we see that love costs all we are, and will ever be. Yet it is only love which sets us free.
Dani Pettrey, Stranded|It's your job to tell others about Jesus, about what He's done in your life and what He can do in theirs, but you can never make someone believe, no matter how strong or pure your intentions. Salvation is between that person and God,' Piper said.
Nadine Brandes, A Time to Die|The flower is here, so let's dance here.
Alexander Kluge|It's like there are all these languages available, especially in terms of image. Why confine yourself to only English? There's all these languages and possibilities and concepts to speak or communicate with.
Auliq Ice|Without courage, little is done and accomplished.
Radostin Chernev|She is my girlfriend, I can do whatever I want to her. In fact, I’m going to take her home and fuck her from here to eternity, how about that?
Sena Jeter Naslund, Ahab's Wife, or The Star-Gazer|What, in nature," Kit asked, "is the most beautiful thing you've seen? Or the most terrible?""The Dismals," Giles answered promptly. "A beautiful aberration in the lay of the land--North Alabama. A section mysteriously lowered, strewn with boulders, ferny, mossy, cooler--the vegetation, they say, typical of Canada. There the creek runs clear, but all other Alabama rivers and waterways are muddy with sediment. I even like the name--the Dismals. An eternal place, disjunct with the climate, the time, and its location.""You think being dismal is an attractive association with eternity?" I asked."It is a cool Eden in the Southern summer heat. What's yours, Una?""The Kentucky hills in spring. Layers of pink and white--redbud and dogwood.""And you?" Giles asked Kit."Stars," he said. That was all.
Amit Kalantri|Between natural ability and education choose natural ability, as it will keep you happy and will fetch you the glory sooner.
Lailah Gifty Akita|Through understanding of God way's of grace, a man find grace to turn away from evil.
Unknown|The poem is like a monster, against which the critic does battle. There is only one way to conquer the monster: you must eat it, bones, blood, skin, pelt, and gristle. And even then the monster is not dead, for it lives in you, is assimilated into you, and you are different and somewhat monstrous yourself for having eaten it.
Solange nicole|If you plan to build walls around me, know this—I will walk through them.
