Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Barbara Kingsolver, The Poisonwood Bible|Living things aren't finished, you see. Everything they have ever been in contact with, each thought they have had, each person they have known - these things are still at work in them; nothing's finished.("The Graveyard Reader")
T Jay Taylor|Science contributes to our culture in many ways, as a creative intellectual activity in its own right, as the light which has served to illuminate man's place in the universe, and as the source of understanding of man's own nature.
Kerrelyn Sparks, The Undead Next Door|His eyes darted over the surface of my face. Like a moth to a blaze he was hesitant, seeming to crave my warmth but not its inevitable burn. He explored me from a distance with his unspoken desire, with the fear that touching me would set him to flame. I wanted nothing more in that moment than to prove very much the opposite.
Tanzy Sayadi, Write like no one is reading 2|Better to be a diamond in the rough, than a polished fake in denial.
S.M. Boyce, Lichgates|The time will come when you will doubt everything you stand for, but you must push forward and never stop. Do not let others speak for you, or you will lose your voice forever.” ~The Grimoire
Carsten Jensen, We, the Drowned|Take the sailor," he said. "he signs on to a new ship. He's surrounded by nothing but strangers. Not only do they come from other towns and parts of his own country, but often from completely different nations. He has to learn to work with them. His vocabulary's broadened, he learns new words and grammar, and he comes across new ways of thinking. he turns into a different man, unlike the one who spends his life plowing the same old furrow. These are the men the world needs, not nationalists and warmongers.
John Steinbeck, The Winter of Our Discontent|Rest is essential, but during our periods of rest, we must think to ourselves that in resting we are renewing our energy to fulfill our commitment.
Gary Sheffield|America is moving forward and gaining strength. We have been tested, and we have proven ourselves to be a tough, resilient and resourceful nation.
C. JoyBell C.|So winners, Hae-Joo proposed, are the real losers because they learn nothing? What, then, are losers? Winners?
Anonymous|What a sad thing I thought-- to live in a world so concerned with the lives of others,we forget to live our own.
Jostein Gaarder, The Orange Girl|But sorrow can also be contagious. Fear is different. It isn't as communicable as laughter or sadness, and a good thing too. Fear is almost entirely a lonely thing.
Herman Hesse|I don't really remember a time younger than 5 years old that I didn't have skates on because all I can remember is every day, tying up my skates and a big smile on my face, excited to go on the ice.
rassool jibraeel snyman|Of all silences I had encountered this was the gravest and most inevitable: not the silence of secrets, but of knowing.
Michael McCaul|And currently, there are four to five new works in the pipeline for upcoming celebrations such as the Sydney 2000 Olympics, Australian Federation, my 50th Birthday, and Sydney Dance Company's 25th Anniversary.
Brigham Young|I think that if I ever have kids, and they are upset, I won't tell them that people are starving in China or anything like that because it won't change the fact that they are upset.
Angela Parkhurst, The Forgotten Fairytales|Now that you’re here, now that they know you exist, you’ll never be free again. Ever. We’re prisoners to our books, our fates planned long before we were born. You’re no different than us. Fight your fate all you want, but deep down you know it’s true.
Kathryn Harrison|London, from the architecture to the culture to the fashion to the accents, feels like it's a special place.
Carolyn Gibbs, Murder in Paradise|Claire started to unbutton her blouse and looked over her shoulder at Sam, who tried to discreetly sneak a peek at her. She reached down to the bed and picked up the nightshirt the hotel staff provided, per Lacy's request, an extra-large white cotton T-shirt sporting the hotel's name and logo in classy gray lettering.They also provided a pair of gray cotton boxers for Sam. He picked them up. "Not bad. They really thought of everything, huh?""Yes, it was very thoughtful of Lacy. We won't have to sleep in our clothes," Claire agreed on her way to the bathroom to change."Or in the buff, which wouldn't be such a bad thing," Sam said in a low voice."I heard that, Sam," Claire yelled from the bathroom."Wouldn't be such a bad thing." Sam called back."That remains to be seen." She giggled."Yeah, well you can't blame a guy for trying.
C.F.W. Walther, Law & Gospel: How to Read and Apply the Bible: A Reader's Edition|If the teaching of Christ were a law, it would not be a gospel {glad tiding}, but a sad tiding.
Jeffrey Michelson, Laura Meets Jeffrey: Both Sides of an Erotic Memoir|She was a former Texan - proud, loud and stubborn. But you can't really be a former Texan. You can only move out of Texas. To be a former Texan would be like growing up in Italy, moving out and being formerly Italian.
Chila Woychik, On Being a Rat and Other Observations|He looked along the line of children, exhibits A to C of his existence and heirs to the twisted throne of his corrupt genetics.
Billy Graham, Billy Graham in Quotes|God undertook the most dramatic rescue operation in cosmic history. He determined to save the human race from self-destruction, and He sent His Son Jesus Christ to salvage and redeem them. The work of man’s redemption was accomplished at the cross.
Michelle Goncalves|Choices can help create the human desire for their future. But there are some, who's fate has already been decided.
Piper Payne|Pain writes the words, sorrow wields the pen, tears wet the paper, and the story mends the heart.
Sonya Huber|I will be living with chronic pain for the rest of my life. I don’t have the mobility, energy or life options I used to have. I work hard to manage the pain, and I want the medical system to be a respectful and effective partner, not a jailer. The opioid crisis is not my doing.
Anaïs Nin|Luxury is not a necessity to me, but beautiful and good things are.
Gloria Steinem, My Life on the Road|Father Egan continues to write about everything from the injustice of current wars to the past and future of Catholic mysticism.In the Catholic Reporter, he publishes an article titled "Celibacy, a Vague Old Cross on Priestly Backs", and explains that it started "only in 1139 when the church no longer wanted to be financially responsible for the children of priests.
Samuel Adams|Society is one vast conspiracy for carving one into the kind of statue likes, and then placing it in the most convenient niche it has.
Alain de Botton|I was reading poetry to my girlfriends, and they were like, 'You're really good. You should go to some poetry readings or something.' And I eventually went and got a, you know, somewhat of a name for myself and a little bit of a following.
Israelmore Ayivor, Daily Drive 365|You can’t keep your feet on the ground, hoping to enjoy the fruits of your labour. The fruits are on the top; keep climbing till you pluck them with your hands!
Kelly Moran, Exposure|(He remembered resting against her afterward, listening to the beat of her heart, taking her breath into his lungs, and thinking that he was the luckiest man in the world, that you couldn't connect with a human being any more perfectly than that. And sure enough, he'd been right.)
Billy Graham, Billy Graham in Quotes|Whether or not we sense and feel the presence of the Holy Spirit or one of the holy angels, by faith we are certain God will never leave us or forsake us.
Garry Shandling|As a practising lawyer, I was mediocre, but I worked hard as a law officer of the state government and on the private side. After becoming a judge, I maintained a low profile in other activities and concentrated only on judicial work.
Tadeusz Konwicki, A Minor Apocalypse|Remember, In life, when you're given anything for free, be grateful 'cause the best and rarest things in life are for free; and when you're given easy access to anything, be suspicious 'cause the best things in life come from hardwork.
Manprit Kaur|As adults we get so entrapped in illusions and trivia, that we forget the true essence of life; and so often we need to connect with children, to understand that it is the little, priceless joys that make life beautiful and worthy.
Maisie16|Presumably, a confused person would be too addled to recognize that he was confused. Ergo, if you know that you are not confused then you are not confused. Unless, it suddenly occurred to me--and here was an arresting notion--unless persuading yourself that you are not confused is merely a cruel, early symptom of confusion. Or even an advanced symptom. Who could tell? For all I knew I could be stumbling into some kind of helpless preconfusional state characterized by fear on the part of the sufferer that he may be stumbling into some kind of helpless preconfusional state. That's the trouble with losing your mind; by the time it's gone, it's too late to get it back.
Marcus Aurelius, The Emperor's Handbook|Your days are numbered. Use them to throw open the windows of your soul to the sun. If you do not, the sun will soon set, and you with it.
Red Phoenix, Socrates Inspires Cherry to Blossom|No, Rae, the clocks won't chime again, these clocks have marked my fall." - Fletcher Green
George Grossmith, The Diary of a Nobody|I told Sarah not to bring up the blanc-mange again for breakfast. It seems to have been placed on our table at every meal since Wednesday… In spite of my instructions, that blanc-mange was brought up again for supper. To make matters worse, there had been an attempt to disguise it, by placing it in a glass dish with jam round it...I told Carrie, when we were alone, if that blanc-mange were placed on the table again I should walk out of the house.
Suzanne Brockmann, Do or Die|This is what we, in the con business, call making a spectacle of ourselves. Let’s try to avoid that from now on.”“Except […] Mr. No-Sex-in-the-Bathrooms is going to describe two probably drunk people who staggered in. Plus, he thinks I’m a prostitute. We can double down on that by …” She stopped him, glancing back into the store throught the big plate-glass windows. Ian looked, too, and sure enough, the clerk was still watching them warily.“Perfect, she said, and the made what was, absolutely, the international two-handed gesture for sexual intercourse. She then added a couple of exaggerated hip thrusts, saying, “I want to make this absolutely clear, because this guy’s kind of an idiot.” She then rubbed her fingers together, after which she held out her hand, palm up, as if to say Pay me.Ian cracked up. “That’s actually kind of scary. Sex with a mime. Do I have to pay extra to make sure you don’t do the trapped-in-a-box thing while we’re doing it?
Erin Hunter, Long Shadows|I’d bet a month of dawn patrols those apprentices had something to do with it,” Birchfall meowed. “Why else would they disappear back to ShadowClan without their mother?”Dustpelt let out a snort of amusement. “I can just picture those three holding Blackstar down until he agreed.
Barbara Kingsolver, Flight Behavior|...whatever is lovely, whatever is gracious, if there is anything worthy of praise, think about these things. And peace will be with you.
Hilary Mantel, Wolf Hall|Everyone must look out for himself, and the best time is had by those who're best able to decieve themselves.
Nick Bostrom|If you think back to the beginning of cell phones, laptops or really any new technology, it's always expensive.
Nebo D. Lukovich, Inner Peace, Outer Success: The Reintegration System: Spiritual Growth, Healing, Solving Problems and Achieving Goals with Cutting-Edge Mind Techniques|Surround yourself with people who will believe in you, challenge you and encourage you.
Mary Pipher, Letters to a Young Therapist|Therapy isn't Radio.We don't need to constantly fill the air with sounds. Sometimes, when its quite, surprising things happen.
Lidiya K., This Moment|One of the reasons for not being contented is our inability to accept things as they are, together with ourselves, other people, events and every little detail of our days.And we try to change the unchangeable and control the uncontrollable.
Suzanne Collins, The Hunger Games|My prayer as you read this book is that you will find comfort for the disappointment of unanswered prayer, but also courage to continue on the epic journey that prayer is.
William Carlos Williams, Kora in Hell|The strongest intimidation, by the way, is the invention of a hereafter with a hell everlasting.
Al Franken|The U.S. Constitution protects our privacy from the prying eyes of government. It does not, however, protect us from the prying eyes of companies and corporations.
Virginia Alison|All women are lifelong members of the Secret Service...So, if you must lie, better make sure you cover your tracks because there is no such thing as a 'dumb blonde'...
Kristin Hannah, The Nightingale|Vianne knelt down beside Sarah, she felt for a pulse and found none. The silence turned sour, thick; all Vianne could think about was the sound of this child's laughter and how empty the world would be without it.
Jack Campbell, The Hidden Masters of Marandur|See you now your bait of falsehood take this carp of truth; and thus do we of wisdom and of reach, with windlasses and with assays of bias, by indirections find directions out.
Jen Grice, You Can Survive Divorce: Hope, Healing, and Encouragement for Your Journey|I know that whatever the complex origins of my own homosexuality are, there have been conscious choices I've made to indulge - and therefore to intensify, probably - my homoerotic inclinations. As I look back over the course of my life, I regret the nights I have given in to temptations to lust that pulsed like hot, itching sores in my mind. And so I cling to this image - washed. I am washed, sanctified, justified through the work of Jesus Christ and the Holy Spirit. Whenever I look back on my baptism, I can remember that God has cleansed the stains of homosexual sin from the crevasses of my mind, heart, and body and included me in his family, the church, where I can find support, comfort, and provocation toward Christian maturity.
Gary Zukav|Jealousy, that dragon which slays love under the pretence of keeping it alive.
Alisha Rai, Veiled Seduction|Can you…make it different this time?”“Different, how?”“Different position, different…something. I want to learn it all.”Whoa, pressure. When Maira’s genius brain wanted to learn something, she really applied herself.
Matt Haig, A Boy Called Christmas|To lose someone you love is the very worst thing in the world. It creates an invisible hole that you feel you are falling down and will never end. People you love make the world real and solid and when they suddenly go away forever, nothing feels solid any more.
Sarah Dessen|He grinned again. We'd only been seeing each other for a few weeks now, but this easy give-and-take still surprised me. From that very first day in my room, I felt like we'd somehow skipped the formalities of the Beginning of a Relationship: those awkward moments when you're not all over each other and are still feeling out the other person's boundaries and limits. Maybe this was because we'd been circling each other for a while before he finally catapulted through my window. But if I let myself think about it much - and I didn't - I had flashes of realising that I'd been comfortable with him even at the very start. Clearly, he'd been comfortable with me, grabbing my hand as he had that first day. As if he knew, even then, that we'd be here now.
Dave Matthews|I'm not necessarily that big of a clubbing junkie, but I really like dance music as a genre.
Temi 'T Quest' Sholeye|Everything that we have in actual fact does not belong to us, but to God.
Toni Sorenson|The supreme adventure is not falling in love. The supreme adventure is being born ... by the act of being born, we step into a world which is incalculable, into a world which has its own strange laws, into a world which could do without us, into a world that we have not made. In other words ... we step into a fairy-tale.
Kristian Goldmund Aumann|Each new day begins with a meditation, and ends with a purifying catharsis.
Rob Lowe|I heard some stuff recently from Julian Casablancas, and his solo stuff is amazing. If I could write with anyone, it would be him.
Laurell K. Hamilton, Narcissus in Chains|I knew from the moment I heard you, the moment I saw the gun and realized that this lovely, petit woman was the executioner, that you would never die waiting for me to save you - that you would save yourself.
Henry Miller|I would be married, but I'd have no wife, I would be married to a single life.
Ivy Devlin, Low Red Moon|Ben kissed me like he could kiss me forever, like he had to kiss me forever and he wanted to, he wanted me, and when he felt my surprise at that, I could feel again how beautiful I was to him, how I was beautiful beyond words.
Ernest Agyemang Yeboah|There are so many people whose minds do not belong to them. There are so many people whose thoughts have been purchased by people. There are so many people who have made people kings and queens of their thought. There are so many people who cannot sleep because of people. There are so many people whose lives are a small percentage of their own self and a greater percentage of others. When the offenses of people occupy your mind, your mind becomes the offenses of people instead of your own mind. To have your own mind and to be your own self, free your mind!
Donald Miller, A Million Miles in a Thousand Years: What I Learned While Editing My Life|I think this is when most people give up on their stories. They come out of college wanting to change the world, wanting to get married, wanting to have kids and change the way people buy office supplies. But they get into the middle and discover it was harder than they thought. They can't see the distant shore anymore, and they wonder if their paddling is moving them forward. None of the trees behind them are getting smaller and none of the trees ahead are getting bigger. They take it out on their spouses, and they go looking for an easier story.
Hiroko Sakai|The mercy of forgiveness is brought from the strength to accept any situation given and faced. Spiritual independence and humbleness toward life makes life like a flowing river of release. What happens will happen anyways, and everybody can make mistakes. The important thing is to learn how to make a better future from the mistake.
Jim Butcher, Proven Guilty|Maybe this is what it feels like for civilians when they see cops doing some of the dirty work. A lot of times they don’t understand what’s happening. They see something they don’t like and it upsets them—because they don’t have the full story, aren’t personally facing the problem, and don’t know how much worse the alternative could be.
Neil Gaiman|Writers perform an extremely important role: they make others dream, those who are unable to dream for themselves. And everyone needs to dream. Could there be any more important job in life than that?
Michael J. Marx, Ethics & Risk Management for Christian Coaches|And as the wicked are always ungrateful, and necessity leads to evil doing, and immediate advantage overcomes all considerations of the future, Ginés, who was neither grateful nor well-principled, made up his mind to steal Sancho Panza's ass.
Aileen Erin, Becoming Alpha|There she stood. Dark circles ringed her eyes. Her face was pale, almost snow-white. She probably hadn't slept, either. She was still wearing the same dress. Her hair looked like a bomb had gone off. She was beautiful.
Rafe Spall|My dad's quite a conservative person, and he brought me up to be very questioning of the commercial world. He looked down on pop culture. I definitely got the impression that pop was evil and that Britney Spears was evil.
Susan Ee, Angelfall|When you're rich, 'crazy' is just 'eccentric'.
Sanhita Baruah|But stories are worlds. New worlds for us to visit. In stories, we live forever.
Lyle Lovett|Life is an adventure, it's not a package tour.
W. Somerset Maugham, Of Human Bondage|Criticism may not be agreeable, but it is necessary. It fulfils the same function as pain in the human body; it calls attention to the development of an unhealthy state of things. If it is heeded in time, danger may be averted; if it is suppressed, a fatal distemper may dev
Jay Asher|He felt what a murderer must feel, when he sees the body he has robbed of life. That body, robbed by him of life, was their love, the first stage of their love. There was something awful and revolting in the memory of what had been bought at this fearful price of shame. Shame at their spiritual nakedness crushed her and infected him.
Terry Pratchett|I really should talk to him. He's had a near-death experience!”"We all have. It's called living."(Hogfather)
Criss Jami, Killosophy|Just remember, the single most important thing in this world is love. You find it, you fight for it.
Chrystine Oksana, Safe Passage to Healing: A Guide for Survivors of Ritual Abuse|…is methodical abuse, often using indoctrination, aimed at breaking the will of another human being. In a 1989 report, the Ritual Abuse Task Force of the L.A. County Commission for Women defined ritual abuse as: “Ritual Abuse usually involves repeated abuse over an extended period of time. The physical abuse is severe, sometimes including torture and killing. The sexual abuse is usually painful,humiliating, intended as a means of gaining dominance over the victim.The psychological abuse is devastating and involves the use of ritual indoctrination. It includes mind control techniques which convey to the victim a profound terror of the cult members …most victims are in a state of terror, mind control and dissociation” (Pg. 35-36)
Oleander Plume, Chemical [se]X|He found my g-spot,alright, he found it, then made it sing Zippity-Doo-Dah.
Maggie Kuhn|She was a voice with a body as afterthought, a wry smile that sailed through heavy traffic. Give her a history and she'd disappear.Eric Packer about Vija Kinski
Dada Bhagwan|People make you retract spoken words but they do not understand [know] that speech is a record, so how can anyone retract it?
Miranda Kerr|You think back and you ask yourself why you became so interested in wolves. I think it was because when I was very small, growing up in a little hamlet near Shap, we would go to Lowther Wildlife Park for birthday parties. Now closed, it was only three miles from my parents' house.
Fiorella De Maria, Do No Harm|Men crawl in slime and wallow in the mud;The Realist groans: "All life is mud ans slime!"Men lie and steal and shed each other's blood;And Realism sees but blood and crime.Yet Right is just as real as Wrong,The mountain peak is real as the ooze,A curse is no more real than a song;Among realities we need but choose.The cynic sees the failure of To-day,The Prophet cries the triumph of To-morrow,Knowing the spirit in our clogging clayThat masters doubt, disaster, loss and sorrow.Failure is but a passing weariness,There is no final answer but Success.
Oscar Wilde|Do you want to kill his love for you? What sort of existence will he have if you rob him of the fruits of his ambition, if you take him from the splendour of a great political career, if you close the doors of public life against him, if you condemn him to sterile failure, he who was made for triumph and success? Women are not meant to judge us but to forgive us when we need forgiveness. Pardon, not punishment, is their mission. Why should you scourge him with rods for a sin done in his youth, before he knew you, before he knew himself? A man's life is of more value than a woman's. It has larger issues, wider scope, greater ambitions. A women's life revolves around curves of emotions. It is upon lines of intellect that man's life progresses. Don't make any terrible mistake, Lady Chiltern. A woman who can keep a man's love, and love him in return, has done all the world wants of women, or should want of them.
Geoffrey M. Gluckman|Feel your emotions,Live true your passions,Keep still your mind.
Richard Yates, Revolutionary Road|He couldn't even tell whether he was angry or contrite, whether it was forgiveness he wanted or the power to forgive.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Self-discipline is often disguised as short-term pain, which often leads to long-term gains. The mistake many of us make is the need and want for short-term gains (immediate gratification), which often leads to long-term pain.
Arthur Schopenhauer, The Art of Always Being Right|Agatha: "If you say anything smug or stuck-up or shallow, I'll have Reaper follow you home."Sophie: "But then I can't talk!
Henry Ford|Whether you think you can or think you can't, you're right.
Matthew J. Hefti, A Hard And Heavy Thing|A life was a story, and a story was nothing more than a promise that something bad would happen. It was a promise that people would desire and want and ache and burn, but it was not a promise that they would find what they sought.
Laura McHugh, Arrowood|We all had dreams, regrets, accomplishments, people we'd loved and disappointed, and at some point, for each of us, those earthly concerns would fall away, our lives replaced in an instant by darkness or--if you believed--light. Sometimes deaths came too soon, sometimes not soon enough, and only for certain sinners did it come at a time of one's choosing.
Michael Meade, Why the World Doesn't End: Tales of Renewal in Times of Loss|Soul is found where life deepens us, where meaning calls to us, where trouble deters us, wherever and however we slow down in the midst of the rushing and racing at the surface level of life.
Tim Burton|I went to a fundamentalist Christian high school and went to a fundamentalist church, and they were the greatest people; there was an amazing sense of community. The problem is when the messiness of real life enters, and the inflexibility of a moral code cannot cope with the realities of moral relativism.
Richelle Mead, Shadow Kiss|Chase opened the mini fridge. “Wanna drink?” He asked.“No thank you and you shouldn’t either.”“Oh I definitely need one, besides it numbs the hunger.” He grabbed a few of the tiny bottles from the door shelf.“Then by all means get your drink on.” Samuel chuckled.
Laura Kaye, Dare to Resist|A year ago, you fell into my arms and I felt some crazy connection to you. I'm sure as hell not good enough for you, and I'm sure as hell not making any promises, but I'm damn sure you were worth waiting for.
James     Baldwin, The Fire Next Time|It is not enough for the Negroes to declare that color-prejudice is the sole cause of their social condition, nor for the white South to reply that their social condition is the main cause of prejudice. They both act as reciprocal cause and effect, and a change in neither alone will bring the desired effect. Both must change, or neither can improve to any great extent."(p.88)...."Only by a union of intelligence and sympathy across the color-line in this critical period of the Republic shall justice and right triumph,
Jane Lynch|When you are just starting out with an online business, there's a good chance that you'll be making several mistakes. Because of the mistakes that can be made with starting an online business, many people decide to quit or think that online businesses are just a scam.
Nava Atlas, The Literary Ladies' Guide to the Writing Life|Andrew Davies has said he prefers his authors dead, and I can see there is only a limited usefulness in a live one when it comes to adaptation.
Kunal Karan Kapoor|Follow your heart and go with the flow".
Jhonen Vásquez, Johnny the Homicidal Maniac Director's Cut HC|To love for the sake of being loved is human, but to love for the sake of loving is angelic.
S. Truett Cathy|What you want in a mentor is someone who truly cares for you and who will look after your interests and not just their own. When you do come across the right person to mentor you, start by showing them that the time they spend with you is worthwhile.
Nathan Van Coops, In Times Like These|He let out a short laugh. "You sound like Sherlock Holmes. You gonna pull out a magnifying glass? A pipe, maybe?
Isabel Allende|Endurance is not just the ability to bear a hard thing, but to turn it into glory.
M Fazan Hafeez|No one in this world can change your habits, but only you can..... so, MOst powerfull person of this world is you..!..........keep that in your mind!
Wendell Berry|I used to believe that people are only born once, but now I feel I have been reborn, like I was given a new life. I see myself as a child, full of energy and hope.
Gigi Hadid|Words have life and must be cared for. If they are stolen for ugly uses or careless slang or false promotion work, they need to be brought back to their original meaning - back to their roots.
Virginia Petrucci, Best New Writing 2014|You look within and upon and around me, savoring every inch. You pull my ear for no reason, and I can tell you really don’t want to cry. As a tear falls between by breasts, I look away and pretend the grass is a jungle, and the ants, little kings of forgotten tribes.
Julie Klausner, I Don't Care About Your Band: Lessons Learned from Indie Rockers, Trust Funders, Pornographers, Felons, Faux-Sensitive Hipsters, and Other Guys I've Dated|If anybody studying psychology wants a concrete example of what a narcissist looks like, I advise them to consider any man who cheats on his wife. These guys are the textbook me-firsters, the ones who think the rules don't apply to them, the ones who tell themselves as long as she doesn't know, there's no harm done. No woman needs to sleep with these guys. There are so many single self-absorbed narcissists who will fuck you poorly.
Annie Dillard, Teaching a Stone to Talk: Expeditions and Encounters|At a certain point, you say to the woods, to the sea, to the mountains, the world, Now I am ready. Now I will stop and be wholly attentive. You empty yourself and wait, listening. After a time you hear it: there is nothing there. There is nothing but those things only, those created objects, discrete, growing or holding, or swaying, being rained on or raining, held, flooding or ebbing, standing, or spread. You feel the world's word as a tension, a hum, a single chorused note everywhere the same. This is it: this hum is the silence. Nature does utter a peep - just this one. The birds and insects, the meadows and swamps and rivers and stones and mountains and clouds: they all do it; they all don't do it. There is a vibrancy to the silence, a suppression, as if someone were gagging the world. But you wait, you give your life's length to listening, and nothing happens. The ice rolls up, the ice rolls back, and still that single note obtains. The tension, or lack of it, is intolerable. The silence is not actually suppression: instead, it is all there is.
Anthony Joshua|Even as a kid, I never wanted to be famous; I wanted to be good.
Stewart Stafford, The Vorbing|Ah, sleep, clothe me in thy velvet cloak.
Aminatta Forna, The Memory of Love|To write,” Marguerite Duras remarked, “is also not to speak. It is to keep silent. It is to howl noiselessly.
Jay Kristoff, Illuminae|since i will not send this, i also feel it is my duty to inform you that almost six months on I think I still love you and that makes me sad becaue love shouldn’t feel this way. is like getting kicked in the stomach every time i think of you and it makes me want to roll my face across this keyboardbiu;///ubEWdcfhugiov’byhi;.//////-=‘-0i9juh8ygtfdcsaazs34defg7uefg7u8hi9o0p8hi9o0p-[[09ju8dcsaazs34d9o0p-[[09.
Linsey McGoey|frustration has flared up over the Common Core initiative, involving the implementation of national reading and maths standards for primary and secondary school children. The Gates Foundation played a central role in bringing the standards to fruition. Spending over $233 million to back the standards, the foundation dispersed money liberally to both conservative and progressive interest groups. The two major teachers' unions, the National Education Association and the American Federation of Teachers, each received large donations, as did the US Chamber of Commerce. Gates himself suggested that a benefit of the standards is that they open avenues towards increasing digital learning. In 2014, Microsoft announced it was partnering with Pearson to load Pearson's Common Core classroom material onto Microsoft's Surface tablet. Previously, the iPad was the classroom frontrunner; the Pearson partnership helps to make Microsoft more competitive.
Rainbow Rowell, Attachments|Grazing over every part of her statuesque figure, I do give in to her every wish. The sounds that escape her enlighten my senses, becoming aware of her metamorphosis as she becomes even more beautiful to me. Nothing more seems to matter as I lie here being gentle with Nadia, forever determined to please her, always changing and never changing, my love always and forever being her greatest adventure, she being all that I need and love now and forever.
Norman Wisdom|We have real cliched ideas of what prison life is like. It is not a happy place. It's a desperate, sad situation.
Winston S. Churchill|Faith, is the road that goes straight past the gravel, and cloud-mesh dirt into a mirage, where still you believe to go straight, and when you finally catch up with it, it ends at a lake where you stretch your eyes across, but unable to glimpse the other side- so you jump in and swim, gliding each stroke with tiredness and swallow of water, you reach the end, put a hand out and pull yourself up on concrete, where the same road continues straight into another blue-white blur.
Lorene Cary, Black Ice|I had not expected the gentle, tentative surge of gratitude I began to feel...for St. Paul's School, the spring, and the early morning. I needed the morning light and the warbling birds. I needed to find a way to live in this place for a moment and get the good of it. I had tried to hold myself apart, and the aloneness proved more terrible than what I had tried to escape.
Anna North, The Life and Death of Sophie Stark|I was sixteen, still my mother’s prisoner, the night I became the whale.
Madeline Zima|I'm very opinionated about movie musicals when they're adapted from live shows. You'll sit still for a three-minute song in a theater. But in movies, a glance from someone's eyes will tell you the whole story in a few seconds.
Janet Malcolm|Prediction is the business of prophets, clairvoyants, and futurologists. It is not the business of novelists. A novelist’s business is lying. The weather bureau will tell you what next Tuesday will be like, and the Rand Corporation will tell you what the twenty-first century will be like. I don’t recommend that you turn to the writers of fiction for such information. It’s none of their business. All they’re trying to do is tell you what they’re like, and what you’re like -- what’s going on -- what the weather is now, today, this moment, the rain, the sunlight, look! Open your eyes; listen, listen. That is what the novelists say. But they don’t tell you what you will see and hear. All they can tell you is what they have seen and heard, in their time in this world, a third of it spent in sleep and dreaming another third of it spent in telling lies. [Introduction to The Left Hand of Darkness]
Deyth Banger|-I would die for you-You lie -If I lie, why do I stand here before and beg on my knees to get you back? -Because you're feeling alone -If need your love-You don't need me, you only need a person-And you're that person-No I'm not-But I love you-That what I do
L.K. Elliott, Confessions of an Ex Hot Mess|It felt now as if I'd never known them and I couldn't know them again. It seemed to me that whatever had existed back in the place where I'd grown up was so far away now, impossible to retrieve.
Hermann Hesse, Siddhartha|The Buddha referred to married people as “householders.” He even gave clear instructions as to how one should be a good householder: Be nice to your spouse, be honest, be faithful, give alms to the poor, buy some insurance against fire and flood . . . I’m dead serious: The Buddha literally advised married couples to buy property insurance.
Rainer Maria Rilke, Letters to a Young Poet|only someone who is ready for everything, who doesn't exclude any experience, even the most incomprehensible, will live the relationship with another person as something alive and will himself sound the depths of his own being.
Anne Stuart, The Devil's Waltz|It's a good thing you're an aging orphan," he murmured, gently pushing the hair away from her face. "I don't have to wait around to get anyone's permission.""Permission for what, you rat bastard?" she said. "Such language, dragon. I'm afraid you're going to have to marry me.
Kurt Vonnegut|In Sweden, there's a lot of talk of gender equality. That discussion isn't as prevalent in the U.S. I feel that successful American women are tougher than Swedish women - they create their space.
Vladislav Krapivin, Выстрел с монитора. Гуси-гуси, га-га-га...|...ежели разобраться, что такое счастье? Это - жизнь без страха...(Корнелий Глас)
Tipper Gore|Whenever you're looking at new ways to get in shape, first you have to decide what you want. Do you want a more muscular look, or do you want to slim down and appear more toned and ripped? I adapt my training and diet with each role I do, depending on the image I want to convey.
Martin Amis|An artist must be free to choose what he does, certainly, but he must also never be afraid to do what he might choose.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|The keys to health and weight-loss: stress reduction, sleep, deep breathing, clean water, complete nutrition, sunshine, walking, stretching, meditation, love, community, laughter, dreams, perseverance, purpose, humility, action.
Nikki Rowe|one day you will wake up, you will see with clear sight all that has held you back; you will feel lighter because you finally accept who you are. You will shine with flawless beauty because your happiness comes from the purity of your heart and one day I hope you realise all of this, before it's too late; because darling, if we spent our years nurturing the best of ourselves, heaven would be felt on earth.
James E. Loder, The Logic of the Spirit: Human Development in Theological Perspective|God's dialogue with us becomes truly human, since God conducts his part as man.
Horace McCoy|It's peculiar to me,' she said, 'that everybody pays so much attention to living and so little to dying. Why are these high-powered scientists always screwing around trying to prolong life instead of finding pleasant ways to end it? There must be a hell of a lot of people in the world like me--who want to die but haven't got the guts.
Sharad Vivek Sagar|Close your eyes, imagine yourself in the world of your dreams, imagine everything you ever wanted, live that moment, get the feel of it. Once you've lived that moment in your mind fully, open your eyes and get started with work, work as hard as possible, do all that it takes to live that moment in real. Just do it, it's possible.
Suresh Raina|Those who deny freedom to others deserve it not for themselves; and under the rule of a just God, cannot long retain it.
Emily Bronte|Take, if you must, this little bag of dreams, Unloose the cord, and they will wrap you round.
Emeril Lagasse|It's about the music and that's it. I'm not an entertainer. But I do entertain people, see what I mean?
Max Weber|We are shallow because we are 'mayabang,' ego driven, and do not have the humility to understand that we are only human, much too human to mistake knowledge for wisdom.
A.C. Bhaktivedanta Swami Prabhupāda, The Science of Self-Realization|The humble sage, by virtue of true knowledge, sees with equal vision a learned and gentle brāhmaṇa, a cow, an elephant, a dog, and a dog-eater.
Virginia Woolf, Mrs. Dalloway|But I do, and the barbed wire tightens once more, until my heart is strangled and broken.
