David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Henry Kuttner, Masters of Horror|Never confuse lust for anything other than what it is. There isn't a man alive that wouldn't gladly take what you are so willing to offer.""Any but you, apparently." -Eric to Camile, Pawn of Innocence
Rick Riordan, The Battle of the Labyrinth|Little sister!" Apollo called. If his teeth were any whiter he could've blinded us without the sun car. "What's up? You never call. You never write. I was getting wor
Dean Koontz, Odd Apocalypse|Do not be a stupid, unless someone is paying you to be.
Sarah Waters, Fingersmith|Don't you be thinking,' she says, 'on things that are done and can't be changed. All right, dear girl? You think of the time to come.
Sheri Dew|...I fear that some of us understand just enough about the gospel to feel guilty--guilty that we are not measuring up to some undefinable standard--but not enough about the Atonement to feel the peace and strength, the power and mercy it affords us.
Jennifer Pahlka|The responsibility for good government lies not just with governments themselves but also with every other part of the system they operate in, including media, non-governmental organisations and the public.
Neil Gaiman, The Kindly Ones|It has always been the prerogative of children and half-wits to point out that the emperor has no clothes. But a half-wit remains a half-wit, and the emperor remains an emperor.
Ben Stephenson, A Matter of Life and Death Or Something|I now have my final resting place,Your eyes.
Kirstie Collins Brote, Beware of Love in Technicolor|It was a time before Facebook and Instagram and texting. I imagine it must be easier now, for college students. Home must not feel so far away anymore. But how do you cut the apron strings if the strings are virtual?
George Carlin, Brain Droppings|You show me a lazy prick who's lying in bed all day, watching TV, only occasionally getting up to piss, and I'll show you a guy who's not causing any trouble.
Walter Cronkite|You know, I believe that marriage is between a man and a woman.
H. L. Mencken|People who fail to use their emotional intelligence skills are more likely to turn to other, less effective means of managing their mood. They are twice as likely to experience anxiety, depression, substance abuse, and even thoughts of suicide.
Dixie Waters|That's the crazy things about lies, you start to believe them yourself." (pg. 342)
Anne Moody, Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South|I'm through with you. Yes, I am going to put you down. From now on, I am my own God. I am going to live by the rules I se for myself. I'll discard everything I was once taught about you. Then I'll be you. I'll be my own God, living my life as I see fit. Not as Mr. Charlie says I should live it, or Mama or anybody else. I shall do as I want in this society that apparently wasn't meant for me and my kind. If you are getting angry because I am talking to you like this, then just kill me, leave me here in this graveyard dead. Maybe thats where all of us belong anyway. Maybe then we wouldn't have to suffer so much. At the rate we are being killed now, we'll all be soon dead anyway.
Sean Liburd|If there’s a book you really want to read but it hasn’t been written yet, then you must write it.- Toni Morrison
Deyth Banger|Mmm, freshly baked cookies. Even better, the rich, buttery scent had conquered the usual mothball odor.
Douglas Adams, Last Chance to See|After a moment or two a man in brown crimplene looked in at us, did not at all like the look of us and asked us if we were transit passengers. We said we were. He shook his head with infinite weariness and told us that if we were transit passengers then we were supposed to be in the other of the two rooms. We were obviously very crazy and stupid not to have realized this. He stayed there slumped against the door jamb, raising his eyebrows pointedly at us until we eventually gathered our gear together and dragged it off down thecorridor to the other room. He watched us go past him shaking his head in wonder and sorrow at the stupid futility of the human condition in general and ours in particular, and then closed the door behind us.The second room was identical to the first. Identical in all respects other than one, which was that it had a hatchway let into one wall. A large vacant-looking girl was leaning through it with her elbows on the counter and her fists jammed up into her cheekbones. She was watching some flies crawling up the wall, not with any great interest because they were not doing anything unexpected, but at least they were doing something. Behind her was a table stacked with biscuits, chocolate bars, cola, and a pot of coffee, and we headed straight towards this like a pack of stoats. Just before we reached it, however, we were suddenly headed off by a man in blue crimplene, who asked us what we thought we were doing in there. We explained that we were transit passengers on our way to Zaire, and he looked at us as if we had completely taken leave of our senses.'Transit passengers? he said. 'It is not allowed for transit passengers to be in here.' He waved us magnificently away from the snack counter, made us pick up all our gear again, and herded us back through the door and away into the first room where, a minute later, the man in the brown crimplene found us again.He looked at us. Slow incomprehension engulfed him, followed by sadness, anger, deep frustration and a sense that the world had been created specifically to cause him vexation. He leaned back against the wall, frowned, closed his eyes and pinched the bridge of his nose.'You are in the wrong room,' he said simply. `You are transit passengers. Please go to the other room.'There is a wonderful calm that comes over you in such situations, particularly when there is a refreshment kiosk involved. We nodded, picked up our gear in a Zen-like manner and made our way back down the corridor to the second room. Here the man in blue crimplene accosted us once more but we patiently explained to him that he could fuck off.
Jeffrey McDaniel|I surrendered my identity in your eyes.Now I'm just like everybody else, and it's so funny, the way monogamy is funny, the waysomeone falling down in the street is funny.I entered a revolving door and emergedas a human being. When you think of meis my face electronically blurred? I remember your collarbone, forming the tiniestsatellite dish in the universe, your smileas the place where parallel lines inevitably crossed.Now dinosaurs freeze to death on your shoulder.I remember your eyes: fifty attack dogs on a single leash, how I once held the soft audience of your hand.I've been ignored by prettier women than you, but none who carried the heavy pitchers of silenceso far, without spilling a drop.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|How the story will end, no one knows? We can only envisage.
Ashley Newell, Freakhouse|Don't look like that, Draco, you look like you did right before you pounced on the cat when you were two.
Debasish Mridha|Peace is not the absence of war,but the presence of love and care.Peace is not the absence of agony,but the presence of joy of harmony.Peace is not the absence of poverty,but the presence of love for beauty.Peace is not the absence of intolerance.  Peace is a way of life with joy of tolerance.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Listening is one thing; however, ACTIVE listening is quite another. The first is a passive act which does not require great involvement, whereas, the latter is a consciously aware and deliberately focused effort to actively participate in the conversation.
Marco Rubio|Through every struggle that I have been confronted with and have been subjected to - solitary confinement, long legal battles, and physically transitioning to the woman I have always been - I manage not only to survive, but to grow, learn, mature, and thrive as a better, more confident person.
Kay Redfield Jamison, An Unquiet Mind: A Memoir of Moods and Madness|But, with time, one has encountered many of the monsters, and one is increasingly less terrified of those still to be met.
Pascal|The immediate result of abandoned idealism is an embittered and drained man, whether he realizes it or not, whether he likes it or not. He is capable of acting in his own interest, but only to the extent that those interests coincide with those of the lowest animals.
Bakhtiyar Ali, I Stared at the Night of the City|In the beginning, science is a thing imagined; in the beginning, war is a thing imagined; in the beginning, love is a thing imagined; in the beginning, even God is a thing imagined. There is nothing that has not first been imagined. Even before there are words, there is imagination.
Gloria Steinem, My Life on the Road|Truth is always a quest and if it looks anything like a destination, it is proof that we are on to illusion. Thus, unique is each quest!
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|My wish simply is to live my life as fully as I can. In both our work and our leisure, I think, we should be so employed. And in our time this means that we must save ourselves from the products that we are asked to buy in order, ultimately, to replace ourselves.
Walter M. Miller Jr., A Canticle for Leibowitz|Oh, one more thing,' Thor calls out. 'If I know my prophecy, and I do, you beautiful ladies had best start looking for a boat!
Jalaluddin Rumi|Please be SILENT and LISTEN.I am the SCHOOLMASTERand you are in the CLASSROOM.Just like ELEVEN PLUS TWO equalsTWELVE PLUS ONE,And even a FUNERAL can be REAL FUN,You will find my DICTIONARYis quite INDICATORY.If you want to read my story, just look...THEN UNREAD.
Zen|We will be entering the beautiful world of a Zen master's no-mind. Sosan is the third Zen Patriarch. Nothing much is known about him- this is as it should be, because history records only violence. History does not record silence- it cannot record it. All records are of disturbance. Whenever someone becomes really silent, he disappears from all records, he is no more a part of our madness. So it is as it should be.Ch. 1: The Great Way Is Not Difficult
Hugo Hamilton, The Speckled People: A Memoir of a Half-Irish Childhood|Honesty may not bring you success, but it always adds to your dignity.
Luis Enrique Cavazos, The Five Virtues That Awaken Your Life|Stupidity is a mindset of those who refuse knowledge! A mistake of judgment is an error, we make mistakes all of the time, it's stupid if you keep making the same mistakes often.
Kate Wrath, E|You might be offered oatcakes as well as bread (especially in the north). If these do not tempt you, consider eating "horse-bread." This is made from a sort of flour of ground peas, bran, and beans–if contemporaries look at you strangely, it is because it is not meant for human consumption.
Charles Beaumont, Shock!|First of all, it was October, a rare month for boys. Not that all months aren't rare. But one strange year, halloween came early....don't you ditch me jim nightshade...don't talk death. Someone might hear...
Caroline Kennedy|When I was younger, on weekends, my mom would make us pancakes with our initials on them and then a tiny cup of coffee. I remember at 10 sneaking my own coffee and pouring a ton of sugar in and going up to the playroom and drinking it.
Marcel Theroux, Strange Bodies|What’s the difference between being dead, and just not knowing you’re alive?
Jonathan Swift|When honor and the Law no longer stand on the same side of the line, how do we choose[?]
Thomas Szasz|Being black does not stop you. You can sit out in the world and say  "Well  white people kept me back  and I can't do this." Not so. You can have anything you want if you make up your mind and you want it.
Jennifer Estep, Touch of Frost|When you feel like you're crazy because you think differently than the people around you, God sends a confirmation that you've not lost it.
Cinda Williams Chima, The Sorcerer Heir|Failure is always louder than success. But there is an accumulation of all the things you don’t do wrong, and that becomes your confidence. You can even get to the point where that confidence lasts longer than the dance. Seconds at first. Then minutes. Then maybe it’ll be there when you’re walking into a party, or meeting people after a show. You know you have something desirable, and you know you can move.
William Shakespeare|Mother, you have my father much offended.
Taylor Jenkins Reid, Maybe in Another Life|Authenticity is a practice we choose in each present moment. It is not a plan or a destination to get to. The choices we make in the now are most important because in a fast-changing world, flexing to what’s happening now, and creating from it is a critical leadership skill.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Is your voice value delivering the image you wish to convey? Is your voice coming across as smart, friendly, and positive or ignorant, rude, and negative?
Johann Lamont|I've praised Obama's record on same-sex equality as enthusiastically as anyone: it's one area where his record has been impressive. I understand, and have expressed, the emotional importance for LGBT Americans of his marriage announcement as well as its political significance.
Mark  Lawrence, King of Thorns|If my generation is remembered for anything, it will be as the last one that remembers the world before the Internet.
Charles Stross, Accelerando|A time of ongoing cultural revolution when the adversaries of Christianity have made plain their intent to use the state machinery to promote radical social ideologies hardly seems an opportune moment to discuss how the rights of property might be compromised. Private property is an important bulwark against the ongoing anti-Christian campaign. Although opponents of the free market will doubtless claim that they wish to interfere with the rights of property only to this or that extent, or only to bring about this or that allegedly desirable social outcome, there can be little excuse for such naiveté in our day. No Christian should want to build up an institution that he would be terrified to see in the hands of his ideological opponents.
Victoria Aveyard, King's Cage|In the palace, during my imprisonment, I learned that Maven had been made by his mother, formed into the monster he became. There is nothing on earth that can change him or what she did. But Cal was made too. All of us were made by someone else, and all of us have some thread of steel that nothing and no one can cut. I thought Cal was immune to the corruptive temptation of power. How wrong I was. He was born to be a king. It's what he was made for. It's what he was made to want.
Faiz Ahmad Faiz, 100 Poems by Faiz Ahmed Faiz: 1911-1984|Before you came,things were as they should be:the sky was the dead-end of sight,the road was just a road, wine merely wine.Now everything is like my heart,a color at the edge of blood:the grey of your absence, the color of poison, of thorns,the gold when we meet, the season ablaze,the yellow of autumn, the red of flowers, of flames,and the black when you cover the earthwith the coal of dead fires.And the sky, the road, the glass of wine?The sky is a shirt wet with tears,the road a vein about to break,and the glass of wine a mirror in whichthe sky, the road, the world keep changing.Don’t leave now that you’re here—Stay. So the world may become like itself again:so the sky may be the sky,the road a road,and the glass of wine not a mirror, just a glass of wine.
Zoe Kravitz|Humor is richly rewarding to the person who employs it. It has some value in gaining and holding attention, but it has no persuasive value at all.
Hamzatribah|I hate our current leaders becouse they don't know the value of there people, but like there ideas because it will soon turn against them and any of there kind.
Cate Tiernan, Immortal Beloved|He gave a hard smile and the oxygen in my lungs evaporated. “Weboth know I’m not a gentleman.”“Yeah. Okay, let me out. I’m tired.”“There’s something else,” he said, and I groaned.“What now?”“This.” He stepped closer to me, so close that the containers weresandwiched between us. His eyeslooked down into mine, intent and golden, like a lion.“Oh, no, you don’t!” I hissed, dropping everything. I pushed hardagainst his chest; it was like shovinga tree.“Yes,” he said very softly, leaning down. “Yes, I do.
Beau Willimon|People have come to me for my opinion since 'October Baby.' But, hey, look, I'm an actor who is very fortunate to be in a movie that's making wonderful noise, and hopefully helping parents and children to be a little closer. Leave me alone. I'm not talking about politics. I'm just trying to have a conversation with my own kids.
Ann Bannon, Beebo Brinker|So while I drove my little and planned his fantasy night of how I was going to give Otter the key to my soul (his words, not mine), I silently panicked and wrote lines of bad poetry. Normally, I am quite adept at writing poems and lyrics to songs I'l never sing, but this stuff was just atrocious. For example:I love youYou love meThank God for thatI'm so happyAnd Ty's personal favorite (which he helped me on): Otter! Otter! Otter!Don't lead cows to slaughterI love you and I knowI should've told you soon-aBut you didn't buy the dolphin-safe tuna!TY asked me if I got the hidden message in his poem. I told him it was loud and clear.
Craig D. Lounsbrough, Flecks of Gold on a Path of Stone: Simple Truths for Profound Living|Let me be strong, for to be anything else is to languish in the abyss of compromise and to descend to places of impoverishment so destitute that they will squelch my soul and crush my heart.
Sue Ward Drake, Hear No Evil|Be positive. Believe that you will succeed. See it, go for it. No matter what the odds, most of the battle is inside your own head. -- Bob Mayer
Sarah Rees Brennan|Your cell phone is on the nightstand. Call me immediately if something changes. I don’t care if you are merely dizzy or if you start seeing pink dragons, do you understand?” I solemnly swear I will call you the second a pink dragon shows up.
Anthony T. Hincks|Remember what I done for you here today,' he shouted and passed out.
Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror|We look at your eyes. The eyes carry the wounds. The eyes know damage. Damaged people recognize other damaged people, and we let you in. We are kindred. - Broken Places
Brené Brown, Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead|Vulnerability is the birthplace of love, belonging, joy, courage, empathy, and creativity. It is the source of hope, empathy, accountability, and authenticity. If we want greater clarity in our purpose or deeper and more meaningful spiritual lives, vulnerability is the path.
Bryan Islip, Like an Angel Sings|Their making of love ... had even been something like this, when it became a kind of harmony, enveloping them together and together and for ever into that crescendo. And, yes, now really, really she knew the multitudinous singing of the stars and she wanted everything to stay where it was, now and forever with him ...
Fulton J. Sheen, Life of Christ|To those who rejected Him, righteousness would one day appear as a terrible justice; to the sinful men who accepted Him and allied themselves to His life, righteousness would show itself as mercy.
Robyn Bavati, Dancing in the Dark|Look, you can't change your past, Ditty, but you've still got your future.
pleasefindthis, I Wrote This For You|Just like you mistook lust for love, you have mistaken with being alone for loneliness. So I'm fine. Thanks for asking.
Wendelin Van Draanen, Flipped|It's easy to look back and see it, and it's easy to give the advice. But the sad fact is, most people don't look beneath the surface until it's too late.
Chinese Proverb|If you are in the business of revenge, then you better dig two graves.
Donna Lynn Hope|Society nowadays tells people that their happiness is all that matters but happiness is never found if it costs someone else’s theirs. That is not what happiness is, nor would such a person deserve it, because happiness is forged by the setting aside of self and in doing for others to make them happy first and foremost, so if you have to hurt another human being to “find your happiness,” then you have no clue what the word actually means or what it’s willing to do, and in being so self-centered and entitled, it’s veritably tragic that the only care and concern you have is for yourself.
Carrie Underwood|God put us here, on this carnival ride. We close our eyes never knowing where it'll take us next.
Peter Benchley|Leadership is something you earn, something you're chosen for. You can't come in yelling, 'I'm your leader!' If it happens, it's because the other guys respect you.
James Gleick|Becoming a father increases your capacity for love and your level of patience. It opens up another door in a person - a door which you may not even have known was there. That's what I feel with my son. There's suddenly another level of love that expands. My son is my greatest joy, out of everything in my life.
Sarah Dessen, Just Listen|So you're always honest," I said."Aren't you?""No," I told him. "I'm not.""Well, that's good to know, I guess.""I'm not saying I'm a liar," I told him. He raised his eyebrows. "That's not how I meant it, anyways.""How'd you mean it, then?""I just...I don't always say what I feel.""Why not?""Because the truth sometimes hurts," I said."Yeah," he said. "So do lies, though.
J.K. Rowling, Harry Potter and the Half-Blood Prince|Look, why don't you go talk to Ron about all this?" Harry asked."Well, I would, but he's always asleep when I go and see him!" said Lavender fretfully."Is he?" said Harry, surprised, for he had found Ron perfectly alert every time he had been up to the hospital wing.
Janet Frame, Scented Gardens for the Blind|Cats are people, and the sooner the world accepts that fact, the better off the world will be.
François-René de Chateaubriand|L’arbre tombe feuille à feuille : si les hommes contemplaient chaque matin ce qu’ils ont perdu la veille, ils s’apercevraient bien de leur pauvreté.
Tracy McMillan, I Love You And I'm Leaving You Anyway|It is common sense to take a method and try it. If it fails, admit it frankly and try another. But above all, try something.
Chris Matakas, My Mastery: Continued Education Through Jiu Jitsu|Religion can only be a means to a set of values cherished by its living adherents. If those values relate only to a past or a presumed afterlife, it is a sign that religion has become a goal serving the ends of a priest or a demagogue and rest of the living are merely tools to serve that end. If it is not to become a fossil, it has to be a living faith serving the cherished values of the living.
Teodor Flonta, A Luminous Future|Rose, come here." Christian grabbed my hand and guided me back down on the couch next to him.
Kathleen Tessaro, The Flirt|For beloved cross every pass Worldly affairs slow their pace A flowing brook amidst the grass Flowing tears his face shall trace His ego is shattered glass Self-estranged, himself deface Sense the Divine in spirit and mass If he is truly seeking grace
Liza M. Wiemer, Hello?|All at once it occurs to me that I'm the one who needs to give myself the break, to accept myself for who I am.
Robert Jordan, The Path of Daggers|Who knows a woman's heart? Most women will shrug off what a man would kill you for, and kill you for what a man would shrug off.
Charlotte Brontë, Jane Eyre|his wife might, I verily believe, be the very happiest woman the sun shines on
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|Don’t just have dreams. Take actions too. To make it possible, begin every dream with a simple action and your interest will beam out.
Arthur R. Marshall|If you don't synthesize knowledge, scientific journals become spare-parts catalogues for machines that are never built.
Matthew Quick, Forgive Me, Leonard Peacock|A strange, beautiful new world awaits, Leonard.We've found an oasis in their ruins. We really have.You want to see it, so just hold on, okay?
Lee S. Hawke|Since he'd stepped out of medical school, all he'd ever done was fulfil the same three basic templates, again and again and again. The possibility of infinite variation had led only to convergence.
Andrew Murray, The Master's Indwelling|We need to be impressed with these words in verse [2 Cor. 1:]9—“we should not base our confidence on ourselves but on God.” Through the redemption of Christ, the very God, who is in the heavens, has come into us, into our spirit (Col. 1:27; 2 Tim. 4:22). Thank the Lord that He is now in our spirit, calling us to forget about the soulish things and turn to our spirit to meet Him. We should no longer trust in our self, in our soul, but in God who is in our spirit.
Elizabeth Gilbert|Instead of worrying about what people say of you, why not spend time trying to accomplish something they will admire.
Rafaa Khiari|You could become rich if you were born financially poor, But you can't stay rich if you are poor minded.
Keith Richards|I always get lost in the library,' he said, 'no matter how many times I go. In fact, I think I get lost there more, the more that I go. Like it's getting to know me and revealing new passages.
Chief Seattle|Take nothing but memories, leave nothing but footprints!
Sherry Lynn Ferguson, Quiet Meg|What makes you wise is not what you learn, but what you practice. What makes you wealthy is not what you earn, but what you invest. So, invest in what to practice, and practice what to invest.
Penny Reid, Grin and Beard It|I'm after a woman who likes sex but doesn't put the lust part above the intelligence part. She could have a hundred partners for all I care, just as long as they've been vetted for psychopathic tendencies. I have four rules. Number one: don't invite a person into your body if you wouldn't invite her into your kitchen. Number two: the act needs to take place in a clean environment. Number three: precautions need to be taken to protect from disease and pregnancy. And Number four: don't ration the passion, i.e. put you best fuck forward.
Raquel Cepeda, Bird of Paradise: How I Became Latina|I started off for home, where I planned to recruit a good book and hide away from the world.
Wes Locher, Musings on Minutiae|The first way not to shake hands is executed by receiving someone’s hand in yours and proceeding to squeeze it tightly, hurting the other party as if they were responsible for a past death in your family, or your adoption as a child.
Patricia Marx, Him Her Him Again the End of Him|If only, I thought, I could talk to Eugene just one more time. This was before I came to understand that you cannot make someone fall in love with you But here's what you can do. By arguing and pleading and screaming and crying and throwing plates and phoning a lot and bringing hot food and sending flowers and buying gifts and doing unsolicited favors and remembering a birthday and being nice and declaring your abiding love and trying hard or sometimes merely by being present, you can make someone who was hitherto lukewarm really detest you.
Faruk H.T.|I had always been an atheist until I met Lenny. He was too wonderously complex and good for there to be no benevolent and intelligent force behind our marvelous cosmos. Lenny gave me the actual proof my fiercely skeptical mind had always demanded. Not some logical, 37-step proof of God's existence. It was a personal proof. And it was irrefutable.
Lionel Suggs|Never in your life have you been helpless—under somebody’s heel. You never lived where your enemies held power over you, power to run your life or wipe it out. You can’t understand. That’s how come you stand there feeding me empty slogans!” Luciente bowed her head. “You crit me justly, Connie. Forgive me. I’ll try to see your situation more clearly and make less loud noises in your ears.
Zen Cho, Spirits Abroad|Other dragons are bastards. I moved out of my mother's cave after my mother tried to rip my guts out.Granted, I had tried to steal her Tiara of Clairvoyance.
Alexandre Dumas, The Three Musketeers|As it was a time of war between the Catholics and the Huguenots, and as he saw the Catholics exterminate the Huguenots and the Huguenots exterminate the Catholics--all in the name of religion--he adopted a mixed belief which permitted him to be sometimes Catholic, sometimes a Huguenot. Now, he was accustomed to walk with his fowling piece on his shoulder, behind the hedges which border the roads, and when he saw a Catholic coming alone, the Protestant religion immediately prevailed in his mind. He lowered his gun in the direction of the traveler; then, when he was within ten paces of him, he commenced a conversation which almost always ended by the traveler's abandoning his purse to save his life. It goes without saying that when he saw a Huguenot coming, he felt himself filled with such ardent Catholic zeal that he could not understand how, a quarter of an hour before, he had been able to have any doubts upon the superiority of our holy religion.
Søren Kierkegaard|One cannot be awake with an ignited consciousness without empathy for all life. You can claim spirituality, faith in a God, or haughty deeds, but to shuffle through life with no thought to the suffering of all life forms, shows the true evil nature of an individual and its disconnect from life. They are separated from creation and this powerful, eternal Universe.
Christopher Hitchens|Most of our platitudes notwithstanding, self-deception remains the most difficult deception. The tricks that work on others count for nothing in that very well-lit back alley where one keeps assignation with oneself: no winning smiles will do here, no prettily drawn lists of good intentions. One shuffles flashily but in vain through one's marked cards- the kindness done for the wrong reason, the apparent triumph which involved no real effort, the seemingly heroic act into which one had been shamed.
Rosie Thomas, Iris & Ruby|I am not afraid of death, which after all can't be far away. What does frighten me, though, is the halfway stage.
Amit Kalantri|We don't like security rules and laws, but without them men will be animals, perhaps the most dangerous animals.
William P. Barker|There is no other name that mankind can be saved accept in the name of Jesus Christ, the saviour of the world.
DaShanne Stokes|The minute we look away, the minute we stop fighting back, that's the minute bigotry wins.
P. G. Wodehouse|It's good to know that there's a fine line between an "outfit" and a "getup."
Kevin Spacey|I wish that my life could be like the movies, like 'Bonnie and Clyde' or 'The Hunger' or 'Harold and Maude.' And... it can be! It maybe just takes somebody else who is as fearless as you. It takes a person who will not hesitate.
Jean Ferris, Once Upon a Marigold|He had two lives: one, open, seen and known by all who cared to know, full of relative truth and of relative falsehood, exactly like the lives of his friends and acquaintances; and another life running its course in secret. And through some strange, perhaps accidental, conjunction of circumstances, everything that was essential, of interest and of value to him, everything in which he was sincere and did not deceive himself, everything that made the kernel of his life, was hidden from other people.
Peter Singer, Animal Liberation|Racists will always call you a racist when you identify their racism. To love yourself now - is a form of racism. We are the only people who are criticized for loving ourselves. and white people think when you love yourself you hate them. No, when I love myself they become irrelevant to me.
Alice Jamieson, Today I'm Alice: Nine Personalities, One Tortured Mind|When we find ourselves in a situation in which our buttons are being pushed, we can choose to repress or act out, or we can choose to practice. If we can start to do the exchange, breathing in with the intention of keeping our hearts open to the embarrassment or fear or anger that we feel, then to our surprise we find that we are also open to what the other person is feeling. Open heart is open heart.
Carine McCandless, The Wild Truth: A Memoir|Because if I am the last one, then I am humanity.And if this is humanity's last war, then I am the battlefield.
Paul Tillich, The Courage to Be|Man lives 'in' meanings, in that which is valid logically, esthetically, religiously. The most fundamental expression of this fact is the language which gives man the power to abstract from the concretely given and, after having abstracted from it, to return to it, to interpret and transform it. The most vital being is the being which has the word and is by the word liberated from bondage to the given.
Margaret Cho|I am so beautiful, sometimes people weep when they see me. And it has nothing to do with what I look like really, it is just that I gave myself the power to say that I am beautiful, and if I could do that, maybe there is hope for them too. And the great divide between the beautiful and the ugly will cease to be. Because we are all what we choose.
Eraldo Banovac|In general, people accumulate knowledge gradually over a long period of time. However, there are extraordinary people all around us, who are capable of accumulating impressive amounts of knowledge within a relatively short period of time. Nevertheless, even the greatest genius possesses only a small fraction of all knowledge known by mankind. Finally, the following question arises: how large is all the existing knowledge in comparison to the space of ignorance?
Karen Armstrong|I did not want to appear before the world as pathetic, deprssed, and psychologically ill. So I erected a barrier of words and wit around myself, so that nobody could see how needy I really was.
Audrey Hepburn|Pick the day. Enjoy it - to the hilt. The day as it comes. People as they come... The past, I think, has helped me appreciate the present, and I don't want to spoil any of it by fretting about the future.
Ishmael Beah, Radiance of Tomorrow|It isn't about knowing the most stories, child. It is about carrying the ones that are most important and passing them along.
Fozia Malik|When trust is broken,sorry means nothing.
Gabby Douglas|I've done business with people I've met in politics, who I went to law school with, who I grew up with. Who do you do business with? People you meet in life.
KakkZ|I always thought loving someone is the greatest feeling, but I realized that loving a friend is even better. We lose people we love but we never lose true friends. True Friendship is something which happens 24/7, no special day is needed to celebrate that feeling. Anywayz happy Friendship Day !!
M.F. Moonzajer|If one has never known freedom, it is easy to be blind to the gridirons composing one's cell.
Naomi Wolf|The stronger that women grow, the more prestige, fame, and money is accorded to the display professions: They are held higher and higher above the heads of rising women, for them to emulate.
John  Adams|When writing the constitution for the Commonwealth of Massachusetts, John Adams wrote:I must judge for myself, but how can I judge, how can any man judge, unless his mind has been opened and enlarged by reading.
Chris Coppernoll, A Beautiful Fall|Such a simple concept, yet so true. That which we manifest is before us, we are the creators of our own destiny.
Colman McCarthy|Bush spoke of another principle, that a just war must "support a just cause." In the Persian Gulf, he said, "our cause could not be more noble." What nation has ever said its war was not noble?
Jay-Z|My earliest memory is my mom picking me up after I had fallen down, giving me a big hug and reading me 'Goodnight Moon.' From that moment, to this one, every single memory I have of my mom is that regardless of what was happening in her life, she was always, always there for me.
Sandy Vaile|Backstory is like a flavour you can’t quite pick, lurking in the layers of a curry. You know it’s there and it enhances the flavour, but it’s intangible and fleeting. Use it sparingly!
Maggie Stiefvater, Shiver|She is a girl who feels things strongly, and though cynics might mock her for that, I never will, as it is perhaps the best of graces: to feel deeply, to care profoundly.
Robert M. Gates, Duty: Memoirs of a Secretary at War|I would listen with growing outrage as hypocritical and obtuse American senators made all these demands of Iraqi legislators and yet themselves could not even pass budgets or appropriations bills, not to mention deal with tough challenges like the budget deficit, Social Security, and entitlement reforms. So many times I wanted to come right out of my chair at the witness table and scream, You guys have been in business for over two hundred years and can't pass routine legislation. How can you be so impatient with a bunch of parliamentarians who've been at it a year after four thousand years of dictatorship?
Mark Twain|There isn't time, so brief is life, for bickerings, apologies, heartburnings, callings to account. There is only time for loving, and but an instant, so to speak, for that.
Wayne Hoss, A Sermon to Remember by Wayne Hoss: The Truth Shall Set You Free!|Never write when you are not in the mood; when you are not feeling it. If the words do not flow freely, and come to you almost magically, then put it down and do not force yourself to write in the book, or it will reflect in your writing and it will be terribly obvious.
Stewart Butterfield|Even if you believe a creator god invented the laws of physics, would you so insult him as to suggest that he might capriciously and arbitrarily violate them in order to walk on water, or turn water into wine as a cheap party trick at a wedding?
Jesus Christ|As for reputation, though it be a glorious instrument of advancing our Master's service, yet there is a better than that: a clean heart, a single eye, and a soul full of God. A fair exchange if, by the loss of reputation, we can purchase the lowest degree of purity of heart.
Catherynne M. Valente, The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making|So most people go around with grimy machinery, when all it would take is a bit of spit and polish to make them paladins once more, bold knights and true.
Katia M. S.|Creatures of a day, what is any one? What is he not? Man is but a dream of a shadow. Yet when there comes as a gift of heaven a gleam of sunshine, there rest upon men a radiant light and, aye, a gentle life.
Susan  Bennett, Late Discoveries: An Adoptee's Quest for Truth|I know that sometimes a lie is used in kindness. I don't believe it ever works kindly. The quick pain of the truth can pass away, but the slow, eating agonyof a lie is neverlost. That's a running sore
Richelle E. Goodrich, Smile Anyway|I have lost my spark, I'm told, and should seek to rekindle it.  Respecting the messenger, I wonder if this is true.  I feel as if my spark endures, but having opened up to the world so bright, perhaps it no longer shines by comparison.  So, without a word, I slip back into seclusion to nurture my beautiful inner glow.
Sigmund Freud, New Introductory Lectures on Psychoanalysis|The demons of animism were usually hostile to man, but it seems as though man had more confidence in himself in those days than later on.
C. JoyBell C.|When family gathers around for a dying loved one, I have realised, that it probably does more good for the living, than for the dying. Sometimes, death can bring the living together, and death can cause the living to find solace in one another. In this way, death is a part of life, and those who die can in fact give gifts to the living, gifts that they were not able to give while they were still alive and well.
Katherine Hannigan, True|I have one head that wants to be good,And one that wants to be bad.And always, as soon as I get up,One of my heads is sad.
