Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Dorothy Parker, The Collected Dorothy Parker|I like best to have one book in my hand, and a stack of others on the floor beside me, so as to know the supply of poppy and mandragora will not run out before the small hours.
Augusten Burroughs, Lust & Wonder|But now, I know, how absence can be present, like a damaged nerve, like a dark bird.
Zoran Drvenkar|At its heart, Codependency is a set of behaviors developed to manage the anxiety that comes when our primary attachments are formed with people who are inconsistent or unavailable in their response to us. Our anxiety-based responses to life can include over-reactivity, image management, unrealistic beliefs about our limits, and attempts to control the reality of others to the point where we lose our boundaries, self-esteem, and even our own reality. Ultimately, Codependency is a chronic stress disease, which can devastate our immune system and lead to systemic and even life-threatening illness.
Mehmet Murat ildan|If we people become more helpful to others, there will be much less tragedy in the world!
Stefan Zweig|The river of life, of mysterious laws and mysterious choice, flows past a deserted embankment; and along that other deserted embankment Charles now begins to pace, a man behind the invisible gun carriage on which rests his own corpse. He walks towards an imminent, self-given death? I think not; for he has at which to build; has already begun, though he would still bitterly deny it, thought there are tears in his eyes to support his denial, to realize that life, however advantageously Sarah may in some ways seem to fit the role of Sphinx, is not a symbol, is not one riddle and one failure to guess it, is not to inhabit one face alone or to be given up after one losing throw of the dice; but is to be, however inadequately, emptily, hopelessly into the city's iron heart, endured. And out again, upon the unplumb'd, salt, estranging sea.
Ruth Reichl, Delicious!|Tommy and I put on a radio play to entertain everyone while they unpacked their cookies. It was about a girl who saves up money for a prom dress, but at the last minute she says, "It's only clothes," and buys war bonds instead. The play was a big success, and my whole school pledged to buy war bonds, which should have made me happy. But it gave me a queer feeling; it's easy to write propaganda when everyone agrees with you. Do you understand? I think I'd rather bake cookies; it feels more honest. Your friend, LuluSammy looked down at me. "A girl after your own heart!" he said. "In my experience it is a rare female who can say, 'It's only clothes,' and when the war came, you discovered who you really were. Women changed. Children grew up overnight. I wonder what happened to this one.
Alan Cohen|I thought about how often this was needed in everyday life. How we feel lonely, sometimes to the point of tears, but we don't let those tears come because we are not supposed to cry. Or how we feel a surge of love for a partner but we don't say anything because we're frozen with the fear of what those words might do to the relationship.
John Stuart Mill, On Liberty|the only way in which a human being can make some approach to knowing the whole of a subject, is by hearing what can be said about it by persons of every variety of opinion, and studying all modes in which it can be looked at by every character of mind. No wise man ever acquired his wisdom in any mode but this; nor is it in the nature of human intellect to become wise in any other manner.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|Hating yourself is like hating what God loves. God loves you, so love yourself and love what God loves.
Sam Crescent, She's Mine|....if you wanted something enough, you’d be willing to stand and fight for it, even if you got beat down.
Jiang Zemin|There is no way that writers can be tamed and rendered civilized or even cured. The only solution known to science is to provide the patient with an isolation room, where he can endure the acute stages in private and where food can be poked in to him with a stick.
Haruki Murakami, The Wind-Up Bird Chronicle|I guess time doesn't flow in order, does it - A, B, C, D? It just sort of goes where it feels like going.
Nazanin Boniadi|Facing the press is not easy, but because you have to go, you have to try to take a lot of positive things for yourself from these face-to-face meetings.
Christopher Hitchens|I cannot forget the figures of Slobodan Milošević, Charles Taylor and Saddam Hussein, who made terrified fiefdoms out of their "own" people and mounds of corpses on the territory of their neighbours. I was glad to see each of these monsters brought to trial, and think the achievement should (and one day will) form part of the battle‑honours of British Labour. Many of the triumphant pelters and taunters would have left the dictators and aggressors in place: they too will have their place in history.
Natalie Crown, The Wolf's Cry|The mouse began to shift and Kammy marvelled at the sight. Soon a second boy stood before her. She hardly noticed Eric appear beside him.He was dressed much like Eric, though his shirt hung looser on his slimmer frame. His hair was a fluffy, chocolate mess. He was taller than Eric and he glared between them both before his eyes came to rest fully on Kammy. The first thing she noticed was the purple bruise on his cheek. The second was how bright his blue eyes were.
Robert Browning|The problem for me is that I can't ever really see who Gregory is, any more than I can see what a mirror by itself looks like, because he reflects whoever's around him.
Maya Angelou|When I'm good, I'm very good. But when I'm bad I'm better.
Gudjon Bergmann, The Meditating Psychiatrist Who Tried to Kill Himself|None of us understand the infinite universe. Most people who start thinking about it, get overwhelmed, shrug their shoulders, and turn their attention back to something mundane, like drinking beer or watching TV. Only a few great minds have ever actually contemplated the nature of the universe. Fewer still have done it without going insane.
Gavin de Becker|You can do a lot with diplomacy, but with diplomacy backed up by force you can get a lot more done.
Penelope Ward, Drunk Dial|It's okay to look different, Lilith. Beauty is only a matter of opinion. If you believe you are beautiful, then that's all that matters. These are really tough years you're approaching now. Your decisions now as a teenager can change your entire life. Just make sure you talk to me or comeone if you're ever feeling like life is too much to handle. And never let anyone convince you that you're not worthy, only to take advantage of you.
James Webb, Fields of Fire|If they didn't want to know, they shouldn't have asked.
Elizabeth Brundage, Somebody Else's Daughter|You couldn't teach kindness, she thought. It was something you were born with. People either had it or they didn't.
Apollo Blake, Storm of Masks|Imagine being just strong enough to remember what life was like, feeling things, your heartbeat, the world around you. And imagine you couldn’t have it anymore, couldn’t even properly remember it, but there was just enough that some deep part of you knew what you were missing. Wouldn’t you do anything to get it back, if it was right there for the taking? Wouldn’t you be willing to kill for it?
Terry Goodkind, Naked Empire|If something is wrong, it matters not if a thousand men are for it; you must still oppose it. If something is just, no amount of popular outcry should stay you from your course.
Frank Lampard|My dad talks about the times when we'd play backyard cricket: If I got bowled out, I'd just refuse to let go of the bat and swing it at anyone who tried to take it away from me. I like to think that's been tempered a bit over the years.
Anonymous|Travel is rebellion in its purest form. - we follow our heart- we free ourselves of labels- we lose control willingly- we trade a role for reality- we love the unfamiliar- we trust strangers- we own only what we can carry- we search for better questions, not answers- we truly graduate- we, sometimes, choose never to come back.
Haruki Murakami, What I Talk About When I Talk About Running|It might be a little silly for someone getting to be my age to put this into words, but I just want to make sure I get the facts down clearly : I'm the kind of person who likes to be by himself. To put a finer point on it, I'm the type of person who doesn't find it painful to be alone. I find spending an hour or two everyday running alone, not speaking to anyone as well as four of five hours at my desk, to be neither difficult or boring.
Billy Graham, Billy Graham in Quotes|[Our] minds are molded in many different ways— often in ways we are not aware of at the time. I am convinced that many things—the films we watch, the television we see, the music we listen to, the books we read—have a great effect on us.
Ann Patchett, The Getaway Car: A Practical Memoir About Writing and Life|It turns out that the distance from head to hand, from wafting butterfly to entomological specimen, is achieved through regular, disciplined practice. What begins as something like a dream will in fact stay a dream forever unless you have the tools and the discipline to bring it out.
Robert G. Ingersoll, Some Mistakes of Moses|The Bible had been the weapon of choice in the spiritual gladiatorial arena of my youth. I knew how, wielded with intent and precision, the Bible can cut deeply, while on the one holding it can claim with impunity that "this is from God.
Ashly Lorenzana|Nothing in the tangible word that isn't living has any value beyond a dollar amount. Considering that dollars can only buy more tangible and inanimate objects, it would seem a far more worthwhile goal to instead learn to place value on the treasures of the mind. Memories, knowledge and skill together are the only things we will ever actually own.
Renae A.Sauter|As a deep wound comes to the surface, things can appear worse for a time.
Marjane Satrapi, Persepolis 2: The Story of a Return|and yet she was leaving the world as a woman who had love and been loved back. she was leaving it as a friend, a companion, a guardian. a mother. a person of consequence at last.
Mark Burnett|Coming home, we stopped for a bite to eat and ran into a confused waitress. Had a heart-rending time trying to speak the Words of Life to her, and as I think of all this country now, many just as confused, and more so, I realized that the 39th Street bus is as much a mission field as Africa ever was.
Susan Barbara Apollon, Touched by the Extraordinary, Book Two|We all need hope. As souls, we journey in physical bodies, traversing a life that is dually lived. We experience safety through attachment to the physical world, but we also are comforted and cared for by a trust in the non-physical, spiritual part of our reality. Two different roads, available for us and from which we choose, moment by moment.
Zander Sherman, The Curiosity of School: Education and the Dark Side of Enlightenment|Consider, for a moment, how profound is an education: every human-made object in the world is the result of one. Every car, computer, particle accelerator, thatched hut, hairstyle, soufflé, piano concerto. These are the products not only of the skilled hands and nimble minds of their creators, but the result of whole traditions and systems of education. Change education, and you change the world.
Michelle Zink, Prophecy of the Sisters|Nefret had always had an uncanny ability to read his thoughts. 'Did she cry?' she asked sweetly. 'And then you kissed her? You shouldn't have done that. I'm sure you meant well, but kissing someone out of pity is always a mistake.
Rick Riordan|Never measure or compare yourself to anyone other than your past self, seek to always improve & you'll be happy and successful.
Jessica Zafra, Twisted Travels|I cannot write about Venice; I can only write about me, and the sleeping parts of myself that Venice has shocked into wakefulness.
Amy Lane, The Winter Courtship Rituals of Fur-Bearing Critters|For the record, and those readers oblivious to metaphor, I would have avoided the subject entirely if my wife did not assure me I was of average size, an opinion as comforting as it is troublesome, because I know how much research she's done first hand. From the chapter, "Small Penis Rule".
Elizabeth Gilbert, Big Magic: Creative Living Beyond Fear|As the saying goes, "Argue for your limitations and you get to keep them." Why would I want to keep my limitations?
Stephen Sondheim|The dumbing down of the country reflects itself on Broadway. The shows get dumber, and the public gets used to them. 
Sri Chinmoy, The Wings of Joy: Finding Your Path to Inner Peace|Yesterday I was clever,That is why I wanted to change the world.Today I am wise,That is why I am changing myself.
Paul Wellstone|To me, leadership is about encouraging people. It's about stimulating them. It's about enabling them to achieve what they can achieve - and to do that with a purpose.
Candis Terry, Sweetest Mistake|Thanks, you guys." Fiona smiled. "I haven't been with anyone since Jackson and I split. I hate to act like such a hoochie mama, but---""Hey. There's a little hoochie mama in all of us," Charli said. "Didn't I tell you how I finally got Reno to make the big move?""No.""The famous Wilder barbecue party? While we were dancing, I conveniently told him I'd forgotten to put panties on under my dress. He could barely keep his hands to himself. Then I told him if he was interested, I'd meet him back at his house.""Oooh, devious." Abby laughed. "Was there any rubber left on his tires?""Nope." Charli grinned. "But that was one hoochie-mama move I'll never regret.
Chris Mentillo|You can have practically anything you want in this world, if you have great credit.
Jean Anouilh|There is love of course. And then there's life, its enemy.
Dalai Lama XIV, The Art of Happiness|The smell of the sea pleased him so much that he wanted one day to take it in, pure and unadulterated, in such quantities that he could get drunk on it. And later, when he learned from stories how large the sea is and that you can sail upon it in ships for days on end without ever seeing land, nothing pleased him more than the image of himself sitting high up in the crow's nest of the foremost mast on such a ship, gliding on through the endless smell of the sea -- which really was no smell, but a breath, an exhilaration of breath, the end of all smells -- dissolving with pleasure in that breath.
Leo Tolstoy, War and Peace|Everything ends in death, everything. Death is terrible.
Ella Dominguez, This Love's Not for Sale|McG: 11:39 PM: Tease. A: Bushy prehistoric looking veggies frighten me.Lilliana: 11:41 PM: WTH are we talking about here? McG: 11:42 PM: Fucking auto correct. VAGINAS! Bushy vaginas put the fear of God in me. Seriously, Lilly, if you’ve got one, groom that shit unless you want to see a grown alpha male curl into the fetal position and cry. It won’t be pretty. Just sayin
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you waste a minute, you have wasted life and if you waste an hour, you have wasted life.
Periyar E.V. Ramasamy|I will not subject you to a restraint, in the manner of scriptures and ancient works, by stating that you should trust what I say, that my words are apocalyptic; and that if you do not believe me, you will become atheists and go to hell. If what I say is not agreeable to your instinct, knowledge, experience and inquiry, reject it.
Charmaine J Forde|If we could think about somebody else other than ourselves for a few minutes a day, this world would be so much better off.
Brené Brown, Rising Strong|Denying emotion is not avoiding the high curbs, it's never taking your car out of the garage. It's safe in there, but you'll never go anywhere.
Margaret Atwood|If writing novels - and reading them - have any redeeming social value, it's probably that they force you to imagine what it's like to be somebody else. Which increasingly is something we all need to know.
Tim Cummings, ORPHANS|I leave the kitchen table to bathe, and to dress for church. If only my closet held on its shelves an array of faces I could wear rather than dresses, I would know which face to put on today. As for the dresses, I haven't a clue.
Ernest Cline, Ready Player One|You could shove it up your ass and pretend you're a corn dog."COURTESY VIOLATION-RESPONSE MUTED-VIOLATION LOGGED
David James Duncan, The Brothers K|On the Russian revolutionaries:To leave your parents, faithful and loyal subjects of the Emperor, to leave your profession, to desist from having children, to lose your fortune, and to give up your civil honor, all for revolutionary conviction, makes for a league of more practical proof than any religious order.
Oswald Chambers, My Utmost for His Highest|Dec. 31… “Let the past rest, but let it rest in the sweet embrace of Christ. Leave the broken, irreversible past in His hands, and step out into the invincible future with Him.
Susane Colasanti, Take Me There|Because if you take a risk, you just might find what you're looking for.
Sarah Hall, How to Paint a Dead Man|You’ve found that there is something that can make you feel, and make you feel present: sex. Not the routine, dusk-and-dawn sex of a trusted, established relationship, but illicit, dangerous sex. Sex that is novel and leaves you sore; that is experienced in the gaps between your mundane, moral life; that is strange and breathless and addictive.
Samantha Gregory|Single Ladies Tip: No man is too busy to go after a woman that he really wants, he will make time even if it is 2 minutes. #NoMoreCrumbs
John O'Donohue, Anam Cara: A Book of Celtic Wisdom|That's Venus, September thought. She was the goddess of love. It's nice that love comes on first thing in the evening, and goes out last in the morning. Love keeps the light on all night.
Saul Williams|Find a good teacher, as I found for my sons. I feel the worst thing you can do is to try and teach your own children yourself, because there is a natural rebellion that occurs.
Macaulay Culkin|If you can market smut and toilet paper, you can market movies.
Alisa Sheckley, Moonburn|Sometimes, there aren't any good choices. Sometimes, making the right one is hard... It's funny, but when you think about it, we're all broken. That's what life does. It knocks you down and breaks you and you either get back up again, or you don't. You either do things on your terms, or you don't. You let the bad things win, or you don't.""You either let it break you, or you don't.
Franz Bardon|We were born in charge of our own being, our own personality. Other people's personalities are beyond our control.
Jalaluddin Rumi, دیوان كلیات شمس تبریزی|Self Respect " respects boundaries, yours or other's,"Ego" is so full of self, it sees no boundaries.
Roy T. Bennett|You are not the victim of the world, but rather the master of your own destiny. It is your choices and decisions that determine your destiny.
Rodney Brooks|Up to this day, there has been no proof of the existence of any intelligence other than the human.
Debasish Mridha|Confidence is good, but confidence with humility is far better.
Lailah Gifty Akita|If Christians, think of Christ Jesus, they will act like holy servant of Son of God.
Paul Kane|The lions taught me photography. They taught me patience and the sense of beauty, a beauty that penetrates you.
H. P. Lovecraft|I have dogs, and it's no secret that I find reptiles interesting, but the thing about reptiles is that they really just wanna be left alone, and I understand them. It's, 'Don't pick me up, stop holding me, don't look at me, just leave me alone.' I have to admit, sometimes I feel like that.
Joss Whedon|I've got a theory, it could be bunnies...I've got a theor-Bunnies aren't just cute like everybody supposesThey've got them hoppy legs and twitchy little noses.And what's with all the carrots-?What do they need such good eyesight for anyway?Bunnies, bunnies it must be bunnies!...or maybe midgets...
Leo Tolstoy, Anna Karenina|Maybe its because i rejoice over what i have and don't grieve over what i don't have".
Terry Pratchett|We're living in science fiction, but we don't realize it.
Paul Auster, Moon Palace|I felt the taste of mortality in my mouth, and at that moment I understood that I was not going to live forever. It takes a long time to learn that, but when you finally do, everything changes inside you, you can never be the same again. I was seventeen years old, and all of a sudden, without the slightest flicker of a doubt, I understood that my life was my own, that it belonged to me and no one else.I’m talking about freedom, Fogg. A sense of despair that becomes so great, so crushing, so catastrophic, that you have no choice but to be liberated by it. That’s the only choice, or else you crawl into a corner and die.
S.C. Stephens, Thoughtless|I would do anything for you. Anything."With that, he pushed his way out...and as the door eased shut, she realized that I love you could indeed be said without actually uttering the phrase.Actions did mean more than words.
Robert Kirkman|One of my roommates, Rafael, he's an expert on monsters. Not that he talks about them. I can just tell. People who have monsters recognize each other. They know each other without even saying a word.
William Keepin, Divine Duality: The Power of Reconciliation Between Women and Men|Sadly, our society still perpetuates the false ideal that a real man should be all masculine, and a real woman all feminine. Neither is possible, nor desirable.
Lenny Kravitz|My dad worked two jobs and moved us to the suburbs, and just being a black person, I went through a lot of racism and being called names and being bullied every single day. And it was hard. I didn't have any friends.
Carolyn  Taylor, Walking The Talk|The key difference between captain and coach? The latter’s opportunities for influence come at moments when play isn't happening,
Noor-us-Sahar|Self-confidence appear your attitude, so be confident
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Everyday is the same day, except its reward and opportunities.
Mother Teresa|Prayer makes your heart bigger, until it is capable of containing the gift of God himself. Prayer begets faith, faith begets love, and love begets service on behalf of the poor.
John Green, Looking for Alaska|It was an indulgence, learning last words. Other people had chocolate; I had dying declarations.
Amy Carmichael|But God is the God of the waves and the billows, and they are still His when they come over us; and again and again we have proved that the overwhelming thing does not overwhelm. Once more by His interposition deliverance came. We were cast down, but not destroyed.
Jamie Fuller, The Diary of Emily Dickinson| The following year the house was substantially remodeled, and the conservatory removed. As the walls of the now crumbling wall were being torn down, one of the workmen chanced upon a small leatherbound book that had apparently been concealed behind a loose brick or in a crevice in the wall. By this time Emily Dickinson was a household name in Amherst. It happened that this carpenter was a lover of poetry- and hers in particular- and when he opened the little book and realized that that he had found her diary, he was “seized with a violent trembling,” as he later told his grandson. Both electrified and terrified by the discovery, he hid the book in his lunch bucket until the workday ended and then took it home. He told himself that after he had read and savored every page, he would turn the diary over to someone who would know how to best share it with the public. But as he read, he fell more and more deeply under the poet’s spell and began to imagine that he was her confidant. He convinced himself that in his new role he was no longer obliged to give up the diary. Finally, having brushed away the light taps of conscience, he hid the book at the back of an oak chest in his bedroom, from which he would draw it out periodically over the course of the next sixty-four years until he had virtually memorized its contents. Even his family never knew of its existence.  Shortly before his death in 1980 at the age of eighty-nine, the old man finally showed his most prized possession to his grandson (his only son having preceded him in death), confessing that his delight in it had always been tempered by a nagging guilt and asking that the young man now attempt to atone for his grandfather’s sin. The grandson, however, having inherited both the old man’s passion for poetry and his tendency towards paralysis of conscience, and he readily succumbed to the temptation to hold onto the diary indefinitely while trying to decide what ought to be done with it.
H.W. Brands|Such was the code: Strive for victory, but never seem to be self-involved.
Elizabeth Winder, Pain, Parties, Work: Sylvia Plath in New York, Summer 1953|Sylvia would have taken it seriously- so strong was her devotion to the innate intelligence of form. Those pretty tools like glue and pens, pasting together look-books – for Sylvia it would have been like toy making or arranging jewels. Unfortunately, Sylvia’s flair for design and graphics went unnoticed by the Mademoiselle staff, who had already pigeonholed her as a “writer”.
Amaka Imani Nkosazana|Everybody is Beautiful and Unique in Their Own Special Way, Beauty goes Beyond the Outer Appearance. I think it's More Important to have a Beautiful Mind. Stop Comparing Yourselves Amongst Yourselves. Nobody is like You and Never will be You. Stop being Jealous of Others. Stop Hating on Others. Appreciate your Qualities and Characteristics.
Isaac Asimov, The Foundation Trilogy|Q. You do not consider your statement a disloyal one?A. No, sir. Scientific truth is beyond loyalty and disloyalty.Q. Can you prove that this mathematics is valid?A. Only to another mathematician.Q. Your claim then is that your truth is of so esoteric a nature that it is beyond the understanding of a plain man. It seems to me that truth should be clearer than that, less mysterious, more open to the mind.A. It presents no difficulties to some minds. The physics of energy transfer, which we know as thermodynamics, has been clear and true through all the history of man since the mythical ages, yet there may be people present who would find it impossible to design a power engine. People of high intelligence, too.
Atul Gawande, Complications: A Surgeon's Notes on an Imperfect Science|The doctors found out that Bunbury could not live, that is what I mean - so Bunbury died.He seems to have had great confidence in the opinion of his physicians. I am glad, however, that he made up his mind at the last to some definite course of action, and acted under proper medical advice.
T.S. Wieland|Only your children’s grandchildren may remember our stories, but the stories are not what makes a life. It’s living with a smile and a free spirit that will ripple throughout the stars.
Sunday Adelaja|When you discover your gift and develop it, the world will start looking for you
Mokokoma Mokhonoana|Back in the day, it was either both a mother and her daughter had pubic hair, or the daughter didn’t. Today, in many a case, the mother is the one who doesn’t.
Paula Stokes, The Art of Lainey|Standing up for yourself is about more than flinging barbed-wire insults around. Its about picking your battles, knowing when to fight, knowing exactly what and who is worth fighting for.
Stan Kelly Bootle|Here we introduce the nation's first great communications monopolist, whose reign provides history's first lesson in the power and peril of concentrated control over the flow of information. Western Union's man was one Rutherford B. Hates, an obscure Ohio politician described by a contemporary journalist as "a third rate nonentity." But the firm and its partner newswire, the Associated Press, wanted Hayes in office, for several reasons. Hayes was a close friend of William Henry Smith, a former politician who was now the key political operator at the Associated Press. More generally, since the Civil War, the Republican Party and the telegraph industry had enjoyed a special relationship, in part because much of what were eventually Western Union's lines were built by the Union Army.So making Hayes president was the goal, but how was the telegram in Reid's hand key to achieving it?The media and communications industries are regularly accused of trying to influence politics, but what went on in the 1870s was of a wholly different order from anything we could imagine today. At the time, Western Union was the exclusive owner of the nationwide telegraph network, and the sizable Associated Press was the unique source for "instant" national or European news. (It's later competitor, the United Press, which would be founded on the U.S. Post Office's new telegraph lines, did not yet exist.) The Associated Press took advantage of its economies of scale to produce millions of lines of copy a year and, apart from local news, its product was the mainstay of many American newspapers.With the common law notion of "common carriage" deemed inapplicable, and the latter day concept of "net neutrality" not yet imagined, Western Union carried Associated Press reports exclusively. Working closely with the Republican Party and avowedly Republican papers like The New York Times (the ideal of an unbiased press would not be established for some time, and the minting of the Time's liberal bona fides would take longer still), they did what they could to throw the election to Hayes. It was easy: the AP ran story after story about what an honest man Hayes was, what a good governor he had been, or just whatever he happened to be doing that day. It omitted any scandals related to Hayes, and it declined to run positive stories about his rivals (James Blaine in the primary, Samuel Tilden in the general). But beyond routine favoritism, late that Election Day Western Union offered the Hayes campaign a secret weapon that would come to light only much later.Hayes, far from being the front-runner, had gained the Republican nomination only on the seventh ballot. But as the polls closed his persistence appeared a waste of time, for Tilden, the Democrat, held a clear advantage in the popular vote (by a margin of over 250,000) and seemed headed for victory according to most early returns; by some accounts Hayes privately conceded defeat. But late that night, Reid, the New York Times editor, alerted the Republican Party that the Democrats, despite extensive intimidation of Republican supporters, remained unsure of their victory in the South. The GOP sent some telegrams of its own to the Republican governors in the South with special instructions for manipulating state electoral commissions. As a result the Hayes campaign abruptly claimed victory, resulting in an electoral dispute that would make Bush v. Gore seem a garden party. After a few brutal months, the Democrats relented, allowing Hayes the presidency — in exchange, most historians believe, for the removal of federal troops from the South, effectively ending Reconstruction.The full history of the 1876 election is complex, and the power of th
Atalina Wright, Unbound|In our most vulnerable hour, it is helpful to remember our creative power.
Doris Lessing, The Golden Notebook|One has to be careful, whenever one tells a story about a great injustice. We are a species that loves narrative, but has been taught not to trust an individual speaker.
John Lautner|As a child, my father's architecture seemed to me to be industrial in a way. It seemed harsh and kind of chilly; I didn't respond to it.
Usain Bolt|I am thankful for laughter, except when milk comes out of my nose.
Nenia Campbell, Bleeds My Desire|Words actually failed me. I felt as dumb as my lounge-less friend in the corner. "You injected me with vampire blood?" My words were said slowly, ensuring that I didn't get one wrong or accidentally call Francis a fucking asshat. "You're a vampire?"Francis' expression managed to convey how stupid he thought that question was. "I live underground, and you've never seen me outside. I'm pale in complexion ands obviously hundreds of years old. What did you think I was? Agoraphobic?
Julian Barnes, The Sense of an Ending|This was another of our fears: that Life wouldn't turn out to be like Literature. Look at our parents--were they the stuff of Literature? At best, they might aspire to the condition of onlookers and bystanders, part of a social backdrop against which real, true, important things could happen. Like what? The things Literature was about: Love, sex, morality, friendship, happiness, suffering, betrayal, adultery, good and evil, heroes and villains, guilt and innocence, ambition, power, justice, revolution, war, fathers and sons, mothers and daughters, the individual against society, success and failure, murder, suicide, death, God.
Justin K. McFarlane Beau|Jesus, why would he hook up with Becca?" "Well, she's not known for her personality or generosity of spirit, so it's probably because she's hot." "She's not as hot as you," I said, before I could think better of it. "That's always seemed so ridiculous to me, that people would want to around someone because they're pretty. It's like picking your breakfast cereals based on color instead of taste.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Decide today to take a stand, make a plan, and get. No one ever said it was going to be easy and wouldn’t require effort. It will sometimes require that you go against the grain, face great challenge, conquer fear, overcome obstacles, and bounce back when knocked down. Choose to keep moving and don’t give up. And if your ship still doesn’t come in—swim out to it!
D.T. Suzuki, The Training of the Zen Buddhist Monk|Modern life seems to recede further and further away from nature, and closely connected with this fact we seem to be losing the feeling of reverence towards nature. It is probably inevitable when science and machinery, capitalism and materialism go hand in hand so far in a most remarkably successful manner. Mysticism, which is the life of religion in whatever sense we understand it, has come to be relegated altogether in the background. Without a certain amount of mysticism there is no appreciation for the feeling of reverence, and, along with it, for the spiritual significance of humility. Science and scientific technique have done a great deal for humanity; but as far as our spiritual welfare is concerned we have not made any advances over that attained by our forefathers. In fact we are suffering at present the worst kind of unrest all over the world.
Neil Peart|Could hell be a place where there is no self-respect? A place where people have no pride in their own existence or behavior, and thus would have none for anyone or anything else?
David O. McKay|True education does not consist merely in the acquiring of a few facts of science, history, literature, or art, but in the development of character.
J.M. Barrie|Thank you, Mom, for the way you managed yourself during the childish, mean, selfish, insensitive, irresponsible, unreasonable, hateful moments I put you through. From your example I learned to be patient, positive, kind, selfless, sympathetic, reliable, sensible, and loving. You have my endless appreciation.
Na'ama Yehuda, Emilia|Hearts break along the same lines they broke before, I find, and they hurt no less in the rebreaking.
Florence Converse, Diana Victrix|And her work! Oh, the thought of being deprived of that! With only his love in return, his love and his amiable domestic tyranny!
Lloyd Alexander, The Black Cauldron|Indeed, the more we find to love, the more we add to the measure of our hearts.
Robert Greene, Mastery|It is hard for us to imagine now, but our earliest human ancestors who ventured out onto the grasslands of East Africa some six million years ago were remarkably weak and vulnerable creatures. They stood less than five feet tall. They walked upright and could run on their two legs, but nowhere near as fast as the swift predators on four legs that pursued them. They were skinny—their arms could not provide much defense. They had no claws or fangs or poison to resort to if under attack. To gather fruits, nuts, and insects, or to scavenge dead meat, they had to move out into the open savanna where they became easy prey to leopards or packs of hyenas. So weak and small in number, they might have easily become extinct.And yet within the space of a few million years (remarkably short on the time scale of evolution), these rather physically unimpressive ancestors of ours transformed themselves into the most formidable hunters on the planet. What could possibly account for such a miraculous turnaround?
J. Sterling, Dear Heart, I Hate You|And we love you but I have to ask you to help me, to help us, please.”“How?” I asked, “By pretending nothing ever happened? Act as if she and I were strangers? Stand the way your sister acts towards me after all of what we had? Forget my story by her side? Are you asking me for that, Gabriel, for God’s sake?”“It sounds pretty bad when you put it like that…” Gabriel said, “but yes, pretty much.
Jennifer Niven, All the Bright Places|Sometimes the people around you won't understand your journey. They don't need to, it's not for them.
Said Nursi|What does it mean to not be alone? I've approached that question through music, technology, writing and other means.
Israelmore Ayivor, The Great Hand Book of Quotes|Getting to the top should be a priority, but being aware of the reason for getting there should be the focus!
Kristian Goldmund Aumann|If love disappear forever, a veil of sadness, falls over the valley of dried tears.
H.R. Kasper, The Mirror|Come, Leigh, come with me...
Violet Trefusis|With those shared personal stories and our own valued experiences we all, sometimes unknowingly, have a unique quality to impress vast and contrasting individual footprints onto this world. You may not relate to me as a drag queen, or even a gay man for that matter. However if you take away that small portion of my life, you’ll soon discover that I’m just like someone who’s already a part of your life, that you’re close to. First and foremost, I am someone’s son, someone’s best friend, someone’s partner or someone who you may perhaps meet on the street one day, extending his hand to you when you need it the most, without judgment or hatred.
Moonshine Noire|Don't ask me to pray, instead ask me to act.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|What is the motive behind your services? If it is self-centered, self-serving, and lacking consideration for others, then earning people’s trust, rapport, and business will inevitably be more of a struggle. A self-serving agenda throws up red flags which stop relationships dead in their tracks. It can destroy trust, make people wary of your intentions, and push customers to your competition.
Becca Lee|Love...love is the only thing that doesn't hurt. So many people are afraid of it. I think I was five years ago. Afraid that loving you would hurt me, one way or the other. But love doesn't hurt. Abuse hurts, and loneliness hurts, and jealousy hurts, and lies hurt. But love? Love heals. Love puts back together things that were broken before. Which is what you've done for me. So promising you, that's easy. I don't want to be anywhere else but with you. No matter what.
Cindi Madsen, Getting Lucky Number Seven|He covered my hand with his. "No matter what happens, we're friends first. I hope you know how much having you in my life means to me.
Erika Swyler|She'd started swimming early in the morning, when the kids were asleep, when she thought he was asleep. She didn't know her absence woke him, that the shift in the bed was an earthquake. When she climbed back in, she smelled like salt and seaweed. Sometimes her hair would still be knotted on top of her head. She tried to keep it dry. She didn't want him to know. The problem with marrying the mermaid girl from the carnival was knowing that one day she'd swim away.
Jeanette Winterson, Oranges Are Not the Only Fruit|Once upon a time there was a woman who was just like all women. And she married a man who was just like all men. And they had some children who were just like all children. And it rained all day.The woman had to skewer the hole in the kitchen sink, when it was blocked up.The man went to the pub every Friday, Saturday, and Sunday. The other nights he mended his broken bicycle, did the pool coupons, and longed for money and power.The woman read love stories and longed for things to be different.The children fought and yelled and played and had scabs on their knees.In the end they all died.
